阿斗当皇帝软弱无能,a'dou'dang'huang'di'ruan'ruo'wu'neng
曹仁,cao'ren
曹仁大战东吴兵,cao'ren'da'zhan'dong'wu'bing
曹睿,cao'rui
曹氏,cao'shi
曹爽,cao'shuang
曹嵩,cao'song
曹腾,cao'teng
草剃,cao'ti
曹魏,cao'wei
曹魏大都督,cao'wei'da'du'du
曹魏立国,cao'wei'li'guo
曹文叔,cao'wen'shu
曹羲,cao'xi
曹性,cao'xing
曹熊,cao'xiong
曹休,cao'xiu
曹训,cao'xun
曹彦,cao'yan
曹永,cao'yong
曹宇,cao'yu
曹彰,cao'zhang
曹真,cao'zhen
曹植,cao'zhi
曹遵,cao'zun
岑壁,cen'bi
岑昏,cen'hun
岑威,cen'wei
岑晊,cen'zhi
曾宣,ceng'xuan
茶陵,cha'ling
柴桑,chai'sang
柴桑口卧龙吊丧,chai'sang'kou'wo'long'diao'sang
柴榆,chai'yu
镡成,chan'cheng
镡封,chan'feng
孱陵,chan'ling
孱亭侯,chan'ting'hou
颤阴,chan'yin
单于,chan'yu
昌安,chang'an
长安,chang'an
长安兵变,chang'an'bing'bian
长白人参,chang'bai'ren'shen
长岑,chang'cen
常雕,chang'diao
长广,chang'guang
昌国,chang'guo
长江南岸,chang'jiang'nan'an
昌黎,chang'li
长陵,chang'ling
昌虑,chang'lv
昌平,chang'ping
长平,chang'ping
昌奇,chang'qi
长倩,chang'qian
长沙桓王,chang'sha'huan'wang
长沙郡,chang'sha'jun
常山国,chang'shan'guo
长社,chang'she
长文,chang'wen
昌豨,chang'xi
昌阳,chang'yang
昌邑,chang'yi
常有战事,chang'you'zhan'shi
长垣,chang'yuan
朝那,chao'na
朝鲜,chao'xian
彻侯,che'hou
彻里吉,che'li'ji
车骑将军,che'qi'jiang'jun
车胄,che'zhou
陈仓,chen'cang
陈耽,chen'dan
陈到,chen'dao
陈登,chen'deng
陈蕃,chen'fan
陈宫,chen'gong
陈珪,chen'gui
陈国,chen'guo
陈横,chen'heng
陈纪,chen'ji
陈矫,chen'jiao
陈就,chen'jiu
陈俊,chen'jun
陈兰,chen'lan
陈琳,chen'lin
陈留,chen'liu
陈留郡,chen'liu'jun
陈留王,chen'liu'wang
陈骞,chen'qian
陈群,chen'qun
陈生,chen'sheng
陈式,chen'shi
陈氏,chen'shi
陈寿,chen'shou
陈寿是,chen'shou'shi
陈寿在,chen'shou'zai
陈孙,chen'sun
陈泰,chen'tai
陈王,chen'wang
陈炜,chen'wei
陈武,chen'wu
郴县,chen'xian
陈县,chen'xian
陈翔,chen'xiang
辰阳,chen'yang
陈应,chen'ying
陈元,chen'yuan
陈造,chen'zao
陈震,chen'zhen
程秉,cheng'bing
成倅,cheng'cui
成德,cheng'de
称帝,cheng'di
成都,cheng'du
城父,cheng'fu
成皋,cheng'gao
成固,cheng'gu
程郭董刘蒋刘传,cheng'guo'dong'liu'jiang'liu'chuan
成何,cheng'he
程黄韩蒋周陈董甘淩徐潘丁传,cheng'huang'han'jiang'zhou'chen'dong'gan'ling'xu'pan'ding'chuan
成济,cheng'ji
成纪,cheng'ji
程畿,cheng'ji
程旷,cheng'kuang
成乐,cheng'le
成廉,cheng'lian
承露盘,cheng'lu'pan
城门校尉,cheng'men'xiao'wei
成平,cheng'ping
程普,cheng'pu
乘氏,cheng'shi
成武,cheng'wu
程武,cheng'wu
丞县,cheng'xian
成县,cheng'xian
承先,cheng'xian
丞相,cheng'xiang
丞相理曹掾,cheng'xiang'li'cao'yuan
成阳,cheng'yang
成宜,cheng'yi
程银,cheng'yin
程昱,cheng'yu
承渊,cheng'yuan
程远志,cheng'yuan'zhi
程咨,cheng'zi
赤壁,chi'bi
赤壁大战,chi'bi'da'zhan
赤壁之战,chi'bi'zhi'zhan
赤谷城,chi'gu'cheng
魑魅魍魉,chi'mei'wang'liang
茌平,chi'ping
斥丘,chi'qiu
赤兔,chi'tu
赤兔马,chi'tu'ma
赤乌,chi'wu
茌县,chi'xian
池阳,chi'yang
蚩尤之首,chi'you'zhi'shou
叱咤风云,chi'zha'feng'yun
斥章,chi'zhang
重安,chong'an
充国,chong'guo
重合,chong'he
充县,chong'xian
宠之以位,chong'zhi'yi'wei
仇连,chou'lian
犨县,chou'xian
除暴徒吕布助司徒,chu'bao'tu'lv'bu'zhu'si'tu
处道,chu'dao
触得,chu'de
出陇上诸葛妆神,chu'long'shang'zhu'ge'zhuang'shen
初平,chu'ping
初平二年,chu'ping'er'nian
初平三年,chu'ping'san'nian
初平元年,chu'ping'yuan'nian
出师表,chu'shi'biao
出峡,chu'xia
传国玉玺,chuan'guo'yu'xi
传礼来久,chuan'li'lai'jiu
传遗命奸雄数终,chuan'yi'ming'jian'xiong'shu'zhong
春谷,chun'gu
鹑觚,chun'gu
淳于,chun'yu
淳于丹,chun'yu'dan
淳于导,chun'yu'dao
淳于琼,chun'yu'qiong
次曾,ci'ceng
慈明,ci'ming
次妻,ci'qi
此其所以为我擒也,ci'qi'suo'yi'wei'wo'qin'ye
刺史,ci'shi
此所以失天下也,ci'suo'yi'shi'tian'xia'ye
此吾所以取天下也,ci'wu'suo'yi'qu'tian'xia'ye
次阳,ci'yang
次子,ci'zi
从事,cong'shi
从事祭酒,cong'shi'ji'jiu
从事中郎,cong'shi'zhong'lang
促使,cu'shi
促使形成,cu'shi'xing'cheng
爨习,cuan'xi
崔夫人,cui'fu'ren
崔谅,cui'liang
崔烈,cui'lie
崔毛徐何邢鲍司马传,cui'mao'xu'he'xing'bao'si'ma'chuan
崔琰,cui'yan
崔毅,cui'yi
崔勇,cui'yong
崔禹,cui'yu
崔州平,cui'zhou'ping
寸步不可行矣,cun'bu'bu'ke'xing'yi
大部分区域,da'bu'fen'qu'yu
大长秋,da'chang'qiu
大城,da'cheng
大初,da'chu
大都督,da'du'du
大渡河,da'du'he
大喝,da'he
大河,da'he
大鸿胪,da'hong'lu
大将军,da'jiang'jun
大理,da'li
大陵,da'ling
大明,da'ming
大末,da'mo
大幕,da'mu
大破袁绍,da'po'yuan'shao
大乔,da'qiao
大荣,da'rong
大尚书,da'shang'shu
大司马,da'si'ma
大宛马,da'wan'ma
大魏武皇帝,da'wei'wu'huang'di
大夏,da'xia
大贤良师,da'xian'liang'shi
大烊等,da'yang'deng
大牂,da'zang
大战马超,da'zhan'ma'chao
大丈夫处世,da'zhang'fu'chu'shi
大丈夫生于乱世,da'zhang'fu'sheng'yu'luan'shi
大丈夫生于天地间,da'zhang'fu'sheng'yu'tian'di'jian
大族豪强,da'zu'hao'qiang
带方,dai'fang
代郡,dai'jun
带来洞主,dai'lai'dong'zhu
戴陵,dai'ling
代魏称帝,dai'wei'cheng'di
代县,dai'xian
戴员,dai'yuan
单刀赴会,dan'dao'fu'hui
弹返,dan'fan
单父,dan'fu
单福新野遇英主,dan'fu'xin'ye'yu'ying'zhu
淡稿,dan'gao
单骑救主,dan'qi'jiu'zhu
但是孙权,dan'shi'sun'quan
但是总的说来,dan'shi'zong'de'shuo'lai
丹水,dan'shui
丹徒,dan'tu
郸县,dan'xian
丹阳,dan'yang
丹阳郡,dan'yang'jun
单子春,dan'zi'chun
当城,dang'cheng
当带三尺剑立不世之功,dang'dai'san'chi'jian'li'bu'shi'zhi'gong
党均,dang'jun
荡寇将军,dang'kou'jiang'jun
荡寇中郎将,dang'kou'zhong'lang'jiang
当利,dang'li
当铭肺腑,dang'ming'fei'fu
宕渠,dang'qu
砀县,dang'xian
当徐,dang'xu
当阳,dang'yang
荡阴,dang'yin
道教,dao'jiao
道人,dao'ren
德昂,de'ang
德操,de'cao
德达,de'da
得地而不予人利,de'di'er'bu'yu'ren'li
的地盘,de'di'pan
德度,de'du
的父亲,de'fu'qin
德高,de'gao
的基础,de'ji'chu
的基础上,de'ji'chu'shang
的结束,de'jie'shu
的历史,de'li'shi
的刘备,de'liu'bei
的矛盾,de'mao'dun
德谋,de'mou
的内战,de'nei'zhan
德容,de'rong
得食租税,de'shi'zu'shui
德枢,de'shu
的推动下,de'tui'dong'xia
德伟,de'wei
德信,de'xin
德行,de'xing
德艳,de'yan
德阳,de'yang
德瑜,de'yu
德政不举,de'zheng'bu'ju
德祖,de'zu
邓艾,deng'ai
邓程,deng'cheng
邓敦,deng'dun
邓良,deng'liang
邓龙,deng'long
邓茂,deng'mao
邓士载偷度阴平,deng'shi'zai'tou'du'yin'ping
邓士载智取姜伯约,deng'shi'zai'zhi'qu'jiang'bo'yue
邓铜,deng'tong
邓县,deng'xian
邓贤,deng'xian
邓飏,deng'yang
邓义,deng'yi
邓张宗杨传,deng'zhang'zong'yang'chuan
邓芝,deng'zhi
邓忠,deng'zhong
氐池,di'chi
氐道,di'dao
狄道,di'dao
地方,di'fang
地方割据,di'fang'ge'ju
地方牧守,di'fang'mu'shou
邸阁督,di'ge'du
地公将军,di'gong'jiang'jun
地理,di'li
地盘,di'pan
缔造者,di'zao'zhe
地主,di'zhu
典曹都尉,dian'cao'du'wei
滇池,dian'chi
甸町,dian'ding
奠定了,dian'ding'le
电光,dian'guang
奠基者,dian'ji'zhe
垫江,dian'jiang
典满,dian'man
典农中郎将,dian'nong'zhong'lang'jiang
甸氏道,dian'shi'dao
典韦,dian'wei
典学从事,dian'xue'cong'shi
貂婵,diao'chan
貂蝉,diao'chan
貂蝉唱歌有声有色,diao'chan'chang'ge'you'sheng'you'se
雕阴,diao'yin
丁斐,ding'fei
丁奉,ding'feng
丁封,ding'feng
丁奉定计斩孙琳,ding'feng'ding'ji'zhan'sun'lin
丁奉雪中奋短兵,ding'feng'xue'zhong'fen'duan'bing
丁夫人,ding'fu'ren
定公,ding'gong
丁管,ding'guan
丁立,ding'li
定陵,ding'ling
丁谧,ding'mi
定三分隆中决策,ding'san'fen'long'zhong'jue'ce
定陶,ding'tao
丁咸,ding'xian
定襄,ding'xiang
定襄郡,ding'xiang'jun
定阳,ding'yang
丁仪,ding'yi
丁廙,ding'yi
定颍,ding'ying
丁原,ding'yuan
定周,ding'zhou
鼎足之势,ding'zu'zhi'shi
东安,dong'an
东安平,dong'an'ping
东安阳,dong'an'yang
东曹属,dong'cao'shu
东曹掾,dong'cao'yuan
东朝,dong'chao
董朝,dong'chao
董超,dong'chao
东城,dong'cheng
董承,dong'cheng
东阿,dong'e
董二袁刘传第六,dong'er'yuan'liu'chuan'di'liu
东莞,dong'guan
东观令,dong'guan'ling
东光,dong'guang
董贵妃,dong'gui'fei
董国舅内阁受诏,dong'guo'jiu'nei'ge'shou'zhao
东海郡,dong'hai'jun
东汉安帝,dong'han'an'di
东汉朝臣,dong'han'chao'chen
东汉朝廷,dong'han'chao'ting
东汉灭亡,dong'han'mie'wang
东汉末,dong'han'mo
东汉末年,dong'han'mo'nian
东汉三公,dong'han'san'gong
东汉献帝,dong'han'xian'di
东汉左将军,dong'han'zuo'jiang'jun
董和,dong'he
董衡,dong'heng
董璜,dong'huang
东昏,dong'hun
董厥,dong'jue
东郡,dong'jun
东郡太守,dong'jun'tai'shou
东莱郡,dong'lai'jun
董刘马陈董吕传,dong'liu'ma'chen'dong'lv'chuan
动乱时期,dong'luan'shi'qi
东缗,dong'min
董旻,dong'min
东牟,dong'mou
董母,dong'mu
东平国,dong'ping'guo
东平陵,dong'ping'ling
东平舒,dong'ping'shu
董祀,dong'si
董太后,dong'tai'hou
董太师大闹凤仪亭,dong'tai'shi'da'nao'feng'yi'ting
董荼那,dong'tu'na
东武,dong'wu
东武城,dong'wu'cheng
东吴公主,dong'wu'gong'zhu
东吴郡主,dong'wu'jun'zhu
东吴娘娘,dong'wu'niang'niang
东武阳,dong'wu'yang
东吴招亲弄假成真,dong'wu'zhao'qin'nong'jia'cheng'zhen
董禧,dong'xi
董袭,dong'xi
东西曹掾属,dong'xi'cao'yuan'shu
董寻,dong'xun
东阳,dong'yang
东于陆,dong'yu'lu
东垣,dong'yuan
董允,dong'yun
董贼,dong'zei
董昭,dong'zhao
东治,dong'zhi
董治,dong'zhi
董重,dong'zhong
东中郎将,dong'zhong'lang'jiang
董卓,dong'zhuo
董卓进京,dong'zhuo'jin'jing
董卓进京不怀好意,dong'zhuo'jin'jing'bu'huai'hao'yi
董卓进京来者不善,dong'zhuo'jin'jing'lai'zhe'bu'shan
董卓戏貂蝉死在花下,dong'zhuo'xi'diao'chan'si'zai'hua'xia
董卓之乱,dong'zhuo'zhi'luan
都河内,dou'he'nei
都洛阳,dou'luo'yang
窦武,dou'wu
斗转星斜,dou'zhuan'xing'xie
都昌,du'chang
都督,du'du
都护,du'hu
杜畿,du'ji
督军,du'jun
督军从事,du'jun'cong'shi
督军校尉,du'jun'xiao'wei
都梁,du'liang
杜陵,du'ling
杜路,du'lu
渡泸水再缚番王,du'lu'shui'zai'fu'fan'wang
杜祺,du'qi
杜琼,du'qiong
杜睿,du'rui
独善其身尽日安,du'shan'qi'shen'jin'ri'an
杜微,du'wei
都尉,du'wei
都尉尚书,du'wei'shang'shu
杜袭,du'xi
堵阳,du'yang
杜阳,du'yang
杜义,du'yi
督邮,du'you
杜预,du'yu
杜远,du'yuan
度支都尉,du'zhi'du'wei
度支校尉,du'zhi'xiao'wei
度支中郎将,du'zhi'zhong'lang'jiang
杜周杜许孟来尹李谯郤传,du'zhou'du'xu'meng'lai'yin'li'qiao'xi'chuan
段珪,duan'gui
端氏,duan'shi
段煨,duan'wei
端溪,duan'xi
碓瞀,dui'mao
对着张飞骂刘备找气惹,dui'zhe'zhang'fei'ma'liu'bei'zhao'qi're
敦煌,dun'huang
敦煌郡,dun'huang'jun
顿丘,dun'qiu
夺得,duo'de
夺得汉中,duo'de'han'zhong
夺冀州袁尚争锋,duo'ji'zhou'yuan'shang'zheng'feng
多谋而少决,duo'mou'er'shao'jue
朵思大王,duo'si'da'wang
夺占西川,duo'zhan'xi'chuan
俄何烧戈,e'he'shao'ge
鄂焕,e'huan
鄂县,e'xian
恩竭则慢,en'jie'ze'man
恩荣并济,en'rong'bing'ji
而得天下,er'de'tian'xia
二公孙陶四张传第八,er'gong'sun'tao'si'zhang'chuan'di'ba
二李臧文吕许典二庞阎传,er'li'zang'wen'lv'xu'dian'er'pang'yan'chuan
二十卷,er'shi'juan
二十四史,er'shi'si'shi
二主妃子传,er'zhu'fei'zi'chuan
二子,er'zi
发矫诏诸镇应曹公,fa'jiao'zhao'zhu'zhen'ying'cao'gong
发平,fa'ping
发起进攻,fa'qi'jin'gong
发羌,fa'qiang
伐秦,fa'qin
法行则知恩,fa'xing'ze'zhi'en
法正,fa'zheng
伐中原武侯上表,fa'zhong'yuan'wu'hou'shang'biao
犯长安李倔听,fan'chang'an'li'jue'ting
范成,fan'cheng
樊稠,fan'chou
繁畤,fan'chou
番汗,fan'han
番和,fan'he
樊建,fan'jian
范疆,fan'jiang
范康,fan'kang
反论,fan'lun
樊能,fan'neng
范滂,fan'pang
樊岐,fan'qi
樊氏,fan'shi
樊县,fan'xian
繁县,fan'xian
范县,fan'xian
蕃县,fan'xian
繁阳,fan'yang
范阳,fan'yang
范晔,fan'ye
方城,fang'cheng
防东,fang'dong
方技传,fang'ji'chuan
房陵,fang'ling
方天画戟,fang'tian'hua'ji
房县,fang'xian
方与,fang'yu
方悦,fang'yue
房子,fang'zi
废曹芳魏家果报,fei'cao'fang'wei'jia'guo'bao
废黜,fei'chu
废黜少帝,fei'chu'shao'di
费观,fei'guan
费国,fei'guo
废汉帝陈留践位,fei'han'di'chen'liu'jian'wei
飞将,fei'jiang
飞景,fei'jing
飞镰,fei'lian
妃嫔转,fei'pin'zhuan
肥如,fei'ru
费诗,fei'shi
非梧不栖,fei'wu'bu'qi
费耀,fei'yao
费祎,fei'yi
非主不依,fei'zhu'bu'yi
非主公所宜也,fei'zhu'gong'suo'yi'ye
分崩离析,fen'beng'li'xi
纷纷响应,fen'fen'xiang'ying
焚金阙董卓行凶,fen'jin'que'dong'zhuo'xing'xiong
分久必合,fen'jiu'bi'he
分屯要害,fen'tun'yao'hai
奋威将军,fen'wei'jiang'jun
奋威校尉,fen'wei'xiao'wei
奋武将军,fen'wu'jiang'jun
奋武校尉,fen'wu'xiao'wei
汾阴,fen'yin
凤翱翔于千仞兮,feng'ao'xiang'yu'qian'ren'xi
奉车都尉,feng'che'du'wei
冯乘,feng'cheng
凤雏,feng'chu
凤雏先生,feng'chu'xian'sheng
冯方女,feng'fang'nv
奉高,feng'gao
封号,feng'hao
凤凰,feng'huang
凤凰枪,feng'huang'qiang
逢纪,feng'ji
冯礼,feng'li
封丘,feng'qiu
奉尚,feng'shang
冯习,feng'xi
封溪,feng'xi
丰县,feng'xian
奉先,feng'xian
奉孝,feng'xiao
封谞,feng'xu
封宣王,feng'xuan'wang
封阳,feng'yang
封邑,feng'yi
抚百姓,fu'bai'xing
富波,fu'bo
富城,fu'cheng
父城,fu'cheng
阜城,fu'cheng
夫处世之道,fu'chu'shi'zhi'dao
富春,fu'chun
伏德,fu'de
傅干,fu'gan
扶沟,fu'gou
傅嘏,fu'gu
浮瓜沉季,fu'gua'chen'ji
辅国大将军,fu'guo'da'jiang'jun
辅国将军,fu'guo'jiang'jun
夫何足惜,fu'he'zu'xi
伏皇后,fu'huang'hou
伏皇后为国捐生,fu'huang'hou'wei'guo'juan'sheng
符节,fu'jie
符节令,fu'jie'ling
扶乐,fu'le
扶黎,fu'li
符离,fu'li
涪陵,fu'ling
阜陵,fu'ling
扶柳,fu'liu
富平,fu'ping
傅佥,fu'qian
肤施,fu'shi
傅士仁,fu'shi'ren
傅彤,fu'tong
伏完,fu'wan
夫为治有体,fu'wei'zhi'you'ti
涪县,fu'xian
傅巽,fu'xun
傅阳,fu'yang
复阳,fu'yang
浮阳,fu'yang
夫夷,fu'yi
傅婴,fu'ying
夫英雄者,fu'ying'xiong'zhe
腹有良谋,fu'you'liang'mou
夫余,fu'yu
夫运筹策帷帐之中,fu'yun'chou'ce'wei'zhang'zhi'zhong
盖县,gai'xian
改修,gai'xiu
干大事而惜身,gan'da'shi'er'xi'shen
甘夫人,gan'fu'ren
干将锻造书,gan'jiang'duan'zao'shu
干将莫邪,gan'jiang'mo'ye
甘陵,gan'ling
甘露,gan'lu
甘露寺,gan'lu'si
甘露五年,gan'lu'wu'nian
甘宁,gan'ning
甘宁百骑劫魏营,gan'ning'bai'qi'jie'wei'ying
干齐,gan'qi
赣县,gan'xian
干休,gan'xiu
赣榆,gan'yu
刚氏道,gang'shi'dao
刚县,gang'xian
高安乡侯,gao'an'xiang'hou
高城,gao'cheng
高定,gao'ding
高都,gao'du
高干,gao'gan
高句丽,gao'gou'li
高贵乡公,gao'gui'xiang'gong
高俊,gao'jun
高览,gao'lan
高凉,gao'liang
高陵,gao'ling
高柳,gao'liu
高密,gao'mi
高奴,gao'nu
高沛,gao'pei
高平,gao'ping
高柔,gao'rou
高山,gao'shan
高升,gao'sheng
高顺,gao'shun
高唐,gao'tang
高显,gao'xian
高翔,gao'xiang
高阳,gao'yang
高要,gao'yao
高邑,gao'yi
高邮,gao'you
高苑,gao'yuan
戈定,ge'ding
鬲国,ge'guo
割据,ge'ju
割据江东,ge'ju'jiang'dong
割据势力,ge'ju'shi'li
割据者,ge'ju'zhe
隔门缝瞧诸葛亮瞧扁了英雄,ge'men'feng'qiao'zhu'ge'liang'qiao'bian'le'ying'xiong
隔三峡,ge'san'xia
割须断袍,ge'xu'duan'pao
葛雍,ge'yong
给馈饟,gei'kui'xiang
根矩,gen'ju
耿纪,geng'ji
