百花亭,bai'hua'ting
裴度香山还带记,pei'du'xiang'shan'hai'dai'ji
裴少俊墙头马上,pei'shao'jun'qiang'tou'ma'shang
琵琶亭,pi'pa'ting
琵琶怨,pi'pa'yuan
倩女离魂,qian'nv'li'hun
秦太师东窗事犯,qin'tai'shi'dong'chuang'shi'fan
琼花女,qiong'hua'nv
秋胡戏妻,qiu'hu'xi'qi
秋夜栾城驿,qiu'ye'luan'cheng'yi
赛东墙,sai'dong'qiang
赛金莲,sai'jin'lian
赛乐昌,sai'le'chang
赛摩勒传,sai'mo'le'chuan
三负心陈叔文,san'fu'xin'chen'shu'wen
三十六琐骨,san'shi'liu'suo'gu
三贞三贵绒段记,san'zhen'san'gui'rong'duan'ji
神奴儿,shen'nu'er
生死夫妻,sheng'si'fu'qi
十错记,shi'cuo'ji
十大功劳,shi'da'gong'lao
史弘肇故乡宴,shi'hong'zhao'gu'xiang'yan
十孝记,shi'xiao'ji
司马相如题桥记,si'ma'xiang'ru'ti'qiao'ji
宋子京鹧鸪天,song'zi'jing'zhe'gu'tian
苏秦衣锦还乡,su'qin'yi'jin'huan'xiang
苏武牧羊记,su'wu'mu'yang'ji
苏小卿西湖柳记,su'xiao'qing'xi'hu'liu'ji
苏小卿月夜泛茶船,su'xiao'qing'yue'ye'fan'cha'chuan
孙元宝,sun'yuan'bao
唐伯亨因祸致福,tang'bo'heng'yin'huo'zhi'fu
陶学士,tao'xue'shi
铜雀妓,tong'que'ji
投笔记,tou'bi'ji
王公绰,wang'gong'chuo
王俊民休书记,wang'jun'min'xiu'shu'ji
王魁负桂英,wang'kui'fu'gui'ying
王陵,wang'ling
王母蟠桃会,wang'mu'pan'tao'hui
王瑞兰闺怨拜月亭,wang'rui'lan'gui'yuan'bai'yue'ting
王十朋荆钗记,wang'shi'peng'jing'chai'ji
王仙客,wang'xian'ke
王祥行孝,wang'xiang'xing'xiao
王莹玉,wang'ying'yu
王月英月下留鞋,wang'yue'ying'yue'xia'liu'xie
王质,wang'zhi
王子高,wang'zi'gao
温太真,wen'tai'zhen
五伦全备,wu'lun'quan'bei
无双传,wu'shuang'chuan
吴舜英,wu'shun'ying
西窗记,xi'chuang'ji
香供乐院,xiang'gong'le'yuan
萧淑贞祭坟重会姻缘记,xiao'shu'zhen'ji'fen'zhong'hui'yin'yuan'ji
小孙屠,xiao'sun'tu
绣鞋记,xiu'xie'ji
宣和遗事,xuan'he'yi'shi
薛芳卿,xue'fang'qing
杨德贤妇杀狗劝夫,yang'de'xian'fu'sha'gou'quan'fu
杨曼卿,yang'man'qing
杨实锦香囊,yang'shi'jin'xiang'nang
一合传,yi'he'chuan
莺莺西厢记,ying'ying'xi'xiang'ji
玉清庵,yu'qing'an
冤家债主,yuan'jia'zhai'zhu
元永和鬼妻传,yuan'yong'he'gui'qi'chuan
张浩,zhang'hao
张金花,zhang'jin'hua
张琼莲,zhang'qiong'lian
张文举,zhang'wen'ju
张希,zhang'xi
张协状元,zhang'xie'zhuang'yuan
张巡许远双忠记,zhang'xun'xu'yuan'shuang'zhong'ji
张资鸳鸯灯,zhang'zi'yuan'yang'deng
赵普进梅谏,zhao'pu'jin'mei'jian
赵氏孤儿报冤记,zhao'shi'gu'er'bao'yuan'ji
赵彦,zhao'yan
赵贞女蔡二郎,zhao'zhen'nv'cai'er'lang
甄文素,zhen'wen'su
郑将军红白蜘蛛记,zheng'jiang'jun'hong'bai'zhi'zhu'ji
郑孔目风雪酷寒亭,zheng'kong'mu'feng'xue'ku'han'ting
郑琼英,zheng'qiong'ying
郑元和戏文,zheng'yuan'he'xi'wen
志诚主管鬼情案,zhi'cheng'zhu'guan'gui'qing'an
周勃太尉,zhou'bo'tai'wei
周处风云记,zhou'chu'feng'yun'ji
朱买臣休妻记,zhu'mai'chen'xiu'qi'ji
朱文鬼赠太平钱,zhu'wen'gui'zeng'tai'ping'qian
祝英台,zhu'ying'tai
卓氏女鸳鸯会,zhuo'shi'nv'yuan'yang'hui
子母冤家,zi'mu'yuan'jia
祖杰,zu'jie
