阿昌族服饰,a'chang'zu'fu'shi
高腰节裙,gao'yao'jie'qun
高腰裤,gao'yao'ku
个人,ge'ren
弓形线迹,gong'xing'xian'ji
工艺设计,gong'yi'she'ji
拱针法,gong'zhen'fa
工装裤,gong'zhuang'ku
工字褶,gong'zi'zhe
钩编线迹,gou'bian'xian'ji
古代服色,gu'dai'fu'se
古铜洗,gu'tong'xi
挂面,gua'mian
褂面,gua'mian
挂面上,gua'mian'shang
挂面下,gua'mian'xia
挂面中,gua'mian'zhong
挂面中下,gua'mian'zhong'xia
广交会,guang'jiao'hui
规格,gui'ge
滚条,gun'tiao
滚眼,gun'yan
过肩,guo'jian
海军领,hai'jun'ling
海派服装,hai'pai'fu'zhuang
海洋洗,hai'yang'xi
绗缝,hang'feng
绗针法,hang'zhen'fa
貉子毛,hao'zi'mao
合格产品目录,he'ge'chan'pin'mu'lu
荷叶边,he'ye'bian
荷叶边领,he'ye'bian'ling
赫哲族服饰,he'zhe'zu'fu'shi
黑染黑,hei'ran'hei
黑色,hei'se
黑炭衬,hei'tan'chen
横裆,heng'dang
横开领,heng'kai'ling
红调橙,hong'tiao'cheng
红调黄,hong'tiao'huang
后摆,hou'bai
后摆贴,hou'bai'tie
后背宽,hou'bei'kuan
后侧,hou'ce
后侧上,hou'ce'shang
后侧下,hou'ce'xia
后侧中,hou'ce'zhong
后长,hou'chang
后搭门,hou'da'men
后袋,hou'dai
后裆,hou'dang
后裆缝,hou'dang'feng
后幅,hou'fu
后肩,hou'jian
后肩颈点,hou'jian'jing'dian
后肩省,hou'jian'sheng
后颈点,hou'jing'dian
后颈点至腰,hou'jing'dian'zhi'yao
后浪,hou'lang
后领滚,hou'ling'gun
后领口,hou'ling'kou
后领深,hou'ling'shen
后领省,hou'ling'sheng
后片,hou'pian
后下摆,hou'xia'bai
后下摆帖,hou'xia'bai'tie
后袖缝,hou'xiu'feng
后腰省,hou'yao'sheng
后育克,hou'yu'ke
后育克拷边,hou'yu'ke'kao'bian
后育克压线,hou'yu'ke'ya'xian
后褶,hou'zhe
后中,hou'zhong
后中长,hou'zhong'chang
后中上,hou'zhong'shang
后中下,hou'zhong'xia
后中线,hou'zhong'xian
狐狸毛,hu'li'mao
花瓣袖,hua'ban'xiu
花边,hua'bian
化石洗,hua'shi'xi
花式线迹,hua'shi'xian'ji
化纤服装,hua'xian'fu'zhuang
化学洗,hua'xue'xi
花针法,hua'zhen'fa
怀旧洗,huai'jiu'xi
环针法,huan'zhen'fa
黄麻,huang'ma
黄调橙,huang'tiao'cheng
黄调红,huang'tiao'hong
黄调绿,huang'tiao'lv
绘画,hui'hua
绘画方式,hui'hua'fang'shi
绘画功夫,hui'hua'gong'fu
混纺物,hun'fang'wu
活褶,huo'zhe
基本技能,ji'ben'ji'neng
基本原理,ji'ben'yuan'li
基础技能,ji'chu'ji'neng
基诺族服饰,ji'nuo'zu'fu'shi
技术档案,ji'shu'dang'an
及膝裙,ji'xi'qun
鸡心领口,ji'xin'ling'kou
鸡眼,ji'yan
计制,ji'zhi
夹大衣,jia'da'yi
加固线迹,jia'gu'xian'ji
夹克,jia'ke
夹圈,jia'quan
夹条,jia'tiao
夹围,jia'wei
肩点,jian'dian
肩缝,jian'feng
间隔裥裙,jian'ge'jian'qun
肩颈点,jian'jing'dian
肩宽,jian'kuan
尖领,jian'ling
肩袢,jian'pan
剪商标尺码,jian'shang'biao'chi'ma
肩省,jian'sheng
肩斜,jian'xie
肩袖点,jian'xiu'dian
简易西装,jian'yi'xi'zhuang
肩章,jian'zhang
脚边,jiao'bian
脚口,jiao'kou
绞染,jiao'ran
酵素石洗,jiao'su'shi'xi
角形线迹,jiao'xing'xian'ji
胶印,jiao'yin
结构设计,jie'gou'she'ji
借肩,jie'jian
尽快,jin'kuai
锦纶,jin'lun
金属纤维,jin'shu'xian'wei
颈肩点,jing'jian'dian
腈纶,jing'lun
景颇族服饰,jing'po'zu'fu'shi
颈圈,jing'quan
经向,jing'xiang
净样,jing'yang
京族服饰,jing'zu'fu'shi
九分裤,jiu'fen'ku
锯齿形里袋,ju'chi'xing'li'dai
锯齿形状线迹,ju'chi'xing'zhuang'xian'ji
卷脚,juan'jiao
卡袋,ka'dai
开袋,kai'dai
拷边,kao'bian
口袋,kou'dai
扣位,kou'wei
扣眼,kou'yan
裤长,ku'chang
裤裆垫布,ku'dang'dian'bu
裤耳,ku'er
裤裥,ku'jian
裤脚,ku'jiao
裤脚口,ku'jiao'kou
裤门襟,ku'men'jin
裤袢,ku'pan
裤头,ku'tou
裤头里,ku'tou'li
裤头钮,ku'tou'niu
裤腰,ku'yao
裤腰省,ku'yao'sheng
裤中线,ku'zhong'xian
裤子,ku'zi
款式,kuan'shi
款式平面图,kuan'shi'ping'mian'tu
款式设计,kuan'shi'she'ji
款式图,kuan'shi'tu
款式组合图,kuan'shi'zu'he'tu
捆条,kun'tiao
廓形线迹,kuo'xing'xian'ji
喇叭裤,la'ba'ku
喇叭裙,la'ba'qun
喇叭袖,la'ba'xiu
拉祜族服饰,la'hu'zu'fu'shi
拉捆条,la'kun'tiao
拉蓝洗,la'lan'xi
拉链难以开合,la'lian'nan'yi'kai'he
拉链起波浪,la'lian'qi'bo'lang
莱卡,lai'ka
来料加工,lai'liao'jia'gong
莱赛尔纤维,lai'sai'er'xian'wei
蓝调绿,lan'diao'lv
兰月洗,lan'yue'xi
老板裤,lao'ban'ku
里布,li'bu
里袋,li'dai
礼服,li'fu
礼服制服,li'fu'zhi'fu
里巾,li'jin
里襟,li'jin
里襟尖咀,li'jin'jian'ju
立扣,li'kou
里料,li'liao
立领,li'ling
礼袍,li'pao
立体裁剪,li'ti'cai'jian
立体袋,li'ti'dai
礼仪服装,li'yi'fu'zhuang
黎族服饰,li'zu'fu'shi
连肩袖,lian'jian'xiu
联式线迹,lian'shi'xian'ji
链式线迹,lian'shi'xian'ji
连衣裙,lian'yi'qun
两档扣,liang'dang'kou
两眼扣,liang'yan'kou
两用领,liang'yong'ling
缭针法,liao'zhen'fa
领底,ling'di
领高,ling'gao
领豁口,ling'huo'kou
领尖,ling'jian
领尖长,ling'jian'chang
领口省,ling'kou'sheng
领宽,ling'kuan
领里,ling'li
领里口,ling'li'kou
领面,ling'mian
领袢,ling'pan
领上口,ling'shang'kou
领省,ling'sheng
领台,ling'tai
领外口,ling'wai'kou
领围,ling'wei
领窝,ling'wo
领下口,ling'xia'kou
领子,ling'zi
领嘴,ling'zui
领坐,ling'zuo
六分裤,liu'fen'ku
流行趋势,liu'xing'qu'shi
珞巴族服饰,luo'ba'zu'fu'shi
罗纹,luo'wen
螺纹领,luo'wen'ling
罗纹袖口,luo'wen'xiu'kou
螺纹袖口,luo'wen'xiu'kou
绿调黄,lv'tiao'huang
绿调蓝,lv'tiao'lan
旅游服装,lv'you'fu'zhuang
马带袢,ma'dai'pan
马海毛,ma'hai'mao
马甲,ma'jia
码数,ma'shu
马尾衬,ma'wei'chen
满族服饰,man'zu'fu'shi
毛料,mao'liao
毛难族服饰,mao'nan'zu'fu'shi
毛呢服装,mao'ni'fu'zhuang
毛头,mao'tou
猫须,mao'xu
毛样,mao'yang
毛重,mao'zhong
美化设计,mei'hua'she'ji
门巴族服饰,men'ba'zu'fu'shi
门抽,men'chou
门巾,men'jin
门襟,men'jin
门巾上,men'jin'shang
门巾贴,men'jin'tie
门巾下,men'jin'xia
门里襟贴衬子,men'li'jin'tie'chen'zi
门里襟压线,men'li'jin'ya'xian
门筒,men'tong
蒙古族服饰,meng'gu'zu'fu'shi
面布,mian'bu
棉布服装,mian'bu'fu'zhuang
面缝,mian'feng
面料,mian'liao
棉绳,mian'sheng
苗族服饰,miao'zu'fu'shi
苗族细褶裙,miao'zu'xi'zhe'qun
民族服饰,min'zu'fu'shi
明灰调,ming'hui'diao
明裥袋,ming'jian'dai
名片袋,ming'pian'dai
明缲针法,ming'sao'zhen'fa
明线,ming'xian
莫代尔,mo'dai'er
蘑菇扣,mo'gu'kou
磨烂,mo'lan
仫佬族服饰,mu'lao'zu'fu'shi
目录,mu'lu
纳西族服饰,na'xi'zu'fu'shi
男式大衣,nan'shi'da'yi
男式晚礼服,nan'shi'wan'li'fu
男外衣,nan'wai'yi
男装设计,nan'zhuang'she'ji
内部结构设计,nei'bu'jie'gou'she'ji
逆风褶,ni'feng'zhe
呢料,ni'liao
尼龙搭扣,ni'long'da'kou
钮扣,niu'kou
钮门,niu'men
钮牌扣眼,niu'pai'kou'yan
牛仔裤,niu'zai'ku
怒族服饰,nu'zu'fu'shi
女大衣,nv'da'yi
女服,nv'fu
女式西服,nv'shi'xi'fu
女装设计,nv'zhuang'she'ji
派对服装,pai'dui'fu'zhuang
排料,pai'liao
泡泡袖,pao'pao'xiu
配色,pei'se
配套服装,pei'tao'fu'zhuang
喷马骝,pen'ma'liu
喷沙,pen'sha
皮草服饰,pi'cao'fu'shi
皮草设计,pi'cao'she'ji
皮大衣,pi'da'yi
皮带扣,pi'dai'kou
皮革设计,pi'ge'she'ji
皮上衣,pi'shang'yi
皮衣设计,pi'yi'she'ji
漂洗,piao'xi
拼后育克,pin'hou'yu'ke
拼肩缝,pin'jian'feng
拼接毛领,pin'jie'mao'ling
拼前育克,pin'qian'yu'ke
平驳头,ping'bo'tou
平方英尺,ping'fang'ying'chi
平缝,ping'feng
平面裁剪,ping'mian'cai'jian
平纹布,ping'wen'bu
平眼,ping'yan
破坏洗,po'huai'xi
普米族服饰,pu'mi'zu'fu'shi
普洗石洗酵素洗,pu'xi'shi'xi'jiao'su'xi
七分裤,qi'fen'ku
七分袖,qi'fen'xiu
旗袍裙,qi'pao'qun
前摆,qian'bai
前摆贴,qian'bai'tie
前侧,qian'ce
前侧上,qian'ce'shang
前侧下,qian'ce'xia
前侧中,qian'ce'zhong
前长,qian'chang
牵带,qian'dai
前裆,qian'dang
前挡风,qian'dang'feng
嵌缝,qian'feng
前幅,qian'fu
前过肩,qian'guo'jian
前后浪,qian'hou'lang
前肩,qian'jian
前肩省,qian'jian'sheng
前颈点,qian'jing'dian
前浪,qian'lang
前领深,qian'ling'shen
前门襟,qian'men'jin
前片,qian'pian
前上,qian'shang
嵌条,qian'tiao
前下摆,qian'xia'bai
前下摆贴,qian'xia'bai'tie
前胸宽,qian'xiong'kuan
前袖缝,qian'xiu'feng
前腰省,qian'yao'sheng
前腰褶,qian'yao'zhe
前育克拷边,qian'yu'ke'kao'bian
前育克压线,qian'yu'ke'ya'xian
前圆后连袖,qian'yuan'hou'lian'xiu
前中,qian'zhong
前中上,qian'zhong'shang
前中下,qian'zhong'xia
戗驳头,qiang'bo'tou
强调艺术感,qiang'diao'yi'shu'gan
羌族服饰,qiang'zu'fu'shi
茄克,qie'ke
青果领,qing'guo'ling
裘革服装,qiu'ge'fu'zhuang
曲折形线迹,qu'zhe'xing'xian'ji
裙长,qun'chang
裙裥,qun'jian
裙腰,qun'yao
裙腰省,qun'yao'sheng
裙子,qun'zi
热裤,re'ku
人棉布,ren'mian'bu
人体尺寸测量系统,ren'ti'chi'cun'ce'liang'xi'tong
人体结构,ren'ti'jie'gou
人造丝,ren'zao'si
人字带,ren'zi'dai
人字纹,ren'zi'wen
人字线迹,ren'zi'xian'ji
日字扣,ri'zi'kou
乳围,ru'wei
三重线迹,san'chong'xian'ji
三档扣,san'dang'kou
三件套,san'jian'tao
三角针法,san'jiao'zhen'fa
桑蚕丝,sang'can'si
缲缝,sao'feng
色彩搭配,se'cai'da'pei
色彩搭配原则,se'cai'da'pei'yuan'ze
色彩方面,se'cai'fang'mian
色彩基础知识,se'cai'ji'chu'zhi'shi
色调,se'diao
色丁布,se'ding'bu
色卡,se'ka
色相,se'xiang
沙暴洗,sha'bao'xi
砂洗,sha'xi
山羊绒,shan'yang'rong
上裆,shang'dang
上领,shang'ling
上领画线,shang'ling'hua'xian
上领压线,shang'ling'ya'xian
上色材料渲染,shang'shai'cai'liao'xuan'ran
上色方法,shang'shai'fang'fa
上臀围,shang'tun'wei
上胸围,shang'xiong'wei
上袖,shang'xiu
上腰头,shang'yao'tou
上腰围,shang'yao'wei
商业标准,shang'ye'biao'zhun
上衣,shang'yi
设计,she'ji
设计角度,she'ji'jiao'du
设计内容,she'ji'nei'rong
设计师,she'ji'shi
设计实践,she'ji'shi'jian
设计师作品,she'ji'shi'zuo'pin
畲族服饰,she'zu'fu'shi
深的,shen'de
身份,shen'fen
审美价值,shen'mei'jia'zhi
审美品位,shen'mei'pin'wei
市场调研,shi'chang'diao'yan
市场销售,shi'chang'xiao'shou
市场意识,shi'chang'yi'shi
石漂洗,shi'piao'xi
时装画,shi'zhuang'hua
时装画插图家,shi'zhuang'hua'cha'tu'jia
时装效果图,shi'zhuang'xiao'guo'tu
手绘,shou'hui
手绘服装,shou'hui'fu'zhuang
手绘款式图,shou'hui'kuan'shi'tu
手机,shou'ji
手巾袋,shou'jin'dai
手砂,shou'sha
收省,shou'sheng
手针缝法,shou'zhen'feng'fa
手织样,shou'zhi'yang
疏缝,shu'feng
树脂衬,shu'zhi'chen
双重线迹,shuang'chong'xian'ji
双门巾,shuang'men'jin
双面布,shuang'mian'bu
双面呢,shuang'mian'ne
双排扣,shuang'pai'kou
双排扣长礼服,shuang'pai'kou'chang'li'fu
双排扣外衣,shuang'pai'kou'wai'yi
双嵌线袋,shuang'qian'xian'dai
双嵌线口袋,shuang'qian'xian'kou'dai
双十字形状线迹,shuang'shi'zi'xing'zhuang'xian'ji
双袖头,shuang'xiu'tou
双针线迹,shuang'zhen'xian'ji
水貂毛,shui'diao'mao
水晶洗,shui'jing'xi
水族服饰,shui'zu'fu'shi
顺风褶,shun'feng'zhe
丝绸服装,si'chou'fu'zhuang
丝光带,si'guang'dai
丝缕,si'lv
四线,si'xian
四眼扣,si'yan'kou
死褶,si'zhe
锁式线迹,suo'shi'xian'ji
锁针法,suo'zhen'fa
梭织,suo'zhi
缩皱,suo'zhou
塔克,ta'ke
钛色洗,tai'se'xi
太阳裙,tai'yang'qun
弹力纤维,tan'li'xian'wei
坛领,tan'ling
弹性纤维,tan'xing'xian'wei
烫迹线,tang'ji'xian
套色,tao'shai
套色洗,tao'shai'xi
特殊线迹,te'shu'xian'ji
特种服装,te'zhong'fu'zhuang
提花平纹,ti'hua'ping'wen
天丝,tian'si
跳针法,tiao'zhen'fa
贴布,tie'bu
贴袋,tie'dai
贴脚条,tie'jiao'tiao
通省,tong'sheng
铜纤维,tong'xian'wei
童装设计,tong'zhuang'she'ji
土家族服装,tu'jia'zu'fu'zhuang
土族服饰,tu'zu'fu'shi
推板,tui'ban
推档样,tui'dang'yang
退浆保色洗,tui'jiang'bao'se'xi
腿围,tui'wei
臀围,tun'wei
驼绒,tuo'rong
外廓形设计,wai'kuo'xing'she'ji
外衣,wai'yi
晚会服装,wan'hui'fu'zhuang
网眼形状线迹,wang'yan'xing'zhuang'xian'ji
无纺衬,wu'fang'chen
舞台时装,wu'tai'shi'zhuang
无尾礼服,wu'wei'li'fu
五爪扣,wu'zhua'kou
锡伯族服饰,xi'bo'zu'fu'shi
膝盖绸,xi'gai'chou
习惯,xi'guan
细节图,xi'jie'tu
西裤,xi'ku
西式服装,xi'shi'fu'zhuang
洗水,xi'shui
膝围,xi'wei
西装,xi'zhuang
西装领,xi'zhuang'ling
西装袖,xi'zhuang'xiu
下摆,xia'bai
下裆缝,xia'dang'feng
下臀围,xia'tun'wei
下胸围,xia'xiong'wei
下腰围,xia'yao'wei
现场质量控制,xian'chang'zhi'liang'kong'zhi
线迹,xian'ji
线袢,xian'pan
箱包,xiang'bao
箱号,xiang'hao
香蕉领,xiang'jiao'ling
项目设计,xiang'mu'she'ji
橡皮筋袖口,xiang'pi'jin'xiu'kou
小裆,xiao'dang
小裆缝,xiao'dang'feng
小肩宽,xiao'jian'kuan
销售样,xiao'shou'yang
小袖,xiao'xiu
小袖上,xiao'xiu'shang
小袖下,xiao'xiu'xia
斜插袋,xie'cha'dai
蟹嵌领,xie'qian'ling
斜纹布,xie'wen'bu
新尘土洗,xin'chen'tu'xi
新银河洗,xin'yin'he'xi
信用证,xin'yong'zheng
形线迹,xing'xian'ji
胸部,xiong'bu
胸高点,xiong'gao'dian
胸宽,xiong'kuan
胸省,xiong'sheng
胸围,xiong'wei
袖衩条,xiu'cha'tiao
袖长,xiu'chang
袖肥,xiu'fei
绣花,xiu'hua
袖开衩,xiu'kai'cha
袖克夫,xiu'ke'fu
袖口,xiu'kou
袖窿,xiu'long
袖窿深,xiu'long'shen
袖袢,xiu'pan
袖圈,xiu'quan
袖山,xiu'shan
袖头,xiu'tou
休闲服装,xiu'xian'fu'zhuang
袖中缝,xiu'zhong'feng
袖子,xiu'zi
渲染技术,xuan'ran'ji'shu
雪纺布,xue'fang'bu
雪花呢,xue'hua'ne
雪花洗,xue'hua'xi
学生装,xue'sheng'zhuang
亚麻,ya'ma
压条,ya'tiao
眼镜袋,yan'jing'dai
眼距,yan'ju
颜色,yan'se
燕尾服,yan'wei'fu
燕子领,yan'zi'ling
羊卷毛,yang'juan'mao
羊毛,yang'mao
杨树花针法,yang'shu'hua'zhen'fa
羊驼毛,yang'tuo'mao
样衣,yang'yi
羊直毛,yang'zhi'mao
腰带,yao'dai
腰缝,yao'feng
腰节,yao'jie
腰里,yao'li
腰袢,yao'pan
腰上口,yao'shang'kou
腰省,yao'sheng
腰贴,yao'tie
腰头,yao'tou
腰头钮,yao'tou'niu
腰围,yao'wei
腰直,yao'zhi
瑶族服饰,yao'zu'fu'shi
夜礼服,ye'li'fu
腋下省,ye'xia'sheng
一步裙,yi'bu'qun
衣长,yi'chang
衣服,yi'fu
艺术的角度,yi'shu'de'jiao'du
艺术感,yi'shu'gan
艺术性,yi'shu'xing
艺术形式,yi'shu'xing'shi
一字领,yi'zi'ling
一字领口,yi'zi'ling'kou
彝族服饰,yi'zu'fu'shi
印花,yin'hua
英镑,ying'bang
婴儿的全套服装,ying'er'de'quan'tao'fu'zhuang
蛹蛋白纤维,yong'dan'bai'xian'wei
裕固族服饰,yu'gu'zu'fu'shi
育克,yu'ke
羽绒服装,yu'rong'fu'zhuang
羽状线迹,yu'zhuang'xian'ji
圆领,yuan'ling
圆领口,yuan'ling'kou
圆形线迹,yuan'xing'xian'ji
原样,yuan'yang
月牙袋,yue'ya'dai
运单号,yun'dan'hao
运动裤,yun'dong'ku
运动装,yun'dong'zhuang
云朵洗,yun'duo'xi
藏族服饰,zang'zu'fu'shi
藏族围裙,zang'zu'wei'qun
扎结领,zha'jie'ling
扎针法,zha'zhen'fa
粘胶,zhan'jiao
粘胶人造丝,zhan'jiao'ren'zao'si
展示样,zhan'shi'yang
帐单,zhang'dan
照相样,zhao'xiang'yang
折缝,zhe'feng
真皮服饰,zhen'pi'fu'shi
针织,zhen'zhi
整理袋,zheng'li'dai
证书,zheng'shu
制板,zhi'ban
制版,zhi'ban
织补线迹,zhi'bu'xian'ji
织带,zhi'dai
直裆,zhi'dang
制服,zhi'fu
质感的面料,zhi'gan'de'mian'liao
直开领,zhi'kai'ling
止口,zhi'kou
质量控制,zhi'liang'kong'zhi
止绳器,zhi'sheng'qi
直筒裤,zhi'tong'ku
直筒裙,zhi'tong'qun
制图软件,zhi'tu'ruan'jian
直形线迹,zhi'xing'xian'ji
纸样,zhi'yang
纸样设计,zhi'yang'she'ji
制作,zhi'zuo
中长大衣,zhong'chang'da'yi
中裆,zhong'dang
中等品,zhong'deng'pin
中缝连袖,zhong'feng'lian'xiu
重量,zhong'liang
中磨洗,zhong'mo'xi
中漂洗,zhong'piao'xi
中山服领,zhong'shan'fu'ling
中山装,zhong'shan'zhuang
中式服装,zhong'shi'fu'zhuang
中式领,zhong'shi'ling
中烫,zhong'tang
中性服装,zhong'xing'fu'zhuang
中腰节裙,zhong'yao'jie'qun
皱裥裙,zhou'jian'qun
肘围,zhou'wei
苎麻,zhu'ma
珠式线迹,zhu'shi'xian'ji
注重设计,zhu'zhong'she'ji
专业画稿,zhuan'ye'hua'gao
撞钉,zhuang'ding
装货清单,zhuang'huo'qing'dan
装领子,zhuang'ling'zi
撞色,zhuang'se
装饰线迹,zhuang'shi'xian'ji
装袖子,zhuang'xiu'zi
壮族服饰,zhuang'zu'fu'shi
锥裤,zhui'ku
字领口,zi'ling'kou
字裙,zi'qun
紫调红,zi'tiao'hong
紫调蓝,zi'tiao'lan
组合服装,zu'he'fu'zhuang
柞蚕丝,zuo'can'si
做领,zuo'ling
做领子全部,zuo'ling'zi'quan'bu
坐围,zuo'wei
做腰头,zuo'yao'tou
