百底村,bai'di'cun
上马台,shang'ma'tai
上市村,shang'shi'cun
上寨,shang'zhai
上寨村,shang'zhai'cun
邵家岭,shao'jia'ling
邵庄,shao'zhuang
史册村,shi'ce'cun
史恩庄,shi'en'zhuang
史惠庄,shi'hui'zhuang
世纪家园小区,shi'ji'jia'yuan'xiao'qu
史家庄,shi'jia'zhuang
石庙梁,shi'miao'liang
石庄,shi'zhuang
曙光区,shu'guang'qu
双井,shuang'jing
寺塔,si'ta
寺庄,si'zhuang
太华区,tai'hua'qu
太阳堡,tai'yang'bao
太阳乡,tai'yang'xiang
天成堡,tian'cheng'bao
天都大酒店,tian'du'da'jiu'dian
碗窝村,wan'wo'cun
王家岭,wang'jia'ling
魏家院,wei'jia'yuan
卫庄村,wei'zhuang'cun
闻仓线,wen'cang'xian
闻合高速,wen'he'gao'su
文苑区,wen'yuan'qu
文苑西区,wen'yuan'xi'qu
吴村,wu'cun
西樊村,xi'fan'cun
西沟村,xi'gou'cun
西光德,xi'guang'de
西山公园,xi'shan'gong'yuan
西王村,xi'wang'cun
西卫,xi'wei
西卫村,xi'wei'cun
西辛封,xi'xin'feng
西崖底新,xi'ya'di'xin
西窑头,xi'yao'tou
西庄,xi'zhuang
夏村,xia'cun
霞光区,xia'guang'qu
下院,xia'yuan
新百底村,xin'bai'di'cun
新耿大街,xin'geng'da'jie
新仁庄,xin'ren'zhuang
鑫升集团,xin'sheng'ji'tuan
新兴,xin'xing
新兴东路,xin'xing'dong'lu
新兴西路,xin'xing'xi'lu
新窑头,xin'yao'tou
新赵,xin'zhao
辛庄,xin'zhuang
修村,xiu'cun
旭红村,xu'hong'cun
学府街,xue'fu'jie
阎家洞村,yan'jia'dong'cun
艳掌,yan'zhang
羊凹,yang'ao
阳光集团,yang'guang'ji'tuan
杨家巷,yang'jia'xiang
阳史村,yang'shi'cun
窑子沟,yao'zi'gou
义唐,yi'tang
尹村,yin'cun
永安村,yong'an'cun
永济县,yong'ji'xian
垣上,yuan'shang
张高线,zhang'gao'xian
张家堡,zhang'jia'bao
张家巷,zhang'jia'xiang
张家庄,zhang'jia'zhuang
张清线,zhang'qing'xian
张吴村,zhang'wu'cun
赵东路,zhao'dong'lu
赵家庄,zhao'jia'zhuang
朝霞区,zhao'xia'qu
振兴东路,zhen'xing'dong'lu
振兴集团,zhen'xing'ji'tuan
振兴西路,zhen'xing'xi'lu
中铝建设公司,zhong'lv'jian'she'gong'si
中铝检修,zhong'lv'jian'xiu
中铝热电,zhong'lv're'dian
中铝山西企业,zhong'lv'shan'xi'qi'ye
中铝石矿,zhong'lv'shi'kuang
中铝水电,zhong'lv'shui'dian
中铝孝义铝矿,zhong'lv'xiao'yi'lv'kuang
中铝氧化铝二厂,zhong'lv'yang'hua'lv'er'chang
中铝氧化铝一厂,zhong'lv'yang'hua'lv'yi'chang
周家湾,zhou'jia'wan
庄头村,zhuang'tou'cun
紫金街,zi'jin'jie
