安定器,an'ding'qi
飞行员,fei'xing'yuan
飞行指挥员,fei'xing'zhi'hui'yuan
飞行中队,fei'xing'zhong'dui
分散报知,fen'san'bao'zhi
分站,fen'zhan
风向指示灯,feng'xiang'zhi'shi'deng
俯冲轰炸,fu'chong'hong'zha
副驾驶员,fu'jia'shi'yuan
复杂气象飞行,fu'za'qi'xiang'fei'xing
辅助滑行道,fu'zhu'hua'xing'dao
干扰,gan'rao
干扰情报,gan'rao'qing'bao
高界,gao'jie
高空,gao'kong
高炮,gao'pao
高炮射击修正,gao'pao'she'ji'xiu'zheng
高炮团,gao'pao'tuan
高射炮兵,gao'she'pao'bing
高射炮兵气象保障,gao'she'pao'bing'qi'xiang'bao'zhang
高射炮兵战斗准备,gao'she'pao'bing'zhan'dou'zhun'bei
高射炮师,gao'she'pao'shi
高射炮团,gao'she'pao'tuan
个体停机坪,ge'ti'ting'ji'ping
跟踪瞄准式,gen'zong'miao'zhun'shi
跟踪设备,gen'zong'she'bei
攻击,gong'ji
攻击波,gong'ji'bo
供氧,gong'yang
供氧设备,gong'yang'she'bei
光电效应器,guang'dian'xiao'ying'qi
海上,hai'shang
航材,hang'cai
航程,hang'cheng
航迹,hang'ji
航空爆破弹,hang'kong'bao'po'tan
航空标志弹,hang'kong'biao'zhi'tan
航空兵,hang'kong'bing
航空兵气象保障,hang'kong'bing'qi'xiang'bao'zhang
航空兵师,hang'kong'bing'shi
航空兵团,hang'kong'bing'tuan
航空兵战斗队形,hang'kong'bing'zhan'dou'dui'xing
航空兵战斗准备,hang'kong'bing'zhan'dou'zhun'bei
航空兵战斗准备等级,hang'kong'bing'zhan'dou'zhun'bei'deng'ji
航空布雷,hang'kong'bu'lei
航空穿甲弹,hang'kong'chuan'jia'dan
航空低阻弹,hang'kong'di'zu'tan
航空反坦克弹,hang'kong'fan'tan'ke'tan
航空附油,hang'kong'fu'you
航空火箭,hang'kong'huo'jian
航空火力反准备,hang'kong'huo'li'fan'zhun'bei
航空火力支援,hang'kong'huo'li'zhi'yuan
航空火力准备,hang'kong'huo'li'zhun'bei
航空机关炮,hang'kong'ji'guan'pao
航空机枪,hang'kong'ji'qiang
航空减速弹,hang'kong'jian'su'tan
航空救生设备,hang'kong'jiu'sheng'she'bei
航空军械,hang'kong'jun'xie
航空煤油,hang'kong'mei'you
航空器,hang'kong'qi
航空器材,hang'kong'qi'cai
航空汽油,hang'kong'qi'you
航空情况通信,hang'kong'qing'kuang'tong'xin
航空燃料空气弹,hang'kong'ran'liao'kong'qi'tan
航空燃烧弹,hang'kong'ran'shao'dan
航空润滑油,hang'kong'run'hua'you
航空润滑脂,hang'kong'run'hua'zhi
航空杀伤爆破弹,hang'kong'sha'shang'bao'po'tan
航空杀伤弹,hang'kong'sha'shang'tan
航空特种液,hang'kong'te'zhong'ye
航空卫生,hang'kong'wei'sheng
航空烟幕弹,hang'kong'yan'mu'dan
航空油料,hang'kong'you'liao
航空炸弹,hang'kong'zha'dan
航空炸弹圆径,hang'kong'zha'dan'yuan'jing
航空照明弹,hang'kong'zhao'ming'dan
航空照相弹,hang'kong'zhao'xiang'dan
航空侦察,hang'kong'zhen'cha
航空侦察情报报知通信,hang'kong'zhen'cha'qing'bao'bao'zhi'tong'xin
航空主油,hang'kong'zhu'you
航空子母弹,hang'kong'zi'mu'dan
航路,hang'lu
航路导航,hang'lu'dao'hang
航路导航点,hang'lu'dao'hang'dian
航路捷径,hang'lu'jie'jing
航路中心线,hang'lu'zhong'xin'xian
航线,hang'xian
航线天气预报,hang'xian'tian'qi'yu'bao
航向天线,hang'xiang'tian'xian
航校,hang'xiao
航行管制,hang'xing'guan'zhi
航站天气预报,hang'zhan'tian'qi'yu'bao
横队,heng'dui
横飞,heng'fei
轰炸,hong'zha
轰炸兵力计算,hong'zha'bing'li'ji'suan
轰炸航空兵,hong'zha'hang'kong'bing
轰炸机,hong'zha'ji
轰炸目标选择,hong'zha'mu'biao'xuan'ze
后飞,hou'fei
滑翔,hua'xiang
滑翔机,hua'xiang'ji
滑行,hua'xing
滑行道,hua'xing'dao
滑行道灯,hua'xing'dao'deng
会合,hui'he
混合编队,hun'he'bian'dui
火工品,huo'gong'pin
货机,huo'ji
活塞式飞机,huo'sai'shi'fei'ji
基本阵地,ji'ben'zhen'di
机场,ji'chang
机场标高,ji'chang'biao'gao
机场场道,ji'chang'chang'dao
机场场道灯光设备,ji'chang'chang'dao'deng'guang'she'bei
机场待战,ji'chang'dai'zhan
机场导航,ji'chang'dao'hang
机场等级,ji'chang'deng'ji
机场防御,ji'chang'fang'yu
机场关闭,ji'chang'guan'bi
机场净空区,ji'chang'jing'kong'qu
机场天气预报,ji'chang'tian'qi'yu'bao
机场网,ji'chang'wang
机场位置标志灯塔,ji'chang'wei'zhi'biao'zhi'deng'ta
机关炮,ji'guan'pao
激光制导炸弹,ji'guang'zhi'dao'zha'dan
机枪,ji'qiang
机群,ji'qun
机上导航设备,ji'shang'dao'hang'she'bei
机身,ji'shen
技术勤务,ji'shu'qin'wu
技术勤务区,ji'shu'qin'wu'qu
集体停机坪,ji'ti'ting'ji'ping
机窝,ji'wo
机械师,ji'xie'shi
机械员,ji'xie'yuan
机型,ji'xing
机翼,ji'yi
机载雷达,ji'zai'lei'da
机载武器,ji'zai'wu'qi
机长,ji'zhang
机种,ji'zhong
集中报知,ji'zhong'bao'zhi
集中突击,ji'zhong'tu'ji
基准编队,ji'zhun'bian'dui
架次,jia'ci
架设雷达,jia'she'lei'da
驾驶舱,jia'shi'cang
驾驶员,jia'shi'yuan
加油机,jia'you'ji
加油线,jia'you'xian
简单气象飞行,jian'dan'qi'xiang'fei'xing
歼击航空兵,jian'ji'hang'kong'bing
歼击轰炸机,jian'ji'hong'zha'ji
歼击机,jian'ji'ji
校对目标,jiao'dui'mu'biao
教练机,jiao'lian'ji
截击,jie'ji
截击机,jie'ji'ji
截击距离,jie'ji'ju'li
近程轰炸机,jin'cheng'hong'zha'ji
近界,jin'jie
近距,jin'ju
近距导航台,jin'ju'dao'hang'tai
近快战法,jin'kuai'zhan'fa
进入目标,jin'ru'mu'biao
净空,jing'kong
净空区,jing'kong'qu
静升限,jing'sheng'xian
救生背心,jiu'sheng'bei'xin
救生船,jiu'sheng'chuan
救生伞,jiu'sheng'san
绝对高度,jue'dui'gao'du
军航,jun'hang
军区空军,jun'qu'kong'jun
客机,ke'ji
空降兵引导分队,kong'jiang'bing'yin'dao'fen'dui
空军,kong'jun
空军场站,kong'jun'chang'zhan
空军地空导弹兵,kong'jun'di'kong'dao'dan'bing
空军高射炮兵,kong'jun'gao'she'pao'bing
空军军,kong'jun'jun
空军雷达兵,kong'jun'lei'da'bing
空军领航勤务,kong'jun'ling'hang'qin'wu
空军战场准备,kong'jun'zhan'chang'zhun'bei
空军战役,kong'jun'zhan'yi
空军作战小组,kong'jun'zuo'zhan'xiao'zu
空勤,kong'qin
空勤人员,kong'qin'ren'yuan
空勤组,kong'qin'zu
空情,kong'qing
空情报知,kong'qing'bao'zhi
空速,kong'su
空投,kong'tou
空袭,kong'xi
空袭兵器,kong'xi'bing'qi
空域,kong'yu
空战,kong'zhan
空中爆炸,kong'zhong'bao'zha
空中编队,kong'zhong'bian'dui
空中补给,kong'zhong'bu'ji
空中待战,kong'zhong'dai'zhan
空中等待,kong'zhong'deng'dai
空中发射电台,kong'zhong'fa'she'dian'tai
空中封锁,kong'zhong'feng'suo
空中观察识别,kong'zhong'guan'cha'shi'bie
空中护航,kong'zhong'hu'hang
空中机动,kong'zhong'ji'dong
空中集合,kong'zhong'ji'he
空中截击,kong'zhong'jie'ji
空中禁区,kong'zhong'jin'qu
空中救援,kong'zhong'jiu'yuan
空中领航,kong'zhong'ling'hang
空中目标,kong'zhong'mu'biao
空中能见度,kong'zhong'neng'jian'du
空中情况,kong'zhong'qing'kuang
空中通信,kong'zhong'tong'xin
空中突击,kong'zhong'tu'ji
空中悬停,kong'zhong'xuan'ting
空中巡逻,kong'zhong'xun'luo
空中掩护,kong'zhong'yan'hu
空中游猎,kong'zhong'you'lie
空中战役,kong'zhong'zhan'yi
空中指挥,kong'zhong'zhi'hui
空中指挥所,kong'zhong'zhi'hui'suo
空中支援,kong'zhong'zhi'yuan
空中转信,kong'zhong'zhuan'xin
空中走廊,kong'zhong'zou'lang
空中走廊进出口,kong'zhong'zou'lang'jin'chu'kou
空中阻击,kong'zhong'zu'ji
跨区,kua'qu
跨区作战,kua'qu'zuo'zhan
跨音速,kua'yin'su
来袭,lai'xi
来袭方向,lai'xi'fang'xiang
雷达保障,lei'da'bao'zhang
雷达布局,lei'da'bu'ju
雷达警戒线,lei'da'jing'jie'xian
雷达盲区,lei'da'mang'qu
雷达情报,lei'da'qing'bao
雷达情报分站,lei'da'qing'bao'fen'zhan
雷达情报网,lei'da'qing'bao'wang
雷达情报站,lei'da'qing'bao'zhan
雷达情报总分站,lei'da'qing'bao'zong'fen'zhan
雷达情报总站,lei'da'qing'bao'zong'zhan
雷达探测范围,lei'da'tan'ce'fan'wei
雷达图像传输设备,lei'da'tu'xiang'chuan'shu'she'bei
雷达团指挥所,lei'da'tuan'zhi'hui'suo
雷达网,lei'da'wang
雷达营指挥所,lei'da'ying'zhi'hui'suo
雷达员,lei'da'yuan
雷达阵地,lei'da'zhen'di
雷达值班,lei'da'zhi'ban
雷达作用距离,lei'da'zuo'yong'ju'li
离场,li'chang
离场高度,li'chang'gao'du
离地,li'di
离地高度,li'di'gao'du
联络道,lian'luo'dao
联络滑行道,lian'luo'hua'xing'dao
连续突击,lian'xu'tu'ji
两坐标,liang'zuo'biao
两坐标雷达,liang'zuo'biao'lei'da
僚机,liao'ji
临时阵地,lin'shi'zhen'di
领航,ling'hang
领航保障,ling'hang'bao'zhang
领航员,ling'hang'yuan
轮流开机值班,lun'liu'kai'ji'zhi'ban
马赫数,ma'he'shu
米格,mi'ge
迷航,mi'hang
密码信号,mi'ma'xin'hao
民航,min'hang
目标高度,mu'biao'gao'du
目标航迹,mu'biao'hang'ji
目标性质,mu'biao'xing'zhi
目标性质情报,mu'biao'xing'zhi'qing'bao
目标引导电台,mu'biao'yin'dao'dian'tai
目标引导组,mu'biao'yin'dao'zu
目标运动,mu'biao'yun'dong
目标运动参数,mu'biao'yun'dong'can'shu
目标运动特性,mu'biao'yun'dong'te'xing
目标坐标,mu'biao'zuo'biao
目标坐标情况,mu'biao'zuo'biao'qing'kuang
目视导航设备,mu'shi'dao'hang'she'bei
目视飞行,mu'shi'fei'xing
凝固汽油弹,ning'gu'qi'you'dan
爬高率,pa'gao'lv
爬升率,pa'sheng'lv
跑道,pao'dao
跑道灯,pao'dao'deng
跑道端灯,pao'dao'duan'deng
跑道中心线,pao'dao'zhong'xin'xian
炮塔,pao'ta
炮校,pao'xiao
炮校机,pao'xiao'ji
喷气式,pen'qi'shi
喷气式飞机,pen'qi'shi'fei'ji
批次,pi'ci
平行滑行道,ping'xing'hua'xing'dao
迫降,po'jiang
迫降场,po'jiang'chang
起飞线,qi'fei'xian
起落航线,qi'luo'hang'xian
起落滑跑距离,qi'luo'hua'pao'ju'li
起落架,qi'luo'jia
起落装置,qi'luo'zhuang'zhi
气象室,qi'xiang'shi
气象站,qi'xiang'zhan
气象诸元,qi'xiang'zhu'yuan
前飞,qian'fei
前沿机场,qian'yan'ji'chang
强击,qiang'ji
强击航空兵,qiang'ji'hang'kong'bing
强击机,qiang'ji'ji
强击直升机,qiang'ji'zhi'sheng'ji
情报分站,qing'bao'fen'zhan
情报总分站,qing'bao'zong'fen'zhan
情报总站,qing'bao'zong'zhan
轻型轰炸机,qing'xing'hong'zha'ji
区域天气预报,qu'yu'tian'qi'yu'bao
全程,quan'cheng
全程作战,quan'cheng'zuo'zhan
全额战勤班,quan'e'zhan'qin'ban
全方向信号,quan'fang'xiang'xin'hao
燃料空气弹,ran'liao'kong'qi'tan
燃烧弹,ran'shao'dan
燃烧子母弹,ran'shao'zi'mu'dan
人防,ren'fang
人工转信,ren'gong'zhuan'xin
人民防空,ren'min'fang'kong
三等,san'deng
三等战斗准备,san'deng'zhan'dou'zhun'bei
三级,san'ji
三级机场,san'ji'ji'chang
伞上供氧设备,san'shang'gong'yang'she'bei
三坐标,san'zuo'biao
三坐标雷达,san'zuo'biao'lei'da
杀伤爆破弹,sha'shang'bao'po'tan
杀伤弹,sha'shang'tan
杀伤子母弹,sha'shang'zi'mu'dan
上报通信,shang'bao'tong'xin
上升率,shang'sheng'lv
上仰,shang'yang
上仰轰炸,shang'yang'hong'zha
设伏歼敌,she'fu'jian'di
射击修正,she'ji'xiu'zheng
射击员,she'ji'yuan
升限,sheng'xian
试航,shi'hang
视觉信号,shi'jue'xin'hao
疏散区,shu'san'qu
率领编队,shuai'ling'bian'dui
水平安定面,shui'ping'an'ding'mian
水平轰炸,shui'ping'hong'zha
水上目标,shui'shang'mu'biao
缩额战勤班,suo'e'zhan'qin'ban
他备式,ta'bei'shi
塔台指挥员,ta'tai'zhi'hui'yuan
弹耳,tan'er
弹射跳伞,tan'she'tiao'san
弹射跳伞装置,tan'she'tiao'san'zhuang'zhi
特级机场,te'ji'ji'chang
梯队,ti'dui
天气发展趋势,tian'qi'fa'zhan'qu'shi
天气实况,tian'qi'shi'kuang
天气现象,tian'qi'xian'xiang
天线罩,tian'xian'zhao
停机,ting'ji
停机坪,ting'ji'ping
听召唤,ting'zhao'huan
听召唤出动,ting'zhao'huan'chu'dong
通报通信,tong'bao'tong'xin
同时突击,tong'shi'tu'ji
通信飞机,tong'xin'fei'ji
通信联络用具,tong'xin'lian'luo'yong'ju
通信天线,tong'xin'tian'xian
通信员,tong'xin'yuan
投物器材,tou'wu'qi'cai
图传,tu'chuan
突击队,tu'ji'dui
推进剂,tui'jin'ji
脱机道,tuo'ji'dao
拖机道,tuo'ji'dao
外场值班室,wai'chang'zhi'ban'shi
尾桨,wei'jiang
尾炮塔,wei'pao'ta
尾翼,wei'yi
我机,wo'ji
涡轮螺旋桨,wo'lun'luo'xuan'jiang
无人驾驶,wu'ren'jia'shi
无人驾驶飞机,wu'ren'jia'shi'fei'ji
无线电导航设备,wu'xian'dian'dao'hang'she'bei
无线电罗盘,wu'xian'dian'luo'pan
武装直升机,wu'zhuang'zhi'sheng'ji
下滑灯,xia'hua'deng
下滑轰炸,xia'hua'hong'zha
下滑天线,xia'hua'tian'xian
下令起飞线,xia'ling'qi'fei'xian
相对高度,xiang'dui'gao'du
小后掠角,xiao'hou'lue'jiao
楔队,xie'dui
协同作战方式,xie'tong'zuo'zhan'fang'shi
续航,xu'hang
续航能力,xu'hang'neng'li
续航时间,xu'hang'shi'jian
宣传单,xuan'chuan'dan
悬停,xuan'ting
旋翼,xuan'yi
旋翼机,xuan'yi'ji
巡航高度,xun'hang'gao'du
巡航速度,xun'hang'su'du
训练弹,xun'lian'tan
询问机,xun'wen'ji
亚音速,ya'yin'su
亚音速飞机,ya'yin'su'fei'ji
掩蔽库,yan'bi'ku
掩护队,yan'hu'dui
烟火信号,yan'huo'xin'hao
烟幕弹,yan'mu'dan
延期爆炸,yan'qi'bao'zha
延期引信,yan'qi'yin'xin
要害部位,yao'hai'bu'wei
夜航,ye'hang
夜间,ye'jian
野战导航点,ye'zhan'dao'hang'dian
野战机场,ye'zhan'ji'chang
仪表飞行,yi'biao'fei'xing
一等,yi'deng
一级,yi'ji
一级机场,yi'ji'ji'chang
一线机场,yi'xian'ji'chang
引导,yin'dao
引导飞机着陆,yin'dao'fei'ji'zhuo'lu
引导分队,yin'dao'fen'dui
引导雷达,yin'dao'lei'da
引火器材,yin'huo'qi'cai
引信,yin'xin
营房,ying'fang
应急起飞,ying'ji'qi'fei
应急起飞跑道,ying'ji'qi'fei'pao'dao
永备,yong'bei
永备机场,yong'bei'ji'chang
预备机场,yu'bei'ji'chang
预备阵地,yu'bei'zhen'di
预警,yu'jing
预警机,yu'jing'ji
远程轰炸机,yuan'cheng'hong'zha'ji
原地转弯,yuan'di'zhuan'wan
远界,yuan'jie
圆径,yuan'jing
远距,yuan'ju
远距导航台,yuan'ju'dao'hang'tai
原型机,yuan'xing'ji
云上飞行,yun'shang'fei'xing
运输航空兵,yun'shu'hang'kong'bing
运输机,yun'shu'ji
云下飞行,yun'xia'fei'xing
再次出动,zai'ci'chu'dong
再次出动准备,zai'ci'chu'dong'zhun'bei
在复杂气象条件下,zai'fu'za'qi'xiang'tiao'jian'xia
载机,zai'ji
在指定的责任区,zai'zhi'ding'de'ze'ren'qu
责任区,ze'ren'qu
战场准备,zhan'chang'zhun'bei
战斗出动,zhan'dou'chu'dong
战斗出动率,zhan'dou'chu'dong'lv
战斗出动强度,zhan'dou'chu'dong'qiang'du
战斗队形,zhan'dou'dui'xing
战斗飞行,zhan'dou'fei'xing
战斗飞行时间,zhan'dou'fei'xing'shi'jian
战斗活动,zhan'dou'huo'dong
战斗活动时间,zhan'dou'huo'dong'shi'jian
战斗起飞,zhan'dou'qi'fei
战斗转场,zhan'dou'zhuan'chang
战斗准备,zhan'dou'zhun'bei
战略后方机场,zhan'lue'hou'fang'ji'chang
战区导航,zhan'qu'dao'hang
战术技术性能,zhan'shu'ji'shu'xing'neng
战役后方机场,zhan'yi'hou'fang'ji'chang
障碍灯,zhang'ai'deng
长机,zhang'ji
照明弹,zhao'ming'dan
着水,zhao'shui
照相弹,zhao'xiang'dan
照相机电路,zhao'xiang'ji'dian'lu
遮蔽角,zhe'bi'jiao
侦察航空兵,zhen'cha'hang'kong'bing
侦察机,zhen'cha'ji
侦察校射机,zhen'cha'xiao'she'ji
真高,zhen'gao
真实高度,zhen'shi'gao'du
正驾驶员,zheng'jia'shi'yuan
制导系统,zhi'dao'xi'tong
指挥交接,zhi'hui'jiao'jie
指挥设备,zhi'hui'she'bei
制空权,zhi'kong'quan
直墙圆拱,zhi'qiang'yuan'gong
直升机,zhi'sheng'ji
指示目标,zhi'shi'mu'biao
指引目标,zhi'yin'mu'biao
中程轰炸机,zhong'cheng'hong'zha'ji
中空,zhong'kong
中期,zhong'qi
重型轰炸机,zhong'xing'hong'zha'ji
中型轰炸机,zhong'xing'hong'zha'ji
昼间,zhou'jian
主滑行道,zhu'hua'xing'dao
主跑道,zhu'pao'dao
主油,zhu'you
转信,zhuan'xin
转信飞机,zhuan'xin'fei'ji
专业教练机,zhuan'ye'jiao'lian'ji
专用飞机,zhuan'yong'fei'ji
装填物,zhuang'tian'wu
着陆距离,zhuo'lu'ju'li
着陆雷达,zhuo'lu'lei'da
着陆能见度,zhuo'lu'neng'jian'du
自备式,zi'bei'shi
自动摄影目标图像,zi'dong'she'ying'mu'biao'tu'xiang
自动转信,zi'dong'zhuan'xin
子母弹,zi'mu'dan
自然景色,zi'ran'jing'se
纵队,zong'dui
总分站,zong'fen'zhan
纵深机场,zong'shen'ji'chang
总站,zong'zhan
最低飞行条件,zui'di'fei'xing'tiao'jian
座舱,zuo'cang
作战半径,zuo'zhan'ban'jing
作战飞机,zuo'zhan'fei'ji
作战小组,zuo'zhan'xiao'zu
