阿尔斯通,a'er'si'tong
北极的企鹅,bei'ji'de'qi'e
北京南站南广场,bei'jing'nan'zhan'nan'guang'chang
北京西站南广场,bei'jing'xi'zhan'nan'guang'chang
北京站东,bei'jing'zhan'dong
北京站西,bei'jing'zhan'xi
北同蒲,bei'tong'pu
北同蒲铁路,bei'tong'pu'tie'lu
北同蒲线,bei'tong'pu'xian
北洋,bei'yang
北洋条码打印机,bei'yang'tiao'ma'da'yin'ji
北洋制票机,bei'yang'zhi'piao'ji
北站,bei'zhan
本石,ben'shi
本线除直通车外,ben'xian'chu'zhi'tong'che'wai
本线各站,ben'xian'ge'zhan
本线里程仅限,ben'xian'li'cheng'jin'xian
本线里程仅限发到,ben'xian'li'cheng'jin'xian'fa'dao
崩鹏飞,beng'peng'fei
崩州,beng'zhou
避让,bi'rang
变等级列车,bian'deng'ji'lie'che
变更,bian'geng
变更用途,bian'geng'yong'tu
边检,bian'jian
变径,bian'jing
边境,bian'jing
变径票,bian'jing'piao
变铺,bian'pu
变卧,bian'wo
编组场,bian'zu'chang
编组站,bian'zu'zhan
变座,bian'zuo
边座,bian'zuo
滨北,bin'bei
滨北铁路,bin'bei'tie'lu
滨北线,bin'bei'xian
滨北线新松浦以远,bin'bei'xian'xin'song'pu'yi'yuan
滨哈舒吉滨,bin'ha'shu'ji'bin
滨哈舒吉滨沈,bin'ha'shu'ji'bin'shen
滨绥,bin'sui
滨绥铁路,bin'sui'tie'lu
滨绥线,bin'sui'xian
滨绥线新香坊以远,bin'sui'xian'xin'xiang'fang'yi'yuan
滨洲,bin'zhou
滨洲铁路,bin'zhou'tie'lu
滨洲线,bin'zhou'xian
波比,bo'bi
波波,bo'bo
渤海轮渡,bo'hai'lun'du
博林铁路,bo'lin'tie'lu
博林线,bo'lin'xian
波鹏飞,bo'peng'fei
勃七铁路,bo'qi'tie'lu
勃七线,bo'qi'xian
博山铁路,bo'shan'tie'lu
博山线,bo'shan'xian
不办理该站,bu'ban'li'gai'zhan
不对号,bu'dui'hao
部分经由,bu'fen'jing'you
不符,bu'fu
部级经由,bu'ji'jing'you
补价,bu'jia
补剪,bu'jian
补检,bu'jian
不结账退出,bu'jie'zhang'tui'chu
不可售票,bu'ke'shou'piao
不可售通票,bu'ke'shou'tong'piao
补空调,bu'kong'tiao
不买通,bu'mai'tong
补票费,bu'piao'fei
补签,bu'qian
不是接算站,bu'shi'jie'suan'zhan
不收,bu'shou
补卧票,bu'wo'piao
不与,bu'yu
不与他线办理直通业务,bu'yu'ta'xian'ban'li'zhi'tong'ye'wu
财收,cai'shou
财收二,cai'shou'er
财收二十二,cai'shou'er'shi'er
财收三,cai'shou'san
财收四,cai'shou'si
财收一,cai'shou'yi
餐车,can'che
残票,can'piao
餐座,can'zuo
仓仓,cang'cang
曹妃甸,cao'fei'dian
曹山,cao'shan
柴油发电机,chai'you'fa'dian'ji
长白山,chang'bai'shan
长白山号,chang'bai'shan'hao
长白铁路,chang'bai'tie'lu
长白线,chang'bai'xian
昌包,chang'bao
昌包昆,chang'bao'kun
常备客票,chang'bei'ke'piao
长滨铁路,chang'bin'tie'lu
长滨线,chang'bin'xian
昌赤,chang'chi
昌大,chang'da
长段,chang'duan
长哈,chang'ha
昌集,chang'ji
长吉城际铁路,chang'ji'cheng'ji'tie'lu
长吉城际线,chang'ji'cheng'ji'xian
常见经由,chang'jian'jing'you
长捡委,chang'jian'wei
长江大桥,chang'jiang'da'qiao
长江二桥,chang'jiang'er'qiao
长江铁路网,chang'jiang'tie'lu'wang
长江网,chang'jiang'wang
长荆铁路,chang'jing'tie'lu
长荆线,chang'jing'xian
昌九城际铁路,chang'jiu'cheng'ji'tie'lu
昌九城际线,chang'jiu'cheng'ji'xian
长客,chang'ke
昌隆,chang'long
昌沙,chang'sha
长沈,chang'shen
昌通,chang'tong
长图铁路,chang'tu'tie'lu
长图线,chang'tu'xian
长阳村线路所,chang'yang'cun'xian'lu'suo
长阳线路所,chang'yang'xian'lu'suo
朝开,chao'kai
朝开铁路,chao'kai'tie'lu
朝开线,chao'kai'xian
朝乌铁路,chao'wu'tie'lu
朝乌线,chao'wu'xian
超员率,chao'yuan'lv
车次,che'ci
车次不符,che'ci'bu'fu
车次加价,che'ci'jia'jia
车次加锁,che'ci'jia'suo
车次解锁,che'ci'jie'suo
车次取消限售,che'ci'qu'xiao'xian'shou
车次小字典,che'ci'xiao'zi'dian
车次余票查询,che'ci'yu'piao'cha'xun
车次预售时间未到,che'ci'yu'shou'shi'jian'wei'dao
车机联控,che'ji'lian'kong
车辆段,che'liang'duan
车票,che'piao
车票拾捡委员会,che'piao'shi'jian'wei'yuan'hui
车票作废,che'piao'zuo'fei
车上层,che'shang'ceng
车体,che'ti
车体套跑,che'ti'tao'pao
车体套用,che'ti'tao'yong
车务段,che'wu'duan
车厢,che'xiang
车载,che'zai
车载移动补票设备,che'zai'yi'dong'bu'piao'she'bei
车站,che'zhan
车站代码,che'zhan'dai'ma
车站工作人员,che'zhan'gong'zuo'ren'yuan
车站经由,che'zhan'jing'you
车站小字典,che'zhan'xiao'zi'dian
成宝,cheng'bao
乘车人数通知单,cheng'che'ren'shu'tong'zhi'dan
乘车条件,cheng'che'tiao'jian
乘车站,cheng'che'zhan
乘车站与终到站同城,cheng'che'zhan'yu'zhong'dao'zhan'tong'cheng
成段,cheng'duan
成高子方向各站,cheng'gao'zi'fang'xiang'ge'zhan
成灌铁路,cheng'guan'tie'lu
成灌线,cheng'guan'xian
城际,cheng'ji
城鸡铁路,cheng'ji'tie'lu
城际下行联络线,cheng'ji'xia'xing'lian'luo'xian
城鸡线,cheng'ji'xian
乘降所,cheng'jiang'suo
承京,cheng'jing
承京南,cheng'jing'nan
成局,cheng'ju
成昆铁路,cheng'kun'tie'lu
成昆线,cheng'kun'xian
承隆,cheng'long
承隆铁路,cheng'long'tie'lu
承隆线,cheng'long'xian
乘务套跑,cheng'wu'tao'pao
乘务套用,cheng'wu'tao'yong
乘务员,cheng'wu'yuan
城下联,cheng'xia'lian
承义,cheng'yi
成渝,cheng'yu
成渝贵,cheng'yu'gui
成渝铁路,cheng'yu'tie'lu
成渝线,cheng'yu'xian
承运人,cheng'yun'ren
城站,cheng'zhan
城庄铁路,cheng'zhuang'tie'lu
城庄线,cheng'zhuang'xian
重联,chong'lian
抽屉,chou'ti
抽屉票,chou'ti'piao
初始化,chu'shi'hua
川黔铁路,chuan'qian'tie'lu
川黔线,chuan'qian'xian
窗口定义,chuang'kou'ding'yi
窗口监控,chuang'kou'jian'kong
床头灯,chuang'tou'deng
春上黄,chun'shang'huang
春运,chun'yun
磁记录,ci'ji'lu
磁记录热敏打印机,ci'ji'lu're'min'da'yin'ji
磁介质车票,ci'jie'zhi'che'piao
磁介质客票,ci'jie'zhi'ke'piao
磁介质票,ci'jie'zhi'piao
磁莱铁路,ci'lai'tie'lu
磁莱线,ci'lai'xian
崔砦,cui'zhai
大白猫,da'bai'mao
大白猪,da'bai'zhu
大包昆,da'bao'kun
达成铁路,da'cheng'tie'lu
达成线,da'cheng'xian
大带小,da'dai'xiao
大耳肥土,da'er'fei'tu
大理北铁路,da'li'bei'tie'lu
大理北线,da'li'bei'xian
大秦铁路,da'qin'tie'lu
大秦线,da'qin'xian
大瑞铁路,da'rui'tie'lu
大瑞铁路大理段,da'rui'tie'lu'da'li'duan
大瑞线,da'rui'xian
大瑞线大理段,da'rui'xian'da'li'duan
大台支线,da'tai'zhi'xian
达万铁路,da'wan'tie'lu
达万线,da'wan'xian
大站带小站,da'zhan'dai'xiao'zhan
大郑铁路,da'zheng'tie'lu
大郑线,da'zheng'xian
大准铁路,da'zhun'tie'lu
大准线,da'zhun'xian
待避,dai'bi
代售,dai'shou
代售处,dai'shou'chu
代售点,dai'shou'dian
代用票,dai'yong'piao
代座,dai'zuo
担当乘务,dan'dang'cheng'wu
单日,dan'ri
单日反编组运行,dan'ri'fan'bian'zu'yun'xing
单日开行,dan'ri'kai'xing
单日停运,dan'ri'ting'yun
单卧票,dan'wo'piao
单卧小孩票,dan'wo'xiao'hai'piao
单线,dan'xian
党济,dang'ji
党桥,dang'qiao
党桥津津,dang'qiao'jin'jin
党桥津津狼,dang'qiao'jin'jin'lang
当日当次车有效,dang'ri'dang'ci'che'you'xiao
当日使用一次有效,dang'ri'shi'yong'yi'ci'you'xiao
道岔,dao'cha
导出经由,dao'chu'jing'you
导入经由,dao'ru'jing'you
到站,dao'zhan
到站列表,dao'zhan'lie'biao
到站已封,dao'zhan'yi'feng
到站余票查询,dao'zhan'yu'piao'cha'xun
德衡,de'heng
的经由,de'jing'you
德天铁路,de'tian'tie'lu
德天线,de'tian'xian
灯泡线,deng'pao'xian
地方铁路,di'fang'tie'lu
滴抚,di'fu
滴抚线,di'fu'xian
地区码,di'qu'ma
地区中心,di'qu'zhong'xin
地区中心出错,di'qu'zhong'xin'chu'cuo
地铁,di'tie
地下龙肉,di'xia'long'rou
电报,dian'bao
电报码,dian'bao'ma
电猴,dian'hou
电话订票,dian'hua'ding'piao
电力机车,dian'li'ji'che
滇越,dian'yue
滇越铁路,dian'yue'tie'lu
滇越线,dian'yue'xian
调度,diao'du
调度楼,diao'du'lou
调度命令,diao'du'ming'ling
调度室,diao'du'shi
调度员,diao'du'yuan
刁家段,diao'jia'duan
刁亮,diao'liang
刁亮没,diao'liang'mei
定额客票,ding'e'ke'piao
定额票,ding'e'piao
定银铁路,ding'yin'tie'lu
定银线,ding'yin'xian
东北环线,dong'bei'huan'xian
东边道,dong'bian'dao
动残,dong'can
动车组,dong'che'zu
动车组变等,dong'che'zu'bian'deng
动车组餐座,dong'che'zu'can'zuo
动车组车票,dong'che'zu'che'piao
动车组到底,dong'che'zu'dao'di
动车组动车,dong'che'zu'dong'che
动车组二等座,dong'che'zu'er'deng'zuo
动车组高级软卧,dong'che'zu'gao'ji'ruan'wo
动车组软卧,dong'che'zu'ruan'wo
动车组软卧代二等座,dong'che'zu'ruan'wo'dai'er'deng'zuo
动车组软卧代一等座,dong'che'zu'ruan'wo'dai'yi'deng'zuo
动车组软卧代座,dong'che'zu'ruan'wo'dai'zuo
动车组特等座,dong'che'zu'te'deng'zuo
动车组拖车,dong'che'zu'tuo'che
动车组一等座,dong'che'zu'yi'deng'zuo
东风,dong'feng
东南沿海优质大巴,dong'nan'yan'hai'you'zhi'da'ba
东清铁路,dong'qing'tie'lu
动卧,dong'wo
动芯道岔,dong'xin'dao'cha
东芝,dong'zhi
东芝泰格,dong'zhi'tai'ge
东芝泰格条码打印机,dong'zhi'tai'ge'tiao'ma'da'yin'ji
东芝泰格制票机,dong'zhi'tai'ge'zhi'piao'ji
都按,dou'an
渡口铁路,du'kou'tie'lu
渡口线,du'kou'xian
短途卧铺,duan'tu'wo'pu
短途卧铺票价优惠办法,duan'tu'wo'pu'piao'jia'you'hui'ban'fa
短途卧铺优惠,duan'tu'wo'pu'you'hui
短途优惠卧铺,duan'tu'you'hui'wo'pu
对号,dui'hao
敦煌铁路,dun'huang'tie'lu
敦煌线,dun'huang'xian
多退少补,duo'tui'shao'bu
峨嵋,e'mei
峨眉,e'mei
峨眉山,e'mei'shan
二档折扣,er'dang'zhe'kou
二等,er'deng
二等软座车,er'deng'ruan'zuo'che
二等座餐车,er'deng'zuo'can'che
二等座车,er'deng'zuo'che
二等座无座,er'deng'zuo'wu'zuo
耳朵眼炸糕,er'duo'yan'zha'gao
二类包裹,er'lei'bao'guo
二猫,er'mao
二人软包,er'ren'ruan'bao
二维码,er'wei'ma
法国橙,fa'guo'cheng
发售通票,fa'shou'tong'piao
发站,fa'zhan
发站已封,fa'zhan'yi'feng
反编组运行,fan'bian'zu'yun'xing
饭局,fan'ju
范围,fan'wei
房山线,fang'shan'xian
方位,fang'wei
方位码,fang'wei'ma
方向牌,fang'xiang'pai
飞狐,fei'hu
飞狐兄,fei'hu'xiong
非接算站,fei'jie'suan'zhan
分段,fen'duan
分段计价,fen'duan'ji'jia
分段计算,fen'duan'ji'suan
分局,fen'ju
分局接口,fen'ju'jie'kou
分票种票价,fen'piao'zhong'piao'jia
分歧站,fen'qi'zhan
分散动力,fen'san'dong'li
逢单日开行,feng'dan'ri'kai'xing
峰福,feng'fu
峰福铁路,feng'fu'tie'lu
峰福线,feng'fu'xian
丰广,feng'guang
丰广联,feng'guang'lian
丰广联络线,feng'guang'lian'luo'xian
丰广铁路,feng'guang'tie'lu
丰广线,feng'guang'xian
奉海铁路,feng'hai'tie'lu
奉海线,feng'hai'xian
封黄,feng'huang
丰京,feng'jing
丰沙,feng'sha
丰沙铁路,feng'sha'tie'lu
丰沙线,feng'sha'xian
奉山铁路,feng'shan'tie'lu
奉山线,feng'shan'xian
凤上,feng'shang
凤上铁路,feng'shang'tie'lu
凤上线,feng'shang'xian
逢双日开行,feng'shuang'ri'kai'xing
丰双铁路,feng'shuang'tie'lu
丰双线,feng'shuang'xian
丰原,feng'yuan
封站,feng'zhan
封装号,feng'zhuang'hao
封装日期,feng'zhuang'ri'qi
腐败吴,fu'bai'wu
福段,fu'duan
抚抚联络线,fu'fu'lian'luo'xian
抚抚线,fu'fu'xian
阜淮铁路,fu'huai'tie'lu
阜淮线,fu'huai'xian
抚吉,fu'ji
抚吉图,fu'ji'tu
符夹,fu'jia
附加费,fu'jia'fei
附加票,fu'jia'piao
符夹铁路,fu'jia'tie'lu
符夹线,fu'jia'xian
复件,fu'jian
附件,fu'jian
福连铁路,fu'lian'tie'lu
福连线,fu'lian'xian
福马铁路,fu'ma'tie'lu
福马线,fu'ma'xian
抚梅,fu'mei
福前铁路,fu'qian'tie'lu
福前线,fu'qian'xian
赋权,fu'quan
抚沈,fu'shen
抚沈海沟山,fu'shen'hai'gou'shan
抚沈皇,fu'shen'huang
复式道岔,fu'shi'dao'cha
抚顺城,fu'shun'cheng
抚顺铁路,fu'shun'tie'lu
抚顺线,fu'shun'xian
富西铁路,fu'xi'tie'lu
富西线,fu'xi'xian
复线,fu'xian
复用,fu'yong
改签,gai'qian
赣龙铁路,gan'long'tie'lu
赣龙线,gan'long'xian
甘南铁路,gan'nan'tie'lu
甘南线,gan'nan'xian
干武铁路,gan'wu'tie'lu
干武吐,gan'wu'tu
干武线,gan'wu'xian
甘钟铁路,gan'zhong'tie'lu
甘钟线,gan'zhong'xian
高包,gao'bao
高茶联络线,gao'cha'lian'luo'xian
高茶线,gao'cha'xian
高等级软座快速列车,gao'deng'ji'ruan'zuo'kuai'su'lie'che
高级,gao'ji
高级软卧代座,gao'ji'ruan'wo'dai'zuo
高级软卧代座高速,gao'ji'ruan'wo'dai'zuo'gao'su
高级软卧代座快慢,gao'ji'ruan'wo'dai'zuo'kuai'man
高级软卧代座快速,gao'ji'ruan'wo'dai'zuo'kuai'su
高级软卧代座普客,gao'ji'ruan'wo'dai'zuo'pu'ke
高级软卧代座普快,gao'ji'ruan'wo'dai'zuo'pu'kuai
高级软卧代座特快,gao'ji'ruan'wo'dai'zuo'te'kuai
高级软卧代座直达,gao'ji'ruan'wo'dai'zuo'zhi'da
高级软卧代座准高,gao'ji'ruan'wo'dai'zuo'zhun'gao
高级软卧高速,gao'ji'ruan'wo'gao'su
高级软卧快慢,gao'ji'ruan'wo'kuai'man
高级软卧快速,gao'ji'ruan'wo'kuai'su
高级软卧普客,gao'ji'ruan'wo'pu'ke
高级软卧普快,gao'ji'ruan'wo'pu'kuai
高级软卧特快,gao'ji'ruan'wo'te'kuai
高级软卧直达,gao'ji'ruan'wo'zhi'da
高级软卧准高,gao'ji'ruan'wo'zhun'gao
高秦,gao'qin
高秦沈,gao'qin'shen
高软,gao'ruan
高速,gao'su
高速加快票,gao'su'jia'kuai'piao
高速列车,gao'su'lie'che
高新铁路,gao'xin'tie'lu
高新线,gao'xin'xian
膏药票,gao'yao'piao
高站台,gao'zhan'tai
格拉段,ge'la'duan
隔离车,ge'li'che
隔日,ge'ri
隔日反编组运行,ge'ri'fan'bian'zu'yun'xing
隔日共线,ge'ri'gong'xian
隔日开行,ge'ri'kai'xing
隔日停运,ge'ri'ting'yun
隔日运行,ge'ri'yun'xing
各站间相互发售,ge'zhan'jian'xiang'hu'fa'shou
给土土去势,gei'tu'tu'qu'shi
公布票价,gong'bu'piao'jia
供电,gong'dian
供电段,gong'dian'duan
供电型,gong'dian'xing
公免票,gong'mian'piao
公免签证,gong'mian'qian'zheng
公铁两用桥,gong'tie'liang'yong'qiao
工务,gong'wu
公务车,gong'wu'che
共线,gong'xian
共线运行,gong'xian'yun'xing
公用,gong'yong
共用,gong'yong
狗不理包子,gou'bu'li'bao'zi
沟海,gou'hai
沟海铁路,gou'hai'tie'lu
沟海线,gou'hai'xian
购票站,gou'piao'zhan
鼓楼,gu'lou
管客,guan'ke
管快,guan'kuai
管快速,guan'kuai'su
管理监控,guan'li'jian'kong
关联,guan'lian
关联用途,guan'lian'yong'tu
管内,guan'nei
管内临客,guan'nei'lin'ke
管特,guan'te
管特快,guan'te'kuai
广大铁路,guang'da'tie'lu
广大线,guang'da'xian
广九铁路,guang'jiu'tie'lu
广九铁路九龙段,guang'jiu'tie'lu'jiu'long'duan
广九线,guang'jiu'xian
广九线九龙段,guang'jiu'xian'jiu'long'duan
广九直通车,guang'jiu'zhi'tong'che
广丽铁路,guang'li'tie'lu
广丽线,guang'li'xian
广茂铁路,guang'mao'tie'lu
广茂线,guang'mao'xian
广梅汕,guang'mei'shan
广坪段,guang'ping'duan
广普铁路,guang'pu'tie'lu
广普线,guang'pu'xian
广三铁路,guang'san'tie'lu
广三线,guang'san'xian
广深地区,guang'shen'di'qu
广深地区联合站,guang'shen'di'qu'lian'he'zhan
广铁集团,guang'tie'ji'tuan
广岳铁路,guang'yue'tie'lu
广岳线,guang'yue'xian
广珠城际铁路,guang'zhu'cheng'ji'tie'lu
广珠城际线,guang'zhu'cheng'ji'xian
贵段,gui'duan
贵昆铁路,gui'kun'tie'lu
贵昆线,gui'kun'xian
贵渝,gui'yu
贵渝宝,gui'yu'bao
贵渝成,gui'yu'cheng
郭查铁路,guo'cha'tie'lu
郭查线,guo'cha'xian
过道,guo'dao
过点退票,guo'dian'tui'piao
过轨运输,guo'gui'yun'shu
国际,guo'ji
国际联运,guo'ji'lian'yun
国内回转车,guo'nei'hui'zhuan'che
过期,guo'qi
虢镇,guo'zhen
哈长,ha'chang
哈大客运专线,ha'da'ke'yun'zhuan'xian
哈大铁路,ha'da'tie'lu
哈大线,ha'da'xian
哈段,ha'duan
哈尔滨站的里程计算,ha'er'bin'zhan'de'li'cheng'ji'suan
哈哈哈哈哈,ha'ha'ha'ha'ha
哈环铁路,ha'huan'tie'lu
哈环线,ha'huan'xian
哈佳,ha'jia
哈佳铁路,ha'jia'tie'lu
哈佳线,ha'jia'xian
哈局,ha'ju
哈齐铁路,ha'qi'tie'lu
哈齐线,ha'qi'xian
哈三,ha'san
哈三地区,ha'san'di'qu
哈三地区联合站,ha'san'di'qu'lian'he'zhan
哈三联合站,ha'san'lian'he'zhan
哈沈,ha'shen
哈舒吉滨沈,ha'shu'ji'bin'shen
海沟,hai'gou
海沟山,hai'gou'shan
海南东环铁路,hai'nan'dong'huan'tie'lu
海南东环线,hai'nan'dong'huan'xian
海南西环铁路,hai'nan'xi'huan'tie'lu
海南西环线,hai'nan'xi'huan'xian
孩票,hai'piao
海网,hai'wang
海五盘秦狼,hai'wu'pan'qin'lang
海之情,hai'zhi'qing
海子,hai'zi
海子铁路网,hai'zi'tie'lu'wang
海子网,hai'zi'wang
邯长铁路,han'chang'tie'lu
邯长线,han'chang'xian
汉丹铁路,han'dan'tie'lu
汉丹线,han'dan'xian
邯济铁路,han'ji'tie'lu
邯济铁路聊晏段,han'ji'tie'lu'liao'yan'duan
邯济线,han'ji'xian
邯济线聊晏段,han'ji'xian'liao'yan'duan
汉卡,han'ka
汉南铁路,han'nan'tie'lu
汉南线,han'nan'xian
杭段,hang'duan
杭笕沪,hang'jian'hu
杭深线,hang'shen'xian
杭甬铁路,hang'yong'tie'lu
杭甬线,hang'yong'xian
杭州铁路,hang'zhou'tie'lu
杭州线,hang'zhou'xian
好的经由,hao'de'jing'you
好人好事,hao'ren'hao'shi
号上铺,hao'shang'pu
号下铺,hao'xia'pu
号中铺,hao'zhong'pu
合段,he'duan
菏二埋汰,he'er'mai'tai
鹤岗铁路,he'gang'tie'lu
鹤岗线,he'gang'xian
合九铁路,he'jiu'tie'lu
合九线,he'jiu'xian
和龙铁路,he'long'tie'lu
和龙线,he'long'xian
河茂铁路,he'mao'tie'lu
河茂线,he'mao'xian
河南烩面,he'nan'hui'mian
合宁铁路,he'ning'tie'lu
合宁线,he'ning'xian
核收,he'shou
合同制票,he'tong'zhi'piao
合武铁路,he'wu'tie'lu
合武线,he'wu'xian
和谐长城号,he'xie'chang'cheng'hao
和谐电,he'xie'dian
和谐号,he'xie'hao
和谐号电力机车,he'xie'hao'dian'li'ji'che
和谐号动车组,he'xie'hao'dong'che'zu
和谐号内燃机车,he'xie'hao'nei'ran'ji'che
和谐内,he'xie'nei
合造车,he'zao'che
黑局黑段,hei'ju'hei'duan
狠猪,hen'zhu
衡德,heng'de
亨德罗,heng'de'luo
哼哼,heng'heng
哼哼小宝贝,heng'heng'xiao'bao'bei
横麻,heng'ma
横麻霸津,heng'ma'ba'jin
横麻联络线,heng'ma'lian'luo'xian
横麻庐,heng'ma'lu
横麻铁路,heng'ma'tie'lu
横麻线,heng'ma'xian
横南,heng'nan
横南铁路,heng'nan'tie'lu
横南线,heng'nan'xian
恒山铁路,heng'shan'tie'lu
恒山线,heng'shan'xian
衡石,heng'shi
衡石获,heng'shi'huo
衡石获太,heng'shi'huo'tai
衡石郑西安,heng'shi'zheng'xi'an
衡永,heng'yong
虹安铁路,hong'an'tie'lu
虹安线,hong'an'xian
虹封铁路,hong'feng'tie'lu
虹封线,hong'feng'xian
红哈,hong'ha
红会铁路,hong'hui'tie'lu
红会线,hong'hui'xian
红齐昂,hong'qi'ang
红旗车,hong'qi'che
红旗列车,hong'qi'lie'che
虹七铁路,hong'qi'tie'lu
虹七线,hong'qi'xian
红色底纹,hong'se'di'wen
红色旅游票,hong'se'lv'you'piao
红滠铁路,hong'she'tie'lu
红滠线,hong'she'xian
红榆昂,hong'yu'ang
候车地点,hou'che'di'dian
候车空调费,hou'che'kong'tiao'fei
后广场,hou'guang'chang
侯西铁路,hou'xi'tie'lu
侯西线,hou'xi'xian
侯月铁路,hou'yue'tie'lu
侯月线,hou'yue'xian
侯张临,hou'zhang'lin
呼段,hu'duan
沪港直通车,hu'gang'zhi'tong'che
沪汉铁路,hu'han'tie'lu
沪汉线,hu'han'xian
沪汉线合宁段,hu'han'xian'he'ning'duan
沪汉线合武段,hu'han'xian'he'wu'duan
沪杭铁路,hu'hang'tie'lu
沪杭线,hu'hang'xian
沪笕杭,hu'jian'hang
