阿克尼,a'ke'ni
国立北平故宫博物院,guo'li'bei'ping'gu'gong'bo'wu'yuan
国史编纂处,guo'shi'bian'zuan'chu
国史馆,guo'shi'guan
国子监,guo'zi'jian
国子寺,guo'zi'si
海关,hai'guan
汉儿司,han'er'si
翰林国史集贤院,han'lin'guo'shi'ji'xian'yuan
翰林兼国史院,han'lin'jian'guo'shi'yuan
汉学,han'xue
航空事务处,hang'kong'shi'wu'chu
航空署督办,hang'kong'shu'du'ban
衡鹿,heng'lu
鸿胪寺,hong'lu'si
弘文馆,hong'wen'guan
宏文院,hong'wen'yuan
候人,hou'ren
户部,hu'bu
黄河水利委员会,huang'he'shui'li'wei'yuan'hui
回回司天监,hui'hui'si'tian'jian
会考府,hui'kao'fu
祭酒,ji'jiu
迹人,ji'ren
祭史,ji'shi
籍田司,ji'tian'si
稷下学宫,ji'xia'xue'gong
集贤院,ji'xian'yuan
记注院,ji'zhu'yuan
贾正,jia'zheng
监丞,jian'cheng
监马尹,jian'ma'yin
监起居注,jian'qi'ju'zhu
建设委员会,jian'she'wei'yuan'hui
见者啬夫,jian'zhe'se'fu
奖恤司,jiang'xu'si
将作大匠,jiang'zuo'da'jiang
将作监,jiang'zuo'jian
将作少府,jiang'zuo'shao'fu
将作寺,jiang'zuo'si
郊社局,jiao'she'ju
郊社署令丞,jiao'she'shu'ling'cheng
交通部,jiao'tong'bu
教育部,jiao'yu'bu
校正,jiao'zheng
禁烟总局,jin'yan'zong'ju
京城善后协巡总局,jing'cheng'shan'hou'xie'xun'zong'ju
经济部,jing'ji'bu
经济调查局,jing'ji'diao'cha'ju
境吏,jing'li
经筵讲官,jing'yan'jiang'guan
经正监,jing'zheng'jian
九卿,jiu'qing
九寺,jiu'si
鋗人,juan'ren
涓人,juan'ren
军器大监,jun'qi'da'jian
军器监,jun'qi'jian
考课院,kao'ke'yuan
考试院,kao'shi'yuan
考试院副院长,kao'shi'yuan'fu'yuan'zhang
考试院院长,kao'shi'yuan'yuan'zhang
考选委员会,kao'xuan'wei'yuan'hui
客省,ke'sheng
刻字司,ke'zi'si
库人,ku'ren
馈人,kui'ren
奎章阁学士院,kui'zhang'ge'xue'shi'yuan
兰台,lan'tai
乐人,le'ren
乐尹,le'yin
吏部,li'bu
礼部,li'bu
理藩部,li'fan'bu
理藩院,li'fan'yuan
隶人,li'ren
礼仪院,li'yi'yuan
利用监,li'yong'jian
礼制处,li'zhi'chu
礼制馆,li'zhi'guan
粮食部,liang'shi'bu
列卿,lie'qing
廪吏,lin'li
林庙奉卫官,lin'miao'feng'wei'guan
廪人,lin'ren
临时稽勋局,lin'shi'ji'xun'ju
麟台,lin'tai
伶人,ling'ren
泠人,ling'ren
令正,ling'zheng
六部,liu'bu
六曹,liu'cao
六府,liu'fu
六官,liu'guan
龙虎山正一真人,long'hu'shan'zheng'yi'zhen'ren
路矿大臣,lu'kuang'da'chen
吕宁,lv'ning
吕则,lv'ze
马师,ma'shi
昴星,mao'xing
蒙古翰林院,meng'gu'han'lin'yuan
蒙古宣慰使,meng'gu'xuan'wei'shi
蒙古衙门,meng'gu'ya'men
蒙疆善后委员会,meng'jiang'shan'hou'wei'yuan'hui
蒙藏事务局,meng'zang'shi'wu'ju
蒙藏委员会,meng'zang'wei'yuan'hui
蒙藏院,meng'zang'yuan
秘书省,mi'shu'sheng
民政部,min'zheng'bu
谟箇,mo'ge
磨勘司,mo'kan'si
磨勘院,mo'kan'yuan
牧人,mu'ren
牧正,mu'zheng
南大王院,nan'da'wang'yuan
南面官,nan'mian'guan
南史氏,nan'shi'shi
南洋通商大臣,nan'yang'tong'shang'da'chen
内八府宰相,nei'ba'fu'zai'xiang
内城工巡局,nei'cheng'gong'xun'ju
内服,nei'fu
内勾,nei'gou
内务部,nei'wu'bu
内政部,nei'zheng'bu
农工部,nong'gong'bu
农工商部,nong'gong'shang'bu
农矿部,nong'kuang'bu
农林部,nong'lin'bu
农商部,nong'shang'bu
农田司,nong'tian'si
女官,nv'guan
女正职官,nv'zheng'zhi'guan
女职同官,nv'zhi'tong'guan
泮宫,pan'gong
判太常寺,pan'tai'chang'si
庖正,pao'zheng
辟雍,pi'yong
仆大夫,pu'dai'fu
仆人,pu'ren
起居令史,qi'ju'ling'shi
起居注馆,qi'ju'zhu'guan
起居注给事中,qi'ju'zhu'ji'shi'zhong
齐太公庙署令丞,qi'tai'gong'miao'shu'ling'cheng
祈望,qi'wang
钱和,qian'he
侨工事务局,qiao'gong'shi'wu'ju
侨务局,qiao'wu'ju
侨务委员会,qiao'wu'wei'yuan'hui
钦天监,qin'tian'jian
清商署令丞,qing'shang'shu'ling'cheng
卿事寮,qing'shi'liao
庆瑭,qing'tang
遒人,qiu'ren
全国经济委员会,quan'guo'jing'ji'wei'yuan'hui
全国经界局,quan'guo'jing'jie'ju
全国水利局,quan'guo'shui'li'ju
劝农使司,quan'nong'shi'si
铨叙部,quan'xu'bu
铨叙审查委员会,quan'xu'shen'cha'wei'yuan'hui
日官,ri'guan
日御,ri'yu
三班院,san'ban'yuan
三口通商大臣,san'kou'tong'shang'da'chen
三台,san'tai
啬人,se'ren
穑人,se'ren
僧录司,seng'lu'si
缮工监,shan'gong'jian
山人,shan'ren
尚宝司,shang'bao'si
商部,shang'bu
尚书,shang'shu
商务大臣,shang'wu'da'chen
商约大臣,shang'yue'da'chen
社会部,she'hui'bu
舌人,she'ren
舍人,she'ren
审官东院,shen'guan'dong'yuan
审官西院,shen'guan'xi'yuan
审官院,shen'guan'yuan
审计处,shen'ji'chu
审计院,shen'ji'yuan
神乐观提点,shen'le'guan'ti'dian
申徒,shen'tu
盛京工部,sheng'jing'gong'bu
盛京户部,sheng'jing'hu'bu
盛京礼部,sheng'jing'li'bu
圣库,sheng'ku
十二卿,shi'er'qing
史馆,shi'guan
筮史,shi'shi
实业部,shi'ye'bu
豕宰,shi'zai
兽臣,shou'chen
首都建设委员会,shou'du'jian'she'wei'yuan'hui
受纳司,shou'na'si
兽人,shou'ren
庶老,shu'lao
枢铭,shu'ming
帅甸,shuai'dian
水衡监,shui'heng'jian
水利部,shui'li'bu
水利委员会,shui'li'wei'yuan'hui
水陆运输联合委员会,shui'lu'yun'shu'lian'he'wei'yuan'hui
税务处,shui'wu'chu
司宾寺,si'bin'si
司成馆,si'cheng'guan
司典,si'dian
四方馆,si'fang'guan
司府寺,si'fu'si
司工,si'gong
司过,si'guo
司稼寺,si'jia'si
司津监,si'jin'jian
司历,si'li
司礼寺,si'li'si
司墓,si'mu
司农司,si'nong'si
司农寺,si'nong'si
司仆寺,si'pu'si
司日,si'ri
司膳寺,si'shan'si
司事,si'shi
司天监,si'tian'jian
司天台,si'tian'tai
司鱼,si'yu
司驭寺,si'yu'si
司宰寺,si'zai'si
素齐,su'qi
诉愿委员会,su'yuan'wei'yuan'hui
太卜署令丞,tai'bo'shu'ling'cheng
太常,tai'chang
太常礼仪院,tai'chang'li'yi'yuan
太常礼院,tai'chang'li'yuan
太常寺,tai'chang'si
太常寺检讨,tai'chang'si'jian'tao
太常寺检阅官,tai'chang'si'jian'yue'guan
太府监,tai'fu'jian
太府寺,tai'fu'si
太乐局,tai'le'ju
太仆,tai'pu
太仆寺,tai'pu'si
太社局,tai'she'ju
太史监,tai'shi'jian
太史寮,tai'shi'liao
太史院,tai'shi'yuan
太禧宗禋院,tai'xi'zong'yin'yuan
太医局,tai'yi'ju
太医院,tai'yi'yuan
太御,tai'yu
陶尹,tao'yin
田部吏,tian'bu'li
天朝典官,tian'chao'dian'guan
天官,tian'guan
天官府,tian'guan'fu
铁道部,tie'dao'bu
通济监,tong'ji'jian
同判太常寺,tong'pan'tai'chang'si
同文馆,tong'wen'guan
同文寺,tong'wen'si
通政院,tong'zheng'yuan
同职官,tong'zhi'guan
外城工巡局,wai'cheng'gong'xun'ju
外府寺,wai'fu'si
外交部,wai'jiao'bu
外仆,wai'pu
外史,wai'shi
外台,wai'tai
外务部,wai'wu'bu
王马之属,wang'ma'zhi'shu
卫生部,wei'sheng'bu
卫生署,wei'sheng'shu
文班司,wen'ban'si
文部,wen'bu
文渊阁,wen'yuan'ge
武备寺,wu'bei'si
五监,wu'jian
五口通商大臣,wu'kou'tong'shang'da'chen
五省,wu'sheng
舞师,wu'shi
西京筹备委员会,xi'jing'chou'bei'wei'yuan'hui
牺人,xi'ren
西省,xi'sheng
县政计划委员会,xian'zheng'ji'hua'wei'yuan'hui
详定使司,xiang'ding'shi'si
小臣,xiao'chen
小多马羌臣,xiao'duo'ma'qiang'chen
小耤臣,xiao'ji'chen
校人,xiao'ren
小学,xiao'xue
小众人臣,xiao'zhong'ren'chen
新闻局,xin'wen'ju
新造盩,xin'zao'chou
行人,xing'ren
行人司,xing'ren'si
行太仆寺,xing'tai'pu'si
修订法律馆,xiu'ding'fa'lv'guan
修文馆,xiu'wen'guan
宣政院,xuan'zheng'yuan
学部,xue'bu
学士,xue'shi
学务大臣,xue'wu'da'chen
巡警部,xun'jing'bu
盐政改革委员会,yan'zheng'gai'ge'wei'yuan'hui
盐政院,yan'zheng'yuan
养贤务,yang'xian'wu
遥辇九帐大常衮司,yao'nian'jiu'zhang'da'chang'gun'si
遥辇帐节度使司,yao'nian'zhang'jie'du'shi'si
液体燃料管理委员会,ye'ti'ran'liao'guan'li'wei'yuan'hui
冶尹,ye'yin
冶匀啬夫,ye'yun'se'fu
谒者,ye'zhe
谒者台,ye'zhe'tai
译经院,yi'jing'yuan
艺文监,yi'wen'jian
益政院,yi'zheng'yuan
引进司,yin'jin'si
营构监,ying'gou'jian
营缮监,ying'shan'jian
映吴,ying'wu
营作大监,ying'zuo'da'jian
邮传部,you'chuan'bu
右校,you'xiao
御龙,yu'long
舆人,yu'ren
虞人,yu'ren
郁人,yu'ren
圉人巾车,yu'ren'jin'che
御事,yu'shi
御史,yu'shi
御士,yu'shi
御驺,yu'zou
苑马寺,yuan'ma'si
乐部,yue'bu
杂职官,za'zhi'guan
赞仆,zan'pu
占梦,zhan'meng
掌卜,zhang'bo
掌书,zhang'shu
昭玄寺,zhao'xuan'si
甄核司,zhen'he'si
振济委员会,zhen'ji'wei'yuan'hui
贞人,zhen'ren
振务委员会,zhen'wu'wei'yuan'hui
正仆人,zheng'pu'ren
正职官,zheng'zhi'guan
制国用司,zhi'guo'yong'si
治粟内史,zhi'su'nei'shi
职同官,zhi'tong'guan
执讯,zhi'xun
执秩,zhi'zhi
中国航空公司,zhong'guo'hang'kong'gong'si
中国航空建设协会总会,zhong'guo'hang'kong'jian'she'xie'hui'zong'hui
中射,zhong'she
中谢,zhong'xie
中央地政机关筹备处,zhong'yang'di'zheng'ji'guan'chou'bei'chu
中央图书杂志审查委员会,zhong'yang'tu'shu'za'zhi'shen'cha'wei'yuan'hui
中央行政各部门,zhong'yang'xing'zheng'ge'bu'men
中央研究院,zhong'yang'yan'jiu'yuan
舟鲛,zhou'jiao
周人,zhou'ren
主计部,zhu'ji'bu
诸匠营,zhu'jiang'ying
主爵中尉,zhu'jue'zhong'wei
主客,zhu'ke
诸陵祠坟所,zhu'ling'ci'fen'suo
祝能,zhu'neng
褚师,zhu'shi
祝史,zhu'shi
主书,zhu'shu
祝宗,zhu'zong
资源委员会,zi'yuan'wei'yuan'hui
总理各国事务衙门,zong'li'ge'guo'shi'wu'ya'men
总理陵园管理委员会,zong'li'ling'yuan'guan'li'wei'yuan'hui
总税务司署,zong'shui'wu'si'shu
祖儒,zu'ru
作册,zuo'ce
左史,zuo'shi
左徒,zuo'tu
左校,zuo'xiao
佐弋,zuo'yi
