安眠,an'mian
大巨穴,da'ju'xue
大陵,da'ling
大陵穴,da'ling'xue
大迎,da'ying
大迎穴,da'ying'xue
大钟,da'zhong
大钟穴,da'zhong'xue
大杼,da'zhu
大杼穴,da'zhu'xue
大柱穴,da'zhu'xue
大椎,da'zhui
大椎穴,da'zhui'xue
带脉,dai'mai
带脉穴,dai'mai'xue
胆经,dan'jing
胆囊,dan'nang
胆囊穴,dan'nang'xue
胆俞穴,dan'shu'xue
胆俞,dan'yu
膻中穴,dan'zhong'xue
当阳,dang'yang
当阳穴,dang'yang'xue
地仓,di'cang
地仓穴,di'cang'xue
地机,di'ji
地机穴,di'ji'xue
地五会,di'wu'hui
地五会穴,di'wu'hui'xue
定喘,ding'chuan
定喘穴,ding'chuan'xue
顶区,ding'qu
顶穴,ding'xue
犊鼻,du'bi
犊鼻穴,du'bi'xue
督脉,du'mai
督俞穴,du'shu'xue
独阴,du'yin
独阴穴,du'yin'xue
督俞,du'yu
兑端,dui'duan
兑端穴,dui'duan'xue
对耳轮,dui'er'lun
对耳屏,dui'er'ping
对屏尖,dui'ping'jian
额区,e'qu
额穴,e'xue
二白,er'bai
二白穴,er'bai'xue
耳背肺,er'bei'fei
耳背肝,er'bei'gan
耳背沟,er'bei'gou
耳背脾,er'bei'pi
耳背肾,er'bei'shen
耳背心,er'bei'xin
耳和髎,er'he'liao
耳和髎穴,er'he'liao'xue
耳甲,er'jia
耳甲腔,er'jia'qiang
耳甲艇,er'jia'ting
二间,er'jian
耳尖,er'jian
二间穴,er'jian'xue
耳尖穴,er'jian'xue
耳轮,er'lun
耳轮脚,er'lun'jiao
耳轮尾,er'lun'wei
耳门,er'men
耳门穴,er'men'xue
耳迷根,er'mi'gen
耳屏,er'ping
耳中,er'zhong
腓肠肌,fei'chang'ji
肺经,fei'jing
肺区,fei'qu
肺俞穴,fei'shu'xue
肺穴,fei'xue
飞扬,fei'yang
飞扬穴,fei'yang'xue
肺俞,fei'yu
风池,feng'chi
风池穴,feng'chi'xue
风府,feng'fu
风府穴,feng'fu'xue
丰隆,feng'long
丰隆穴,feng'long'xue
风门,feng'men
风门穴,feng'men'xue
风市,feng'shi
风湿线,feng'shi'xian
风市穴,feng'shi'xue
风溪,feng'xi
腹哀,fu'ai
腹哀穴,fu'ai'xue
浮白,fu'bai
浮白穴,fu'bai'xue
附分,fu'fen
附分穴,fu'fen'xue
附件炎点,fu'jian'yan'dian
腹结,fu'jie
腹结穴,fu'jie'xue
复溜,fu'liu
复溜穴,fu'liu'xue
腹区,fu'qu
府舍,fu'she
府舍穴,fu'she'xue
腹通谷,fu'tong'gu
腹通谷穴,fu'tong'gu'xue
伏兔,fu'tu
扶兔,fu'tu
扶突,fu'tu
伏兔穴,fu'tu'xue
扶突穴,fu'tu'xue
浮郄,fu'xi
浮郄穴,fu'xi'xue
腹穴,fu'xue
跗阳,fu'yang
跗阳穴,fu'yang'xue
肝经,gan'jing
感冒点,gan'mao'dian
肝区,gan'qu
肝俞穴,gan'shu'xue
肝穴,gan'xue
肝炎点,gan'yan'dian
肝阳,gan'yang
肝俞,gan'yu
肛门,gang'men
膏肓,gao'huang
膏肓穴,gao'huang'xue
膏肓俞,gao'huang'yu
睾丸,gao'wan
高血压点,gao'xue'ya'dian
膈关,ge'guan
膈关穴,ge'guan'xue
膈俞,ge'yu
膈俞穴,ge'yu'xue
跟区,gen'qu
跟穴,gen'xue
公孙,gong'sun
公孙穴,gong'sun'xue
股关,gu'guan
关冲,guan'chong
关冲穴,guan'chong'xue
关门,guan'men
关门穴,guan'men'xue
关元,guan'yuan
关元穴,guan'yuan'xue
关元俞,guan'yuan'yu
关元俞穴,guan'yuan'yu'xue
光明,guang'ming
光明穴,guang'ming'xue
归来,gui'lai
归来穴,gui'lai'xue
腘窝,guo'wo
海泉,hai'quan
海泉穴,hai'quan'xue
颔厌,han'yan
颔厌穴,han'yan'xue
行间,hang'jian
行间穴,hang'jian'xue
鹤顶,he'ding
鹤顶穴,he'ding'xue
合谷,he'gu
合谷穴,he'gu'xue
颌区,he'qu
合穴,he'xue
颌穴,he'xue
合阳,he'yang
合阳穴,he'yang'xue
横骨,heng'gu
横骨穴,heng'gu'xue
后顶,hou'ding
后顶穴,hou'ding'xue
后溪,hou'xi
后溪穴,hou'xi'xue
喉牙,hou'ya
华盖,hua'gai
华盖穴,hua'gai'xue
滑肉门,hua'rou'men
滑肉门穴,hua'rou'men'xue
踝穴,huai'xue
环跳,huan'tiao
环跳穴,huan'tiao'xue
环中,huan'zhong
环中穴,huan'zhong'xue
肓门,huang'men
肓门穴,huang'men'xue
肓俞,huang'yu
肓俞穴,huang'yu'xue
会阳,hui'yang
会阳穴,hui'yang'xue
会阴,hui'yin
会阴穴,hui'yin'xue
会宗,hui'zong
会宗穴,hui'zong'xue
魂门,hun'men
魂门穴,hun'men'xue
饥点,ji'dian
急脉,ji'mai
急脉穴,ji'mai'xue
箕门,ji'men
箕门穴,ji'men'xue
极泉,ji'quan
极泉穴,ji'quan'xue
脊中,ji'zhong
脊中穴,ji'zhong'xue
颊车,jia'che
颊车穴,jia'che'xue
夹承浆,jia'cheng'jiang
夹承浆穴,jia'cheng'jiang'xue
夹脊,jia'ji
夹脊穴,jia'ji'xue
肩背,jian'bei
肩井,jian'jing
肩井穴,jian'jing'xue
建里,jian'li
建里穴,jian'li'xue
肩髎,jian'liao
肩髎穴,jian'liao'xue
肩前,jian'qian
肩前穴,jian'qian'xue
肩区,jian'qu
间使,jian'shi
间使穴,jian'shi'xue
肩外俞,jian'wai'yu
肩外俞穴,jian'wai'yu'xue
肩穴,jian'xue
肩髃,jian'yu
肩髃穴,jian'yu'xue
肩贞,jian'zhen
肩贞穴,jian'zhen'xue
肩中俞,jian'zhong'yu
肩中俞穴,jian'zhong'yu'xue
交感,jiao'gan
角孙,jiao'sun
角孙穴,jiao'sun'xue
角窝中,jiao'wo'zhong
交信,jiao'xin
交信穴,jiao'xin'xue
结核点,jie'he'dian
结节,jie'jie
解溪,jie'xi
解溪穴,jie'xi'xue
金津,jin'jin
金津穴,jin'jin'xue
金门,jin'men
金门穴,jin'men'xue
筋缩,jin'suo
筋缩穴,jin'suo'xue
颈百劳,jing'bai'lao
颈百劳穴,jing'bai'lao'xue
颈臂,jing'bi
京骨,jing'gu
京骨穴,jing'gu'xue
京门,jing'men
京门穴,jing'men'xue
睛明,jing'ming
睛明穴,jing'ming'xue
经渠,jing'qu
经渠穴,jing'qu'xue
经外奇,jing'wai'qi
经外奇穴,jing'wai'qi'xue
井穴,jing'xue
经穴,jing'xue
颈穴,jing'xue
颈椎,jing'zhui
纠内翻,jiu'nei'fan
纠内翻穴,jiu'nei'fan'xue
纠外翻,jiu'wai'fan
纠外翻穴,jiu'wai'fan'xue
鸠尾,jiu'wei
鸠尾穴,jiu'wei'xue
巨骨,ju'gu
巨骨穴,ju'gu'xue
居髎,ju'liao
巨髎,ju'liao
居髎穴,ju'liao'xue
巨髎穴,ju'liao'xue
聚泉,ju'quan
聚泉穴,ju'quan'xue
巨阙,ju'que
巨阙俞穴,ju'que'shu'xue
巨阙穴,ju'que'xue
巨阙俞,ju'que'yu
绝骨穴,jue'gu'xue
厥阴俞,jue'yin'yu
厥阴俞穴,jue'yin'yu'xue
渴点,ke'dian
孔最,kong'zui
孔最穴,kong'zui'xue
口禾髎,kou'he'liao
口禾髎穴,kou'he'liao'xue
口区,kou'qu
口穴,kou'xue
库房,ku'fang
库房穴,ku'fang'xue
髋骨,kuan'gu
髋骨穴,kuan'gu'xue
髋穴,kuan'xue
昆仑,kun'lun
昆仑穴,kun'lun'xue
阑尾,lan'wei
阑尾穴,lan'wei'xue
劳宫,lao'gong
劳宫穴,lao'gong'xue
厉兑,li'dui
历兑穴,li'dui'xue
厉兑穴,li'dui'xue
蠡沟,li'gou
蠡沟穴,li'gou'xue
里内庭,li'nei'ting
里内庭穴,li'nei'ting'xue
利尿,li'niao
利尿穴,li'niao'xue
廉泉,lian'quan
廉泉穴,lian'quan'xue
梁门,liang'men
梁门穴,liang'men'xue
梁丘,liang'qiu
梁丘穴,liang'qiu'xue
列缺,lie'que
列缺穴,lie'que'xue
灵道,ling'dao
灵道穴,ling'dao'xue
零点,ling'dian
灵台,ling'tai
灵台穴,ling'tai'xue
灵墟,ling'xu
灵墟穴,ling'xu'xue
漏谷,lou'gu
漏谷穴,lou'gu'xue
颅息,lu'xi
颅息穴,lu'xi'xue
卵巢,luan'chao
轮二,lun'er
轮六,lun'liu
轮三,lun'san
轮四,lun'si
轮五,lun'wu
轮一,lun'yi
络却,luo'que
络却穴,luo'que'xue
络穴,luo'xue
率谷,lv'gu
率谷穴,lv'gu'xue
眉冲,mei'chong
眉冲穴,mei'chong'xue
面颊,mian'jia
命门,ming'men
命门穴,ming'men'xue
目窗,mu'chuang
目窗穴,mu'chuang'xue
目二,mu'er
募穴,mu'xue
目一,mu'yi
脑户,nao'hu
脑户穴,nao'hu'xue
臑会,nao'hui
臑会穴,nao'hui'xue
脑空,nao'kong
脑空穴,nao'kong'xue
臑俞,nao'yu
臑俞穴,nao'yu'xue
内鼻,nei'bi
内耳,nei'er
内分泌,nei'fen'mi
内关,nei'guan
内关穴,nei'guan'xue
内踝尖,nei'huai'jian
内踝尖穴,nei'huai'jian'xue
内生殖器,nei'sheng'zhi'qi
内庭,nei'ting
内庭穴,nei'ting'xue
内膝眼,nei'xi'yan
内膝眼穴,nei'xi'yan'xue
内迎香,nei'ying'xiang
内迎香穴,nei'ying'xiang'xue
尿道,niao'dao
颞区,nie'qu
颞穴,nie'xue
女膝,nv'xi
女膝穴,nv'xi'xue
膀胱,pang'guang
膀胱经,pang'guang'jing
膀胱俞穴,pang'guang'shu'xue
膀胱俞,pang'guang'yu
盆腔,pen'qiang
痞根,pi'gen
痞根穴,pi'gen'xue
脾经,pi'jing
脾区,pi'qu
脾穴,pi'xue
脾俞,pi'yu
脾俞穴,pi'yu'xue
皮质下,pi'zhi'xia
偏历,pian'li
偏历穴,pian'li'xue
平喘,ping'chuan
屏尖,ping'jian
屏间切迹,ping'jian'qie'ji
魄户,po'hu
魄户穴,po'hu'xue
仆参,pu'can
仆参穴,pu'can'xue
气冲,qi'chong
气冲穴,qi'chong'xue
奇点,qi'dian
气端,qi'duan
气端穴,qi'duan'xue
气管,qi'guan
气海,qi'hai
气海穴,qi'hai'xue
气海俞,qi'hai'yu
气海俞穴,qi'hai'yu'xue
气户,qi'hu
气户穴,qi'hu'xue
期门,qi'men
期门穴,qi'men'xue
气舍,qi'she
气舍穴,qi'she'xue
气穴,qi'xue
气穴穴,qi'xue'xue
脐周,qi'zhou
前顶,qian'ding
前顶穴,qian'ding'xue
前谷,qian'gu
前谷穴,qian'gu'xue
牵正,qian'zheng
牵正穴,qian'zheng'xue
强间,qiang'jian
强间穴,qiang'jian'xue
清冷渊,qing'leng'yuan
清冷渊穴,qing'leng'yuan'xue
青灵,qing'ling
青灵穴,qing'ling'xue
晴明,qing'ming
球后,qiu'hou
球后穴,qiu'hou'xue
丘脑,qiu'nao
丘墟,qiu'xu
丘墟穴,qiu'xu'xue
曲鬓,qu'bin
曲鬓穴,qu'bin'xue
曲差,qu'cha
曲差穴,qu'cha'xue
曲池,qu'chi
曲池穴,qu'chi'xue
曲骨,qu'gu
曲骨穴,qu'gu'xue
曲泉,qu'quan
曲泉穴,qu'quan'xue
曲垣,qu'yuan
曲垣穴,qu'yuan'xue
曲泽,qu'ze
曲泽穴,qu'ze'xue
颧髎,quan'liao
颧髎穴,quan'liao'xue
缺盆,que'pen
缺盆穴,que'pen'xue
然谷,ran'gu
然谷穴,ran'gu'xue
热穴,re'xue
任脉,ren'mai
人迎,ren'ying
人迎穴,ren'ying'xue
人中,ren'zhong
日月,ri'yue
日月穴,ri'yue'xue
乳根,ru'gen
乳根穴,ru'gen'xue
乳突,ru'tu
乳腺,ru'xian
乳中,ru'zhong
乳中穴,ru'zhong'xue
三间,san'jian
三间穴,san'jian'xue
三焦,san'jiao
三焦经,san'jiao'jing
三角灸,san'jiao'jiu
三角灸穴,san'jiao'jiu'xue
三角窝,san'jiao'wo
三焦俞,san'jiao'yu
三焦俞穴,san'jiao'yu'xue
三阳络,san'yang'luo
三阳络穴,san'yang'luo'xue
三阴交,san'yin'jiao
三阴交穴,san'yin'jiao'xue
膻中,shan'zhong
上背,shang'bei
上腭,shang'e
上耳根,shang'er'gen
上关,shang'guan
上关穴,shang'guan'xue
上角窝,shang'jiao'wo
上巨虚,shang'ju'xu
上巨虚穴,shang'ju'xu'xue
上廉,shang'lian
上廉泉,shang'lian'quan
上廉泉穴,shang'lian'quan'xue
上廉穴,shang'lian'xue
上髎,shang'liao
上髎穴,shang'liao'xue
上明,shang'ming
上明穴,shang'ming'xue
商丘,shang'qiu
商丘穴,shang'qiu'xue
商曲,shang'qu
商曲穴,shang'qu'xue
上脘,shang'wan
上脘穴,shang'wan'xue
上星,shang'xing
上星穴,shang'xing'xue
商阳,shang'yang
商阳穴,shang'yang'xue
上迎香,shang'ying'xiang
上迎香穴,shang'ying'xiang'xue
少冲,shao'chong
少冲穴,shao'chong'xue
少府,shao'fu
少府穴,shao'fu'xue
少海,shao'hai
少海穴,shao'hai'xue
少商,shao'shang
少商穴,shao'shang'xue
少泽,shao'ze
少泽穴,shao'ze'xue
舌区,she'qu
舌穴,she'xue
神道,shen'dao
神道穴,shen'dao'xue
神封,shen'feng
神封穴,shen'feng'xue
肾经,shen'jing
神经丛点,shen'jing'cong'dian
申脉,shen'mai
申脉穴,shen'mai'xue
神门,shen'men
神门穴,shen'men'xue
肾区,shen'qu
神阙,shen'que
神阙穴,shen'que'xue
肾上腺,shen'shang'xian
神堂,shen'tang
神堂穴,shen'tang'xue
神庭,shen'ting
神庭穴,shen'ting'xue
肾穴,shen'xue
肾炎点,shen'yan'dian
肾俞,shen'yu
肾俞穴,shen'yu'xue
神藏,shen'zang
神藏穴,shen'zang'xue
身柱,shen'zhu
身柱穴,shen'zhu'xue
声带,sheng'dai
升压点,sheng'ya'dian
食窦,shi'dou
食窦穴,shi'dou'xue
十二经络,shi'er'jing'luo
十二指肠,shi'er'zhi'chang
石关,shi'guan
食管,shi'guan
石关穴,shi'guan'xue
石门,shi'men
石门穴,shi'men'xue
失眠穴,shi'mian'xue
十七椎,shi'qi'zhui
十七椎穴,shi'qi'zhui'xue
十四经络,shi'si'jing'luo
十宣,shi'xuan
十宣穴,shi'xuan'xue
手厥阴,shou'jue'yin
手厥阴心包经,shou'jue'yin'xin'bao'jing
手逆注,shou'ni'zhu
手逆注穴,shou'ni'zhu'xue
手三里,shou'san'li
手三里穴,shou'san'li'xue
手三阳,shou'san'yang
手三阴,shou'san'yin
手少阳,shou'shao'yang
手少阳三焦经,shou'shao'yang'san'jiao'jing
手少阴,shou'shao'yin
手少阴心经,shou'shao'yin'xin'jing
手太阳,shou'tai'yang
手太阳小肠经,shou'tai'yang'xiao'chang'jing
手太阴,shou'tai'yin
手太阴肺经,shou'tai'yin'fei'jing
手五里,shou'wu'li
手五里穴,shou'wu'li'xue
手阳明,shou'yang'ming
手阳明大肠经,shou'yang'ming'da'chang'jing
束骨,shu'gu
束骨穴,shu'gu'xue
输尿管,shu'niao'guan
俞穴,shu'xue
输穴,shu'xue
水道,shui'dao
水道穴,shui'dao'xue
水分,shui'fen
水分穴,shui'fen'xue
水沟,shui'gou
水沟穴,shui'gou'xue
水泉,shui'quan
水泉穴,shui'quan'xue
水突,shui'tu
水突穴,shui'tu'xue
四白,si'bai
四白穴,si'bai'xue
四渎,si'du
四渎穴,si'du'xue
四缝,si'feng
四缝穴,si'feng'xue
四满,si'man
四满穴,si'man'xue
四神聪,si'shen'cong
四神聪穴,si'shen'cong'xue
丝竹空,si'zhu'kong
丝竹空穴,si'zhu'kong'xue
素髎,su'liao
素髎穴,su'liao'xue
锁骨,suo'gu
太白,tai'bai
太白穴,tai'bai'xue
太冲,tai'chong
太冲穴,tai'chong'xue
太溪,tai'xi
太溪穴,tai'xi'xue
太阳,tai'yang
太阳穴,tai'yang'xue
太乙,tai'yi
太乙穴,tai'yi'xue
太渊,tai'yuan
太渊穴,tai'yuan'xue
陶道,tao'dao
陶道穴,tao'dao'xue
天池,tian'chi
天池穴,tian'chi'xue
天冲,tian'chong
天冲穴,tian'chong'xue
天窗,tian'chuang
天窗穴,tian'chuang'xue
天鼎,tian'ding
天鼎穴,tian'ding'xue
天府,tian'fu
天府穴,tian'fu'xue
天井,tian'jing
天井穴,tian'jing'xue
天髎,tian'liao
天髎穴,tian'liao'xue
天泉,tian'quan
天泉穴,tian'quan'xue
天容,tian'rong
天容穴,tian'rong'xue
天枢,tian'shu
天枢穴,tian'shu'xue
天突,tian'tu
天突穴,tian'tu'xue
天溪,tian'xi
天溪穴,tian'xi'xue
天牖,tian'you
天牖穴,tian'you'xue
天柱,tian'zhu
天柱穴,tian'zhu'xue
天宗,tian'zong
天宗穴,tian'zong'xue
条口,tiao'kou
条口穴,tiao'kou'xue
听宫,ting'gong
听宫穴,ting'gong'xue
听会,ting'hui
听会穴,ting'hui'xue
艇角,ting'jiao
艇中,ting'zhong
通里,tong'li
通里穴,tong'li'xue
通天,tong'tian
通天穴,tong'tian'xue
瞳子髎,tong'zi'liao
瞳子髎穴,tong'zi'liao'xue
头昏穴,tou'hun'xue
头临泣,tou'lin'qi
头临泣穴,tou'lin'qi'xue
头窍阴,tou'qiao'yin
头窍阴穴,tou'qiao'yin'xue
头维,tou'wei
头维穴,tou'wei'xue
臀区,tun'qu
臀穴,tun'xue
外鼻,wai'bi
外耳,wai'er
外关,wai'guan
外关穴,wai'guan'xue
外踝尖,wai'huai'jian
外踝尖穴,wai'huai'jian'xue
外劳宫,wai'lao'gong
外劳宫穴,wai'lao'gong'xue
外陵,wai'ling
外陵穴,wai'ling'xue
外丘,wai'qiu
外丘穴,wai'qiu'xue
外生殖器,wai'sheng'zhi'qi
完骨,wan'gu
腕骨,wan'gu
完骨穴,wan'gu'xue
腕骨穴,wan'gu'xue
腕区,wan'qu
腕穴,wan'xue
胃仓,wei'cang
胃仓穴,wei'cang'xue
维道,wei'dao
维道穴,wei'dao'xue
胃经,wei'jing
胃区,wei'qu
胃上,wei'shang
胃上穴,wei'shang'xue
胃俞穴,wei'shu'xue
胃脘下俞穴,wei'wan'xia'shu'xue
胃脘下俞,wei'wan'xia'yu
胃穴,wei'xue
委阳,wei'yang
委阳穴,wei'yang'xue
胃俞,wei'yu
委中,wei'zhong
委中穴,wei'zhong'xue
温溜,wen'liu
温溜穴,wen'liu'xue
五处,wu'chu
五处穴,wu'chu'xue
五枢,wu'shu
五枢穴,wu'shu'xue
屋翳,wu'yi
屋翳穴,wu'yi'xue
膝关,xi'guan
膝关穴,xi'guan'xue
郄门,xi'men
郄门穴,xi'men'xue
膝区,xi'qu
膝穴,xi'xue
郄穴,xi'xue
膝眼,xi'yan
膝眼穴,xi'yan'xue
膝阳关,xi'yang'guan
膝阳关穴,xi'yang'guan'xue
侠白,xia'bai
侠白穴,xia'bai'xue
下背,xia'bei
下垂点,xia'chui'dian
下腭,xia'e
下耳根,xia'er'gen
下关,xia'guan
下关穴,xia'guan'xue
下合穴,xia'he'xue
下极俞穴,xia'ji'shu'xue
下极俞,xia'ji'yu
下巨虚,xia'ju'xu
下巨虚穴,xia'ju'xu'xue
下廉,xia'lian
下廉穴,xia'lian'xue
下髎,xia'liao
下髎穴,xia'liao'xue
下脘,xia'wan
下脘穴,xia'wan'xue
侠溪,xia'xi
侠溪穴,xia'xi'xue
陷谷,xian'gu
陷谷穴,xian'gu'xue
小肠,xiao'chang
小肠经,xiao'chang'jing
小肠俞穴,xiao'chang'shu'xue
小肠俞,xiao'chang'yu
小骨空,xiao'gu'kong
小骨空穴,xiao'gu'kong'xue
小海,xiao'hai
小海穴,xiao'hai'xue
消泺,xiao'luo
消泺穴,xiao'luo'xue
泻法,xie'fa
胁肋,xie'lei
心包经,xin'bao'jing
囟会,xin'hui
囟会穴,xin'hui'xue
心经,xin'jing
心区,xin'qu
心俞穴,xin'shu'xue
心穴,xin'xue
新眼点,xin'yan'dian
心俞,xin'yu
心脏点,xin'zang'dian
兴奋点,xing'fen'dian
荥穴,xing'xue
胸区,xiong'qu
胸乡,xiong'xiang
胸乡穴,xiong'xiang'xue
胸穴,xiong'xue
胸椎,xiong'zhui
璇玑,xuan'ji
璇玑穴,xuan'ji'xue
悬厘,xuan'li
悬厘穴,xuan'li'xue
悬颅,xuan'lu
悬颅穴,xuan'lu'xue
悬枢,xuan'shu
悬枢穴,xuan'shu'xue
悬钟,xuan'zhong
悬钟绝骨,xuan'zhong'jue'gu
悬钟穴,xuan'zhong'xue
血海,xue'hai
血海穴,xue'hai'xue
穴名,xue'ming
穴位名,xue'wei'ming
血压点,xue'ya'dian
血压点穴,xue'ya'dian'xue
哑门,ya'men
哑门穴,ya'men'xue
牙痛点,ya'tong'dian
牙痛奇穴,ya'tong'qi'xue
牙痛穴,ya'tong'xue
牙穴,ya'xue
眼二,yan'er
咽喉,yan'hou
眼区,yan'qu
眼穴,yan'xue
眼一,yan'yi
阳白,yang'bai
阳白穴,yang'bai'xue
阳池,yang'chi
阳池穴,yang'chi'xue
阳辅,yang'fu
阳辅穴,yang'fu'xue
阳纲,yang'gang
阳纲穴,yang'gang'xue
阳谷,yang'gu
阳谷穴,yang'gu'xue
阳交,yang'jiao
阳交穴,yang'jiao'xue
养老,yang'lao
养老穴,yang'lao'xue
阳陵泉,yang'ling'quan
阳陵泉穴,yang'ling'quan'xue
阳跷脉,yang'qiao'mai
阳维脉,yang'wei'mai
阳溪,yang'xi
阳溪穴,yang'xi'xue
腰骶椎,yao'di'zhui
腰肌,yao'ji
腰奇,yao'qi
腰奇穴,yao'qi'xue
腰俞穴,yao'shu'xue
腰痛点,yao'tong'dian
腰痛点穴,yao'tong'dian'xue
腰眼,yao'yan
腰眼穴,yao'yan'xue
腰阳关,yao'yang'guan
腰阳关穴,yao'yang'guan'xue
腰宜,yao'yi
腰宜穴,yao'yi'xue
腰俞,yao'yu
液门,ye'men
液门穴,ye'men'xue
胰胆,yi'dan
翳风,yi'feng
翳风穴,yi'feng'xue
翳明,yi'ming
翳明穴,yi'ming'xue
意舍,yi'she
意舍穴,yi'she'xue
譩譆,yi'xi
譩譆穴,yi'xi'xue
隐白,yin'bai
隐白穴,yin'bai'xue
阴包,yin'bao
阴包穴,yin'bao'xue
阴都,yin'du
阴都穴,yin'du'xue
阴谷,yin'gu
阴谷穴,yin'gu'xue
阴交,yin'jiao
龈交,yin'jiao
阴交穴,yin'jiao'xue
龈交穴,yin'jiao'xue
阴廉,yin'lian
阴廉穴,yin'lian'xue
阴陵泉,yin'ling'quan
阴陵泉穴,yin'ling'quan'xue
殷门,yin'men
殷门穴,yin'men'xue
阴跷脉,yin'qiao'mai
阴市,yin'shi
阴市穴,yin'shi'xue
印堂,yin'tang
印堂穴,yin'tang'xue
阴维脉,yin'wei'mai
阴郄,yin'xi
阴郄穴,yin'xi'xue
膺窗,ying'chuang
膺窗穴,ying'chuang'xue
迎香,ying'xiang
迎香穴,ying'xiang'xue
涌泉,yong'quan
涌泉穴,yong'quan'xue
幽门,you'men
幽门穴,you'men'xue
俞府,yu'fu
俞府穴,yu'fu'xue
鱼际,yu'ji
鱼际穴,yu'ji'xue
玉堂,yu'tang
玉堂穴,yu'tang'xue
鱼腰,yu'yao
鱼腰穴,yu'yao'xue
玉液,yu'ye
玉液穴,yu'ye'xue
玉枕,yu'zhen
玉枕穴,yu'zhen'xue
彧中,yu'zhong
彧中穴,yu'zhong'xue
原穴,yuan'xue
渊液,yuan'ye
渊腋,yuan'ye
渊腋穴,yuan'ye'xue
缘中,yuan'zhong
云门,yun'men
云门穴,yun'men'xue
章门,zhang'men
章门穴,zhang'men'xue
照海,zhao'hai
照海穴,zhao'hai'xue
辄筋,zhe'jin
辄筋穴,zhe'jin'xue
枕区,zhen'qu
枕小神经点,zhen'xiao'shen'jing'dian
枕穴,zhen'xue
正营,zheng'ying
正营穴,zheng'ying'xue
秩边,zhi'bian
秩边穴,zhi'bian'xue
直肠,zhi'chang
支点,zhi'dian
支沟,zhi'gou
支沟穴,zhi'gou'xue
支气管,zhi'qi'guan
指区,zhi'qu
趾区,zhi'qu
志室,zhi'shi
志室穴,zhi'shi'xue
指穴,zhi'xue
趾穴,zhi'xue
至阳,zhi'yang
至阳穴,zhi'yang'xue
至阴,zhi'yin
至阴穴,zhi'yin'xue
支正,zhi'zheng
支正穴,zhi'zheng'xue
中背,zhong'bei
中冲,zhong'chong
中冲穴,zhong'chong'xue
中渎,zhong'du
中都,zhong'du
中渎穴,zhong'du'xue
中都穴,zhong'du'xue
中封,zhong'feng
中封穴,zhong'feng'xue
中府,zhong'fu
中府穴,zhong'fu'xue
中极,zhong'ji
中极穴,zhong'ji'xue
中魁,zhong'kui
中魁穴,zhong'kui'xue
中髎,zhong'liao
中髎穴,zhong'liao'xue
肿瘤特异区,zhong'liu'te'yi'qu
中膂俞,zhong'lv'yu
中膂俞穴,zhong'lv'yu'xue
中平,zhong'ping
中平穴,zhong'ping'xue
中泉,zhong'quan
中泉穴,zhong'quan'xue
中枢,zhong'shu
中枢穴,zhong'shu'xue
中庭,zhong'ting
中庭穴,zhong'ting'xue
中脘,zhong'wan
中脘穴,zhong'wan'xue
中注,zhong'zhu
中渚,zhong'zhu
中注穴,zhong'zhu'xue
中渚穴,zhong'zhu'xue
肘尖,zhou'jian
肘尖穴,zhou'jian'xue
肘髎,zhou'liao
肘髎穴,zhou'liao'xue
肘区,zhou'qu
周荣,zhou'rong
周荣穴,zhou'rong'xue
肘穴,zhou'xue
