啊吔,a'ye
嘎白的,ga'bai'de
噶达,ga'da
噶杂咯杂,ga'za'ge'za
该别,gai'bie
该哈,gai'ha
该杂,gai'za
该杂别,gai'za'bie
该杂喽,gai'za'lou
干斤刮瘦,gan'jin'gua'shou
干墨子,gan'mo'zi
干末子,gan'mo'zi
港点别的,gang'dian'bie'de
港话咯,gang'hua'ge
港话塞,gang'hua'sai
搞大路,gao'da'lu
搞喽的,gao'lou'de
搞路,gao'lu
搞猛哒,gao'meng'da
搞末子,gao'mo'zi
搞莫子,gao'mo'zi
搞莫子漏咯,gao'mo'zi'lou'ge
搞驼不清,gao'tuo'bu'qing
搞醉哒,gao'zui'da
搞醉达,gao'zui'da
各哈,ge'ha
咯杂,ge'za
各只,ge'zhi
狗脑壳,gou'nao'ke
刮瘦滴,gua'shou'di
拐场,guai'chang
管它克,guan'ta'ke
鬼扯腿,gui'che'tui
贵大爷,gui'da'ye
鬼搞子搞,gui'gao'zi'gao
贵气,gui'qi
鬼五十七,gui'wu'shi'qi
鬼无十七,gui'wu'shi'qi
鬼崽子,gui'zai'zi
滚出克,gun'chu'ke
过个别,guo'ge'bie
过细,guo'xi
过杂,guo'za
哈宝,ha'bao
哈别,ha'bie
哈的别一样,ha'de'bie'yi'yang
哈得卵一样滴,ha'de'luan'yi'yang'di
哈得死,ha'de'si
哈登卵,ha'deng'luan
哈里哈气,ha'li'ha'qi
哈利油,ha'li'you
哈蜊油,ha'li'you
哈卵,ha'luan
哈是的,ha'shi'de
哈疼暖,ha'teng'nuan
哈星,ha'xing
还冒,hai'mao
还冇做,hai'mao'zuo
好咯,hao'lo
喝杯白酒,he'bei'bai'jiu
何得了,he'de'le
赫得一滚,he'de'yi'gun
何解,he'jie
何什,he'shen
何什搞,he'shen'gao
黑哒,hei'da
黑得你一滚,hei'de'ni'yi'gun
黑人,hei'ren
蕻子菜,hong'zi'cai
化胡子,hua'hu'zi
画胡子,hua'hu'zi
化生子,hua'sheng'zi
化孙子,hua'sun'zi
回克,hui'ke
火心烦躁,huo'xin'fan'zao
几叫的,ji'jiao'de
挤密喇密,ji'mi'la'mi
鸡屎闷子,ji'shi'men'zi
挤牙膏,ji'ya'gao
夹板,jia'ban
架场,jia'chang
夹码子,jia'ma'zi
捡得封皮就是印,jian'de'feng'pi'jiu'shi'yin
捡篓子,jian'lou'zi
讲话,jiang'hua
叫花子,jiao'hua'zi
叫脑壳,jiao'nao'ke
叫卫子,jiao'wei'zi
狡黠,jiao'xia
接陀,jie'tuo
接驼,jie'tuo
尽出鱼,jin'chu'yu
紧哒搞,jin'da'gao
尽噶,jin'ga
紧搞,jin'gao
紧搞得,jin'gao'de
尽篓我,jin'lou'wo
矜死乜痕,jin'si'mie'hen
矜死乜痕找起事做,jin'si'mie'hen'zhao'qi'shi'zuo
警调子,jing'diao'zi
就国杂了,jiu'guo'za'le
绝味,jue'wei
靠实,kao'shi
克咯,ke'ge
克哪里,ke'na'li
可痞,ke'pi
克死,ke'si
空头路,kong'tou'lu
抠门,kou'men
抠唆皮,kou'suo'pi
侩策,kuai'ce
块测,kuai'ce
筐瓢,kuang'piao
困嘎哒,kun'ga'da
拉不出屎怨茅坑,la'bu'chu'shi'yuan'mao'keng
邋遢,la'ta
来不得神,lai'bu'de'shen
来米,lai'mi
赖痞,lai'pi
懒此得你,lan'ci'de'ni
烂法器,lan'fa'qi
烂麻匹,lan'ma'pi
老口子,lao'kou'zi
老抠子,lao'kou'zi
老麻嘿,lao'ma'hei
劳什子,lao'shi'zi
了难,le'nan
了瞥,le'pie
垒肥滴,lei'fei'di
垒三垒四,lei'san'lei'si
垒壮的,lei'zhuang'de
利噶烂,li'ga'lan
粒隔烂,li'ge'lan
丽格郎,li'ge'lang
丽家浪,li'jia'lang
了不得难,liao'bu'de'nan
咧嘎哒,lie'ga'da
咧钻子,lie'zuan'zi
灵泛,ling'fan
零放,ling'fang
令令光,ling'ling'guang
零零光,ling'ling'guang
流逛男,liu'guang'nan
陋经,lou'jing
蛮屌,man'diao
满哥,man'ge
蛮巧,man'qiao
蛮巧摆,man'qiao'bai
冇睬你,mao'cai'ni
冇得,mao'de
冒得,mao'de
冇得钱,mao'de'qian
冇点检实,mao'dian'jian'shi
冒点检十,mao'dian'jian'shi
冒觉悟,mao'jue'wu
冒卵味,mao'luan'wei
毛毛,mao'mao
毛莫子,mao'mo'zi
冒恰,mao'qia
冒钱,mao'qian
冒僿起,mao'sai'qi
冒噻起,mao'sai'qi
冒味,mao'wei
猫鱼,mao'yu
么子,me'zi
么子喽,me'zi'lou
么子陋经,me'zi'lou'jing
妹头,mei'tou
妹坨,mei'tuo
妹陀,mei'tuo
妹驮,mei'tuo
昧心昧意,mei'xin'mei'yi
猛称达,meng'cheng'da
绵别个,mian'bie'ge
绵夫子,mian'fu'zi
绵我咯,mian'wo'ge
蔑黑把黑,mie'hei'ba'hei
灭黑的,mie'hei'de
咩黑滴,mie'hei'di
蔑几拉黑,mie'ji'la'hei
莫拌哒,mo'ban'da
莫宝咯,mo'bao'ge
莫策,mo'ce
莫策我咯,mo'ce'wo'ge
莫咯,mo'ge
摸脶拐,mo'luo'guai
莫噻,mo'sai
那确实,na'que'shi
那只,na'zhi
男家,nan'jia
闹场合,nao'chang'he
闹场子,nao'chang'zi
脑壳绊哒哦,nao'ke'ban'da'o
嫩白的,nen'bai'de
你才有点宝类,ni'cai'you'dian'bao'lei
你很屌,ni'hen'diao
你就有蛮猛来,ni'jiu'you'man'meng'lai
你喃嘎,ni'nan'ga
你想我不咯,ni'xiang'wo'bu'ge
你晓得啵,ni'xiao'de'bo
你要何解咯,ni'yao'he'jie'ge
你要哦改,ni'yao'o'gai
你要哦改咯,ni'yao'o'gai'ge
你有点病百,ni'you'dian'bing'bai
娘的个蛋,niang'de'ge'dan
娘老子,niang'lao'zi
嬲塞,niao'sai
嬲腮,niao'sai
捏起港,nie'qi'gang
捏象哒,nie'xiang'da
牛恋氹,niu'lian'dang
哦得了,o'de'le
哦得了咯,o'de'le'ge
哦噶,o'ga
哦改,o'gai
哦改咯,o'gai'ge
哦该咯,o'gai'ge
哦解,o'jie
哦里,o'li
哦司搞,o'si'gao
怄躁,ou'zao
怕懒得,pa'lan'de
怕么,pa'me
跘哒脑壳,pan'da'nao'ke
跘式样,pan'shi'yang
喷死你,pen'si'ni
碰哒鬼咧,peng'da'gui'lie
碰大你国鬼,peng'da'ni'guo'gui
碰哒你只鬼,peng'da'ni'zhi'gui
笸箩货,po'luo'huo
起梗子,qi'geng'zi
漆烂黑,qi'lan'hei
七哩八哩,qi'li'ba'li
七里八里,qi'li'ba'li
恰伴片,qia'ban'pian
恰哒饭冒事做,qia'da'fan'mao'shi'zuo
恰饭,qia'fan
恰饭冒,qia'fan'mao
恰嘎哒,qia'ga'da
恰莫子,qia'mo'zi
欠不得子,qian'bu'de'zi
清白,qing'bai
三打哈,san'da'ha
散口,san'kou
三毛妮,san'mao'ni
散棚,san'peng
散蓬,san'peng
散洋子,san'yang'zi
散阳子,san'yang'zi
刹钩子,sha'gou'zi
杀猪,sha'zhu
上草窠树,shang'cao'ke'shu
神不伦通,shen'bu'lun'tong
生得贱,sheng'de'jian
失格,shi'ge
时刻子,shi'ke'zi
手霸子,shou'ba'zi
水老公,shui'lao'gong
水老倌,shui'lao'guan
硕的死,shuo'de'si
硕腿,shuo'tui
死嘎哒,si'ga'da
四路子,si'lu'zi
送撮哒,song'cuo'da
送黑哒,song'hei'da
送磊哒,song'lei'da
送雷哒,song'lei'da
送篓哒,song'lou'da
算哒,suan'da
唆皮,suo'pi
弹开,tan'kai
堂客,tang'ke
堂客们,tang'ke'men
唐四郎,tang'si'lang
讨卵嫌,tao'luan'xian
提篮子,ti'lan'zi
调口味,tiao'kou'wei
调皮,tiao'pi
彤红的,tong'hong'de
统码的,tong'ma'de
桶抹滴,tong'mo'di
透人,tou'ren
透鲜的,tou'xian'de
偷油伯,tou'you'bo
突人,tu'ren
腿夫子,tui'fu'zi
腿父子,tui'fu'zi
推上坡,tui'shang'po
驮腿,tuo'tui
望的哈安,wang'de'ha'an
卫子,wei'zi
我想睡告哒,wo'xiang'shui'gao'da
我要上泽所哒,wo'yao'shang'ze'suo'da
无皮下血,wu'pi'xia'xue
污七八黑,wu'qi'ba'hei
细别,xi'bie
稀释胯烂,xi'shi'kua'lan
稀下的,xi'xia'de
细伢子,xi'ya'zi
下不得地,xia'bu'de'di
呷饭,xia'fan
呷噶饭冇,xia'ga'fan'mao
下家,xia'jia
下皮,xia'pi
夏皮,xia'pi
闲吧烂,xian'ba'lan
现屌,xian'diao
现话得,xian'hua'de
现世宝,xian'shi'bao
乡寸别,xiang'cun'bie
相公,xiang'gong
想醉哒,xiang'zui'da
晓得,xiao'de
小栗子,xiao'li'zi
小粒子,xiao'li'zi
泄密,xie'mi
醒门子,xing'men'zi
行头,xing'tou
哑发子,ya'fa'zi
伢老官,ya'lao'guan
伢子,ya'zi
厌瞎眼,yan'xia'yan
羊毛出在羊身上,yang'mao'chu'zai'yang'shen'shang
杨无六宗,yang'wu'liu'zong
羊无六尊,yang'wu'liu'zun
洋意子,yang'yi'zi
要得,yao'de
要的咯,yao'de'ge
耶得骚,ye'de'sao
夜饭菜,ye'fan'cai
也卵,ye'luan
叶卵,ye'luan
吔卵,ye'luan
也屁,ye'pi
嘢勺,ye'shao
夜瞎子,ye'xia'zi
咦噶,yi'ga
意怪婆,yi'guai'po
一哈,yi'ha
一哈子,yi'ha'zi
一喽咯,yi'lou'ge
一浦渣,yi'pu'zha
一四兰上,yi'si'lan'shang
一同卵,yi'tong'luan
一筒卵,yi'tong'luan
一通坨,yi'tong'tuo
一碗饭,yi'wan'fan
一线,yi'xian
一杂鬼,yi'za'gui
阴坨子,yin'tuo'zi
硬扎,ying'za
有点宝百,you'dian'bao'bai
有狠,you'hen
油漆工,you'qi'gong
熨帖,yu'tie
运神,yun'shen
韵味,yun'wei
咋别,za'bie
匝扫把,za'sao'ba
崽啊,zai'a
在屋里,zai'wu'li
造孽,zao'nie
炸窟,zha'ku
真硕,zhen'shuo
整驼子,zheng'tuo'zi
猪块子,zhu'kuai'zi
猪脑壳,zhu'nao'ke
猪头疯,zhu'tou'feng
猪头木寸,zhu'tou'mu'cun
转泛,zhuan'fan
转泛子,zhuan'fan'zi
走水路,zou'shui'lu
作祷告,zuo'dao'gao
做好事,zuo'hao'shi
做尽哒,zuo'jin'da
做墨子,zuo'mo'zi
作孽,zuo'nie
做味搞,zuo'wei'gao
