阿飞,a'fei
通灵之术,tong'ling'zhi'shu
瞳术,tong'shu
通牙,tong'ya
头刻苦,tou'ke'ku
土遁,tu'dun
土遁追牙术,tu'dun'zhui'ya'shu
土牢术,tu'lao'shu
土流壁,tu'liu'bi
土流大河,tu'liu'da'he
土龙弹,tu'long'dan
土陆归来,tu'lu'gui'lai
土影,tu'ying
土之国,tu'zhi'guo
土中映鱼之术,tu'zhong'ying'yu'zhi'shu
团藏,tuan'cang
豚豚,tun'tun
托斯,tuo'si
瓦片手里剑,wa'pian'shou'li'jian
万花镜写轮眼,wan'hua'jing'xie'lun'yan
万花筒写轮眼,wan'hua'tong'xie'lun'yan
万蛇,wan'she
伪暗,wei'an
尾兽,wei'shou
伪装术,wei'zhuang'shu
我爱罗,wo'ai'luo
涡卷鸣门,wo'juan'ming'men
五寸钉,wu'cun'ding
五代火影,wu'dai'huo'ying
乌冬,wu'dong
乌顿,wu'dun
无幻城之卷,wu'huan'cheng'zhi'juan
雾姬,wu'ji
五食鲛,wu'shi'jiao
五尾彭侯,wu'wei'peng'hou
五行封印,wu'xing'feng'yin
五行解印,wu'xing'jie'yin
雾隐,wu'yin
雾隐村,wu'yin'cun
雾隐忍者村,wu'yin'ren'zhe'cun
雾隐术,wu'yin'shu
雾隐之术,wu'yin'zhi'shu
五右卫门,wu'you'wei'men
五指鲛,wu'zhi'jiao
夕日红,xi'ri'hong
霞从者之术,xia'cong'zhe'zhi'shu
下忍,xia'ren
夏日星,xia'ri'xing
仙术,xian'shu
香膦,xiang'lin
香磷,xiang'lin
响鸣穿,xiang'ming'chuan
象转之术,xiang'zhuan'zhi'shu
小南,xiao'nan
消写颜之术,xiao'xie'yan'zhi'shu
小樱,xiao'ying
晓组织,xiao'zu'zhi
写轮眼,xie'lun'yan
邪之口,xie'zhi'kou
心乱凯,xin'luan'kai
心乱身之术,xin'luan'shen'zhi'shu
新写轮眼,xin'xie'lun'yan
心转身之术,xin'zhuan'shen'zhi'shu
心转心之术,xin'zhuan'xin'zhi'shu
星忍村,xing'ren'cun
星忍者村,xing'ren'zhe'cun
休门,xiu'men
修行,xiu'xing
须佐能乎,xu'zuo'neng'hu
须佐之男,xu'zuo'zhi'nan
玄能,xuan'neng
旋涡玖辛奈,xuan'wo'jiu'xin'nai
漩涡鸣人,xuan'wo'ming'ren
旋涡齐奈,xuan'wo'qi'nai
漩涡忍传,xuan'wo'ren'chuan
漩涡之国,xuan'wo'zhi'guo
玄武,xuan'wu
雪姬忍法帖,xue'ji'ren'fa'tie
血继限界,xue'ji'xian'jie
雪之国,xue'zhi'guo
压害,ya'hai
压垮摊贩术,ya'kua'tan'fan'shu
牙狼牙,ya'lang'ya
牙通牙,ya'tong'ya
燕吹雪,yan'chui'xue
岩击,yan'ji
岩宿崩,yan'su'beng
岩隐,yan'yin
岩隐村,yan'yin'cun
岩隐忍者村,yan'yin'ren'zhe'cun
妖狐外衣,yao'hu'wai'yi
妖狐之衣,yao'hu'zhi'yi
药师兜,yao'shi'dou
夜叉丸,ye'cha'wan
业头,ye'tou
一代,yi'dai
一乐,yi'le
一乐拉面,yi'le'la'mian
伊那里,yi'na'li
一尾守鹤,yi'wei'shou'he
引爆符,yin'bao'fu
引爆黏土,yin'bao'nian'tu
音忍,yin'ren
音忍村,yin'ren'cun
音忍五人众,yin'ren'wu'ren'zhong
音忍者村,yin'ren'zhe'cun
影分身术,ying'fen'shen'shu
影分之身术,ying'fen'zhi'shen'shu
影风车,ying'feng'che
影缚颈之术,ying'fu'jing'zhi'shu
影首缚,ying'shou'fu
影手里剑之术,ying'shou'li'jian'zhi'shu
影束缚之术,ying'shu'fu'zhi'shu
硬涡水刃,ying'wo'shui'ren
影舞叶,ying'wu'ye
鹰小队,ying'xiao'dui
影子模仿术,ying'zi'mo'fang'shu
右近,you'jin
右拉,you'la
由良,you'liang
油女志乃,you'nv'zhi'nai
油女志尾,you'nv'zhi'wei
语暴之术,yu'bao'zhi'shu
雨露千本,yu'lu'qian'ben
雨露千针,yu'lu'qian'zhen
玉女,yu'nv
雨忍,yu'ren
雨忍村,yu'ren'cun
雨忍者村,yu'ren'zhe'cun
御手洗红豆,yu'shou'xi'hong'dou
宇智波斑,yu'zhi'bo'ban
宇智波带土,yu'zhi'bo'dai'tu
宇智波富岳,yu'zhi'bo'fu'yue
宇智波美琴,yu'zhi'bo'mei'qin
宇智波鼬,yu'zhi'bo'you
宇智波止水,yu'zhi'bo'zhi'shui
宇智云助,yu'zhi'yun'zhu
猿飞,yuan'fei
猿飞阿斯玛,yuan'fei'a'si'ma
猿飞新之助,yuan'fei'xin'zhi'zhu
猿猴王猿魔,yuan'hou'wang'yuan'mo
猿魔,yuan'mo
远眼镜之术,yuan'yan'jing'zhi'shu
月读,yue'du
月光疾风,yue'guang'ji'feng
早阙之舞,zao'que'zhi'wu
增血丸,zeng'xue'wan
斩空波,zhan'kong'bo
斩空极波,zhan'kong'ji'bo
斩斩舞,zhan'zhan'wu
掌仙术,zhang'xian'shu
召唤六道,zhao'huan'liu'dao
召唤阎罗,zhao'huan'yan'luo
沼之国,zhao'zhi'guo
者之书,zhe'zhi'shu
针地藏,zhen'di'zang
挣脱术,zheng'tuo'shu
志保,zhi'bao
纸手里剑,zhi'shou'li'jian
治愈术,zhi'yu'shu
蜘蛛缠丝,zhi'zhu'chan'si
蜘蛛巢开,zhi'zhu'chao'kai
蜘蛛缚,zhi'zhu'fu
蜘蛛粘金,zhi'zhu'zhan'jin
终极英雄,zhong'ji'ying'xiong
终结之谷,zhong'jie'zhi'gu
中忍,zhong'ren
中忍考试,zhong'ren'kao'shi
重吾,zhong'wu
中心斩首术,zhong'xin'zhan'shou'shu
咒印,zhou'yin
咒印术,zhou'yin'shu
朱鹭,zhu'lu
竹取君麻吕,zhu'qu'jun'ma'lv
朱雀,zhu'que
转寝小春,zhuan'qin'xiao'chun
转生仪式,zhuan'sheng'yi'shi
追牙术,zhui'ya'shu
追牙之术,zhui'ya'zhi'shu
自爆分身,zi'bao'fen'shen
自来也,zi'lai'ye
自然能源,zi'ran'neng'yuan
自杀斩首之术,zi'sha'zhan'shou'zhi'shu
自我爆炸,zi'wo'bao'zha
佐,zuo
左近,zuo'jin
佐井,zuo'jing
佐助,zuo'zhu
