阿乾,a'qian
伊武,yi'wu
伊武深司,yi'wu'shen'si
以下克上,yi'xia'ke'shang
英二,ying'er
樱井,ying'jing
樱井雅也,ying'jing'ya'ye
樱乃,ying'nai
勇次,yong'ci
侑士,you'shi
羽生一斗,yu'sheng'yi'dou
裕太,yu'tai
远山金太郎,yuan'shan'jin'tai'lang
源拓马,yuan'tuo'ma
越前,yue'qian
越前菜菜子,yue'qian'cai'cai'zi
越前龙马,yue'qian'long'ma
越前伦子,yue'qian'lun'zi
越前南次郎,yue'qian'nan'ci'lang
岳人,yue'ren
早乙女晴美,zao'yi'nv'qing'mei
真田,zhen'tian
真田弦一郎,zhen'tian'xian'yi'lang
知念,zhi'nian
知念宽,zhi'nian'kuan
芝沙织,zhi'sha'zhi
周助,zhou'zhu
竹内伦子,zhu'nei'lun'zi
紫酢,zi'zuo
佐伯,zuo'bo
佐伯虎次郎,zuo'bo'hu'ci'lang
