安邦花园小区,an'bang'hua'yuan'xiao'qu
老地方火锅店,lao'di'fang'huo'guo'dian
劳动局,lao'dong'ju
冷建小区,leng'jian'xiao'qu
立公村,li'gong'cun
立新派出所,li'xin'pai'chu'suo
林场,lin'chang
林业法院,lin'ye'fa'yuan
林业高中,lin'ye'gao'zhong
林业医院,lin'ye'yi'yuan
林业中学,lin'ye'zhong'xue
岭西交警队,ling'xi'jiao'jing'dui
六号线,liu'hao'xian
六马路,liu'ma'lu
龙安保险公司,long'an'bao'xian'gong'si
龙安公司,long'an'gong'si
马鞍山,ma'an'shan
马鞍山外环,ma'an'shan'wai'huan
煤炭技术学校,mei'tan'ji'shu'xue'xiao
煤炭医院,mei'tan'yi'yuan
民政局,min'zheng'ju
耐火厂,nai'huo'chang
耐火厂老头队,nai'huo'chang'lao'tou'dui
耐火厂路口,nai'huo'chang'lu'kou
南小市,nan'xiao'shi
南寻职高,nan'xun'zhi'gao
皮肤性病防治所,pi'fu'xing'bing'fang'zhi'suo
七马路,qi'ma'lu
人民广场,ren'min'guang'chang
人民康泰药店,ren'min'kang'tai'yao'dian
人民医院,ren'min'yi'yuan
赛丽斯商城,sai'li'si'shang'cheng
三江,san'jiang
三江商城,san'jiang'shang'cheng
三利,san'li
三马路,san'ma'lu
三十二中,san'shi'er'zhong
三十六中学,san'shi'liu'zhong'xue
三十一中,san'shi'yi'zhong
三十一中学,san'shi'yi'zhong'xue
沙厂,sha'chang
商务电脑学校,shang'wu'dian'nao'xue'xiao
商业大楼,shang'ye'da'lou
十八中学,shi'ba'zhong'xue
师范学校,shi'fan'xue'xiao
十九中学,shi'jiu'zhong'xue
师苑,shi'yuan
市政府,shi'zheng'fu
竖井道口,shu'jing'dao'kou
双福驾校,shuang'fu'jia'xiao
双合村,shuang'he'cun
双合蔬菜生产基地,shuang'he'shu'cai'sheng'chan'ji'di
双兴,shuang'xing
水泥厂,shui'ni'chang
税务局,shui'wu'ju
四马路,si'ma'lu
体育馆,ti'yu'guan
体育广场,ti'yu'guang'chang
天工技校,tian'gong'ji'xiao
天工学校,tian'gong'xue'xiao
铁西路,tie'xi'lu
万集市场,wan'ji'shi'chang
伟业大厦,wei'ye'da'sha
文化宫,wen'hua'gong
卧洪桥,wo'hong'qiao
卧虹桥,wo'hong'qiao
卧洪桥派出所,wo'hong'qiao'pai'chu'suo
五粮液专卖店,wu'liang'ye'zhuan'mai'dian
五马路,wu'ma'lu
五中,wu'zhong
五中广场,wu'zhong'guang'chang
西福大桥,xi'fu'da'qiao
西郊,xi'jiao
西山村,xi'shan'cun
西山收费站,xi'shan'shou'fei'zhan
向阳家园,xiang'yang'jia'yuan
向阳路,xiang'yang'lu
向阳小区,xiang'yang'xiao'qu
消防队,xiao'fang'dui
鑫龙泉浴场,xin'long'quan'yu'chang
新兴广场,xin'xing'guang'chang
新兴社,xin'xing'she
兴亚商城,xing'ya'shang'cheng
选煤厂,xuan'mei'chang
养路段,yang'lu'duan
窑地百货,yao'di'bai'huo
一百商城,yi'bai'shang'cheng
移动公司,yi'dong'gong'si
益峰家具博览中心,yi'feng'jia'ju'bo'lan'zhong'xin
益峰家俱城,yi'feng'jia'ju'cheng
逸夫小学,yi'fu'xiao'xue
一炼,yi'lian
一马路,yi'ma'lu
一马路小学,yi'ma'lu'xiao'xue
益人家园,yi'ren'jia'yuan
益人路,yi'ren'lu
一中,yi'zhong
银苑小区,yin'yuan'xiao'qu
影剧院,ying'ju'yuan
油库,you'ku
育龙小区,yu'long'xiao'qu
育龙小学,yu'long'xiao'xue
育新小学,yu'xin'xiao'xue
云峰山,yun'feng'shan
职业高中,zhi'ye'gao'zhong
中国食品药品监督,zhong'guo'shi'pin'yao'pin'jian'du
中心站,zhong'xin'zhan
中医院,zhong'yi'yuan
中植小区,zhong'zhi'xiao'qu
自来水公司,zi'lai'shui'gong'si
紫怡花园,zi'yi'hua'yuan
