暗送秋波,an'song'qiu'bo
长颦减翠瘦绿消红,chang'pin'jian'cui'shou'lv'xiao'hong
朝天鼻,chao'tian'bi
沉鱼落雁,chen'yu'luo'yan
齿如含贝,chi'ru'han'bei
愁眉不展,chou'mei'bu'zhan
愁眉泪眼,chou'mei'lei'yan
愁眉锁眼,chou'mei'suo'yan
楚楚动人,chu'chu'dong'ren
楚楚衣衫,chu'chu'yi'shan
出水芙蓉,chu'shui'fu'rong
吹箫引凤,chui'xiao'yin'feng
春半桃花,chun'ban'tao'hua
唇方口正,chun'fang'kou'zheng
春光外泄,chun'guang'wai'xie
唇红齿白,chun'hong'chi'bai
唇红如血,chun'hong'ru'xue
唇焦口燥,chun'jiao'kou'zao
唇如胭脂,chun'ru'yan'zhi
唇色朱樱一点,chun'se'zhu'ying'yi'dian
慈眉善目,ci'mei'shan'mu
慈眉善眼,ci'mei'shan'yan
慈眉笑眼,ci'mei'xiao'yan
慈眉秀目,ci'mei'xiu'mu
刺猬头,ci'wei'tou
慈祥,ci'xiang
粗糙,cu'cao
粗长,cu'chang
粗大,cu'da
粗黑,cu'hei
粗硬,cu'ying
粗壮,cu'zhuang
黛眉开娇横远岫绿鬓淳浓染春烟,dai'mei'kai'jiao'heng'yuan'xiu'lv'bin'chun'nong'ran'chun'yan
呆滞,dai'zhi
丹唇列素齿翠彩发蛾眉,dan'chun'lie'su'chi'cui'cai'fa'e'mei
丹凤眼,dan'feng'yan
丹铅其面,dan'qian'qi'mian
淡扫蛾眉,dan'sao'e'mei
单衫杏子红,dan'shan'xing'zi'hong
淡雅脱俗,dan'ya'tuo'su
灯前目被底足帐中音,deng'qian'mu'bei'di'zu'zhang'zhong'yin
滴溜溜,di'liu'liu
滴溜溜的,di'liu'liu'de
点额寿阳,dian'e'shou'yang
点染曲眉,dian'ran'qu'mei
东山窈窕娘幽梦恼襄王,dong'shan'yao'tiao'niang'you'meng'nao'xiang'wang
斗鸡眼,dou'ji'yan
豆蔻华年,dou'kou'hua'nian
端丽冠绝,duan'li'guan'jue
端正阔大,duan'zheng'kuo'da
端庄秀丽,duan'zhuang'xiu'li
娥娥理红妆纤纤抬素手,e'e'li'hong'zhuang'xian'xian'tai'su'shou
婀娜小蛮,e'nuo'xiao'man
耳垂,er'chui
耳聪目明,er'cong'mu'ming
耳朵,er'duo
耳廓,er'kuo
耳轮,er'lun
耳鸣眼花,er'ming'yan'hua
耳目失灵,er'mu'shi'ling
耳目一新,er'mu'yi'xin
发辫,fa'bian
翻紫摇红,fan'zi'yao'hong
芳菲妩媚,fang'fei'wu'mei
方面大耳,fang'mian'da'er
芳情惜花踏月,fang'qing'xi'hua'ta'yue
方桃譬李,fang'tao'pi'li
芳香袭人,fang'xiang'xi'ren
芳香已盈路,fang'xiang'yi'ying'lu
芳馨满体,fang'xin'man'ti
肥大,fei'da
绯红,fei'hong
肥头大耳,fei'tou'da'er
粉白黛绿,fen'bai'dai'lv
粉红,fen'hong
粉腻酥融娇欲滴,fen'ni'su'rong'jiao'yu'di
粉腮红润秀眸惺忪,fen'sai'hong'run'xiu'mou'xing'song
粉藻其姿,fen'zao'qi'zi
粉妆玉琢,fen'zhuang'yu'zhuo
丰标不凡,feng'biao'bu'fan
凤钗头上风,feng'chai'tou'shang'feng
风吹仙袂飘飘举,feng'chui'xian'mei'piao'piao'ju
风风韵韵,feng'feng'yun'yun
风鬟雾鬓,feng'huan'wu'bin
风髻雾鬓,feng'ji'wu'bin
风娇水媚,feng'jiao'shui'mei
风流尔雅,feng'liu'er'ya
风流蕴藉,feng'liu'yun'jie
风情万种,feng'qing'wan'zhong
丰容靓饰,feng'rong'liang'shi
丰润白皙,feng'run'bai'xi
丰神冶丽,feng'shen'ye'li
凤眼,feng'yan
凤眼流盼,feng'yan'liu'pan
丰盈窈窕,feng'ying'yao'tiao
丰腴,feng'yu
丰姿绰约,feng'zi'chuo'yue
丰姿尽展,feng'zi'jin'zhan
丰姿冶丽,feng'zi'ye'li
浮翠流丹,fu'cui'liu'dan
傅粉施朱,fu'fen'shi'zhu
芙蓉出水,fu'rong'chu'shui
绀黛羞春华,gan'dai'xiu'chun'hua
绀发浓于沐,gan'fa'nong'yu'mu
干裂,gan'lie
干瘦,gan'shou
干燥,gan'zao
高鼻梁,gao'bi'liang
隔户杨柳弱袅袅恰似十五女儿腰,ge'hu'yang'liu'ruo'niao'niao'qia'si'shi'wu'nv'er'yao
拱梁大鼻,gong'liang'da'bi
古碌碌,gu'lu'lu
顾盼神飞,gu'pan'shen'fei
顾盼生辉撩人心怀,gu'pan'sheng'hui'liao'ren'xin'huai
顾盼生神,gu'pan'sheng'shen
顾倾人国,gu'qing'ren'guo
古铜色,gu'tong'se
关切,guan'qie
光滑,guang'hua
光滑洁白,guang'hua'jie'bai
光滑细腻,guang'hua'xi'ni
光洁,guang'jie
光溜溜,guang'liu'liu
光艳逼人,guang'yan'bi'ren
瑰姿艳逸,gui'zi'yan'yi
国色天香,guo'se'tian'xiang
蛤蟆眼,ha'ma'yan
海棠标韵,hai'tang'biao'yun
含娇细语,han'jiao'xi'yu
含娇倚榻,han'jiao'yi'ta
汗津津,han'jin'jin
含情凝睇,han'qing'ning'di
皓齿星眸,hao'chi'xing'mou
好风南来轻摇纨扇,hao'feng'nan'lai'qing'yao'wan'shan
皓如凝脂,hao'ru'ning'zhi
鹤发,he'fa
鹤发童颜,he'fa'tong'yan
黑乎乎,hei'hu'hu
黑亮亮的,hei'liang'liang'de
黑油油,hei'you'you
恒敛千金笑长垂双玉啼,heng'lian'qian'jin'xiao'chang'chui'shuang'yu'ti
横眉冷眼,heng'mei'leng'yan
红唇,hong'chun
红粉青蛾,hong'fen'qing'e
红华曼理,hong'hua'man'li
红润,hong'run
红润透亮,hong'run'tou'liang
红袖添香,hong'xiu'tian'xiang
厚实,hou'shi
蝴蝶髻,hu'die'ji
花钿委地无人收方是真饰缘,hua'dian'wei'di'wu'ren'shou'fang'shi'zhen'shi'yuan
滑腻柔软,hua'ni'rou'ruan
花颜月貌,hua'yan'yue'mao
花遮柳掩,hua'zhe'liu'yan
花枝招展,hua'zhi'zhao'zhan
画中娇,hua'zhong'jiao
怀恨阿娇,huai'hen'a'jiao
环肥燕瘦,huan'fei'yan'shou
回顾千万一笑千金,hui'gu'qian'wan'yi'xiao'qian'jin
回眸一笑百媚丛生,hui'mou'yi'xiao'bai'mei'cong'sheng
回眸一笑百媚生,hui'mou'yi'xiao'bai'mei'sheng
回身举步恰似柳摇花笑润初妍,hui'shen'ju'bu'qia'si'liu'yao'hua'xiao'run'chu'yan
慧眼,hui'yan
浑浊,hun'zhuo
火眼金睛,huo'yan'jin'jing
肌理细腻骨肉匀,ji'li'xi'ni'gu'rou'yun
肌妙肤弱骨纤形,ji'miao'fu'ruo'gu'xian'xing
肌肉发达,ji'rou'fa'da
肌肉隆起,ji'rou'long'qi
肌若凝脂气若幽兰,ji'ruo'ning'zhi'qi'ruo'you'lan
佳丽,jia'li
坚定,jian'ding
剑眉,jian'mei
剑眉倒竖,jian'mei'dao'shu
肩若削成腰若约素,jian'ruo'xiao'cheng'yao'ruo'yue'su
坚实,jian'shi
坚硬,jian'ying
剪着平头,jian'zhe'ping'tou
绛唇映日,jiang'chun'ying'ri
绛紫,jiang'zi
皎皎洁妇,jiao'jiao'jie'fu
姣丽蛊媚,jiao'li'gu'mei
娇嫩丰盈,jiao'nen'feng'ying
皎若秋月,jiao'ruo'qiu'yue
娇小玲珑,jiao'xiao'ling'long
娇音萦萦,jiao'yin'ying'ying
娇莺初啭微风振箫,jiao'ying'chu'zhuan'wei'feng'zhen'xiao
狡诈,jiao'zha
洁白无暇,jie'bai'wu'xia
芥芳沤郁,jie'fang'ou'yu
结结实实,jie'jie'shi'shi
结实,jie'shi
结实有力,jie'shi'you'li
金钗十二,jin'chai'shi'er
金刚怒目,jin'gang'nu'mu
筋骨嶙峋,jin'gu'lin'xun
金莲凤头,jin'lian'feng'tou
金色眉,jin'se'mei
紧缩锁,jin'suo'suo
金屋藏娇,jin'wu'cang'jiao
金鱼眼,jin'yu'yan
金瓒玉珥,jin'zan'yu'er
金针倒拈绣屏斜倚,jin'zhen'dao'nian'xiu'ping'xie'yi
金枝玉叶,jin'zhi'yu'ye
静如处女,jing'ru'chu'nv
睛若秋波,jing'ruo'qiu'bo
镜中貌月下影隔帘形睡初醒,jing'zhong'mao'yue'xia'ying'ge'lian'xing'shui'chu'xing
经珠不动凝两眉铅华销尽见天真,jing'zhu'bu'dong'ning'liang'mei'qian'hua'xiao'jin'jian'tian'zhen
炯炯有神,jiong'jiong'you'shen
酒微醺妆半卸,jiu'wei'xun'zhuang'ban'xie
酒糟鼻,jiu'zao'bi
卷发,juan'fa
绝代佳人,jue'dai'jia'ren
绝色盖世,jue'se'gai'shi
绝色难求,jue'se'nan'qiu
绝一代之丽,jue'yi'dai'zhi'li
俊目,jun'mu
开颜发艳,kai'yan'fa'yan
空谷幽兰,kong'gu'you'lan
枯瘦,ku'shou
款步姗姗,kuan'bu'shan'shan
宽大,kuan'da
蜡黄,la'huang
蜡黄色,la'huang'se
懒起画蛾眉,lan'qi'hua'e'mei
兰心蕙性,lan'xin'hui'xing
兰熏桂馥,lan'xun'gui'fu
朗目,lang'mu
朗目疏眉,lang'mu'shu'mei
老花眼,lao'hua'yan
老眼昏花,lao'yan'hun'hua
泪痕尚尤在笑靥自然开,lei'hen'shang'you'zai'xiao'ye'zi'ran'kai
棱角分明,leng'jiao'fen'ming
梨花带雨蝉露秋枝,li'hua'dai'yu'chan'lu'qiu'zhi
丽女盛饰,li'nv'sheng'shi
丽雪红妆,li'xue'hong'zhuang
丽质仙娥生月殿,li'zhi'xian'e'sheng'yue'dian
莲花仙子,lian'hua'xian'zi
两鬓苍苍,liang'bin'cang'cang
凉冰冰,liang'bing'bing
两耳垂肩,liang'er'chui'jian
两颊笑涡霞光荡漾,liang'jia'xiao'wo'xia'guang'dang'yang
亮晶晶,liang'jing'jing
两眉入鬓,liang'mei'ru'bin
两眼发呆,liang'yan'fa'dai
两眼放光,liang'yan'fang'guang
两眼如灯,liang'yan'ru'deng
寥若晨星,liao'ruo'chen'xing
临去秋波那一转,lin'qu'qiu'bo'na'yi'zhuan
凌波玉足,ling'bo'yu'zu
灵活,ling'huo
凌乱,ling'luan
灵巧,ling'qiao
六朝粉黛,liu'chao'fen'dai
流风之回雪轻云之蔽日,liu'feng'zhi'hui'xue'qing'yun'zhi'bi'ri
流光溢彩,liu'guang'yi'cai
刘海,liu'hai
刘海儿,liu'hai'er
柳眉淡描,liu'mei'dan'miao
柳眉倒竖,liu'mei'dao'shu
柳眉如烟,liu'mei'ru'yan
柳眉杏眼,liu'mei'xing'yan
柳叶眉,liu'ye'mei
留着背头,liu'zhe'bei'tou
龙眉凤眼,long'mei'feng'yan
隆起,long'qi
隆突,long'tu
楼少女弄瑶瑟一曲未终坐长叹,lou'shao'nv'nong'yao'se'yi'qu'wei'zhong'zuo'chang'tan
罗绮文秀,luo'qi'wen'xiu
罗帷绮箔脂粉香,luo'wei'qi'bo'zhi'fen'xiang
罗袖初单,luo'xiu'chu'dan
绿叶醉桃,lv'ye'zui'tao
满手老茧,man'shou'lao'jian
貌似天仙,mao'si'tian'xian
貌婉心娴,mao'wan'xin'xian
美不胜收,mei'bu'sheng'shou
眉将柳而争绿面共桃而竞红,mei'jiang'liu'er'zheng'lv'mian'gong'tao'er'jing'hong
眉来眼去,mei'lai'yan'qu
眉毛,mei'mao
美目,mei'mu
眉目传情,mei'mu'chuan'qing
眉目如画,mei'mu'ru'hua
眉清目秀,mei'qing'mu'xiu
美人才调信纵横非将此骨眉公卿,mei'ren'cai'tiao'xin'zong'heng'fei'jiang'ci'gu'mei'gong'qing
美人在时花满堂至今三载留余香,mei'ren'zai'shi'hua'man'tang'zhi'jin'san'zai'liu'yu'xiang
美人在时花满堂至今三载闻余香,mei'ren'zai'shi'hua'man'tang'zhi'jin'san'zai'wen'yu'xiang
眉如春山,mei'ru'chun'shan
眉如卧蚕,mei'ru'wo'can
眉如新月,mei'ru'xin'yue
眉若远山,mei'ruo'yuan'shan
眉蔬目朗,mei'shu'mu'lang
眉似新月,mei'si'xin'yue
眉耸春山,mei'song'chun'shan
媚态如风,mei'tai'ru'feng
眉同翠羽,mei'tong'cui'yu
媚眼,mei'yan
眉宇,mei'yu
朦胧惺忪,meng'long'xing'song
眯缝眼,mi'feng'yan
面如冠玉,mian'ru'guan'yu
面赛芙蓉,mian'sai'fu'rong
面相交映,mian'xiang'jiao'ying
敏锐,min'rui
名嫒美姝,ming'ai'mei'shu
名花倾国两相欢,ming'hua'qing'guo'liang'xiang'huan
明亮,ming'liang
明媚妖娆,ming'mei'yao'rao
明眸皓齿,ming'mou'hao'chi
明眸善睐,ming'mou'shan'lai
明眸秀眉,ming'mou'xiu'mei
明艳端庄,ming'yan'duan'zhuang
墨黑,mo'hei
眸含秋水,mou'han'qiu'shui
眸清似水,mou'qing'si'shui
目不转睛,mu'bu'zhuan'jing
目光如炬,mu'guang'ru'ju
目光深邃,mu'guang'shen'sui
耐磨,nai'mo
袅袅娜娜,niao'niao'nuo'nuo
凝视,ning'shi
浓淡适中修短合度,nong'dan'shi'zhong'xiu'duan'he'du
弄粉调朱,nong'fen'tiao'zhu
浓黑,nong'hei
浓眉打眼,nong'mei'da'yan
浓眉如炭,nong'mei'ru'tan
浓桃艳李,nong'tao'yan'li
浓重,nong'zhong
浓妆艳裹,nong'zhuang'yan'guo
女中丈夫,nv'zhong'zhang'fu
潘鬓沈腰,pan'bin'shen'yao
胖乎乎,pang'hu'hu
蓬蓬松松,peng'peng'song'song
蓬松,peng'song
披肩发,pi'jian'fa
翩若惊鸿婉若游龙,pian'ruo'jing'hong'wan'ruo'you'long
翩若轻云出岫,pian'ruo'qing'yun'chu'xiu
破裂,po'lie
铺红叠翠,pu'hong'die'cui
普天壤其无俪旷千载而特生,pu'tian'rang'qi'wu'li'kuang'qian'zai'er'te'sheng
奇服旷世骨像应图,qi'fu'kuang'shi'gu'xiang'ying'tu
琪花瑶草自是风流,qi'hua'yao'cao'zi'shi'feng'liu
千朝回盼万载流芳,qian'chao'hui'pan'wan'zai'liu'fang
千娇百媚,qian'jiao'bai'mei
纤手,qian'shou
俏丽俊逸,qiao'li'jun'yi
螓首蛾眉,qin'shou'e'mei
青白,qing'bai
清澈明亮,qing'che'ming'liang
清脆圆滑,qing'cui'yuan'hua
情多累美人,qing'duo'lei'mei'ren
青光眼,qing'guang'yan
倾国倾城,qing'guo'qing'cheng
清喉娇啭,qing'hou'jiao'zhuan
青筋暴露,qing'jin'bao'lu
青眉如黛,qing'mei'ru'dai
清眸流盼,qing'mou'liu'pan
轻云出岫,qing'yun'chu'xiu
青紫,qing'zi
琼林玉树,qiong'lin'yu'shu
琼姿花貌,qiong'zi'hua'mao
秋波,qiu'bo
秋娘渡与秦娘桥,qiu'niang'du'yu'qin'niang'qiao
秋水伊人,qiu'shui'yi'ren
全露天真,quan'lu'tian'zhen
群芳难逐天香国艳,qun'fang'nan'zhu'tian'xiang'guo'yan
裙拖八幅湘江水,qun'tuo'ba'fu'xiang'jiang'shui
人面桃花情致两饶,ren'mian'tao'hua'qing'zhi'liang'rao
柔滑,rou'hua
柔美飘逸,rou'mei'piao'yi
柔嫩,rou'nen
柔情绰态,rou'qing'chuo'tai
柔桡轻曼妩媚纤弱,rou'rao'qing'man'wu'mei'xian'ruo
柔弱无骨,rou'ruo'wu'gu
柔心弱骨,rou'xin'ruo'gu
如短如长弗浓弗细,ru'duan'ru'chang'fu'nong'fu'xi
如花似玉,ru'hua'si'yu
弱柳扶风,ruo'liu'fu'feng
弱水三千靓女如云,ruo'shui'san'qian'liang'nv'ru'yun
腮晕潮红羞娥凝绿,sai'yun'chao'hong'xiu'e'ning'lv
扫眉才女,sao'mei'cai'nv
扫帚眉,sao'zhou'mei
色艺双全,se'yi'shuang'quan
色艺无双,se'yi'wu'shuang
稍染腥红,shao'ran'xing'hong
韶颜雅容,shao'yan'ya'rong
深不可测,shen'bu'ke'ce
深沉睿智,shen'chen'rui'zhi
神清骨秀,shen'qing'gu'xiu
身轻如燕,shen'qing'ru'yan
深邃,shen'sui
深邃犀利,shen'sui'xi'li
盛服浓妆,sheng'fu'nong'zhuang
盛颜仙姿,sheng'yan'xian'zi
湿润,shi'run
失望,shi'wang
狮子鼻,shi'zi'bi
手可生花,shou'ke'sheng'hua
手如柔荑颜如舜华,shou'ru'rou'ti'yan'ru'shun'hua
瘦弱,shou'ruo
守身如玉,shou'shen'ru'yu
瘦削,shou'xue
淑丽韶好,shu'li'shao'hao
鼠目寸光,shu'mu'cun'guang
淑女才情,shu'nv'cai'qing
淑逸闲华,shu'yi'xian'hua
双鬓隔香红,shuang'bin'ge'xiang'hong
双鬓鸦雏色,shuang'bin'ya'chu'se
双珥照夜煜煜垂晖,shuang'er'zhao'ye'yu'yu'chui'hui
双眉高挑,shuang'mei'gao'tiao
双目澄澈,shuang'mu'cheng'che
双目传神,shuang'mu'chuan'shen
双目似箭,shuang'mu'si'jian
双瞳剪水,shuang'tong'jian'shui
水晶晶的,shui'jing'jing'de
水灵灵的,shui'ling'ling'de
水汪汪,shui'wang'wang
水汪汪的,shui'wang'wang'de
睡眼惺忪,shui'yan'xing'song
水月观音,shui'yue'guan'yin
四方阔口,si'fang'kuo'kou
四肢匀称,si'zhi'yun'chen
松塌塌,song'ta'ta
素齿朱唇,su'chi'zhu'chun
素服花下,su'fu'hua'xia
蒜头鼻,suan'tou'bi
所谓伊人在水一方,suo'wei'yi'ren'zai'shui'yi'fang
塌鼻子,ta'bi'zi
踏五色祥云捧灿烂花枝,ta'wu'se'xiang'yun'peng'can'lan'hua'zhi
态浓意远淑且真,tai'nong'yi'yuan'shu'qie'zhen
炭黑,tan'hei
桃花玉面,tao'hua'yu'mian
桃腮杏面,tao'sai'xing'mian
桃羞李让,tao'xiu'li'rang
桃之夭夭灼灼其华,tao'zhi'yao'yao'zhuo'zhuo'qi'hua
天寒翠袖薄日暮倚修竹,tian'han'cui'xiu'bo'ri'mu'yi'xiu'zhu
天女散花,tian'nv'san'hua
天生丽质,tian'sheng'li'zhi
天香国色,tian'xiang'guo'se
眺望,tiao'wang
挺鼻如峰,ting'bi'ru'feng
婷婷玉立,ting'ting'yu'li
挺直,ting'zhi
通红,tong'hong
头发,tou'fa
头上倭堕髻耳中明月珠,tou'shang'wo'duo'ji'er'zhong'ming'yue'zhu
腿脚利索,tui'jiao'li'suo
腕白肌红细圆无节,wan'bai'ji'hong'xi'yuan'wu'jie
宛丘淑媛,wan'qiu'shu'yuan
婉转双蛾远山色,wan'zhuan'shuang'e'yuan'shan'se
望眼欲穿,wang'yan'yu'chuan
为含金柳为芳兰芷为雨前茶,wei'han'jin'liu'wei'fang'lan'zhi'wei'yu'qian'cha
微翘,wei'qiao
微施粉泽,wei'shi'fen'ze
委委佗佗美也皆佳丽美艳之貌,wei'wei'tuo'tuo'mei'ye'jie'jia'li'mei'yan'zhi'mao
微晕红潮一线拂向桃腮红,wei'yun'hong'chao'yi'xian'fu'xiang'tao'sai'hong
温柔,wen'rou
温柔之至,wen'rou'zhi'zhi
温婉柔顺,wen'wan'rou'shun
温雅含蓄,wen'ya'han'xu
卧蚕眉,wo'can'mei
乌发如云,wu'fa'ru'yun
乌黑,wu'hei
乌黑油亮,wu'hei'you'liang
乌黑有神,wu'hei'you'shen
舞尽霓裳,wu'jin'ni'chang
雾里看花水中望望月云边探竹,wu'li'kan'hua'shui'zhong'wang'wang'yue'yun'bian'tan'zhu
乌亮,wu'liang
乌溜溜的,wu'liu'liu'de
巫女洛神,wu'nv'luo'shen
舞态生风,wu'tai'sheng'feng
细长,xi'chang
西川紫姑,xi'chuan'zi'gu
细眉长睫,xi'mei'chang'jie
细眯眼,xi'mi'yan
细嫩,xi'nen
细嫩温柔,xi'nen'wen'rou
细腻,xi'ni
细腻丰满,xi'ni'feng'man
细皮嫩肉,xi'pi'nen'rou
细巧挺秀,xi'qiao'ting'xiu
细润如脂粉光若腻,xi'run'ru'zhi'fen'guang'ruo'ni
纤长,xian'chang
娴静端庄,xian'jing'duan'zhuang
鲜嫩,xian'nen
纤巧,xian'qiao
纤细,xian'xi
纤纤细细,xian'xian'xi'xi
纤纤玉手,xian'xian'yu'shou
纤指拈棋,xian'zhi'nian'qi
仙姿玉色,xian'zi'yu'se
香草美人,xiang'cao'mei'ren
香簟爽眠幽韵撩人,xiang'dian'shuang'mian'you'yun'liao'ren
香闺秀阁,xiang'gui'xiu'ge
香肌玉体,xiang'ji'yu'ti
香娇玉嫩,xiang'jiao'yu'nen
湘纹飘逸,xiang'wen'piao'yi
香消玉殒,xiang'xiao'yu'yun
相携踏青绣履遗香,xiang'xie'ta'qing'xiu'lv'yi'xiang
香艳夺目,xiang'yan'duo'mu
小白长红越女腮,xiao'bai'chang'hong'yue'nv'sai
笑比褒姒,xiao'bi'bao'si
小窗凝坐独幽情,xiao'chuang'ning'zuo'du'you'qing
小巧,xiao'qiao
小巧玲珑,xiao'qiao'ling'long
斜抱云和,xie'bao'yun'he
携佳人兮步迟迟,xie'jia'ren'xi'bu'chi'chi
斜视眼,xie'shi'yan
斜眼,xie'yan
新月如佳人出海初弄色,xin'yue'ru'jia'ren'chu'hai'chu'nong'se
新月如佳人潋潋初弄月,xin'yue'ru'jia'ren'lian'lian'chu'nong'yue
杏儿眼,xing'er'yan
杏面桃腮,xing'mian'tao'sai
星眸,xing'mou
星眸微嗔,xing'mou'wei'chen
杏眼,xing'yan
杏眼明仁,xing'yan'ming'ren
修长,xiu'chang
修长美丽,xiu'chang'mei'li
修耳隆鼻,xiu'er'long'bi
秀眉,xiu'mei
秀美,xiu'mei
修眉联娟,xiu'mei'lian'juan
秀目,xiu'mu
秀目黛眉,xiu'mu'dai'mei
秀色可餐,xiu'se'ke'can
秀外慧中,xiu'wai'hui'zhong
修项秀颈,xiu'xiang'xiu'jing
秀靥艳比花娇,xiu'ye'yan'bi'hua'jiao
蓄着分头,xu'zhe'fen'tou
雪肤花貌,xue'fu'hua'mao
血盆大口,xue'pen'da'kou
学生发,xue'sheng'fa
眼大无神,yan'da'wu'shen
眼花缭乱,yan'hua'liao'luan
眼睛,yan'jing
眼睛贼亮,yan'jing'zei'liang
艳绝一时,yan'jue'yi'shi
艳美绝伦,yan'mei'jue'lun
艳美绝俗,yan'mei'jue'su
艳美无敌,yan'mei'wu'di
嫣然巧笑,yan'ran'qiao'xiao
艳如桃李,yan'ru'tao'li
颜如渥丹,yan'ru'wo'dan
颜如玉气如兰,yan'ru'yu'qi'ru'lan
眼若流星,yan'ruo'liu'xing
艳若桃李,yan'ruo'tao'li
艳色绝世,yan'se'jue'shi
颜炜含荣,yan'wei'han'rong
艳冶柔媚,yan'ye'rou'mei
掩映生姿,yan'ying'sheng'zi
燕语莺啼,yan'yu'ying'ti
燕支多美女走马轻风雪,yan'zhi'duo'mei'nv'zou'ma'qing'feng'xue
艳妆华服,yan'zhuang'hua'fu
燕子楼空佳人何在,yan'zi'lou'kong'jia'ren'he'zai
妍姿俏丽,yan'zi'qiao'li
妍姿妖艳,yan'zi'yao'yan
仰抚云鬓俯弄芳菲,yang'fu'yun'bin'fu'nong'fang'fei
仰抚云髻俯弄芳荣,yang'fu'yun'ji'fu'nong'fang'rong
羊角辫,yang'jiao'bian
药栏花榭生妙龄,yao'lan'hua'xie'sheng'miao'ling
耀如春华,yao'ru'chun'hua
腰若流纨素耳著明月铛,yao'ruo'liu'wan'su'er'zhu'ming'yue'dang
夭桃浓李,yao'tao'nong'li
窈窕淑女,yao'tiao'shu'nv
窈窕无双,yao'tiao'wu'shuang
腰肢袅娜似弱柳,yao'zhi'niao'nuo'si'ruo'liu
叶底藏花,ye'di'cang'hua
靥铺七巧笑,ye'pu'qi'qiao'xiao
冶容多姿鬓,ye'rong'duo'zi'bin
一串骊珠,yi'chuan'li'zhu
一顾倾人城作文,yi'gu'qing'ren'cheng'zuo'wen
仪静体闲,yi'jing'ti'xian
倚栏待月,yi'lan'dai'yue
倚栏游径释闲情,yi'lan'you'jing'shi'xian'qing
一貌倾城,yi'mao'qing'cheng
一颦一笑,yi'pin'yi'xiao
仪态万千,yi'tai'wan'qian
宜笑遗光,yi'xiao'yi'guang
银发,yin'fa
银甲绣凤,yin'jia'xiu'feng
音似念奴,yin'si'nian'nu
莺惭燕妒,ying'can'yan'du
鹰钩鼻,ying'gou'bi
樱口樊素,ying'kou'fan'su
嘤然有声,ying'ran'you'sheng
映日荷花别样红,ying'ri'he'hua'bie'yang'hong
樱桃小嘴,ying'tao'xiao'zui
盈盈秋水,ying'ying'qiu'shui
盈盈十五娟娟二八,ying'ying'shi'wu'juan'juan'er'ba
盈盈惺惺,ying'ying'xing'xing
颖之藻仪,ying'zhi'zao'yi
英姿飒爽,ying'zi'sa'shuang
雍容华贵,yong'rong'hua'gui
雍容雅步,yong'rong'ya'bu
又粗又浓,you'cu'you'nong
油光光,you'guang'guang
油光闪亮,you'guang'shan'liang
黝黑,you'hei
