暗目,an'mu
敌手,di'shou
低位,di'wei
第一感,di'yi'gan
敌之要点即我之要点,di'zhi'yao'dian'ji'wo'zhi'yao'dian
点方,dian'fang
点角,dian'jiao
点空,dian'kong
点目,dian'mu
点杀,dian'sha
点眼,dian'yan
顶断,ding'duan
定式,ding'shi
钉四,ding'si
丁四,ding'si
定先,ding'xian
定型,ding'xing
斗方,dou'fang
斗力,dou'li
斗笠形,dou'li'xing
渡过,du'guo
断点,duan'dian
断掉,duan'diao
断入,duan'ru
对角型布局,dui'jiao'xing'bu'ju
对局,dui'ju
对局谱,dui'ju'pu
对杀,dui'sha
对手,dui'shou
对弈,dui'yi
对子棋,dui'zi'qi
多元劫,duo'yuan'jie
恶手,e'shou
二段,er'duan
二级,er'ji
二间高夹,er'jian'gao'jia
二连星,er'lian'xing
二路,er'lu
二手,er'shou
二手劫,er'shou'jie
二五侵分,er'wu'qin'fen
二一路上多妙着,er'yi'lu'shang'duo'miao'zhao
二子头必扳,er'zi'tou'bi'ban
反扳,fan'ban
反吃,fan'chi
反打,fan'da
反夹,fan'jia
反提,fan'ti
反征,fan'zheng
方四,fang'si
方位,fang'wei
方向,fang'xiang
方圆,fang'yuan
飞补,fei'bu
飞封,fei'feng
飞攻,fei'gong
飞枷,fei'jia
废棋,fei'qi
飞压,fei'ya
飞罩,fei'zhao
废着,fei'zhe
飞镇,fei'zhen
废子,fei'zi
分断,fen'duan
分投,fen'tou
分先,fen'xian
封断,feng'duan
封手,feng'shou
复局,fu'ju
复盘,fu'pan
感觉,gan'jue
高挂,gao'gua
高手,gao'shou
高位,gao'wei
割断,ge'duan
隔二关,ge'er'guan
个人比赛,ge'ren'bi'sai
攻逼,gong'bi
公活,gong'huo
共活,gong'huo
攻击,gong'ji
攻击是最有效的防御,gong'ji'shi'zui'you'xiao'de'fang'yu
攻击用飞,gong'ji'yong'fei
公气,gong'qi
古风,gu'feng
孤棋,gu'qi
孤势,gu'shi
挂角,gua'jiao
关门吃,guan'men'chi
关无恶手,guan'wu'e'shou
观弈图,guan'yi'tu
官子,guan'zi
龟甲,gui'jia
鬼手,gui'shou
滚包,gun'bao
滚打,gun'da
滚打包收,gun'da'bao'shou
滚打包收俱谨避,gun'da'bao'shou'ju'jin'bi
过分,guo'fen
过强,guo'qiang
还夹,hai'jia
还棋头,hai'qi'tou
还提,hai'ti
好棋,hao'qi
好手,hao'shou
河洛,he'luo
黑白,hei'bai
厚壁,hou'bi
猴脸形,hou'lian'xing
厚势,hou'shi
后手,hou'shou
后手活,hou'shou'huo
后手劫,hou'shou'jie
后手死,hou'shou'si
后手眼,hou'shou'yan
后中先,hou'zhong'xian
猴子脸,hou'zi'lian
护断,hu'duan
虎口,hu'kou
互提二子,hu'ti'er'zi
互围,hu'wei
坏棋,huai'qi
缓急,huan'ji
缓气劫,huan'qi'jie
缓着,huan'zhe
黄莺扑蝶,huang'ying'pu'die
回夹,hui'jia
回龙征,hui'long'zheng
悔棋,hui'qi
回提,hui'ti
回纹征,hui'wen'zheng
昏着,hun'zhe
活棋,huo'qi
积分,ji'fen
积分循环制,ji'fen'xun'huan'zhi
计时,ji'shi
计时钟,ji'shi'zhong
计算,ji'suan
急所,ji'suo
枷吃,jia'chi
加赛,jia'sai
加压棋,jia'ya'qi
假眼,jia'yan
肩冲,jian'chong
尖冲,jian'chong
尖出,jian'chu
尖顶,jian'ding
尖断,jian'duan
尖封,jian'feng
见合,jian'he
简明,jian'ming
坚实,jian'shi
见损,jian'sun
尖无恶手,jian'wu'e'shou
叫吃,jiao'chi
交换,jiao'huan
交接,jiao'jie
交手,jiao'shou
接不归,jie'bu'gui
劫材,jie'cai
结构,jie'gou
劫活,jie'huo
劫杀,jie'sha
劫王,jie'wang
劫争,jie'zheng
紧对子,jin'dui'zi
金鸡独立,jin'ji'du'li
金角银边草肚皮,jin'jiao'yin'bian'cao'du'pi
紧劫,jin'jie
金井栏,jin'jing'lan
紧气,jin'qi
紧气劫,jin'qi'jie
净吃,jing'chi
警告,jing'gao
净活,jing'huo
净杀,jing'sha
九段,jiu'duan
九宫,jiu'gong
九级,jiu'ji
九路,jiu'lu
局部定式,ju'bu'ding'shi
狙击,ju'ji
局面,ju'mian
举棋不定不胜其耦,ju'qi'bu'ding'bu'sheng'qi'ou
局势,ju'shi
具体,ju'ti
局外,ju'wai
开拆,kai'chai
开花,kai'hua
开劫,kai'jie
开局,kai'ju
开盘,kai'pan
空三角,kong'san'jiao
宽气劫,kuan'qi'jie
赖皮劫,lai'pi'jie
烂柯,lan'ke
落子,lao'zi
累积分,lei'ji'fen
擂台赛,lei'tai'sai
擂台制,lei'tai'zhi
冷着,leng'zhe
立二拆三,li'er'chai'san
力棋,li'qi
立三拆四,li'san'chai'si
连扳,lian'ban
连环劫,lian'huan'jie
恋子,lian'zi
两秤,liang'cheng
两打同情不打,liang'da'tong'qing'bu'da
两分,liang'fen
两后手,liang'hou'shou
两活,liang'huo
两间高夹,liang'jian'gao'jia
两间夹,liang'jian'jia
两劫,liang'jie
两睨,liang'ni
两手劫,liang'shou'jie
两手先,liang'shou'xian
两头蛇,liang'tou'she
两子之头必扳,liang'zi'zhi'tou'bi'ban
劣势,lie'shi
裂形,lie'xing
六段,liu'duan
六级,liu'ji
六死八活,liu'si'ba'huo
漏风方向不围地,lou'feng'fang'xiang'bu'wei'di
漏着,lou'zhe
略阵,lue'zhen
盲点,mang'dian
梅钵形,mei'bo'xing
门吃,men'chi
闷吃,men'chi
妙棋,miao'qi
妙手,miao'shou
妙着,miao'zhao
名局,ming'ju
名誉段位,ming'yu'duan'wei
模仿棋,mo'fang'qi
目外,mu'wai
模样,mu'yang
木野狐,mu'ye'hu
南王北顾,nan'wang'bei'gu
内扳,nei'ban
内气,nei'qi
逆收,ni'shou
逆转,ni'zhuan
凝形,ning'xing
扭断,niu'duan
扭羊头,niu'yang'tou
盘角曲四,pan'jiao'qu'si
盘面,pan'mian
抛劫,pao'jie
配置,pei'zhi
碰入,peng'ru
便宜,pian'yi
骗着,pian'zhe
平局,ping'ju
破眼,po'yan
扑劫,pu'jie
气长,qi'chang
棋痴,qi'chi
棋从断处打,qi'cong'duan'chu'da
棋从断处生,qi'cong'duan'chu'sheng
七段,qi'duan
气短,qi'duan
棋馆,qi'guan
棋罐,qi'guan
棋豪,qi'hao
起好手式,qi'hao'shou'shi
棋盒,qi'he
气合,qi'he
七级,qi'ji
棋杰,qi'jie
棋界,qi'jie
棋筋,qi'jin
气紧,qi'jin
棋精,qi'jing
棋具,qi'ju
棋局,qi'ju
棋力,qi'li
棋理,qi'li
棋路,qi'lu
棋盲,qi'mang
棋迷,qi'mi
棋女,qi'nv
棋盘,qi'pan
棋盘方位,qi'pan'fang'wei
棋评,qi'ping
棋枰,qi'ping
棋圣,qi'sheng
棋士,qi'shi
奇手,qi'shou
棋手,qi'shou
棋书,qi'shu
气数,qi'shu
棋坛,qi'tan
棋外,qi'wai
棋校,qi'xiao
棋型,qi'xing
棋形,qi'xing
棋宴,qi'yan
汽油,qi'you
棋院,qi'yuan
奇着,qi'zhe
欺着,qi'zhe
棋钟,qi'zhong
棋桌,qi'zhuo
弃子,qi'zi
棋子,qi'zi
七子沿边活也输,qi'zi'yan'bian'huo'ye'shu
弃子争先,qi'zi'zheng'xian
浅消,qian'xiao
强攻,qiang'gong
强手,qiang'shou
强硬,qiang'ying
巧手,qiao'shou
巧着,qiao'zhe
切断,qie'duan
侵分,qin'fen
侵入,qin'ru
侵消,qin'xiao
求投场,qiu'tou'chang
趣向,qu'xiang
曲镇,qu'zhen
拳头六,quan'tou'liu
让目,rang'mu
让棋,rang'qi
让先,rang'xian
让子,rang'zi
让子棋,rang'zi'qi
饶子,rao'zi
入腹争正面,ru'fu'zheng'zheng'mian
入界宜缓,ru'jie'yi'huan
入神,ru'shen
软着,ruan'zhe
若愚,ruo'yu
弱着,ruo'zhe
三段,san'duan
三级,san'ji
三间低夹,san'jian'di'jia
三间高夹,san'jian'gao'jia
三劫连环,san'jie'lian'huan
三劫循环,san'jie'xun'huan
三连星,san'lian'xing
三连星布局,san'lian'xing'bu'ju
三六侵分,san'liu'qin'fen
三路,san'lu
三三,san'san
三手劫,san'shou'jie
三四,san'si
三五,san'wu
三五侵分,san'wu'qin'fen
三羽乌,san'yu'wu
杀棋,sha'qi
杀气,sha'qi
上扳,shang'ban
上立,shang'li
上手,shang'shou
上压,shang'ya
伸气,shen'qi
伸腿,shen'tui
声东击西,sheng'dong'ji'xi
升段,sheng'duan
胜负,sheng'fu
胜负感,sheng'fu'gan
胜负手,sheng'fu'shou
胜固欣然败亦可喜,sheng'gu'xin'ran'bai'yi'ke'xi
胜机,sheng'ji
胜势,sheng'shi
生死劫,sheng'si'jie
胜着,sheng'zhe
实地,shi'di
十级,shi'ji
十九路,shi'jiu'lu
实空,shi'kong
实利,shi'li
十七路,shi'qi'lu
十三路,shi'san'lu
实眼,shi'yan
十一路,shi'yi'lu
试应手,shi'ying'shou
失着,shi'zhao
手段,shou'duan
手法,shou'fa
手割,shou'ge
手割分析,shou'ge'fen'xi
收后,shou'hou
守角,shou'jiao
手筋,shou'jin
手批十八局,shou'pi'shi'ba'ju
收气,shou'qi
手数,shou'shu
收束,shou'shu
手谈,shou'tan
受先,shou'xian
守拙,shou'zhuo
受子,shou'zi
授子,shou'zi
收子,shou'zi
数空,shu'kong
数目,shu'mu
数子,shu'zi
数子法,shu'zi'fa
双吃,shuang'chi
双打,shuang'da
双倒扑,shuang'dao'pu
双方后手,shuang'fang'hou'shou
双方先手,shuang'fang'xian'shou
双飞燕,shuang'fei'yan
双关,shuang'guan
双官,shuang'guan
双虎,shuang'hu
双活,shuang'huo
双叫吃,shuang'jiao'chi
双劫,shuang'jie
双先官子,shuang'xian'guan'zi
顺序,shun'xu
四段,si'duan
死活,si'huo
四级,si'ji
四劫,si'jie
四劫连环,si'jie'lian'huan
四劫循环,si'jie'xun'huan
四六,si'liu
四路,si'lu
死棋,si'qi
四时,si'shi
四四,si'si
四五,si'wu
四象,si'xiang
四隅,si'yu
松气劫,song'qi'jie
松气三角,song'qi'san'jiao
松着,song'zhe
搜根,sou'gen
速度,su'du
俗筋,su'jin
俗手,su'shou
随手棋,sui'shou'qi
损劫,sun'jie
台象,tai'xiang
台象生根点胜托,tai'xiang'sheng'gen'dian'sheng'tuo
台象形,tai'xiang'xing
谈棋,tan'qi
弹性,tan'xing
贪则多败怯则少功,tan'ze'duo'bai'qie'ze'shao'gong
逃出用关,tao'chu'yong'guan
桃花五,tao'hua'wu
套劫,tao'jie
逃是跳封是飞,tao'shi'tiao'feng'shi'fei
腾挪,teng'nuo
腾挪用靠,teng'nuo'yong'kao
提劫,ti'jie
提空,ti'kong
提子,ti'zi
提子开花三十目,ti'zi'kai'hua'san'shi'mu
填空,tian'kong
天王山,tian'wang'shan
天下劫,tian'xia'jie
天元,tian'yuan
跳二,tiao'er
跳一,tiao'yi
挺头,ting'tou
通盘劫,tong'pan'jie
通幽,tong'you
透点,tou'dian
投劫,tou'jie
投入,tou'ru
投子,tou'zi
团子棋,tuan'zi'qi
托渡,tuo'du
托角,tuo'jiao
脱先,tuo'xian
外扳,wai'ban
外拐,wai'guai
外家,wai'jia
外气,wai'qi
外势,wai'shi
完败,wan'bai
万劫不应,wan'jie'bu'ying
万年劫,wan'nian'jie
完胜,wan'sheng
忘忧,wang'you
围出,wei'chu
围地,wei'di
围歼,wei'jian
围空,wei'kong
违例,wei'li
围猎,wei'lie
围棋,wei'qi
围棋史,wei'qi'shi
围棋史上,wei'qi'shi'shang
五段,wu'duan
五级,wu'ji
无级,wu'ji
舞剑劫,wu'jian'jie
无理手,wu'li'shou
五路,wu'lu
无胜负,wu'sheng'fu
吴图,wu'tu
五五,wu'wu
五行,wu'xing
无忧角,wu'you'jiao
无忧劫,wu'you'jie
细棋,xi'qi
下扳,xia'ban
瞎劫,xia'jie
下立,xia'li
下手,xia'shou
下子,xia'zi
先二,xian'er
先两,xian'liang
先手,xian'shou
先手活,xian'shou'huo
先手劫,xian'shou'jie
先手死,xian'shou'si
先相先,xian'xiang'xian
象步,xiang'bu
相思断,xiang'si'duan
象眼,xiang'yan
象眼尖穿忌两行,xiang'yan'jian'chuan'ji'liang'hang
小飞,xiao'fei
小飞挂,xiao'fei'gua
小飞挂角,xiao'fei'gua'jiao
小飞守角,xiao'fei'shou'jiao
小分,xiao'fen
小尖,xiao'jian
小目,xiao'mu
小盘,xiao'pan
小巧,xiao'qiao
小斜飞,xiao'xie'fei
小雪崩,xiao'xue'beng
蟹眼式布局,xie'yan'shi'bu'ju
蟹眼式布局子解双征,xie'yan'shi'bu'ju'zi'jie'shuang'zheng
新安派,xin'an'pai
新手,xin'shou
新型,xin'xing
形崩,xing'beng
形方必觑,xing'fang'bi'qu
形裂,xing'lie
行棋,xing'qi
形势,xing'shi
形式,xing'shi
形势判断,xing'shi'pan'duan
星位,xing'wei
形状,xing'zhuang
秀荣流布局,xiu'rong'liu'bu'ju
秀哉赏,xiu'zai'shang
虚夹,xu'jia
序盘,xu'pan
虚实,xu'shi
续弈,xu'yi
选点,xuan'dian
循环劫,xun'huan'jie
寻劫,xun'jie
压强不压弱,ya'qiang'bu'ya'ruo
延气,yan'qi
眼位,yan'wei
眼形,yan'xing
摇槽劫,yao'cao'jie
要点,yao'dian
业余棋手,ye'yu'qi'shou
一本道,yi'ben'dao
一石三鸟,yi'dan'san'niao
一段,yi'duan
一方地,yi'fang'di
一级,yi'ji
一间高夹,yi'jian'gao'jia
一间夹,yi'jian'jia
一路,yi'lu
弈棋,yi'qi
一手,yi'shou
一手劫,yi'shou'jie
疑问,yi'wen
疑问手,yi'wen'shou
一子不慎满盘皆输,yi'zi'bu'shen'man'pan'jie'shu
一子解双征,yi'zi'jie'shuang'zheng
引证,yin'zheng
引征,yin'zheng
应劫,ying'jie
硬腿,ying'tui
用智,yong'zhi
永子,yong'zi
优劣,you'lie
优势,you'shi
玉楸枰,yu'qiu'ping
愚形,yu'xing
愚形三角,yu'xing'san'jiao
愚形之筋,yu'xing'zhi'jin
欲行左请看右,yu'xing'zuo'qing'kan'you
玉柱,yu'zhu
云子,yun'zi
造劫,zao'jie
战斗,zhan'dou
胀牯牛,zhang'gu'niu
胀死牛,zhang'si'niu
找劫,zhao'jie
找劫材,zhao'jie'cai
折冲,zhe'chong
折腾,zhe'teng
真眼,zhen'yan
争劫,zheng'jie
整盘,zheng'pan
争棋,zheng'qi
争胜,zheng'sheng
争先,zheng'xian
整形,zheng'xing
正应,zheng'ying
正着,zheng'zhao
正征,zheng'zheng
征子,zheng'zi
征子关系,zheng'zi'guan'xi
治孤,zhi'gu
直四,zhi'si
中腹,zhong'fu
中局,zhong'ju
终局,zhong'ju
中局胜,zhong'ju'sheng
中盘,zhong'pan
终盘,zhong'pan
中盘胜,zhong'pan'sheng
中途半端,zhong'tu'ban'duan
重下,zhong'xia
中押胜,zhong'ya'sheng
转换,zhuan'huan
装倒扑,zhuang'dao'pu
撞气,zhuang'qi
追杀,zhui'sha
准名人,zhun'ming'ren
子力,zi'li
子效,zi'xiao
自由让子,zi'you'rang'zi
坐藩,zuo'fan
做活,zuo'huo
做劫,zuo'jie
做劫材,zuo'jie'cai
做棋,zuo'qi
做眼,zuo'yan
坐隐,zuo'yin
左右同形适其中,zuo'you'tong'xing'shi'qi'zhong
坐照,zuo'zhao
座子,zuo'zi
