阿丽雅,a'li'ya
羌族王子,qiang'zu'wang'zi
清波月下歌,qing'bo'yue'xia'ge
情深不寿,qing'shen'bu'shou
情思乱,qing'si'luan
卿云歌,qing'yun'ge
人生若是有情痴,ren'sheng'ruo'shi'you'qing'chi
人生只似风飘絮,ren'sheng'zhi'si'feng'piao'xu
人生只似风前絮,ren'sheng'zhi'si'feng'qian'xu
人生自是有情痴,ren'sheng'zi'shi'you'qing'chi
人心尽处竟成荒,ren'xin'jin'chu'jing'cheng'huang
人心难测,ren'xin'nan'ce
人心难测万古理,ren'xin'nan'ce'wan'gu'li
如圭如璧,ru'gui'ru'bi
三帝星会,san'di'xing'hui
三公子,san'gong'zi
三生定许,san'sheng'ding'xu
三月,san'yue
山雨欲来,shan'yu'yu'lai
上官安,shang'guan'an
上官桀,shang'guan'jie
上官兰,shang'guan'lan
上官小妹,shang'guan'xiao'mei
少陵原,shao'ling'yuan
涉猎,she'lie
神医,shen'yi
深知身在情长在,shen'zhi'shen'zai'qing'chang'zai
生铁,sheng'tie
石舫,shi'fang
释难天,shi'nan'tian
始知相忆深,shi'zhi'xiang'yi'shen
受你之痛,shou'ni'zhi'tong
树洞,shu'dong
双璧,shuang'bi
死遁术,si'dun'shu
丝萝,si'luo
似梦里,si'meng'li
苏青,su'qing
太傅,tai'fu
太皇太后,tai'huang'tai'hou
太子太傅,tai'zi'tai'fu
天山雪驼,tian'shan'xue'tuo
天山月依旧,tian'shan'yue'yi'jiu
天下第一富商,tian'xia'di'yi'fu'shang
天易老,tian'yi'lao
桐华,tong'hua
同心结,tong'xin'jie
透骨针,tou'gu'zhen
绾发结同心,wan'fa'jie'tong'xin
万里荒漠,wan'li'huang'mo
王位,wang'wei
未妨惆怅是清狂,wei'fang'chou'chang'shi'qing'kuang
卫公子,wei'gong'zi
围猎,wei'lie
为你心,wei'ni'xin
卫太子,wei'tai'zi
未央宫,wei'yang'gong
未央夕照,wei'yang'xi'zhao
我心伤悲,wo'xin'shang'bei
巫蛊之祸,wu'gu'zhi'huo
西汉,xi'han
西漠,xi'mo
戏外戏,xi'wai'xi
昔我往矣,xi'wo'wang'yi
西域,xi'yu
香闺,xiang'gui
香囊,xiang'nang
小珏,xiao'jue
小谦,xiao'qian
小苏,xiao'su
小淘,xiao'tao
逍遥客,xiao'yao'ke
心城,xin'cheng
馨香盈室花不语,xin'xiang'ying'shi'hua'bu'yu
心绪凄迷,xin'xu'qi'mi
心字已成灰,xin'zi'yi'cheng'hui
匈奴,xiong'nu
许平君,xu'ping'jun
许香兰,xu'xiang'lan
雪姐,xue'jie
血染同心缕,xue'ran'tong'xin'lv
雅厨,ya'chu
燕王,yan'wang
杨柳依依,yang'liu'yi'yi
杨蓉,yang'rong
杨颖,yang'ying
夜半私语,ye'ban'si'yu
一寸相思千万绪,yi'cun'xiang'si'qian'wan'xu
忆流年,yi'liu'nian
一年之约,yi'nian'zhi'yue
一片芳心冷若灰,yi'pian'fang'xin'leng'ruo'hui
一品居,yi'pin'ju
伊人却在,yi'ren'que'zai
医术,yi'shu
一双人,yi'shuang'ren
异乡,yi'xiang
忆相逢,yi'xiang'feng
亦正亦邪,yi'zheng'yi'xie
异族,yi'zu
隐遁术,yin'dun'shu
永别离,yong'bie'li
有匪君子,you'fei'jun'zi
又添新愁,you'tian'xin'chou
游侠,you'xia
于安,yu'an
玉瑾,yu'jin
与君诺,yu'jun'nuo
玉佩,yu'pei
玉玺,yu'xi
雨雪霏霏,yu'xue'fei'fei
玉中之王,yu'zhong'zhi'wang
鸳盟,yuan'meng
愿以此身,yuan'yi'ci'shen
月将沉,yue'jiang'chen
月生,yue'sheng
云儿,yun'er
云歌,yun'ge
云歌儿,yun'ge'er
云天外,yun'tian'wai
云中歌,yun'zhong'ge
瞻彼淇奥,zhan'bi'qi'ao
战乱,zhan'luan
张贺,zhang'he
昭帝,zhao'di
赵婕妤,zhao'jie'yu
赵丽颖,zhao'li'ying
赵陵,zhao'ling
朝露昙花,zhao'lu'tan'hua
赵破奴,zhao'po'nu
珍珠绣鞋,zhen'zhu'xiu'xie
争忍不相寻,zheng'ren'bu'xiang'xun
咫尺天涯,zhi'chi'tian'ya
知我意,zhi'wo'yi
只应碧落重相见,zhi'ying'bi'luo'chong'xiang'jian
只愿君心似我心,zhi'yuan'jun'xin'si'wo'xin
中羌,zhong'qiang
中兴,zhong'xing
中原,zhong'yuan
周公吐哺,zhou'gong'tu'bu
竹公子,zhu'gong'zi
自别后,zi'bie'hou
紫玉箫,zi'yu'xiao
总负多情,zong'fu'duo'qing
纵使相逢应不识,zong'shi'xiang'feng'ying'bu'shi
左将军,zuo'jiang'jun
