阿尔山温泉,a'er'shan'wen'quan
法源寺,fa'yuan'si
法云寺,fa'yun'si
范增墓,fan'zeng'mu
泛舟禅师塔,fan'zhou'chan'shi'ta
放鹤亭,fang'he'ting
防洪纪念塔,fang'hong'ji'nian'ta
放生桥,fang'sheng'qiao
飞虹塔,fei'hong'ta
飞云楼,fei'yun'lou
封冻碑,feng'dong'bei
奉国寺,feng'guo'si
凤凰墩,feng'huang'dun
凤凰楼,feng'huang'lou
凤凰山,feng'huang'shan
凤凰山高句丽山城,feng'huang'shan'gao'gou'li'shan'cheng
丰林保护区,feng'lin'bao'hu'qu
风陵渡,feng'ling'du
枫桥,feng'qiao
奉圣寺,feng'sheng'si
封氏墓群,feng'shi'mu'qun
丰泽园,feng'ze'yuan
佛官寺释迦塔,fo'guan'si'shi'jia'ta
佛光寺,fo'guang'si
佛香阁,fo'xiang'ge
福陵,fu'ling
福胜寺,fu'sheng'si
孚王府,fu'wang'fu
福缘寺,fu'yuan'si
覆舟山,fu'zhou'shan
凫庄,fu'zhuang
夫子庙,fu'zi'miao
嘎仙洞,ga'xian'dong
甘露寺,gan'lu'si
甘露寺铁塔,gan'lu'si'tie'ta
高尔山山城,gao'er'shan'shan'cheng
高芬轩,gao'fen'xuan
高蠡暴动烈士纪念塔,gao'li'bao'dong'lie'shi'ji'nian'ta
高丽城山城遗址,gao'li'cheng'shan'cheng'yi'zhi
高梁桥,gao'liang'qiao
葛贤墓,ge'xian'mu
个园,ge'yuan
阁院禅林寺,ge'yuan'chan'lin'si
鸽子洞旧石器文化遗址,ge'zi'dong'jiu'shi'qi'wen'hua'yi'zhi
巩华城,gong'hua'cheng
恭王府,gong'wang'fu
沟沟崖,gou'gou'ya
古北口长城,gu'bei'kou'chang'cheng
古长城说碑,gu'chang'cheng'shuo'bei
顾处士祠,gu'chu'shi'ci
古佛舍利塔,gu'fo'she'li'ta
古佛堂,gu'fo'tang
故宫,gu'gong
古后上祠,gu'hou'shang'ci
谷林堂,gu'lin'tang
鼓楼,gu'lou
古木兰院石塔,gu'mu'lan'yuan'shi'ta
古青莲寺,gu'qing'lian'si
挂甲山石刻,gua'jia'shan'shi'ke
挂月峰,gua'yue'feng
关帝庙,guan'di'miao
观耕台,guan'geng'tai
关沟七十二景,guan'gou'qi'shi'er'jing
观澜亭,guan'lan'ting
观莲所,guan'lian'suo
关马山城,guan'ma'shan'cheng
观水法,guan'shui'fa
关天培墓,guan'tian'pei'mu
关王庙,guan'wang'miao
观象台,guan'xiang'tai
观音殿,guan'yin'dian
观音洞,guan'yin'dong
观音山,guan'yin'shan
观音寺,guan'yin'si
观音堂,guan'yin'tang
广东会馆,guang'dong'hui'guan
光化寺,guang'hua'si
广惠寺华塔,guang'hui'si'hua'ta
广济寺,guang'ji'si
广开上王碑,guang'kai'shang'wang'bei
广仁寺,guang'ren'si
广仁王庙,guang'ren'wang'miao
广胜上寺,guang'sheng'shang'si
广胜寺,guang'sheng'si
广胜下寺,guang'sheng'xia'si
广武城,guang'wu'cheng
广宗寺,guang'zong'si
鬼见愁,gui'jian'chou
郭沫若故居,guo'mo'ruo'gu'ju
国内城,guo'nei'cheng
国子监,guo'zi'jian
蛤蟆石,ha'ma'shi
海会寺,hai'hui'si
旱牢,han'lao
寒绿轩,han'lv'xuan
寒山寺,han'shan'si
濠濮间,hao'pu'jian
好太王碑,hao'tai'wang'bei
和林格尔汉墓壁画,he'lin'ge'er'han'mu'bi'hua
阖闾城,he'lv'cheng
阖闾墓,he'lv'mu
赫图阿拉老城,he'tu'a'la'lao'cheng
何园,he'yuan
鹤园,he'yuan
黑城,hei'cheng
黑龙洞,hei'long'dong
黑龙江城,hei'long'jiang'cheng
黑龙潭,hei'long'tan
恒山,heng'shan
横塘驿亭,heng'tang'yi'ting
洪福寺,hong'fu'si
宏觉寺塔,hong'jue'si'ta
红龙池,hong'long'chi
红梅阁,hong'mei'ge
洪山源泉,hong'shan'yuan'quan
后湖,hou'hu
侯马晋国遗址,hou'ma'jin'guo'yi'zhi
猴石山遗址,hou'shi'shan'yi'zhi
后土庙,hou'tu'miao
后召庙辽石窟寺,hou'zhao'miao'liao'shi'ku'si
呼和浩特清真大寺,hu'he'hao'te'qing'zhen'da'si
壶口瀑布,hu'kou'pu'bu
呼论湖,hu'lun'hu
虎丘,hu'qiu
虎丘摩崖题刻,hu'qiu'mo'ya'ti'ke
虎丘塔,hu'qiu'ta
壶山水神堂,hu'shan'shui'shen'tang
虎神枪记碑,hu'shen'qiang'ji'bei
虎头关帝庙,hu'tou'guan'di'miao
狐突庙,hu'tu'miao
护珠塔,hu'zhu'ta
华北军区烈士陵园,hua'bei'jun'qu'lie'shi'ling'yuan
画舫斋,hua'fang'zhai
花果山,hua'guo'shan
华伦墓,hua'lun'mu
华山寺,hua'shan'si
华严寺,hua'yan'si
华严寺壁藏,hua'yan'si'bi'cang
华严寺壁画,hua'yan'si'bi'hua
华严寺薄伽教藏殿,hua'yan'si'bo'jia'jiao'cang'dian
华严寺大雄宝殿,hua'yan'si'da'xiong'bao'dian
华严寺辽塑,hua'yan'si'liao'su
华严寺塑像,hua'yan'si'su'xiang
华严塔,hua'yan'ta
画中游,hua'zhong'you
淮海战役烈士纪念塔,huai'hai'zhan'yi'lie'shi'ji'nian'ta
怀远楼,huai'yuan'lou
环秀山庄,huan'xiu'shan'zhuang
黄道婆墓,huang'dao'po'mu
皇甫寺塔,huang'fu'si'ta
黄粱梦,huang'liang'meng
黄龙府,huang'long'fu
黄浦江,huang'pu'jiang
黄桥决战革命旧址,huang'qiao'jue'zhan'ge'ming'jiu'zhi
皇穹宇,huang'qiong'yu
皇史宬,huang'shi'cheng
黄崖洞,huang'ya'dong
辉发古城,hui'fa'gu'cheng
荟福寺,hui'fu'si
回回堂,hui'hui'tang
惠济寺,hui'ji'si
汇龙潭,hui'long'tan
回銮寺,hui'luan'si
惠山,hui'shan
惠山泉,hui'shan'quan
惠山唐宋经幢,hui'shan'tang'song'jing'chuang
回音壁,hui'yin'bi
霍泉,huo'quan
霍州鼓楼,huo'zhou'gu'lou
霍州署,huo'zhou'shu
寄畅园,ji'chang'yuan
鸡冠山,ji'guan'shan
极乐寺,ji'le'si
吉林毓文中学,ji'lin'yu'wen'zhong'xue
蓟门烟树碑,ji'men'yan'shu'bei
鸡鸣寺,ji'ming'si
霁清轩,ji'qing'xuan
稷王庙,ji'wang'miao
缉熙楼,ji'xi'lou
吉祥寺,ji'xiang'si
寄啸山庄,ji'xiao'shan'zhuang
稷益庙,ji'yi'miao
稷益庙壁画,ji'yi'miao'bi'hua
吉猗园,ji'yi'yuan
嘉定孔庙,jia'ding'kong'miao
嘉福寺塔,jia'fu'si'ta
嘉乐殿,jia'le'dian
甲渠侯官遗址,jia'qu'hou'guan'yi'zhi
剑池,jian'chi
见心斋,jian'xin'zhai
鉴真纪念堂,jian'zhen'ji'nian'tang
将军坟,jiang'jun'fen
将军崖岩画,jiang'jun'ya'yan'hua
绛守居园池,jiang'shou'ju'yuan'chi
绛州大堂,jiang'zhou'da'tang
绛州三楼,jiang'zhou'san'lou
角抵墓,jiao'di'mu
焦山,jiao'shan
焦山碑刻,jiao'shan'bei'ke
焦山抗英炮台遗址,jiao'shan'kang'ying'pao'tai'yi'zhi
交泰殿,jiao'tai'dian
焦庄户地道战遗址,jiao'zhuang'hu'di'dao'zhan'yi'zhi
碣石观海,jie'shi'guan'hai
碣石山,jie'shi'shan
戒台古松,jie'tai'gu'song
戒台寺,jie'tai'si
解州关帝庙,jie'zhou'guan'di'miao
金鳖玉蝀桥,jin'bie'yu'dong'qiao
晋察冀军区司令部旧址,jin'cha'ji'jun'qu'si'ling'bu'jiu'zhi
晋祠,jin'ci
晋祠之铭并序碑,jin'ci'zhi'ming'bing'xu'bei
金代石幢,jin'dai'shi'zhuang
金灯寺,jin'deng'si
金灯寺石窟,jin'deng'si'shi'ku
金洞寺,jin'dong'si
金刚座舍利宝塔,jin'gang'zuo'she'li'bao'ta
金阁寺,jin'ge'si
晋冀鲁豫烈士陵园,jin'ji'lu'yu'lie'shi'ling'yuan
金莲映日,jin'lian'ying'ri
金牛山旧石器财代早期遗址,jin'niu'shan'jiu'shi'qi'cai'dai'zao'qi'yi'zhi
金人台,jin'ren'tai
金山,jin'shan
金山长城,jin'shan'chang'cheng
金山寺,jin'shan'si
进士题名碑,jin'shi'ti'ming'bei
金水桥,jin'shui'qiao
晋水源流,jin'shui'yuan'liu
晋绥解放区烈士陵园,jin'sui'jie'fang'qu'lie'shi'ling'yuan
金太祖阿骨打御陵址,jin'tai'zu'a'gu'da'yu'ling'zhi
金土城遗址,jin'tu'cheng'yi'zhi
近园,jin'yuan
金源乳峰太虚洞,jin'yuan'ru'feng'tai'xu'dong
静安寺,jing'an'si
靖边营遗址,jing'bian'ying'yi'zhi
镜泊湖,jing'bo'hu
景德桥,jing'de'qiao
景福阁,jing'fu'ge
净觉寺,jing'jue'si
静明园,jing'ming'yuan
景山,jing'shan
景山五亭,jing'shan'wu'ting
景泰陵,jing'tai'ling
净土寺,jing'tu'si
静心斋,jing'xin'zhai
靖宇陵园,jing'yu'ling'yuan
景州塔,jing'zhou'ta
九连城,jiu'lian'cheng
九龙壁,jiu'long'bi
居庸关,ju'yong'guan
居庸关云台,ju'yong'guan'yun'tai
卷阿胜境,juan'a'sheng'jing
觉山寺,jue'shan'si
觉生寺,jue'sheng'si
觉悟社旧址,jue'wu'she'jiu'zhi
君子长生馆,jun'zi'chang'sheng'guan
开化寺,kai'hua'si
开化寺连理塔,kai'hua'si'lian'li'ta
开元寺塔,kai'yuan'si'ta
开元寺无梁殿,kai'yuan'si'wu'liang'dian
开元寺钟楼及塔,kai'yuan'si'zhong'lou'ji'ta
抗美援朝烈士陵园,kang'mei'yuan'chao'lie'shi'ling'yuan
康熙平定噶尔丹纪功碑,kang'xi'ping'ding'ga'er'dan'ji'gong'bei
匼河遗址,ke'he'yi'zhi
可园,ke'yuan
孔庙,kong'miao
孔望山汉代摩崖造像,kong'wang'shan'han'dai'mo'ya'zao'xiang
况公祠,kuang'gong'ci
昆都仑召,kun'du'lun'zhao
昆明湖,kun'ming'hu
坤宁宫,kun'ning'gong
坤柔圣母庙,kun'rou'sheng'mu'miao
兰陵王碑,lan'ling'wang'bei
兰亭碎亭,lan'ting'sui'ting
狼山,lang'shan
狼牙山烈士增,lang'ya'shan'lie'shi'zeng
老虎石,lao'hu'shi
老西开教堂,lao'xi'kai'jiao'tang
乐寿堂,le'shou'tang
雷锋陵园,lei'feng'ling'yuan
楞严寺,leng'yan'si
李成梁石坊,li'cheng'liang'shi'fang
李大钊故居,li'da'zhao'gu'ju
李大钊烈士陵园,li'da'zhao'lie'shi'ling'yuan
历代帝王庙,li'dai'di'wang'miao
利玛窦墓,li'ma'dou'mu
澧水石桥碑,li'shui'shi'qiao'bei
李塔,li'ta
李文忠墓,li'wen'zhong'mu
蠡园,li'yuan
李兆麟将军墓,li'zhao'lin'jiang'jun'mu
丽正门,li'zheng'men
李卓吾墓,li'zhuo'wu'mu
莲花池,lian'hua'chi
莲花石公园,lian'hua'shi'gong'yuan
莲性寺白塔,lian'xing'si'bai'ta
梁红玉祠,liang'hong'yu'ci
良乡多室佛塔,liang'xiang'duo'shi'fo'ta
辽宁省博物馆,liao'ning'sheng'bo'wu'guan
辽庆陵,liao'qing'ling
辽庆州城遗址,liao'qing'zhou'cheng'yi'zhi
辽上京城遗址,liao'shang'jing'cheng'yi'zhi
辽沈战役纪念馆,liao'shen'zhan'yi'ji'nian'guan
辽沈战役烈士纪念塔,liao'shen'zhan'yi'lie'shi'ji'nian'ta
辽太祖陵,liao'tai'zu'ling
辽阳壁画墓群,liao'yang'bi'hua'mu'qun
辽中京城遗址,liao'zhong'jing'cheng'yi'zhi
廖仲恺何香凝墓,liao'zhong'kai'he'xiang'ning'mu
辽祖州城遗址,liao'zu'zhou'cheng'yi'zhi
林东塔,lin'dong'ta
临济寺澄灵塔,lin'ji'si'cheng'ling'ta
林泉寺,lin'quan'si
临漪亭,lin'yi'ting
祾恩殿,ling'en'dian
灵谷洞,ling'gu'dong
灵谷寺,ling'gu'si
灵谷塔,ling'gu'ta
灵光寺,ling'guang'si
灵空山,ling'kong'shan
陵口,ling'kou
灵石,ling'shi
棂星门,ling'xing'men
灵悦寺,ling'yue'si
六顶山渤海墓群,liu'ding'shan'bo'hai'mu'qun
刘胡兰纪念馆,liu'hu'lan'ji'nian'guan
六郎碑,liu'lang'bei
琉璃厂,liu'li'chang
琉璃河商周遗址,liu'li'he'shang'zhou'yi'zhi
留园,liu'yuan
龙帛寺,long'bo'si
隆昌寺无梁殿,long'chang'si'wu'liang'dian
龙洞石刻,long'dong'shi'ke
龙虎殿,long'hu'dian
龙虎石刻,long'hu'shi'ke
龙华,long'hua
龙华烈士陵园,long'hua'lie'shi'ling'yuan
龙门寺,long'men'si
龙泉寺,long'quan'si
龙泉寺戚继光诗碑,long'quan'si'qi'ji'guang'shi'bei
龙泉寺石狮,long'quan'si'shi'shi
龙沙公园,long'sha'gong'yuan
龙山石窟,long'shan'shi'ku
龙首山,long'shou'shan
龙潭,long'tan
龙潭山高句丽山城,long'tan'shan'gao'gou'li'shan'cheng
龙王堂,long'wang'tang
龙祥观,long'xiang'guan
隆兴寺,long'xing'si
龙藏寺碑,long'zang'si'bei
龙子祠泉,long'zi'ci'quan
隆宗门,long'zong'men
卢沟桥,lu'gou'qiao
鲁化寺,lu'hua'si
陆秀夫祠,lu'xiu'fu'ci
鲁迅故居,lu'xun'gu'ju
鲁迅墓,lu'xun'mu
沦泊屿,lun'bo'yu
沦州铁狮子,lun'zhou'tie'shi'zi
罗汉山,luo'han'shan
罗汉院遗址,luo'han'yuan'yi'zhi
罗睺寺,luo'hou'si
罗聘故居,luo'pin'gu'ju
旅顺博物馆,lv'shun'bo'wu'guan
吕祖堂,lv'zu'tang
马桥古文化遗址,ma'qiao'gu'wen'hua'yi'zhi
买卖街,mai'mai'jie
满城汉墓,man'cheng'han'mu
莽吉塔站故城,mang'ji'ta'zhan'gu'cheng
茅村汉画像石墓,mao'cun'han'hua'xiang'shi'mu
泖塔,mao'ta
毛主席纪念堂,mao'zhu'xi'ji'nian'tang
美岱召,mei'dai'zhao
梅花山,mei'hua'shan
梅园,mei'yuan
梅园新村,mei'yuan'xin'cun
蒙古文天文图石刻,meng'gu'wen'tian'wen'tu'shi'ke
孟姜女庙,meng'jiang'nv'miao
秘密寺,mi'mi'si
弥陀殿,mi'tuo'dian
米元章墓,mi'yuan'zhang'mu
绵山,mian'shan
妙应寺白塔,miao'ying'si'bai'ta
民族文化宫,min'zu'wen'hua'gong
明代监狱,ming'dai'jian'yu
明故宫遗址,ming'gu'gong'yi'zhi
明惠大师石塔,ming'hui'da'shi'shi'ta
明十三陵,ming'shi'san'ling
明孝陵,ming'xiao'ling
明征君碑,ming'zheng'jun'bei
明祖陵,ming'zu'ling
莫愁湖,mo'chou'hu
摩诃庵,mo'he'an
摩尼殿,mo'ni'dian
穆桂英点将台,mu'gui'ying'dian'jiang'tai
木兰记碑,mu'lan'ji'bei
慕陵,mu'ling
慕田峪长城,mu'tian'yu'chang'cheng
奈曼王府,nai'man'wang'fu
南安寺塔,nan'an'si'ta
南朝萧绩墓石刻,nan'chao'xiao'ji'mu'shi'ke
南湖岛,nan'hu'dao
南吉祥寺,nan'ji'xiang'si
南京博物院,nan'jing'bo'wu'yuan
南京长江大桥,nan'jing'chang'jiang'da'qiao
南山寺,nan'shan'si
南堂,nan'tang
南唐两陵,nan'tang'liang'ling
南通博物苑,nan'tong'bo'wu'yuan
南翔寺经幢,nan'xiang'si'jing'chuang
南翔寺砖塔,nan'xiang'si'zhuan'ta
南响堂寺石窟,nan'xiang'tang'si'shi'ku
南阳公主祠,nan'yang'gong'zhu'ci
内边长城敌台,nei'bian'chang'cheng'di'tai
内园,nei'yuan
娘子关,niang'zi'guan
宁古塔城遗址,ning'gu'ta'cheng'yi'zhi
宁武夫,ning'wu'fu
宁远卫城,ning'yuan'wei'cheng
牛街清真寺,niu'jie'qing'zhen'si
牛首山破金故垒,niu'shou'shan'po'jin'gu'lei
牛王庙戏台,niu'wang'miao'xi'tai
农安辽塔,nong'an'liao'ta
欧阳修祠,ou'yang'xiu'ci
耦园,ou'yuan
排云殿,pai'yun'dian
盘谷寺,pan'gu'si
盘门,pan'men
盘山,pan'shan
盘山烈士陵园,pan'shan'lie'shi'ling'yuan
裴祠石刻,pei'ci'shi'ke
毗卢寺,pi'lu'si
辟雍,pi'yong
偏关,pian'guan
偏脸城,pian'lian'cheng
平顶山殉难同胞纪念碑,ping'ding'shan'xun'nan'tong'bao'ji'nian'bei
平山堂,ping'shan'tang
平山温泉,ping'shan'wen'quan
萍香沜,ping'xiang'pan
平型夫,ping'xing'fu
平型关战役遗址,ping'xing'guan'zhan'yi'yi'zhi
平遥城墙,ping'yao'cheng'qiang
平远楼,ping'yuan'lou
普渡寺,pu'du'si
普化寺,pu'hua'si
普会寺,pu'hui'si
普济桥,pu'ji'qiao
普净寺,pu'jing'si
普救寺,pu'jiu'si
普利寺塔,pu'li'si'ta
普宁寺,pu'ning'si
菩萨顶,pu'sa'ding
普彤寺塔,pu'tong'si'ta
普陀宗乘之庙,pu'tuo'zong'cheng'zhi'miao
七宝塔,qi'bao'ta
七级浮屠塔,qi'ji'fu'tu'ta
祈年殿,qi'nian'dian
七王坟,qi'wang'fen
栖霞山,qi'xia'shan
栖霞寺,qi'xia'si
栖岩寺塔,qi'yan'si'ta
千佛洞,qian'fo'dong
千佛崖,qian'fo'ya
千佛岩,qian'fo'yan
乾隆花园,qian'long'hua'yuan
乾隆行宫,qian'long'xing'gong
前门,qian'men
乾清宫,qian'qing'gong
千山,qian'shan
乾盛康,qian'sheng'kang
千像寺,qian'xiang'si
桥楼殿,qiao'lou'dian
勤民楼,qin'min'lou
沁秋亭,qin'qiu'ting
庆成富,qing'cheng'fu
磬锤峰,qing'chui'feng
清东陵,qing'dong'ling
清公主府,qing'gong'zhu'fu
青莲寺,qing'lian'si
清凉山,qing'liang'shan
清凉寺,qing'liang'si
青龙倒吸水,qing'long'dao'xi'shui
青龙寺,qing'long'si
青龙塔,qing'long'ta
清宁宫,qing'ning'gong
清西陵,qing'xi'ling
清晏舫,qing'yan'fang
清怡贤亲王墓,qing'yi'xian'qin'wang'mu
清与路故城,qing'yu'lu'gu'cheng
清远楼,qing'yuan'lou
清真北大寺,qing'zhen'bei'da'si
清真大寺,qing'zhen'da'si
清真古寺,qing'zhen'gu'si
清真寺,qing'zhen'si
琼岛春阴,qiong'dao'chun'yin
琼华岛,qiong'hua'dao
秋风楼,qiu'feng'lou
秋霞圃,qiu'xia'pu
曲水园,qu'shui'yuan
全国农业展览馆,quan'guo'nong'ye'zhan'lan'guan
全晋会馆,quan'jin'hui'guan
犬戏楼,quan'xi'lou
冉庄地道战遗址,ran'zhuang'di'dao'zhan'yi'zhi
饶阳店古塔,rao'yang'dian'gu'ta
热河泉,re'he'quan
人达龄,ren'da'ling
人面石刻,ren'mian'shi'ke
人民大会堂,ren'min'da'hui'tang
人民公园,ren'min'gong'yuan
人民英雄纪念碑,ren'min'ying'xiong'ji'nian'bei
仁寿殿,ren'shou'dian
日涉园,ri'she'yuan
日坛,ri'tan
入崖口有作诗碑,ru'ya'kou'you'zuo'shi'bei
瑞光塔,rui'guang'ta
瑞云峰,rui'yun'feng
萨尔浒山,sa'er'hu'shan
三道壕西汉村落遗址,san'dao'hao'xi'han'cun'luo'yi'zhi
三横四直图碑,san'heng'si'zhi'tu'bei
三灵坟,san'ling'fen
三清殿,san'qing'dian
三清阁,san'qing'ge
三山,san'shan
三山庵,san'shan'an
三山会馆,san'shan'hui'guan
三室墓,san'shi'mu
