爱国主义,ai'guo'zhu'yi
连队革命军人委员会,lian'dui'ge'ming'jun'ren'wei'yuan'hui
连队经济委员会,lian'dui'jing'ji'wei'yuan'hui
连队军人大会,lian'dui'jun'ren'da'hui
两忆三查,liang'yi'san'cha
烈属,lie'shu
买卖公平,mai'mai'gong'ping
秘密,mi'mi
南昌起义,nan'chang'qi'yi
评功,ping'gong
前敌委员会,qian'di'wei'yuan'hui
前委,qian'wei
前线委员会,qian'xian'wei'yuan'hui
请功,qing'gong
秋收起义,qiu'shou'qi'yi
群众纪律,qun'zhong'ji'lv
人民英雄纪念碑,ren'min'ying'xiong'ji'nian'bei
荣誉称号,rong'yu'cheng'hao
荣誉室,rong'yu'shi
入城守则,ru'cheng'shou'ze
三查,san'cha
三大纪律八项注意,san'da'ji'lv'ba'xiang'zhu'yi
三大民主,san'da'min'zhu
三大任务,san'da'ren'wu
三等功,san'deng'gong
三视教育,san'shi'jiao'yu
三湾改编,san'wan'gai'bian
陕北红军,shan'bei'hong'jun
申诉,shen'su
生产队,sheng'chan'dui
实际问题,shi'ji'wen'ti
士气,shi'qi
双重领导制度,shuang'chong'ling'dao'zhi'du
说话和气,shuo'hua'he'qi
四方面军,si'fang'mian'jun
思想工作,si'xiang'gong'zuo
思想建设,si'xiang'jian'she
思想教育工作,si'xiang'jiao'yu'gong'zuo
思想问题,si'xiang'wen'ti
随军家属,sui'jun'jia'shu
损坏东西要赔,sun'huai'dong'xi'yao'pei
谈心活动,tan'xin'huo'dong
特等功,te'deng'gong
土地革命战争,tu'di'ge'ming'zhan'zheng
瓦解敌军,wa'jie'di'jun
我军的宗旨,wo'jun'de'zong'zhi
我军性质,wo'jun'xing'zhi
新式整军运动,xin'shi'zheng'jun'yun'dong
新四军,xin'si'jun
兄弟部队,xiong'di'bu'dui
勋章,xun'zhang
一等功,yi'deng'gong
一二九师,yi'er'jiu'shi
一二零师,yi'er'ling'shi
一二师,yi'er'shi
一方面军,yi'fang'mian'jun
一切缴获要归公,yi'qie'jiao'huo'yao'gui'gong
一切行动听指挥,yi'qie'xing'dong'ting'zhi'hui
一一五师,yi'yi'wu'shi
英雄模范奖章,ying'xiong'mo'fan'jiang'zhang
拥军优属,yong'jun'you'shu
拥政爱民,yong'zheng'ai'min
拥政爱民月,yong'zheng'ai'min'yue
友军,you'jun
战场鼓动,zhan'chang'gu'dong
战场纪律,zhan'chang'ji'lv
战场快报,zhan'chang'kuai'bao
战地群众工作,zhan'di'qun'zhong'gong'zuo
战斗动员,zhan'dou'dong'yuan
战斗队,zhan'dou'dui
战斗英雄,zhan'dou'ying'xiong
战斗作风,zhan'dou'zuo'feng
战评,zhan'ping
战时政治工作,zhan'shi'zheng'zhi'gong'zuo
政治动员,zheng'zhi'dong'yuan
政治动员令,zheng'zhi'dong'yuan'ling
政治攻势,zheng'zhi'gong'shi
政治工作方法,zheng'zhi'gong'zuo'fang'fa
政治工作方针,zheng'zhi'gong'zuo'fang'zhen
整治工作理论,zheng'zhi'gong'zuo'li'lun
整治工作三大原则,zheng'zhi'gong'zuo'san'da'yuan'ze
政治工作条例,zheng'zhi'gong'zuo'tiao'li
政治工作原则,zheng'zhi'gong'zuo'yuan'ze
政治工作作风,zheng'zhi'gong'zuo'zuo'feng
政治教育,zheng'zhi'jiao'yu
政治教育准备会,zheng'zhi'jiao'yu'zhun'bei'hui
政治觉悟,zheng'zhi'jue'wu
政治民主,zheng'zhi'min'zhu
政治委员制度,zheng'zhi'wei'yuan'zhi'du
政治问题,zheng'zhi'wen'ti
直属党委,zhi'shu'dang'wei
中国共产党中央军事委员会,zhong'guo'gong'chan'dang'zhong'yang'jun'shi'wei'yuan'hui
中国工农红军,zhong'guo'gong'nong'hong'jun
中国人民解放军干部服役条列,zhong'guo'ren'min'jie'fang'jun'gan'bu'fu'yi'tiao'lie
中国人民解放战争,zhong'guo'ren'min'jie'fang'zhan'zheng
中华人民共和国惩治军人违犯职责罪暂行条例,zhong'hua'ren'min'gong'he'guo'cheng'zhi'jun'ren'wei'fan'zhi'ze'zui'zan'xing'tiao'li
中央军委,zhong'yang'jun'wei
追记功,zhui'ji'gong
组织建设,zu'zhi'jian'she
尊干爱兵,zun'gan'ai'bing
遵义会议,zun'yi'hui'yi
作风教育,zuo'feng'jiao'yu
