安史之乱,an'shi'zhi'luan
隋末农民起义,sui'mo'nong'min'qi'yi
孙恩卢循起义,sun'en'lu'xun'qi'yi
摊丁入亩,tan'ding'ru'mu
唐,tang
唐长安,tang'chang'an
唐律疏议,tang'lv'shu'yi
唐三彩,tang'san'cai
唐诗,tang'shi
吐蕃,tu'bo
土木之变,tu'mu'zhi'bian
推恩令,tui'en'ling
万里长城,wan'li'chang'cheng
晚明三案,wan'ming'san'an
王安石变法,wang'an'shi'bian'fa
王莽改制,wang'mang'gai'zhi
王小波李顺起义,wang'xiao'bo'li'shun'qi'yi
卫所制度,wei'suo'zhi'du
文字狱,wen'zi'yu
吴楚七国之乱,wu'chu'qi'guo'zhi'luan
五代十国,wu'dai'shi'guo
五胡,wu'hu
吴起变法,wu'qi'bian'fa
武王伐纣,wu'wang'fa'zhou
西汉,xi'han
西晋,xi'jin
西夏,xi'xia
西周,xi'zhou
夏,xia
孝文帝改革,xiao'wen'di'gai'ge
行省制度,xing'sheng'zhi'du
匈奴,xiong'nu
玄武门之变,xuan'wu'men'zhi'bian
削藩策,xue'fan'ce
雅克萨之战,ya'ke'sa'zhi'zhan
郾城大捷,yan'cheng'da'jie
阉党,yan'dang
盐铁会议,yan'tie'hui'yi
仰韶文化,yang'shao'wen'hua
尧舜禅让,yao'shun'shan'rang
一条鞭法,yi'tiao'bian'fa
营建东都洛阳,ying'jian'dong'du'luo'yang
永嘉之乱,yong'jia'zhi'luan
鱼鳞图册,yu'lin'tu'ce
元,yuan
元大都,yuan'da'du
元末红巾军起义,yuan'mo'hong'jin'jun'qi'yi
元谋人,yuan'mou'ren
元曲,yuan'qu
约法三章,yue'fa'san'zhang
云冈石窟,yun'gang'shi'ku
造纸术,zao'zhi'shu
战国,zhan'guo
占田课田和户调制,zhan'tian'ke'tian'he'hu'tiao'zhi
张骞出使西域,zhang'qian'chu'shi'xi'yu
赵州桥,zhao'zhou'qiao
贞观之治,zhen'guan'zhi'zhi
郑成功收复台湾,zheng'cheng'gong'shou'fu'tai'wan
郑和下西洋,zheng'he'xia'xi'yang
指南针用于航海,zhi'nan'zhen'yong'yu'hang'hai
支移和折变,zhi'yi'he'zhe'bian
钟相杨幺起义,zhong'xiang'yang'yao'qi'yi
周,zhou
周世宗改革,zhou'shi'zong'gai'ge
总督和巡抚,zong'du'he'xun'fu
宗法制,zong'fa'zhi
祖逖北伐,zu'ti'bei'fa
