阿杜,a'du
冯巩,feng'gong
冯雷,feng'lei
冯小刚,feng'xiao'gang
傅彪,fu'biao
伏晨,fu'chen
浮克,fu'ke
符馨尹,fu'xin'yin
盖丽丽,gai'li'li
甘萍,gan'ping
高宝宝,gao'bao'bao
高枫,gao'feng
高海博,gao'hai'bo
高虎,gao'hu
高露,gao'lu
高旗,gao'qi
高夏,gao'xia
高晓松,gao'xiao'song
高秀敏,gao'xiu'min
高圆圆,gao'yuan'yuan
葛优,ge'you
耿直,geng'zhi
龚蓓苾,gong'bei'bi
巩俐,gong'li
公孙策,gong'sun'ce
顾长卫,gu'chang'wei
顾海滨,gu'hai'bin
古巨基,gu'ju'ji
顾人麒,gu'ren'qi
古天乐,gu'tian'le
古宇,gu'yu
古月,gu'yue
关心妍,guan'xin'yan
关咏荷,guan'yong'he
关之琳,guan'zhi'lin
光良,guang'liang
郭妃丽,guo'fei'li
郭富城,guo'fu'cheng
郭晋安,guo'jin'an
郭晶晶,guo'jing'jing
郭可盈,guo'ke'ying
郭品超,guo'pin'chao
郭全宝,guo'quan'bao
郭晓冬,guo'xiao'dong
海清,hai'qing
韩红,han'hong
韩雪,han'xue
韩宰锡,han'zai'xi
皓天,hao'tian
何静,he'jing
何炅,he'jiong
何琳,he'lin
何美钿,he'mei'dian
何晴,he'qing
何润东,he'run'dong
何赛飞,he'sai'fei
何耀珊,he'yao'shan
何韵诗,he'yun'shi
红豆,hong'dou
侯佩岑,hou'pei'cen
侯湘婷,hou'xiang'ting
胡兵,hu'bing
胡多钱,hu'duo'qian
胡歌,hu'ge
胡静,hu'jing
胡军,hu'jun
胡雯娟,hu'wen'juan
胡彦斌,hu'yan'bin
胡燕妮,hu'yan'ni
花儿乐队,hua'er'yue'dui
黄海冰,huang'hai'bing
黄键,huang'jian
黄健中,huang'jian'zhong
黄觉,huang'jue
黄磊,huang'lei
黄秋生,huang'qiu'sheng
黄日华,huang'ri'hua
黄圣依,huang'sheng'yi
黄婉伶,huang'wan'ling
黄晓明,huang'xiao'ming
黄小燕,huang'xiao'yan
黄耀明,huang'yao'ming
黄奕,huang'yi
黄义达,huang'yi'da
黄伊汶,huang'yi'wen
黄阅,huang'yue
黄霑,huang'zhan
黄真真,huang'zhen'zhen
黄征,huang'zheng
霍建华,huo'jian'hua
季红,ji'hong
纪如,ji'ru
贾多,jia'duo
贾静雯,jia'jing'wen
贾妮,jia'ni
贾一平,jia'yi'ping
蒋恺,jiang'kai
江凯文,jiang'kai'wen
姜昆,jiang'kun
江美琪,jiang'mei'qi
姜培琳,jiang'pei'lin
蒋勤勤,jiang'qin'qin
蒋诗琪,jiang'shi'qi
江涛,jiang'tao
姜彤,jiang'tong
姜文,jiang'wen
蒋雯丽,jiang'wen'li
姜武,jiang'wu
姜洋,jiang'yang
姜育恒,jiang'yu'heng
焦恩俊,jiao'en'jun
解小东,jie'xiao'dong
金城武,jin'cheng'wu
金海心,jin'hai'xin
金巧巧,jin'qiao'qiao
景岗山,jing'gang'shan
景甜,jing'tian
鞠萍,ju'ping
柯受良,ke'shou'liang
寇世勋,kou'shi'xun
赖雅妍,lai'ya'yan
蓝洁瑛,lan'jie'ying
蓝沁,lan'qin
老狼,lao'lang
李安,li'an
李保田,li'bao'tian
李滨,li'bin
李兵,li'bing
李冰冰,li'bing'bing
李炳辰,li'bing'chen
李光洁,li'guang'jie
李慧珍,li'hui'zhen
李嘉欣,li'jia'xin
李金铭,li'jin'ming
李静,li'jing
李克勤,li'ke'qin
李丽珍,li'li'zhen
李连杰,li'lian'jie
李琳,li'lin
黎明,li'ming
李铭顺,li'ming'shun
李南星,li'nan'xing
李绮红,li'qi'hong
李倩,li'qian
李倩妮,li'qian'ni
李泉,li'quan
李若彤,li'ruo'tong
李舜育,li'shun'yu
李婉静,li'wan'jing
李婉琳,li'wan'lin
李威,li'wei
李玟,li'wen
李霞,li'xia
李湘,li'xiang
李小龙,li'xiao'long
李小璐,li'xiao'lu
李小冉,li'xiao'ran
李心洁,li'xin'jie
李欣娱,li'xin'yu
李修贤,li'xiu'xian
李雪健,li'xue'jian
李学庆,li'xue'qing
李亚鹏,li'ya'peng
李易祥,li'yi'xiang
李咏,li'yong
李勇勇,li'yong'yong
李昱,li'yu
李媛媛,li'yuan'yuan
李云迪,li'yun'di
黎姿,li'zi
李宗翰,li'zong'han
李宗盛,li'zong'sheng
梁朝伟,liang'chao'wei
梁家辉,liang'jia'hui
梁静,liang'jing
梁静茹,liang'jing'ru
梁洛施,liang'luo'shi
梁天,liang'tian
梁永斌,liang'yong'bin
梁咏琪,liang'yong'qi
林保怡,lin'bao'yi
林嘉欣,lin'jia'xin
林俊杰,lin'jun'jie
林青霞,lin'qing'xia
林申,lin'shen
林韦君,lin'wei'jun
林熙蕾,lin'xi'lei
林心如,lin'xin'ru
林忆莲,lin'yi'lian
林依轮,lin'yi'lun
林兆华,lin'zhao'hua
林志玲,lin'zhi'ling
林志炫,lin'zhi'xuan
林志颖,lin'zhi'ying
零点乐队,ling'dian'yue'dui
刘蓓,liu'bei
刘德华,liu'de'hua
刘冠翔,liu'guan'xiang
刘欢,liu'huan
刘嘉玲,liu'jia'ling
刘磊,liu'lei
刘青云,liu'qing'yun
刘若英,liu'ruo'ying
刘涛,liu'tao
刘威,liu'wei
刘威葳,liu'wei'wei
刘翔,liu'xiang
刘晓庆,liu'xiao'qing
刘雅雯,liu'ya'wen
柳岩,liu'yan
刘烨,liu'ye
刘亦菲,liu'yi'fei
刘仪伟,liu'yi'wei
柳云龙,liu'yun'long
刘孜,liu'zi
陆川,lu'chuan
卢巧音,lu'qiao'yin
陆毅,lu'yi
轮回乐队,lun'hui'yue'dui
罗大佑,luo'da'you
罗海琼,luo'hai'qiong
罗嘉良,luo'jia'liang
罗家英,luo'jia'ying
罗琦,luo'qi
罗文,luo'wen
罗志祥,luo'zhi'xiang
吕丽萍,lv'li'ping
吕良伟,lv'liang'wei
马季,ma'ji
马景涛,ma'jing'tao
马伊俐,ma'yi'li
马跃,ma'yue
满江,man'jiang
满文军,man'wen'jun
毛阿敏,mao'a'min
毛宁,mao'ning
眉佳,mei'jia
美眉组合,mei'mei'zu'he
梅婷,mei'ting
梅艳芳,mei'yan'fang
孟庭苇,meng'ting'wei
孟欣,meng'xin
孟尧,meng'yao
蜜雪薇琪,mi'xue'wei'qi
苗圃,miao'pu
明骏女孩,ming'jun'nv'hai
缪以婷,miu'yi'ting
莫文蔚,mo'wen'wei
那英,na'ying
倪萍,ni'ping
聂远,nie'yuan
宁静,ning'jing
牛莉,niu'li
牛青峰,niu'qing'feng
牛群,niu'qun
牛振华,niu'zhen'hua
女子国乐坊,nv'zi'guo'yue'fang
女子十二乐坊,nv'zi'shi'er'yue'fang
潘婕,pan'jie
潘玮柏,pan'wei'bo
潘粤明,pan'yue'ming
庞龙,pang'long
彭丹,peng'dan
彭丽媛,peng'li'yuan
品冠,pin'guan
濮存昕,pu'cun'xin
朴树,pu'shu
戚迹,qi'ji
齐千郡,qi'qian'jun
齐秦,qi'qin
齐豫,qi'yu
钱韦成,qian'wei'cheng
乔榛,qiao'zhen
秦海璐,qin'hai'lu
秦岚,qin'lan
青蛙乐队,qing'wa'yue'dui
邱嘉敏,qiu'jia'min
邱淑贞,qiu'shu'zhen
仇晓,qiu'xiao
邱泽,qiu'ze
瞿颖,qu'ying
任程伟,ren'cheng'wei
任达华,ren'da'hua
任泉,ren'quan
任贤齐,ren'xian'qi
容祖儿,rong'zu'er
沙宝亮,sha'bao'liang
杉籽伽,shan'zi'jia
邵兵,shao'bing
邵美琪,shao'mei'qi
佘诗曼,she'shi'man
沈冰,shen'bing
沈畅,shen'chang
沈慧芬,shen'hui'fen
沈凌,shen'ling
沈培艺,shen'pei'yi
沈星,shen'xing
师春玲,shi'chun'ling
石小群,shi'xiao'qun
舒畅,shu'chang
舒高,shu'gao
舒淇,shu'qi
水均益,shui'jun'yi
水木年华,shui'mu'nian'hua
舜天齐,shun'tian'qi
顺子,shun'zi
斯琴高娃,si'qin'gao'wa
斯琴格日乐,si'qin'ge'ri'le
宋丹丹,song'dan'dan
宋柯,song'ke
宋祖英,song'zu'ying
苏慧伦,su'hui'lun
苏见信,su'jian'xin
苏瑾,su'jin
苏芮,su'rui
苏有朋,su'you'peng
孙菲菲,sun'fei'fei
孙海英,sun'hai'ying
孙红雷,sun'hong'lei
孙洁,sun'jie
孙俪,sun'li
孙楠,sun'nan
孙宁,sun'ning
孙新钊,sun'xin'zhao
孙兴,sun'xing
孙逊,sun'xun
孙燕姿,sun'yan'zi
孙逸飞,sun'yi'fei
孙悦,sun'yue
索妮,suo'ni
谭盾,tan'dun
谭歆柔,tan'xin'rou
谭咏麟,tan'yong'lin
唐国强,tang'guo'qiang
唐季礼,tang'ji'li
汤加丽,tang'jia'li
唐宁,tang'ning
汤群,tang'qun
陶红,tao'hong
陶虹,tao'hong
陶晶莹,tao'jing'ying
田海蓉,tian'hai'rong
田亮,tian'liang
田岷,tian'min
田沁鑫,tian'qin'xin
田原,tian'yuan
田震,tian'zhen
童安格,tong'an'ge
佟大为,tong'da'wei
童话,tong'hua
童自荣,tong'zi'rong
涂凌,tu'ling
万美汐,wan'mei'xi
王菲,wang'fei
汪峰,wang'feng
王刚,wang'gang
王高兴,wang'gao'xing
王姬,wang'ji
王家卫,wang'jia'wei
王杰,wang'jie
王晶,wang'jing
王菁华,wang'jing'hua
王珏,wang'jue
王钧,wang'jun
王丽达,wang'li'da
王力宏,wang'li'hong
王蓉,wang'rong
王思思,wang'si'si
王思懿,wang'si'yi
王同辉,wang'tong'hui
王伟,wang'wei
王小帅,wang'xiao'shuai
王小丫,wang'xiao'ya
王心凌,wang'xin'ling
王学兵,wang'xue'bing
王雅捷,wang'ya'jie
王亚楠,wang'ya'nan
王志文,wang'zhi'wen
王子鸣,wang'zi'ming
王祖贤,wang'zu'xian
韦唯,wei'wei
温碧霞,wen'bi'xia
温雯,wen'wen
温兆伦,wen'zhao'lun
翁虹,weng'hong
翁美玲,weng'mei'ling
伍佰,wu'bai
吴辰君,wu'chen'jun
吴大维,wu'da'wei
吴浩康,wu'hao'kang
吴建豪,wu'jian'hao
吴京,wu'jing
吴军,wu'jun
吴君如,wu'jun'ru
吴克群,wu'ke'qun
吴佩慈,wu'pei'ci
吴启华,wu'qi'hua
吴奇隆,wu'qi'long
吴千国,wu'qian'guo
吴倩莲,wu'qian'lian
吴芊芊,wu'qian'qian
吴若甫,wu'ruo'fu
伍仕贤,wu'shi'xian
吴彤,wu'tong
吴小莉,wu'xiao'li
吴昕,wu'xin
吴彦祖,wu'yan'zu
吴宇森,wu'yu'sen
五月天,wu'yue'tian
吴镇宇,wu'zhen'yu
吴宗宪,wu'zong'xian
奚美娟,xi'mei'juan
希亚,xi'ya
夏雨,xia'yu
啸喃,xiao'nan
萧蔷,xiao'qiang
萧亚轩,xiao'ya'xuan
萧正楠,xiao'zheng'nan
谢东娜,xie'dong'na
谢飞,xie'fei
谢添,xie'tian
谢霆锋,xie'ting'feng
谢雨欣,xie'yu'xin
辛柏青,xin'bai'qing
辛惠媛,xin'hui'yuan
信乐团,xin'yue'tuan
熊琪,xiong'qi
修庆,xiu'qing
徐帆,xu'fan
许还幻,xu'hai'huan
徐怀钰,xu'huai'yu
许慧欣,xu'hui'xin
徐静蕾,xu'jing'lei
徐筠,xu'jun
徐克,xu'ke
许晴,xu'qing
许茹芸,xu'ru'yun
徐若,xu'ruo
许绍洋,xu'shao'yang
许巍,xu'wei
徐熙娣,xu'xi'di
徐熙媛,xu'xi'yuan
徐小凤,xu'xiao'feng
徐洋,xu'yang
徐峥,xu'zheng
许志安,xu'zhi'an
雪村,xue'cun
薛凯琪,xue'kai'qi
言承旭,yan'cheng'xu
阎青妤,yan'qing'yu
演员李静,yan'yuan'li'jing
颜志琳,yan'zhi'lin
杨采妮,yang'cai'ni
杨丞琳,yang'cheng'lin
杨钫涵,yang'fang'han
杨恭如,yang'gong'ru
杨坤,yang'kun
杨澜,yang'lan
杨丽晓,yang'li'xiao
杨幂,yang'mi
杨淇,yang'qi
杨千,yang'qian
杨若兮,yang'ruo'xi
杨欣,yang'xin
杨雪,yang'xue
杨雨婷,yang'yu'ting
杨钰莹,yang'yu'ying
杨子,yang'zi
杨紫,yang'zi
杨紫琼,yang'zi'qiong
叶蓓,ye'bei
叶倩文,ye'qian'wen
叶全真,ye'quan'zhen
叶童,ye'tong
叶璇,ye'xuan
伊能静,yi'neng'jing
殷桃,yin'tao
应采儿,ying'cai'er
游鸿明,you'hong'ming
尤秋兴,you'qiu'xing
尤勇,you'yong
庾澄庆,yu'cheng'qing
俞飞鸿,yu'fei'hong
于娜,yu'na
羽泉,yu'quan
于台烟,yu'tai'yan
于文华,yu'wen'hua
余文乐,yu'wen'le
于小伟,yu'xiao'wei
袁立,yuan'li
元秋,yuan'qiu
袁泉,yuan'quan
袁文康,yuan'wen'kang
袁咏仪,yuan'yong'yi
岳跃,yue'yue
臧天朔,zang'tian'shuo
曾宝仪,zeng'bao'yi
曾黎,zeng'li
曾志伟,zeng'zhi'wei
詹瑞文,zhan'rui'wen
展昭,zhan'zhao
张艾嘉,zhang'ai'jia
张柏芝,zhang'bai'zhi
张丹露,zhang'dan'lu
张丰毅,zhang'feng'yi
张国立,zhang'guo'li
张国荣,zhang'guo'rong
张含韵,zhang'han'yun
张惠妹,zhang'hui'mei
张纪中,zhang'ji'zhong
张家辉,zhang'jia'hui
张静初,zhang'jing'chu
张静东,zhang'jing'dong
张敬轩,zhang'jing'xuan
张可颐,zhang'ke'yi
张澜澜,zhang'lan'lan
张力尹,zhang'li'yin
张靓颖,zhang'liang'ying
张曼玉,zhang'man'yu
张韶涵,zhang'shao'han
张涛,zhang'tao
张铁林,zhang'tie'lin
张婷,zhang'ting
张庭,zhang'ting
张卫健,zhang'wei'jian
张伟平,zhang'wei'ping
张湘怡,zhang'xiang'yi
章小蕙,zhang'xiao'hui
张信哲,zhang'xin'zhe
张学友,zhang'xue'you
张延,zhang'yan
张扬,zhang'yang
张瑶,zhang'yao
张艺谋,zhang'yi'mou
张宇,zhang'yu
张智霖,zhang'zhi'lin
章子怡,zhang'zi'yi
赵宝刚,zhao'bao'gang
赵本山,zhao'ben'shan
赵传,zhao'chuan
赵琳,zhao'lin
赵薇,zhao'wei
赵文卓,zhao'wen'zhuo
赵雅芝,zhao'ya'zhi
赵忠祥,zhao'zhong'xiang
甄子丹,zhen'zi'dan
郑昊,zheng'hao
郑钧,zheng'jun
郑佩佩,zheng'pei'pei
郑希怡,zheng'xi'yi
郑晓东,zheng'xiao'dong
郑秀文,zheng'xiu'wen
郑伊健,zheng'yi'jian
郑裕玲,zheng'yu'ling
郑元畅,zheng'yuan'chang
钟楚红,zhong'chu'hong
钟汉良,zhong'han'liang
钟丽缇,zhong'li'ti
钟镇涛,zhong'zhen'tao
周传雄,zhou'chuan'xiong
周海媚,zhou'hai'mei
周华健,zhou'hua'jian
周蕙,zhou'hui
周慧敏,zhou'hui'min
周杰,zhou'jie
周杰伦,zhou'jie'lun
周润发,zhou'run'fa
周涛,zhou'tao
周伟童,zhou'wei'tong
周晓晓,zhou'xiao'xiao
周星驰,zhou'xing'chi
周迅,zhou'xun
周彦宏,zhou'yan'hong
周一围,zhou'yi'wei
周渝民,zhou'yu'min
主持人李静,zhu'chi'ren'li'jing
主持人索妮,zhu'chi'ren'suo'ni
朱军,zhu'jun
朱俐颖,zhu'li'ying
朱铁,zhu'tie
朱孝天,zhu'xiao'tian
朱茵,zhu'yin
朱媛媛,zhu'yuan'yuan
卓文萱,zhuo'wen'xuan
卓义峰,zhuo'yi'feng
左熙宁,zuo'xi'ning
