爱辰,ai'chen
包莲花,bao'lian'hua
包连花,bao'lian'hua
爆裂,bao'lie
保留,bao'liu
暴露,bao'lu
薄片,bao'pian
薄片云母,bao'pian'yun'mu
薄片制品,bao'pian'zhi'pin
爆破,bao'po
宝石轴承,bao'shi'zhou'cheng
保梯电抗,bao'ti'dian'kang
保梯图,bao'ti'tu
包围,bao'wei
刨铣床,bao'xi'chuang
保险,bao'xian
保险圈,bao'xian'quan
保险丝,bao'xian'si
保险丝插头,bao'xian'si'cha'tou
保险丝盒,bao'xian'si'he
报销,bao'xiao
报销间,bao'xiao'jian
报修,bao'xiu
刨削,bao'xue
包样化学分析,bao'yang'hua'xue'fen'xi
包扎,bao'za
爆炸,bao'zha
爆炸成形,bao'zha'cheng'xing
爆炸焊,bao'zha'han
保证,bao'zheng
保证负荷,bao'zheng'fu'he
保证功率,bao'zheng'gong'lv
包装,bao'zhuang
包装箱,bao'zhuang'xiang
包装重量,bao'zhuang'zhong'liang
备件,bei'jian
备件仓库报修,bei'jian'cang'ku'bao'xiu
备件清单,bei'jian'qing'dan
背景,bei'jing
北京光耀电力设备有限公司,bei'jing'guang'yao'dian'li'she'bei'you'xian'gong'si
北京华力,bei'jing'hua'li
北京新创椿树整流器件有限公司,bei'jing'xin'chuang'chun'shu'zheng'liu'qi'jian'you'xian'gong'si
背离,bei'li
倍频程,bei'pin'cheng
倍频振动,bei'pin'zhen'dong
备品贮存,bei'pin'zhu'cun
贝氏体,bei'shi'ti
备忘录,bei'wang'lu
备用泵,bei'yong'beng
备用的,bei'yong'de
备注,bei'zhu
苯酚甲醛树脂,ben'fen'jia'quan'shu'zhi
本来的,ben'lai'de
本体,ben'ti
本体设计室,ben'ti'she'ji'shi
苯乙稀,ben'yi'xi
本质,ben'zhi
泵房,beng'fang
崩塌,beng'ta
必不可少的,bi'bu'ke'shao'de
吡啶,bi'ding
闭端,bi'duan
比尔,bi'er
比较,bi'jiao
比较器,bi'jiao'qi
避雷器,bi'lei'qi
比例关系,bi'li'guan'xi
比率,bi'lv
蓖麻油,bi'ma'you
避免,bi'mian
比色计,bi'se'ji
比重,bi'zhong
扁锉,bian'cuo
变动,bian'dong
变分的,bian'fen'de
扁钢,bian'gang
变更,bian'geng
便函,bian'han
变化,bian'hua
变化的,bian'hua'de
变化率,bian'hua'lv
变化误差率,bian'hua'wu'cha'lv
变坏,bian'huai
边界,bian'jie
变冷,bian'leng
变流机,bian'liu'ji
变频机,bian'pin'ji
变频器,bian'pin'qi
扁平,bian'ping
变速电动机,bian'su'dian'dong'ji
变相机,bian'xiang'ji
变形速度,bian'xing'su'du
变形张应力,bian'xing'zhang'ying'li
变压,bian'ya
变压器,bian'ya'qi
变压器油,bian'ya'qi'you
变压所,bian'ya'suo
边缘,bian'yuan
边缘效应,bian'yuan'xiao'ying
变载短时工作方式,bian'zai'duan'shi'gong'zuo'fang'shi
变载继续工作方式,bian'zai'ji'xu'gong'zuo'fang'shi
编织的,bian'zhi'de
编织线,bian'zhi'xian
变阻器,bian'zu'qi
变阻器的,bian'zu'qi'de
标称的,biao'cheng'de
标称容量,biao'cheng'rong'liang
标定,biao'ding
标量,biao'liang
标么值,biao'me'zhi
表面,biao'mian
表面粗糙度,biao'mian'cu'cao'du
表面淬火,biao'mian'cui'huo
表面电阻,biao'mian'dian'zu
表面光洁度,biao'mian'guang'jie'du
表面光洁度代号,biao'mian'guang'jie'du'dai'hao
表面留隙,biao'mian'liu'xi
表面涂层,biao'mian'tu'ceng
表面硬化,biao'mian'ying'hua
表皮,biao'pi
标签,biao'qian
表深度千分尺,biao'shen'du'qian'fen'chi
表示电电气的意思,biao'shi'dian'dian'qi'de'yi'si
表演,biao'yan
标准,biao'zhun
标准测量仪,biao'zhun'ce'liang'yi
标准的,biao'zhun'de
标准方法,biao'zhun'fang'fa
标准规,biao'zhun'gui
标准规块,biao'zhun'gui'kuai
标准化,biao'zhun'hua
标准键,biao'zhun'jian
标准室,biao'zhun'shi
并存性,bing'cun'xing
并合面,bing'he'mian
并激,bing'ji
并激发电机,bing'ji'fa'dian'ji
并接可控硅励磁机,bing'jie'ke'kong'gui'li'ci'ji
并联,bing'lian
并联的,bing'lian'de
并联环,bing'lian'huan
并联谐振,bing'lian'xie'zhen
并联运行,bing'lian'yun'xing
并列的,bing'lie'de
丙酮,bing'tong
并头套,bing'tou'tao
丙烷,bing'wan
波长,bo'chang
波段转换开关,bo'duan'zhuan'huan'kai'guan
波峰钎焊,bo'feng'qian'han
薄钢板,bo'gang'ban
波节,bo'jie
波浪般的,bo'lang'ban'de
剥离,bo'li
玻璃板,bo'li'ban
玻璃布,bo'li'bu
玻璃布层压板,bo'li'bu'ceng'ya'ban
玻璃钢院,bo'li'gang'yuan
玻璃胶木板,bo'li'jiao'mu'ban
玻璃漆布,bo'li'qi'bu
玻璃绳,bo'li'sheng
玻璃丝包,bo'li'si'bao
玻璃纤维,bo'li'xian'wei
玻璃纤维压塑料,bo'li'xian'wei'ya'su'liao
玻璃纤维毡,bo'li'xian'wei'zhan
玻璃云母布,bo'li'yun'mu'bu
剥片,bo'pian
剥片云母,bo'pian'yun'mu
剥去,bo'qu
波绕组,bo'rao'zu
薄弱的,bo'ruo'de
波纹,bo'wen
波纹板,bo'wen'ban
波纹形的,bo'wen'xing'de
波形,bo'xing
波形变换器,bo'xing'bian'huan'qi
波形分析,bo'xing'fen'xi
波形畸变,bo'xing'ji'bian
波形记录器,bo'xing'ji'lu'qi
波形失真系数,bo'xing'shi'zhen'xi'shu
波形图,bo'xing'tu
波形因素,bo'xing'yin'su
波状的,bo'zhuang'de
不必要,bu'bi'yao
不必要的,bu'bi'yao'de
补偿,bu'chang
补偿器,bu'chang'qi
不成比例,bu'cheng'bi'li
不等,bu'deng
步调,bu'diao
不对称,bu'dui'chen
不对称的,bu'dui'chen'de
不对称负荷,bu'dui'chen'fu'he
不对称平衡,bu'dui'chen'ping'heng
部分,bu'fen
部分的,bu'fen'de
部分合作,bu'fen'he'zuo
不工作,bu'gong'zuo
不规则,bu'gui'ze
不过端量规,bu'guo'duan'liang'gui
步话机,bu'hua'ji
不回收,bu'hui'shou
不间断工作方式,bu'jian'duan'gong'zuo'fang'shi
部件装配图,bu'jian'zhuang'pei'tu
不精确性,bu'jing'que'xing
布局,bu'ju
不可抗拒力,bu'ke'kang'ju'li
不良触点,bu'liang'chu'dian
不良接触,bu'liang'jie'chu
不灵敏的,bu'ling'min'de
不漏水,bu'lou'shui
部门,bu'men
不密的,bu'mi'de
不能转换的,bu'neng'zhuan'huan'de
不平的,bu'ping'de
不平衡,bu'ping'heng
不平衡电流,bu'ping'heng'dian'liu
不平衡电路,bu'ping'heng'dian'lu
不平衡负载,bu'ping'heng'fu'zai
不平衡三相,bu'ping'heng'san'xiang
不平衡三相电压,bu'ping'heng'san'xiang'dian'ya
补强材料,bu'qiang'cai'liao
不适当的,bu'shi'dang'de
不适合的,bu'shi'he'de
布氏金属硬度,bu'shi'jin'shu'ying'du
布氏硬度试验机,bu'shi'ying'du'shi'yan'ji
布氏硬度值,bu'shi'ying'du'zhi
不熟练的,bu'shu'lian'de
不提供,bu'ti'gong
不填充,bu'tian'chong
不同步,bu'tong'bu
不透水的,bu'tou'shui'de
不透水型电机,bu'tou'shui'xing'dian'ji
不稳定的,bu'wen'ding'de
不稳定性,bu'wen'ding'xing
布线圈,bu'xian'quan
不锈的,bu'xiu'de
不锈钢,bu'xiu'gang
不易爆炸的,bu'yi'bao'zha'de
不易燃,bu'yi'ran
不一致,bu'yi'zhi
不运行,bu'yun'xing
不再保密,bu'zai'bao'mi
不增强的,bu'zeng'qiang'de
不正常工作条件,bu'zheng'chang'gong'zuo'tiao'jian
不正当的,bu'zheng'dang'de
不整齐的,bu'zheng'qi'de
布置,bu'zhi
不准确的,bu'zhun'que'de
擦布,ca'bu
擦去,ca'qu
擦伤,ca'shang
蔡党英,cai'dang'ying
采购,cai'gou
采购部,cai'gou'bu
蔡广顺,cai'guang'shun
蔡国强,cai'guo'qiang
蔡洪文,cai'hong'wen
蔡华芳,cai'hua'fang
蔡瑾,cai'jin
蔡侃,cai'kan
材料,cai'liao
材料仓库,cai'liao'cang'ku
材料储存和接收,cai'liao'chu'cun'he'jie'shou
材料单耗,cai'liao'dan'hao
蔡迈,cai'mai
才能,cai'neng
蔡强,cai'qiang
蔡琼,cai'qiong
蔡伟军,cai'wei'jun
财务,cai'wu
财务报销,cai'wu'bao'xiao
财务部,cai'wu'bu
财务处,cai'wu'chu
财务科,cai'wu'ke
蔡忠,cai'zhong
参考,can'kao
参考书,can'kao'shu
参考数据,can'kao'shu'ju
参考资料,can'kao'zi'liao
参量,can'liang
残留误差,can'liu'wu'cha
参数,can'shu
参数振动,can'shu'zhen'dong
参透,can'tou
残余,can'yu
残余应力,can'yu'ying'li
残余应力报告,can'yu'ying'li'bao'gao
仓储组,cang'chu'zu
仓库,cang'ku
草案,cao'an
槽衬,cao'chen
曹芳娟,cao'fang'juan
槽钢,cao'gang
曹金齐,cao'jin'qi
槽绝缘,cao'jue'yuan
槽绝缘制造,cao'jue'yuan'zhi'zao
曹康民,cao'kang'min
曹丽敏,cao'li'min
曹路强,cao'lu'qiang
曹美全,cao'mei'quan
槽内布置,cao'nei'bu'zhi
草图,cao'tu
槽楔,cao'xie
曹颖,cao'ying
槽装配,cao'zhuang'pei
槽子,cao'zi
操纵,cao'zong
操纵台,cao'zong'tai
操作,cao'zuo
操作杆,cao'zuo'gan
操作规程,cao'zuo'gui'cheng
操作过程,cao'zuo'guo'cheng
操作人,cao'zuo'ren
操作用导线,cao'zuo'yong'dao'xian
操作者,cao'zuo'zhe
侧床,ce'chuang
测锤,ce'chui
侧的,ce'de
测定,ce'ding
测定量,ce'ding'liang
测定值,ce'ding'zhi
测高尺,ce'gao'chi
测径规,ce'jing'gui
测量,ce'liang
测量电极,ce'liang'dian'ji
测量范围,ce'liang'fan'wei
测量设备,ce'liang'she'bei
测量误差,ce'liang'wu'cha
测量仪表,ce'liang'yi'biao
测量仪器,ce'liang'yi'qi
测量用变压器,ce'liang'yong'bian'ya'qi
侧面的,ce'mian'de
侧面角焊缝,ce'mian'jiao'han'feng
测试,ce'shi
测试设备,ce'shi'she'bei
侧视图,ce'shi'tu
测试信号,ce'shi'xin'hao
测速发电机,ce'su'fa'dian'ji
测温计,ce'wen'ji
测温技术,ce'wen'ji'shu
测验,ce'yan
层间绝缘,ceng'jian'jue'yuan
层压板,ceng'ya'ban
层压玻璃布板,ceng'ya'bo'li'bu'ban
层压玻璃布棒,ceng'ya'bo'li'bu'bang
层压玻璃布管,ceng'ya'bo'li'bu'guan
层压布板,ceng'ya'bu'ban
层压布管,ceng'ya'bu'guan
层压木片板,ceng'ya'mu'pian'ban
层压石棉板,ceng'ya'shi'mian'ban
层压塑料等,ceng'ya'su'liao'deng
层压纸板,ceng'ya'zhi'ban
层压纸棒,ceng'ya'zhi'bang
插齿机,cha'chi'ji
查对,cha'dui
差复励,cha'fu'li
察觉,cha'jue
插口,cha'kou
查明,cha'ming
插入,cha'ru
插入电阻,cha'ru'dian'zu
插头,cha'tou
插销,cha'xiao
差压,cha'ya
插座,cha'zuo
拆开,chai'kai
拆卸,chai'xie
铲除表面缺陷,chan'chu'biao'mian'que'xian
产品,chan'pin
产品厂内试验,chan'pin'chang'nei'shi'yan
产品发展研究室,chan'pin'fa'zhan'yan'jiu'shi
产品工艺室,chan'pin'gong'yi'shi
产品设计至实际投产时间,chan'pin'she'ji'zhi'shi'ji'tou'chan'shi'jian
产品试验,chan'pin'shi'yan
产品系列,chan'pin'xi'lie
产生,chan'sheng
颤振,chan'zhen
常春林,chang'chun'lin
长度,chang'du
长度变更,chang'du'bian'geng
长方孔,chang'fang'kong
长方形的,chang'fang'xing'de
长方形工作面,chang'fang'xing'gong'zuo'mian
常规,chang'gui
常规的,chang'gui'de
常规检查,chang'gui'jian'cha
场合,chang'he
长径比,chang'jing'bi
长梁,chang'liang
唱片,chang'pian
长期,chang'qi
尝试,chang'shi
昌实标准,chang'shi'biao'zhun
常数,chang'shu
常熟何市金属异型拉丝厂,chang'shu'he'shi'jin'shu'yi'xing'la'si'chang
常熟市华银焊料有限公司,chang'shu'shi'hua'yin'han'liao'you'xian'gong'si
长途,chang'tu
厂长,chang'zhang
常州市武进泵业有限责任公司,chang'zhou'shi'wu'jin'beng'ye'you'xian'ze'ren'gong'si
超额的,chao'e'de
超高速,chao'gao'su
超高压,chao'gao'ya
超过的,chao'guo'de
超级研磨,chao'ji'yan'mo
超精加工,chao'jing'jia'gong
超临界的,chao'lin'jie'de
超声波,chao'sheng'bo
超声波检查,chao'sheng'bo'jian'cha
超声波检验,chao'sheng'bo'jian'yan
超声波试验设备,chao'sheng'bo'shi'yan'she'bei
潮湿的,chao'shi'de
超速,chao'su
超速试验,chao'su'shi'yan
超速试验规范,chao'su'shi'yan'gui'fan
超探,chao'tan
超调,chao'tiao
晁运常,chao'yun'chang
超载,chao'zai
超重,chao'zhong
车床,che'chuang
车刀,che'dao
车工工艺,che'gong'gong'yi
车架,che'jia
车间,che'jian
车间图库,che'jian'tu'ku
车辆,che'liang
车螺纹,che'luo'wen
车平面,che'ping'mian
车时间,che'shi'jian
车削,che'xiao
衬板,chen'ban
陈斌,chen'bin
陈春榕,chen'chun'rong
陈德华,chen'de'hua
沉淀,chen'dian
衬垫,chen'dian
衬垫云母板,chen'dian'yun'mu'ban
陈福龙,chen'fu'long
陈国强,chen'guo'qiang
陈国伟,chen'guo'wei
陈浩,chen'hao
陈惠兰,chen'hui'lan
陈建国,chen'jian'guo
陈杰,chen'jie
陈锦辉,chen'jin'hui
陈晶晶,chen'jing'jing
陈涓,chen'juan
陈军民,chen'jun'min
陈凯,chen'kai
衬块,chen'kuai
陈斓,chen'lan
陈利民,chen'li'min
陈梁,chen'liang
陈旻,chen'min
陈瑞,chen'rui
陈松,chen'song
衬套,chen'tao
陈同济,chen'tong'ji
陈薇,chen'wei
陈文献,chen'wen'xian
陈曦,chen'xi
陈熙,chen'xi
陈小宝,chen'xiao'bao
陈晓卿,chen'xiao'qing
陈星申,chen'xing'shen
陈雄,chen'xiong
陈亚慧,chen'ya'hui
陈琰,chen'yan
陈烨,chen'ye
陈烨飞,chen'ye'fei
陈怡平,chen'yi'ping
陈银娥,chen'yin'e
陈颖,chen'ying
陈玉华,chen'yu'hua
陈珠夸,chen'zhu'kua
承包商,cheng'bao'shang
成本处,cheng'ben'chu
成本科,cheng'ben'ke
成本组,cheng'ben'zu
成比例的,cheng'bi'li'de
承担,cheng'dan
成道发,cheng'dao'fa
乘方,cheng'fang
撑牢的,cheng'lao'de
成品,cheng'pin
成品单,cheng'pin'dan
成品发运处,cheng'pin'fa'yun'chu
澄清,cheng'qing
呈送,cheng'song
成套,cheng'tao
成套动力装置,cheng'tao'dong'li'zhuang'zhi
成套公司,cheng'tao'gong'si
成套监造,cheng'tao'jian'zao
成套设备,cheng'tao'she'bei
成套所,cheng'tao'suo
成套装备,cheng'tao'zhuang'bei
成问题的,cheng'wen'ti'de
程序,cheng'xu
程序控制,cheng'xu'kong'zhi
程序装置,cheng'xu'zhuang'zhi
成员,cheng'yuan
程云,cheng'yun
尺寸,chi'cun
尺寸不足,chi'cun'bu'zu
尺寸的,chi'cun'de
尺寸范围,chi'cun'fan'wei
尺寸过大,chi'cun'guo'da
尺寸检查,chi'cun'jian'cha
齿距,chi'ju
齿轮,chi'lun
齿轮泵,chi'lun'beng
齿轮箱,chi'lun'xiang
翅面通风式电动机,chi'mian'tong'feng'shi'dian'dong'ji
持续,chi'xu
齿压板,chi'ya'ban
齿压片,chi'ya'pian
冲程,chong'cheng
冲床,chong'chuang
充电,chong'dian
冲电电压,chong'dian'dian'ya
充分的,chong'fen'de
冲击,chong'ji
冲击波,chong'ji'bo
冲击波伤损,chong'ji'bo'shang'sun
冲击力,chong'ji'li
冲击谱,chong'ji'pu
冲击式电流计,chong'ji'shi'dian'liu'ji
冲击压力,chong'ji'ya'li
冲击影响,chong'ji'ying'xiang
冲击运动,chong'ji'yun'dong
冲击载荷,chong'ji'zai'he
冲击值,chong'ji'zhi
冲剪两用机,chong'jian'liang'yong'ji
虫胶,chong'jiao
冲孔,chong'kong
冲力,chong'li
冲量,chong'liang
充满,chong'man
冲片冲制,chong'pian'chong'zhi
冲片绝缘,chong'pian'jue'yuan
冲片垃圾,chong'pian'la'ji
冲片毛刺,chong'pian'mao'ci
冲片去毛,chong'pian'qu'mao
冲水,chong'shui
冲天炉,chong'tian'lu
冲头,chong'tou
冲头柄,chong'tou'bing
冲洗,chong'xi
冲压,chong'ya
冲压区,chong'ya'qu
冲撞,chong'zhuang
抽查,chou'cha
抽出,chou'chu
抽风式通风,chou'feng'shi'tong'feng
仇家藩,chou'jia'fan
抽空,chou'kong
抽气能力,chou'qi'neng'li
臭氧,chou'yang
臭氧发生器,chou'yang'fa'sheng'qi
臭氧分解,chou'yang'fen'jie
抽样检验,chou'yang'jian'yan
抽样检验法,chou'yang'jian'yan'fa
抽样试验,chou'yang'shi'yan
出版,chu'ban
出版物,chu'ban'wu
初步规划,chu'bu'gui'hua
出产,chu'chan
出厂试验,chu'chang'shi'yan
除尘,chu'chen
褚成军,chu'cheng'jun
触点,chu'dian
触电,chu'dian
除法,chu'fa
触发器,chu'fa'qi
除非绝对必要,chu'fei'jue'dui'bi'yao
除非万不得已,chu'fei'wan'bu'de'yi
出风区,chu'feng'qu
初级回路,chu'ji'hui'lu
初级绕组,chu'ji'rao'zu
出口,chu'kou
出口端电压,chu'kou'duan'dian'ya
出力,chu'li
处理,chu'li
出力试,chu'li'shi
触媒,chu'mei
除气,chu'qi
除去,chu'qu
除去水份,chu'qu'shui'fen
初始的,chu'shi'de
初速,chu'su
初速电流状态,chu'su'dian'liu'zhuang'tai
出席,chu'xi
出现,chu'xian
出线板,chu'xian'ban
出线盒,chu'xian'he
出线头,chu'xian'tou
出线罩,chu'xian'zhao
出线装置,chu'xian'zhuang'zhi
出屑槽,chu'xie'cao
储蓄器,chu'xu'qi
除油槽,chu'you'cao
初轧板坯齐边压力机,chu'zha'ban'pi'qi'bian'ya'li'ji
串并联转换开关,chuan'bing'lian'zhuan'huan'kai'guan
传达,chuan'da
传导,chuan'dao
传递函数,chuan'di'han'shu
传递率,chuan'di'lv
传动轴,chuan'dong'zhou
传动装置,chuan'dong'zhuang'zhi
传感器,chuan'gan'qi
传感器和平衡机,chuan'gan'qi'he'ping'heng'ji
串激,chuan'ji
串联,chuan'lian
串联的,chuan'lian'de
串联电容器,chuan'lian'dian'rong'qi
串列的,chuan'lie'de
串绕,chuan'rao
串绕发电机,chuan'rao'fa'dian'ji
传热,chuan're
传送,chuan'song
传送车,chuan'song'che
穿透,chuan'tou
穿心螺杆,chuan'xin'luo'gan
传真,chuan'zhen
创立,chuang'li
创造,chuang'zao
吹出,chui'chu
吹除,chui'chu
锤锻,chui'duan
垂直,chui'zhi
垂直的,chui'zhi'de
垂直度,chui'zhi'du
垂直断面,chui'zhi'duan'mian
垂直分布,chui'zhi'fen'bu
垂直面,chui'zhi'mian
垂直位置,chui'zhi'wei'zhi
垂直线,chui'zhi'xian
垂直运动,chui'zhi'yun'dong
纯度,chun'du
纯酒精,chun'jiu'jing
醇酸树脂,chun'suan'shu'zhi
戳子,chuo'zi
磁饱和,ci'bao'he
磁饱和放大器,ci'bao'he'fang'da'qi
磁变,ci'bian
磁参量测量法,ci'can'liang'ce'liang'fa
磁场,ci'chang
磁场变化,ci'chang'bian'hua
磁场变阻器,ci'chang'bian'zu'qi
磁场电效应,ci'chang'dian'xiao'ying
磁场开关,ci'chang'kai'guan
磁场漏磁通量,ci'chang'lou'ci'tong'liang
磁场强度,ci'chang'qiang'du
磁带,ci'dai
磁带损失,ci'dai'sun'shi
磁导,ci'dao
磁导率,ci'dao'lv
磁动势的交轴分量,ci'dong'shi'de'jiao'zhou'fen'liang
磁动势的直轴分量,ci'dong'shi'de'zhi'zhou'fen'liang
磁轭,ci'e
磁轭法,ci'e'fa
磁粉焊剂,ci'fen'han'ji
磁粉检验,ci'fen'jian'yan
磁粉探伤设备,ci'fen'tan'shang'she'bei
磁感应,ci'gan'ying
磁化,ci'hua
磁化安匝,ci'hua'an'za
磁化电流,ci'hua'dian'liu
磁化率,ci'hua'lv
磁化曲线,ci'hua'qu'xian
磁极,ci'ji
磁极冲片,ci'ji'chong'pian
磁极铁心,ci'ji'tie'xin
磁力线,ci'li'xian
磁链,ci'lian
磁路,ci'lu
瓷漆,ci'qi
磁石,ci'shi
瓷套管,ci'tao'guan
磁体,ci'ti
磁铁,ci'tie
磁通单位,ci'tong'dan'wei
磁通计,ci'tong'ji
磁通量,ci'tong'liang
磁通密度,ci'tong'mi'du
磁性的,ci'xing'de
磁性钢板,ci'xing'gang'ban
磁滞,ci'zhi
磁滞现象,ci'zhi'xian'xiang
磁阻,ci'zu
丛金钴,cong'jin'gu
丛源,cong'yuan
粗糙的,cu'cao'de
粗糙度,cu'cao'du
粗车,cu'che
粗齿锉,cu'chi'cuo
粗的,cu'de
粗调,cu'diao
粗度,cu'du
粗镦,cu'dun
粗加工,cu'jia'gong
粗晶断口,cu'jing'duan'kou
粗粒的,cu'li'de
粗略估计,cu'lue'gu'ji
粗砂纸,cu'sha'zhi
粗算,cu'suan
醋酸,cu'suan
淬火,cui'huo
崔纪浩,cui'ji'hao
淬透,cui'tou
淬透深度,cui'tou'shen'du
崔小健,cui'xiao'jian
脆性,cui'xing
脆性断裂,cui'xing'duan'lie
崔雅文,cui'ya'wen
崔阳阳,cui'yang'yang
崔业安,cui'ye'an
淬硬,cui'ying
存储器,cun'chu'qi
存放,cun'fang
锉床,cuo'chuang
锉刀,cuo'dao
锉工台,cuo'gong'tai
搓捻,cuo'nian
措施,cuo'shi
搭板对接,da'ban'dui'jie
打槽楔,da'cao'xie
大齿,da'chi
大大降低,da'da'jiang'di
大胆进行,da'dan'jin'xing
搭焊,da'han
打滑,da'hua
打击,da'ji
搭接,da'jie
搭接焊,da'jie'han
大金工,da'jin'gong
打开,da'kai
大量程,da'liang'cheng
大量生产,da'liang'sheng'chan
大楼,da'lou
大楼保安,da'lou'bao'an
大楼保洁,da'lou'bao'jie
大楼电梯,da'lou'dian'ti
打磨除毛刺磷化处理作业线,da'mo'chu'mao'ci'lin'hua'chu'li'zuo'ye'xian
大气,da'qi
大气压,da'qi'ya
打算,da'suan
大小,da'xiao
大型卧式卷扬机,da'xing'wo'shi'juan'yang'ji
大修,da'xiu
打印输出,da'yin'shu'chu
大约,da'yue
代表,dai'biao
待补充,dai'bu'chong
带电,dai'dian
带电的,dai'dian'de
戴恩,dai'en
带钢,dai'gang
带极堆焊,dai'ji'dui'han
带锯,dai'ju
代理人,dai'li'ren
代码,dai'ma
代替,dai'ti
带通滤波器,dai'tong'lv'bo'qi
代用,dai'yong
代用品,dai'yong'pin
戴玉燕,dai'yu'yan
单班制,dan'ban'zhi
担保,dan'bao
单臂电桥,dan'bi'dian'qiao
单层绕组,dan'ceng'rao'zu
单叠绕组,dan'die'rao'zu
淡度,dan'du
单方向的,dan'fang'xiang'de
氮化,dan'hua
氮化物,dan'hua'wu
单极的,dan'ji'de
单极电机,dan'ji'dian'ji
单级轴流式风扇,dan'ji'zhou'liu'shi'feng'shan
单件,dan'jian
单面点焊,dan'mian'dian'han
担任,dan'ren
单位,dan'wei
单位加压压力,dan'wei'jia'ya'ya'li
单位面积,dan'wei'mian'ji
单位容量,dan'wei'rong'liang
单位体积,dan'wei'ti'ji
单位装机容量,dan'wei'zhuang'ji'rong'liang
单相的,dan'xiang'de
丹阳绝缘,dan'yang'jue'yuan
单一,dan'yi
单元,dan'yuan
单匝电流互感器,dan'za'dian'liu'hu'gan'qi
单柱刨床,dan'zhu'bao'chuang
单自由度系统,dan'zi'you'du'xi'tong
档案室,dang'an'shi
挡板,dang'ban
挡风板,dang'feng'ban
挡风环,dang'feng'huan
党务综合部,dang'wu'zong'he'bu
挡油板,dang'you'ban
挡油档,dang'you'dang
挡油圈,dang'you'quan
导磁率,dao'ci'lv
导磁系数,dao'ci'xi'shu
导磁性能,dao'ci'xing'neng
导电,dao'dian
导电的,dao'dian'de
导电环,dao'dian'huan
导电性,dao'dian'xing
倒钝,dao'dun
导管,dao'guan
导轨,dao'gui
刀架,dao'jia
倒角,dao'jiao
刀具,dao'ju
刀具柄,dao'ju'bing
刀具刃磨,dao'ju'ren'mo
刀具研磨机,dao'ju'yan'mo'ji
导流构件,dao'liu'gou'jian
刀盘,dao'pan
导热性,dao're'xing
倒数,dao'shu
导数,dao'shu
导体,dao'ti
刀头,dao'tou
导温系数,dao'wen'xi'shu
导线,dao'xian
导线换位,dao'xian'huan'wei
导线束,dao'xian'shu
导柱,dao'zhu
倒转,dao'zhuan
倒转的,dao'zhuan'de
到最小,dao'zui'xiao
德国工业标准,de'guo'gong'ye'biao'zhun
德清县袁氏铸钢有限公司,de'qing'xian'yuan'shi'zhu'gang'you'xian'gong'si
得税,de'shui
德阳恒业,de'yang'heng'ye
德阳市宏浩特种钢有限公司,de'yang'shi'hong'hao'te'zhong'gang'you'xian'gong'si
