阿坝,a'ba
安全角,an'quan'jiao
安全界,an'quan'jie
安全救生,an'quan'jiu'sheng
安全局,an'quan'ju
安全距离,an'quan'ju'li
安全离机,an'quan'li'ji
安全力量,an'quan'li'liang
安全密度,an'quan'mi'du
安全浓度,an'quan'nong'du
安全潜航,an'quan'qian'hang
安全情况,an'quan'qing'kuang
安全区,an'quan'qu
安全燃料,an'quan'ran'liao
安全人员,an'quan'ren'yuan
安全塞,an'quan'sai
安全设备,an'quan'she'bei
安全射击,an'quan'she'ji
安全射速,an'quan'she'su
安全射向,an'quan'she'xiang
安全深度,an'quan'shen'du
安全绳,an'quan'sheng
安全事件,an'quan'shi'jian
安全守则,an'quan'shou'ze
安全水舱,an'quan'shui'cang
安全水路,an'quan'shui'lu
安全水平,an'quan'shui'ping
安全死角,an'quan'si'jiao
安全条例,an'quan'tiao'li
安全跳伞,an'quan'tiao'san
安全条约,an'quan'tiao'yue
安全通报,an'quan'tong'bao
安全通道,an'quan'tong'dao
安全投弹,an'quan'tou'dan
安全突防,an'quan'tu'fang
安全网,an'quan'wang
安全网络,an'quan'wang'luo
安全威胁,an'quan'wei'xie
安全委员会,an'quan'wei'yuan'hui
安全温度,an'quan'wen'du
安全线,an'quan'xian
安全鞋,an'quan'xie
安全信标,an'quan'xin'biao
安全信号,an'quan'xin'hao
安全形势,an'quan'xing'shi
安全训练,an'quan'xun'lian
安全引爆,an'quan'yin'bao
安全有效,an'quan'you'xiao
安全载重,an'quan'zai'zhong
安全炸药,an'quan'zha'yao
安全战略,an'quan'zhan'lue
安全制动,an'quan'zhi'dong
安全指示,an'quan'zhi'shi
安全转移,an'quan'zhuan'yi
安全装药,an'quan'zhuang'yao
安全装置,an'quan'zhuang'zhi
安全准则,an'quan'zhun'ze
安全着陆,an'quan'zhuo'lu
安全自毁,an'quan'zi'hui
安全走廊,an'quan'zou'lang
按任务,an'ren'wu
暗杀,an'sha
岸上,an'shang
岸上目标,an'shang'mu'biao
岸上勤务,an'shang'qin'wu
岸上设施,an'shang'she'shi
安上眼睛,an'shang'yan'jing
岸上指挥所,an'shang'zhi'hui'suo
暗哨,an'shao
按时,an'shi
暗视,an'shi
按时到达,an'shi'dao'da
按实际情况,an'shi'ji'qing'kuang
按时间,an'shi'jian
按时进入,an'shi'jin'ru
安史之乱,an'shi'zhi'luan
按顺时针,an'shun'shi'zhen
暗算,an'suan
安泰,an'tai
岸滩,an'tan
岸滩部分,an'tan'bu'fen
岸滩器材,an'tan'qi'cai
岸滩训练,an'tan'xun'lian
岸滩障碍物,an'tan'zhang'ai'wu
按天体标定,an'tian'ti'biao'ding
按腿,an'tui
安瓦尔,an'wa'er
暗挖式,an'wa'shi
暗挖式工事,an'wa'shi'gong'shi
安危得失,an'wei'de'shi
安委会,an'wei'hui
按下,an'xia
按下炮钮,an'xia'pao'niu
安新战役,an'xin'zhan'yi
鞍形,an'xing
按序列,an'xu'lie
安营,an'ying
安营扎寨,an'ying'zha'zhai
岸用声纳,an'yong'sheng'na
按用途分为,an'yong'tu'fen'wei
暗语,an'yu
按预定程序,an'yu'ding'cheng'xu
按预定计划,an'yu'ding'ji'hua
按原计划,an'yuan'ji'hua
安远将军,an'yuan'jiang'jun
安扎克,an'zha'ke
暗战,an'zhan
按战斗队形,an'zhan'dou'dui'xing
按照预先的,an'zhao'yu'xian'de
安置法,an'zhi'fa
安置规定,an'zhi'gui'ding
鞍之战,an'zhi'zhan
暗中监视,an'zhong'jian'shi
安装,an'zhuang
鞍状,an'zhuang
安装程序,an'zhuang'cheng'xu
安装地点,an'zhuang'di'dian
安装过程,an'zhuang'guo'cheng
安装角,an'zhuang'jiao
安装软件,an'zhuang'ruan'jian
按追击曲线,an'zhui'ji'qu'xian
按综合诸元,an'zong'he'zhu'yuan
嗷嗷叫,ao'ao'jiao
敖德萨,ao'de'sa
奥德赛,ao'de'sai
凹地,ao'di
奥古斯都,ao'gu'si'du
奥金莱克,ao'jin'lai'ke
澳军,ao'jun
拗口,ao'kou
奥拉基,ao'la'ji
奥斯特利茨,ao'si'te'li'ci
奥土战争,ao'tu'zhan'zheng
翱翔飞行,ao'xiang'fei'xing
凹形斜面,ao'xing'xie'mian
奥匈帝国,ao'xiong'di'guo
鏖战,ao'zhan
八百壮士,ba'bai'zhuang'shi
靶板,ba'ban
靶标,ba'biao
靶标船,ba'biao'chuan
靶标装置,ba'biao'zhuang'zhi
罢兵,ba'bing
靶场,ba'chang
靶场安全,ba'chang'an'quan
靶场勤务,ba'chang'qin'wu
靶场设备,ba'chang'she'bei
拔除,ba'chu
拔出枪,ba'chu'qiang
拔出枪来,ba'chu'qiang'lai
靶船,ba'chuan
靶袋,ba'dai
靶弹,ba'dan
靶弹发射,ba'dan'fa'she
靶道,ba'dao
拔掉,ba'diao
拔都,ba'du
巴顿,ba'dun
靶垛,ba'duo
巴多里奥,ba'duo'li'ao
巴尔干战争,ba'er'gan'zhan'zheng
八个不准,ba'ge'bu'zhun
八国联军,ba'guo'lian'jun
霸海,ba'hai
靶壕,ba'hao
靶机,ba'ji
巴解,ba'jie
巴解武装,ba'jie'wu'zhuang
巴解总部,ba'jie'zong'bu
巴军,ba'jun
巴勒斯坦,ba'le'si'tan
靶雷,ba'lei
巴列夫防线,ba'lie'fu'fang'xian
八六海战,ba'liu'hai'zhan
八路,ba'lu
八路军,ba'lu'jun
八路军歌,ba'lu'jun'ge
八路军总部,ba'lu'jun'zong'bu
拔锚,ba'mao
靶幕,ba'mu
八木天线,ba'mu'tian'xian
巴拿马运河,ba'na'ma'yun'he
八年抗战,ba'nian'kang'zhan
八女投江,ba'nv'tou'jiang
八旗,ba'qi
八旗兵,ba'qi'bing
八旗官学,ba'qi'guan'xue
八旗炮厂,ba'qi'pao'chang
八旗子弟,ba'qi'zi'di
拔枪,ba'qiang
灞桥之战,ba'qiao'zhi'zhan
靶区,ba'qu
霸权,ba'quan
霸权主义,ba'quan'zhu'yi
靶示情况,ba'shi'qing'kuang
把守,ba'shou
把手枪,ba'shou'qiang
巴特勒式,ba'te'le'shi
靶艇,ba'ting
靶图,ba'tu
霸王花,ba'wang'hua
钯尾鞭,ba'wei'bian
巴西,ba'xi
八项,ba'xiang
把训练,ba'xun'lian
八一,ba'yi
八一厂,ba'yi'chang
八一电影厂,ba'yi'dian'ying'chang
八一队,ba'yi'dui
八一奖章,ba'yi'jiang'zhang
八一军旗,ba'yi'jun'qi
八一篮球队,ba'yi'lan'qiu'dui
八一帽徽,ba'yi'mao'hui
八一排球队,ba'yi'pai'qiu'dui
八一前程网,ba'yi'qian'cheng'wang
八一三,ba'yi'san
八一射击队,ba'yi'she'ji'dui
八一体工队,ba'yi'ti'gong'dui
八一勋章,ba'yi'xun'zhang
八一杂志,ba'yi'za'zhi
八一足球队,ba'yi'zu'qiu'dui
拔营,ba'ying
靶纸,ba'zhi
霸主,ba'zhu
拔桩机,ba'zhuang'ji
靶子,ba'zi
败北,bai'bei
败兵,bai'bing
白崇禧,bai'chong'xi
柏村战役,bai'cun'zhan'yi
摆动,bai'dong
摆动船,bai'dong'chuan
摆动机翼,bai'dong'ji'yi
白匪,bai'fei
白匪军,bai'fei'jun
败给,bai'gei
白狗子,bai'gou'zi
白光,bai'guang
百合花,bai'he'hua
百户,bai'hu
摆架子,bai'jia'zi
败家子,bai'jia'zi
败家子儿,bai'jia'zi'er
败将,bai'jiang
白晋铁路,bai'jin'tie'lu
败局,bai'ju
柏举之战,bai'ju'zhi'zhan
败军之将,bai'jun'zhi'jiang
败溃,bai'kui
白朗宁,bai'lang'ning
摆练,bai'lian
白莲教,bai'lian'jiao
白蛉,bai'ling
白令海峡,bai'ling'hai'xia
白毛女,bai'mao'nv
百密一疏,bai'mi'yi'shu
百年战争,bai'nian'zhan'zheng
百帕,bai'pa
白袍衣,bai'pao'yi
白皮书,bai'pi'shu
摆平,bai'ping
白起,bai'qi
摆庆功酒,bai'qing'gong'jiu
白求恩,bai'qiu'en
白热化,bai're'hua
白刃,bai'ren
白刃搏斗,bai'ren'bo'dou
百人队长,bai'ren'dui'zhang
白刃格斗,bai'ren'ge'dou
白刃战,bai'ren'zhan
白刃战斗,bai'ren'zhan'dou
白色警报,bai'se'jing'bao
百色起义,bai'se'qi'yi
白沙瓦,bai'sha'wa
白山黑水,bai'shan'hei'shui
摆射,bai'she
百舌鸟,bai'she'niao
摆式,bai'shi
摆事实,bai'shi'shi
白塔埠,bai'ta'bu
败逃,bai'tao
白天约为,bai'tian'yue'wei
摆头,bai'tou
百团大战,bai'tuan'da'zhan
败退,bai'tui
摆脱,bai'tuo
摆脱敌人,bai'tuo'di'ren
摆脱干扰,bai'tuo'gan'rao
摆脱突击,bai'tuo'tu'ji
百万分之一,bai'wan'fen'zhi'yi
百万军队,bai'wan'jun'dui
百万雄师,bai'wan'xiong'shi
摆下擂台,bai'xia'lei'tai
败下阵来,bai'xia'zhen'lai
败象,bai'xiang
柏乡之战,bai'xiang'zhi'zhan
白彦,bai'yan
白烟,bai'yan
白洋淀,bai'yang'dian
百叶窗,bai'ye'chuang
败于,bai'yu
败于信息,bai'yu'xin'xi
百战百胜,bai'zhan'bai'sheng
百战不殆,bai'zhan'bu'dai
败战计,bai'zhan'ji
百战奇法,bai'zhan'qi'fa
百战奇略,bai'zhan'qi'lue
拜占庭,bai'zhan'ting
败仗,bai'zhang
白庄,bai'zhuang
班堡,ban'bao
半辈子,ban'bei'zi
班兵力,ban'bing'li
半波,ban'bo
半波天线,ban'bo'tian'xian
半潮,ban'chao
班超,ban'chao
半潮面,ban'chao'mian
半持久,ban'chi'jiu
半岛,ban'dao
班的,ban'de
半地下,ban'di'xia
半地下式,ban'di'xia'shi
斑点图案,ban'dian'tu'an
半渡而击,ban'du'er'ji
半渡击,ban'du'ji
班队列,ban'dui'lie
绊发,ban'fa
颁发,ban'fa
绊发地雷,ban'fa'di'lei
绊发雷,ban'fa'lei
绊发线,ban'fa'xian
伴飞,ban'fei
半封建,ban'feng'jian
班副,ban'fu
办公室,ban'gong'shi
半固定,ban'gu'ding
半挂车,ban'gua'che
半滚,ban'gun
伴航,ban'hang
拌合机,ban'he'ji
班横队,ban'heng'dui
班火力,ban'huo'li
扳机,ban'ji
半基点,ban'ji'dian
半击发,ban'ji'fa
扳机尾,ban'ji'wei
半机械化,ban'ji'xie'hua
半机翼,ban'ji'yi
班教练,ban'jiao'lian
半截子工程,ban'jie'zi'gong'cheng
班进攻,ban'jin'gong
半距,ban'ju
半快滚,ban'kuai'gun
班里,ban'li
伴流,ban'liu
半履带式,ban'lv'dai'shi
半慢滚,ban'man'gun
班排,ban'pai
搬起石头,ban'qi'shi'tou
半潜,ban'qian
半潜状态,ban'qian'zhuang'tai
半全向干扰,ban'quan'xiang'gan'rao
绊上,ban'shang
半伤害,ban'shang'hai
班哨,ban'shao
班师,ban'shi
办事处,ban'shi'chu
办事机构,ban'shi'ji'gou
半失速,ban'shi'su
半衰期,ban'shuai'qi
半衰弱层,ban'shuai'ruo'ceng
半速,ban'su
伴随保障,ban'sui'bao'zhang
伴随护航,ban'sui'hu'hang
伴随式,ban'sui'shi
伴随效应,ban'sui'xiao'ying
伴随修理,ban'sui'xiu'li
绊索,ban'suo
半套,ban'tao
半拖车,ban'tuo'che
半拖车型,ban'tuo'che'xing
绊网,ban'wang
班务会,ban'wu'hui
绊线,ban'xian
绊线轴,ban'xian'zhou
办校方针,ban'xiao'fang'zhen
半掩蔽地,ban'yan'bi'di
半掩盖,ban'yan'gai
半仰卧,ban'yang'wo
半翼,ban'yi
半硬式,ban'ying'shi
班用,ban'yong
班用电台,ban'yong'dian'tai
半永久,ban'yong'jiu
半永久性,ban'yong'jiu'xing
班用轻机枪,ban'yong'qing'ji'qiang
半有源,ban'you'yuan
板垣师团,ban'yuan'shi'tuan
半圆形,ban'yuan'xing
搬运夫,ban'yun'fu
班长,ban'zhang
半遮蔽,ban'zhe'bi
半遮蔽阵地,ban'zhe'bi'zhen'di
半直接,ban'zhi'jie
半直接瞄准,ban'zhi'jie'miao'zhun
半殖民地,ban'zhi'min'di
半致死,ban'zhi'si
半致死剂量,ban'zhi'si'ji'liang
半舟,ban'zhou
半周期,ban'zhou'qi
半主动,ban'zhu'dong
半主动式,ban'zhu'dong'shi
绊桩,ban'zhuang
半装甲,ban'zhuang'jia
半装药,ban'zhuang'yao
半自动,ban'zi'dong
半自动寻的,ban'zi'dong'xun'de
班自为战,ban'zi'wei'zhan
半自主,ban'zi'zhu
班纵队,ban'zong'dui
帮厨,bang'chu
帮带,bang'dai
绑带,bang'dai
绑架,bang'jia
绑架案,bang'jia'an
绑票,bang'piao
绑腿,bang'tui
绑腿带,bang'tui'dai
帮凶军,bang'xiong'jun
帮学助训,bang'xue'zhu'xun
保安部队,bao'an'bu'dui
保安处,bao'an'chu
保安队,bao'an'dui
保安警察,bao'an'jing'cha
保安司令,bao'an'si'ling
保安团,bao'an'tuan
报靶员,bao'ba'yuan
包抄,bao'chao
保持,bao'chi
保持队形,bao'chi'dui'xing
保持舵位,bao'chi'duo'wei
保持高度,bao'chi'gao'du
保持空域,bao'chi'kong'yu
保持通信,bao'chi'tong'xin
保持楔形,bao'chi'xie'xing
保持行进,bao'chi'xing'jin
报仇,bao'chou
报仇雪恨,bao'chou'xue'hen
宝船,bao'chuan
保存,bao'cun
保存军力,bao'cun'jun'li
保存力量,bao'cun'li'liang
保存实力,bao'cun'shi'li
保存自己,bao'cun'zi'ji
报到站,bao'dao'zhan
保定,bao'ding
暴动,bao'dong
爆发,bao'fa
爆发后,bao'fa'hou
爆发激战,bao'fa'ji'zhan
爆发前,bao'fa'qian
爆发前夕,bao'fa'qian'xi
爆发时间,bao'fa'shi'jian
爆发战争,bao'fa'zhan'zheng
报废,bao'fei
报废率,bao'fei'lv
报废制度,bao'fei'zhi'du
报废装备,bao'fei'zhuang'bei
暴风雪,bao'feng'xue
暴风雨,bao'feng'yu
报复,bao'fu
报复力量,bao'fu'li'liang
报复性,bao'fu'xing
报复性打击,bao'fu'xing'da'ji
报复性行动,bao'fu'xing'xing'dong
报复战略,bao'fu'zhan'lue
报复作战,bao'fu'zuo'zhan
报告,bao'gao
爆高,bao'gao
报告表,bao'gao'biao
报告会,bao'gao'hui
报告卡片,bao'gao'ka'pian
报告情况,bao'gao'qing'kuang
报告团,bao'gao'tuan
报告文书,bao'gao'wen'shu
报告文学,bao'gao'wen'xue
报告要图,bao'gao'yao'tu
保管期,bao'guan'qi
保管员,bao'guan'yuan
报国,bao'guo
饱和度,bao'he'du
饱和干扰物,bao'he'gan'rao'wu
饱和攻击,bao'he'gong'ji
饱和轰击,bao'he'hong'ji
饱和轰炸,bao'he'hong'zha
饱和空袭,bao'he'kong'xi
保和平,bao'he'ping
爆轰,bao'hong
爆轰波,bao'hong'bo
爆后,bao'hou
保护层,bao'hu'ceng
保护电路,bao'hu'dian'lu
保护法,bao'hu'fa
保护工作,bao'hu'gong'zuo
保护国,bao'hu'guo
保护居民,bao'hu'ju'min
保护军人,bao'hu'jun'ren
保护迷彩,bao'hu'mi'cai
保护区域,bao'hu'qu'yu
保护染色,bao'hu'ran'se
保护人民,bao'hu'ren'min
保护伞,bao'hu'san
保护色,bao'hu'se
保护神,bao'hu'shen
保护套,bao'hu'tao
保护网,bao'hu'wang
保护系统,bao'hu'xi'tong
保护证,bao'hu'zheng
保护支援,bao'hu'zhi'yuan
保护装置,bao'hu'zhuang'zhi
报话器,bao'hua'qi
报话员,bao'hua'yuan
爆火药,bao'huo'yao
保驾护航,bao'jia'hu'hang
保甲连坐,bao'jia'lian'zuo
保家卫国,bao'jia'wei'guo
包饺子,bao'jiao'zi
报进度,bao'jin'du
报警,bao'jing
报警控制,bao'jing'kong'zhi
报警器,bao'jing'qi
报警器材,bao'jing'qi'cai
报警设备,bao'jing'she'bei
报警系统,bao'jing'xi'tong
报警仪器,bao'jing'yi'qi
报警装置,bao'jing'zhuang'zhi
包了饺子,bao'le'jiao'zi
堡垒,bao'lei
堡垒思想,bao'lei'si'xiang
暴力,bao'li
暴力革命,bao'li'ge'ming
暴力工具,bao'li'gong'ju
暴力活动,bao'li'huo'dong
暴力手段,bao'li'shou'duan
爆裂,bao'lie
暴露,bao'lu
暴露部分,bao'lu'bu'fen
暴露目标,bao'lu'mu'biao
暴露人员,bao'lu'ren'yuan
暴露式,bao'lu'shi
暴露翼侧,bao'lu'yi'ce
暴露阵地,bao'lu'zhen'di
暴露征候,bao'lu'zheng'hou
暴乱,bao'luan
暴乱分子,bao'luan'fen'zi
保密,bao'mi
保密材料,bao'mi'cai'liao
保密处理,bao'mi'chu'li
保密措施,bao'mi'cuo'shi
保密电话,bao'mi'dian'hua
保密分析,bao'mi'fen'xi
保密干部,bao'mi'gan'bu
保密工具,bao'mi'gong'ju
保密工作,bao'mi'gong'zuo
保密管理,bao'mi'guan'li
保密后勤,bao'mi'hou'qin
保密话网,bao'mi'hua'wang
保密机,bao'mi'ji
保密纪律,bao'mi'ji'lv
保密检查,bao'mi'jian'cha
保密监督,bao'mi'jian'du
保密监听,bao'mi'jian'ting
保密教育,bao'mi'jiao'yu
保密局,bao'mi'ju
保密局网,bao'mi'ju'wang
保密刊物,bao'mi'kan'wu
保密模块,bao'mi'mo'kuai
保密能力,bao'mi'neng'li
保密设备,bao'mi'she'bei
保密室,bao'mi'shi
保密守则,bao'mi'shou'ze
保密条例,bao'mi'tiao'li
保密通道,bao'mi'tong'dao
保密通话,bao'mi'tong'hua
保密通信,bao'mi'tong'xin
保密委员会,bao'mi'wei'yuan'hui
保密文件,bao'mi'wen'jian
保密性,bao'mi'xing
保密意识,bao'mi'yi'shi
保密员,bao'mi'yuan
保密责任,bao'mi'ze'ren
保密制度,bao'mi'zhi'du
保密装备,bao'mi'zhuang'bei
保密装置,bao'mi'zhuang'zhi
保南战役,bao'nan'zhan'yi
保暖,bao'nuan
爆破,bao'po
爆破场,bao'po'chang
爆破带,bao'po'dai
爆破弹,bao'po'dan
爆破弹头,bao'po'dan'tou
爆破地带,bao'po'di'dai
爆破段,bao'po'duan
爆破队,bao'po'dui
爆破法,bao'po'fa
爆破工程,bao'po'gong'cheng
爆破公司,bao'po'gong'si
爆破罐,bao'po'guan
爆破滚筒,bao'po'gun'tong
爆破目标,bao'po'mu'biao
爆破器,bao'po'qi
爆破器材,bao'po'qi'cai
爆破枪弹,bao'po'qiang'dan
爆破任务,bao'po'ren'wu
爆破扫雷,bao'po'sao'lei
爆破杀伤,bao'po'sha'shang
爆破时间,bao'po'shi'jian
爆破手,bao'po'shou
爆破筒,bao'po'tong
爆破效果,bao'po'xiao'guo
爆破压力,bao'po'ya'li
爆破药,bao'po'yao
爆破药块,bao'po'yao'kuai
爆破英雄,bao'po'ying'xiong
爆破炸药,bao'po'zha'yao
爆破侦察,bao'po'zhen'cha
爆破装具,bao'po'zhuang'ju
爆破装药,bao'po'zhuang'yao
爆破装置,bao'po'zhuang'zhi
爆破组,bao'po'zu
爆破作业,bao'po'zuo'ye
爆破作用,bao'po'zuo'yong
爆前,bao'qian
爆区,bao'qu
爆燃,bao'ran
爆深,bao'shen
报实力,bao'shi'li
保守,bao'shou
保守地方,bao'shou'di'fang
保守国家,bao'shou'guo'jia
保守秘密,bao'shou'mi'mi
保守主义,bao'shou'zhu'yi
报数,bao'shu
报私仇,bao'si'chou
爆速,bao'su
爆胎,bao'tai
保卫,bao'wei
包围,bao'wei
保卫北京,bao'wei'bei'jing
保卫处,bao'wei'chu
保卫处长,bao'wei'chu'chang
包围封锁,bao'wei'feng'suo
保卫干事,bao'wei'gan'shi
保卫工作,bao'wei'gong'zuo
保卫国家,bao'wei'guo'jia
保卫和平,bao'wei'he'ping
保卫黄河,bao'wei'huang'he
保卫京师,bao'wei'jing'shi
保卫局,bao'wei'ju
保卫目标,bao'wei'mu'biao
包围圈,bao'wei'quan
保卫全中国,bao'wei'quan'zhong'guo
保卫人民,bao'wei'ren'min
保卫任务,bao'wei'ren'wu
包围上去,bao'wei'shang'qu
保卫系统,bao'wei'xi'tong
包围线,bao'wei'xian
保卫延安,bao'wei'yan'an
包围迂回,bao'wei'yu'hui
保卫战,bao'wei'zhan
包围之敌,bao'wei'zhi'di
包围之势,bao'wei'zhi'shi
包围之中,bao'wei'zhi'zhong
保卫组,bao'wei'zu
保卫祖国,bao'wei'zu'guo
报文,bao'wen
报务员,bao'wu'yuan
保险,bao'xian
保险备炸,bao'xian'bei'zha
保险叉,bao'xian'cha
保险程度,bao'xian'cheng'du
保险带,bao'xian'dai
保险道,bao'xian'dao
保险管,bao'xian'guan
保险机,bao'xian'ji
保险机构,bao'xian'ji'gou
保险夹,bao'xian'jia
保险块,bao'xian'kuai
保险片,bao'xian'pian
保险器,bao'xian'qi
保险期,bao'xian'qi
保险时间,bao'xian'shi'jian
保险栓,bao'xian'shuan
保险丝,bao'xian'si
保险销,bao'xian'xiao
保险引信,bao'xian'yin'xin
保险针,bao'xian'zhen
保险装置,bao'xian'zhuang'zhi
报销,bao'xiao
爆心,bao'xin
爆心投影,bao'xin'tou'ying
保养,bao'yang
保养场,bao'yang'chang
保养工作,bao'yang'gong'zuo
保养机制,bao'yang'ji'zhi
保养间,bao'yang'jian
保养连,bao'yang'lian
保养制度,bao'yang'zhi'du
保养质量,bao'yang'zhi'liang
保养中队,bao'yang'zhong'dui
保义,bao'yi
报一次进度,bao'yi'ci'jin'du
爆音,bao'yin
爆音区,bao'yin'qu
包扎,bao'za
包扎所,bao'za'suo
包扎站,bao'za'zhan
爆炸,bao'zha
爆炸案,bao'zha'an
爆炸半径,bao'zha'ban'jing
爆炸波,bao'zha'bo
爆炸成形,bao'zha'cheng'xing
爆炸冲击波,bao'zha'chong'ji'bo
爆炸处理,bao'zha'chu'li
爆炸带,bao'zha'dai
爆炸地区,bao'zha'di'qu
爆炸点,bao'zha'dian
爆炸范围,bao'zha'fan'wei
爆炸方式,bao'zha'fang'shi
爆炸高度,bao'zha'gao'du
爆炸荷载,bao'zha'he'zai
爆炸后,bao'zha'hou
爆炸距离,bao'zha'ju'li
爆炸气浪,bao'zha'qi'lang
爆炸前,bao'zha'qian
