安得广厦千万间,an'de'guang'sha'qian'wan'jian
蜡炬成灰泪始干,la'ju'cheng'hui'lei'shi'gan
来从楚国游,lai'cong'chu'guo'you
老大徒伤悲,lao'da'tu'shang'bei
老夫聊发少年狂,lao'fu'liao'fa'shao'nian'kuang
老骥伏枥,lao'ji'fu'li
劳其筋骨,lao'qi'jin'gu
李杜诗篇万古传,li'du'shi'pian'wan'gu'chuan
理还乱,li'hai'luan
力尽不知热,li'jin'bu'zhi're
吏禄三百石,li'lu'san'bai'dan
帘卷西风,lian'juan'xi'feng
两三点雨山前,liang'san'dian'yu'shan'qian
了却君王天下事,liao'que'jun'wang'tian'xia'shi
烈士暮年,lie'shi'mu'nian
零丁洋里叹零丁,ling'ding'yang'li'tan'ling'ding
零落成泥碾作尘,ling'luo'cheng'ni'nian'zuo'chen
灵旗空际看,ling'qi'kong'ji'kan
柳暗花明又一村,liu'an'hua'ming'you'yi'cun
留取丹心照汗青,liu'qu'dan'xin'zhao'han'qing
路转溪头忽见,lu'zhuan'xi'tou'hu'jian
乱花渐欲迷人眼,luan'hua'jian'yu'mi'ren'yan
乱我心者,luan'wo'xin'zhe
轮台东门送君去,lun'tai'dong'men'song'jun'qu
落红不是无情物,luo'hong'bu'shi'wu'qing'wu
落花时节又逢君,luo'hua'shi'jie'you'feng'jun
绿树村边合,lv'shu'cun'bian'he
绿杨阴里白沙堤,lv'yang'yin'li'bai'sha'di
马作的卢飞快,ma'zuo'di'lu'fei'kuai
茅飞渡江洒江郊,mao'fei'du'jiang'sa'jiang'jiao
茅屋为秋风所破歌,mao'wu'wei'qiu'feng'suo'po'ge
门前流水尚能西,men'qian'liu'shui'shang'neng'xi
梦回吹角连营,meng'hui'chui'jiao'lian'ying
蒙络摇缀,meng'luo'yao'zhui
明月别枝惊鹊,ming'yue'bie'zhi'jing'que
明月来相照,ming'yue'lai'xiang'zhao
明朝散发弄扁舟,ming'zhao'san'fa'nong'pian'zhou
莫道不消魂,mo'dao'bu'xiao'hun
脉脉不得语,mo'mo'bu'de'yu
莫笑农家腊酒浑,mo'xiao'nong'jia'la'jiu'hun
莫言下岭便无难,mo'yan'xia'ling'bian'wu'nan
南朝四百八十寺,nan'chao'si'bai'ba'shi'si
南村群童欺我老无力,nan'cun'qun'tong'qi'wo'lao'wu'li
念此私自愧,nian'ci'si'zi'kui
念天地之悠悠,nian'tian'di'zhi'you'you
鸟向檐上飞,niao'xiang'yan'shang'fei
蓬莱此去无多路,peng'lai'ci'qu'wu'duo'lu
蓬莱文章建安骨,peng'lai'wen'zhang'jian'an'gu
七八个星天外,qi'ba'ge'xing'tian'wai
其不善者而改之,qi'bu'shan'zhe'er'gai'zhi
齐鲁青未了,qi'lu'qing'wei'liao
泣涕零如雨,qi'ti'ling'ru'yu
岐王宅里寻常见,qi'wang'zhai'li'xun'chang'jian
弃我去者,qi'wo'qu'zhe
气蒸云梦泽,qi'zheng'yun'meng'ze
前不见古人,qian'bu'jian'gu'ren
浅草才能没马蹄,qian'cao'cai'neng'mo'ma'ti
千里共婵娟,qian'li'gong'chan'juan
千里马常有,qian'li'ma'chang'you
千里莺啼绿映红,qian'li'ying'ti'lv'ying'hong
阡陌交通,qian'mo'jiao'tong
千骑卷平冈,qian'qi'juan'ping'gang
千树万树梨花开,qian'shu'wan'shu'li'hua'kai
千嶂里,qian'zhang'li
羌管悠悠霜满地,qiang'guan'you'you'shuang'man'di
妾之美我者,qie'zhi'mei'wo'zhe
亲射虎,qin'she'hu
亲贤臣,qin'xian'chen
亲小人,qin'xiao'ren
青草池塘处处蛙,qing'cao'chi'tang'chu'chu'wa
清晨入古寺,qing'chen'ru'gu'si
晴川历历汉阳树,qing'chuan'li'li'han'yang'shu
清风半夜鸣蝉,qing'feng'ban'ye'ming'chan
青鸟殷勤为探看,qing'niao'yin'qin'wei'tan'kan
青青园中葵,qing'qing'yuan'zhong'kui
青山独归远,qing'shan'du'gui'yuan
青山郭外斜,qing'shan'guo'wai'xie
青树翠蔓,qing'shu'cui'man
秋风萧瑟,qiu'feng'xiao'se
秋天漠漠向昏黑,qiu'tian'mo'mo'xiang'hun'hei
去年天气旧亭台,qu'nian'tian'qi'jiu'ting'tai
去时雪满天山路,qu'shi'xue'man'tian'shan'lu
劝君更尽一杯酒,quan'jun'geng'jin'yi'bei'jiu
却话巴山夜雨时,que'hua'ba'shan'ye'yu'shi
然后有千里马,ran'hou'you'qian'li'ma
人比黄花瘦,ren'bi'huang'hua'shou
人不寐,ren'bu'mei
忍能对面为盗贼,ren'neng'dui'mian'wei'dao'zei
人生在世不称意,ren'sheng'zai'shi'bu'chen'yi
人生自古谁无死,ren'sheng'zi'gu'shui'wu'si
人有悲欢离合,ren'you'bei'huan'li'he
仍怜故乡水,reng'lian'gu'xiang'shui
日暮乡关何处是,ri'mu'xiang'guan'he'chu'shi
日月之行,ri'yue'zhi'xing
如今已觉不新鲜,ru'jin'yi'jue'bu'xin'xian
瑞脑消金兽,rui'nao'xiao'jin'shou
若出其里,ruo'chu'qi'li
若出其中,ruo'chu'qi'zhong
塞上燕脂凝夜紫,sai'shang'yan'zhi'ning'ye'zi
塞下秋来风景异,sai'xia'qiu'lai'feng'jing'yi
三而竭,san'er'jie
三年羁旅客,san'nian'ji'lv'ke
三人行,san'ren'xing
散入珠帘湿罗幕,san'ru'zhu'lian'shi'luo'mu
沙场秋点兵,sha'chang'qiu'dian'bing
山不在高有仙则名,shan'bu'zai'gao'you'xian'ze'ming
山重水复疑无路,shan'chong'shui'fu'yi'wu'lu
山岛竦峙,shan'dao'song'zhi
山光悦鸟性,shan'guang'yue'niao'xing
山河表里潼关路,shan'he'biao'li'tong'guan'lu
山河破碎风飘絮,shan'he'po'sui'feng'piao'xu
山回路转不见君,shan'hui'lu'zhuan'bu'jian'jun
山际见来烟,shan'ji'jian'lai'yan
山坡羊潼关怀古,shan'po'yang'tong'guan'huai'gu
山气日夕佳,shan'qi'ri'xi'jia
山随平野尽,shan'sui'ping'ye'jin
山下兰芽短浸溪,shan'xia'lan'ya'duan'jin'xi
山中杂诗,shan'zhong'za'shi
尚思为国戍轮台,shang'si'wei'guo'shu'lun'tai
伤心秦汉经行处,shang'xin'qin'han'jing'xing'chu
上有黄鹂深树鸣,shang'you'huang'li'shen'shu'ming
少小离家老大回,shao'xiao'li'jia'lao'da'hui
少壮不努力,shao'zhuang'bu'nu'li
舍生而取义者也,she'sheng'er'qu'yi'zhe'ye
射天狼,she'tian'lang
舍鱼而取熊掌者也,she'yu'er'qu'xiong'zhang'zhe'ye
神龟虽寿,shen'gui'sui'shou
深林人不知,shen'lin'ren'bu'zhi
身世浮沉雨打萍,shen'shi'fu'chen'yu'da'ping
生亦我所欲也,sheng'yi'wo'suo'yu'ye
拾此充饥肠,shi'ci'chong'ji'chang
是离愁,shi'li'chou
十一月四日风雨大作,shi'yi'yue'si'ri'feng'yu'da'zuo
世有伯乐,shi'you'bo'le
是知也,shi'zhi'ye
手指不可屈伸,shou'zhi'bu'ke'qu'shen
树木丛生,shu'mu'cong'sheng
数声风笛离亭晚,shu'sheng'feng'di'li'ting'wan
霜重鼓寒声不起,shuang'zhong'gu'han'sheng'bu'qi
水不在深,shui'bu'zai'shen
水村山郭酒旗风,shui'cun'shan'guo'jiu'qi'feng
谁道人生无再少,shui'dao'ren'sheng'wu'zai'shao
水何澹澹,shui'he'dan'dan
谁家新燕啄春泥,shui'jia'xin'yan'zhuo'chun'ni
水面初平云脚低,shui'mian'chu'ping'yun'jiao'di
谁言天地宽,shui'yan'tian'di'kuan
水中藻荇交横,shui'zhong'zao'xing'jiao'heng
似曾相识燕归来,si'ceng'xiang'shi'yan'gui'lai
思而不学则殆,si'er'bu'xue'ze'dai
思君不见下渝州,si'jun'bu'jian'xia'yu'zhou
寺临兰溪,si'lin'lan'xi
四面边声连角起,si'mian'bian'sheng'lian'jiao'qi
私我也,si'wo'ye
松间沙路净无泥,song'jian'sha'lu'jing'wu'ni
送灵澈上人,song'ling'che'shang'ren
送元二使安西,song'yuan'er'shi'an'xi
溯洄从之,su'hui'cong'zhi
溯游从之,su'you'cong'zhi
随君直到夜郎西,sui'jun'zhi'dao'ye'lang'xi
岁晏有余粮,sui'yan'you'yu'liang
所谓伊人,suo'wei'yi'ren
所以动心忍性,suo'yi'dong'xin'ren'xing
弹琴复长啸,tan'qin'fu'chang'xiao
潭影空人心,tan'ying'kong'ren'xin
腾蛇乘雾,teng'she'cheng'wu
题破山寺后禅院,ti'po'shan'si'hou'chan'yuan
提携玉龙为君死,ti'xie'yu'long'wei'jun'si
天大寒,tian'da'han
天光云影共徘徊,tian'guang'yun'ying'gong'pai'huai
田家少闲月,tian'jia'shao'xian'yue
天街小雨润如酥,tian'jie'xiao'yu'run'ru'su
天净沙秋思,tian'jing'sha'qiu'si
天涯若比邻,tian'ya'ruo'bi'lin
迢迢牵牛星,tiao'tiao'qian'niu'xing
铁马冰河入梦来,tie'ma'bing'he'ru'meng'lai
听其相顾言,ting'qi'xiang'gu'yan
听取蛙声一片,ting'qu'wa'sheng'yi'pian
庭下如积水空明,ting'xia'ru'ji'shui'kong'ming
铜雀春深锁二乔,tong'que'chun'shen'suo'er'qiao
同是宦游人,tong'shi'huan'you'ren
童稚携壶浆,tong'zhi'xie'hu'jiang
徒有羡鱼情,tu'you'xian'yu'qing
万籁此俱寂,wan'lai'ci'ju'ji
万里送行舟,wan'li'song'xing'zhou
万物生光辉,wan'wu'sheng'guang'hui
宛在水中坻,wan'zai'shui'zhong'di
宛在水中央,wan'zai'shui'zhong'yang
宛在水中沚,wan'zai'shui'zhong'zhi
亡百姓苦,wang'bai'xing'ku
望洞庭赠张丞相,wang'dong'ting'zeng'zhang'cheng'xiang
望西都,wang'xi'du
望岳,wang'yue
为陈同甫赋壮词以寄之,wei'chen'tong'fu'fu'zhuang'ci'yi'ji'zhi
渭城朝雨浥轻尘,wei'cheng'zhao'yu'yi'qing'chen
畏我也,wei'wo'ye
为有源头活水来,wei'you'yuan'tou'huo'shui'lai
闻道龙标过五溪,wen'dao'long'biao'guo'wu'xi
温故而知新,wen'gu'er'zhi'xin
问君何能尔,wen'jun'he'neng'er
问渠那得清如许,wen'qu'na'de'qing'ru'xu
闻说鸡鸣见日升,wen'shuo'ji'ming'jian'ri'sheng
闻王昌龄左迁龙标遥有此寄,wen'wang'chang'ling'zuo'qian'long'biao'yao'you'ci'ji
闻者为悲伤,wen'zhe'wei'bei'shang
我歌月徘徊,wo'ge'yue'pai'huai
我寄愁心与明月,wo'ji'chou'xin'yu'ming'yue
我舞影零乱,wo'wu'ying'ling'luan
呜呼,wu'hu
无可奈何花落去,wu'ke'nai'he'hua'luo'qu
吾庐独破受冻死亦足,wu'lu'du'po'shou'dong'si'yi'zu
吾妻之美我者,wu'qi'zhi'mei'wo'zhe
误入藕花深处,wu'ru'ou'hua'shen'chu
五十弦翻塞外声,wu'shi'xian'fan'sai'wai'sheng
勿施于人,wu'shi'yu'ren
无为在歧路,wu'wei'zai'qi'lu
无限山河泪,wu'xian'shan'he'lei
无意苦争春,wu'yi'ku'zheng'chun
五月人倍忙,wu'yue'ren'bei'mang
西北望,xi'bei'wang
西出阳关无故人,xi'chu'yang'guan'wu'gu'ren
西江月,xi'jiang'yue
夕露沾我衣,xi'lu'zhan'wo'yi
昔人已乘黄鹤去,xi'ren'yi'cheng'huang'he'qu
溪水西流,xi'shui'xi'liu
夕阳西下,xi'yang'xi'xia
夕阳西下几时回,xi'yang'xi'xia'ji'shi'hui
下者飘转沉塘坳,xia'zhe'piao'zhuan'chen'tang'ao
闲敲棋子落灯花,xian'qiao'qi'zi'luo'deng'hua
先天下之忧而忧,xian'tian'xia'zhi'you'er'you
纤纤擢素手,xian'xian'zhuo'su'shou
相见时难别也难,xiang'jian'shi'nan'bie'ye'nan
相见时难别亦难,xiang'jian'shi'nan'bie'yi'nan
相期邈云汉,xiang'qi'miao'yun'han
相去复几许,xiang'qu'fu'ji'xu
乡书何处达,xiang'shu'he'chu'da
相随饷田去,xiang'sui'xiang'tian'qu
乡音无改鬓毛衰,xiang'yin'wu'gai'bin'mao'shuai
箫鼓追随春社近,xiao'gu'zhui'sui'chun'she'jin
晓镜但愁云鬓改,xiao'jing'dan'chou'yun'bin'gai
小麦覆陇黄,xiao'mai'fu'long'huang
小桥流水人家,xiao'qiao'liu'shui'ren'jia
笑问客从何处来,xiao'wen'ke'cong'he'chu'lai
潇潇暮雨子规啼,xiao'xiao'mu'yu'zi'gui'ti
小园香径独徘徊,xiao'yuan'xiang'jing'du'pai'huai
辛苦遭逢起一经,xin'ku'zao'feng'qi'yi'jing
心远地自偏,xin'yuan'di'zi'pian
兴百姓苦,xing'bai'xing'ku
行拂乱其所为,xing'fu'luan'qi'suo'wei
星汉灿烂,xing'han'can'lan
兴尽晚回舟,xing'jin'wan'hui'zhou
行乐须及春,xing'le'xu'ji'chun
幸甚至哉,xing'shen'zhi'zai
醒时同交欢,xing'shi'tong'jiao'huan
行舟绿水前,xing'zhou'lv'shui'qian
熊掌亦我所欲也,xiong'zhang'yi'wo'suo'yu'ye
休将白发唱黄鸡,xiu'jiang'bai'fa'chang'huang'ji
宣州谢朓楼饯别校书叔云,xuan'zhou'xie'tiao'lou'jian'bie'xiao'shu'shu'yun
学而不思则罔,xue'er'bu'si'ze'wang
学而时习之,xue'er'shi'xi'zhi
雪上空留马行处,xue'shang'kong'liu'ma'xing'chu
砚冰坚,yan'bing'jian
烟波江上使人愁,yan'bo'jiang'shang'shi'ren'chou
雁门太守行,yan'men'tai'shou'xing
燕然未勒归无计,yan'ran'wei'le'gui'wu'ji
阳春布德泽,yang'chun'bu'de'ze
扬花愁杀渡江人,yang'hua'chou'sha'du'jiang'ren
杨花落尽子规啼,yang'hua'luo'jin'zi'gui'ti
养怡之福,yang'yi'zhi'fu
扬子江头杨柳春,yang'zi'jiang'tou'yang'liu'chun
窈窕淑女,yao'tiao'shu'nv
邀我至田家,yao'wo'zhi'tian'jia
杳杳钟声晚,yao'yao'zhong'sheng'wan
野渡无人舟自横,ye'du'wu'ren'zhou'zi'heng
夜发清溪向三峡,ye'fa'qing'xi'xiang'san'xia
夜家新燕啄春泥,ye'jia'xin'yan'zhuo'chun'ni
夜来南风起,ye'lai'nan'feng'qi
夜阑卧听风吹雨,ye'lan'wo'ting'feng'chui'yu
夜吟应觉月光寒,ye'yin'ying'jue'yue'guang'han
夜雨寄北,ye'yu'ji'bei
意踌蹰,yi'chou'chu
一鼓作气,yi'gu'zuo'qi
以观沧海,yi'guan'cang'hai
衣冠简朴古风存,yi'guan'jian'pu'gu'feng'cun
