阿婆,a'po
赤新村,chi'xin'cun
吃鱼的不怕鱼腥,chi'yu'de'bu'pa'yu'xing
虫蚁,chong'yi
抽逼,chou'bi
抽糊学,chou'hu'xue
出宝,chu'bao
除草剂,chu'cao'ji
处处,chu'chu
楚江村,chu'jiang'cun
出六滴,chu'liu'di
出乱子,chu'luan'zi
出门看天色进门看脸色,chu'men'kan'tian'se'jin'men'kan'lian'se
锄头,chu'tou
楚沩社区,chu'wei'she'qu
出洋相,chu'yang'xiang
出鱼,chu'yu
串亲戚,chuan'qin'qi
串通一气,chuan'tong'yi'qi
闯祸,chuang'huo
床铺,chuang'pu
吹火筒,chui'huo'tong
炊帚,chui'zhou
蠢得死,chun'de'si
戳把子,chuo'ba'zi
此仇不报非君子,ci'chou'bu'bao'fei'jun'zi
刺孙子,ci'sun'zi
从虎者应无善兽,cong'hu'zhe'ying'wu'shan'shou
聪明不可用尽,cong'ming'bu'ke'yong'jin
聪明反被聪明误,cong'ming'fan'bei'cong'ming'wu
聪明偏受聪明苦,cong'ming'pian'shou'cong'ming'ku
从善如登从恶如崩,cong'shan'ru'deng'cong'e'ru'beng
凑热闹,cou're'nao
粗柳簸箕细柳斗,cu'liu'bo'ji'xi'liu'dou
汆丸子,cuan'wan'zi
崔坪,cui'ping
崔坪村,cui'ping'cun
寸铁入木九牛难拔,cun'tie'ru'mu'jiu'niu'nan'ba
村无大树蓬蒿为林,cun'wu'da'shu'peng'hao'wei'lin
存心无大小积德不嫌多,cun'xin'wu'da'xiao'ji'de'bu'xian'duo
撮把子,cuo'ba'zi
撮哒,cuo'da
撮起克哒,cuo'qi'ke'da
撮汤锅子,cuo'tang'guo'zi
锉子,cuo'zi
打扮乖一时乖,da'ban'guai'yi'shi'guai
打板子,da'ban'zi
打抱秋,da'bao'qiu
打别港,da'bie'gang
大病用功小病用药,da'bing'yong'gong'xiao'bing'yong'yao
打不断的亲骂不断的邻,da'bu'duan'de'qin'ma'bu'duan'de'lin
大不了,da'bu'liao
大成桥,da'cheng'qiao
大成桥村,da'cheng'qiao'cun
大虫不吃伏肉,da'chong'bu'chi'fu'rou
打得火热,da'de'huo're
打得满地找牙,da'de'man'di'zhao'ya
打的,da'di
打垫子,da'dian'zi
打屌胯,da'diao'kua
打盹,da'dun
打粉子,da'fen'zi
打嗝,da'ge
打工仔,da'gong'zai
打谷,da'gu
打滚,da'gun
打哈哈,da'ha'ha
打哈欠,da'ha'qian
打嗨港,da'hai'gang
大红村,da'hong'cun
大后天,da'hou'tian
大话喧天,da'hua'xuan'tian
大嚼畅饮,da'jiao'chang'yin
打交道,da'jiao'dao
打冷战,da'leng'zhan
打良心讲,da'liang'xin'jiang
打流,da'liu
大龙村,da'long'cun
打乱港,da'luan'gang
打米,da'mi
大蔑箩,da'mie'luo
打蔫儿,da'nian'er
打屁虫,da'pi'chong
打圈子,da'quan'zi
大人望插田小孩望过年,da'ren'wang'cha'tian'xiao'hai'wang'guo'nian
大人子挂记崽女路来长,da'ren'zi'gua'ji'zai'nv'lu'lai'chang
大傻冒,da'sha'mao
大事大约小事小心,da'shi'da'yue'xiao'shi'xiao'xin
打暑假工,da'shu'jia'gong
大田方,da'tian'fang
大田方村,da'tian'fang'cun
打通关节,da'tong'guan'jie
大头针,da'tou'zhen
打兔的不嫌兔多,da'tu'de'bu'xian'tu'duo
大屯营村,da'tun'ying'cun
大湾岭村,da'wan'ling'cun
大玺门,da'xi'men
大丈夫相时而动,da'zhang'fu'xiang'shi'er'dong
大丈夫志在四方,da'zhang'fu'zhi'zai'si'fang
大夫堂村,dai'fu'tang'cun
戴笼子,dai'long'zi
代人办事最难讨好,dai'ren'ban'shi'zui'nan'tao'hao
待人接物,dai'ren'jie'wu
戴以琳,dai'yi'lin
呆滞,dai'zhi
丹宝,dan'bao
单丝不成线独木不成林,dan'si'bu'cheng'xian'du'mu'bu'cheng'lin
耽误孩子是一代,dan'wu'hai'zi'shi'yi'dai
耽误庄稼是一季,dan'wu'zhuang'jia'shi'yi'ji
单者易折众则难摧,dan'zhe'yi'zhe'zhong'ze'nan'cui
当饭,dang'fan
道林,dao'lin
道林社区,dao'lin'she'qu
到那个山上唱那个歌,dao'na'ge'shan'shang'chang'na'ge'ge
到头来,dao'tou'lai
刀子嘴豆腐心,dao'zi'zui'dou'fu'xin
德行,de'xing
邓强,deng'qiang
邓向东,deng'xiang'dong
等一哈子,deng'yi'ha'zi
等一下子,deng'yi'xia'zi
籴米,di'mi
嗲嗲,dia'dia
点烛,dian'zhu
吊膀子,diao'bang'zi
屌屌,diao'diao
吊儿郎当,diao'er'lang'dang
屌呢,diao'ne
吊我胃口,diao'wo'wei'kou
吊孝,diao'xiao
跌眼镜,die'yan'jing
钉齿耙,ding'chi'ba
订婚,ding'hun
丢陀,diu'tuo
动不动,dong'bu'dong
东车村,dong'che'cun
东城丽都,dong'cheng'li'du
东城怡园,dong'cheng'yi'yuan
东湖塘,dong'hu'tang
东湖塘社区,dong'hu'tang'she'qu
东山村,dong'shan'cun
冬塘村,dong'tang'cun
洞庭村,dong'ting'cun
洞庭桥,dong'ting'qiao
东沩社区,dong'wei'she'qu
东务山,dong'wu'shan
斗气,dou'qi
蔸子潭村,dou'zi'tan'cun
蠹众则木折隙大而墙坏,du'zhong'ze'mu'zhe'xi'da'er'qiang'huai
肚子没心病不怕吃西瓜,du'zi'mei'xin'bing'bu'pa'chi'xi'gua
段家桥村,duan'jia'qiao'cun
端架子,duan'jia'zi
塅溪村,duan'xi'cun
对得起,dui'de'qi
对客不得嗔狗,dui'ke'bu'de'chen'gou
对门,dui'men
对牛弹琴牛不入耳,dui'niu'tan'qin'niu'bu'ru'er
对亲家,dui'qin'jia
对台戏,dui'tai'xi
堆资村,dui'zi'cun
躲得了和尚躲不了庙,duo'de'liao'he'shang'duo'bu'liao'miao
多个香炉多个鬼,duo'ge'xiang'lu'duo'ge'gui
多求不如省费,duo'qiu'bu'ru'sheng'fei
躲脱不是祸是祸躲不过,duo'tuo'bu'shi'huo'shi'huo'duo'bu'guo
多想出智慧,duo'xiang'chu'zhi'hui
多虚不如少实,duo'xu'bu'ru'shao'shi
多言众所忌,duo'yan'zhong'suo'ji
剁一刀,duo'yi'dao
多用兵不如巧用计,duo'yong'bing'bu'ru'qiao'yong'ji
屙巴巴,e'ba'ba
饿出来的见识,e'chu'lai'de'jian'shi
饿得死懒汉饿不死穷汉,e'de'si'lan'han'e'bu'si'qiong'han
恶惯不可满强壮不可恃,e'guan'bu'ke'man'qiang'zhuang'bu'ke'shi
饿了糖如蜜不饿蜜不甜,e'le'tang'ru'mi'bu'e'mi'bu'tian
恶龙不斗地头蛇,e'long'bu'dou'di'tou'she
娥眉是伐性的斧头,e'mei'shi'fa'xing'de'fu'tou
屙屎,e'shi
阿谀人人喜直言个个嫌,e'yu'ren'ren'xi'zhi'yan'ge'ge'xian
恶语伤人六月寒,e'yu'shang'ren'liu'yue'han
嗯咯,en'ge
嗯喽,en'lou
耳边风,er'bian'feng
儿不嫌母丑狗不嫌家贫,er'bu'xian'mu'chou'gou'bu'xian'jia'pin
儿不育不成人,er'bu'yu'bu'cheng'ren
二话不讲,er'hua'bu'jiang
二流子,er'liu'zi
耳旁风,er'pang'feng
二桥村,er'qiao'cun
二泉村,er'quan'cun
二十一二月到半夜,er'shi'yi'er'yue'dao'ban'ye
耳挖子,er'wa'zi
发标,fa'biao
发狠,fa'hen
发酒疯,fa'jiu'feng
发洋财,fa'yang'cai
翻跟头,fan'gen'tou
翻筋斗,fan'jin'dou
反了反了,fan'le'fan'le
繁荣村,fan'rong'cun
翻晒,fan'shai
放定,fang'ding
放翻,fang'fan
防人之心不可无,fang'ren'zhi'xin'bu'ke'wu
方向盘,fang'xiang'pan
汾华村,fen'hua'cun
奉承话,feng'cheng'hua
酆都鬼使,feng'du'gui'shi
凤凰村,feng'huang'cun
风凉话,feng'liang'hua
枫木村,feng'mu'cun
枫木桥,feng'mu'qiao
凤形山社区,feng'xing'shan'she'qu
佛大是坨泥,fo'da'shi'tuo'ni
福安村,fu'an'cun
扶冲村,fu'chong'cun
扶峰村,fu'feng'cun
富豪村,fu'hao'cun
富豪山庄,fu'hao'shan'zhuang
傅家冲村,fu'jia'chong'cun
傅家塘村,fu'jia'tang'cun
福建村,fu'jian'cun
付娟,fu'juan
付琳琳,fu'lin'lin
芙蓉村,fu'rong'cun
芙蓉山普济寺,fu'rong'shan'pu'ji'si
芙蓉寨村,fu'rong'zhai'cun
副食品,fu'shi'pin
罘罳村,fu'si'cun
罘罳峰,fu'si'feng
罘罳九都,fu'si'jiu'du
嘎白的,ga'bai'de
该别,gai'bie
该哈,gai'ha
该杂,gai'za
该杂别,gai'za'bie
该杂喽,gai'za'lou
甘江村,gan'jiang'cun
干末子,gan'mo'zi
甘泗淇,gan'si'qi
高华村,gao'hua'cun
搞喽的,gao'lou'de
搞猛哒,gao'meng'da
搞末子,gao'mo'zi
高山村,gao'shan'cun
搞双抢,gao'shuang'qiang
高田寺村,gao'tian'si'cun
高新村,gao'xin'cun
搞醉哒,gao'zui'da
个把月,ge'ba'yue
隔壁,ge'bi
各边,ge'bian
各哈,ge'ha
各里,ge'li
隔山冲村,ge'shan'chong'cun
各只,ge'zhi
跟屁虫,gen'pi'chong
公公,gong'gong
龚浩,gong'hao
龚华,gong'hua
龚宁,gong'ning
龚雪,gong'xue
龚艳,gong'yan
狗改不了吃屎,gou'gai'bu'liao'chi'shi
狗脑壳,gou'nao'ke
狗舌子,gou'she'zi
狗屎堆,gou'shi'dui
古古董董,gu'gu'dong'dong
牯牛,gu'niu
刮刮杂杂,gua'gua'za'za
刮喇喇,gua'la'la
刮脸皮,gua'lian'pi
刮瘦滴,gua'shou'di
怪不得,guai'bu'de
官山,guan'shan
关山村,guan'shan'cun
官山村,guan'shan'cun
关圣村,guan'sheng'cun
管它克,guan'ta'ke
关心村,guan'xin'cun
光溜溜,guang'liu'liu
广种不如狭收,guang'zhong'bu'ru'xia'shou
鬼把戏,gui'ba'xi
鬼扯腿,gui'che'tui
贵大爷,gui'da'ye
鬼搞子搞,gui'gao'zi'gao
贵气,gui'qi
贵人不涉险地,gui'ren'bu'she'xian'di
贵人多忘事,gui'ren'duo'wang'shi
贵人语迟,gui'ren'yu'chi
鬼五十七,gui'wu'shi'qi
鬼崽子,gui'zai'zi
滚出克,gun'chu'ke
滚烫,gun'tang
锅巴,guo'ba
国不可一日无君,guo'bu'ke'yi'ri'wu'jun
过得硬,guo'de'ying
过耳之言不可听信,guo'er'zhi'yan'bu'ke'ting'xin
过了这个村没有这个店,guo'le'zhe'ge'cun'mei'you'zhe'ge'dian
国难显忠臣,guo'nan'xian'zhong'chen
国清才子贵家富小儿骄,guo'qing'cai'zi'gui'jia'fu'xiao'er'jiao
过身,guo'shen
国无民何有君,guo'wu'min'he'you'jun
过细,guo'xi
国以民为本民以食为天,guo'yi'min'wei'ben'min'yi'shi'wei'tian
过杂,guo'za
国政易家政难,guo'zheng'yi'jia'zheng'nan
哈宝,ha'bao
哈得死,ha'de'si
哈登卵,ha'deng'luan
哈里哈气,ha'li'ha'qi
哈利油,ha'li'you
哈卵,ha'luan
蛤蟆蹦三蹦还要歇三歇,ha'ma'beng'san'beng'hai'yao'xie'san'xie
哈是的,ha'shi'de
海姐,hai'jie
海枯终见底人死不知心,hai'ku'zhong'jian'di'ren'si'bu'zhi'xin
海阔凭鱼跃天高任鸟飞,hai'kuo'ping'yu'yue'tian'gao'ren'niao'fei
还冇做,hai'mao'zuo
害人先害己,hai'ren'xian'hai'ji
害人之心不可有,hai'ren'zhi'xin'bu'ke'you
害臊,hai'sao
海水不可斗量,hai'shui'bu'ke'dou'liang
害羞,hai'xiu
孩子离开娘瓜儿离了秧,hai'zi'li'kai'niang'gua'er'li'le'yang
寒灰再焰枯木重荣,han'hui'zai'yan'ku'mu'zhong'rong
寒门生贵子白户出公卿,han'men'sheng'gui'zi'bai'hu'chu'gong'qing
憨头郎儿增福寿,han'tou'lang'er'zeng'fu'shou
含血喷人先污自口,han'xue'pen'ren'xian'wu'zi'kou
含冤目不辩终久见人心,han'yuan'mu'bu'bian'zhong'jiu'jian'ren'xin
行家看门道行外看热闹,hang'jia'kan'men'dao'heng'wai'kan're'nao
行家伸伸手便知有没有,hang'jia'shen'shen'shou'bian'zhi'you'mei'you
好吃如小赌,hao'chi'ru'xiao'du
好斗者必遇强敌,hao'dou'zhe'bi'yu'qiang'di
好多把多,hao'duo'ba'duo
好钢要使在刀刃上,hao'gang'yao'shi'zai'dao'ren'shang
好咯,hao'ge
好马不吃回头草,hao'ma'bu'chi'hui'tou'cao
好死不如赖活着,hao'si'bu'ru'lai'huo'zhe
蒿溪村,hao'xi'cun
好鞋不踩臭狗屎,hao'xie'bu'cai'chou'gou'shi
好心当作驴肝肺,hao'xin'dang'zuo'lv'gan'fei
好心有好报,hao'xin'you'hao'bao
合安村,he'an'cun
荷包蛋,he'bao'dan
合不来,he'bu'lai
何丹东,he'dan'dong
合得来,he'de'lai
何洪波,he'hong'bo
贺家湾村,he'jia'wan'cun
河江村,he'jiang'cun
何解,he'jie
何杰,he'jie
合金村,he'jin'cun
荷林社区,he'lin'she'qu
何妙,he'miao
何宁妃,he'ning'fei
和暖,he'nuan
河清村,he'qing'cun
河泉村,he'quan'cun
何日新,he'ri'xin
和尚无儿孝子多,he'shang'wu'er'xiao'zi'duo
何什,he'shen
何什搞,he'shen'gao
和事老,he'shi'lao
贺石桥,he'shi'qiao
贺石桥村,he'shi'qiao'cun
何叔衡,he'shu'heng
鹤塘村,he'tang'cun
合塘村,he'tang'cun
和为贵来忍为高,he'wei'gui'lai'ren'wei'gao
何威江,he'wei'jiang
河西村,he'xi'cun
河狭水紧人急智生,he'xia'shui'jin'ren'ji'zhi'sheng
合兴村,he'xing'cun
合星村,he'xing'cun
何旭新,he'xu'xin
合轩村,he'xuan'cun
何艳波,he'yan'bo
鹤嘴镐,he'zui'gao
黑哒,hei'da
黑得你一滚,hei'de'ni'yi'gun
黑人,hei'ren
恨不得,hen'bu'de
横财不富命穷人,heng'cai'bu'fu'ming'qiong'ren
横草不拿竖草不捏,heng'cao'bu'na'shu'cao'bu'nie
横岭村,heng'ling'cun
横市,heng'shi
横市村,heng'shi'cun
横市社区,heng'shi'she'qu
横田村,heng'tian'cun
横头,heng'tou
红白喜事,hong'bai'xi'shi
洪家大山,hong'jia'da'shan
洪家大山落雨晒得谷,hong'jia'da'shan'luo'yu'shai'de'gu
洪仑山,hong'lun'shan
洪仑山村,hong'lun'shan'cun
红梅村,hong'mei'cun
洪桥村,hong'qiao'cun
哄死了人不偿命,hong'si'le'ren'bu'chang'ming
洪塘村,hong'tang'cun
红桃山村,hong'tao'shan'cun
红旺村,hong'wang'cun
后半天,hou'ban'tian
后半夜,hou'ban'ye
厚颜无耻,hou'yan'wu'chi
胡爱华,hu'ai'hua
胡博仁,hu'bo'ren
胡峰,hu'feng
胡冠华,hu'guan'hua
胡佳,hu'jia
胡佳驿,hu'jia'yi
胡俊,hu'jun
胡凯,hu'kai
胡凯宁,hu'kai'ning
胡亮,hu'liang
胡另运,hu'ling'yun
胡璐,hu'lu
壶鋬,hu'pan
胡鹏,hu'peng
胡娉婷,hu'ping'ting
胡巧,hu'qiao
胡巧巧,hu'qiao'qiao
忽闪忽闪,hu'shan'hu'shan
胡胜,hu'sheng
胡世明,hu'shi'ming
胡伟,hu'wei
胡卫,hu'wei
湖溪塘村,hu'xi'tang'cun
湖湘文化,hu'xiang'wen'hua
胡亚桥,hu'ya'qiao
胡艳,hu'yan
胡征,hu'zheng
华宝村,hua'bao'cun
划不来,hua'bu'lai
划得来,hua'de'lai
花果村,hua'guo'cun
画胡子,hua'hu'zi
花露水,hua'lu'shui
花明楼,hua'ming'lou
花明楼村,hua'ming'lou'cun
花明楼社区,hua'ming'lou'she'qu
花明社区,hua'ming'she'qu
花桥村,hua'qiao'cun
化生子,hua'sheng'zi
化孙子,hua'sun'zi
华田村,hua'tian'cun
华鑫市村,hua'xin'shi'cun
花园,hua'yuan
花园塘村,hua'yuan'tang'cun
坏钞,huai'chao
怀孕,huai'yun
黄本骥,huang'ben'ji
黄材,huang'cai
黄材村,huang'cai'cun
黄鹤村,huang'he'cun
黄家冲社区,huang'jia'chong'she'qu
黄金累千不如一贤,huang'jin'lei'qian'bu'ru'yi'xian
黄靖,huang'jing
黄鹂,huang'li
黄毛丫头,huang'mao'ya'tou
黄泥田村,huang'ni'tian'cun
黄泉路上没老少,huang'quan'lu'shang'mei'lao'shao
黄山村,huang'shan'cun
黄鼠狼不嫌小鸡瘦,huang'shu'lang'bu'xian'xiao'ji'shou
灰不溜秋,hui'bu'liu'qiu
回春堂村,hui'chun'tang'cun
会家不忙忙家不会,hui'jia'bu'mang'mang'jia'bu'hui
会看的看门道,hui'kan'de'kan'men'dao
回克,hui'ke
回龙铺村,hui'long'pu'cun
回龙山,hui'long'shan
廻龙山村,hui'long'shan'cun
灰汤,hui'tang
灰汤村,hui'tang'cun
灰头土脸,hui'tou'tu'lian
会推磨就会推碾子,hui'tui'mo'jiu'hui'tui'nian'zi
回心桥村,hui'xin'qiao'cun
浑家,hun'jia
混账,hun'zhang
火车跑得快全凭车头带,huo'che'pao'de'kuai'quan'ping'che'tou'dai
火车皮,huo'che'pi
货车子,huo'che'zi
耠锄子,huo'chu'zi
活泛,huo'fan
活腻了,huo'ni'le
活人还能让尿憋死,huo'ren'hai'neng'rang'niao'bie'si
火扇村,huo'shan'cun
火心烦躁,huo'xin'fan'zao
鸡巴,ji'ba
积点口德,ji'dian'kou'de
即今坝塘,ji'jin'ba'tang
即今回龙铺,ji'jin'hui'long'pu
嵇龙村,ji'long'cun
挤密喇密,ji'mi'la'mi
鸡脑壳配鸭浑身,ji'nao'ke'pei'ya'hun'shen
鸡婆蛇,ji'po'she
鸡屎闷子,ji'shi'men'zi
急性子,ji'xing'zi
挤牙膏,ji'ya'gao
鸡杂,ji'za
夹被窝,jia'bei'wo
家不可一日无主,jia'bu'ke'yi'ri'wu'zhu
嘉城花园,jia'cheng'hua'yuan
夹码子,jia'ma'zi
夹钳,jia'qian
夹枕头,jia'zhen'tou
见不得,jian'bu'de
捡得封皮就是印,jian'de'feng'pi'jiu'shi'yin
箭楼村,jian'lou'cun
犍牛,jian'niu
趼子,jian'zi
讲话,jiang'hua
讲价钱,jiang'jia'qian
将军村,jiang'jun'cun
将军难免阵中亡,jiang'jun'nan'mian'zhen'zhong'wang
讲排场,jiang'pai'chang
酱茄子,jiang'qie'zi
江泉村,jiang'quan'cun
蒋维,jiang'wei
叫花子,jiao'hua'zi
嚼舌头,jiao'she'tou
叫卫子,jiao'wei'zi
狡黠,jiao'xia
焦躁,jiao'zao
解恨,jie'hen
界头村,jie'tou'cun
褯子,jie'zi
尽出鱼,jin'chu'yu
紧哒搞,jin'da'gao
浸刀豆,jin'dao'dou
金丰村,jin'feng'cun
金枫园村,jin'feng'yuan'cun
尽噶,jin'ga
紧搞,jin'gao
金河村,jin'he'cun
金华,jin'hua
金华村,jin'hua'cun
靳江村,jin'jiang'cun
锦江锦绣兰亭,jin'jiang'jin'xiu'lan'ting
浸藠头,jin'jiao'tou
金莲村,jin'lian'cun
尽篓我,jin'lou'wo
浸萝卜,jin'luo'bo
金南社区,jin'nan'she'qu
金农村,jin'nong'cun
金棋村,jin'qi'cun
金石村,jin'shi'cun
靳水村,jin'shui'cun
浸水眼,jin'shui'yan
矜死乜痕,jin'si'mie'hen
矜死乜痕找起事做,jin'si'mie'hen'zhao'qi'shi'zuo
金星村,jin'xing'cun
靳兴村,jin'xing'cun
金叶家园,jin'ye'jia'yuan
锦衣不饰坏心肝,jin'yi'bu'shi'huai'xin'gan
金元村,jin'yuan'cun
靳源村,jin'yuan'cun
金洲村,jin'zhou'cun
井冲,jing'chong
井冲村,jing'chong'cun
经典生活,jing'dian'sheng'huo
警调子,jing'diao'zi
荆妇,jing'fu
菁华铺,jing'hua'pu
菁华铺村,jing'hua'pu'cun
精肉子恋猪肝,jing'rou'zi'lian'zhu'gan
敬神,jing'shen
净土庵村,jing'tu'an'cun
敬祖宗,jing'zu'zong
九龙峰村,jiu'long'feng'cun
就你作呕,jiu'ni'zuo'ou
舅嫂,jiu'sao
舅子,jiu'zi
聚兽铜牌,ju'shou'tong'pai
涓水村,juan'shui'cun
绝经期,jue'jing'qi
决绝掉,jue'jue'diao
军里村,jun'li'cun
开国际玩笑,kai'guo'ji'wan'xiao
康宁村,kang'ning'cun
靠实,kao'shi
克咯,ke'ge
克死,ke'si
克丝钳子,ke'si'qian'zi
尅了一顿,kei'liao'yi'dun
空手捉只鸟不死都要走,kong'shou'zhuo'zhi'niao'bu'si'dou'yao'zou
抠门,kou'men
口头禅,kou'tou'chan
酷毕了,ku'bi'le
裤衩,ku'cha
苦瓜脸,ku'gua'lian
侩策,kuai'ce
邝贵阳,kuang'gui'yang
筐瓢,kuang'piao
亏得,kui'de
困嘎哒,kun'ga'da
困觉,kun'jiao
拉不出屎怨茅坑,la'bu'chu'shi'yuan'mao'keng
邋遢,la'ta
拉下水,la'xia'shui
来不得神,lai'bu'de'shen
懒此得你,lan'ci'de'ni
烂法器,lan'fa'qi
滥好人,lan'hao'ren
烂麻匹,lan'ma'pi
烂鞋婆,lan'xie'po
浪妇,lang'fu
老口子,lao'kou'zi
老粮仓,lao'liang'cang
老粮仓社区,lao'liang'cang'she'qu
老粮村,lao'liang'cun
老妈子,lao'ma'zi
劳什子,lao'shi'zi
老鼠子藏不得隔夜粮,lao'shu'zi'cang'bu'de'ge'ye'liang
乐安村,le'an'cun
了难,le'nan
乐意奉陪,le'yi'feng'pei
垒肥滴,lei'fei'di
李爱波,li'ai'bo
篱笆,li'ba
黎百思,li'bai'si
李灿华,li'can'hua
李常青,li'chang'qing
李丹,li'dan
粒隔烂,li'ge'lan
李季,li'ji
李佳望,li'jia'wang
历经铺,li'jing'pu
历经铺村,li'jing'pu'cun
李亮,li'liang
李玲,li'ling
李凌云,li'ling'yun
李米珍,li'mi'zhen
利民村,li'min'cun
李明,li'ming
李明强,li'ming'qiang
栗山村,li'shan'cun
栗狮村,li'shi'cun
李涛,li'tao
李湘宁,li'xiang'ning
李晓娟,li'xiao'juan
李亚雄,li'ya'xiong
李漾,li'yang
李政垚,li'zheng'yao
连裆共裤,lian'dang'gong'ku
镰刀,lian'dao
联花村,lian'hua'cun
莲花村,lian'hua'cun
莲花山,lian'hua'shan
莲花山村,lian'hua'shan'cun
两口子,liang'kou'zi
梁亚琼,liang'ya'qiong
两眼暴露,liang'yan'bao'lu
撂挑子,liao'tiao'zi
咧嘎哒,lie'ga'da
