阿离,a'li
毛毛头,mao'mao'tou
梅云,mei'yun
孟祥亮,meng'xiang'liang
迷谷,mi'gu
迷谷树精,mi'gu'shu'jing
命格,ming'ge
缪清,miu'qing
墨渊,mo'yuan
牟凤彬,mou'feng'bin
奈奈,nai'nai
彭子苏,peng'zi'su
琵琶精,pi'pa'jing
普化天尊,pu'hua'tian'zun
谱世人,pu'shi'ren
葡萄精,pu'tao'jing
乔诗语,qiao'shi'yu
擎苍,qing'cang
青丘,qing'qiu
青丘帝君,qing'qiu'di'jun
青丘女君,qing'qiu'nv'jun
邱秋,qiu'qiu
任海涛,ren'hai'tao
任滔,ren'tao
人在梦外之梦,ren'zai'meng'wai'zhi'meng
若情可得,ruo'qing'ke'de
桑籍,sang'ji
上古神祇,shang'gu'shen'qi
上神,shang'shen
上仙,shang'xian
少辛,shao'xin
生生世世,sheng'sheng'shi'shi
时间苦多,shi'jian'ku'duo
十里桃林,shi'li'tao'lin
石悦安鑫,shi'yue'an'xin
水晶宫,shui'jing'gong
水帘洞,shui'lian'dong
四海八荒,si'hai'ba'huang
四海再无歌,si'hai'zai'wu'ge
司命,si'ming
思慕,si'mu
司音,si'yin
宋城街道,song'cheng'jie'dao
宋海颉,song'hai'xie
松树精,song'shu'jing
素锦,su'jin
苏尚卿,su'shang'qing
素素,su'su
孙蛟龙,sun'jiao'long
谭旋,tan'xuan
汤水雨,tang'shui'yu
桃花朵朵,tao'hua'duo'duo
天宫,tian'gong
天君,tian'jun
田娜,tian'na
天枢,tian'shu
万紫玲,wan'zi'ling
王斌,wang'bin
王冬红,wang'dong'hong
忘情三生,wang'qing'san'sheng
王若麟,wang'ruo'lin
王汀,wang'ting
王秀竹,wang'xiu'zhu
魏超,wei'chao
吴雨珏,wu'yu'jue
西海大皇子,xi'hai'da'huang'zi
西海水君,xi'hai'shui'jun
西海王后,xi'hai'wang'hou
贤妃,xian'fei
香香,xiang'xiang
小头目,xiao'tou'mu
小夜华,xiao'ye'hua
辛奴,xin'nu
徐佳琦,xu'jia'qi
须臾数年,xu'yu'shu'nian
玄女,xuan'nv
玄女娘,xuan'nv'niang
宣晓鸣,xuan'xiao'ming
血化成了青藤,xue'hua'cheng'le'qing'teng
阎萌萌,yan'meng'meng
严屹宽,yan'yi'kuan
胭脂,yan'zhi
杨安琪,yang'an'qi
杨炳新,yang'bing'xin
央错,yang'cuo
杨幂,yang'mi
杨天翔,yang'tian'xiang
杨伟东,yang'wei'dong
杨洋,yang'yang
杨宗纬,yang'zong'wei
瑶光,yao'guang
瑶光仙婢甲,yao'guang'xian'bi'jia
瑶光仙婢乙,yao'guang'xian'bi'yi
妖界,yao'jie
药王,yao'wang
姚小宝,yao'xiao'bao
夭夭桃花凉,yao'yao'tao'hua'liang
夜灯扶摇升上空,ye'deng'fu'yao'sheng'shang'kong
夜华,ye'hua
夜华侧妃,ye'hua'ce'fei
叶新宇,ye'xin'yu
遗憾也算有幸,yi'han'ye'suan'you'xing
奕杰,yi'jie
翼君,yi'jun
翼族,yi'zu
尹强,yin'qiang
氤氲泉此刻无声,yin'yun'quan'ci'ke'wu'sheng
余翠华,yu'cui'hua
于朦胧,yu'meng'long
虞文涛,yu'wen'tao
雨仙,yu'xian
于轩鸿灏,yu'xuan'hong'hao
俞志梅,yu'zhi'mei
于子宽,yu'zi'kuan
缘无因爱有果,yuan'wu'yin'ai'you'guo
元贞,yuan'zhen
张艾,zhang'ai
张碧晨,zhang'bi'chen
张彬彬,zhang'bin'bin
张超,zhang'chao
张帆,zhang'fan
张弓,zhang'gong
张赫,zhang'he
张杰,zhang'jie
张冉怡,zhang'ran'yi
张文俊,zhang'wen'jun
张辛荣,zhang'xin'rong
张遥函,zhang'yao'han
张艺瀚,zhang'yi'han
张宥浩,zhang'you'hao
张喆,zhang'zhe
张智尧,zhang'zhi'yao
照歌,zhao'ge
赵新环,zhao'xin'huan
赵岩松,zhao'yan'song
赵毅,zhao'yi
赵依芳,zhao'yi'fang
赵又廷,zhao'you'ting
朝朝暮暮,zhao'zhao'mu'mu
折颜,zhe'yan
只待一语道破,zhi'dai'yi'yu'dao'po
只恨瞬间花落,zhi'hen'shun'jian'hua'luo
织越,zhi'yue
祝绪丹,zhu'xu'dan
子阑,zi'lan
