暗裥袋,an'jian'dai
栋缝拷边,dong'feng'kao'bian
栋缝双针,dong'feng'shuang'zhen
栋缝压线,dong'feng'ya'xian
犊鼻裤,du'bi'ku
肚兜,du'dou
肚省,du'sheng
短裆,duan'dang
短裤,duan'ku
短裙,duan'qun
对襟,dui'jin
耳朵皮,er'duo'pi
翻脚口,fan'jiao'kou
翻领,fan'ling
翻门襟,fan'men'jin
返聘,fan'pin
翻吐,fan'tu
方领,fang'ling
方领口,fang'ling'kou
防皱,fang'zhou
风琴袋,feng'qin'dai
缝头,feng'tou
凤尾裙,feng'wei'qun
缝制不良,feng'zhi'bu'liang
府绸,fu'chou
复领子夹尺码,fu'ling'zi'jia'chi'ma
幞头,fu'tou
富纤平布,fu'xian'ping'bu
复腰,fu'yao
服装名称,fu'zhuang'ming'cheng
高密,gao'mi
高密府绸,gao'mi'fu'chou
高支,gao'zhi
革带,ge'dai
格子布,ge'zi'bu
公服,gong'fu
工艺单,gong'yi'dan
勾袋盖修翻,gou'dai'gai'xiu'fan
挂面,gua'mian
滚条,gun'tiao
滚眼,gun'yan
海军领,hai'jun'ling
汗布,han'bu
绗棉起皱,hang'mian'qi'zhou
鹤氅,he'chang
荷叶边领,he'ye'bian'ling
横裆,heng'dang
后侧,hou'ce
后搭门,hou'da'men
后袋,hou'dai
后裆缝,hou'dang'feng
后裆拷边,hou'dang'kao'bian
后裆下垂,hou'dang'xia'chui
后裆压线,hou'dang'ya'xian
后垫兜布,hou'dian'dou'bu
后兜牙,hou'dou'ya
后肩省,hou'jian'sheng
后口袋大高,hou'kou'dai'da'gao
后口袋距后翘,hou'kou'dai'ju'hou'qiao
后浪含腰头,hou'lang'han'yao'tou
后领省,hou'ling'sheng
后领窝起涌,hou'ling'wo'qi'yong
后翘距腰头底部中缝后裆,hou'qiao'ju'yao'tou'di'bu'zhong'feng'hou'dang
后翘拷边,hou'qiao'kao'bian
后翘双针,hou'qiao'shuang'zhen
后翘压线,hou'qiao'ya'xian
后裙,hou'qun
后上,hou'shang
后身起吊,hou'shen'qi'diao
后贴,hou'tie
后袖缝,hou'xiu'feng
后腰,hou'yao
后腰省,hou'yao'sheng
后育克,hou'yu'ke
后育克拷边,hou'yu'ke'kao'bian
后育克压线,hou'yu'ke'ya'xian
后中,hou'zhong
胡服,hu'fu
花瓣袖,hua'ban'xiu
花边,hua'bian
华达呢,hua'da'ni
花钿,hua'dian
哗叽,hua'ji
化纤服装,hua'xian'fu'zhuang
华星呢,hua'xing'ne
祭服,ji'fu
极光,ji'guang
麂皮绒,ji'pi'rong
鸡心领口,ji'xin'ling'kou
夹裆,jia'dang
夹底,jia'di
夹圈,jia'quan
肩垫,jian'dian
肩缝,jian'feng
肩宽,jian'kuan
尖领,jian'ling
肩袢,jian'pan
剪商标尺码,jian'shang'biao'chi'ma
检验检查,jian'yan'jian'cha
脚口不齐,jiao'kou'bu'qi
脚口折边,jiao'kou'zhe'bian
介英,jie'ying
金光绒,jin'guang'rong
进贤冠,jin'xian'guan
锯齿形里袋,ju'chi'xing'li'dai
卷下摆,juan'xia'bai
卷袖口,juan'xiu'kou
卡袋,ka'dai
卡其,ka'qi
开袋,kai'dai
抗皱,kang'zhou
扣位,kou'wei
扣眼,kou'yan
裤裥,ku'jian
裤脚口,ku'jiao'kou
裤脚前后,ku'jiao'qian'hou
裤腰省,ku'yao'sheng
喇叭袖,la'ba'xiu
拉链长,la'lian'chang
拉链起皱,la'lian'qi'zhou
里布,li'bu
里袋,li'dai
里襟,li'jin
里襟里起皱,li'jin'li'qi'zhou
立领,li'ling
立绒,li'rong
立绒呢,li'rong'ne
离职日期,li'zhi'ri'qi
连肩袖,lian'jian'xiu
连袖,lian'xiu
连衣裙,lian'yi'qun
两用领,liang'yong'ling
领豁口,ling'huo'kou
领卡脖,ling'ka'bo
领离脖,ling'li'bo
领里口,ling'li'kou
领面紧,ling'mian'jin
领面起泡,ling'mian'qi'pao
领面松,ling'mian'song
领袢,ling'pan
领上口,ling'shang'kou
领省,ling'sheng
领外口,ling'wai'kou
领外口紧,ling'wai'kou'jin
领外口松,ling'wai'kou'song
领窝,ling'wo
领窝不平,ling'wo'bu'ping
领下口,ling'xia'kou
领嘴,ling'zui
笼巾,long'jin
罗马呢,luo'ma'ne
罗纹布,luo'wen'bu
罗纹袖口,luo'wen'xiu'kou
马褂,ma'gua
马甲,ma'jia
蚂蚁布,ma'yi'bu
唛架,mai'jia
毛呢服装,mao'ni'fu'zhuang
毛皮服,mao'pi'fu
毛头,mao'tou
门襟,men'jin
门里襟贴衬子,men'li'jin'tie'chen'zi
门里襟压线,men'li'jin'ya'xian
门筒,men'tong
棉布服装,mian'bu'fu'zhuang
面车单线,mian'che'dan'xian
面车双线,mian'che'shuang'xian
免烫,mian'tang
免熨,mian'yun
明裥袋,ming'jian'dai
内长,nei'chang
内袋,nei'dai
内裆拷边,nei'dang'kao'bian
内裤,nei'ku
尼丝纺,ni'si'fang
牛津布,niu'jin'bu
纽扣,niu'kou
牛仔布,niu'zai'bu
牛仔裙,niu'zai'qun
袢长宽,pan'chang'kuan
泡泡纱,pao'pao'sha
泡泡袖,pao'pao'xiu
皮革,pi'ge
皮裤,pi'ku
琵琶襟,pi'pa'jin
皮衣,pi'yi
拼摆缝,pin'bai'feng
拼栋缝,pin'dong'feng
拼后裆,pin'hou'dang
拼后翘,pin'hou'qiao
拼后育克,pin'hou'yu'ke
拼肩缝,pin'jian'feng
拼节,pin'jie
拼内裆,pin'nei'dang
拼前裆,pin'qian'dang
拼前育克,pin'qian'yu'ke
平驳头,ping'bo'tou
平布,ping'bu
平绒,ping'rong
旗袍,qi'pao
前侧,qian'ce
前袋,qian'dai
前裆拷边,qian'dang'kao'bian
前裆压门巾线,qian'dang'ya'men'jin'xian
前裆压线,qian'dang'ya'xian
前兜垫布,qian'dou'dian'bu
前过肩,qian'guo'jian
前横兜口,qian'heng'dou'kou
前后拼节,qian'hou'pin'jie
前肩省,qian'jian'sheng
前浪不平,qian'lang'bu'ping
前浪含腰头,qian'lang'han'yao'tou
前立兜口,qian'li'dou'kou
前门宽,qian'men'kuan
前门右压左,qian'men'you'ya'zuo
前门左压右,qian'men'zuo'ya'you
前裙,qian'qun
前上,qian'shang
前贴,qian'tie
前袖缝,qian'xiu'feng
前袖缝外翻,qian'xiu'feng'wai'fan
前腰,qian'yao
前腰省,qian'yao'sheng
前育克拷边,qian'yu'ke'kao'bian
前育克压线,qian'yu'ke'ya'xian
前圆后连袖,qian'yuan'hou'lian'xiu
前中,qian'zhong
戗驳头,qiang'bo'tou
茄克,qie'ke
青果领,qing'guo'ling
裘革服装,qiu'ge'fu'zhuang
曲裾禅衣,qu'ju'chan'yi
圈绒,quan'rong
裙裥,qun'jian
裙裥豁开,qun'jian'huo'kai
裙浪不匀,qun'lang'bu'yun
裙身吊,qun'shen'diao
裙腰省,qun'yao'sheng
人棉,ren'mian
人造毛皮服装,ren'zao'mao'pi'fu'zhuang
绒布,rong'bu
戎服,rong'fu
襦裙,ru'qun
入司,ru'si
入司日期,ru'si'ri'qi
入司时间,ru'si'shi'jian
三线单包,san'xian'dan'bao
三线双包,san'xian'shuang'bao
丧服,sang'fu
色差,se'cha
色织布,se'zhi'bu
纱府绸,sha'fu'chou
纱绢,sha'juan
纱卡,sha'ka
珊瑚绒,shan'hu'rong
上袋,shang'dai
上裆,shang'dang
商检,shang'jian
上领,shang'ling
上领画线,shang'ling'hua'xian
上领压线,shang'ling'ya'xian
绱袖不圆,shang'xiu'bu'yuan
上腰并放裤袢,shang'yao'bing'fang'ku'pan
深衣制,shen'yi'zhi
省尖起泡,sheng'jian'qi'pao
时服,shi'fu
实样,shi'yang
手巾袋,shou'jin'dai
双轨接线,shuang'gui'jie'xian
双面呢,shuang'mian'ne
双排扣,shuang'pai'kou
双嵌线袋,shuang'qian'xian'dai
双袖头,shuang'xiu'tou
水渍,shui'zi
顺毛呢,shun'mao'ni
丝绸服装,si'chou'fu'zhuang
丝光绒,si'guang'rong
死省,si'sheng
损耗,sun'hao
塌肩,ta'jian
塔克,ta'ke
塔斯隆,ta'si'long
塔丝绒,ta'si'rong
塌胸,ta'xiong
弹力呢,tan'li'ni
烫迹线,tang'ji'xian
烫迹线内撇,tang'ji'xian'nei'pie
烫迹线外撇,tang'ji'xian'wai'pie
烫口袋,tang'kou'dai
倘领偏斜,tang'ling'pian'xie
烫腰,tang'yao
唐装,tang'zhuang
桃皮绒,tao'pi'rong
提花,ti'hua
天鹅绒,tian'e'rong
跳针,tiao'zhen
贴袋,tie'dai
通省,tong'sheng
通天落地省,tong'tian'luo'di'sheng
兔羊绒,tu'yang'rong
褪色,tui'shai
退休,tui'xiu
臀围,tun'wei
拖把绒,tuo'ba'rong
卫衣布,wei'yi'bu
文胸,wen'xiong
污渍,wu'zi
洗标,xi'biao
西服,xi'fu
西裤,xi'ku
洗唛,xi'mai
细平布,xi'ping'bu
洗水不良,xi'shui'bu'liang
膝围,xi'wei
洗衣机,xi'yi'ji
下摆,xia'bai
下袋,xia'dai
下裆缝,xia'dang'feng
下翻折点,xia'fan'zhe'dian
下口,xia'kou
下领,xia'ling
霞帔,xia'pei
线绢,xian'juan
线卡,xian'ka
线路偏移,xian'lu'pian'yi
线袢,xian'pan
线头,xian'tou
橡皮筋袖口,xiang'pi'jin'xiu'kou
小裆缝,xiao'dang'feng
消光,xiao'guang
小肩起皱,xiao'jian'qi'zhou
小袖,xiao'xiu
斜纹,xie'wen
胸边,xiong'bian
胸部,xiong'bu
袖叉,xiu'cha
袖叉条,xiu'cha'tiao
袖衩条,xiu'cha'tiao
绣花,xiu'hua
绣花不良,xiu'hua'bu'liang
锈迹,xiu'ji
袖开衩,xiu'kai'cha
袖口,xiu'kou
袖口起皱,xiu'kou'qi'zhou
袖里,xiu'li
袖里拧,xiu'li'ning
袖窿,xiu'long
袖隆缝起皱,xiu'long'feng'qi'zhou
袖隆起,xiu'long'qi
袖袢,xiu'pan
袖头,xiu'tou
休闲,xiu'xian
休闲服,xiu'xian'fu
袖中,xiu'zhong
袖中缝,xiu'zhong'feng
袖子拷边,xiu'zi'kao'bian
袖子偏后,xiu'zi'pian'hou
袖子偏前,xiu'zi'pian'qian
絮棉不均,xu'mian'bu'jun
亚光,ya'guang
轧光,ya'guang
压条,ya'tiao
眼镜袋,yan'jing'dai
眼距,yan'ju
燕子领,yan'zi'ling
羊绒衫,yang'rong'shan
腰带,yao'dai
腰缝,yao'feng
腰缝起皱,yao'feng'qi'zhou
腰缝下口,yao'feng'xia'kou
腰节,yao'jie
腰里,yao'li
腰袢,yao'pan
腰上口,yao'shang'kou
腰上口压线,yao'shang'kou'ya'xian
腰头,yao'tou
腰头宽,yao'tou'kuan
腰头探出,yao'tou'tan'chu
腰围,yao'wei
腰中压线一道,yao'zhong'ya'xian'yi'dao
液态棉,ye'tai'mian
腋下省,ye'xia'sheng
已登记,yi'deng'ji
已发货,yi'fa'huo
已记录,yi'ji'lu
已离职,yi'li'zhi
已取消,yi'qu'xiao
已完成,yi'wan'cheng
一字领口,yi'zi'ling'kou
用衬部位,yong'chen'bu'wei
育克,yu'ke
羽绒服装,yu'rong'fu'zhuang
渔网布,yu'wang'bu
圆领,yuan'ling
圆领口,yuan'ling'kou
圆袖,yuan'xiu
熨烫不良,yun'tang'bu'liang
扎结领,zha'jie'ling
针织布,zhen'zhi'bu
织带,zhi'dai
直裰,zhi'duo
止口,zhi'kou
止口不直,zhi'kou'bu'zhi
止口反翘,zhi'kou'fan'qiao
止口反吐,zhi'kou'fan'tu
止口豁,zhi'kou'huo
止口缩角,zhi'kou'suo'jiao
止口下部搭叠过多,zhi'kou'xia'bu'da'die'guo'duo
止口圆角,zhi'kou'yuan'jiao
植绒,zhi'rong
质孙服,zhi'sun'fu
中裆,zhong'dang
中缝连袖,zhong'feng'lian'xiu
中裙,zhong'qun
中山服领,zhong'shan'fu'ling
中式领,zhong'shi'ling
皱布,zhou'bu
主标,zhu'biao
主布,zhu'bu
珠粒绒,zhu'li'rong
撞布,zhuang'bu
装领子,zhuang'ling'zi
装袖子,zhuang'xiu'zi
字领口,zi'ling'kou
总后过肩,zong'hou'guo'jian
做领子全部,zuo'ling'zi'quan'bu
