按钮开关,an'niu'kai'guan
十字起子,shi'zi'qi'zi
手拉葫芦,shou'la'hu'lu
手提式电灯,shou'ti'shi'dian'deng
手推车,shou'tui'che
数显角度尺,shu'xian'jiao'du'chi
数显外径千分尺,shu'xian'wai'jing'qian'fen'chi
数字试电笔,shu'zi'shi'dian'bi
刷子,shua'zi
双面雨衣,shuang'mian'yu'yi
水泵,shui'beng
水管,shui'guan
水泥钉,shui'ni'ding
水泥留样桶,shui'ni'liu'yang'tong
水桶,shui'tong
碎石筛,sui'shi'shai
塔尺,ta'chi
太阳能警示灯,tai'yang'neng'jing'shi'deng
坍落度筒,tan'luo'du'tong
搪瓷盘,tang'ci'pan
天那水,tian'na'shui
铁锤,tie'chui
铁马栏杆,tie'ma'lan'gan
铁锹,tie'qiao
铁刷,tie'shua
铁丝,tie'si
铜鼻子,tong'bi'zi
铜开口鼻子,tong'kai'kou'bi'zi
铜线耳,tong'xian'er
头戴式电灯,tou'dai'shi'dian'deng
透明管,tou'ming'guan
透明开关盒,tou'ming'kai'guan'he
文件柜,wen'jian'gui
五金手册,wu'jin'shou'ce
线手套,xian'shou'tao
纤维卷尺,xian'wei'juan'chi
橡胶皮,xiang'jiao'pi
橡胶自粘带,xiang'jiao'zi'zhan'dai
小排笔,xiao'pai'bi
卸扣,xie'kou
斜口钳,xie'kou'qian
斜口钳子,xie'kou'qian'zi
旋钮开关,xuan'niu'kai'guan
亚明镝灯,ya'ming'di'deng
颜料,yan'liao
羊角锤,yang'jiao'chui
腰带式救生衣,yao'dai'shi'jiu'sheng'yi
液压钳,ye'ya'qian
液压油,ye'ya'you
液压油管,ye'ya'you'guan
移动厢房,yi'dong'xiang'fang
一字螺丝刀,yi'zi'luo'si'dao
一字起子,yi'zi'qi'zi
印刷安全帽,yin'shua'an'quan'mao
油泵,you'beng
游标卡尺,you'biao'ka'chi
油管,you'guan
雨鞋,yu'xie
扎带,za'dai
扎钩,zha'gou
扎丝,zha'si
兆欧表,zhao'ou'biao
遮阳布,zhe'yang'bu
整流器,zheng'liu'qi
治安亭,zhi'an'ting
直通,zhi'tong
中包组,zhong'bao'zu
竹扫把,zhu'sao'ba
竹梯,zhu'ti
转换插头,zhuan'huan'cha'tou
自行车锁,zi'xing'che'suo
