安平献王司马孚,an'ping'xian'wang'si'ma'fu
郭璞,guo'pu
郭琦,guo'qi
郭舒,guo'shu
郭象,guo'xiang
郭奕,guo'yi
郭瑀,guo'yu
郭彰,guo'zhang
韩伯,han'bo
韩恒,han'heng
韩阶,han'jie
韩友,han'you
何曾,he'ceng
何充,he'chong
何褘,he'hui
河间王顒,he'jian'wang'yu
赫连勃勃,he'lian'bo'bo
何攀,he'pan
何琦,he'qi
和峤,he'qiao
何劭,he'shao
何无忌,he'wu'ji
贺循,he'xun
何准,he'zhun
何遵何嵩何绥何机何羡,he'zun'he'song'he'sui'he'ji'he'xian
侯史光,hou'shi'guang
胡奋,hu'fen
胡威,hu'wei
胡毋辅之,hu'wu'fu'zhi
胡毋谦之,hu'wu'qian'zhi
华表,hua'biao
华恒,hua'heng
华峤,hua'qiao
华谭,hua'tan
华廙,hua'yi
华轶,hua'yi
淮南忠壮王司马允,huai'nan'zhong'zhuang'wang'si'ma'yun
桓冲,huan'chong
桓豁,huan'huo
桓济,huan'ji
桓祕,huan'mi
桓虔,huan'qian
桓谦,huan'qian
桓嗣,huan'si
桓伟,huan'wei
桓温,huan'wen
桓熙,huan'xi
桓歆,huan'xin
桓雄,huan'xiong
桓脩,huan'xiu
桓宣,huan'xuan
桓玄,huan'xuan
桓伊,huan'yi
桓彝,huan'yi
桓胤,huan'yin
桓云,huan'yun
皇甫方回,huang'fu'fang'hui
皇甫谧,huang'fu'mi
皇甫真,huang'fu'zhen
皇甫重,huang'fu'zhong
黄泓,huang'hong
霍原,huo'yuan
嵇康,ji'kang
济南惠王司马遂,ji'nan'hui'wang'si'ma'sui
嵇绍,ji'shao
吉挹,ji'yi
纪瞻,ji'zhan
贾充,jia'chong
贾浑,jia'hun
贾混,jia'hun
贾谧,jia'mi
贾模,jia'mo
贾疋,jia'pi
江虨,jiang'bin
江惇,jiang'dun
江灌,jiang'guan
江绩,jiang'ji
江统,jiang'tong
江逌,jiang'you
解结,jie'jie
解系,jie'xi
解育,jie'yu
晋哀帝司马丕,jin'ai'di'si'ma'pi
晋安帝司马德宗,jin'an'di'si'ma'de'zong
晋成帝司马衍,jin'cheng'di'si'ma'yan
晋废帝司马奕,jin'fei'di'si'ma'yi
晋恭帝司马德文,jin'gong'di'si'ma'de'wen
晋怀帝司马炽,jin'huai'di'si'ma'chi
晋惠帝惠帝衷,jin'hui'di'hui'di'zhong
晋简文帝司马昱,jin'jian'wen'di'si'ma'yu
晋康帝司马岳,jin'kang'di'si'ma'yue
晋愍帝司马邺,jin'min'di'si'ma'ye
晋明帝司马绍,jin'ming'di'si'ma'shao
晋穆帝司马聃,jin'mu'di'si'ma'dan
晋武帝司马炎,jin'wu'di'si'ma'yan
晋孝武帝司马曜,jin'xiao'wu'di'si'ma'yao
晋元帝司马睿,jin'yuan'di'si'ma'rui
鸠摩罗什,jiu'mo'luo'shen
沮渠蒙逊,ju'qu'meng'xun
孔安国,kong'an'guo
孔沉,kong'chen
孔群,kong'qun
孔坦,kong'tan
孔汪,kong'wang
孔严,kong'yan
孔衍,kong'yan
孔愉,kong'yu
孔祗,kong'zhi
会稽思世子道生,kuai'ji'si'shi'zi'dao'sheng
愧炤,kui'zhao
琅邪悼王焕,lang'xie'dao'wang'huan
琅邪王司马伷,lang'xie'wang'si'ma'zhou
琅邪孝王裒,lang'xie'xiao'wang'pou
乐道融,le'dao'rong
乐广,le'guang
李班,li'ban
李产,li'chan
李充,li'chong
李含,li'han
李绩,li'ji
李矩,li'ju
李流,li'liu
李密,li'mi
李期,li'qi
李势,li'shi
李寿,li'shou
李特,li'te
李憙,li'xi
李庠,li'xiang
李雄,li'xiong
李胤,li'yin
李重,li'zhong
凉后主李士业,liang'hou'zhu'li'shi'ye
梁王肜,liang'wang'rong
凉武昭王李玄盛,liang'wu'zhao'wang'li'xuan'sheng
临川献王郁,lin'chuan'xian'wang'yu
刘卞,liu'bian
刘波,liu'bo
刘粲,liu'can
刘超,liu'chao
刘沉,liu'chen
刘畴,liu'chou
刘聪,liu'cong
刘淡,liu'dan
刘和,liu'he
刘弘,liu'hong
刘敬宣,liu'jing'xuan
刘琨,liu'kun
刘牢之,liu'lao'zhi
刘驎之,liu'lin'zhi
刘伶,liu'ling
刘迈,liu'mai
刘敏元,liu'min'yuan
刘讷,liu'ne
刘乔,liu'qiao
刘群,liu'qun
刘寔,liu'shi
刘颂,liu'song
刘暾,liu'tun
刘隗,liu'wei
刘遐,liu'xia
刘宣,liu'xuan
刘演,liu'yan
刘曜,liu'yao
刘毅,liu'yi
刘殷,liu'yin
刘胤,liu'yin
刘舆,liu'yu
刘渊,liu'yuan
刘元海,liu'yuan'hai
刘兆,liu'zhao
刘智,liu'zhi
鲁褒,lu'bao
陆耽,lu'dan
卢浮,lu'fu
陆机,lu'ji
陆纳,lu'na
卢钦,lu'qin
卢谌,lu'shen
鲁胜,lu'sheng
卢珽,lu'ting
陆玩,lu'wan
陆喜,lu'xi
卢循,lu'xun
陆晔,lu'ye
陆云,lu'yun
陆拯,lu'zheng
卢志,lu'zhi
鲁芝,lu'zhi
罗含,luo'han
罗企生,luo'qi'sheng
罗尚,luo'shang
罗宪,luo'xian
吕光,lv'guang
吕隆,lv'long
吕纂,lv'zuan
马隆,ma'long
麻襦,ma'ru
毛安之,mao'an'zhi
毛宝,mao'bao
毛德祖,mao'de'zu
毛穆之,mao'mu'zhi
毛璩,mao'qu
孟观,meng'guan
孟嘉,meng'jia
孟钦,meng'qin
愍怀太子司马遹,min'huai'tai'zi'si'ma'yu
缪播,miu'bo
缪胤,miu'yin
慕容宝,mu'rong'bao
慕容超,mu'rong'chao
慕容垂,mu'rong'chui
慕容德,mu'rong'de
慕容翰,mu'rong'han
慕容皝,mu'rong'huang
慕容俊,mu'rong'jun
慕容恪,mu'rong'ke
慕容盛,mu'rong'sheng
慕容廆,mu'rong'wei
慕容暐,mu'rong'wei
慕容熙,mu'rong'xi
慕容云,mu'rong'yun
慕容锺,mu'rong'zhong
欧阳建,ou'yang'jian
潘京,pan'jing
潘尼,pan'ni
潘岳,pan'yue
裴楷,pei'kai
裴頠,pei'wei
裴宪,pei'xian
裴秀,pei'xiu
裴嶷,pei'yi
彭城穆王司马权,peng'cheng'mu'wang'si'ma'quan
平原王司马榦,ping'yuan'wang'si'ma'gan
乞伏炽磐,qi'fu'chi'pan
乞伏国仁,qi'fu'guo'ren
乞伏乾归,qi'fu'qian'gui
祈嘉,qi'jia
齐王冏,qi'wang'jiong
齐王攸,qi'wang'you
钱风,qian'feng
牵秀,qian'xiu
谯刚王司马逊,qiao'gang'wang'si'ma'xun
乔智明,qiao'zhi'ming
谯纵,qiao'zong
秦献王司马柬,qin'xian'wang'si'ma'jian
秦秀,qin'xiu
清河康王遐,qing'he'kang'wang'xia
清惠亭侯司马京,qing'hui'ting'hou'si'ma'jing
瞿硎先生,qu'xing'xian'sheng
麴允,qu'yun
冉闵,ran'min
任城景王司马陵,ren'cheng'jing'wang'si'ma'ling
任罕,ren'han
任恺,ren'kai
汝南王亮,ru'nan'wang'liang
汝阴哀王谟,ru'yin'ai'wang'mo
阮放,ruan'fang
阮孚,ruan'fu
阮籍,ruan'ji
阮咸,ruan'xian
阮脩,ruan'xiu
阮裕,ruan'yu
阮瞻,ruan'zhan
阮种,ruan'zhong
桑虞,sang'yu
僧涉,seng'she
山简,shan'jian
山涛,shan'tao
山遐,shan'xia
邵续,shao'xu
盛彦,sheng'yan
石苞,shi'bao
石崇,shi'chong
石弘,shi'hong
石虎,shi'hu
石鉴,shi'jian
石康,shi'kang
石勒,shi'le
石民,shi'min
始平哀王裕,shi'ping'ai'wang'yu
石璞,shi'pu
石虔,shi'qian
石乔,shi'qiao
石生,shi'sheng
石世,shi'shi
石绥,shi'sui
石秀,shi'xiu
石垣,shi'yuan
石遵,shi'zun
束皙,shu'xi
司马彪,si'ma'biao
司马虨,si'ma'bin
司马畅,si'ma'chang
司马漼,si'ma'cui
司马澹,si'ma'dan
司马道子司马元显,si'ma'dao'zi'si'ma'yuan'xian
司马轨,si'ma'gui
司马柬,si'ma'jian
司马觐,si'ma'jin
司马裒,si'ma'pou
司马尚,si'ma'shang
司马师,si'ma'shi
司马遐,si'ma'xia
司马歆,si'ma'xin
司马繇,si'ma'yao
司马懿,si'ma'yi
司马允,si'ma'yun
司马臧,si'ma'zang
司马昭,si'ma'zhao
宋矩,song'ju
宋纤,song'xian
苏峻,su'jun
孙楚,sun'chu
孙绰,sun'chuo
孙耽,sun'dan
孙登,sun'deng
孙恩,sun'en
孙放,sun'fang
孙晷,sun'gui
孙惠,sun'hui
孙柳,sun'liu
孙旂,sun'qi
孙潜,sun'qian
孙盛,sun'sheng
孙铄,sun'shuo
孙统,sun'tong
孙啸父,sun'xiao'fu
索紞,suo'dan
索靖,suo'jing
索泮,suo'pan
索綝,suo'shen
索袭,suo'xi
台产,tai'chan
昙霍,tan'huo
檀凭之,tan'ping'zhi
唐彬,tang'bin
陶斌,tao'bin
陶称,tao'cheng
陶岱,tao'dai
陶淡,tao'dan
陶范,tao'fan
陶洪,tao'hong
陶璜,tao'huang
陶回,tao'hui
陶侃,tao'kan
陶旗,tao'qi
陶琦,tao'qi
陶潜,tao'qian
陶夏,tao'xia
陶舆,tao'yu
陶瞻,tao'zhan
陶臻,tao'zhen
滕脩,teng'xiu
秃发利鹿孤,tu'fa'li'lu'gu
秃发傉檀,tu'fa'nu'tan
秃发乌孤,tu'fa'wu'gu
王豹,wang'bao
王彪之,wang'biao'zhi
王彬,wang'bin
王操之,wang'cao'zhi
王长文,wang'chang'wen
王忱,wang'chen
王沉,wang'chen
王承,wang'cheng
王澄,wang'cheng
王导,wang'dao
王敦,wang'dun
王堕,wang'duo
王恭,wang'gong
王国宝,wang'guo'bao
王宏,wang'hong
王瑚,wang'hu
王欢,wang'huan
王徽之,wang'hui'zhi
王褘之,wang'hui'zhi
王浑,wang'hun
王机,wang'ji
王济,wang'ji
王嘉,wang'jia
王鉴,wang'jian
王接,wang'jie
王矩,wang'ju
王浚,wang'jun
王濬,wang'jun
王恺,wang'kai
王览,wang'lan
王棱,wang'leng
王谅,wang'liang
王濛,wang'meng
王猛,wang'meng
王弥,wang'mi
王谧,wang'mi
王尼,wang'ni
王裒,wang'pou
王洽,wang'qia
王廞,wang'qian
王峤,wang'qiao
王戎,wang'rong
王如,wang'ru
王劭,wang'shao
王沈,wang'shen
王舒,wang'shu
王述,wang'shu
王绥,wang'sui
王谈,wang'tan
王坦之,wang'tan'zhi
王恬,wang'tian
王羲之,wang'xi'zhi
王遐,wang'xia
王献之,wang'xian'zhi
王祥,wang'xiang
王协,wang'xie
王恂,wang'xun
王珣,wang'xun
王逊,wang'xun
王雅,wang'ya
王延,wang'yan
王衍,wang'yan
王廙,wang'yi
王隐,wang'yin
王愉,wang'yu
王育,wang'yu
王悦,wang'yue
王蕴,wang'yun
王允之,wang'yun'zhi
王湛,wang'zhan
王桢之,wang'zhen'zhi
魏该,wei'gai
卫瓘,wei'guan
卫恒,wei'heng
卫玠,wei'jie
魏浚,wei'jun
魏舒,wei'shu
韦謏,wei'xiao
魏咏之,wei'yong'zhi
卫璪,wei'zao
卫展,wei'zhan
韦忠,wei'zhong
文立,wen'li
温峤,wen'qiao
温羡,wen'xian
伍朝,wu'chao
吴敬王晏,wu'jing'wang'yan
吴逵,wu'kui
武陵威王晞,wu'ling'wei'wang'xi
吴猛,wu'meng
吾彦,wu'yan
吴隐之,wu'yin'zhi
郗超,xi'chao
郗恢,xi'hui
郗鉴,xi'jian
郗隆,xi'long
郄诜,xi'shen
郗昙,xi'tan
郗愔,xi'yin
习凿齿,xi'zao'chi
夏方,xia'fang
夏侯承,xia'hou'cheng
夏侯淳,xia'hou'chun
夏侯湛,xia'hou'zhan
夏统,xia'tong
向雄,xiang'xiong
向秀,xiang'xiu
谢安,xie'an
谢沉,xie'chen
谢敷,xie'fu
谢混,xie'hun
谢鲲,xie'kun
谢朗,xie'lang
谢貌,xie'mao
谢尚,xie'shang
谢石,xie'shi
谢万,xie'wan
谢玄,xie'xuan
谢绚,xie'xuan
谢琰,xie'yan
谢奕,xie'yi
谢重,xie'zhong
新都王该,xin'du'wang'gai
辛恭靖,xin'gong'jing
辛谧,xin'mi
辛勉,xin'mian
幸灵,xing'ling
熊远,xiong'yuan
徐广,xu'guang
徐貌,xu'mao
徐苗,xu'miao
徐宁,xu'ning
徐嵩,xu'song
续咸,xu'xian
许孜,xu'zi
薛兼,xue'jian
荀藩,xun'fan
荀闓,xun'kai
荀蕤,xun'rui
荀崧,xun'song
荀邃,xun'sui
荀羡,xun'xian
荀勖,xun'xu
荀奕,xun'yi
荀顗,xun'yi
荀组,xun'zu
阎鼎,yan'ding
颜含,yan'han
阎亨,yan'heng
严卿,yan'qing
阎缵,yan'zuan
杨方,yang'fang
羊光逸,yang'guang'yi
羊祜,yang'hu
杨济,yang'ji
羊鉴,yang'jian
杨骏,yang'jun
杨轲,yang'ke
羊曼,yang'man
杨佺期,yang'quan'qi
杨文宗,yang'wen'zong
阳骛,yang'wu
羊锈,yang'xiu
羊玄之,yang'xuan'zhi
杨珧,yang'yao
阳裕,yang'yu
杨孜敬,yang'zi'jing
姚苌,yao'chang
姚泓,yao'hong
姚襄,yao'xiang
姚兴,yao'xing
姚兴下,yao'xing'xia
姚弋仲,yao'yi'zhong
易雄,yi'xiong
殷浩,yin'hao
殷简之,yin'jian'zhi
尹纬,yin'wei
殷顗,yin'yi
殷仲堪,yin'zhong'kan
殷仲文,yin'zhong'wen
应詹,ying'zhan
应贞,ying'zhen
庾彬,yu'bin
庾冰,yu'bing
庾阐,yu'chan
庾琛,yu'chen
庾纯,yu'chun
庾旉,yu'fu
庾衮,yu'gun
庾龢,yu'he
庾峻,yu'jun
庾楷,yu'kai
虞悝,yu'kui
庾亮,yu'liang
虞溥,yu'pu
虞潭,yu'tan
庾条,yu'tiao
庾统,yu'tong
庾希,yu'xi
庾羲,yu'xi
虞喜,yu'xi
庾怿,yu'yi
庾翼,yu'yi
虞豫,yu'yu
虞预,yu'yu
庾敳,yu'zhu
袁豹,yuan'bao
袁耽,yuan'dan
袁甫,yuan'fu
袁瑰,yuan'gui
袁宏,yuan'hong
袁乔,yuan'qiao
袁山松,yuan'shan'song
袁猷,yuan'you
袁悦之,yuan'yue'zhi
袁湛,yuan'zhan
袁质,yuan'zhi
袁准,yuan'zhun
枣据,zao'ju
张宾,zhang'bin
张昌,zhang'chang
张重华,zhang'chong'hua
张方,zhang'fang
张辅,zhang'fu
张光,zhang'guang
张轨,zhang'gui
张翰,zhang'han
张华,zhang'hua
张骏,zhang'jun
张闓,zhang'kai
张亢,zhang'kang
张茂,zhang'mao
张凭,zhang'ping
张寔,zhang'shi
张天锡,zhang'tian'xi
张韪,zhang'wei
张协,zhang'xie
张玄靓,zhang'xuan'liang
张耀灵,zhang'yao'ling
张祎,zhang'yi
张禕,zhang'yi
张载,zhang'zai
张忠,zhang'zhong
张祚,zhang'zuo
赵王伦,zhao'wang'lun
赵诱,zhao'you
赵至,zhao'zhi
郑冲,zheng'chong
郑方,zheng'fang
郑袤,zheng'mao
郑默,zheng'mo
郑球,zheng'qiu
挚虞,zhi'yu
锺雅,zhong'ya
周处,zhou'chu
周楚,zhou'chu
周访,zhou'fang
周抚,zhou'fu
周馥,zhou'fu
周该,zhou'gai
周光,zhou'guang
周浚,zhou'jun
周闵,zhou'min
周谟,zhou'mo
周崎,zhou'qi
周玘,zhou'qi
周琼,zhou'qiong
周嵩,zhou'song
周虓,zhou'xiao
周勰,zhou'xie
周莚,zhou'yan
周顗,zhou'yi
周札,zhou'zha
周仲孙,zhou'zhong'sun
朱冲,zhu'chong
诸葛长民,zhu'ge'chang'min
诸葛恢,zhu'ge'hui
朱伺,zhu'si
朱序,zhu'xu
邹湛,zou'zhan
祖纳,zu'na
祖台之,zu'tai'zhi
祖逖,zu'ti
祖约,zu'yue
左思,zuo'si
