爱丁堡大学,ai'ding'bao'da'xue
爆炸状态的骤熄,bao'zha'zhuang'tai'de'zhou'xi
爆震燃烧,bao'zhen'ran'shao
包装货,bao'zhuang'huo
胞状晶,bao'zhuang'jing
包装煤砖,bao'zhuang'mei'zhuan
包装燃料,bao'zhuang'ran'liao
背包式灭火器,bei'bao'shi'mie'huo'qi
背负式带泵灭火器,bei'fu'shi'dai'beng'mie'huo'qi
背负式泡沫液罐,bei'fu'shi'pao'mo'ye'guan
背火面,bei'huo'mian
背火面温度,bei'huo'mian'wen'du
背火面温升,bei'huo'mian'wen'sheng
备件国产化管理,bei'jian'guo'chan'hua'guan'li
备日常保养完成率,bei'ri'chang'bao'yang'wan'cheng'lv
背压阀,bei'ya'fa
备用的,bei'yong'de
备用电源,bei'yong'dian'yuan
备用断路器,bei'yong'duan'lu'qi
泵分类,beng'fen'lei
泵管,beng'guan
泵管节数,beng'guan'jie'shu
泵管下置深度,beng'guan'xia'zhi'shen'du
泵管直径,beng'guan'zhi'jing
泵轮,beng'lun
泵轮轴,beng'lun'zhou
泵浦消防车,beng'pu'xiao'fang'che
泵数据,beng'shu'ju
泵速检查器,beng'su'jian'cha'qi
泵体,beng'ti
泵型号,beng'xing'hao
泵压,beng'ya
泵压表,beng'ya'biao
泵压系数,beng'ya'xi'shu
泵轴,beng'zhou
泵最大缸径,beng'zui'da'gang'jing
泵最高冲程数,beng'zui'gao'chong'cheng'shu
泵最小缸径,beng'zui'xiao'gang'jing
壁板,bi'ban
壁挂式干粉灭火装置,bi'gua'shi'gan'fen'mie'huo'zhuang'zhi
避难可用时间,bi'nan'ke'yong'shi'jian
避难空间,bi'nan'kong'jian
避难区域,bi'nan'qu'yu
变量泵,bian'liang'beng
编码火灾报警系统,bian'ma'huo'zai'bao'jing'xi'tong
变速振动,bian'su'zhen'dong
便携式对江无线电话机,bian'xie'shi'dui'jiang'wu'xian'dian'hua'ji
表压,biao'ya
标准层,biao'zhun'ceng
标准偏差,biao'zhun'pian'cha
冰背心,bing'bei'xin
冰点,bing'dian
玻璃球喷水灭火系统,bo'li'qiu'pen'shui'mie'huo'xi'tong
不安全行为,bu'an'quan'xing'wei
不安全状态,bu'an'quan'zhuang'tai
不饱和化合物,bu'bao'he'hua'he'wu
不饱和烃,bu'bao'he'ting
不必要的,bu'bi'yao'de
补充泵,bu'chong'beng
部分燃烧,bu'fen'ran'shao
部分有洒水喷头保护地区,bu'fen'you'sa'shui'pen'tou'bao'hu'di'qu
不合格的,bu'he'ge'de
不加保护的垂直开口,bu'jia'bao'hu'de'chui'zhi'kai'kou
不间断电源,bu'jian'duan'dian'yuan
不间断供电,bu'jian'duan'gong'dian
不间断工作制,bu'jian'duan'gong'zuo'zhi
不坚固的地面,bu'jian'gu'de'di'mian
不明火灾原因,bu'ming'huo'zai'yuan'yin
不明事故未暴露面,bu'ming'shi'gu'wei'bao'lu'mian
不能令人满意的工作不饱和键,bu'neng'ling'ren'man'yi'de'gong'zuo'bu'bao'he'jian
不燃的,bu'ran'de
不燃性,bu'ran'xing
不受限制的连锁反应,bu'shou'xian'zhi'de'lian'suo'fan'ying
不通风的火,bu'tong'feng'de'huo
不完全燃烧,bu'wan'quan'ran'shao
不完全氧化系统,bu'wan'quan'yang'hua'xi'tong
不稳定化学物品,bu'wen'ding'hua'xue'wu'pin
不稳定空气,bu'wen'ding'kong'qi
不稳定气团,bu'wen'ding'qi'tuan
不稳定物质,bu'wen'ding'wu'zhi
不稳定液体,bu'wen'ding'ye'ti
不正常状态,bu'zheng'chang'zhuang'tai
采石场用硝甘炸药,cai'shi'chang'yong'xiao'gan'zha'yao
采石用炸药,cai'shi'yong'zha'yao
踩水带排水,cai'shui'dai'pai'shui
残值,can'zhi
槽车,cao'che
草木生长阶段,cao'mu'sheng'zhang'jie'duan
草原火灾,cao'yuan'huo'zai
操作安全性,cao'zuo'an'quan'xing
测温器,ce'wen'qi
插接箱底板,cha'jie'xiang'di'ban
常闭式紧急停车开关,chang'bi'shi'jin'ji'ting'che'kai'guan
敞开楼梯,chang'kai'lou'ti
敞开式楼梯,chang'kai'shi'lou'ti
敞开式坡道,chang'kai'shi'po'dao
长廊,chang'lang
长途电信网,chang'tu'dian'xin'wang
超大口径自动,chao'da'kou'jing'zi'dong
超高速水雾灭火系统,chao'gao'su'shui'wu'mie'huo'xi'tong
超声波火灾探测器,chao'sheng'bo'huo'zai'tan'ce'qi
车底喷嘴,che'di'pen'zui
撤离住宅训练,che'li'zhu'zhai'xun'lian
车辆,che'liang
车辆安全行驶距离指示器,che'liang'an'quan'xing'shi'ju'li'zhi'shi'qi
车辆保险杠,che'liang'bao'xian'gang
车辆部署和适时修正系统,che'liang'bu'shu'he'shi'shi'xiu'zheng'xi'tong
车辆火灾,che'liang'huo'zai
车辆警告系统,che'liang'jing'gao'xi'tong
车辆维修区,che'liang'wei'xiu'qu
车用安全标志夹持器,che'yong'an'quan'biao'zhi'jia'chi'qi
车用电话,che'yong'dian'hua
车用灭火器容器,che'yong'mie'huo'qi'rong'qi
车用消防泵,che'yong'xiao'fang'beng
车载电台,che'zai'dian'tai
车载泡沫系统,che'zai'pao'mo'xi'tong
车载水炮,che'zai'shui'pao
车载消防泵,che'zai'xiao'fang'beng
车载消防炮,che'zai'xiao'fang'pao
车作业,che'zuo'ye
撑脚千斤顶,cheng'jiao'qian'jin'ding
成束电缆阻燃工艺,cheng'shu'dian'lan'zu'ran'gong'yi
城镇消防通道,cheng'zhen'xiao'fang'tong'dao
城镇消防站,cheng'zhen'xiao'fang'zhan
炽热,chi're
齿条式千斤顶,chi'tiao'shi'qian'jin'ding
重置价值,chong'zhi'jia'zhi
抽力,chou'li
抽样调查,chou'yang'diao'cha
臭氧耗减潜能值为零的化学替代物,chou'yang'hao'jian'qian'neng'zhi'wei'ling'de'hua'xue'ti'dai'wu
储存架区,chu'cun'jia'qu
出动和归队铃,chu'dong'he'gui'dui'ling
触发器件,chu'fa'qi'jian
厨房,chu'fang
储罐,chu'guan
出口标志,chu'kou'biao'zhi
出口方向标志,chu'kou'fang'xiang'biao'zhi
出气孔,chu'qi'kong
出区报警,chu'qu'bao'jing
初始检测,chu'shi'jian'ce
传爆速度,chuan'bao'su'du
穿窗火,chuan'chuang'huo
串联的,chuan'lian'de
串联配置,chuan'lian'pei'zhi
船内底板,chuan'nei'di'ban
船坞,chuan'wu
船用防火板材,chuan'yong'fang'huo'ban'cai
传真电报,chuan'zhen'dian'bao
穿制服的人员,chuan'zhi'fu'de'ren'yuan
垂直洞口,chui'zhi'dong'kou
垂直对流,chui'zhi'dui'liu
垂直蔓延,chui'zhi'man'yan
垂直排列,chui'zhi'pai'lie
垂直升降塔架,chui'zhi'sheng'jiang'ta'jia
垂直试验法,chui'zhi'shi'yan'fa
垂直通道,chui'zhi'tong'dao
垂直向上蔓延,chui'zhi'xiang'shang'man'yan
垂直扬程,chui'zhi'yang'cheng
垂直指挥系统,chui'zhi'zhi'hui'xi'tong
磁饱和,ci'bao'he
磁场,ci'chang
磁场强度,ci'chang'qiang'du
磁化曲线,ci'hua'qu'xian
磁通量,ci'tong'liang
磁通密度,ci'tong'mi'du
磁心,ci'xin
磁滞回线,ci'zhi'hui'xian
从消火栓,cong'xiao'huo'shuan
催泪剂,cui'lei'ji
催泪气,cui'lei'qi
催泪性毒气,cui'lei'xing'du'qi
错误假设,cuo'wu'jia'she
大风,da'feng
大规模集成电路,da'gui'mo'ji'cheng'dian'lu
大规模接警出动,da'gui'mo'jie'jing'chu'dong
大伤害,da'shang'hai
达希尔升降机,da'xi'er'sheng'jiang'ji
带层,dai'ceng
袋形走道,dai'xing'zou'dao
蛋白泡沫液,dan'bai'pao'mo'ye
单级式水泵,dan'ji'shi'shui'beng
单路火灾报警控制器,dan'lu'huo'zai'bao'jing'kong'zhi'qi
丹姆克尔数,dan'mu'ke'er'shu
单绳作的双折吊锁,dan'sheng'zuo'de'shuang'zhe'diao'suo
单体式供暖机组,dan'ti'shi'gong'nuan'ji'zu
单位,dan'wei
单位出口宽度,dan'wei'chu'kou'kuan'du
单位制,dan'wei'zhi
单位重量,dan'wei'zhong'liang
单向节流阀,dan'xiang'jie'liu'fa
弹药库,dan'yao'ku
单元独立系统,dan'yuan'du'li'xi'tong
单元通风装置,dan'yuan'tong'feng'zhuang'zhi
挡烟垂壁,dang'yan'chui'bi
导流式水枪,dao'liu'shi'shui'qiang
导流叶片,dao'liu'ye'pian
导热析气计,dao're'xi'qi'ji
倒转,dao'zhuan
等待期,deng'dai'qi
登高平台消防车,deng'gao'ping'tai'xiao'fang'che
等轴晶,deng'zhou'jing
地板,di'ban
地板下电线槽路,di'ban'xia'dian'xian'cao'lu
底舱顶板,di'cang'ding'ban
低估,di'gu
低火灾负荷用房,di'huo'zai'fu'he'yong'fang
地区部门修理中心,di'qu'bu'men'xiu'li'zhong'xin
地上消火栓,di'shang'xiao'huo'shuan
滴水阀,di'shui'fa
地铁车站,di'tie'che'zhan
地下采煤,di'xia'cai'mei
地下车库,di'xia'che'ku
地下储藏,di'xia'chu'cang
地下储油站,di'xia'chu'you'zhan
地下防雷线,di'xia'fang'lei'xian
地下管线,di'xia'guan'xian
地下火灾,di'xia'huo'zai
地下建筑物,di'xia'jian'zhu'wu
地下街,di'xia'jie
地下开采,di'xia'kai'cai
地下空调,di'xia'kong'tiao
地下煤气,di'xia'mei'qi
地下燃烧,di'xia'ran'shao
地下商场,di'xia'shang'chang
地下渗漏,di'xia'shen'lou
地下式消防水泵接合器,di'xia'shi'xiao'fang'shui'beng'jie'he'qi
地下铁道,di'xia'tie'dao
地下停车场,di'xia'ting'che'chang
地下消火栓,di'xia'xiao'huo'shuan
地下有盖水槽,di'xia'you'gai'shui'cao
地下油罐,di'xia'you'guan
地下闸阀,di'xia'zha'fa
地下指挥所,di'xia'zhi'hui'suo
地下贮槽,di'xia'zhu'cao
低压报警开,di'ya'bao'jing'kai
低压报警器,di'ya'bao'jing'qi
地震,di'zhen
低值易耗品,di'zhi'yi'hao'pin
电报通信,dian'bao'tong'xin
电场,dian'chang
电场强度,dian'chang'qiang'du
电传打字机,dian'chuan'da'zi'ji
电传打字机电路,dian'chuan'da'zi'ji'dian'lu
电传书写机,dian'chuan'shu'xie'ji
电磁波,dian'ci'bo
电磁阀,dian'ci'fa
电磁感应,dian'ci'gan'ying
淀粉炸药,dian'fen'zha'yao
电光源型消防安全疏散标志,dian'guang'yuan'xing'xiao'fang'an'quan'shu'san'biao'zhi
电弧,dian'hu
电话报警,dian'hua'bao'jing
电话报警系统,dian'hua'bao'jing'xi'tong
电话簿,dian'hua'bu
电话机,dian'hua'ji
电话交换台,dian'hua'jiao'huan'tai
电话联系,dian'hua'lian'xi
电话网,dian'hua'wang
电话线,dian'hua'xian
电火花,dian'huo'hua
点火火焰,dian'huo'huo'yan
点火剂成分,dian'huo'ji'cheng'fen
点火剂组成,dian'huo'ji'zu'cheng
电极电路,dian'ji'dian'lu
电缆槽盒穿透度,dian'lan'cao'he'chuan'tou'du
电缆槽盒阻火物,dian'lan'cao'he'zu'huo'wu
电缆管道,dian'lan'guan'dao
电缆进线室,dian'lan'jin'xian'shi
电流密度,dian'liu'mi'du
电视发射塔,dian'shi'fa'she'ta
电视监控设备,dian'shi'jian'kong'she'bei
电视摄象机,dian'shi'she'xiang'ji
电视演播室,dian'shi'yan'bo'shi
电梯,dian'ti
电梯前室门,dian'ti'qian'shi'men
电梯疏散系统,dian'ti'shu'san'xi'tong
电位差,dian'wei'cha
电线下升降法,dian'xian'xia'sheng'jiang'fa
典型调查,dian'xing'diao'cha
点型火灾探测器,dian'xing'huo'zai'tan'ce'qi
电压,dian'ya
电压报警器,dian'ya'bao'jing'qi
凋温器,diao'wen'qi
叠套消防梯,die'tao'xiao'fang'ti
定量分析,ding'liang'fen'xi
定期保养完成率,ding'qi'bao'yang'wan'cheng'lv
动态试验,dong'tai'shi'yan
毒气报警,du'qi'bao'jing
毒气警报,du'qi'jing'bao
短路熔痕,duan'lu'rong'hen
对称系统,dui'chen'xi'tong
对火反应,dui'huo'fan'ying
堆芯喷淋系统沸水堆,dui'xin'pen'lin'xi'tong'fei'shui'dui
堆置场牵引车,dui'zhi'chang'qian'yin'che
惰化,duo'hua
惰化系统,duo'hua'xi'tong
多路火灾报警控制器,duo'lu'huo'zai'bao'jing'kong'zhi'qi
惰性气体防灭火,duo'xing'qi'ti'fang'mie'huo
惰性气体族,duo'xing'qi'ti'zu
轭臂色标,e'bi'se'biao
额定阀侧电流,e'ding'fa'ce'dian'liu
额定阀侧电压,e'ding'fa'ce'dian'ya
额定阀侧视在功率,e'ding'fa'ce'shi'zai'gong'lv
扼架,e'jia
轭铁,e'tie
额外轮休期,e'wai'lun'xiu'qi
二次短路熔痕,er'ci'duan'lu'rong'hen
二分水器,er'fen'shui'qi
二甲苯,er'jia'ben
二氧化碳灭火,er'yang'hua'tan'mie'huo
二氧化碳灭火剂,er'yang'hua'tan'mie'huo'ji
二氧化碳灭火器,er'yang'hua'tan'mie'huo'qi
二氧化碳灭火系统,er'yang'hua'tan'mie'huo'xi'tong
二氧化碳灭火系统施放试验,er'yang'hua'tan'mie'huo'xi'tong'shi'fang'shi'yan
二氧化碳消防车,er'yang'hua'tan'xiao'fang'che
阀侧绕组,fa'ce'rao'zu
伐倒,fa'dao
阀点,fa'dian
阀盖,fa'gai
发光,fa'guang
发光的,fa'guang'de
发光强度,fa'guang'qiang'du
发光强度标准灯,fa'guang'qiang'du'biao'zhun'deng
发光强度光通量峰值,fa'guang'qiang'du'guang'tong'liang'feng'zhi
发光效率,fa'guang'xiao'lv
阀柜,fa'gui
阀极性,fa'ji'xing
阀金属,fa'jin'shu
阀式避雷器,fa'shi'bi'lei'qi
阀套,fa'tao
阀调整,fa'tiao'zheng
阀芯位移,fa'xin'wei'yi
阀行程,fa'xing'cheng
阀压降,fa'ya'jiang
阀装置,fa'zhuang'zhi
阀座,fa'zuo
反常情况,fan'chang'qing'kuang
反射线,fan'she'xian
反向铺设水带,fan'xiang'pu'she'shui'dai
反向散射,fan'xiang'san'she
反循环阀,fan'xun'huan'fa
犯罪统一报告,fan'zui'tong'yi'bao'gao
防爆防火墙,fang'bao'fang'huo'qiang
防爆口,fang'bao'kou
防爆口挡板,fang'bao'kou'dang'ban
防暴枪,fang'bao'qiang
防爆系统,fang'bao'xi'tong
方差,fang'cha
放出,fang'chu
房顶通风口,fang'ding'tong'feng'kou
防辐射,fang'fu'she
防辐射的,fang'fu'she'de
防辐射屏蔽,fang'fu'she'ping'bi
防火,fang'huo
放火,fang'huo
防火板,fang'huo'ban
防火层门,fang'huo'ceng'men
防火窗,fang'huo'chuang
防火堤,fang'huo'di
防火阀,fang'huo'fa
防火防护外壳,fang'huo'fang'hu'wai'ke
防火分隔,fang'huo'fen'ge
防火分区,fang'huo'fen'qu
防火隔板,fang'huo'ge'ban
防火卷帘,fang'huo'juan'lian
防火帽,fang'huo'mao
防火煤柱,fang'huo'mei'zhu
防火门,fang'huo'men
防火幕,fang'huo'mu
防火幕安全疏散面积,fang'huo'mu'an'quan'shu'san'mian'ji
防火墙,fang'huo'qiang
防火疏散路线,fang'huo'shu'san'lu'xian
防火涂料,fang'huo'tu'liao
防火屋面,fang'huo'wu'mian
防火性能,fang'huo'xing'neng
放空,fang'kong
防碰报警装置,fang'peng'bao'jing'zhuang'zhi
放气机壳,fang'qi'ji'ke
放射,fang'she
放射化学,fang'she'hua'xue
放射面积,fang'she'mian'ji
放射区,fang'she'qu
放射生态学,fang'she'sheng'tai'xue
放射现象,fang'she'xian'xiang
放射线灼伤,fang'she'xian'zhuo'shang
放射性,fang'she'xing
放射性标准,fang'she'xing'biao'zhun
放射性材料,fang'she'xing'cai'liao
放射性的,fang'she'xing'de
放射性废物,fang'she'xing'fei'wu
放射性辐射生物学,fang'she'xing'fu'she'sheng'wu'xue
放射性介质,fang'she'xing'jie'zhi
放射性金属,fang'she'xing'jin'shu
放射性金属火灾,fang'she'xing'jin'shu'huo'zai
放射性气体,fang'she'xing'qi'ti
放射性示踪剂,fang'she'xing'shi'zong'ji
放射性衰变,fang'she'xing'shuai'bian
放射性死灰,fang'she'xing'si'hui
放射性同位素,fang'she'xing'tong'wei'su
放射性微粒回降,fang'she'xing'wei'li'hui'jiang
放射性污染,fang'she'xing'wu'ran
放射性物质,fang'she'xing'wu'zhi
放射性元素,fang'she'xing'yuan'su
放射性云,fang'she'xing'yun
放射性中和器,fang'she'xing'zhong'he'qi
放射性坠尘回降物,fang'she'xing'zhui'chen'hui'jiang'wu
放射诊断,fang'she'zhen'duan
放水阀座,fang'shui'fa'zuo
防水连靴裤,fang'shui'lian'xue'ku
防水油布,fang'shui'you'bu
防损车,fang'sun'che
防瞎摆弄探测器,fang'xia'bai'nong'tan'ce'qi
防烟阀,fang'yan'fa
防烟分区,fang'yan'fen'qu
防烟楼梯间,fang'yan'lou'ti'jian
防御性灭火,fang'yu'xing'mie'huo
非安全故障,fei'an'quan'gu'zhang
非故意的,fei'gu'yi'de
非国际制单位,fei'guo'ji'zhi'dan'wei
飞火,fei'huo
飞机事故报告,fei'ji'shi'gu'bao'gao
非均衡系统,fei'jun'heng'xi'tong
非冷却型机动车排气火花熄灭器,fei'leng'que'xing'ji'dong'che'pai'qi'huo'hua'xi'mie'qi
非全日工作消防队,fei'quan'ri'gong'zuo'xiao'fang'dui
非全日工作消防人员,fei'quan'ri'gong'zuo'xiao'fang'ren'yuan
非现役消防队员,fei'xian'yi'xiao'fang'dui'yuan
飞行事故,fei'xing'shi'gu
飞行事故调查委员会,fei'xing'shi'gu'diao'cha'wei'yuan'hui
废墟,fei'xu
非悬挂重量,fei'xuan'gua'zhong'liang
非正常状态,fei'zheng'chang'zhuang'tai
分解气体,fen'jie'qi'ti
分流阀,fen'liu'fa
分配轴,fen'pei'zhou
分区布局,fen'qu'bu'ju
分区出路,fen'qu'chu'lu
分区供水,fen'qu'gong'shui
分区规划,fen'qu'gui'hua
分区开放的水雾喷头,fen'qu'kai'fang'de'shui'wu'pen'tou
分区外出权,fen'qu'wai'chu'quan
分区烟气控制,fen'qu'yan'qi'kong'zhi
分区有阻碍出路,fen'qu'you'zu'ai'chu'lu
分区制,fen'qu'zhi
分散维修,fen'san'wei'xiu
封闭楼梯间,feng'bi'lou'ti'jian
风机灭火,feng'ji'mie'huo
风力灭火机,feng'li'mie'huo'ji
风门控制装置,feng'men'kong'zhi'zhuang'zhi
封檐板,feng'yan'ban
风障,feng'zhang
俯采,fu'cai
氟蛋白泡沫液,fu'dan'bai'pao'mo'ye
复合式火灾探测器,fu'he'shi'huo'zai'tan'ce'qi
负荷试验,fu'he'shi'yan
弗兰克卡米涅茨基方程,fu'lan'ke'ka'mi'nie'ci'ji'fang'cheng
浮球阀,fu'qiu'fa
复燃火焰,fu'ran'huo'yan
辐射,fu'she
辐射板,fu'she'ban
辐射板供暖,fu'she'ban'gong'nuan
辐射板加热炉,fu'she'ban'jia're'lu
辐射标准,fu'she'biao'zhun
辐射病,fu'she'bing
辐射测量,fu'she'ce'liang
辐射单元,fu'she'dan'yuan
辐射的,fu'she'de
辐射电阻炉,fu'she'dian'zu'lu
辐射对流温度,fu'she'dui'liu'wen'du
辐射反馈,fu'she'fan'kui
辐射防护,fu'she'fang'hu
辐射高温计,fu'she'gao'wen'ji
辐射功率,fu'she'gong'lv
辐射管式炉,fu'she'guan'shi'lu
辐射化学,fu'she'hua'xue
辐射激活化,fu'she'ji'huo'hua
辐射剂量测定法,fu'she'ji'liang'ce'ding'fa
辐射剂量学,fu'she'ji'liang'xue
辐射检查,fu'she'jian'cha
辐射警告符号,fu'she'jing'gao'fu'hao
辐射量,fu'she'liang
辐射量热器,fu'she'liang're'qi
辐射面,fu'she'mian
辐射能,fu'she'neng
辐射能力,fu'she'neng'li
辐射能试验法,fu'she'neng'shi'yan'fa
辐射能通量,fu'she'neng'tong'liang
辐射屏,fu'she'ping
辐射屏蔽,fu'she'ping'bi
辐射强度,fu'she'qiang'du
辐射热,fu'she're
辐射热反馈,fu'she're'fan'kui
辐射热供暖,fu'she're'gong'nuan
辐射伤害,fu'she'shang'hai
辐射射罩,fu'she'she'zhao
辐射式供暖器,fu'she'shi'gong'nuan'qi
辐射式供暖系统,fu'she'shi'gong'nuan'xi'tong
辐射式灭火器,fu'she'shi'mie'huo'qi
辐射损伤,fu'she'sun'shang
辐射探测器,fu'she'tan'ce'qi
辐射探测仪,fu'she'tan'ce'yi
辐射条件,fu'she'tiao'jian
辐射通量,fu'she'tong'liang
辐射通量试验,fu'she'tong'liang'shi'yan
辐射危害,fu'she'wei'hai
辐射温度,fu'she'wen'du
辐射系数,fu'she'xi'shu
辐射效应,fu'she'xiao'ying
辐射性能,fu'she'xing'neng
辐射源,fu'she'yuan
辐射增强的燃烧速率,fu'she'zeng'qiang'de'ran'shao'su'lv
辐射照射,fu'she'zhao'she
辐射值,fu'she'zhi
辐射主体,fu'she'zhu'ti
辐射装置,fu'she'zhuang'zhi
辐射作用,fu'she'zuo'yong
负压,fu'ya
辅助安全功能,fu'zhu'an'quan'gong'neng
辅助冷却装置,fu'zhu'leng'que'zhuang'zhi
辅助楼梯,fu'zhu'lou'ti
辅助楼梯间,fu'zhu'lou'ti'jian
干粉灭火剂,gan'fen'mie'huo'ji
干粉灭火器,gan'fen'mie'huo'qi
干粉灭火系统,gan'fen'mie'huo'xi'tong
干粉炮,gan'fen'pao
干粉枪,gan'fen'qiang
干粉消防车,gan'fen'xiao'fang'che
干粉抑爆剂,gan'fen'yi'bao'ji
感辐射能火灾探测器,gan'fu'she'neng'huo'zai'tan'ce'qi
感辐射能探测器,gan'fu'she'neng'tan'ce'qi
感光火灾探测器,gan'guang'huo'zai'tan'ce'qi
干摩,gan'mo
干扰信号,gan'rao'xin'hao
干式检测计,gan'shi'jian'ce'ji
干式喷水灭火系统,gan'shi'pen'shui'mie'huo'xi'tong
感温火灾探测器,gan'wen'huo'zai'tan'ce'qi
感温式火灾探测器,gan'wen'shi'huo'zai'tan'ce'qi
感温式火灾探测装置,gan'wen'shi'huo'zai'tan'ce'zhuang'zhi
感烟火灾探测器,gan'yan'huo'zai'tan'ce'qi
感应电压,gan'ying'dian'ya
高倍泡沫消防车,gao'bei'pao'mo'xiao'fang'che
锆火灾,gao'huo'zai
高火灾负荷用房,gao'huo'zai'fu'he'yong'fang
高架仓库洒水喷头安全区,gao'jia'cang'ku'sa'shui'pen'tou'an'quan'qu
高压喷淋试验,gao'ya'pen'lin'shi'yan
高压喷雾水枪,gao'ya'pen'wu'shui'qiang
锆质耐火材料,gao'zhi'nai'huo'cai'liao
隔板,ge'ban
隔火板,ge'huo'ban
个人不安全因素,ge'ren'bu'an'quan'yin'su
搁物架,ge'wu'jia
给水总管,gei'shui'zong'guan
公安消防队,gong'an'xiao'fang'dui
工程设备监理,gong'cheng'she'bei'jian'li
拱顶地下室,gong'ding'di'xia'shi
拱顶室,gong'ding'shi
共晶体,gong'jing'ti
汞扩散泵,gong'kuo'san'beng
供水消防车,gong'shui'xiao'fang'che
工艺,gong'yi
工艺管理,gong'yi'guan'li
