阿尔必阶,a'er'bi'jie
半晶质,ban'jing'zhi
板块,ban'kuai
板块边界,ban'kuai'bian'jie
板块运动,ban'kuai'yun'dong
半亮煤,ban'liang'mei
半面体,ban'mian'ti
板内地震,ban'nei'di'zhen
板劈理,ban'pi'li
半坡面,ban'po'mian
半深海相,ban'shen'hai'xiang
伴生矿物,ban'sheng'kuang'wu
伴生气,ban'sheng'qi
半丝质体,ban'si'zhi'ti
斑铜矿,ban'tong'kuang
板溪群,ban'xi'qun
板岩,ban'yan
搬运,ban'yun
斑杂构造,ban'za'gou'zao
斑状结构,ban'zhuang'jie'gou
爆发指数,bao'fa'zhi'shu
包含结构,bao'han'jie'gou
饱和度,bao'he'du
饱和水流,bao'he'shui'liu
饱和系数,bao'he'xi'shu
包卷层理,bao'juan'ceng'li
包络面,bao'luo'mian
薄膜水,bao'mo'shui
薄片,bao'pian
包气带,bao'qi'dai
包气带水,bao'qi'dai'shui
包容,bao'rong
宝石,bao'shi
宝石学,bao'shi'xue
饱水带,bao'shui'dai
宝塔组,bao'ta'zu
包头矿,bao'tou'kuang
孢子体,bao'zi'ti
钡长石,bei'chang'shi
贝尔纳图,bei'er'na'tu
背景值,bei'jing'zhi
贝克线,bei'ke'xian
北票组,bei'piao'zu
钡闪叶石,bei'shan'ye'shi
钡铁钛石,bei'tie'tai'shi
背形,bei'xing
背形向斜,bei'xing'xiang'xie
本巴图组,ben'ba'tu'zu
本溪组,ben'xi'zu
崩塌,beng'ta
闭合,bi'he
碧侯群,bi'hou'qun
碧口群,bi'kou'qun
笔石相,bi'shi'xiang
碧玄岩,bi'xuan'yan
碧玉岩,bi'yu'yan
比重,bi'zhong
比重瓶,bi'zhong'ping
变斑晶,bian'ban'jing
变辉长岩,bian'hui'chang'yan
变基性岩,bian'ji'xing'yan
边界品位,bian'jie'pin'wei
变晶,bian'jing
变晶系列,bian'jing'xi'lie
变粒岩,bian'li'yan
变泥质岩,bian'ni'zhi'yan
边坡,bian'po
变形,bian'xing
变形砾石,bian'xing'li'shi
变形路径,bian'xing'lu'jing
变形双晶,bian'xing'shuang'jing
变形条带,bian'xing'tiao'dai
变形纹,bian'xing'wen
边缘海,bian'yuan'hai
边缘盆地,bian'yuan'pen'di
变质,bian'zhi
变质带,bian'zhi'dai
变质反应,bian'zhi'fan'ying
变质级,bian'zhi'ji
变质阶段,bian'zhi'jie'duan
变质矿床,bian'zhi'kuang'chuang
变质期,bian'zhi'qi
变质事件,bian'zhi'shi'jian
变质梯度,bian'zhi'ti'du
变质体制,bian'zhi'ti'zhi
变质相,bian'zhi'xiang
变质相系,bian'zhi'xiang'xi
变质相组,bian'zhi'xiang'zu
变质旋回,bian'zhi'xuan'hui
变质亚相,bian'zhi'ya'xiang
变质岩,bian'zhi'yan
变质作用,bian'zhi'zuo'yong
辫状河,bian'zhuang'he
表观年龄,biao'guan'nian'ling
表生成岩,biao'sheng'cheng'yan
表生异常,biao'sheng'yi'chang
标型矿物,biao'xing'kuang'wu
标型元素,biao'xing'yuan'su
标志化石,biao'zhi'hua'shi
标准,biao'zhun
标准化石,biao'zhun'hua'shi
标准剖面,biao'zhun'pou'mian
滨岸,bin'an
滨海相,bin'hai'xiang
冰长石,bing'chang'shi
冰川,bing'chuan
冰川擦痕,bing'chuan'ca'hen
冰川漂砾,bing'chuan'piao'li
冰川相,bing'chuan'xiang
冰川作用,bing'chuan'zuo'yong
冰后期,bing'hou'qi
冰晶石,bing'jing'shi
冰期,bing'qi
冰碛阶地,bing'qi'jie'di
冰碛扇,bing'qi'shan
冰碛岩,bing'qi'yan
冰蚀作用,bing'shi'zuo'yong
波动说,bo'dong'shuo
波痕,bo'hen
波痕指数,bo'hen'zhi'shu
玻璃光泽,bo'li'guang'ze
玻璃原料,bo'li'yuan'liao
玻璃陨石,bo'li'yun'shi
玻璃质,bo'li'zhi
薄皮构造,bo'pi'gou'zao
剥蚀,bo'shi
剥蚀平原,bo'shi'ping'yuan
铂系元素,bo'xi'yuan'su
玻屑,bo'xie
波状层理,bo'zhuang'ceng'li
铂族元素,bo'zu'yuan'su
补偿,bu'chang
不等粒状,bu'deng'li'zhuang
布丁,bu'ding
不对称,bu'dui'chen
部分平衡,bu'fen'ping'heng
部分熔融,bu'fen'rong'rong
不混熔性,bu'hun'rong'xing
布拉格阶,bu'la'ge'jie
布拉格期,bu'la'ge'qi
不连续,bu'lian'xu
不透明,bu'tou'ming
不透水层,bu'tou'shui'ceng
补型,bu'xing
不整合,bu'zheng'he
彩钼铅矿,cai'mu'qian'kuang
残积矿床,can'ji'kuang'chuang
参考点,can'kao'dian
参考剖面,can'kao'pou'mian
残留构造,can'liu'gou'zao
残余变形,can'yu'bian'xing
残余构造,can'yu'gou'zao
残余强度,can'yu'qiang'du
残植煤,can'zhi'mei
残殖煤,can'zhi'mei
沧浪铺阶,cang'lang'pu'jie
沧浪铺期,cang'lang'pu'qi
沧浪铺组,cang'lang'pu'zu
槽模,cao'mo
槽铸型,cao'zhu'xing
侧伏,ce'fu
侧伏角,ce'fu'jiao
测角仪,ce'jiao'yi
测线采样,ce'xian'cai'yang
层间砾岩,ceng'jian'li'yan
层间水,ceng'jian'shui
层间岩溶,ceng'jian'yan'rong
层间越流,ceng'jian'yue'liu
层控矿床,ceng'kong'kuang'chuang
层理,ceng'li
层流,ceng'liu
层面,ceng'mian
层内砾岩,ceng'nei'li'yan
层凝灰岩,ceng'ning'hui'yan
层位,ceng'wei
层型,ceng'xing
层序,ceng'xu
层状火山,ceng'zhuang'huo'shan
层状矿床,ceng'zhuang'kuang'chuang
差热分析,cha're'fen'xi
差异风化,cha'yi'feng'hua
差异应力,cha'yi'ying'li
柴达木石,chai'da'mu'shi
拆离,chai'li
产层,chan'ceng
铲形断层,chan'xing'duan'ceng
产油区,chan'you'qu
产铀岩体,chan'you'yan'ti
产状,chan'zhuang
长城纪,chang'cheng'ji
长城群,chang'cheng'qun
长城系,chang'cheng'xi
常光,chang'guang
常量元素,chang'liang'yuan'su
长山阶,chang'shan'jie
长山期,chang'shan'qi
长山组,chang'shan'zu
长石,chang'shi
长石砂岩,chang'shi'sha'yan
长兴阶,chang'xing'jie
长兴期,chang'xing'qi
长兴组,chang'xing'zu
长焰煤,chang'yan'mei
常州沟组,chang'zhou'gou'zu
肠状褶皱,chang'zhuang'zhe'zhou
超覆,chao'fu
超固结土,chao'gu'jie'tu
超基性岩,chao'ji'xing'yan
超糜棱岩,chao'mi'leng'yan
超群,chao'qun
超酸性岩,chao'suan'xing'yan
潮滩,chao'tan
尘暴,chen'bao
沉淀分带,chen'dian'fen'dai
衬度,chen'du
沉积,chen'ji
沉积分异,chen'ji'fen'yi
沉积盖层,chen'ji'gai'ceng
沉积构造,chen'ji'gou'zao
沉积环境,chen'ji'huan'jing
沉积建造,chen'ji'jian'zao
沉积接触,chen'ji'jie'chu
沉积结构,chen'ji'jie'gou
沉积矿床,chen'ji'kuang'chuang
沉积水,chen'ji'shui
沉积物,chen'ji'wu
沉积相,chen'ji'xiang
沉积旋回,chen'ji'xuan'hui
沉积岩,chen'ji'yan
沉积组合,chen'ji'zu'he
沉降,chen'jiang
辰砂,chen'sha
成矿带,cheng'kuang'dai
成矿期,cheng'kuang'qi
成矿壳层,cheng'kuang'qiao'ceng
成矿区,cheng'kuang'qu
成矿省,cheng'kuang'sheng
成矿系列,cheng'kuang'xi'lie
成矿序列,cheng'kuang'xu'lie
成矿学,cheng'kuang'xue
成矿域,cheng'kuang'yu
成矿预测,cheng'kuang'yu'ce
成矿元素,cheng'kuang'yuan'su
成矿作用,cheng'kuang'zuo'yong
成煤物质,cheng'mei'wu'zhi
城市地质,cheng'shi'di'zhi
成熟度,cheng'shu'du
橙玄玻璃,cheng'xuan'bo'li
承压水,cheng'ya'shui
承压水头,cheng'ya'shui'tou
承压水位,cheng'ya'shui'wei
成岩作用,cheng'yan'zuo'yong
承载力,cheng'zai'li
持力层,chi'li'ceng
赤路矿,chi'lu'kuang
持水度,chi'shui'du
持水量,chi'shui'liang
赤铁矿,chi'tie'kuang
赤铜矿,chi'tong'kuang
重叠,chong'die
冲断层,chong'duan'ceng
冲击坑,chong'ji'keng
冲积相,chong'ji'xiang
冲击岩,chong'ji'yan
重结晶,chong'jie'jing
虫孔,chong'kong
重现间隔,chong'xian'jian'ge
臭葱石,chou'cong'shi
稠度,chou'du
稠度指数,chou'du'zhi'shu
臭牛沟组,chou'niu'gou'zu
抽水井,chou'shui'jing
抽水试验,chou'shui'shi'yan
臭氧耗竭,chou'yang'hao'jie
储层性质,chu'ceng'xing'zhi
初见水位,chu'jian'shui'wei
雏晶,chu'jing
储量,chu'liang
初糜岩,chu'mi'yan
出溶,chu'rong
初始比值,chu'shi'bi'zhi
初始铅,chu'shi'qian
初始熔体,chu'shi'rong'ti
初始应力,chu'shi'ying'li
储油构造,chu'you'gou'zao
储油气层,chu'you'qi'ceng
串岭沟组,chuan'ling'gou'zu
船山组,chuan'shan'zu
穿时性,chuan'shi'xing
传压介质,chuan'ya'jie'zhi
窗格构造,chuang'ge'gou'zao
窗棂构造,chuang'ling'gou'zao
垂直分带,chui'zhi'fen'dai
纯橄榄岩,chun'gan'lan'yan
纯剪切,chun'jian'qie
磁赤铁矿,ci'chi'tie'kuang
雌黄,ci'huang
磁黄铁矿,ci'huang'tie'kuang
次火山相,ci'huo'shan'xiang
次火山岩,ci'huo'shan'yan
次生环境,ci'sheng'huan'jing
次生加大,ci'sheng'jia'da
次生矿物,ci'sheng'kuang'wu
次生水,ci'sheng'shui
次生异常,ci'sheng'yi'chang
磁铁矿,ci'tie'kuang
次透辉石,ci'tou'hui'shi
磁性,ci'xing
次元素,ci'yuan'su
粗安岩,cu'an'yan
粗砾,cu'li
粗粒体,cu'li'ti
粗面结构,cu'mian'jie'gou
粗面岩,cu'mian'yan
粗铅法,cu'qian'fa
粗玄岩,cu'xuan'yan
翠峰山群,cui'feng'shan'qun
淬火熔体,cui'huo'rong'ti
脆性变形,cui'xing'bian'xing
大别岩群,da'bie'yan'qun
鞑靼阶,da'da'jie
鞑靼期,da'da'qi
大骨节病,da'gu'jie'bing
大红峪组,da'hong'yu'zu
大矿囊,da'kuang'nang
达拉阶,da'la'jie
达拉期,da'la'qi
达拉组,da'la'zu
大理岩,da'li'yan
大陆,da'lu
大陆边缘,da'lu'bian'yuan
大陆地震,da'lu'di'zhen
大陆漂移,da'lu'piao'yi
大气圈,da'qi'quan
大气氩,da'qi'ya
大荞地组,da'qiao'di'zu
大青山矿,da'qing'shan'kuang
大塘阶,da'tang'jie
大塘期,da'tang'qi
大湾组,da'wan'zu
达西定律,da'xi'ding'lv
大冶组,da'ye'zu
代化组,dai'hua'zu
丹巴矿,dan'ba'kuang
蛋白石,dan'bai'shi
单孔抽水,dan'kong'chou'shui
单面,dan'mian
丹尼阶,dan'ni'jie
丹尼期,dan'ni'qi
淡水,dan'shui
单位层型,dan'wei'ceng'xing
单斜,dan'xie
单斜辉石,dan'xie'hui'shi
单斜晶系,dan'xie'jing'xi
氮循环,dan'xun'huan
单轴晶体,dan'zhou'jing'ti
道芬双晶,dao'fen'shuang'jing
岛弧,dao'hu
道马矿,dao'ma'kuang
导水系数,dao'shui'xi'shu
导水性,dao'shui'xing
倒向,dao'xiang
倒易格子,dao'yi'ge'zi
倒转褶皱,dao'zhuan'zhe'zhou
德拜,de'bai
德坞阶,de'wu'jie
德坞期,de'wu'qi
等变质级,deng'bian'zhi'ji
等分线,deng'fen'xian
等厚线图,deng'hou'xian'tu
等键结构,deng'jian'jie'gou
等粒状,deng'li'zhuang
登楼库组,deng'lou'ku'zu
等煤级线,deng'mei'ji'xian
等倾线,deng'qing'xian
等深,deng'shen
等势线,deng'shi'xian
等时线,deng'shi'xian
等水位线,deng'shui'wei'xian
等水压线,deng'shui'ya'xian
等同周期,deng'tong'zhou'qi
等斜褶皱,deng'xie'zhe'zhou
等型,deng'xing
灯影组,deng'ying'zu
等轴晶系,deng'zhou'jing'xi
地背斜,di'bei'xie
递变层理,di'bian'ceng'li
地槽,di'cao
地层,di'ceng
地层表,di'ceng'biao
地层典,di'ceng'dian
地层对比,di'ceng'dui'bi
地层分类,di'ceng'fen'lei
地层分区,di'ceng'fen'qu
地层规范,di'ceng'gui'fan
地层划分,di'ceng'hua'fen
地层界线,di'ceng'jie'xian
地层剖面,di'ceng'pou'mian
地层圈闭,di'ceng'quan'bi
地层学,di'ceng'xue
地层指南,di'ceng'zhi'nan
地层柱,di'ceng'zhu
地磁极,di'ci'ji
地盾,di'dun
地方病,di'fang'bing
地缝合线,di'feng'he'xian
地核,di'he
地基,di'ji
地极,di'ji
递进变形,di'jin'bian'xing
迪开石,di'kai'shi
地块,di'kuai
地蜡,di'la
地垒,di'lei
地沥青,di'li'qing
底砾岩,di'li'yan
地裂缝,di'lie'feng
地裂运动,di'lie'yun'dong
地幔,di'man
地幔隆起,di'man'long'qi
地幔岩,di'man'yan
地幔柱,di'man'zhu
底面,di'mian
地面沉降,di'mian'chen'jiang
地面运动,di'mian'yun'dong
底辟,di'pi
底辟作用,di'pi'zuo'yong
地堑,di'qian
地壳,di'qiao
地球,di'qiu
地球磁性,di'qiu'ci'xing
地球化学,di'qiu'hua'xue
地球科学,di'qiu'ke'xue
地热,di're
地热工业,di're'gong'ye
地热活动,di're'huo'dong
地热能,di're'neng
地热省,di're'sheng
地热梯度,di're'ti'du
地热田,di're'tian
地热系统,di're'xi'tong
地热异常,di're'yi'chang
地史学,di'shi'xue
第四纪,di'si'ji
第四系,di'si'xi
地台,di'tai
地体,di'ti
地洼说,di'wa'shuo
地温,di'wen
地下工程,di'xia'gong'cheng
地下河,di'xia'he
地下热,di'xia're
地下热水,di'xia're'shui
地下水,di'xia'shui
地下水质,di'xia'shui'zhi
地向斜,di'xiang'xie
地学,di'xue
低压相系,di'ya'xiang'xi
地震,di'zhen
地震波,di'zhen'bo
地震线,di'zhen'xian
地质,di'zhi
地质构造,di'zhi'gou'zao
地质环境,di'zhi'huan'jing
地质力学,di'zhi'li'xue
地质年表,di'zhi'nian'biao
地质事件,di'zhi'shi'jian
地质时期,di'zhi'shi'qi
地质学,di'zhi'xue
地质灾害,di'zhi'zai'hai
地质作用,di'zhi'zuo'yong
地轴,di'zhou
淀积,dian'ji
点接触,dian'jie'chu
碘矿床,dian'kuang'chuang
电模拟法,dian'mo'ni'fa
电气石,dian'qi'shi
点群,dian'qun
电子探针,dian'zi'tan'zhen
电子衍射,dian'zi'yan'she
钓鱼岛石,diao'yu'dao'shi
叠层构造,die'ceng'gou'zao
叠层石,die'ceng'shi
叠加异常,die'jia'yi'chang
叠加褶皱,die'jia'zhe'zhou
叠生矿床,die'sheng'kuang'chuang
叠套矿床,die'tao'kuang'chuang
叠瓦构造,die'wa'gou'zao
叠锥,die'zhui
顶峰带,ding'feng'dai
定年,ding'nian
氡法测量,dong'fa'ce'liang
东岗岭阶,dong'gang'ling'jie
东岗岭期,dong'gang'ling'qi
东岗岭组,dong'gang'ling'zu
冻蓝闪石,dong'lan'shan'shi
冻土,dong'tu
动物群,dong'wu'qun
豆粒,dou'li
陡山沱组,dou'shan'tuo'zu
豆状构造,dou'zhuang'gou'zao
独居石,du'ju'shi
杜内阶,du'nei'jie
杜内期,du'nei'qi
毒砂,du'sha
独山子组,du'shan'zi'zu
断层,duan'ceng
断层擦面,duan'ceng'ca'mian
断层地震,duan'ceng'di'zhen
断层陡坎,duan'ceng'dou'kan
断层谷,duan'ceng'gu
断层滑移,duan'ceng'hua'yi
断层泥,duan'ceng'ni
断层泉,duan'ceng'quan
断层圈闭,duan'ceng'quan'bi
断层拖曳,duan'ceng'tuo'ye
断层崖,duan'ceng'ya
断距,duan'ju
断口,duan'kou
断块,duan'kuai
断裂,duan'lie
端面,duan'mian
断坪,duan'ping
断坡,duan'po
断陷塘,duan'xian'tang
对称,dui'chen
对称心,dui'chen'xin
对称褶皱,dui'chen'zhe'zhou
堆积,dui'ji
堆积阶地,dui'ji'jie'di
堆积平原,dui'ji'ping'yuan
对流循环,dui'liu'xun'huan
盾形火山,dun'xing'huo'shan
多尔格阶,duo'er'ge'jie
多尔格期,duo'er'ge'qi
多孔介质,duo'kong'jie'zhi
多块滑动,duo'kuai'hua'dong
多年冻土,duo'nian'dong'tu
多色性,duo'se'xing
多型,duo'xing
多型变体,duo'xing'bian'ti
惰性气体,duo'xing'qi'ti
多型体,duo'xing'ti
惰性铀,duo'xing'you
多旋回,duo'xuan'hui
惰质组,duo'zhi'zu
二长结构,er'chang'jie'gou
二长岩,er'chang'yan
二叠纪,er'die'ji
二叠系,er'die'xi
鲕粒,er'li
二连石,er'lian'shi
鲕绿泥石,er'lv'ni'shi
二马营组,er'ma'ying'zu
二十面体,er'shi'mian'ti
二维流,er'wei'liu
二轴晶,er'zhou'jing
鲕状构造,er'zhuang'gou'zao
发光,fa'guang
法门阶,fa'men'jie
法门期,fa'men'qi
钒钡铜矿,fan'bei'tong'kuang
反磁性,fan'ci'xing
泛大陆,fan'da'lu
泛大洋,fan'da'yang
泛地槽,fan'di'cao
泛地台,fan'di'tai
钒钙铀矿,fan'gai'you'kuang
翻卷褶皱,fan'juan'zhe'zhou
泛滥平原,fan'lan'ping'yuan
凡兰吟阶,fan'lan'yin'jie
凡兰吟期,fan'lan'yin'qi
反射,fan'she
反射弧,fan'she'hu
反射计,fan'she'ji
反射率,fan'she'lv
反伸,fan'shen
反伸中心,fan'shen'zhong'xin
钒酸盐,fan'suan'yan
钒铜矿,fan'tong'kuang
反演,fan'yan
反应速率,fan'ying'su'lv
反应系列,fan'ying'xi'lie
钒云母,fan'yun'mu
方沸石,fang'fei'shi
方解石,fang'jie'shi
方解石化,fang'jie'shi'hua
方镁石,fang'mei'shi
方钠石,fang'na'shi
方硼石,fang'peng'shi
方铅矿,fang'qian'kuang
放热地面,fang're'di'mian
放射虫岩,fang'she'chong'yan
放射性,fang'she'xing
放射性水,fang'she'xing'shui
方石英,fang'shi'ying
方陨铁,fang'yun'tie
方柱石,fang'zhu'shi
非常光线,fei'chang'guang'xian
非共轴,fei'gong'zhou
非晶质,fei'jing'zhi
非均匀流,fei'jun'yun'liu
非均质,fei'jun'zhi
飞来峰,fei'lai'feng
肥煤,fei'mei
非强干,fei'qiang'gan
沸泉,fei'quan
沸石,fei'shi
沸石矿床,fei'shi'kuang'chuang
废水,fei'shui
非完整井,fei'wan'zheng'jing
非稳定流,fei'wen'ding'liu
霏细结构,fei'xi'jie'gou
飞仙关组,fei'xian'guan'zu
分层作用,fen'ceng'zuo'yong
分带序列,fen'dai'xu'lie
粉晶,fen'jing
分流河段,fen'liu'he'duan
分馏机理,fen'liu'ji'li
分馏曲线,fen'liu'qu'xian
分馏系数,fen'liu'xi'shu
分馏效应,fen'liu'xiao'ying
分凝作用,fen'ning'zuo'yong
分配系数,fen'pei'xi'shu
分散,fen'san
分散场,fen'san'chang
分散流,fen'san'liu
分散系数,fen'san'xi'shu
分散元素,fen'san'yuan'su
分散晕,fen'san'yun
粉砂,fen'sha
粉砂岩,fen'sha'yan
分乡组,fen'xiang'zu
粉屑灰岩,fen'xie'hui'yan
分选指数,fen'xuan'zhi'shu
分异指数,fen'yi'zhi'shu
分域采样,fen'yu'cai'yang
风暴岩,feng'bao'yan
风成岩,feng'cheng'yan
封存水,feng'cun'shui
缝合线,feng'he'xian
风化矿床,feng'hua'kuang'chuang
风化壳,feng'hua'qiao
风化作用,feng'hua'zuo'yong
凤山阶,feng'shan'jie
凤山期,feng'shan'qi
凤山组,feng'shan'zu
复背斜,fu'bei'xie
俯冲,fu'chong
俯冲断层,fu'chong'duan'ceng
复发间隔,fu'fa'jian'ge
复合层型,fu'he'ceng'xing
复合火山,fu'he'huo'shan
负荷模,fu'he'mo
负荷铸型,fu'he'zhu'xing
复活,fu'huo
复活断层,fu'huo'duan'ceng
富集系数,fu'ji'xi'shu
富金线,fu'jin'xian
富矿体,fu'kuang'ti
副矿物,fu'kuang'wu
弗拉斯阶,fu'la'si'jie
弗拉斯期,fu'la'si'qi
复理石,fu'li'shi
腐泥,fu'ni
腐泥褐煤,fu'ni'he'mei
腐泥煤,fu'ni'mei
腐泥烟煤,fu'ni'yan'mei
副片麻岩,fu'pian'ma'yan
阜平阶段,fu'ping'jie'duan
阜平岩群,fu'ping'yan'qun
芙蓉铀矿,fu'rong'you'kuang
符山石,fu'shan'shi
斧石,fu'shi
浮石,fu'shi
富水程度,fu'shui'cheng'du
富水性,fu'shui'xing
抚顺群,fu'shun'qun
氟碳铈矿,fu'tan'shi'kuang
复稀金矿,fu'xi'jin'kuang
复向斜,fu'xiang'xie
阜新群,fu'xin'qun
浮岩,fu'yan
负延长,fu'yan'chang
负异常,fu'yi'chang
富营养化,fu'ying'yang'hua
富铀岩体,fu'you'yan'ti
复原图,fu'yuan'tu
腐植煤,fu'zhi'mei
腐殖煤,fu'zhi'mei
腐植组,fu'zhi'zu
氟中毒,fu'zhong'du
复柱,fu'zhu
附着力,fu'zhuo'li
盖层,gai'ceng
钙长石,gai'chang'shi
钙铬榴石,gai'ge'liu'shi
钙碱指数,gai'jian'zhi'shu
钙铝榴石,gai'lv'liu'shi
钙钛矿,gai'tai'kuang
钙铁辉石,gai'tie'hui'shi
钙铁榴石,gai'tie'liu'shi
钙霞石,gai'xia'shi
钙质片岩,gai'zhi'pian'yan
钙柱石,gai'zhu'shi
杆沸石,gan'fei'shi
橄榄石,gan'lan'shi
橄榄铜矿,gan'lan'tong'kuang
橄榄岩,gan'lan'yan
橄榄陨铁,gan'lan'yun'tie
干酪根,gan'lao'gen
干裂,gan'lie
赣南矿,gan'nan'kuang
干气,gan'qi
干热岩,gan're'yan
干涉色,gan'she'se
干涉图,gan'she'tu
干盐湖,gan'yan'hu
干盐湖相,gan'yan'hu'xiang
干燥指数,gan'zao'zhi'shu
干蒸汽田,gan'zheng'qi'tian
岗巴群,gang'ba'qun
缸筒设备,gang'tong'she'bei
刚性板块,gang'xing'ban'kuai
刚玉,gang'yu
高度效应,gao'du'xiao'ying
高氟水,gao'fu'shui
高焓流体,gao'han'liu'ti
高岭石,gao'ling'shi
高岭土,gao'ling'tu
高岭土化,gao'ling'tu'hua
高铝矿物,gao'lv'kuang'wu
锆石,gao'shi
高压釜,gao'ya'fu
高压相系,gao'ya'xiang'xi
高于庄组,gao'yu'zhuang'zu
高原,gao'yuan
高原冰川,gao'yuan'bing'chuan
高原相,gao'yuan'xiang
铬钾矿,ge'jia'kuang
革老河组,ge'lao'he'zu
铬铅矿,ge'qian'kuang
格舍尔阶,ge'she'er'jie
格舍尔期,ge'she'er'qi
隔水层,ge'shui'ceng
隔水性,ge'shui'xing
铬酸盐,ge'suan'yan
铬铁矿,ge'tie'kuang
铬铁矿浆,ge'tie'kuang'jiang
格子,ge'zi
格子采样,ge'zi'cai'yang
给水度,gei'shui'du
更长石,geng'chang'shi
更新世,geng'xin'shi
更新统,geng'xin'tong
工程地震,gong'cheng'di'zhen
共轭断层,gong'e'duan'ceng
共轭节理,gong'e'jie'li
工具痕,gong'ju'hen
汞铅矿,gong'qian'kuang
共生矿物,gong'sheng'kuang'wu
共型,gong'xing
汞型矿化,gong'xing'kuang'hua
共轴,gong'zhou
沟弧盆系,gou'hu'pen'xi
沟模,gou'mo
沟蚀,gou'shi
构造,gou'zao
构造变动,gou'zao'bian'dong
构造剥蚀,gou'zao'bo'shi
构造层次,gou'zao'ceng'ci
构造超压,gou'zao'chao'ya
构造窗,gou'zao'chuang
构造单元,gou'zao'dan'yuan
构造地震,gou'zao'di'zhen
构造方向,gou'zao'fang'xiang
构造复合,gou'zao'fu'he
构造格架,gou'zao'ge'jia
构造湖,gou'zao'hu
构造阶段,gou'zao'jie'duan
构造类型,gou'zao'lei'xing
构造联合,gou'zao'lian'he
构造模式,gou'zao'mo'shi
构造拗陷,gou'zao'niu'xian
构造盆地,gou'zao'pen'di
构造侵位,gou'zao'qin'wei
构造圈,gou'zao'quan
构造圈闭,gou'zao'quan'bi
构造体系,gou'zao'ti'xi
构造图式,gou'zao'tu'shi
构造线条,gou'zao'xian'tiao
构造形迹,gou'zao'xing'ji
构造型式,gou'zao'xing'shi
构造序列,gou'zao'xu'lie
构造旋回,gou'zao'xuan'hui
构造学,gou'zao'xue
构造岩,gou'zao'yan
构造样式,gou'zao'yang'shi
构造域,gou'zao'yu
构造作用,gou'zao'zuo'yong
沟铸型,gou'zhu'xing
古北矿,gu'bei'kuang
古城子组,gu'cheng'zi'zu
古地磁,gu'di'ci
古地磁场,gu'di'ci'chang
古地磁极,gu'di'ci'ji
古地磁学,gu'di'ci'xue
古地理图,gu'di'li'tu
古地理学,gu'di'li'xue
古地温,gu'di'wen
古地震,gu'di'zhen
固定论,gu'ding'lun
孤峰组,gu'feng'zu
古滑坡,gu'hua'po
骨架灰岩,gu'jia'hui'yan
顾家石,gu'jia'shi
固结试验,gu'jie'shi'yan
固结系数,gu'jie'xi'shu
固结仪,gu'jie'yi
固结作用,gu'jie'zuo'yong
古近纪,gu'jin'ji
古近系,gu'jin'xi
骨粒,gu'li
牯牛潭组,gu'niu'tan'zu
古气候学,gu'qi'hou'xue
崮山阶,gu'shan'jie
崮山期,gu'shan'qi
崮山组,gu'shan'zu
古生代,gu'sheng'dai
古生界,gu'sheng'jie
古生态学,gu'sheng'tai'xue
固体潮,gu'ti'chao
古铜,gu'tong
古铜辉石,gu'tong'hui'shi
古土壤,gu'tu'rang
