暗娼,an'chang
军人盗窃武器装备罪,jun'ren'dao'qie'wu'qi'zhuang'bei'zui
军人谎报军情罪,jun'ren'huang'bao'jun'qing'zui
军人假传军令罪,jun'ren'jia'chuan'jun'ling'zui
军人临阵脱逃罪,jun'ren'lin'zhen'tuo'tao'zui
军人掠夺战区无辜居民罪,jun'ren'lue'duo'zhan'qu'wu'gu'ju'min'zui
军人虐待俘虏罪,jun'ren'nue'dai'fu'lu'zui
军人虐待迫害部属罪,jun'ren'nue'dai'po'hai'bu'shu'zui
军人破坏军事设施罪,jun'ren'po'huai'jun'shi'she'shi'zui
军人破坏武器装备罪,jun'ren'po'huai'wu'qi'zhuang'bei'zui
军人窃取刺探提供军事机密罪,jun'ren'qie'qu'ci'tan'ti'gong'jun'shi'ji'mi'zui
军人擅离职守罪,jun'ren'shan'li'zhi'shou'zui
军人私放他人偷越国边境罪,jun'ren'si'fang'ta'ren'tou'yue'guo'bian'jing'zui
军人逃离部队罪,jun'ren'tao'li'bu'dui'zui
军人偷越国边境外逃罪,jun'ren'tou'yue'guo'bian'jing'wai'tao'zui
军人玩忽职守罪,jun'ren'wan'hu'zhi'shou'zui
军人违反职责罪,jun'ren'wei'fan'zhi'ze'zui
军人违抗作战命令罪,jun'ren'wei'kang'zuo'zhan'ming'ling'zui
军人武器装备肇事罪,jun'ren'wu'qi'zhuang'bei'zhao'shi'zui
军人泄露军事机密罪,jun'ren'xie'lou'jun'shi'ji'mi'zui
军人遗弃伤员罪,jun'ren'yi'qi'shang'yuan'zui
军人遗失军事机密罪,jun'ren'yi'shi'jun'shi'ji'mi'zui
军人战时造谣惑众罪,jun'ren'zhan'shi'zao'yao'huo'zhong'zui
军人战时自伤罪,jun'ren'zhan'shi'zi'shang'zui
军人自动投降敌人罪,jun'ren'zi'dong'tou'xiang'di'ren'zui
军人阻碍执行职务罪,jun'ren'zu'ai'zhi'xing'zhi'wu'zui
军事机密,jun'shi'ji'mi
军事利益,jun'shi'li'yi
军事设施,jun'shi'she'shi
军职,jun'zhi
军职罪,jun'zhi'zui
抗税罪,kang'shui'zui
空白罪状,kong'bai'zui'zhuang
控制说,kong'zhi'shuo
滥伐林木罪,lan'fa'lin'mu'zui
类罪名,lei'zui'ming
利用封建迷信进行反革命活动罪,li'yong'feng'jian'mi'xin'jin'xing'fan'ge'ming'huo'dong'zui
利用职务之便,li'yong'zhi'wu'zhi'bian
流氓罪,liu'mang'zui
轮奸,lun'jian
脉膊停止说,mai'bo'ting'zhi'shuo
埋藏物,mai'cang'wu
买空卖空,mai'kong'mai'kong
名胜古迹,ming'sheng'gu'ji
名誉,ming'yu
虐待罪,nue'dai'zui
挪用国家特定款物罪,nuo'yong'guo'jia'te'ding'kuan'wu'zui
抛弃物,pao'qi'wu
骗奸,pian'jian
嫖客,piao'ke
姘居,pin'ju
破坏集体生产罪,po'huai'ji'ti'sheng'chan'zui
破坏交通工具罪,po'huai'jiao'tong'gong'ju'zui
破坏交通设备罪,po'huai'jiao'tong'she'bei'zui
破坏界碑界桩罪,po'huai'jie'bei'jie'zhuang'zui
破坏军婚罪,po'huai'jun'hun'zui
破坏名胜古迹罪,po'huai'ming'sheng'gu'ji'zui
破坏社会主义经济秩序罪,po'huai'she'hui'zhu'yi'jing'ji'zhi'xu'zui
破坏通讯设备罪,po'huai'tong'xun'she'bei'zui
破坏选举罪,po'huai'xuan'ju'zui
破坏易燃易爆设备罪,po'huai'yi'ran'yi'bao'she'bei'zui
破坏永久性测量标志罪,po'huai'yong'jiu'xing'ce'liang'biao'zhi'zui
破坏珍贵文物罪,po'huai'zhen'gui'wen'wu'zui
抢赌,qiang'du
抢夺公文证件印章罪,qiang'duo'gong'wen'zheng'jian'yin'zhang'zui
抢夺枪支弹药罪,qiang'duo'qiang'zhi'dan'yao'zui
抢夺罪,qiang'duo'zui
强奸妇女罪,qiang'jian'fu'nv'zui
抢劫罪,qiang'jie'zui
强迫妇女卖淫罪,qiang'po'fu'nv'mai'yin'zui
抢亲,qiang'qin
敲诈勒索罪,qiao'zha'le'suo'zui
侵犯财产罪,qin'fan'cai'chan'zui
侵犯公民人身权利民主权利罪,qin'fan'gong'min'ren'shen'quan'li'min'zhu'quan'li'zui
侵犯公民通讯自由罪,qin'fan'gong'min'tong'xun'zi'you'zui
侵犯少数民族风俗习惯罪,qin'fan'shao'shu'min'zu'feng'su'xi'guan'zui
取得说,qu'de'shuo
全部露出说,quan'bu'lou'chu'shuo
扰乱社会秩序罪,rao'luan'she'hui'zhi'xu'zui
人格,ren'ge
人身权利,ren'shen'quan'li
容留妇女卖淫罪,rong'liu'fu'nv'mai'yin'zui
杀人罪,sha'ren'zui
杀婴,sha'ying
伤害罪,shang'hai'zui
神汉巫婆,shen'han'wu'po
生命机能损害说,sheng'ming'ji'neng'sun'hai'shuo
生命开始时期,sheng'ming'kai'shi'shi'qi
生命权,sheng'ming'quan
生命终止时期,sheng'ming'zhong'zhi'shi'qi
事后受贿,shi'hou'shou'hui
失火罪,shi'huo'zui
失密,shi'mi
事前受贿,shi'qian'shou'hui
受贿罪,shou'hui'zui
兽奸,shou'jian
私藏枪支弹药罪,si'cang'qiang'zhi'dan'yao'zui
私放罪犯罪,si'fang'zui'fan'zui
索贿,suo'hui
所有物,suo'you'wu
贪污罪,tan'wu'zui
逃汇,tao'hui
套汇,tao'hui
特殊渎职罪,te'shu'du'zhi'zui
特务,te'wu
特务罪,te'wu'zui
体罚虐待被监管人员罪,ti'fa'nue'dai'bei'jian'guan'ren'yuan'zui
通奸,tong'jian
同居,tong'ju
投敌叛变罪,tou'di'pan'bian'zui
投毒罪,tou'du'zui
投机倒把,tou'ji'dao'ba
投机倒把罪,tou'ji'dao'ba'zui
偷奸,tou'jian
偷税罪,tou'shui'zui
偷越国边境罪,tou'yue'guo'bian'jing'zui
土地定着物,tu'di'ding'zhe'wu
脱逃罪,tuo'tao'zui
外汇,wai'hui
玩忽职守罪,wan'hu'zhi'shou'zui
枉法裁判罪,wang'fa'cai'pan'zui
违背妇女意志,wei'bei'fu'nv'yi'zhi
违反国境卫生检疫规定罪,wei'fan'guo'jing'wei'sheng'jian'yi'gui'ding'zui
违反危险品管理规定肇事罪,wei'fan'wei'xian'pin'guan'li'gui'ding'zhao'shi'zui
危害公共安全罪,wei'hai'gong'gong'an'quan'zui
违禁物,wei'jin'wu
委托物,wei'tuo'wu
猥亵,wei'xie
伪造公文证件印章罪,wei'zao'gong'wen'zheng'jian'yin'zhang'zui
伪造国家货币罪,wei'zao'guo'jia'huo'bi'zui
伪造计划供应票证罪,wei'zao'ji'hua'gong'ying'piao'zheng'zui
伪造有价票证罪,wei'zao'you'jia'piao'zheng'zui
伪造有价证券罪,wei'zao'you'jia'zheng'quan'zui
伪证罪,wei'zheng'zui
窝藏罪,wo'cang'zui
窝赃罪,wo'zang'zui
诬告陷害罪,wu'gao'xian'hai'zui
武器装备,wu'qi'zhuang'bei
侮辱妇女,wu'ru'fu'nv
侮辱罪,wu'ru'zui
无体物,wu'ti'wu
无主物,wu'zhu'wu
现役军人,xian'yi'jun'ren
相对确定的法定刑,xiang'dui'que'ding'de'fa'ding'xing
相对宣告刑,xiang'dui'xuan'gao'xing
相约自杀,xiang'yue'zi'sha
消极贿赂,xiao'ji'hui'lu
效力丧失说,xiao'li'sang'shi'shuo
销赃罪,xiao'zang'zui
泄露国家机密罪,xie'lou'guo'jia'ji'mi'zui
泄密,xie'mi
胁迫,xie'po
心死亡,xin'si'wang
行贿罪,xing'hui'zui
刑讯逼供罪,xing'xun'bi'gong'zui
叙明罪状,xu'ming'zui'zhuang
宣告刑,xuan'gao'xing
选择法定刑,xuan'ze'fa'ding'xing
选择刑,xuan'ze'xing
徇私枉法罪,xun'si'wang'fa'zui
徇私舞弊罪,xun'si'wu'bi'zui
寻衅滋事,xun'xin'zi'shi
一般渎职罪,yi'ban'du'zhi'zui
一部露出说,yi'bu'lou'chu'shuo
以其他危险方法危害公共安全罪,yi'qi'ta'wei'xian'fang'fa'wei'hai'gong'gong'an'quan'zui
遗弃物,yi'qi'wu
遗弃罪,yi'qi'zui
遗失物,yi'shi'wu
隐蔽物,yin'bi'wu
隐藏物,yin'cang'wu
阴谋颠覆政府罪,yin'mou'dian'fu'zheng'fu'zui
阴谋分裂国家罪,yin'mou'fen'lie'guo'jia'zui
隐匿说,yin'ni'shuo
隐匿物,yin'ni'wu
隐匿罪证罪,yin'ni'zui'zheng'zui
淫书淫画,yin'shu'yin'hua
引诱妇女卖淫罪,yin'you'fu'nv'mai'yin'zui
引证罪状,yin'zheng'zui'zhuang
诱奸,you'jian
幼女,you'nv
有体物,you'ti'wu
有主物,you'zhu'wu
援引法定刑,yuan'yin'fa'ding'xing
援引刑,yuan'yin'xing
运输毒品罪,yun'shu'du'pin'zui
运送他人偷越国边境罪,yun'song'ta'ren'tou'yue'guo'bian'jing'zui
赃赂罪,zang'lu'zui
诈骗罪,zha'pian'zui
战时,zhan'shi
战时从严原则,zhan'shi'cong'yan'yuan'ze
战时缓刑制度,zhan'shi'huan'xing'zhi'du
战时刑事特别法,zhan'shi'xing'shi'te'bie'fa
招摇撞骗罪,zhao'yao'zhuang'pian'zui
珍贵文物,zhen'gui'wen'wu
阵痛说,zhen'tong'shuo
致残,zhi'can
职务关系,zhi'wu'guan'xi
执行公务,zhi'xing'gong'wu
执行刑,zhi'xing'xing
制造毒品罪,zhi'zao'du'pin'zui
制造假药罪,zhi'zao'jia'yao'zui
制作淫书淫画罪,zhi'zuo'yin'shu'yin'hua'zui
重大责任事故罪,zhong'da'ze'ren'shi'gu'zui
重伤,zhong'shang
转移说,zhuan'yi'shuo
准抢劫罪,zhun'qiang'jie'zui
资敌罪,zi'di'zui
自杀,zi'sha
纵火罪,zong'huo'zui
宗教信仰自由,zong'jiao'xin'yang'zi'you
走私,zou'si
走私罪,zou'si'zui
组织利用会道门进行反革命活动罪,zu'zhi'li'yong'hui'dao'men'jin'xing'fan'ge'ming'huo'dong'zui
组织领导或积极强加反革命集团罪,zu'zhi'ling'dao'huo'ji'ji'qiang'jia'fan'ge'ming'ji'tuan'zui
组织他人偷越国边境罪,zu'zhi'ta'ren'tou'yue'guo'bian'jing'zui
组织越狱罪,zu'zhi'yue'yu'zui
最低法定刑,zui'di'fa'ding'xing
最高法定刑,zui'gao'fa'ding'xing
罪名,zui'ming
罪状,zui'zhuang
