暗恋,an'lian
浪矢贵之,lang'shi'gui'zhi
浪失家族,lang'shi'jia'zu
浪矢骏吾,lang'shi'jun'wu
浪矢雄治,lang'shi'xiong'zhi
黎明之街,li'ming'zhi'jie
栗原典子,li'yuan'dian'zi
恋爱的贡多拉,lian'ai'de'gong'duo'la
流星之绊,liu'xing'zhi'ban
绿河,lv'he
美丽的凶器,mei'li'de'xiong'qi
没有凶手的杀人夜,mei'you'xiong'shou'de'sha'ren'ye
梦幻花,meng'huan'hua
梦回都灵,meng'hui'du'ling
秘密,mi'mi
迷途的小狗,mi'tu'de'xiao'gou
面具山庄杀人事件,mian'ju'shan'zhuang'sha'ren'shi'jian
名侦探的守则,ming'zhen'tan'de'shou'ze
名侦探的诅咒,ming'zhen'tan'de'zu'zhou
魔球,mo'qiu
那个时候的谁,na'ge'shi'hou'de'shui
那个时候我们是傻瓜,na'ge'shi'hou'wo'men'shi'sha'gua
你旁边是谁,ni'pang'bian'shi'shui
鸟人计划,niao'ren'ji'hua
牛奶箱的回答,niu'nai'xiang'de'hui'da
彷徨之刃,pang'huang'zhi'ren
平行世界的爱情故事,ping'xing'shi'jie'de'ai'qing'gu'shi
祈祷落幕时,qi'dao'luo'mu'shi
麒麟之翼,qi'lin'zhi'yi
前岛,qian'dao
浅冈未绪,qian'gang'wei'xu
秋吉雄一,qiu'ji'xiong'yi
人鱼沉睡的家,ren'yu'chen'shui'de'jia
日高邦彦,ri'gao'bang'yan
三轮智彦,san'lun'zhi'yan
三泽千都留,san'ze'qian'dou'liu
杀人现场在云端,sha'ren'xian'chang'zai'yun'duan
杀人之门,sha'ren'zhi'men
杉田惠子,shan'tian'hui'zi
神林美和子,shen'lin'mei'he'zi
神探伽利略,shen'tan'jia'li'lue
圣诞阿姨,sheng'dan'a'yi
圣女的救济,sheng'nv'de'jiu'ji
盛夏的方程式,sheng'xia'de'fang'cheng'shi
使命与心的极限,shi'ming'yu'xin'de'ji'xian
石神哲哉,shi'shen'zhe'zai
时生,shi'sheng
十一字杀人,shi'yi'zi'sha'ren
十字豪宅的小丑,shi'zi'hao'zhai'de'xiao'chou
水村绯絽子,shui'cun'fei'lv'zi
谁杀了她,shui'sha'le'ta
寺崎忠夫,si'qi'zhong'fu
松浦勇,song'pu'yong
宿命,su'ming
汤川学,tang'chuan'xue
唐泽礼子,tang'ze'li'zi
唐泽雪穗,tang'ze'xue'sui
藤村都子,teng'cun'dou'zi
笹垣润三,ti'yuan'run'san
田川敏夫,tian'chuan'min'fu
田村纪子,tian'cun'ji'zi
天空之蜂,tian'kong'zhi'feng
天使之耳,tian'shi'zhi'er
听心,ting'xin
同班同学,tong'ban'tong'xue
同级生,tong'ji'sheng
桐原亮司,tong'yuan'liang'si
桐原弥生子,tong'yuan'mi'sheng'zi
桐原洋介,tong'yuan'yang'jie
歪笑小说,wai'xiao'xiao'shuo
我杀了他,wo'sha'le'ta
我是非常勤,wo'shi'fei'chang'qin
我以前死去的家,wo'yi'qian'si'qu'de'jia
西本文代,xi'ben'wen'dai
西本雪穗,xi'ben'xue'sui
西口奈美江,xi'kou'nai'mei'jiang
翔太,xiang'tai
小田香子,xiao'tian'xiang'zi
小偷三人组,xiao'tou'san'ren'zu
筱冢康晴,xiao'zhong'kang'qing
筱冢美佳,xiao'zhong'mei'jia
筱冢一成,xiao'zhong'yi'cheng
新参者,xin'can'zhe
幸平,xing'ping
虚无的十字架,xu'wu'de'shi'zi'jia
雪地杀机,xue'di'sha'ji
学生街里的杀人事件,xue'sheng'jie'li'de'sha'ren'shi'jian
也许是最后的寒暄,ye'xu'shi'zui'hou'de'han'xuan
野野口修,ye'ye'kou'xiu
以眨眼干杯,yi'zha'yan'gan'bei
又一个谎言,you'yi'ge'huang'yan
鱼店音乐人,yu'dian'yin'yue'ren
预知梦,yu'zhi'meng
预知梦湖边凶杀案,yu'zhi'meng'hu'bian'xiong'sha'an
园村友彦,yuan'cun'you'yan
月兔,yue'tu
侦探伽利略,zhen'tan'jia'li'lue
侦探俱乐部,zhen'tan'ju'le'bu
中道正晴,zhong'dao'zheng'qing
竹井,zhu'jing
