保护扣球,bao'hu'kou'qiu
拦网成功,lan'wang'cheng'gong
拦网得分,lan'wang'de'fen
力量加技巧,li'liang'jia'ji'qiao
力量派,li'liang'pai
力量排球,li'liang'pai'qiu
立体进攻,li'ti'jin'gong
立体战术,li'ti'zhan'shu
连击,lian'ji
连跳技术,lian'tiao'ji'shu
两重性,liang'chong'xing
两次球,liang'ci'qiu
两线分化,liang'xian'fen'hua
临场情况,lin'chang'qing'kuang
灵活多样,ling'huo'duo'yang
轮转错误,lun'zhuan'cuo'wu
轮转得分,lun'zhuan'de'fen
马蹄形,ma'ti'xing
鸣哨,ming'shao
排球,pai'qiu
排球场,pai'qiu'chang
排球技术,pai'qiu'ji'shu
排球矢量图,pai'qiu'shi'liang'tu
排球网,pai'qiu'wang
排球柱,pai'qiu'zhu
排纵深地带,pai'zong'shen'di'dai
配合排球,pei'he'pai'qiu
平扣后区,ping'kou'hou'qu
前飞,qian'fei
前交叉,qian'jiao'cha
前排活点进攻,qian'pai'huo'dian'jin'gong
前排进攻掩护,qian'pai'jin'gong'yan'hu
前排右,qian'pai'you
前排中,qian'pai'zhong
前排左,qian'pai'zuo
前沿加纵深,qian'yan'jia'zong'shen
强攻,qiang'gong
球区,qiu'qu
全面性,quan'mian'xing
群众性,qun'zhong'xing
人盯区域,ren'ding'qu'yu
人盯人,ren'ding'ren
任意球员,ren'yi'qiu'yuan
赛前准备,sai'qian'zhun'bei
上场阵容,shang'chang'zhen'rong
上手传球,shang'shou'chuan'qiu
伸臂,shen'bi
时间差,shi'jian'cha
时间差扣球,shi'jian'cha'kou'qiu
失误率,shi'wu'lv
手后仰拦网,shou'hou'yang'lan'wang
守位,shou'wei
双方触球,shuang'fang'chu'qiu
双方犯规,shuang'fang'fan'gui
双人拦网,shuang'ren'lan'wang
四次击球,si'ci'ji'qiu
死角,si'jiao
跳起二传,tiao'qi'er'chuan
突破能力,tu'po'neng'li
托球,tuo'qiu
托球员,tuo'qiu'yuan
网前防守,wang'qian'fang'shou
网前进攻,wang'qian'jin'gong
围绕,wei'rao
位置差,wei'zhi'cha
位置错误,wei'zhi'cuo'wu
吸取快攻,xi'qu'kuai'gong
下手传球,xia'shou'chuan'qiu
限制线,xian'zhi'xian
限制线后扣球,xian'zhi'xian'hou'kou'qiu
斜线扣球,xie'xian'kou'qiu
斜线扣杀,xie'xian'kou'sha
心跟进,xin'gen'jin
压线球,ya'xian'qiu
亚洲排球联合会,ya'zhou'pai'qiu'lian'he'hui
严密拦网,yan'mi'lan'wang
佯攻,yang'gong
一传,yi'chuan
隐蔽站位,yin'bi'zhan'wei
鱼跃救球,yu'yue'jiu'qiu
远程飘球,yuan'cheng'piao'qiu
远网传球,yuan'wang'chuan'qiu
远网进攻,yuan'wang'jin'gong
越中线,yue'zhong'xian
展肩,zhan'jian
直线扣球,zhi'xian'kou'qiu
直线扣杀,zhi'xian'kou'sha
中国排球,zhong'guo'pai'qiu
主攻,zhu'gong
主攻手,zhu'gong'shou
助跑摆臂,zhu'pao'bai'bi
助跑起跳,zhu'pao'qi'tiao
转手转腕,zhuan'shou'zhuan'wan
专位分工,zhuan'wei'fen'gong
专职防守的球员,zhuan'zhi'fang'shou'de'qiu'yuan
自由人,zi'you'ren
坐式排球,zuo'shi'pai'qiu
