暗影流光,an'ying'liu'guang
牙垢夫妇,ya'gou'fu'fu
丫头,ya'tou
睚眦兽,ya'zi'shou
衍道,yan'dao
验生石,yan'sheng'shi
炎水玉,yan'shui'yu
雁停沙,yan'ting'sha
雁庭沙,yan'ting'sha
彦月,yan'yue
杨安琪,yang'an'qi
杨烁,yang'shuo
瑶池,yao'chi
妖魂,yao'hun
妖界,yao'jie
妖力,yao'li
妖魔殿,yao'mo'dian
妖女,yao'nv
妖神,yao'shen
妖神出,yao'shen'chu
妖神殿,yao'shen'dian
妖神之力,yao'shen'zhi'li
妖兽,yao'shou
叶诗涵,ye'shi'han
以晨,yi'chen
一梦浮生,yi'meng'fu'sheng
遗神书,yi'shen'shu
一蓑烟雨,yi'suo'yan'yu
一望风月,yi'wang'feng'yue
伊舞儿,yi'wu'er
一溪风月,yi'xi'feng'yue
异香,yi'xiang
异朽阁,yi'xiu'ge
异朽阁阁主异朽君,yi'xiu'ge'ge'zhu'yi'xiu'jun
异朽阁主,yi'xiu'ge'zhu
异朽君,yi'xiu'jun
伊宇曦,yi'yu'xi
尹洪渊,yin'hong'yuan
尹上飘,yin'shang'piao
银水珠,yin'shui'zhu
樱九,ying'jiu
樱若,ying'ruo
樱听弦歌,ying'ting'xian'ge
犹记翩影似鸿年,you'ji'pian'ying'si'hong'nian
幽若,you'ruo
御风,yu'feng
御剑,yu'jian
玉浊峰,yu'zhuo'feng
远平新,yuan'ping'xin
月雒乌啼,yue'luo'wu'ti
云端,yun'duan
云宫,yun'gong
云牙,yun'ya
云翳,yun'yi
云隐,yun'yin
造化,zao'hua
占心师,zhan'xin'shi
张丹峰,zhang'dan'feng
掌门宫羽,zhang'men'gong'yu
赵丽颖,zhao'li'ying
折念,zhe'nian
谪仙伞,zhe'xian'san
真人,zhen'ren
知微,zhi'wei
竹染,zhu'ran
诛仙柱,zhu'xian'zhu
爪爪,zhua'zhua
子画,zi'hua
紫禁花园,zi'jin'hua'yuan
紫熏,zi'xun
紫薰浅夏,zi'xun'qian'xia
紫薰上仙,zi'xun'shang'xian
紫熏仙子,zi'xun'xian'zi
醉澜依,zui'lan'yi
尊上,zun'shang
