阿岁,a'sui
近藤周助,jin'teng'zhou'zhu
靖兵队,jing'bing'dui
井上,jing'shang
井上松五郎,jing'shang'song'wu'lang
井上泰助,jing'shang'tai'zhu
井上源二郎,jing'shang'yuan'er'lang
井上源三郎,jing'shang'yuan'san'lang
警视厅,jing'shi'ting
京屋,jing'wu
鲸屋,jing'wu
精忠浪士组,jing'zhong'lang'shi'zu
九番队,jiu'fan'dui
九条河原,jiu'tiao'he'yuan
居合斩,ju'he'zhan
菊一文字,ju'yi'wen'zi
菊一文字则宗,ju'yi'wen'zi'ze'zong
局长,ju'zhang
局长助勤,ju'zhang'zhu'qin
局中法度,ju'zhong'fa'du
勘定方,kan'ding'fang
浪客剑心,lang'ke'jian'xin
浪士,lang'shi
林五郎左卫门,lin'wu'lang'zuo'wei'men
铃木大藏,ling'mu'da'zang
铃木三树三郎,ling'mu'san'shu'san'lang
铃木专右卫门,ling'mu'zhuan'you'wei'men
六番队,liu'fan'dui
美乃滋,mei'nai'zi
明保野亭事件,ming'bao'ye'ting'shi'jian
明石藩,ming'shi'fan
墨染事件,mo'ran'shi'jian
幕府,mu'fu
幕府的走狗,mu'fu'de'zou'gou
幕府军,mu'fu'jun
母里藩,mu'li'fan
幕末,mu'mo
幕末恋华新撰组,mu'mo'lian'hua'xin'zhuan'zu
幕末志士传,mu'mo'zhi'shi'chuan
南部精一,nan'bu'jing'yi
内山彦次郎,nei'shan'yan'ci'lang
内藤隼人,nei'teng'sun'ren
鸟羽伏见之战,niao'yu'fu'jian'zhi'zhan
平间重助,ping'jian'zhong'zhu
平山五郎,ping'shan'wu'lang
七番队,qi'fan'dui
七条油小路,qi'tiao'you'xiao'lu
浅葱色羽织,qian'cong'se'yu'zhi
千叶周作,qian'ye'zhou'zuo
切腹,qie'fu
芹泽鸭,qin'ze'ya
青光眼,qing'guang'yan
清河八郎,qing'he'ba'lang
丘三十郎,qiu'san'shi'lang
攘夷,rang'yi
攘夷浪士,rang'yi'lang'shi
攘夷志士,rang'yi'zhi'shi
热血光头男,re'xue'guang'tou'nan
壬生,ren'sheng
壬生狼,ren'sheng'lang
壬生浪士始末记,ren'sheng'lang'shi'shi'mo'ji
壬生浪士组,ren'sheng'lang'shi'zu
萨摩藩,sa'mo'fan
萨摩同盟,sa'mo'tong'meng
三番队,san'fan'dui
三木和泉,san'mu'he'quan
三木三郎,san'mu'san'lang
三浦常三郎,san'pu'chang'san'lang
三条大桥制札事件,san'tiao'da'qiao'zhi'zha'shi'jian
三叶,san'ye
杀手猩猩十三号,sha'shou'xing'xing'shi'san'hao
山口一,shan'kou'yi
山口裕助,shan'kou'yu'zhu
山南,shan'nan
山南敬助,shan'nan'jing'zhu
山南敬助藤原知信,shan'nan'jing'zhu'teng'yuan'zhi'xin
山崎烝,shan'qi'zheng
山形羽织,shan'xing'yu'zhi
杉原忠司,shan'yuan'zhong'si
上野战争,shang'ye'zhan'zheng
神道无念流,shen'dao'wu'nian'liu
神明流,shen'ming'liu
神阴流,shen'yin'liu
盛冈藩,sheng'gang'fan
市村辰之助,shi'cun'chen'zhi'zhu
市村铁之助,shi'cun'tie'zhi'zhu
十番队,shi'fan'dui
十四,shi'si
试卫馆,shi'wei'guan
试卫馆食客,shi'wei'guan'shi'ke
水户藩,shui'hu'fan
水户学,shui'hu'xue
税金小偷,shui'jin'xiao'tou
水野弥太郎,shui'ye'mi'tai'lang
四番队,si'fan'dui
司马辽太郎,si'ma'liao'tai'lang
松本良顺,song'ben'liang'shun
松本颜良,song'ben'yan'liang
松平栗子,song'ping'li'zi
松平片栗虎,song'ping'pian'li'hu
松平容保,song'ping'rong'bao
松前藩,song'qian'fan
松山藩,song'shan'fan
松原忠司,song'yuan'zhong'si
榻榻米,ta'ta'mi
藤堂,teng'tang
藤堂凹助,teng'tang'ao'zhu
藤堂高猷,teng'tang'gao'you
藤堂平助,teng'tang'ping'zhu
藤田五郎,teng'tian'wu'lang
天然理心流,tian'ran'li'xin'liu
田中伊知,tian'zhong'yi'zhi
同志连名记,tong'zhi'lian'ming'ji
土方,tu'fang
土方十四郎,tu'fang'shi'si'lang
土方岁三,tu'fang'sui'san
土方岁三义丰,tu'fang'sui'san'yi'feng
土佐藩,tu'zuo'fan
土佐藩士,tu'zuo'fan'shi
维新派,wei'xin'pai
尾形俊太郎,wei'xing'jun'tai'lang
戊辰战争,wu'chen'zhan'zheng
五番队,wu'fan'dui
武田观柳斋,wu'tian'guan'liu'zhai
武田观念斋,wu'tian'guan'nian'zhai
无外流,wu'wai'liu
西本愿寺,xi'ben'yuan'si
虾夷共和国,xia'yi'gong'he'guo
箱馆战争,xiang'guan'zhan'zheng
相马主计,xiang'ma'zhu'ji
香取流棒术,xiang'qu'liu'bang'shu
小岛鹿之助,xiao'dao'lu'zhi'zhu
小姓,xiao'xing
小野藩,xiao'ye'fan
筱原泰之进,xiao'yuan'tai'zhi'jin
新八,xin'ba
新德寺,xin'de'si
新见锦,xin'jian'jin
心形刀流,xin'xing'dao'liu
新选组,xin'xuan'zu
新选组颠末记,xin'xuan'zu'dian'mo'ji
新选组始末记,xin'xuan'zu'shi'mo'ji
新选组物语,xin'xuan'zu'wu'yu
新选组血风录,xin'xuan'zu'xue'feng'lu
新政府军,xin'zheng'fu'jun
新撰组,xin'zhuan'zu
新撰组颠末记,xin'zhuan'zu'dian'mo'ji
新撰组队士墓所,xin'zhuan'zu'dui'shi'mu'suo
新撰组始末记,xin'zhuan'zu'shi'mo'ji
新撰组血风录,xin'zhuan'zu'xue'feng'lu
新撰组异闻录,xin'zhuan'zu'yi'wen'lu
野口健司,ye'kou'jian'si
一刀流,yi'dao'liu
伊东,yi'dong
伊东大藏,yi'dong'da'zang
伊东道场,yi'dong'dao'chang
伊东甲子太郎,yi'dong'jia'zi'tai'lang
伊东摂津,yi'dong'she'jin
伊东鸭太郎,yi'dong'ya'tai'lang
一番队,yi'fan'dui
一君,yi'jun
一马当先先生,yi'ma'dang'xian'xian'sheng
伊势津藩,yi'shi'jin'fan
伊庭八郎,yi'ting'ba'lang
银魂,yin'hun
永仓,yong'cang
永仓勘次,yong'cang'kan'ci
永仓新八,yong'cang'xin'ba
永仓新七,yong'cang'xin'qi
油小路,you'xiao'lu
油小路事件,you'xiao'lu'shi'jian
右之,you'zhi
宇都宫城之战,yu'du'gong'cheng'zhi'zhan
御家人,yu'jia'ren
御陵卫士,yu'ling'wei'shi
宇田兵卫,yu'tian'bing'wei
原田长次,yuan'tian'chang'ci
原田右之助,yuan'tian'you'zhi'zhu
原田左之助,yuan'tian'zuo'zhi'zhu
宅方十四郎,zhai'fang'shi'si'lang
宅十四,zhai'shi'si
斋藤,zhai'teng
斋藤一,zhai'teng'yi
斋藤终,zhai'teng'zhong
战船,zhan'chuan
彰义队,zhang'yi'dui
真选组,zhen'xuan'zu
直心流,zhi'xin'liu
祉圆山绪,zhi'yuan'shan'xu
志筑藩,zhi'zhu'fan
中冈慎太郎,zhong'gang'shen'tai'lang
种田流枪术,zhong'tian'liu'qiang'shu
诸士取调,zhu'shi'qu'tiao
诸士取扱役,zhu'shi'qu'xi'yi
诸士调役,zhu'shi'tiao'yi
子母泽宽,zi'mu'ze'kuan
总长,zong'chang
总司,zong'si
尊王攘夷,zun'wang'rang'yi
佐幕派,zuo'mu'pai
