班格尔马辛席,ban'ge'er'ma'xin'xi
飞利,fei'li
菲林,fei'lin
肥婆坐屎塔滴水不漏,fei'po'zuo'shi'ta'di'shui'bu'lou
肥婆坐屎塔撼,fei'po'zuo'shi'ta'han
飞起,fei'qi
菲士,fei'shi
费事,fei'shi
飞士,fei'shi
肥尸大只,fei'shi'da'zhi
啡士机,fei'shi'ji
飞鼠,fei'shu
肥水,fei'shui
飞水,fei'shui
肥田料,fei'tian'liao
飞天蠄蟧,fei'tian'qin'lao
飞象过河,fei'xiang'guo'he
肥揗揗,fei'xun'xun
菲佣,fei'yong
非洲和尚乞人憎,fei'zhou'he'shang'qi'ren'zeng
飞仔,fei'zi
肥仔唛,fei'zi'ma
肥仔米,fei'zi'mi
粉肠,fen'chang
瞓低,fen'di
分分钟,fen'fen'zhong
分分锺,fen'fen'zhong
分甘同味,fen'gan'tong'wei
粉菓,fen'guo
粉蕉,fen'jiao
粉角,fen'jiao
瞓觉,fen'jue
瞓捩颈,fen'lie'jing
忿气,fen'qi
坟前烧报纸呃鬼,fen'qian'shao'bao'zhi'e'gui
粉枪,fen'qiang
份人,fen'ren
粉刷,fen'shua
封包,feng'bao
风采楼,feng'cai'lou
风肠,feng'chang
风吹皇帝裤浪孤鸠寒,feng'chui'huang'di'ku'lang'gu'jiu'han
风柜,feng'gui
风栗,feng'li
风流,feng'liu
风炉,feng'lu
风赧,feng'nan
风枪,feng'qiang
逢人憎,feng'ren'zeng
逢人知己,feng'ren'zhi'ji
风生水起,feng'sheng'shui'qi
风水佬,feng'shui'lao
风水先生,feng'shui'xian'sheng
风头火势,feng'tou'huo'shi
逢喺,feng'xi
逢系,feng'xi
奉旨,feng'zhi
佛都有火,fo'dou'you'huo
芙翅,fu'chi
芙薘,fu'da
伏低,fu'di
符弗,fu'fu
浮浮盼,fu'fu'pan
负累,fu'lei
伏匿匿,fu'ni'ni
负气,fu'qi
腐乳,fu'ru
甫士,fu'shi
甫士咭,fu'shi'ji
甫士卡,fu'shi'ka
浮头,fu'tou
复写纸,fu'xie'zhi
伏伊人,fu'yi'ren
父子俩,fu'zi'lia
呷醋,ga'cu
嘎啦,ga'la
胳肢窝,ga'zhi'wo
鎅玻璃,gai'bo'li
改簿,gai'bu
改名,gai'ming
盖世太保,gai'shi'tai'bao
该煨,gai'wei
鎅纸刀,gai'zhi'dao
该专,gai'zhuan
咁啊,gan'a
干炒,gan'chao
咁点算,gan'dian'suan
咁都得,gan'dou'dei
咁多位,gan'duo'wei
干鲠鲠,gan'geng'geng
赶工,gan'gong
咁好,gan'hao
赶喉赶命,gan'hou'gan'ming
咁款,gan'kuan
咁密都会哺出仔,gan'mi'du'hui'bu'chu'zi
咁捻死样,gan'nian'si'yang
干湿褛,gan'shi'lv
干手净脚,gan'shou'jing'jiao
感暑,gan'shu
赶唔切,gan'wu'qie
咁样,gan'yang
咁又系,gan'you'xi
咁滞,gan'zhi
咁仲得,gan'zhong'de
赶注,gan'zhu
钢骨,gang'gu
杠架,gang'jia
岗棯,gang'ren
港纸,gang'zhi
高大衰,gao'da'shuai
搞掂,gao'dian
搞掂晒,gao'dian'shai
高戙戙,gao'dong'dong
高窦,gao'dou
搞搞震,gao'gao'zhen
高脚寮刁,gao'jiao'liao'diao
搞埋,gao'mai
搞手,gao'shou
搞弯,gao'wan
搞唔,gao'wu
高踭鞋,gao'zheng'xie
高争鞋,gao'zheng'xie
个噃,ge'bo
嗰处,ge'chu
佮档佮计,ge'dang'ge'ji
嗰啲,ge'di
嗰度,ge'du
哥尔夫,ge'er'fu
佮份,ge'fen
嗰杠嘢,ge'gang'ye
佮佮,ge'ge
佮佮冚,ge'ge'kan
嗰个人,ge'ge'ren
个啝,ge'he
歌喉,ge'hou
各花入各眼,ge'hua'ru'ge'yan
胳肋底,ge'lei'di
隔篱,ge'li
隔篱邻舍,ge'li'lin'she
个囉,ge'luo
隔年通胜唔值钱,ge'nian'tong'sheng'wu'zhi'qian
嗰排,ge'pai
嗰日,ge'ri
隔涉,ge'she
佮手,ge'shou
佮手佮脚,ge'shou'ge'jiao
各司各法,ge'si'ge'fa
嗰条友,ge'tiao'you
个喎,ge'wai
嗰位,ge'wei
个心十五十六,ge'xin'shi'wu'shi'liu
嘅嘢,ge'ye
隔夜油炸鬼,ge'ye'you'zha'gui
隔夜油炸鬼冇厘火气,ge'ye'you'zha'gui'mao'li'huo'qi
嘅啫,ge'ze
嘅嗻,ge'zhe
嗰阵,ge'zhen
嗰阵时个,ge'zhen'shi'ge
阁仔,ge'zi
歌仔,ge'zi
跟佬,gen'lao
跟手尾,gen'shou'wei
跟眼,gen'yan
跟尾,gen'yi
跟尾狗,gen'yi'gou
跟住,gen'zhu
梗板,geng'ban
鲠颈,geng'jing
哽系,geng'xi
梗系,geng'xi
耕仔,geng'zi
攻鼻,gong'bi
公德心,gong'de'xin
功夫,gong'fu
公关,gong'guan
供楼,gong'lou
共埋,gong'mai
公乸,gong'na
公头,gong'tou
工业行动,gong'ye'xing'dong
工友,gong'you
公仔,gong'zai
公仔面,gong'zai'mian
公仔书,gong'zai'shu
狗髀架,gou'bi'jia
够胆,gou'dan
够胆死,gou'dan'si
够格,gou'ge
狗公,gou'gong
够劲,gou'jin
够力,gou'li
狗毛虫,gou'mao'chong
狗乸,gou'na
沟女,gou'nv
够派,gou'pai
够皮,gou'pi
狗上瓦桁有条路,gou'shang'wa'heng'you'tiao'lu
狗虱,gou'shi
够数,gou'shu
够算,gou'suan
狗尾粟,gou'wei'su
狗牙,gou'ya
狗咬狗骨,gou'yao'gou'gu
够运,gou'yun
狗仔,gou'zai
够照,gou'zhao
狗爪边狗爪豆,gou'zhao'bian'gou'zhao'dou
够钟,gou'zhong
够锺,gou'zhong
箍煲,gu'bao
箍臣,gu'chen
谷古,gu'gu
鼓鼓的,gu'gu'de
孤寒,gu'han
蛊惑,gu'huo
古里古怪,gu'li'gu'guai
古灵精怪,gu'ling'jing'guai
谷牛,gu'niu
谷气,gu'qi
固然之,gu'ran'zhi
固之然,gu'zhi'ran
寡佬,gua'lao
刮佢出嚟,gua'qu'chu'li
挂住,gua'zhu
掴佢一巴,guai'qu'yi'ba
棺材拐杖死顶,guan'cai'guai'zhang'si'ding
棺材铺拜神想人死,guan'cai'pu'bai'shen'xiang'ren'si
躀低,guan'di
关公细佬亦德,guan'gong'xi'lao'yi'de
官观音兵,guan'guan'yin'bing
光灿,guang'can
光灿灿,guang'can'can
光掁掁,guang'cheng'cheng
光管,guang'guan
光光滑滑,guang'guang'hua'hua
光光猛猛,guang'guang'meng'meng
光棍佬遇着冇皮柴,guang'gun'lao'yu'zhe'mao'pi'chai
光黑,guang'hei
光鷄,guang'ji
光鸡,guang'ji
光劣出,guang'lie'chu
光猛,guang'meng
光天化日,guang'tian'hua'ri
光脱脱,guang'tuo'tuo
光鲜,guang'xian
光鲜企理,guang'xian'qi'li
光鸭,guang'ya
鬼打鬼,gui'da'gui
跪地喂猪母睇钱份上,gui'di'wei'zhu'mu'di'qian'fen'shang
鬼咁,gui'gan
规矩,gui'ju
鬼佬,gui'lao
柜桶,gui'tong
鬼五马六,gui'wu'ma'liu
鬼赞,gui'zan
鬼盏,gui'zhan
滚红滚绿,gun'hong'gun'lv
滚搅,gun'jiao
滚搅晒,gun'jiao'shai
滚热辣,gun're'la
滚水,gun'shui
滚友,gun'you
过埠,guo'bu
喐不得其正,guo'bu'de'qi'zheng
过大海,guo'da'hai
过底纸,guo'di'zhi
过电,guo'dian
过骨,guo'gu
喐喐贡,guo'guo'gong
国技,guo'ji
过基甲,guo'ji'jia
过基峡,guo'ji'xia
国脚,guo'jiao
过口瘾过桥抽板,guo'kou'yin'guo'qiao'chou'ban
过嚟,guo'li
过龙,guo'long
过门,guo'men
喐乜喐,guo'mie'guo
过年过节,guo'nian'guo'jie
国票,guo'piao
过气,guo'qi
过气佬倌,guo'qi'lao'guan
喐亲喐动,guo'qin'guo'dong
过身,guo'shen
喐身喐势,guo'shen'guo'shi
喐手,guo'shou
喐手喐脚,guo'shou'guo'jiao
过水湿脚,guo'shui'shi'jiao
过头,guo'tou
过一排,guo'yi'pai
过云雨,guo'yun'yu
菓占,guo'zhan
果占,guo'zhan
裹蒸粽,guo'zheng'zong
过钟,guo'zhong
过锺,guo'zhong
过咗海就系神仙,guo'zuo'hai'jiu'xi'shen'xian
哈佬,ha'lao
蛤乸,ha'na
海底石斑好瘀,hai'di'shi'ban'hao'yu
海皮,hai'pi
还神,hai'shen
海鲜,hai'xian
海鲜酱,hai'xian'jiang
嚡熠熠,hai'yi'yi
喊包,han'bao
寒背,han'bei
喊打喊杀,han'da'han'sha
喊啖口,han'dan'kou
喊噉口,han'dan'kou
寒底,han'di
寒飞,han'fei
含含声,han'han'sheng
喊惊,han'jing
喊苦喊忽,han'ku'han'hu
喊栏,han'lan
寒凉,han'liang
汗流浃背,han'liu'jia'bei
汗毛,han'mao
含笑,han'xiao
行行企企行开,hang'hang'qi'qi'xing'kai
行家,hang'jia
航空母舰食水深,hang'kong'mu'jian'shi'shui'shen
行水,hang'shui
好餲,hao'ai
好吧毙咩,hao'ba'bi'mie
好彩,hao'cai
好彩数,hao'cai'shu
好唱口,hao'chang'kou
蚝豉,hao'chi
好胆,hao'dan
好得,hao'de
好地地,hao'di'di
好腍,hao'dian
好翻,hao'fan
好嘅,hao'ge
好攰,hao'gui
好攰吖,hao'gui'a
好攰啦,hao'gui'la
好过,hao'guo
好好睇睇,hao'hao'di'di
好话,hao'hua
好话为,hao'hua'wei
好话爲,hao'hua'wei
好话唔好听,hao'hua'wu'hao'ting
好夹,hao'jia
好劲,hao'jin
好颈,hao'jing
好叻,hao'le
好冧,hao'lin
好嚤,hao'mo
好耐冇见,hao'nai'mao'jian
好耐冇嚟,hao'nai'mao'li
好气,hao'qi
好人,hao'ren
好人好姐,hao'ren'hao'jie
好人事,hao'ren'shi
好日,hao'ri
好肉,hao'rou
好少理,hao'shao'li
好声,hao'sheng
好声好气,hao'sheng'hao'qi
好食懒飞,hao'shi'lan'fei
好衰唔衰,hao'shuai'wu'shuai
好似,hao'si
好死,hao'si
好天,hao'tian
好物沉归底,hao'wu'chen'gui'di
好物沈归底,hao'wu'shen'gui'di
好闲,hao'xian
好相与,hao'xiang'yu
好心机,hao'xin'ji
好心你,hao'xin'ni
好心着雷劈,hao'xin'zhe'lei'pi
好行,hao'xing
好眼,hao'yan
好眼界,hao'yan'jie
好嘢,hao'ye
好瘀,hao'yu
好在,hao'zai
好谮,hao'zen
毫纸,hao'zhi
荷包,he'bao
禾叉髀,he'cha'bi
合尺,he'chi
禾虫,he'chong
河粉,he'fen
禾秆,he'gan
禾秆冚珍珠,he'gan'kan'zhen'zhu
和过,he'guo
涸喉,he'hou
禾花雀,he'hua'que
荷兰豆,he'lan'dou
荷兰薯,he'lan'shu
何里活,he'li'huo
和暖,he'nuan
合晒合尺,he'shai'he'chi
和尚担遮无法无天,he'shang'dan'zhe'wu'fa'wu'tian
喝生晒,he'sheng'shai
禾塘,he'tang
合桃酥,he'tao'su
和味,he'wei
鹤嘴锄,he'zui'chu
黑沉沉,hei'chen'chen
黑底,hei'di
黑狗得食白狗当灾,hei'gou'de'shi'bai'gou'dang'zai
黑古勒特,hei'gu'le'te
黑过墨汁,hei'guo'mo'zhi
黑胶绸,hei'jiao'chou
黑口黑面,hei'kou'hei'mian
黑马,hei'ma
黑麻麻,hei'ma'ma
黑孖孖,hei'ma'ma
黑癦屎,hei'me'shi
黑眯鼆,hei'mi'meng
黑面神,hei'mian'shen
黑墨墨,hei'mo'mo
黑黢黢,hei'qu'qu
黑叶,hei'ye
横惦,heng'dian
横街窄巷,heng'jie'zhai'xiang
横脷,heng'li
横门,heng'men
衡晒,heng'shai
横手,heng'shou
横水艔,heng'shui'dao
横丫肠,heng'ya'chang
红当荡,hong'dang'dang
红当当,hong'dang'dang
红冬冬,hong'dong'dong
红豆,hong'dou
红豆沙,hong'dou'sha
红粉绯绯,hong'fen'fei'fei
红汞水,hong'gong'shui
红萝卜,hong'luo'bo
红毛泥,hong'mao'ni
吽哣,hong'pou
后底,hou'di
后底乸,hou'di'na
后底爷,hou'di'ye
睺斗,hou'dou
猴猴急急,hou'hou'ji'ji
候镬,hou'huo
喉急,hou'ji
喉榄,hou'lan
睺路,hou'lu
后屘,hou'man
后脑杓,hou'nao'shao
猴擒,hou'qin
后日,hou'ri
后生,hou'sheng
后生女,hou'sheng'nv
后生细仔,hou'sheng'xi'zi
后生仔,hou'sheng'zai
睺实佢,hou'shi'qu
后尾枕,hou'wei'zhen
后枕,hou'zhen
戽被,hu'bei
戽斗边,hu'dou'bian
胡胡混混,hu'hu'hun'hun
胡哩马叉,hu'li'ma'cha
胡鬑须,hu'lian'xu
葫芦,hu'lu
葫芦王,hu'lu'wang
戽水,hu'shui
胡天胡帝,hu'tian'hu'di
鹘突,hu'tu
胡须刨,hu'xu'bao
胡须公,hu'xu'gong
胡须佬,hu'xu'lao
胡须簕特,hu'xu'le'te
忽腰,hu'yao
戽鱼,hu'yu
护照照片出洋相,hu'zhao'zhao'pian'chu'yang'xiang
滑潺潺,hua'chan'chan
花臣,hua'chen
话得埋,hua'de'mai
话低,hua'di
话定,hua'ding
画耳上墙,hua'er'shang'qiang
华尔滋,hua'er'zi
花弗,hua'fu
话咁快,hua'gan'kuai
话咁易,hua'gan'yi
画公仔画出肠,hua'gong'zai'hua'chu'chang
花菇,hua'gu
画鬼脚,hua'gui'jiao
花红,hua'hong
画花口面,hua'hua'kou'mian
花假,hua'jia
花阶砖,hua'jie'zhuan
滑蕨,hua'jue
话口未完,hua'kou'wei'wan
花款,hua'kuan
花哩胡碌,hua'li'hu'lu
花哩花碌,hua'li'hua'lu
花哩碌,hua'li'lu
花僆,hua'lian
花僆女,hua'lian'nv
花僆仔,hua'lian'zi
花冧,hua'lin
花令,hua'ling
花令纸,hua'ling'zhi
滑溜,hua'liu
话落,hua'luo
滑捋捋,hua'luo'luo
花面猫,hua'mian'mao
花名,hua'ming
话名,hua'ming
滑牛,hua'niu
花洒,hua'sa
话晒,hua'shai
花生肉,hua'sheng'rou
话事,hua'shi
话实,hua'shi
话事偈,hua'shi'ji
花士令,hua'shi'ling
花手巾,hua'shou'jin
化水,hua'shui
话头醒尾,hua'tou'xing'wei
滑脱脱,hua'tuo'tuo
花王,hua'wang
花尾艔,hua'wei'dao
话唔定,hua'wu'ding
话唔埋,hua'wu'mai
花心,hua'xin
花心萝卜,hua'xin'luo'bo
化学,hua'xue
化学公仔,hua'xue'gong'zai
滑揗揗,hua'xun'xun
滑牙,hua'ya
话斋,hua'zhai
话嗻,hua'zhe
花樽,hua'zun
坏吖,huai'a
怀奥莲,huai'ao'lian
坏啦,huai'la
槐枝,huai'zhi
坏咗,huai'zuo
欢喜,huan'xi
郇嘢,huan'ye
鲩鱼,huan'yu
黄蜂,huang'feng
黄蜂窦,huang'feng'dou
黄狗头,huang'gou'tou
黄瓜酸,huang'gua'suan
黄花筒,huang'hua'tong
慌慌忙忙,huang'huang'mang'mang
黄黚黚,huang'jian'jian
黄猄黄麖,huang'jing'huang'jing
黄绿医生,huang'lv'yi'sheng
黄面婆,huang'mian'po
黄泥,huang'ni
黄牛,huang'niu
慌怕,huang'pa
黄泡髡熟,huang'pao'kun'shu
黄泡仔,huang'pao'zi
黄皮树了哥唔熟唔食,huang'pi'shu'le'ge'wu'shu'wu'shi
黄蜞,huang'qi
黄禽禽,huang'qin'qin
慌失失,huang'shi'shi
黄熟,huang'shu
慌死,huang'si
黄丝蚁,huang'si'yi
黄粟,huang'su
黄糖,huang'tang
黄牙白,huang'ya'bai
黄鱼,huang'yu
挥春,hui'chun
回零,hui'ling
回南,hui'nan
悔气,hui'qi
回尾,hui'wei
回纹针,hui'wen'zhen
回形针,hui'xing'zhen
回佣会错意,hui'yong'hui'cuo'yi
混沌,hun'dun
混混沌沌,hun'hun'dun'dun
混吉,hun'ji
魂精,hun'jing
浑头浑脑,hun'tou'hun'nao
镬铲,huo'chan
或多或少,huo'duo'huo'shao
火鹅,huo'e
货柜,huo'gui
火滚,huo'gun
伙记,huo'ji
火搅米,huo'jiao'mi
火浸眼眉唔知死,huo'jin'yan'mei'wu'zhi'si
火颈,huo'jing
火酒,huo'jiu
镬黸,huo'lu
火路,huo'lu
火牛,huo'niu
镬气,huo'qi
火起,huo'qi
火气,huo'qi
火麒麟周身引,huo'qi'lin'zhou'shen'yin
火麒麟周身瘾,huo'qi'lin'zhou'shen'yin
火烧棺材大叹,huo'shao'guan'cai'da'tan
火烧旗杆长叹,huo'shao'qi'gan'chang'tan
火烧猪头熟口熟面,huo'shao'zhu'tou'shu'kou'shu'mian
火屎火船,huo'shi'huo'chuan
火水,huo'shui
火水灯,huo'shui'deng
火水炉,huo'shui'lu
火燂尘,huo'tan'chen
火燂煤,huo'tan'mei
火筒,huo'tong
伙头,huo'tou
伙头军,huo'tou'jun
货尾,huo'wei
火尾,huo'wei
火油,huo'you
火遮眼,huo'zhe'yan
火烛,huo'zhu
货仔,huo'zi
火嘴,huo'zui
鸡髀,ji'bi
鷄髀打人牙铰软,ji'bi'da'ren'ya'jiao'ruan
鸡髀打人牙铰软,ji'bi'da'ren'ya'jiao'ruan
趌跛跛,ji'bo'bo
鸡春,ji'chun
几大,ji'da
计带,ji'dai
鷄噉脚,ji'dan'jiao
鸡啖脚,ji'dan'jiao
鸡噉脚,ji'dan'jiao
急得滞,ji'de'zhi
及第粥,ji'di'zhou
鸡窦,ji'dou
几多,ji'duo
激奀,ji'en
几咁,ji'gan
几咁闲,ji'gan'xian
鷄公,ji'gong
鸡公,ji'gong
记挂,ji'gua
即管,ji'guan
岌岌贡,ji'ji'gong
叽叽咕咕,ji'ji'gu'gu
急急脚,ji'ji'jiao
济军,ji'jun
基老,ji'lao
基佬,ji'lao
忌廉,ji'lian
机灵鬼,ji'ling'gui
趌路,ji'lu
鷄毛扫,ji'mao'sao
鸡毛扫,ji'mao'sao
鸡乸,ji'na
鷄乸鷄乸婆,ji'na'ji'na'po
鸡乸鸡乸婆,ji'na'ji'na'po
几耐,ji'nai
几耐世秋,ji'nai'shi'qiu
几难先至,ji'nan'xian'zhi
急尿,ji'niao
咭女,ji'nv
鷄泡鱼,ji'pao'yu
鸡泡鱼,ji'pao'yu
鷄皮纸,ji'pi'zhi
鸡皮纸,ji'pi'zhi
记起,ji'qi
激气,ji'qi
极其量,ji'qi'liang
记认,ji'ren
缉蛇,ji'she
鷄肾,ji'shen
鸡肾,ji'shen
鷄肾衣,ji'shen'yi
鸡肾衣,ji'shen'yi
鷄埘,ji'shi
鸡埘,ji'shi
几时,ji'shi
急屎,ji'shi
畸士,ji'shi
鸡食放光草心知肚明,ji'shi'fang'guang'cao'xin'zhi'du'ming
鸡食放光虫心知肚明,ji'shi'fang'guang'chong'xin'zhi'du'ming
鷄手鸭脚,ji'shou'ya'jiao
鸡手鸭脚,ji'shou'ya'jiao
计数机,ji'shu'ji
计算器,ji'suan'qi
鷄岁,ji'sui
鸡岁,ji'sui
鷄同鸭讲,ji'tong'ya'jiang
鸡同鸭讲,ji'tong'ya'jiang
岌头,ji'tou
岌头岌髻,ji'tou'ji'ji
鷄尾,ji'wei
鸡尾,ji'wei
基围,ji'wei
鸡尾酒,ji'wei'jiu
计我话,ji'wo'hua
几系,ji'xi
即系,ji'xi
鷄项鷄子,ji'xiang'ji'zi
鸡项鸡子,ji'xiang'ji'zi
鷄心肺,ji'xin'fei
鸡心肺,ji'xin'fei
鸡翼,ji'yi
鷄翼袖,ji'yi'xiu
鸡翼袖,ji'yi'xiu
挤拥,ji'yong
偈油,ji'you
鸡仔饼,ji'zai'bing
鸡仔媒人,ji'zai'mei'ren
计正,ji'zheng
极之,ji'zhi
鷄啄唔断,ji'zhuo'wu'duan
鸡啄唔断,ji'zhuo'wu'duan
计仔,ji'zi
咭仔,ji'zi
鷄仔饼,ji'zi'bing
鷄仔媒人,ji'zi'mei'ren
加把口,jia'ba'kou
夹板,jia'ban
假膊,jia'bo
驾步,jia'bu
架步,jia'bu
加菜,jia'cai
架罉,jia'cheng
加风,jia'feng
家公,jia'gong
假过卖猫,jia'guo'mai'mao
家机布,jia'ji'bu
假假地都系,jia'jia'di'du'xi
加加埋埋,jia'jia'mai'mai
家姐,jia'jie
家眷,jia'juan
家空物净,jia'kong'wu'jing
茄哩啡,jia'li'fei
加料,jia'liao
加零一,jia'ling'yi
夹衲,jia'na
嘉年华会,jia'nian'hua'hui
家婆,jia'po
嫁人,jia'ren
家嫂,jia'sao
家山有眼,jia'shan'you'yan
家事,jia'shi
架世,jia'shi
架势,jia'shi
茄士咩,jia'shi'mie
夹手夹脚,jia'shou'jia'jiao
茄薯,jia'shu
家俬,jia'si
家俬什物,jia'si'shi'wu
家俬杂物,jia'si'za'wu
家头细务,jia'tou'xi'wu
夹万,jia'wan
家下,jia'xia
假惺惺,jia'xing'xing
夹硬,jia'ying
家用,jia'yong
家阵,jia'zhen
尖笔甩,jian'bi'shuai
减笔字,jian'bi'zi
简笔字,jian'bi'zi
见步行步,jian'bu'xing'bu
监仓,jian'cang
间尺,jian'chi
监粗嚟,jian'cu'li
拣得个烂灯盏,jian'de'ge'lan'deng'zhan
櫼队,jian'dui
监趸,jian'dun
见饭见功,jian'fan'jian'gong
枧粉,jian'fen
贱格,jian'ge
见红,jian'hong
剑花,jian'hua
间花腩,jian'hua'nan
兼夹,jian'jia
奸狡,jian'jiao
奸赖,jian'lai
奸赖猫,jian'lai'mao
见连丸,jian'lian'wan
奸猫,jian'mao
捡破烂,jian'po'lan
揵起,jian'qi
见食,jian'shi
见使,jian'shi
减实,jian'shi
间条,jian'tiao
件头,jian'tou
櫼头到脚,jian'tou'dao'jiao
櫼头对脚,jian'tou'dui'jiao
尖头佬,jian'tou'lao
坚嘢,jian'ye
拣饮择食,jian'yin'ze'shi
拣择,jian'ze
间中,jian'zhong
见周公,jian'zhou'gong
箭猪,jian'zhu
箭嘴,jian'zui
讲粗口,jiang'cu'kou
讲大话,jiang'da'hua
讲到话,jiang'dao'hua
讲得口响,jiang'de'kou'xiang
讲咁易,jiang'gan'yi
讲古,jiang'gu
