阿俊酒家,a'jun'jiu'jia
红辣子,hong'la'zi
华堡之家,hua'bao'zhi'jia
化学馆,hua'xue'guan
华业大厦,hua'ye'da'sha
环境系馆,huan'jing'xi'guan
荒岛,huang'dao
黄记煌,huang'ji'huang
黄松益楼,huang'song'yi'lou
基础工业训练中心,ji'chu'gong'ye'xun'lian'zhong'xin
甲所,jia'suo
家乡亲,jia'xiang'qin
建管报告厅,jian'guan'bao'gao'ting
建筑馆,jian'zhu'guan
教材科,jiao'cai'ke
教材中心,jiao'cai'zhong'xin
街道印刷厂,jie'dao'yin'shua'chang
近春路,jin'chun'lu
近春园,jin'chun'yuan
近春园宾馆,jin'chun'yuan'bin'guan
金凤呈祥,jin'feng'cheng'xiang
金泰丰,jin'tai'feng
景晨轩,jing'chen'xuan
静斋,jing'zhai
旧经管,jiu'jing'guan
旧经管报告厅,jiu'jing'guan'bao'gao'ting
九零零三大楼,jiu'ling'ling'san'da'lou
九食堂,jiu'shi'tang
旧水,jiu'shui
旧水利馆,jiu'shui'li'guan
旧土木馆,jiu'tu'mu'guan
就业中心,jiu'ye'zhong'xin
凯风人文社科图书馆,kai'feng'ren'wen'she'ke'tu'shu'guan
烤全鱼,kao'quan'yu
烤研院,kao'yan'yuan
科技大厦,ke'ji'da'sha
科技园,ke'ji'yuan
科建大厦,ke'jian'da'sha
科学馆,ke'xue'guan
蓝旗营,lan'qi'ying
蓝旗营小区,lan'qi'ying'xiao'qu
澜园超市,lan'yuan'chao'shi
老馆,lao'guan
老留学生楼,lao'liu'xue'sheng'lou
老年活动中心,lao'nian'huo'dong'zhong'xin
李文达图书馆,li'wen'da'tu'shu'guan
理学院,li'xue'yuan
立业大厦,li'ye'da'sha
立斋,li'zhai
李兆基科技大楼,li'zhao'ji'ke'ji'da'lou
梁銶琚楼,liang'qiu'ju'lou
零零阁,ling'ling'ge
六教,liu'jiao
刘卿楼,liu'qing'lou
留学生公寓,liu'xue'sheng'gong'yu
罗姆电子馆,luo'mu'dian'zi'guan
罗姆楼,luo'mu'lou
满盆香,man'pen'xiang
蒙楼,meng'lou
蒙楼多功能厅,meng'lou'duo'gong'neng'ting
蒙民伟楼,meng'min'wei'lou
蒙民伟音乐厅,meng'min'wei'yin'yue'ting
明德路,ming'de'lu
明理楼,ming'li'lou
明斋,ming'zhai
木生火,mu'sheng'huo
纳米科技楼,na'mi'ke'ji'lou
纳米楼,na'mi'lou
南北主干道,nan'bei'zhu'gan'dao
南门,nan'men
能科楼,neng'ke'lou
泥沙实验室,ni'sha'shi'yan'shi
培训餐厅,pei'xun'can'ting
品诺,pin'nuo
平斋,ping'zhai
汽车楼,qi'che'lou
汽车研究所,qi'che'yan'jiu'suo
七食堂,qi'shi'tang
气象台,qi'xiang'tai
汽研所,qi'yan'suo
强斋,qiang'zhai
清芬园,qing'fen'yuan
清华东北门,qing'hua'dong'bei'men
清华东路西口,qing'hua'dong'lu'xi'kou
清华东门,qing'hua'dong'men
清华附小,qing'hua'fu'xiao
清华附中,qing'hua'fu'zhong
清华科技园,qing'hua'ke'ji'yuan
清华路,qing'hua'lu
清华南路,qing'hua'nan'lu
清华西门,qing'hua'xi'men
清华学堂,qing'hua'xue'tang
清华园,qing'hua'yuan
清华园宾馆,qing'hua'yuan'bin'guan
青年公寓,qing'nian'gong'yu
清青比萨,qing'qing'bi'sa
清青快餐,qing'qing'kuai'can
清青永和,qing'qing'yong'he
人文社科图书馆,ren'wen'she'ke'tu'shu'guan
日晷,ri'gui
日新路,ri'xin'lu
儒雅酒家,ru'ya'jiu'jia
三教,san'jiao
三教二段,san'jiao'er'duan
三教三段,san'jiao'san'duan
三教一段,san'jiao'yi'duan
善斋,shan'zhai
尚村,shang'cun
设备处,she'bei'chu
射击馆,she'ji'guan
生命科学馆,sheng'ming'ke'xue'guan
十食堂,shi'shi'tang
十食堂小树林,shi'shi'tang'xiao'shu'lin
十四食堂,shi'si'shi'tang
实验室与设备处,shi'yan'shi'yu'she'bei'chu
十一食堂,shi'yi'shi'tang
蜀圣楼,shu'sheng'lou
双清路,shuang'qing'lu
水木鸡翅,shui'mu'ji'chi
水木清华,shui'mu'qing'hua
舜德楼,shun'de'lou
四教,si'jiao
搜狐网络大厦,sou'hu'wang'luo'da'sha
苏轼酒楼,su'shi'jiu'lou
苏世民书院,su'shi'min'shu'yuan
桃李地下,tao'li'di'xia
桃李园,tao'li'yuan
桃李园三层,tao'li'yuan'san'ceng
桃三,tao'san
陶园,tao'yuan
听涛园,ting'tao'yuan
同方部,tong'fang'bu
土木馆,tu'mu'guan
图书馆,tu'shu'guan
万人,wan'ren
万人餐厅,wan'ren'can'ting
万人地下,wan'ren'di'xia
万人咖啡厅,wan'ren'ka'fei'ting
万人三层,wan'ren'san'ceng
伟伦楼,wei'lun'lou
伟清楼,wei'qing'lou
威盛大厦,wei'sheng'da'sha
维学馆,wei'xue'guan
文北楼,wen'bei'lou
文津国际,wen'jin'guo'ji
文科图书馆,wen'ke'tu'shu'guan
文南楼,wen'nan'lou
闻亭,wen'ting
文西楼,wen'xi'lou
五道口郭林,wu'dao'kou'guo'lin
五方院,wu'fang'yuan
五教,wu'jiao
伍舜德楼,wu'shun'de'lou
西北门,xi'bei'men
西北小区,xi'bei'xiao'qu
西操,xi'cao
熙春路,xi'chun'lu
熙春园,xi'chun'yuan
熙春园餐厅,xi'chun'yuan'can'ting
西大操场,xi'da'cao'chang
西阶,xi'jie
西阶梯教室,xi'jie'ti'jiao'shi
西南门,xi'nan'men
西区体育馆,xi'qu'ti'yu'guan
西区饮食广场,xi'qu'yin'shi'guang'chang
西体,xi'ti
西王庄,xi'wang'zhuang
西主楼,xi'zhu'lou
校河,xiao'he
小荷塘,xiao'he'tang
校史馆,xiao'shi'guan
小树林,xiao'shu'lin
校团委,xiao'tuan'wei
校医院,xiao'yi'yuan
蟹老宋,xie'lao'song
新馆,xin'guan
新林院,xin'lin'yuan
新陆峰洲,xin'lu'feng'zhou
新民路,xin'min'lu
新清华学堂,xin'qing'hua'xue'tang
新水,xin'shui
新水利馆,xin'shui'li'guan
信息科学技术楼,xin'xi'ke'xue'ji'shu'lou
新斋,xin'zhai
熊知行楼,xiong'zhi'xing'lou
休闲长廊,xiu'xian'chang'lang
学服,xue'fu
学服地下,xue'fu'di'xia
学清苑,xue'qing'yuan
学生服务中心,xue'sheng'fu'wu'zhong'xin
学堂路,xue'tang'lu
学研,xue'yan
学研大厦,xue'yan'da'sha
雅克西,ya'ke'xi
宴铭园,yan'ming'yuan
阳光厅,yang'guang'ting
液晶大楼,ye'jing'da'lou
易初莲花,yi'chu'lian'hua
逸夫,yi'fu
逸夫技术科学楼,yi'fu'ji'shu'ke'xue'lou
一教,yi'jiao
艺教中心,yi'jiao'zhong'xin
艺术教育中心,yi'shu'jiao'yu'zhong'xin
医学院,yi'xue'yuan
一员工,yi'yuan'gong
印刷厂,yin'shua'chang
英士楼,ying'shi'lou
永和大王,yong'he'da'wang
游泳馆,you'yong'guan
寓园餐厅,yu'yuan'can'ting
裕元楼,yu'yuan'lou
粤华园,yue'hua'yuan
招办,zhao'ban
照澜院,zhao'lan'yuan
照三,zhao'san
至善路,zhi'shan'lu
中关村东路,zhong'guan'cun'dong'lu
中央主楼,zhong'yang'zhu'lou
主楼,zhu'lou
竹鱼坊,zhu'yu'fang
紫操,zi'cao
紫操篮球场,zi'cao'lan'qiu'chang
紫操网球场,zi'cao'wang'qiu'chang
紫操足球场,zi'cao'zu'qiu'chang
紫光国际交流中心,zi'guang'guo'ji'jiao'liu'zhong'xin
紫荆东门,zi'jing'dong'men
紫荆路,zi'jing'lu
紫荆园,zi'jing'yuan
紫荆园地下,zi'jing'yuan'di'xia
自清亭,zi'qing'ting
综合科研楼,zong'he'ke'yan'lou
醉爱,zui'ai
