阿魏无真,a'wei'wu'zhen
为恶难逃,wei'e'nan'tao
为官须作相,wei'guan'xu'zuo'xiang
未可全抛一片心,wei'ke'quan'pao'yi'pian'xin
为人何必争高下,wei'ren'he'bi'zheng'gao'xia
为人莫作亏心事,wei'ren'mo'zuo'kui'xin'shi
为善最乐,wei'shan'zui'le
未晚先投宿,wei'wan'xian'tou'su
为学始知道,wei'xue'shi'zhi'dao
唯有读书高,wei'you'du'shu'gao
问事不知,wen'shi'bu'zhi
我见白头喜,wo'jian'bai'tou'xi
无古不成今,wu'gu'bu'cheng'jin
屋漏更遭连夜雨,wu'lou'geng'zao'lian'ye'yu
忤逆还生忤逆儿,wu'ni'hai'sheng'wu'ni'er
无钱方断酒,wu'qian'fang'duan'jiu
无钱难买针,wu'qian'nan'mai'zhen
无钱休入众,wu'qian'xiu'ru'zhong
无钱语不真,wu'qian'yu'bu'zhen
无求到处人情好,wu'qiu'dao'chu'ren'qing'hao
五十将近寻死路,wu'shi'jiang'jin'xun'si'lu
无事早归,wu'shi'zao'gui
无限朱门生饿,wu'xian'zhu'men'sheng'e
无心插柳柳成荫,wu'xin'cha'liu'liu'cheng'yin
五行八字命生成,wu'xing'ba'zi'ming'sheng'cheng
无衣懒出门,wu'yi'lan'chu'men
无月不登楼,wu'yue'bu'deng'lou
无子富不长,wu'zi'fu'bu'chang
媳妇自有做婆时,xi'fu'zi'you'zuo'po'shi
惜花须检点,xi'hua'xu'jian'dian
惜钱莫教子,xi'qian'mo'jiao'zi
息却雷霆之怒,xi'que'lei'ting'zhi'nu
昔时贤文,xi'shi'xian'wen
息一怒,xi'yi'nu
先到为君,xian'dao'wei'jun
贤妇令夫贵,xian'fu'ling'fu'gui
贤女敬夫,xian'nv'jing'fu
闲时不烧香,xian'shi'bu'shao'xiang
闲事休管,xian'shi'xiu'guan
相逢不饮空归去,xiang'feng'bu'yin'kong'gui'qu
相逢好似初相识,xiang'feng'hao'si'chu'xiang'shi
相见不如初,xiang'jian'bu'ru'chu
相论逞英豪,xiang'lun'cheng'ying'hao
相识满天下,xiang'shi'man'tian'xia
向阳花木早逢春,xiang'yang'hua'mu'zao'feng'chun
乡中水,xiang'zhong'shui
孝第为先,xiao'di'wei'xian
小家凶恶训儿郎,xiao'jia'xiong'e'xun'er'lang
小利莫争,xiao'li'mo'zheng
小人穷斯滥矣,xiao'ren'qiong'si'lan'yi
小人枉自做小人,xiao'ren'wang'zi'zuo'xiao'ren
小事成大,xiao'shi'cheng'da
小时是兄弟,xiao'shi'shi'xiong'di
孝顺还生孝顺子,xiao'shun'hai'sheng'xiao'shun'zi
心各有见,xin'ge'you'jian
信了肚,xin'le'du
心心常似过桥时,xin'xin'chang'si'guo'qiao'shi
行船有遇打头风,xing'chuan'you'yu'da'tou'feng
幸生太平无事日,xing'sheng'tai'ping'wu'shi'ri
惺惺常不足,xing'xing'chang'bu'zu
醒眼看醉人,xing'yan'kan'zui'ren
兄弟和而家不分,xiong'di'he'er'jia'bu'fen
兄弟相害,xiong'di'xiang'hai
休别有鱼处,xiu'bie'you'yu'chu
绣花虽好不闻香,xiu'hua'sui'hao'bu'wen'xiang
须防仁不仁,xu'fang'ren'bu'ren
许人一物,xu'ren'yi'wu
须问三老,xu'wen'san'lao
须下死功夫,xu'xia'si'gong'fu
学在一人之下,xue'zai'yi'ren'zhi'xia
学者难,xue'zhe'nan
鸦有反哺之义,ya'you'fan'bu'zhi'yi
言轻莫劝人,yan'qing'mo'quan'ren
养兵千日用兵一时,yang'bing'qian'ri'yong'bing'yi'shi
养儿防老,yang'er'fang'lao
养儿方知夫母恩,yang'er'fang'zhi'fu'mu'en
殃及池鱼,yang'ji'chi'yu
养家一般,yang'jia'yi'ban
养女不教如养猪,yang'nv'bu'jiao'ru'yang'zhu
羊有跪乳之恩,yang'you'gui'ru'zhi'en
养子不教如养驴,yang'zi'bu'jiao'ru'yang'lv
要广行方便,yao'guang'xing'fang'bian
药能医假病,yao'neng'yi'jia'bing
要振家声在读书,yao'zhen'jia'sheng'zai'du'shu
也被旁人说是非,ye'bei'pang'ren'shuo'shi'fei
夜眠八尺,ye'mian'ba'chi
夜夜防盗,ye'ye'fang'dao
一寸光阴一寸金,yi'cun'guang'yin'yi'cun'jin
一旦败之有余,yi'dan'bai'zhi'you'yu
一旦无命万事休,yi'dan'wu'ming'wan'shi'xiu
易反易复小人心,yi'fan'yi'fu'xiao'ren'xin
一毫之恶,yi'hao'zhi'e
一毫之善,yi'hao'zhi'shan
一家养女百家求,yi'jia'yang'nv'bai'jia'qiu
一举成名天下知,yi'ju'cheng'ming'tian'xia'zhi
一举首登龙虎镑,yi'ju'shou'deng'long'hu'bang
一马不行百马忧,yi'ma'bu'xing'bai'ma'you
一年之计在于春,yi'nian'zhi'ji'zai'yu'chun
一年之计在于勤,yi'nian'zhi'ji'zai'yu'qin
一人道虚,yi'ren'dao'xu
一人一条心,yi'ren'yi'tiao'xin
一人有庆,yi'ren'you'qing
一日舂工半年粮,yi'ri'chong'gong'ban'nian'liang
一日夫妻,yi'ri'fu'qi
一日为师,yi'ri'wei'shi
一生都是命安排,yi'sheng'dou'shi'ming'an'pai
一言既出,yi'yan'ji'chu
一夜受孤凄,yi'ye'shou'gu'qi
易涨易退山溪水,yi'zhang'yi'tui'shan'xi'shui
一自入公门,yi'zi'ru'gong'men
一字值千金,yi'zi'zhi'qian'jin
一醉解千愁,yi'zui'jie'qian'chou
隐恶扬善,yin'e'yang'shan
因风吹火,yin'feng'chui'huo
莺花犹怕春光老,ying'hua'you'pa'chun'guang'lao
应恐是痴人,ying'kong'shi'chi'ren
英雄行险道,ying'xiong'xing'xian'dao
用力不多,yong'li'bu'duo
用心计较般般错,yong'xin'ji'jiao'ban'ban'cuo
用在万人之上,yong'zai'wan'ren'zhi'shang
犹茶有酒多兄弟,you'cha'you'jiu'duo'xiong'di
有儿穷不久,you'er'qiong'bu'jiu
有福伤己,you'fu'shang'ji
有花方酌酒,you'hua'fang'zhuo'jiu
有理无钱莫进来,you'li'wu'qian'mo'jin'lai
有钱道真语,you'qian'dao'zhen'yu
有钱堪买金,you'qian'kan'mai'jin
有人堪出众,you'ren'kan'chu'zhong
犹如拾片宝,you'ru'shi'pian'bao
有书不读子孙愚,you'shu'bu'du'zi'sun'yu
有田不耕仓廪虚,you'tian'bu'geng'cang'lin'xu
有意栽花花不发,you'yi'zai'hua'hua'bu'fa
欲昌和顺须为善,yu'chang'he'shun'xu'wei'shan
欲求生富贵,yu'qiu'sheng'fu'gui
与人不和,yu'ren'bu'he
与人不睦,yu'ren'bu'mu
与人方便,yu'ren'fang'bian
鱼为奔波始化龙,yu'wei'ben'bo'shi'hua'long
遇饮酒时须饮酒,yu'yin'jiu'shi'xu'yin'jiu
愚者全无,yu'zhe'quan'wu
远亲不如近邻,yuan'qin'bu'ru'jin'lin
怨生莫怨死,yuan'sheng'mo'yuan'si
远水难救近火,yuan'shui'nan'jiu'jin'huo
远在儿孙近在身,yuan'zai'er'sun'jin'zai'shen
月过十五光明少,yue'guo'shi'wu'guang'ming'shao
运去金成铁,yun'qu'jin'cheng'tie
运去雷轰荐福碑,yun'qu'lei'hong'jian'fu'bei
在家有父,zai'jia'you'fu
再三留不住,zai'san'liu'bu'zhu
再三须重事,zai'san'xu'zhong'shi
再思可矣,zai'si'ke'yi
枣花虽小结实成,zao'hua'sui'xiao'jie'shi'cheng
遭难莫寻亲,zao'nan'mo'xun'qin
择其善者而从之,ze'qi'shan'zhe'er'cong'zhi
责人之心责己,ze'ren'zhi'xin'ze'ji
贼是小人,zei'shi'xiao'ren
怎得见波涛,zen'de'jian'bo'tao
增广贤文,zeng'guang'xian'wen
乍富不知新受用,zha'fu'bu'zhi'xin'shou'yong
乍贫难改旧家风,zha'pin'nan'gai'jiu'jia'feng
长大各乡里,zhang'da'ge'xiang'li
兆民咸赖,zhao'min'xian'lai
真不善者宜改之,zhen'bu'shan'zhe'yi'gai'zhi
贞妇爱色,zhen'fu'ai'se
争他一脚豚,zheng'ta'yi'jiao'tun
直待雨淋头,zhi'dai'yu'lin'tou
知过君子,zhi'guo'jun'zi
知己知彼,zhi'ji'zhi'bi
只怕秋来有冷时,zhi'pa'qiu'lai'you'leng'shi
只怕人情两面刀,zhi'pa'ren'qing'liang'mian'dao
执其两端,zhi'qi'liang'duan
知人知面不知心,zhi'ren'zhi'mian'bu'zhi'xin
知事少时烦恼少,zhi'shi'shao'shi'fan'nao'shao
知我者谓我心忧,zhi'wo'zhe'wei'wo'xin'you
知心能几人,zhi'xin'neng'ji'ren
知音说与知音听,zhi'yin'shuo'yu'zhi'yin'ting
只有和气去迎人,zhi'you'he'qi'qu'ying'ren
知者减半,zhi'zhe'jian'ban
只争来早与来迟,zhi'zheng'lai'zao'yu'lai'chi
知止常止,zhi'zhi'chang'zhi
知足常足,zhi'zu'chang'zu
钟不敲不鸣,zhong'bu'qiao'bu'ming
种豆得豆,zhong'dou'de'dou
忠厚自有忠厚报,zhong'hou'zi'you'zhong'hou'bao
种麻得麻,zhong'ma'de'ma
终身不耻,zhong'shen'bu'chi
终身不辱,zhong'shen'bu'ru
终生如父,zhong'sheng'ru'fu
众星朗朗,zhong'xing'lang'lang
终须还到老,zhong'xu'hai'dao'lao
终须无烦恼,zhong'xu'wu'fan'nao
终须一别,zhong'xu'yi'bie
忠言逆儿利于行,zhong'yan'ni'er'li'yu'xing
竹篱茅舍风光好,zhu'li'mao'she'feng'guang'hao
转眼便是白头翁,zhuan'yan'bian'shi'bai'tou'weng
自恨枝无叶,zi'hen'zhi'wu'ye
自家心里急,zi'jia'xin'li'ji
自损三千,zi'sun'san'qian
子孙愚兮礼义疏,zi'sun'yu'xi'li'yi'shu
仔细思量我不如,zi'xi'si'liang'wo'bu'ru
子孝夫心宽,zi'xiao'fu'xin'kuan
醉后乾坤大,zui'hou'qian'kun'da
醉后添杯不如无,zui'hou'tian'bei'bu'ru'wu
作恶遭天谴,zuo'e'zao'tian'qian
做客莫在后,zuo'ke'mo'zai'hou
作善鬼神钦,zuo'shan'gui'shen'qin
座上客常满,zuo'shang'ke'chang'man
