阿比比比基拉,a'bi'bi'bi'ji'la
单肩起桥,dan'jian'qi'qiao
旦君,dan'jun
单手过肩摔,dan'shou'guo'jian'shuai
单手接球,dan'shou'jie'qiu
单手裸绞,dan'shou'luo'jiao
弹网,dan'wang
单正灏,dan'zheng'hao
挡球,dang'qiu
当身技,dang'shen'ji
稻草人式,dao'cao'ren'shi
道场,dao'chang
刀锋战士,dao'feng'zhan'shi
道服绞,dao'fu'jiao
盗垒,dao'lei
盗垒成功,dao'lei'cheng'gong
盗垒失败,dao'lei'shi'bai
道山,dao'shan
道通天下,dao'tong'tian'xia
道衣柔术,dao'yi'rou'shu
道主,dao'zhu
得点圈,de'dian'quan
得分,de'fen
德娇娇,de'jiao'jiao
德拉西瓦式防守,de'la'xi'wa'shi'fang'shou
德约科维奇,de'yue'ke'wei'qi
邓道坤,deng'dao'kun
邓华德,deng'hua'de
邓琳琳,deng'lin'lin
邓森悦,deng'sen'yue
邓亚萍,deng'ya'ping
地板曲棍球,di'ban'qu'gun'qiu
迪米特萨乌丁,di'mi'te'sa'wu'ding
蒂莫西施莱佛,di'mo'xi'shi'lai'fo
低抛,di'pao
低手击球,di'shou'ji'qiu
地跆,di'tai
底线,di'xian
第一阵容,di'yi'zhen'rong
电动花剑,dian'dong'hua'jian
电动佩剑,dian'dong'pei'jian
电动重剑,dian'dong'zhong'jian
垫球,dian'qiu
电子护具,dian'zi'hu'ju
吊环,diao'huan
吊进腰,diao'jin'yao
丁峰,ding'feng
丁锦辉,ding'jin'hui
丁宁,ding'ning
董斌,dong'bin
董程,dong'cheng
董栋,dong'dong
董国建,dong'guo'jian
杜丽,du'li
杜文亮,du'wen'liang
杜宇,du'yu
杜兆才,du'zhao'cai
短打,duan'da
段世杰,duan'shi'jie
断头台,duan'tou'tai
队医,dui'yi
蹲踞式起跑,dun'ju'shi'qi'pao
夺冠热门,duo'guan're'men
躲闪,duo'shan
二传手,er'chuan'shou
二垒,er'lei
二垒安打,er'lei'an'da
二垒手,er'lei'shou
发侧旋球,fa'ce'xuan'qiu
发高远球,fa'gao'yuan'qiu
发近台削球,fa'jin'tai'xiao'qiu
发令员,fa'ling'yuan
发平球,fa'ping'qiu
发球,fa'qiu
发球次序,fa'qiu'ci'xu
发球方,fa'qiu'fang
发球区,fa'qiu'qu
发球权,fa'qiu'quan
发深球,fa'shen'qiu
发下旋短球,fa'xia'xuan'duan'qiu
发正手上旋球,fa'zheng'shou'shang'xuan'qiu
帆船,fan'chuan
反攻,fan'gong
反横踢,fan'heng'ti
反胶,fan'jiao
反跨跳,fan'kua'tiao
反拉,fan'la
反抡踢,fan'lun'ti
反面技法,fan'mian'ji'fa
反拍,fan'pai
反三角绞,fan'san'jiao'jiao
反手反攻,fan'shou'fan'gong
反手防守,fan'shou'fang'shou
反手俯卧撑,fan'shou'fu'wo'cheng
反手弧圈球,fan'shou'hu'quan'qiu
反撕,fan'si
方博,fang'bo
放高球,fang'gao'qiu
防弧胶皮,fang'hu'jiao'pi
防守,fang'shou
防守成功,fang'shou'cheng'gong
防守犯规,fang'shou'fan'gui
防守反击,fang'shou'fan'ji
防守干扰,fang'shou'gan'rao
防守篮板,fang'shou'lan'ban
防守战术,fang'shou'zhan'shu
方晏乔,fang'yan'qiao
方玉婷,fang'yu'ting
菲尔普斯,fei'er'pu'si
费建,fei'jian
费罗,fei'luo
飞身,fei'shen
飞身三角绞,fei'shen'san'jiao'jiao
飞身十字固,fei'shen'shi'zi'gu
飞身降伏,fei'shen'xiang'fu
飞身降伏技,fei'shen'xiang'fu'ji
分界线,fen'jie'xian
封闭式防守,feng'bi'shi'fang'shou
封杀,feng'sha
冯树勇,feng'shu'yong
冯在真,feng'zai'zhen
冯喆,feng'zhe
冯真,feng'zhen
付宝荣,fu'bao'rong
副攻手,fu'gong'shou
浮固,fu'gu
傅国义,fu'guo'yi
傅海峰,fu'hai'feng
浮落,fu'luo
富田洋之,fu'tian'yang'zhi
俯卧撑击掌,fu'wo'cheng'ji'zhang
傅园慧,fu'yuan'hui
盖德,gai'de
刚烈绞,gang'lie'jiao
高翱,gao'ao
高畅,gao'chang
高低杠,gao'di'gang
高吊,gao'diao
高吊弧圈球,gao'diao'hu'quan'qiu
高飞球,gao'fei'qiu
高飞牺牲打,gao'fei'xi'sheng'da
高付俊,gao'fu'jun
高丽,gao'li
高丽华,gao'li'hua
高妮,gao'ni
高抛发球,gao'pao'fa'qiu
高抛式发球,gao'pao'shi'fa'qiu
高山滑雪,gao'shan'hua'xue
高手击球,gao'shou'ji'qiu
高颂,gao'song
高位格档接侧步直拳,gao'wei'ge'dang'jie'ce'bu'zhi'quan
高位横踢,gao'wei'heng'ti
高玉兰,gao'yu'lan
格挡,ge'dang
宫金杰,gong'jin'jie
攻栏,gong'lan
宫磊,gong'lei
巩立姣,gong'li'jiao
公路自行车,gong'lu'zi'xing'che
顾拜旦,gu'bai'dan
固技,gu'ji
谷落,gu'luo
古柔术,gu'rou'shu
故意四坏球,gu'yi'si'huai'qiu
挂踢,gua'ti
关键球,guan'jian'qiu
灌胶,guan'jiao
关节技,guan'jie'ji
灌篮,guan'lan
贯手,guan'shou
关馨,guan'xin
眭禄,gui'lu
龟缩防守,gui'suo'fang'shou
龟缩式防守,gui'suo'shi'fang'shou
滚地球,gun'di'qiu
滚网,gun'wang
郭艾伦,guo'ai'lun
过渡球,guo'du'qiu
郭凡,guo'fan
国际奥委会,guo'ji'ao'wei'hui
国际联盟,guo'ji'lian'meng
国际马术联合会,guo'ji'ma'shu'lian'he'hui
国际跆拳道联盟,guo'ji'tai'quan'dao'lian'meng
国技院,guo'ji'yuan
裹袈裟固,guo'jia'sha'gu
郭清华,guo'qing'hua
过手违例,guo'shou'wei'li
郭爽,guo'shuang
裹投,guo'tou
过腿,guo'tui
过网击球,guo'wang'ji'qiu
郭伟阳,guo'wei'yang
郭文珺,guo'wen'jun
郭小燕,guo'xiao'yan
过腰违例,guo'yao'wei'li
郭跃,guo'yue
郭振东,guo'zhen'dong
哈里森迪拉德,ha'li'sen'di'la'de
韩冰岩,han'bing'yan
汉考克,han'kao'ke
汉水,han'shui
汉武馆,han'wu'guan
好球,hao'qiu
好球带,hao'qiu'dai
郝运,hao'yun
何冲,he'chong
何红梅,he'hong'mei
何健彬,he'jian'bin
何金,he'jin
何军,he'jun
何可欣,he'ke'xin
合理挤位,he'li'ji'wei
何雯娜,he'wen'na
何潇,he'xiao
何姿,he'zi
黑带,hei'dai
黑带八段,hei'dai'ba'duan
黑带二段,hei'dai'er'duan
黑带九段,hei'dai'jiu'duan
黑带六段,hei'dai'liu'duan
黑带七段,hei'dai'qi'duan
黑带三段,hei'dai'san'duan
黑带十段,hei'dai'shi'duan
黑带四段,hei'dai'si'duan
黑带五段,hei'dai'wu'duan
黑带一段,hei'dai'yi'duan
横叉,heng'cha
横车,heng'che
横分,heng'fen
横拉,heng'la
亨利德巴耶,heng'li'de'ba'ye
横拍,heng'pai
横舍身技,heng'she'shen'ji
横四方固,heng'si'fang'gu
横踢,heng'ti
横踢脚靶,heng'ti'jiao'ba
横踢接双飞接后踢,heng'ti'jie'shuang'fei'jie'hou'ti
红带,hong'dai
红黑带,hong'hei'dai
红牌,hong'pai
红牌罚下,hong'pai'fa'xia
洪镇宗,hong'zhen'zong
后方单手抓,hou'fang'dan'shou'zhua
后方肩部抓,hou'fang'jian'bu'zhua
后方两手抓,hou'fang'liang'shou'zhua
后弓步,hou'gong'bu
后滑步,hou'hua'bu
后袈裟固,hou'jia'sha'gu
后交叉步,hou'jiao'cha'bu
后排防守,hou'pai'fang'shou
后软翻,hou'ruan'fan
后受身,hou'shou'shen
后踢,hou'ti
后踢脚靶,hou'ti'jiao'ba
后腿横踢,hou'tui'heng'ti
后腿横踢接高位横踢,hou'tui'heng'ti'jie'gao'wei'heng'ti
后腿横踢接后交叉上步侧踢,hou'tui'heng'ti'jie'hou'jiao'cha'shang'bu'ce'ti
后腿横踢接后踢,hou'tui'heng'ti'jie'hou'ti
后腿横踢接双飞踢,hou'tui'heng'ti'jie'shuang'fei'ti
后腿横踢接旋风踢,hou'tui'heng'ti'jie'xuan'feng'ti
后腿横踢接旋风踢接后摆腿,hou'tui'heng'ti'jie'xuan'feng'ti'jie'hou'bai'tui
后腿后踢接后腿下劈,hou'tui'hou'ti'jie'hou'tui'xia'pi
后腿前踢接前腿前踢,hou'tui'qian'ti'jie'qian'tui'qian'ti
后卫,hou'wei
后旋踢,hou'xuan'ti
后腰,hou'yao
侯玉琢,hou'yu'zhuo
胡安,hu'an
胡斌渊,hu'bin'yuan
蝴蝶式防守,hu'die'shi'fang'shou
胡加时,hu'jia'shi
护面,hu'mian
弧圈型,hu'quan'xing
护身倒法,hu'shen'dao'fa
护身衣,hu'shen'yi
护手盘,hu'shou'pan
护腿,hu'tui
胡昕,hu'xin
胡亚丹,hu'ya'dan
胡雅欢,hu'ya'huan
护掌,hu'zhang
滑步前腿推踢接后腿横踢脚靶,hua'bu'qian'tui'tui'ti'jie'hou'tui'heng'ti'jiao'ba
滑步前腿推踢接后腿后踢脚靶,hua'bu'qian'tui'tui'ti'jie'hou'tui'hou'ti'jiao'ba
滑步前腿推踢接下劈,hua'bu'qian'tui'tui'ti'jie'xia'pi
滑铲,hua'chan
滑地接球,hua'di'jie'qiu
花剑护面,hua'jian'hu'mian
滑垒,hua'lei
花式扫,hua'shi'sao
花样游,hua'yang'you
花样游泳,hua'yang'you'yong
坏球,huai'qiu
换步,huan'bu
换发球,huan'fa'qiu
晃摆,huang'bai
黄保权,huang'bao'quan
晃搓,huang'cuo
黄带,huang'dai
晃动,huang'dong
黄雷,huang'lei
黄丽,huang'li
黄绿带,huang'lv'dai
黄茂兴,huang'mao'xing
黄牌,huang'pai
晃撇,huang'pie
黄秋爽,huang'qiu'shuang
黄秋爽转体,huang'qiu'shuang'zhuan'ti
黄珊汕,huang'shan'shan
晃挑,huang'tiao
黄文仪,huang'wen'yi
黄潇潇,huang'xiao'xiao
黄绪峰,huang'xu'feng
黄雪辰,huang'xue'chen
黄玉斌,huang'yu'bin
黄云鲲,huang'yun'kun
黄喆,huang'zhe
黄志鹏,huang'zhi'peng
挥棒,hui'bang
挥臂,hui'bi
挥拍,hui'pai
回球,hui'qiu
惠若琪,hui'ruo'qi
混合双打,hun'he'shuang'da
火炬传递,huo'ju'chuan'di
霍科林,huo'ke'lin
火战车,huo'zhan'che
基本动作,ji'ben'dong'zuo
击打,ji'da
击剑,ji'jian
击剑线,ji'jian'xian
基拉宁,ji'la'ning
季丽萍,ji'li'ping
激流回旋,ji'liu'hui'xuan
击球点,ji'qiu'dian
击球法,ji'qiu'fa
级位,ji'wei
吉祥物,ji'xiang'wu
纪妍妍,ji'yan'yan
吉永雅,ji'yong'ya
夹背袈裟固,jia'bei'jia'sha'gu
假动作,jia'dong'zuo
贾福涛,jia'fu'tao
加莫娃,jia'mo'wa
夹杀,jia'sha
袈裟固,jia'sha'gu
加时赛,jia'shi'sai
肩部抓正面打,jian'bu'zhua'zheng'mian'da
肩车,jian'che
剪刀扫,jian'dao'sao
肩固,jian'gu
简泽利兹尼,jian'ze'li'zi'ni
蒋琛,jiang'chen
讲德院,jiang'de'yuan
姜帆,jiang'fan
姜广京,jiang'guang'jing
蒋海琦,jiang'hai'qi
姜海洋,jiang'hai'yang
蒋宏伟,jiang'hong'wei
蒋科律,jiang'ke'lv
江利,jiang'li
蒋婷婷,jiang'ting'ting
姜吻吻,jiang'wen'wen
蒋文文,jiang'wen'wen
蒋志学,jiang'zhi'xue
脚步动作准备,jiao'bu'dong'zuo'zhun'bei
交叉步,jiao'cha'bu
交换场地,jiao'huan'chang'di
交换发球区,jiao'huan'fa'qiu'qu
绞技,jiao'ji
交接棒,jiao'jie'bang
教练,jiao'lian
焦刘洋,jiao'liu'yang
角球,jiao'qiu
绞杀技,jiao'sha'ji
接发球,jie'fa'qiu
接后失手,jie'hou'shi'shou
杰克贝雷斯福德,jie'ke'bei'lei'si'fu'de
界内球,jie'nei'qiu
接替投手练习区,jie'ti'tou'shou'lian'xi'qu
界外球,jie'wai'qiu
杰西欧文斯,jie'xi'ou'wen'si
紧盯,jin'ding
进攻犯规,jin'gong'fan'gui
进攻篮板,jin'gong'lan'ban
进攻性发球,jin'gong'xing'fa'qiu
金亨七,jin'heng'qi
金鸡独立式,jin'ji'du'li'shi
金牌榜,jin'pai'bang
进球荒,jin'qiu'huang
禁赛,jin'sai
近台,jin'tai
近台打法,jin'tai'da'fa
近台防守,jin'tai'fang'shou
金炜,jin'wei
金相烈,jin'xiang'lie
金紫薇,jin'zi'wei
井村雅代,jing'cun'ya'dai
竞技体操,jing'ji'ti'cao
警戒线,jing'jie'xian
景瑞雪,jing'rui'xue
救援成功,jiu'yuan'cheng'gong
救援点,jiu'yuan'dian
救援失败,jiu'yuan'shi'bai
救援投手,jiu'yuan'tou'shou
举重,ju'zhong
绝杀,jue'sha
卡尔海因茨施泰恩迈茨,ka'er'hai'yin'ci'shi'tai'en'mai'ci
卡尔刘易斯,ka'er'liu'yi'si
卡位,ka'wei
开放式防守,kai'fang'shi'fang'shou
开球,kai'qiu
砍式,kan'shi
抗击打,kang'ji'da
科马内奇,ke'ma'nei'qi
空气投,kong'qi'tou
控球,kong'qiu
空心,kong'xin
扣篮,kou'lan
扣球,kou'qiu
扣网前球,kou'wang'qian'qiu
快带,kuai'dai
快攻型,kuai'gong'xing
快平球,kuai'ping'qiu
快速球,kuai'su'qiu
快速右提膝腿,kuai'su'you'ti'xi'tui
快速左提膝腿,kuai'su'zuo'ti'xi'tui
快速左右提膝腿,kuai'su'zuo'you'ti'xi'tui
狂二,kuang'er
狂三,kuang'san
昆明跆拳道协会,kun'ming'tai'quan'dao'xie'hui
拉攻,la'gong
拉弧圈球,la'hu'quan'qiu
拉球,la'qiu
拉斯姆森,la'si'mu'sen
赖亚文,lai'ya'wen
赖永钦,lai'yong'qin
蓝带,lan'dai
蓝红带,lan'hong'dai
篮球,lan'qiu
拦网,lan'wang
兰兴,lan'xing
劳义,lao'yi
垒包,lei'bao
雷军,lei'jun
垒球,lei'qiu
雷声,lei'sheng
李爱锐,li'ai'rui
李承琓,li'cheng'wan
李冬晓,li'dong'xiao
李峰,li'feng
栗谷,li'gu
黎国介,li'guo'jie
李国平,li'guo'ping
李国雄,li'guo'xiong
李海钢,li'hai'gang
李红侠,li'hong'xia
李红星,li'hong'xing
李桦,li'hua
李辉,li'hui
立技,li'ji
李佳星,li'jia'xing
李建波,li'jian'bo
李金哲,li'jin'zhe
李金子,li'jin'zi
李璟,li'jing
李君,li'jun
李莉背转,li'li'bei'zhuan
李莉腾越,li'li'teng'yue
李玲,li'ling
李玲蔚,li'ling'wei
李龙雨,li'long'yu
李梅素,li'mei'su
李娜,li'na
李楠,li'nan
李宁摆上,li'ning'bai'shang
李宁交叉,li'ning'jiao'cha
李宁正吊,li'ning'zheng'diao
李佩璟,li'pei'jing
李强,li'qiang
李清,li'qing
李全海,li'quan'hai
李全意,li'quan'yi
李珊珊,li'shan'shan
黎淑金,li'shu'jin
李隼,li'sun
李天铎,li'tian'duo
立卧撑跳,li'wo'cheng'tiao
李曦,li'xi
李夏延,li'xia'yan
李小鹏挂,li'xiao'peng'gua
李小鹏跳,li'xiao'peng'tiao
李小双十字,li'xiao'shuang'shi'zi
李晓霞,li'xiao'xia
李玄旭,li'xuan'xu
李铉一,li'xuan'yi
李雪芮,li'xue'rui
李雪英,li'xue'ying
李娅空翻,li'ya'kong'fan
李娅下,li'ya'xia
李艳凤,li'yan'feng
李艳梅,li'yan'mei
李永波,li'yong'bo
李毓毅,li'yu'yi
李昀琦,li'yun'qi
李章丽,li'zhang'li
李震中,li'zhen'zhong
李珍珠,li'zhen'zhu
李志珑,li'zhi'long
李子成,li'zi'cheng
李宗伟,li'zong'wei
连击,lian'ji
联络技,lian'luo'ji
连胜,lian'sheng
连续进攻,lian'xu'jin'gong
连续扣杀,lian'xu'kou'sha
梁嘉鸿,liang'jia'hong
梁敬,liang'jing
梁磊,liang'lei
两垒间的路,liang'lei'jian'de'lu
梁美玉,liang'mei'yu
两头起,liang'tou'qi
两腿交换竖叉,liang'tui'jiao'huan'shu'cha
梁勇,liang'yong
两指手套,liang'zhi'shou'tao
林丹,lin'dan
林俊红,lin'jun'hong
林清峰,lin'qing'feng
林氏转体,lin'shi'zhuan'ti
林跃,lin'yue
领队,ling'dui
领跑者,ling'pao'zhe
零失误,ling'shi'wu
凌氏转体,ling'shi'zhuan'ti
刘爱杰,liu'ai'jie
刘宝荣,liu'bao'rong
刘长江,liu'chang'jiang
刘德利,liu'de'li
刘凤岩,liu'feng'yan
刘扶民,liu'fu'min
刘刚,liu'gang
刘国梁,liu'guo'liang
刘海萍,liu'hai'ping
刘海涛,liu'hai'tao
刘海英,liu'hai'ying
刘恒林,liu'heng'lin
刘虹,liu'hong
刘京,liu'jing
刘憬,liu'jing
刘良宗,liu'liang'zong
刘珉,liu'min
刘鸥,liu'ou
刘鹏,liu'peng
刘萍,liu'ping
刘强,liu'qiang
刘钦龙,liu'qin'long
刘群,liu'qun
刘诗雯,liu'shi'wen
刘炜,liu'wei
刘文斌,liu'wen'bin
流线绞,liu'xian'jiao
刘翔,liu'xiang
刘相蓉,liu'xiang'rong
刘晓,liu'xiao
刘哮波,liu'xiao'bo
刘小马,liu'xiao'ma
刘晓宇,liu'xiao'yu
刘馨,liu'xin
刘璇单臂大回环,liu'xuan'dan'bi'da'hui'huan
刘英姿,liu'ying'zi
刘招武,liu'zhao'wu
刘祯,liu'zhen
刘子歌,liu'zi'ge
漏击,lou'ji
漏接,lou'jie
楼云空翻,lou'yun'kong'fan
楼云跳,lou'yun'tiao
陆春龙,lu'chun'long
路海,lu'hai
陆浩杰,lu'hao'jie
陆莉跳,lu'li'tiao
陆善真,lu'shan'zhen
鹿跳,lu'tiao
陆一帆,lu'yi'fan
陆滢,lu'ying
陆永,lu'yong
陆永生,lu'yong'sheng
卢裕富跳,lu'yu'fu'tiao
伦敦,lun'dun
伦敦奥运会,lun'dun'ao'yun'hui
伦敦奥运会徽,lun'dun'ao'yun'hui'hui
伦敦奥运会会徽,lun'dun'ao'yun'hui'hui'hui
伦敦白城体育场,lun'dun'bai'cheng'ti'yu'chang
伦敦碗,lun'dun'wan
轮换发球法,lun'huan'fa'qiu'fa
轮换位置,lun'huan'wei'zhi
抡踢,lun'ti
罗伯特马赛厄斯,luo'bo'te'ma'sai'e'si
罗超毅,luo'chao'yi
洛加尼斯,luo'jia'ni'si
裸绞,luo'jiao
罗凯耀,luo'kai'yao
罗丽倒立,luo'li'dao'li
罗茜,luo'qian
骆晓娟,luo'xiao'juan
罗谢特,luo'xie'te
罗熊,luo'xiong
罗玉通,luo'yu'tong
绿带,lv'dai
吕会会,lv'hui'hui
绿蓝带,lv'lan'dai
吕强,lv'qiang
吕小军,lv'xiao'jun
吕秀芝,lv'xiu'zhi
吕志武,lv'zhi'wu
吕琢,lv'zhuo
马步桩冲拳,ma'bu'zhuang'chong'quan
马欢欢,ma'huan'huan
马剑飞,ma'jian'fei
马晋,ma'jin
马龙,ma'long
马术,ma'shu
马威,ma'wei
马文广,ma'wen'guang
马修麦格拉斯,ma'xiu'mai'ge'la'si
马雪君,ma'xue'jun
马燕红回环倒立,ma'yan'hong'hui'huan'dao'li
马燕红下,ma'yan'hong'xia
马弋博,ma'yi'bo
马蕴雯,ma'yun'wen
马增玉,ma'zeng'yu
麦麦提图尔孙琼,mai'mai'ti'tu'er'sun'qiong
曼德维尔,man'de'wei'er
满垒,man'lei
满球数,man'qiu'shu
慢速变化球,man'su'bian'hua'qiu
慢速球,man'su'qiu
蟒蛇绞,mang'she'jiao
毛燕玲转体,mao'yan'ling'zhuan'ti
么正杰,me'zheng'jie
镁粉,mei'fen
美国大联盟,mei'guo'da'lian'meng
美国联盟,mei'guo'lian'meng
美国梦之队,mei'guo'meng'zhi'dui
孟繁龙,meng'fan'long
孟淑霞,meng'shu'xia
梦之队,meng'zhi'dui
米杨,mi'yang
苗立杰,miao'li'jie
苗禕骅,miao'yi'hua
名人厅,ming'ren'ting
命中率,ming'zhong'lv
缪志红,miu'zhi'hong
莫慧兰空翻,mo'hui'lan'kong'fan
莫雷龙丹尼尔,mo'lei'long'dan'ni'er
抹球,mo'qiu
木村锁,mu'cun'suo
穆罕默德阿里,mu'han'mo'de'a'li
穆雷,mu'lei
南北固,nan'bei'gu
难度系数,nan'du'xi'shu
男篮,nan'lan
男子单打,nan'zi'dan'da
男子双打,nan'zi'shuang'da
男子团体,nan'zi'tuan'ti
内多纳迪,nei'duo'na'di
内格挡,nei'ge'dang
内股,nei'gu
内角球,nei'jiao'qiu
内开球线,nei'kai'qiu'xian
内维尔,nei'wei'er
内线,nei'xian
逆防守,ni'fang'shou
逆式防守,ni'shi'fang'shou
逆十字绞,ni'shi'zi'jiao
逆向发球,ni'xiang'fa'qiu
逆旋,ni'xuan
年度新人王,nian'du'xin'ren'wang
拧拉,ning'la
牛棚,niu'peng
女篮,nv'lan
女子单打,nv'zi'dan'da
女子双打,nv'zi'shuang'da
女子团体,nv'zi'tuan'ti
女子羽毛球单打,nv'zi'yu'mao'qiu'dan'da
帕沃鲁米,pa'wo'lu'mi
拍地后滚翻,pai'di'hou'gun'fan
排球,pai'qiu
潘佳章,pan'jia'zhang
潘盛华,pan'sheng'hua
潘志琛,pan'zhi'chen
庞佳颖,pang'jia'ying
旁落,pang'luo
庞伟,pang'wei
跑垒,pao'lei
跑垒指导员,pao'lei'zhi'dao'yuan
佩尔森,pei'er'sen
佩尔索尔,pei'er'suo'er
佩剑护面,pei'jian'hu'mian
佩剑头线,pei'jian'tou'xian
彭帅,peng'shuai
彭杨,peng'yang
彭钊,peng'zhao
劈长,pi'chang
劈刺,pi'ci
皮划艇,pi'hua'ting
皮洛士迪马斯,pi'luo'shi'di'ma'si
片羽绞,pian'yu'jiao
朴成焕,piao'cheng'huan
品式,pin'shi
平抽球,ping'chou'qiu
平高球,ping'gao'qiu
平衡木,ping'heng'mu
乒乓球,ping'pang'qiu
乒乓球网,ping'pang'qiu'wang
平原,ping'yuan
普通开放式防守,pu'tong'kai'fang'shi'fang'shou
骑乘式,qi'cheng'shi
