阿尔玛尼格拉,a'er'ma'ni'ge'la
沉沦魔,chen'lun'mo
沉沦巫师,chen'lun'wu'shi
城镇传送卷轴,cheng'zhen'chuan'song'juan'zhou
炽烈之径,chi'lie'zhi'jing
炽天使法杖,chi'tian'shi'fa'zhang
炽天使之韵,chi'tian'shi'zhi'yun
齿缘小刀,chi'yuan'xiao'dao
充能一击,chong'neng'yi'ji
重生,chong'sheng
臭气污秽者,chou'qi'wu'hui'zhe
触角怪兽,chu'jiao'guai'shou
穿刺,chuan'ci
传说尖刺,chuan'shuo'jian'ci
传说之锤,chuan'shuo'zhi'chui
传说之剑,chuan'shuo'zhi'jian
传送,chuan'song
传送门,chuan'song'men
戳刺,chuo'ci
刺爆,ci'bao
刺客,ci'ke
刺客拳剑,ci'ke'quan'jian
刺木魔,ci'mu'mo
刺人枪,ci'ren'qiang
刺入,ci'ru
次元碎片,ci'yuan'sui'pian
淬毒匕首,cui'du'bi'shou
崔凡克,cui'fan'ke
崔旷野姆,cui'kuang'ye'mu
大笨兽,da'ben'shou
大菠萝,da'bo'luo
大长刀,da'chang'dao
大地之灵,da'di'zhi'ling
大盾,da'dun
大盾牌,da'dun'pai
大斧,da'fu
大符,da'fu
大剑,da'jian
大叫,da'jiao
大教堂,da'jiao'tang
大君之怒,da'jun'zhi'nu
大砍刀,da'kan'dao
大木棍,da'mu'gun
大型护身符,da'xing'hu'shen'fu
大院长之弓,da'yuan'chang'zhi'gong
大战戟,da'zhan'ji
大自然的和平,da'zi'ran'de'he'ping
丹弓的教导,dan'gong'de'jiao'dao
弹丸弓,dan'wan'gong
倒刺护盾,dao'ci'hu'dun
刀锋弓,dao'feng'gong
倒钩槌,dao'gou'chui
刀刃刺盾,dao'ren'ci'dun
刀刃之盾,dao'ren'zhi'dun
盗贼皇冠,dao'zei'huang'guan
德鲁伊,de'lu'yi
德鲁伊毛皮,de'lu'yi'mao'pi
地底通道,di'di'tong'dao
地点,di'dian
迪卡,di'ka
抵抗闪电,di'kang'shan'dian
迪勒瑞姆,di'le'rui'mu
地下墓穴,di'xia'mu'xue
地狱的工具,di'yu'de'gong'ju
地狱锻甲,di'yu'duan'jia
地狱符号,di'yu'fu'hao
地狱火,di'yu'huo
地狱火炬,di'yu'huo'ju
地狱魔窟,di'yu'mo'ku
地狱熔炉,di'yu'rong'lu
地狱头骨,di'yu'tou'gu
地狱爪之骨,di'yu'zhao'zhi'gu
地狱之吻,di'yu'zhi'wen
电能守卫,dian'neng'shou'wei
钉头锤,ding'tou'chui
洞察,dong'cha
冻结之箭,dong'jie'zhi'jian
洞穴重生的邪恶之塔,dong'xue'chong'sheng'de'xie'e'zhi'ta
洞穴巨魔巢穴骨盾,dong'xue'ju'mo'chao'xue'gu'dun
洞穴巨魔腰带,dong'xue'ju'mo'yao'dai
都瑞尔,dou'rui'er
斗士的祸根,dou'shi'de'huo'gen
斗士的特斯坦布,dou'shi'de'te'si'tan'bu
斗腰刀,dou'yao'dao
毒爆,du'bao
督军,du'jun
渡鸟之爪,du'niao'zhi'zhao
毒枪,du'qiang
督瑞尔的房间,du'rui'er'de'fang'jian
督斯特海港,du'si'te'hai'gang
毒牙,du'ya
毒液,du'ye
短标枪,duan'biao'qiang
短刀,duan'dao
短弓,duan'gong
短攻城弓,duan'gong'cheng'gong
短棍,duan'gun
短剑,duan'jian
短巨战弓,duan'ju'zhan'gong
短矛,duan'mao
短战斗弓,duan'zhan'dou'gong
短战戟,duan'zhan'ji
躲避,duo'bi
多重箭,duo'chong'jian
多尔,duo'er
多节棍,duo'jie'gun
堕落的罗格,duo'luo'de'luo'ge
堕落的罗格女枪兵,duo'luo'de'luo'ge'nv'qiang'bing
堕落的罗格射手,duo'luo'de'luo'ge'she'shou
堕落的太阳,duo'luo'de'tai'yang
堕落的天使,duo'luo'de'tian'shi
堕落王,duo'luo'wang
颚骨帽,e'gu'mao
颚骨面甲,e'gu'mian'jia
恶魔流星锤,e'mo'liu'xing'chui
恶魔十字弓,e'mo'shi'zi'gong
恶魔头盖骨面具,e'mo'tou'gai'gu'mian'ju
恶魔妖精,e'mo'yao'jing
恶魔之首,e'mo'zhi'shou
恶魔之心,e'mo'zhi'xin
法尔,fa'er
伐克斯,fa'ke'si
法拉,fa'la
法兰飞斧,fa'lan'fei'fu
法球,fa'qiu
法师,fa'shi
法师铠甲,fa'shi'kai'jia
法杖,fa'zhang
反刍者,fan'chu'zhe
反射之弓,fan'she'zhi'gong
防腐之首,fang'fu'zhi'shou
防寒圆盾,fang'han'yuan'dun
防具装备,fang'ju'zhuang'bei
防守斯特之盾,fang'shou'si'te'zhi'dun
防守者盾牌,fang'shou'zhe'dun'pai
防御盾,fang'yu'dun
飞刀,fei'dao
狒狒恶魔,fei'fei'e'mo
飞斧,fei'fu
飞空弯刀,fei'kong'wan'dao
飞龙,fei'long
飞龙皮靴,fei'long'pi'xue
飞龙在天,fei'long'zai'tian
飞矛,fei'mao
飞鹰头盔,fei'ying'tou'kui
愤怒,fen'nu
粉碎者,fen'sui'zhe
凤凰,feng'huang
凤凰攻击,feng'huang'gong'ji
疯狂血型女巫,feng'kuang'xue'xing'nv'wu
锋锐之弓,feng'rui'zhi'gong
复仇,fu'chou
复仇者之盔,fu'chou'zhe'zhi'kui
弗拉维,fu'la'wei
腐烂的附肢,fu'lan'de'fu'zhi
腐肉之风,fu'rou'zhi'feng
复生骷髅,fu'sheng'ku'lou
复生骷髅法师,fu'sheng'ku'lou'fa'shi
复生狱火,fu'sheng'yu'huo
斧手,fu'shou
符文剑,fu'wen'jian
符文权杖,fu'wen'quan'zhang
符纹爪,fu'wen'zhao
符文之弓,fu'wen'zhi'gong
符文之棍,fu'wen'zhi'gun
干燥的高地,gan'zao'de'gao'di
钢铁,gang'tie
钢铁面纱,gang'tie'mian'sha
钢铁石魔,gang'tie'shi'mo
刚毅,gang'yi
高地之剑,gao'di'zhi'jian
高级头盔,gao'ji'tou'kui
高级战甲,gao'ji'zhan'jia
哥德盾牌,ge'de'dun'pai
哥德弓,ge'de'gong
哥德剑,ge'de'jian
哥德战甲,ge'de'zhan'jia
哥德之斧,ge'de'zhi'fu
哥德之棍,ge'de'zhi'gun
格斗剪,ge'dou'jian
格斗刃,ge'dou'ren
格斗爪,ge'dou'zhao
格雷兹,ge'lei'zi
格瑞斯瓦尔德,ge'rui'si'wa'er'de
格瑞斯走道,ge'rui'si'zou'dao
格瑞斯走道的传奇,ge'rui'si'zou'dao'de'chuan'qi
格瑞斯走道的救赎,ge'rui'si'zou'dao'de'jiu'shu
格瑞斯走道的勇气,ge'rui'si'zou'dao'de'yong'qi
格瑞斯走道荣耀,ge'rui'si'zou'dao'rong'yao
格瑞斯走道之心,ge'rui'si'zou'dao'zhi'xin
攻城十字弓,gong'cheng'shi'zi'gong
攻城兽,gong'cheng'shou
攻击反噬钢铁处女,gong'ji'fan'shi'gang'tie'chu'nv
钩斧,gou'fu
钩镰枪,gou'lian'qiang
古代无魂之卡,gu'dai'wu'hun'zhi'ka
古代之盾,gu'dai'zhi'dun
古代之斧,gu'dai'zhi'fu
古代之剑,gu'dai'zhi'jian
古代装甲,gu'dai'zhuang'jia
古代宗教之刃,gu'dai'zong'jiao'zhi'ren
古尔,gu'er
孤儿的呼唤,gu'er'de'hu'huan
骨灰,gu'hui
骨魂,gu'hun
骨锯破坏者,gu'ju'po'huai'zhe
骨牢,gu'lao
古龙皮,gu'long'pi
骨矛,gu'mao
古墓之杖,gu'mu'zhi'zhang
古难记录者,gu'nan'ji'lu'zhe
骨墙,gu'qiang
骨髓行走,gu'sui'xing'zou
骨头,gu'tou
古巫医,gu'wu'yi
骨焰,gu'yan
骨杖,gu'zhang
怪物,guai'wu
怪异,guai'yi
怪异之球,guai'yi'zhi'qiu
冠军之剑,guan'jun'zhi'jian
光辉,guang'hui
光之军刀,guang'zhi'jun'dao
鬼魂尖枪,gui'hun'jian'qiang
鬼魂战甲,gui'hun'zhan'jia
鬼魂之矛,gui'hun'zhi'mao
鬼魂之杖,gui'hun'zhi'zhang
鬼火,gui'huo
鬼火投射者,gui'huo'tou'she'zhe
棍棒,gun'bang
国王之恩典,guo'wang'zhi'en'dian
哈德尔,ha'de'er
哈加洛斯的反叛行动,ha'jia'luo'si'de'fan'pan'xing'dong
哈斯拉柏,ha'si'la'bai
哈斯拉柏的防御,ha'si'la'bai'de'fang'yu
哈斯拉柏的铁后跟,ha'si'la'bai'de'tie'hou'gen
哈斯拉柏的铁拳,ha'si'la'bai'de'tie'quan
哈斯拉柏的铁胸衣,ha'si'la'bai'de'tie'xiong'yi
亥伯龙盾,hai'bo'long'dun
亥伯龙之矛,hai'bo'long'zhi'mao
亥伯龙之枪,hai'bo'long'zhi'qiang
海尔,hai'er
海尔布,hai'er'bu
海法斯特,hai'fa'si'te
骸骨链甲,hai'gu'lian'jia
骸骨面罩,hai'gu'mian'zhao
骸骨小刀,hai'gu'xiao'dao
骸骨靴,hai'gu'xue
海拉柏得的国度,hai'la'bai'de'de'guo'du
海蛇皮甲,hai'she'pi'jia
海王利维亚桑,hai'wang'li'wei'ya'sang
海妖壳甲,hai'yao'ke'jia
寒冰惊怖者,han'bing'jing'bu'zhe
寒冰刃,han'bing'ren
寒冰装甲,han'bing'zhuang'jia
韩瑞德之剑,han'rui'de'zhi'jian
豪杰斧,hao'jie'fu
和风,he'feng
和平,he'ping
和谐,he'xie
黑暗的神殿,hei'an'de'shen'dian
黑暗护林人,hei'an'hu'lin'ren
黑暗森林,hei'an'sen'lin
黑暗信徒,hei'an'xin'tu
黑暗长老,hei'an'zhang'lao
黑摩苏的坚决,hei'mo'su'de'jian'jue
黑色,hei'se
黑色荒地,hei'se'huang'di
宏森丹,hong'sen'dan
虎击,hu'ji
护胫,hu'jing
护胸甲,hu'xiong'jia
华丽战甲,hua'li'zhan'jia
华宁,hua'ning
华宁的保护,hua'ning'de'bao'hu
华宁的光辉,hua'ning'de'guang'hui
华宁的威严,hua'ning'de'wei'yan
华宁的正义,hua'ning'de'zheng'yi
华宁的祝福,hua'ning'de'zhu'fu
幻化之刃,huan'hua'zhi'ren
皇宫监牢,huang'gong'jian'lao
皇冠,huang'guan
皇冠之盾,huang'guan'zhi'dun
皇家盾牌,huang'jia'dun'pai
黄金鸟,huang'jin'niao
回避,hui'bi
回城卷,hui'cheng'juan
回城书,hui'cheng'shu
悔恨,hui'hen
毁灭,hui'mie
毁灭的仆从,hui'mie'de'pu'cong
毁灭的前夕,hui'mie'de'qian'xi
毁灭的王座,hui'mie'de'wang'zuo
毁灭者头盔,hui'mie'zhe'tou'kui
灰暮寿衣,hui'mu'shou'yi
灰木之弓,hui'mu'zhi'gong
惠纳斯之皮,hui'na'si'zhi'pi
喙钳,hui'qian
惠斯坦的武装,hui'si'tan'de'wu'zhuang
毁天灭地,hui'tian'mie'di
回忆,hui'yi
混沌,hun'dun
混沌避难所,hun'dun'bi'nan'suo
混沌战甲,hun'dun'zhan'jia
火弹,huo'dan
活动头盔,huo'dong'tou'kui
火风暴,huo'feng'bao
火花之拳,huo'hua'zhi'quan
火墙,huo'qiang
火球,huo'qiu
火山,huo'shan
火山爆,huo'shan'bao
火蜥蜴之爪,huo'xi'yi'zhi'zhao
火焰爆震,huo'yan'bao'zhen
火焰复生,huo'yan'fu'sheng
火焰加斯,huo'yan'jia'si
火焰箭,huo'yan'jian
火焰强化,huo'yan'qiang'hua
火焰石魔,huo'yan'shi'mo
火焰之河,huo'yan'zhi'he
火焰之塔,huo'yan'zhi'ta
火焰之指,huo'yan'zhi'zhi
火之眼,huo'zhi'yan
基得,ji'de
极地风暴,ji'di'feng'bao
祭典标枪,ji'dian'biao'qiang
祭典长矛,ji'dian'chang'mao
祭典之弓,ji'dian'zhi'gong
祭典之矛,ji'dian'zhi'mao
急冻箭,ji'dong'jian
饥饿,ji'e
基格列斯,ji'ge'lie'si
吉黑得的运气,ji'hei'de'de'yun'qi
饥荒,ji'huang
寂静,ji'jing
吉列布,ji'lie'bu
棘灵,ji'ling
技能,ji'neng
基斯,ji'si
祭司印记,ji'si'yin'ji
急速靴,ji'su'xue
击退,ji'tui
吉永之脸,ji'yong'zhi'lian
击晕,ji'yun
加尔的长发,jia'er'de'chang'fa
贾梅拉,jia'mei'la
甲壳铠鳞甲,jia'qiao'kai'lin'jia
加速,jia'su
剑齿猫,jian'chi'mao
尖刺盾牌,jian'ci'dun'pai
尖刺根源,jian'ci'gen'yuan
监牢,jian'lao
监视者之骨,jian'shi'zhe'zhi'gu
尖牙盔,jian'ya'kui
剪咬刀,jian'yao'dao
尖指法师,jian'zhi'fa'shi
降低抵抗,jiang'di'di'kang
僵尸,jiang'shi
僵尸之首,jiang'shi'zhi'shou
骄傲,jiao'ao
角盔,jiao'kui
郊外大草原,jiao'wai'da'cao'yuan
鲛尾巨斧,jiao'wei'ju'fu
交易的工具,jiao'yi'de'gong'ju
矫正者,jiao'zheng'zhe
解答者,jie'da'zhe
揭露者之首,jie'lu'zhe'zhi'shou
杰斯,jie'si
近身剪,jin'shen'jian
近身刃,jin'shen'ren
金属的守护,jin'shu'de'shou'hu
金属风之眼,jin'shu'feng'zhi'yan
金属扣带,jin'shu'kou'dai
金属网格,jin'shu'wang'ge
谨重,jin'zhong
净化,jing'hua
镜化靴,jing'hua'xue
净化之杖,jing'hua'zhi'zhang
荆棘,jing'ji
荆棘连指手套,jing'ji'lian'zhi'shou'tao
精力,jing'li
静力场,jing'li'chang
精神,jing'shen
救赎,jiu'shu
九头海蛇,jiu'tou'hai'she
九头蛇弓,jiu'tou'she'gong
九头蛇刃,jiu'tou'she'ren
九头蛇头盖骨圆帽,jiu'tou'she'tou'gai'gu'yuan'mao
救助,jiu'zhu
巨贝头盔,ju'bei'tou'kui
巨长斧,ju'chang'fu
锯齿流星锤,ju'chi'liu'xing'chui
巨锤死神,ju'chui'si'shen
巨大恶魔,ju'da'e'mo
巨大蚊子,ju'da'wen'zi
巨大蜘蛛,ju'da'zhi'zhu
剧毒新星,ju'du'xin'xing
飓风装甲,ju'feng'zhuang'jia
巨斧,ju'fu
巨弓,ju'gong
巨皇冠,ju'huang'guan
巨剑,ju'jian
巨神十字弓,ju'shen'shi'zi'gong
巨神腰带,ju'shen'yao'dai
巨神之斧,ju'shen'zhi'fu
巨神之剑,ju'shen'zhi'jian
巨神之刃,ju'shen'zhi'ren
巨型鳞铠胸甲,ju'xing'lin'kai'xiong'jia
巨型木乃伊,ju'xing'mu'nai'yi
巨型战甲,ju'xing'zhan'jia
巨鹰爪,ju'ying'zhao
巨战标枪,ju'zhan'biao'qiang
巨战长矛,ju'zhan'chang'mao
巨战法杖,ju'zhan'fa'zhang
巨战飞镖,ju'zhan'fei'biao
巨战斧,ju'zhan'fu
巨战镰刀,ju'zhan'lian'dao
巨战木棍,ju'zhan'mu'gun
巨战权杖,ju'zhan'quan'zhang
巨战手套,ju'zhan'shou'tao
巨战铁槌,ju'zhan'tie'chui
巨战腰带,ju'zhan'yao'dai
巨战之叉,ju'zhan'zhi'cha
巨战之剑,ju'zhan'zhi'jian
巨战之靴,ju'zhan'zhi'xue
巨爪,ju'zhao
绝望平原,jue'wang'ping'yuan
军刀,jun'dao
军斧,jun'fu
军帽,jun'mao
军营,jun'ying
军用锹,jun'yong'qiao
卡兰索,ka'lan'suo
卡珊,ka'shan
卡珊的封印,ka'shan'de'feng'yin
卡珊的魔咒,ka'shan'de'mo'zhou
卡珊的容貌,ka'shan'de'rong'mao
卡珊的陷阱,ka'shan'de'xian'jing
卡珊之尺,ka'shan'zhi'chi
卡珊之网,ka'shan'zhi'wang
卡夏,ka'xia
凯恩,kai'en
凯恩的搜寻,kai'en'de'sou'xun
铠甲,kai'jia
凯伦,kai'lun
抗冰,kang'bing
抗冰冷,kang'bing'leng
抗电,kang'dian
抗毒,kang'du
抗火,kang'huo
克法恩,ke'fa'en
克雷得劳,ke'lei'de'lao
克雷得劳的支柱,ke'lei'de'lao'de'zhi'zhu
克雷得劳之钳,ke'lei'de'lao'zhi'qian
克雷得劳之牙,ke'lei'de'lao'zhi'ya
克林姆的意志,ke'lin'mu'de'yi'zhi
恐怖的加斯围城战,kong'bu'de'jia'si'wei'cheng'zhan
恐怖的结局,kong'bu'de'jie'ju
空间之刃,kong'jian'zhi'ren
恐惧,kong'ju
空虚,kong'xu
空虚之指,kong'xu'zhi'zhi
扣带,kou'dai
骷髅,ku'lou
骷髅法师,ku'lou'fa'shi
骷髅弓箭手,ku'lou'gong'jian'shou
骷髅帽,ku'lou'mao
夸尔凯克,kua'er'kai'ke
狂暴,kuang'bao
狂暴者,kuang'bao'zhe
狂嗥,kuang'hao
狂乱,kuang'luan
狂怒,kuang'nu
狂怒面具刺盔,kuang'nu'mian'ju'ci'kui
狂犬病,kuang'quan'bing
狂热,kuang're
狂野之弦,kuang'ye'zhi'xian
狂战士,kuang'zhan'shi
狂战士的军火库,kuang'zhan'shi'de'jun'huo'ku
狂战士的手斧,kuang'zhan'shi'de'shou'fu
狂战士的锁子甲,kuang'zhan'shi'de'suo'zi'jia
狂战士的头戴,kuang'zhan'shi'de'tou'dai
狂战士斧,kuang'zhan'shi'fu
盔甲,kui'jia
盔甲之王,kui'jia'zhi'wang
盔甲制造者,kui'jia'zhi'zao'zhe
阔斧,kuo'fu
阔剑,kuo'jian
阔针长矛,kuo'zhen'chang'mao
拉尔,la'er
拉卡尼休,la'ka'ni'xiu
拉苏克,la'su'ke
蓝,lan
蓝姆,lan'mu
蓝依森的古书,lan'yi'sen'de'gu'shu
狼嚎,lang'hao
狼獾之心,lang'huan'zhi'xin
狼人变化,lang'ren'bian'hua
狼头,lang'tou
狼头盔,lang'tou'kui
狼牙棒,lang'ya'bang
烙印,lao'yin
雷槌,lei'chui
雷光守卫,lei'guang'shou'wei
雷击,lei'ji
雷山德,lei'shan'de
雷山德的侧腹,lei'shan'de'de'ce'fu
雷山德的指标,lei'shan'de'de'zhi'biao
雷神之力,lei'shen'zhi'li
雷云风暴,lei'yun'feng'bao
冷酷盾,leng'ku'dun
冷酷之盾,leng'ku'zhi'dun
力量,li'liang
利牙杀手,li'ya'sha'shou
利爪腹蛇,li'zhua'fu'she
镰刀,lian'dao
连枷,lian'jia
连扣战甲,lian'kou'zhan'jia
连射十字弓,lian'she'shi'zi'gong
连锁闪电,lian'suo'shan'dian
裂缝,lie'feng
裂缝之翼,lie'feng'zhi'yi
猎弓,lie'gong
猎人的伪装,lie'ren'de'wei'zhuang
猎鹰面具,lie'ying'mian'ju
鳞盾,lin'dun
鳞甲,lin'jia
领唱者印记,ling'chang'zhe'yin'ji
灵光法珠,ling'guang'fa'zhu
灵魂传播者,ling'hun'chuan'bo'zhe
灵魂看守者,ling'hun'kan'shou'zhe
灵魂狼头面具,ling'hun'lang'tou'mian'ju
六尺棍,liu'chi'gun
流亡,liu'wang
流星锤,liu'xing'chui
龙盾,long'dun
龙卷风,long'juan'feng
龙鳞,long'lin
龙手,long'shou
拢烟之球,long'yan'zhi'qiu
龙爪,long'zhua
路点,lu'dian
鲁高因,lu'gao'yin
鹿角,lu'jiao
卢姆,lu'mu
萝格营地,luo'ge'ying'di
罗佳伯斧,luo'jia'bo'fu
罗马短剑,luo'ma'duan'jian
螺旋头盔,luo'xuan'tou'kui
绿色装备,lv'se'zhuang'bei
马道克,ma'dao'ke
马尔,ma'er
马弗,ma'fu
玛哈姆橡木古董,ma'ha'mu'xiang'mu'gu'dong
马拉,ma'la
马拉的万花筒,ma'la'de'wan'hua'tong
玛那得的治疗,ma'na'dei'de'zhi'liao
马维娜,ma'wei'na
马维娜的冰握,ma'wei'na'de'bing'wo
马维娜的教义,ma'wei'na'de'jiao'yi
马维娜的施展,ma'wei'na'de'shi'zhan
马维娜的拥抱,ma'wei'na'de'yong'bao
马维娜的真实之眼,ma'wei'na'de'zhen'shi'zhi'yan
马维娜之战斗诗歌,ma'wei'na'zhi'zhan'dou'shi'ge
马席夫,ma'xi'fu
埋骨之地,mai'gu'zhi'di
慢速箭,man'su'jian
蛮族头盔,man'zu'tou'kui
猫眼,mao'yan
帽子,mao'zi
美杜沙的凝视,mei'du'sha'de'ning'shi
门徒,men'tu
猛毒花藤,meng'du'hua'teng
梦境,meng'jing
猛禽斧,meng'qin'fu
猛禽爪,meng'qin'zhao
米拉伯佳,mi'la'bo'jia
米拉伯佳的王冠,mi'la'bo'jia'de'wang'guan
米拉伯佳的雪茄,mi'la'bo'jia'de'xue'jia
米拉伯佳之袍,mi'la'bo'jia'zhi'pao
米拉伯佳之球,mi'la'bo'jia'zhi'qiu
米拉伯佳之杖,mi'la'bo'jia'zhi'zhang
迷乱,mi'luan
秘仪之剑,mi'yi'zhi'jian
秘银小刀,mi'yin'xiao'dao
秘银腰带,mi'yin'yao'dai
面具,mian'ju
蔑视反抗,mie'shi'fan'kang
冥河标枪,ming'he'biao'qiang
冥河之洞,ming'he'zhi'dong
冥河之怒,ming'he'zhi'nu
冥河之枪,ming'he'zhi'qiang
冥想,ming'xiang
魔法箭,mo'fa'jian
墨菲斯托,mo'fei'si'tuo
魔鬼抛物线,mo'gui'pao'wu'xian
魔鬼之叉,mo'gui'zhi'cha
魔力启生,mo'li'qi'sheng
魔皮手套,mo'pi'shou'tao
魔皮靴,mo'pi'xue
魔皮勋带,mo'pi'xun'dai
魔皮战甲,mo'pi'zhan'jia
末日,mo'ri
魔影斗篷,mo'ying'dou'peng
木棒,mu'bang
墓地之杖,mu'di'zhi'zhang
木乃伊,mu'nai'yi
木乃伊石棺,mu'nai'yi'shi'guan
木乃伊印记,mu'nai'yi'yin'ji
那,na
那夫,na'fu
拿各,na'ge
拿各的戒指,na'ge'de'jie'zhi
娜吉的古代遗迹,na'ji'de'gu'dai'yi'ji
娜吉的解密棒,na'ji'de'jie'mi'bang
娜吉的轻铠甲,na'ji'de'qing'kai'jia
娜吉的小环,na'ji'de'xiao'huan
纳卡,na'ka
娜塔亚,na'ta'ya
娜塔亚的标记,na'ta'ya'de'biao'ji
娜塔亚的非难,na'ta'ya'de'fei'nan
娜塔亚的灵魂,na'ta'ya'de'ling'hun
娜塔亚的图腾,na'ta'ya'de'tu'teng
娜塔亚的影子,na'ta'ya'de'ying'zi
男巫,nan'wu
男巫盾牌,nan'wu'dun'pai
男性之弓,nan'xing'zhi'gong
内侧回廊,nei'ce'hui'lang
内视,nei'shi
能量护盾,neng'liang'hu'dun
能量消解,neng'liang'xiao'jie
尼拉塞克,ni'la'sai'ke
尼拉塞克的神殿,ni'la'sai'ke'de'shen'dian
