阿氏拖网,a'shi'tuo'wang
底层流,di'ceng'liu
底层水,di'ceng'shui
底层鱼类,di'ceng'yu'lei
低潮,di'chao
地方种,di'fang'zhong
地方种群,di'fang'zhong'qun
地缝合线,di'feng'he'xian
地基承载能力,di'ji'cheng'zai'neng'li
地理障碍,di'li'zhang'ai
地幔对流,di'man'dui'liu
地幔隆起,di'man'long'qi
地幔柱,di'man'zhu
底摩擦层,di'mo'ca'ceng
底内动物,di'nei'dong'wu
低平海岸,di'ping'hai'an
底栖动物,di'qi'dong'wu
底栖生物,di'qi'sheng'wu
底栖生物刮底网,di'qi'sheng'wu'gua'di'wang
底栖生物群落,di'qi'sheng'wu'qun'luo
底栖生物拖网,di'qi'sheng'wu'tuo'wang
底栖生物学,di'qi'sheng'wu'xue
低狭盐种,di'xia'yan'zhong
地质海洋学,di'zhi'hai'yang'xue
地转流,di'zhuan'liu
电磁海流计,dian'ci'hai'liu'ji
电磁振荡震源,dian'ci'zhen'dang'zhen'yuan
颠倒采水器,dian'dao'cai'shui'qi
颠倒温度表,dian'dao'wen'du'biao
电火花震源,dian'huo'hua'zhen'yuan
点礁,dian'jiao
电渗析,dian'shen'xi
调查船,diao'cha'chuan
碟状幼体,die'zhuang'you'ti
丁坝,ding'ba
定点观测站,ding'dian'guan'ce'zhan
东非裂谷带,dong'fei'lie'gu'dai
东海,dong'hai
东海沿岸流,dong'hai'yan'an'liu
东经,dong'jing
动力定位,dong'li'ding'wei
动力方法,dong'li'fang'fa
动力海洋学,dong'li'hai'yang'xue
东太平洋海隆,dong'tai'ping'yang'hai'long
度洋中脊,du'yang'zhong'ji
断层海岸,duan'ceng'hai'an
短峰波,duan'feng'bo
短狂涌,duan'kuang'yong
断面观测,duan'mian'guan'ce
短轻涌,duan'qing'yong
短中涌,duan'zhong'yong
堆积冰,dui'ji'bing
堆积作用,dui'ji'zuo'yong
对流混合,dui'liu'hun'he
对马海流,dui'ma'hai'liu
多波束测深仪,duo'bo'shu'ce'shen'yi
多点系泊,duo'dian'ji'bo
多级分离器,duo'ji'fen'li'qi
多级闪急蒸馏,duo'ji'shan'ji'zheng'liu
多金属结壳,duo'jin'shu'jie'ke
多瓶采水器,duo'ping'cai'shui'qi
多普勒海流计,duo'pu'le'hai'liu'ji
多态现象,duo'tai'xian'xiang
多样性,duo'yang'xing
多种型大洋,duo'zhong'xing'da'yang
厄尔尼诺,e'er'ni'nuo
厄特沃什效应,e'te'wo'shi'xiao'ying
饵料生物,er'liao'sheng'wu
耳状幼体,er'zhuang'you'ti
发光生物,fa'guang'sheng'wu
发光细菌,fa'guang'xi'jun
泛大陆,fan'da'lu
泛大洋,fan'da'yang
反射波,fan'she'bo
反渗透,fan'shen'tou
防波堤,fang'bo'di
方解石补偿深度,fang'jie'shi'bu'chang'shen'du
方解石溶解指数,fang'jie'shi'rong'jie'zhi'shu
放射虫软泥,fang'she'chong'ruan'ni
仿生学,fang'sheng'xue
方位改正,fang'wei'gai'zheng
防污着,fang'wu'zhe
方向波谱,fang'xiang'bo'pu
非饱和潜水,fei'bao'he'qian'shui
肥力,fei'li
非生物性悬浮物,fei'sheng'wu'xing'xuan'fu'wu
非生物转移,fei'sheng'wu'zhuan'yi
非造礁珊瑚,fei'zao'jiao'shan'hu
非洲板块,fei'zhou'ban'kuai
分潮,fen'chao
分潮日,fen'chao'ri
分潮时,fen'chao'shi
分点潮,fen'dian'chao
粪粒,fen'li
粉砂,fen'sha
风暴潮,feng'bao'chao
风暴沉积,feng'bao'chen'ji
丰度,feng'du
风海流,feng'hai'liu
风浪,feng'lang
风浪玫瑰图,feng'lang'mei'gui'tu
风浪谱,feng'lang'pu
风区,feng'qu
风生噪声,feng'sheng'zao'sheng
风时,feng'shi
风因子,feng'yin'zi
副标准海水,fu'biao'zhun'hai'shui
浮冰,fu'bing
浮冰群,fu'bing'qun
俯冲板块,fu'chong'ban'kuai
俯冲带,fu'chong'dai
敷管船,fu'guan'chuan
复合滨线,fu'he'bin'xian
复合潮,fu'he'chao
孵化,fu'hua
孵化率,fu'hua'lv
俘获波,fu'huo'bo
浮浪幼体,fu'lang'you'ti
浮力沉垫,fu'li'chen'dian
副轮,fu'lun
副热带模态水,fu're'dai'mo'tai'shui
辐射潮,fu'she'chao
腐生浮游生物,fu'sheng'fu'you'sheng'wu
附生植物,fu'sheng'zhi'wu
浮式防波堤,fu'shi'fang'bo'di
浮式结构,fu'shi'jie'gou
浮式码头,fu'shi'ma'tou
浮式软管,fu'shi'ruan'guan
复食性,fu'shi'xing
浮性卵,fu'xing'luan
浮性生活期,fu'xing'sheng'huo'qi
富营养化,fu'ying'yang'hua
富营养水,fu'ying'yang'shui
浮游动物,fu'you'dong'wu
浮游生物,fu'you'sheng'wu
浮游生物泵,fu'you'sheng'wu'beng
浮游生物当量,fu'you'sheng'wu'dang'liang
浮游生物记录器,fu'you'sheng'wu'ji'lu'qi
浮游生物网,fu'you'sheng'wu'wang
浮游生物学,fu'you'sheng'wu'xue
浮游生物指示器,fu'you'sheng'wu'zhi'shi'qi
浮游细菌,fu'you'xi'jun
浮游植物,fu'you'zhi'wu
腐殖化,fu'zhi'hua
盖奥特,gai'ao'te
钙质软泥,gai'zhi'ruan'ni
干扰加速度,gan'rao'jia'su'du
干式潜水,gan'shi'qian'shui
港池,gang'chi
港口腹地,gang'kou'fu'di
港口工程,gang'kou'gong'cheng
港口陆域,gang'kou'lu'yu
港口设施,gang'kou'she'shi
港口淤积,gang'kou'yu'ji
冈瓦纳古陆,gang'wa'na'gu'lu
港湾海岸,gang'wan'hai'an
港址,gang'zhi
港作船,gang'zuo'chuan
高潮,gao'chao
高狭盐种,gao'xia'yan'zhong
隔水套管,ge'shui'tao'guan
个体生态学,ge'ti'sheng'tai'xue
共栖,gong'qi
共生,gong'sheng
沟弧盆系,gou'hu'pen'xi
古地磁地层学,gu'di'ci'di'ceng'xue
古地中海,gu'di'zhong'hai
固定冰,gu'ding'bing
固定式结构,gu'ding'shi'jie'gou
古海流,gu'hai'liu
古海洋学,gu'hai'yang'xue
孤立波,gu'li'bo
古深度,gu'shen'du
古生产力,gu'sheng'chan'li
古温度,gu'wen'du
古盐度,gu'yan'du
固着生物,gu'zhuo'sheng'wu
寡盐种,gua'yan'zhong
观测平台,guan'ce'ping'tai
管汇系统,guan'hui'xi'tong
关键种,guan'jian'zhong
管结点,guan'jie'dian
管栖动物,guan'qi'dong'wu
管柱,guan'zhu
管状构件,guan'zhuang'gou'jian
光饱和,guang'bao'he
广布,guang'bu
光合活性,guang'he'huo'xing
光化学转化,guang'hua'xue'zhuan'hua
光能自养生物,guang'neng'zi'yang'sheng'wu
广深性生物,guang'shen'xing'sheng'wu
光适性,guang'shi'xing
广食性动物,guang'shi'xing'dong'wu
广温种,guang'wen'zhong
光驯化,guang'xun'hua
广压性生物,guang'ya'xing'sheng'wu
广盐种,guang'yan'zhong
硅藻软泥,gui'zao'ruan'ni
规则波,gui'ze'bo
硅质软泥,gui'zhi'ruan'ni
哈迪浮游生物记录器,ha'di'fu'you'sheng'wu'ji'lu'qi
哈浮游生物记录器,ha'fu'you'sheng'wu'ji'lu'qi
海岸,hai'an
海岸带,hai'an'dai
海岸工程,hai'an'gong'cheng
海岸阶地,hai'an'jie'di
海岸沙丘,hai'an'sha'qiu
海岸线,hai'an'xian
海岸效应,hai'an'xiao'ying
海冰,hai'bing
海冰密集度,hai'bing'mi'ji'du
海冰盐度,hai'bing'yan'du
海槽,hai'cao
海产养殖,hai'chan'yang'zhi
海产栽培,hai'chan'zai'pei
海胆幼体,hai'dan'you'ti
海堤,hai'di
海底,hai'di
海底采矿,hai'di'cai'kuang
海底地层剖面仪,hai'di'de'ceng'pou'mian'yi
海底地震仪,hai'di'di'zhen'yi
海底电缆,hai'di'dian'lan
海底高原,hai'di'gao'yuan
海底构造学,hai'di'gou'zao'xue
海底谷,hai'di'gu
海底管道,hai'di'guan'dao
海底混响,hai'di'hun'xiang
海底扩张,hai'di'kuo'zhang
海底区,hai'di'qu
海底热泉,hai'di're'quan
海底热液,hai'di're'ye
海底散射,hai'di'san'she
海底声反射,hai'di'sheng'fan'she
海底隧道,hai'di'sui'dao
海底完井,hai'di'wan'jing
海底峡谷,hai'di'xia'gu
海沟,hai'gou
海解作用,hai'jie'zuo'yong
海槛,hai'kan
海浪,hai'lang
海浪谱,hai'lang'pu
海流,hai'liu
海流计,hai'liu'ji
海流能,hai'liu'neng
海龙卷,hai'long'juan
海陆风,hai'lu'feng
海面带斑,hai'mian'dai'ban
海面混响,hai'mian'hun'xiang
海面散射,hai'mian'san'she
海面水温,hai'mian'shui'wen
海难救助,hai'nan'jiu'zhu
海平面,hai'ping'mian
海平面变化,hai'ping'mian'bian'hua
海气热交换,hai'qi're'jiao'huan
海侵,hai'qin
海色扫描仪,hai'se'sao'miao'yi
海色指数,hai'se'zhi'shu
海山,hai'shan
海上安装沉放,hai'shang'an'zhuang'chen'fang
海上输油气管线,hai'shang'shu'you'qi'guan'xian
海上拖运,hai'shang'tuo'yun
海上油气开发工程,hai'shang'you'qi'kai'fa'gong'cheng
海上油气勘探,hai'shang'you'qi'kan'tan
海上贮油装置,hai'shang'zhu'you'zhuang'zhi
海上装卸油系统,hai'shang'zhuang'xie'you'xi'tong
海蚀洞,hai'shi'dong
海蚀龛,hai'shi'kan
海蚀台地,hai'shi'tai'di
海蚀崖,hai'shi'ya
海蚀柱,hai'shi'zhu
海蚀作用,hai'shi'zuo'yong
海水,hai'shui
海水保守成分,hai'shui'bao'shou'cheng'fen
海水成分恒定性,hai'shui'cheng'fen'heng'ding'xing
海水磁导率,hai'shui'ci'dao'lv
海水淡化,hai'shui'dan'hua
海水电导率,hai'shui'dian'dao'lv
海水二氧化碳系统,hai'shui'er'yang'hua'tan'xi'tong
海水非保守成分,hai'shui'fei'bao'shou'cheng'fen
海水分析化学,hai'shui'fen'xi'hua'xue
海水腐蚀,hai'shui'fu'shi
海水腐殖质,hai'shui'fu'zhi'zhi
海水光散射仪,hai'shui'guang'san'she'yi
海水化学,hai'shui'hua'xue
海水颗粒物,hai'shui'ke'li'wu
海水离子缔合模型,hai'shui'li'zi'di'he'mo'xing
海水离子迁移率,hai'shui'li'zi'qian'yi'lv
海水密度,hai'shui'mi'du
海水水质标准,hai'shui'shui'zhi'biao'zhun
海水碳酸盐系统,hai'shui'tan'suan'yan'xi'tong
海水透明度,hai'shui'tou'ming'du
海水透明度盘,hai'shui'tou'ming'du'pan
海水透射率仪,hai'shui'tou'she'lv'yi
海水微量元素,hai'shui'wei'liang'yuan'su
海水污染物背景值,hai'shui'wu'ran'wu'bei'jing'zhi
海水雪花,hai'shui'xue'hua
海水营养盐,hai'shui'ying'yang'yan
海水主要成分,hai'shui'zhu'yao'cheng'fen
海水状态方程,hai'shui'zhuang'tai'fang'cheng
海水自净作用,hai'shui'zi'jing'zuo'yong
海损事故,hai'sun'shi'gu
海滩,hai'tan
海滩剖面,hai'tan'pou'mian
海滩旋回,hai'tan'xuan'hui
海滩岩,hai'tan'yan
海塘,hai'tang
海图基准面,hai'tu'ji'zhun'mian
海退,hai'tui
海湾,hai'wan
海雾,hai'wu
海峡,hai'xia
海啸,hai'xiao
海崖,hai'ya
海盐,hai'yan
海洋沉积学,hai'yang'chen'ji'xue
海洋磁力梯度仪,hai'yang'ci'li'ti'du'yi
海洋磁力仪,hai'yang'ci'li'yi
海洋地层学,hai'yang'di'ceng'xue
海洋地磁调查,hai'yang'di'ci'diao'cha
海洋地磁异常,hai'yang'di'ci'yi'chang
海洋地貌学,hai'yang'di'mao'xue
海洋地球化学,hai'yang'di'qiu'hua'xue
海洋地球物理调查,hai'yang'di'qiu'wu'li'diao'cha
海洋地球物理学,hai'yang'di'qiu'wu'li'xue
海洋地热流调查,hai'yang'di're'liu'diao'cha
海洋地震调查,hai'yang'di'zhen'diao'cha
海洋地震漂浮电缆,hai'yang'di'zhen'piao'fu'dian'lan
海洋地震剖面仪,hai'yang'di'zhen'pou'mian'yi
海洋地震仪,hai'yang'di'zhen'yi
海洋地质学,hai'yang'di'zhi'xue
海洋玷污,hai'yang'dian'wu
海洋调查,hai'yang'diao'cha
海洋法,hai'yang'fa
海洋反射地震调查,hai'yang'fan'she'di'zhen'diao'cha
海洋反照率,hai'yang'fan'zhao'lv
海洋锋,hai'yang'feng
海洋辐射传递,hai'yang'fu'she'chuan'di
海洋腐蚀,hai'yang'fu'shi
海洋腐殖质,hai'yang'fu'zhi'zhi
海洋高能环境,hai'yang'gao'neng'huan'jing
海洋工程,hai'yang'gong'cheng
海洋工程地质,hai'yang'gong'cheng'di'zhi
海洋工程水文,hai'yang'gong'cheng'shui'wen
海洋观测技术,hai'yang'guan'ce'ji'shu
海洋管理,hai'yang'guan'li
海洋光化学,hai'yang'guang'hua'xue
海洋光学,hai'yang'guang'xue
海洋光学遥感,hai'yang'guang'xue'yao'gan
海洋化学,hai'yang'hua'xue
海洋化学资源,hai'yang'hua'xue'zi'yuan
海洋环境,hai'yang'huan'jing
海洋环境保护,hai'yang'huan'jing'bao'hu
海洋环境化学,hai'yang'huan'jing'hua'xue
海洋环境监测,hai'yang'huan'jing'jian'ce
海洋环境科学,hai'yang'huan'jing'ke'xue
海洋环境评价,hai'yang'huan'jing'ping'jia
海洋环境容量,hai'yang'huan'jing'rong'liang
海洋环境预报,hai'yang'huan'jing'yu'bao
海洋环境噪声,hai'yang'huan'jing'zao'sheng
海洋环境质量,hai'yang'huan'jing'zhi'liang
海洋技术,hai'yang'ji'shu
海洋开发,hai'yang'kai'fa
海洋科学,hai'yang'ke'xue
海洋能发电,hai'yang'neng'fa'dian
海洋能源,hai'yang'neng'yuan
海洋能转换,hai'yang'neng'zhuan'huan
海洋农牧化,hai'yang'nong'mu'hua
海洋气候,hai'yang'qi'hou
海洋气候学,hai'yang'qi'hou'xue
海洋气溶胶,hai'yang'qi'rong'jiao
海洋气团,hai'yang'qi'tuan
海洋气象学,hai'yang'qi'xiang'xue
海洋生化资源,hai'yang'sheng'hua'zi'yuan
海洋声散射体,hai'yang'sheng'san'she'ti
海洋生态系,hai'yang'sheng'tai'xi
海洋生态学,hai'yang'sheng'tai'xue
海洋生物地球化学,hai'yang'sheng'wu'di'qiu'hua'xue
海洋生物化学,hai'yang'sheng'wu'hua'xue
海洋生物声学,hai'yang'sheng'wu'sheng'xue
海洋生物学,hai'yang'sheng'wu'xue
海洋生物噪声,hai'yang'sheng'wu'zao'sheng
海洋声学,hai'yang'sheng'xue
海洋生药学,hai'yang'sheng'yao'xue
海洋水文学,hai'yang'shui'wen'xue
海洋碎屑,hai'yang'sui'xie
海洋天然产物,hai'yang'tian'ran'chan'wu
海洋天然产物化学,hai'yang'tian'ran'chan'wu'hua'xue
海洋天然烃,hai'yang'tian'ran'ting
海洋同位素化学,hai'yang'tong'wei'su'hua'xue
海洋湍流,hai'yang'tuan'liu
海洋微表层,hai'yang'wei'biao'ceng
海洋微生物,hai'yang'wei'sheng'wu
海洋温差能,hai'yang'wen'cha'neng
海洋物理化学,hai'yang'wu'li'hua'xue
海洋物理学,hai'yang'wu'li'xue
海洋污染,hai'yang'wu'ran
海洋污染物,hai'yang'wu'ran'wu
海洋学,hai'yang'xue
海洋压力水听器,hai'yang'ya'li'shui'ting'qi
海洋盐差能,hai'yang'yan'cha'neng
海洋有机地球化学,hai'yang'you'ji'di'qiu'hua'xue
海洋有机化学,hai'yang'you'ji'hua'xue
海洋元素地球化学,hai'yang'yuan'su'di'qiu'hua'xue
海洋噪声,hai'yang'zao'sheng
海洋折射地震调查,hai'yang'zhe'she'di'zhen'diao'cha
海洋政策,hai'yang'zheng'ce
海洋重力调查,hai'yang'zhong'li'diao'cha
海洋重力仪,hai'yang'zhong'li'yi
海洋重力异常,hai'yang'zhong'li'yi'chang
海洋资源,hai'yang'zi'yuan
海洋资源化学,hai'yang'zi'yuan'hua'xue
寒流,han'liu
航道,hang'dao
航空遥感观测,hang'kong'yao'gan'guan'ce
耗竭,hao'jie
河界面,he'jie'mian
河控三角洲,he'kong'san'jiao'zhou
河口,he'kou
河口化学,he'kou'hua'xue
河口湾,he'kou'wan
河口治理,he'kou'zhi'li
褐粘土,he'nian'tu
河源物质,he'yuan'wu'zhi
黑白瓶法,hei'bai'ping'fa
黑潮,hei'chao
横荡,heng'dang
恒化培养,heng'hua'pei'yang
桁拖网,heng'tuo'wang
横摇,heng'yao
红粘土,hong'nian'tu
红树林海岸,hong'shu'lin'hai'an
红树林沼泽,hong'shu'lin'zhao'ze
后滨,hou'bin
护岸工程,hu'an'gong'cheng
弧后,hu'hou
弧后扩张,hu'hou'kuo'zhang
弧后盆地,hu'hou'pen'di
护面块体,hu'mian'kuai'ti
护坡,hu'po
弧前,hu'qian
弧前盆地,hu'qian'pen'di
滑道,hua'dao
化能营养,hua'neng'ying'yang
化能自养生物,hua'neng'zi'yang'sheng'wu
化学成岩作用,hua'xue'cheng'yan'zuo'yong
化学风化作用,hua'xue'feng'hua'zuo'yong
化学海洋学,hua'xue'hai'yang'xue
化学清除,hua'xue'qing'chu
化学形式,hua'xue'xing'shi
化学形态,hua'xue'xing'tai
化学形态分析,hua'xue'xing'tai'fen'xi
化学形态模型,hua'xue'xing'tai'mo'xing
化学需氧量,hua'xue'xu'yang'liang
怀卵量,huai'luan'liang
环礁,huan'jiao
环境荷载,huan'jing'he'zai
环太平洋火山带,huan'tai'ping'yang'huo'shan'dai
黄海,huang'hai
黄海冷水团,huang'hai'leng'shui'tuan
黄海暖流,huang'hai'nuan'liu
黄海沿岸流,huang'hai'yan'an'liu
黄色物质,huang'se'wu'zhi
回步,hui'bu
挥发性有机碳,hui'fa'xing'you'ji'tan
挥发性有机物,hui'fa'xing'you'ji'wu
回归潮,hui'gui'chao
会聚边界,hui'ju'bian'jie
回声测距,hui'sheng'ce'ju
洄游鱼类,hui'you'yu'lei
混合,hun'he
混合层,hun'he'ceng
混合层声道,hun'he'ceng'sheng'dao
混合潮,hun'he'chao
混合式防波堤,hun'he'shi'fang'bo'di
混合营养生物,hun'he'ying'yang'sheng'wu
火炬臂,huo'ju'bi
活塞取芯器,huo'sai'qu'xin'qi
火山沉积,huo'shan'chen'ji
火山弧,huo'shan'hu
火山链,huo'shan'lian
活体荧光技术,huo'ti'ying'guang'ji'shu
活性硅,huo'xing'gui
活性磷,huo'xing'lin
激波,ji'bo
系泊力,ji'bo'li
系泊设施,ji'bo'she'shi
基床,ji'chuang
极地冰,ji'di'bing
季风海流,ji'feng'hai'liu
机会种,ji'hui'zhong
季节变动,ji'jie'bian'dong
季节变化,ji'jie'bian'hua
季节性温跃层,ji'jie'xing'wen'yue'ceng
集聚分布,ji'ju'fen'bu
集群,ji'qun
