矮新星,ai'xin'xing
红巨星支,hong'ju'xing'zhi
红外超天体,hong'wai'chao'tian'ti
红外源,hong'wai'yuan
厚大气,hou'da'qi
慧状星云,hui'zhuang'xing'yun
激变变星,ji'bian'bian'xing
激变双星,ji'bian'shuang'xing
激发星,ji'fa'xing
几何变星,ji'he'bian'xing
极向恒星,ji'xiang'heng'xing
角宿,jiao'su
角宿一,jiao'su'yi
金牛谱型星,jin'niu'pu'xing'xing
金属线星,jin'shu'xian'xing
近银心点,jin'yin'xin'dian
经典新星,jing'dian'xin'xing
经典造父变星,jing'dian'zao'fu'bian'xing
鲸鱼谱型星,jing'yu'pu'xing'xing
距离新星度,ju'li'xin'xing'du
聚星,ju'xing
巨星,ju'xing
巨支星,ju'zhi'xing
卡普坦星,ka'pu'tan'xing
卡普坦选区,ka'pu'tan'xuan'qu
卡星,ka'xing
开阳,kai'yang
快爆源,kuai'bao'yuan
快新星,kuai'xin'xing
老人,lao'ren
老新星,lao'xin'xing
类新星变星,lei'xin'xing'bian'xing
类星射电源,lei'xing'she'dian'yuan
力学视差,li'xue'shi'cha
亮巨星,liang'ju'xing
亮星云,liang'xing'yun
猎户臂,lie'hu'bi
猎户四边形,lie'hu'si'bian'xing
猎犬造父型双星,lie'quan'zao'fu'xing'shuang'xing
鹿豹射电源型星,lu'bao'she'dian'yuan'xing'xing
马腹,ma'fu
马腹一,ma'fu'yi
脉冲双星,mai'chong'shuang'xing
脉冲星,mai'chong'xing
脉动新星,mai'dong'xin'xing
慢新星,man'xin'xing
昴宿六,mao'su'liu
昴宿射电脉冲星,mao'su'she'dian'mai'chong'xing
昴宿射线爆发源,mao'su'she'xian'bao'fa'yuan
昴宿射线脉冲星,mao'su'she'xian'mai'chong'xing
昴宿射线食变星,mao'su'she'xian'shi'bian'xing
昴宿射线星,mao'su'she'xian'xing
昴宿四,mao'su'si
昴宿增十二,mao'su'zeng'shi'er
密近双星,mi'jin'shuang'xing
弥漫星云,mi'man'xing'yun
目测双星,mu'ce'shuang'xing
南河,nan'he
南河三,nan'he'san
内因变星,nei'yin'bian'xing
牛郎,niu'lang
盘族,pan'zu
膨胀臂,peng'zhang'bi
贫金属星,pin'jin'shu'xing
贫氢星,pin'qing'xing
平均视差,ping'jun'shi'cha
平谱源,ping'pu'yuan
普朗造父星,pu'lang'zao'fu'xing
气尘复合体,qi'chen'fu'he'ti
气壳星,qi'ke'xing
气体星云,qi'ti'xing'yun
牵牛,qian'niu
强氮星,qiang'dan'xing
球状次系,qiu'zhuang'ci'xi
球状体,qiu'zhuang'ti
球状星团,qiu'zhuang'xing'tuan
球状子系,qiu'zhuang'zi'xi
人马臂,ren'ma'bi
弱氮星,ruo'dan'xing
三合星,san'he'xing
射电变源,she'dian'bian'yuan
射电双源,she'dian'shuang'yuan
射电新星,she'dian'xin'xing
射电星,she'dian'xing
射电源,she'dian'yuan
射电展源,she'dian'zhan'yuan
食变星,shi'bian'xing
示距天体,shi'ju'tian'ti
视双星,shi'shuang'xing
食双星,shi'shuang'xing
十字架,shi'zi'jia
十字架二,shi'zi'jia'er
疏散星团,shu'san'xing'tuan
双谱分光双星,shuang'pu'fen'guang'shuang'xing
双子尘型星,shuang'zi'chen'xing'xing
双子谱型双星,shuang'zi'pu'xing'shuang'xing
水委,shui'wei
水委一,shui'wei'yi
四合星,si'he'xing
速度椭环,su'du'tuo'huan
速逃星,su'tao'xing
太阳背点,tai'yang'bei'dian
太阳恒星,tai'yang'heng'xing
太阳向点,tai'yang'xiang'dian
特朗普勒星,te'lang'pu'le'xing
天测双星,tian'ce'shuang'xing
天鼓,tian'gu
天玑,tian'ji
天狼,tian'lang
天琴型型星,tian'qin'xing'xing'xing
天权,tian'quan
天枢,tian'shu
天璇,tian'xuan
统计视差,tong'ji'shi'cha
团星,tuan'xing
椭球变星,tuo'qiu'bian'xing
椭球双星,tuo'qiu'shuang'xing
晚型星,wan'xing'xing
微波激射源,wei'bo'ji'she'yuan
沃尔夫拉叶星,wo'er'fu'la'ye'xing
五车,wu'che
五车二,wu'che'er
物理变星,wu'li'bian'xing
物理双星,wu'li'shuang'xing
武仙叶型双星,wu'xian'ye'xing'shuang'xing
物质臂,wu'zhi'bi
仙王型星,xian'wang'xing'xing
纤维状星云,xian'wei'zhuang'xing'yun
相接双星,xiang'jie'shuang'xing
蟹去脉冲星,xie'qu'mai'chong'xing
新生星,xin'sheng'xing
心宿,xin'su
心宿二,xin'su'er
新星,xin'xing
星风,xing'feng
星际尘埃,xing'ji'chen'ai
星际红化,xing'ji'hong'hua
星际介质,xing'ji'jie'zhi
星际空间,xing'ji'kong'jian
星际闪烁,xing'ji'shan'shuo
星际视差,xing'ji'shi'cha
星际物质,xing'ji'wu'zhi
星际吸收线,xing'ji'xi'shou'xian
星际消化,xing'ji'xiao'hua
星际云,xing'ji'yun
星去变星,xing'qu'bian'xing
星群视差,xing'qun'shi'cha
星团,xing'tuan
星协,xing'xie
行星状星云,xing'xing'zhuang'xing'yun
星云,xing'yun
星周物质,xing'zhou'wu'zhi
星族,xing'zu
星族造父变星,xing'zu'zao'fu'bian'xing
旋涡结构,xuan'wo'jie'gou
轩辕,xuan'yuan
轩辕十四,xuan'yuan'shi'si
亚矮星,ya'ai'xing
亚巨星,ya'ju'xing
延伸包层,yan'shen'bao'ceng
耀星,yao'xing
移动星团,yi'dong'xing'tuan
隐带,yin'dai
银道面,yin'dao'mian
银核,yin'he
银河超新星,yin'he'chao'xin'xing
银河核球,yin'he'he'qiu
银河射电支,yin'he'she'dian'zhi
银河系,yin'he'xi
银河系结构,yin'he'xi'jie'gou
银河系自转,yin'he'xi'zi'zhuan
银河新星,yin'he'xin'xing
银河星云,yin'he'xing'yun
银河噪声,yin'he'zao'sheng
银聚度,yin'ju'du
银冕,yin'mian
银盘,yin'pan
银心,yin'xin
英仙臂,ying'xian'bi
玉衡,yu'heng
远距双星,yuan'ju'shuang'xing
远银心点,yuan'yin'xin'dian
再发新星,zai'fa'xin'xing
暂现型射线源,zan'xian'xing'she'xian'yuan
造父变星,zao'fu'bian'xing
造父视差,zao'fu'shi'cha
早型星,zao'xing'xing
致密天体,zhi'mi'tian'ti
致密星,zhi'mi'xing
织女,zhi'nv
织女一,zhi'nv'yi
中介次系,zhong'jie'ci'xi
中介子系,zhong'jie'zi'xi
中性氢区,zhong'xing'qing'qu
中子星,zhong'zi'xing
周期变星,zhou'qi'bian'xing
主星,zhu'xing
主序后星,zhu'xu'hou'xing
主序前星,zhu'xu'qian'xing
主序星,zhu'xu'xing
子分星,zi'fen'xing
紫外超天体,zi'wai'chao'tian'ti
子效应,zi'xiao'ying
子星,zi'xing
子星协,zi'xing'xie
子型星,zi'xing'xing
自转变星,zi'zhuan'bian'xing
自转射线变源,zi'zhuan'she'xian'bian'yuan
自转射线双星,zi'zhuan'she'xian'shuang'xing
自转射线新星,zi'zhuan'she'xian'xin'xing
自转射线展源,zi'zhuan'she'xian'zhan'yuan
