阿拉伯狒狒,a'la'bo'fei'fei
大耳羚,da'er'ling
大狐猴,da'hu'hou
大狐猴科动物,da'hu'hou'ke'dong'wu
大林猪,da'lin'zhu
大羚羊,da'ling'yang
大鼠狐猴,da'shu'hu'hou
大吻巨头鲸,da'wen'ju'tou'jing
大鼷鹿,da'xi'lu
大猩猩,da'xing'xing
大须鲸,da'xu'jing
大羊驼,da'yang'tuo
带领夜猴,dai'ling'ye'hou
戴帽长臂猿,dai'mao'chang'bi'yuan
戴帽叶猴,dai'mao'ye'hou
戴氏盘羊,dai'shi'pan'yang
单峰驼,dan'feng'tuo
德氏大羚羊,de'shi'da'ling'yang
德氏广绊犰狳,de'shi'guang'ban'qiu'yu
地中海僧海豹,di'zhong'hai'seng'hai'bao
滇金丝猴,dian'jin'si'hou
东方宽吻海豚,dong'fang'kuan'wen'hai'tun
东方绿疣猴,dong'fang'lv'you'hou
东方盘羊,dong'fang'pan'yang
东黑白疣猴,dong'hei'bai'you'hou
东山羊,dong'shan'yang
短角羚,duan'jiao'ling
短尾猴,duan'wei'hou
短尾鲮鲤,duan'wei'ling'li
短吻海豚,duan'wen'hai'tun
多毛犰狳,duo'mao'qiu'yu
多疣野猪,duo'you'ye'zhu
鹅喉羚,e'hou'ling
鄂氏麂羚,e'shi'ji'ling
菲律宾黑鹿,fei'lv'bin'hei'lu
菲氏麂,fei'shi'ji
菲氏叶猴,fei'shi'ye'hou
肥尾鼠狐猴,fei'wei'shu'hu'hou
非洲水牛,fei'zhou'shui'niu
非洲野猪,fei'zhou'ye'zhu
非洲疣猪,fei'zhou'you'zhu
蜂猴,feng'hou
港海豹灰海豹,gang'hai'bao'hui'hai'bao
高鼻羚羊,gao'bi'ling'yang
高加索山羊,gao'jia'suo'shan'yang
葛氏瞪羚,ge'shi'deng'ling
艮氏小羚,gen'shi'xiao'ling
贡山麂,gong'shan'ji
瓜岛海狗,gua'dao'hai'gou
瓜头海豚,gua'tou'hai'tun
冠海豹,guan'hai'bao
广绊犰狳,guang'ban'qiu'yu
鬼狒,gui'fei
鬼夜猴,gui'ye'hou
海豹科动物,hai'bao'ke'dong'wu
海狗,hai'gou
海牛,hai'niu
海牛科动物,hai'niu'ke'dong'wu
海狮科动物,hai'shi'ke'dong'wu
海豚,hai'tun
海豚科动物,hai'tun'ke'dong'wu
褐吼猴,he'hou'hou
褐麂羚,he'ji'ling
河绿疣猴,he'lv'you'hou
赫氏夜猴,he'shi'ye'hou
何氏叶猴,he'shi'ye'hou
褐头蛛猴,he'tou'zhu'hou
河豚科动物,he'tun'ke'dong'wu
黑白疣猴,hei'bai'you'hou
黑斑羚,hei'ban'ling
黑斑牛羚,hei'ban'niu'ling
黑长臂猿,hei'chang'bi'yuan
黑额麂羚,hei'e'ji'ling
黑耳岩羚,hei'er'yan'ling
黑吼猴,hei'hou'hou
黑喙头海豚,hei'hui'tou'hai'tun
黑麂,hei'ji
黑麂羚,hei'ji'ling
黑脊叶猴,hei'ji'ye'hou
黑脸狮面狨,hei'lian'shi'mian'rong
黑脸秃猴,hei'lian'tu'hou
黑伶猴,hei'ling'hou
黑马羚,hei'ma'ling
黑麝,hei'she
黑松鼠猴,hei'song'shu'hou
黑尾鹿,hei'wei'lu
黑乌叶猴,hei'wu'ye'hou
黑猩猩,hei'xing'xing
黑须僧面猴,hei'xu'seng'mian'hou
黑叶猴,hei'ye'hou
黑夜猴,hei'ye'hou
黑疣猴,hei'you'hou
黑羽狨,hei'yu'rong
黑掌蛛猴,hei'zhang'zhu'hou
恒河豚,heng'he'tun
亨氏牛羚,heng'shi'niu'ling
红瞪羚,hong'deng'ling
红吼猴,hong'hou'hou
红麂羚,hong'ji'ling
红脸蛛猴,hong'lian'zhu'hou
红伶猴,hong'ling'hou
红绿疣猴,hong'lv'you'hou
猴科动物,hou'ke'dong'wu
胡岛海狗,hu'dao'hai'gou
狐猴科动物,hu'hou'ke'dong'wu
护甲广绊犰狳,hu'jia'guang'ban'qiu'yu
虎鲸,hu'jing
互氏水羚,hu'shi'shui'ling
花白海豚,hua'bai'hai'tun
花斑喙头海豚,hua'ban'hui'tou'hai'tun
花斑原海豚,hua'ban'yuan'hai'tun
花鹿,hua'lu
环斑海豹,huan'ban'hai'bao
环海豹,huan'hai'bao
环尾狐猴,huan'wei'hu'hou
黄背麂羚,huang'bei'ji'ling
黄臂吼猴,huang'bi'hou'hou
黄绒毛猴,huang'rong'mao'hou
黄头狨,huang'tou'rong
灰白海豚,hui'bai'hai'tun
灰长臂猿,hui'chang'bi'yuan
灰海豚,hui'hai'tun
灰伶猴,hui'ling'hou
灰色驯狐猴,hui'se'xun'hu'hou
喙头海豚,hui'tou'hai'tun
霍氏海豚,huo'shi'hai'tun
霍氏伶猴,huo'shi'ling'hou
棘鳍鼠海豚,ji'qi'shu'hai'tun
加岛海狗,jia'dao'hai'gou
加岛花鹿,jia'dao'hua'lu
假面伶猴,jia'mian'ling'hou
加拿大盘羊,jia'na'da'pan'yang
家山羊,jia'shan'yang
加湾鼠海豚,jia'wan'shu'hai'tun
加州海狮,jia'zhou'hai'shi
间蜂猴,jian'feng'hou
柬埔寨野牛,jian'pu'zhai'ye'niu
间纹斑纹海豚,jian'wen'ban'wen'hai'tun
江豚,jiang'tun
杰氏狨,jie'shi'rong
金臂狮面狨,jin'bi'shi'mian'rong
金冠原狐猴,jin'guan'yuan'hu'hou
金色乌叶猴,jin'se'wu'ye'hou
金头狮面狨,jin'tou'shi'mian'rong
金熊猴,jin'xiong'hou
金竹驯狐猴,jin'zhu'xun'hu'hou
静伶猴,jing'ling'hou
九绊犰狳,jiu'ban'qiu'yu
巨角塔尔羊,ju'jiao'ta'er'yang
巨鲮鲤,ju'ling'li
巨犰狳,ju'qiu'yu
居氏瞪羚,ju'shi'deng'ling
巨头鲸,ju'tou'jing
卷尾猴科动物,juan'wei'hou'ke'dong'wu
喀氏小羚,ka'shi'xiao'ling
凯氏犰狳,kai'shi'qiu'yu
科岛吼猴,ke'dao'hou'hou
克氏长臂猿,ke'shi'chang'bi'yuan
科氏倭狐猴,ke'shi'wo'hu'hou
肯尼亚林羚,ken'ni'ya'lin'ling
肯尼亚水羚,ken'ni'ya'shui'ling
库氏狨,ku'shi'rong
宽吻海豚,kuan'wen'hai'tun
阔鼻驯狐猴,kuo'bi'xun'hu'hou
拉河三绊犰狳,la'he'san'ban'qiu'yu
懒猴,lan'hou
懒吼猴,lan'hou'hou
懒猴科动物,lan'hou'ke'dong'wu
蓝麂羚,lan'ji'ling
蓝鲸,lan'jing
蓝马羚,lan'ma'ling
蓝牛,lan'niu
里海海豹,li'hai'hai'bao
栗红叶猴,li'hong'ye'hou
利氏麋羚,li'shi'mi'ling
镰鳍斑纹海豚,lian'qi'ban'wen'hai'tun
鬣羚,lie'ling
鬣鹿,lie'lu
鬣羊安氏林羚,lie'yang'an'shi'lin'ling
林羚,lin'ling
林麝,lin'she
鲮鲤,ling'li
鲮鲤科动物,ling'li'ke'dong'wu
羚牛,ling'niu
六绊犰狳,liu'ban'qiu'yu
露脊鲸科动物,lou'ji'jing'ke'dong'wu
鹿瞪羚,lu'deng'ling
鹿科动物,lu'ke'dong'wu
露水僧面猴,lu'shui'seng'mian'hou
鹿豚,lu'tun
芦苇伶猴,lu'wei'ling'hou
骡耳犰狳,luo'er'qiu'yu
骆马,luo'ma
罗氏海豹,luo'shi'hai'bao
骆驼科动物,luo'tuo'ke'dong'wu
驴羚,lv'ling
马河松鼠猴,ma'he'song'shu'hou
马来亚长臂猿,ma'lai'ya'chang'bi'yuan
马羚,ma'ling
马鹿,ma'lu
马麝,ma'she
毛耳鼠狐猴,mao'er'shu'hu'hou
毛冠鹿,mao'guan'lu
毛狐猴,mao'hu'hou
牦牛,mao'niu
梅花鹿,mei'hua'lu
美洲犎牛,mei'zhou'feng'niu
美洲驼,mei'zhou'tuo
门岛叶猴,men'dao'ye'hou
蒙古原羚,meng'gu'yuan'ling
猕猴豚尾猴,mi'hou'tun'wei'hou
麋羚,mi'ling
密毛犰狳,mi'mao'qiu'yu
密氏倭狐猴,mi'shi'wo'hu'hou
棉兰老水牛,mian'lan'lao'shui'niu
冕原狐猴,mian'yuan'hu'hou
明多罗水牛,ming'duo'luo'shui'niu
抹香鲸,mo'xiang'jing
抹香鲸科动物,mo'xiang'jing'ke'dong'wu
南方斑纹海豚,nan'fang'ban'wen'hai'tun
南非海狗,nan'fei'hai'gou
南海狮,nan'hai'shi
南黑露脊鲸,nan'hei'lou'ji'jing
南极海狗,nan'ji'hai'gou
南露脊海豚,nan'lu'ji'hai'tun
南美海狗,nan'mei'hai'gou
南美海牛,nan'mei'hai'niu
南美鼠海豚,nan'mei'shu'hai'tun
南苇羚,nan'wei'ling
南象海豹,nan'xiang'hai'bao
南洋鲮鲤,nan'yang'ling'li
拟大须鲸,ni'da'xu'jing
拟伶猴,ni'ling'hou
拟小抹香鲸,ni'xiao'mo'xiang'jing
捻角山羊,nian'jiao'shan'yang
扭角林羚,niu'jiao'lin'ling
牛科动物,niu'ke'dong'wu
欧洲犎牛,ou'zhou'feng'niu
欧洲盘羊,ou'zhou'pan'yang
盘羊,pan'yang
披毛犰狳,pi'mao'qiu'yu
普度鹿,pu'du'lu
普拉塔河豚,pu'la'ta'he'tun
普氏绿疣猴,pu'shi'lv'you'hou
普氏原羚,pu'shi'yuan'ling
七绊犰狳,qi'ban'qiu'yu
黔金丝猴,qian'jin'si'hou
青臀麂羚,qing'tun'ji'ling
犰狳科动物,qiu'yu'ke'dong'wu
髯海豹,ran'hai'bao
日本鬣羚,ri'ben'lie'ling
狨科动物,rong'ke'dong'wu
绒毛猴,rong'mao'hou
绒毛蛛猴,rong'mao'zhu'hou
桑岛麂羚,sang'dao'ji'ling
桑岛新小羚,sang'dao'xin'xiao'ling
僧面猴,seng'mian'hou
沙羚,sha'ling
沙氏岩羚,sha'shi'yan'ling
山瞪羚,shan'deng'ling
山地羚,shan'di'ling
山羚,shan'ling
山苇羚,shan'wei'ling
山魈,shan'xiao
麝牛,she'niu
狮面狨,shi'mian'rong
石山羊,shi'shan'yang
狮尾狒,shi'wei'fei
食蟹海豹,shi'xie'hai'bao
鼠海豚,shu'hai'tun
鼠海豚科动物,shu'hai'tun'ke'dong'wu
鼠狐猴,shu'hu'hou
鼠狐猴科动物,shu'hu'hou'ke'dong'wu
树熊猴,shu'xiong'hou
双峰驼,shuang'feng'tuo
水羚,shui'ling
水鹿,shui'lu
水牛,shui'niu
水鼷鹿,shui'xi'lu
四角羚,si'jiao'ling
斯氏瞪羚,si'shi'deng'ling
松鼠猴,song'shu'hou
薮羚,sou'ling
宿氏鹿,su'shi'lu
索氏瞪羚,suo'shi'deng'ling
太平洋宽吻海豚,tai'ping'yang'kuan'wen'hai'tun
台湾猴,tai'wan'hou
汤氏瞪羚,tang'shi'deng'ling
黇鹿,tian'lu
跳羚,tiao'ling
条纹原海豚,tiao'wen'yuan'hai'tun
土耳其盘羊,tu'er'qi'pan'yang
豚鹿,tun'lu
驼鹿,tuo'lu
托马斯叶猴,tuo'ma'si'ye'hou
威德尔海豹,wei'de'er'hai'bao
伪虎鲸,wei'hu'jing
苇羚,wei'ling
魏氏麂羚,wei'shi'ji'ling
维氏盘羊,wei'shi'pan'yang
纹背麂羚,wen'bei'ji'ling
倭短角鹿,wo'duan'jiao'lu
倭蜂猴,wo'feng'hou
倭黑猩猩,wo'hei'xing'xing
倭犰狳,wo'qiu'yu
倭狨,wo'rong
沃氏原狐猴,wo'shi'yuan'hu'hou
倭新小羚,wo'xin'xiao'ling
倭岩羊,wo'yan'yang
倭蛛猴,wo'zhu'hou
无喙鼠海豚,wu'hui'shu'hai'tun
五趾广绊犰狳,wu'zhi'guang'ban'qiu'yu
西班牙山羊,xi'ban'ya'shan'yang
西伯利亚狍,xi'bo'li'ya'pao
西非白海豚,xi'fei'bai'hai'tun
西非海牛,xi'fei'hai'niu
细角瞪羚,xi'jiao'deng'ling
西里羊水牛,xi'li'yang'shui'niu
鼷鹿,xi'lu
鼷鹿科动物,xi'lu'ke'dong'wu
喜马拉雅塔尔羊,xi'ma'la'ya'ta'er'yang
西敏山羊,xi'min'shan'yang
西印度僧海豹,xi'yin'du'seng'hai'bao
西爪哇叶猴,xi'zhua'wa'ye'hou
夏威夷僧海豹,xia'wei'yi'seng'hai'bao
小短角鹿,xiao'duan'jiao'lu
小麂,xiao'ji
小金熊猴,xiao'jin'xiong'hou
小林羚,xiao'lin'ling
小羚小岩羚,xiao'ling'xiao'yan'ling
小鹿瞪羚,xiao'lu'deng'ling
小抹香鲸,xiao'mo'xiang'jing
小犰狳,xiao'qiu'yu
小须鲸,xiao'xu'jing
小夜猴,xiao'ye'hou
小野猪,xiao'ye'zhu
新澳海狗,xin'ao'hai'gou
新西兰海狮,xin'xi'lan'hai'shi
猩猩,xing'xing
猩猩科动物,xing'xing'ke'dong'wu
熊猴,xiong'hou
须鲸科动物,xu'jing'ke'dong'wu
须野猪,xu'ye'zhu
旋角羚,xuan'jiao'ling
雪山盘羊,xue'shan'pan'yang
驯鹿,xun'lu
亚马孙狨,ya'ma'sun'rong
亚马孙松鼠猴,ya'ma'sun'song'shu'hou
亚马孙蛛猴,ya'ma'sun'zhu'hou
亚马逊河白海豚,ya'ma'xun'he'bai'hai'tun
亚马逊河豚,ya'ma'xun'he'tun
岩羚羊,yan'ling'yang
岩羊,yan'yang
羊驼,yang'tuo
夜猴,ye'hou
野山羊,ye'shan'yang
野猪,ye'zhu
银白长臂猿,yin'bai'chang'bi'yuan
印度河豚,yin'du'he'tun
印度羚,yin'du'ling
印度鲮鲤,yin'du'ling'li
印度野牛,yin'du'ye'niu
印尼白海豚,yin'ni'bai'hai'tun
印尼叶猴,yin'ni'ye'hou
银狨,yin'rong
银色乌叶猴,yin'se'wu'ye'hou
银小羚,yin'xiao'ling
疣猪,you'zhu
郁乌叶猴,yu'wu'ye'hou
原牛,yuan'niu
原麝,yuan'she
圆头倭犰狳,yuan'tou'wo'qiu'yu
枣色麂羚,zao'se'ji'ling
泽鹿,ze'lu
长角羚,zhang'jiao'ling
沼鹿,zhao'lu
沼水羚,zhao'shui'ling
爪哇野牛,zhao'wa'ye'niu
沼泽鹿,zhao'ze'lu
沼泽区犰狳,zhao'ze'qu'qiu'yu
智利马驼鹿,zhi'li'ma'tuo'lu
中华白海豚,zhong'hua'bai'hai'tun
帚吼猴,zhou'hou'hou
侏长尾猴,zhu'chang'wei'hou
侏虎鲸,zhu'hu'jing
猪科动物,zhu'ke'dong'wu
侏羚,zhu'ling
转角牛羚,zhuan'jiao'niu'ling
棕短角鹿,zong'duan'jiao'lu
棕伶猴,zong'ling'hou
座头鲸,zuo'tou'jing
