哎呀我,ai'ya'wo
东北电力,dong'bei'dian'li
东北电力大学,dong'bei'dian'li'da'xue
东出口,dong'chu'kou
东方雅苑,dong'fang'ya'yuan
东局子,dong'ju'zi
东市场,dong'shi'chang
豆腐串,dou'fu'chuan
都啥样了,dou'sha'yang'le
独立路,du'li'lu
堵挺,du'ting
对付吧,dui'fu'ba
对付用,dui'fu'yong
敦化,dun'hua
嗯啊被,en'a'bei
嗯哪被,en'na'bei
恩呢被,en'ne'bei
而吧,er'ba
二道,er'dao
二道甸子,er'dao'dian'zi
二道沟,er'dao'gou
二道江,er'dao'jiang
二商店,er'shang'dian
二实验,er'shi'yan
儿童公园,er'tong'gong'yuan
二学历,er'xue'li
发现王国,fa'xian'wang'guo
范家屯,fan'jia'tun
烦人精,fan'ren'jing
飞来吧,fei'lai'ba
冯家屯,feng'jia'tun
丰满区,feng'man'qu
福源馆,fu'yuan'guan
嘎嘎的,ga'ga'de
嘎哈呀,ga'ha'ya
干豆腐,gan'dou'fu
干活了的,gan'huo'le'de
干嘛了的,gan'ma'le'de
干啥了的,gan'sha'le'de
刚才给你发的是,gang'cai'gei'ni'fa'de'shi
肛肠医院,gang'chang'yi'yuan
缸窑,gang'yao
阁里香,ge'li'xiang
给母亲的信,gei'mu'qin'de'xin
给你申请一下,gei'ni'shen'qing'yi'xia
给你最低,gei'ni'zui'di
给我的最低价格,gei'wo'de'zui'di'jia'ge
给我弄呢,gei'wo'nong'ne
给我最低价格,gei'wo'zui'di'jia'ge
跟你唠嗑,gen'ni'lao'ke
跟谁俩呢,gen'shui'lia'ne
公交集团,gong'jiao'ji'tuan
工龄假,gong'ling'jia
供热费,gong're'fei
公益岗,gong'yi'gang
狗肉汤,gou'rou'tang
古本良田,gu'ben'liang'tian
孤店,gu'dian
孤店子,gu'dian'zi
孤家子,gu'jia'zi
光腚子,guang'ding'zi
滚犊纸,gun'du'zhi
郭范村,guo'fan'cun
果窖,guo'jiao
哈达家居,ha'da'jia'ju
哈达湾,ha'da'wan
哈龙桥,ha'long'qiao
海螺丝,hai'luo'si
还在吉林,hai'zai'ji'lin
汉阳街,han'yang'jie
汗蒸去,han'zheng'qu
好好唠嗑,hao'hao'lao'ke
河灯,he'deng
河灯节,he'deng'jie
荷花颂,he'hua'song
和兰花,he'lan'hua
河南街,he'nan'jie
河湾子,he'wan'zi
和谐里,he'xie'li
恒东花园,heng'dong'hua'yuan
鸿博,hong'bo
鸿博锦绣,hong'bo'jin'xiu
鸿博景园,hong'bo'jing'yuan
鸿博御园,hong'bo'yu'yuan
红大,hong'da
红大领域,hong'da'ling'yu
红焖肉,hong'men'rou
红旗岭,hong'qi'ling
红十,hong'shi
红叶谷,hong'ye'gu
虹园,hong'yuan
糊弄鬼,hu'nong'gui
桦甸,hua'dian
桦甸了,hua'dian'le
桦甸市,hua'dian'shi
化公司,hua'gong'si
化工学院,hua'gong'xue'yuan
化工医院,hua'gong'yi'yuan
花鸟鱼,hua'niao'yu
花鸟鱼市,hua'niao'yu'shi
桦皮厂,hua'pi'chang
花生露,hua'sheng'lu
化一,hua'yi
皇家花园,huang'jia'hua'yuan
黄泥河,huang'ni'he
黄松甸,huang'song'dian
回长春,hui'chang'chun
回长春了,hui'chang'chun'le
回桦甸,hui'hua'dian
回吉林,hui'ji'lin
回吉林了,hui'ji'lin'le
回蛟河,hui'jiao'he
回磐石,hui'pan'shi
回舒兰,hui'shu'lan
珲春街,hun'chun'jie
火炬大厦,huo'ju'da'sha
鸡骨架,ji'gu'jia
吉化,ji'hua
吉化九中,ji'hua'jiu'zhong
吉化三中,ji'hua'san'zhong
计划行程,ji'hua'xing'cheng
吉化一中,ji'hua'yi'zhong
吉林,ji'lin
吉林啊,ji'lin'a
吉林吧,ji'lin'ba
吉林百姓网,ji'lin'bai'xing'wang
吉林被,ji'lin'bei
吉林财经,ji'lin'cai'jing
吉林大街,ji'lin'da'jie
吉林大桥,ji'lin'da'qiao
吉林到,ji'lin'dao
吉林的,ji'lin'de
吉林地区,ji'lin'di'qu
吉林电子,ji'lin'dian'zi
吉林号,ji'lin'hao
吉林化工,ji'lin'hua'gong
吉林化工学院,ji'lin'hua'gong'xue'yuan
吉林火车站,ji'lin'huo'che'zhan
吉林吉林,ji'lin'ji'lin
吉林蛟河,ji'lin'jiao'he
吉林教育,ji'lin'jiao'yu
吉林九中,ji'lin'jiu'zhong
吉林剧场,ji'lin'ju'chang
吉林啦,ji'lin'la
吉林了,ji'lin'le
吉林联通,ji'lin'lian'tong
吉林吗,ji'lin'ma
吉林么,ji'lin'me
吉林那,ji'lin'na
吉林呢,ji'lin'ne
吉林磐石,ji'lin'pan'shi
吉林七中,ji'lin'qi'zhong
吉林人,ji'lin'ren
吉林省,ji'lin'sheng
吉林省的,ji'lin'sheng'de
吉林省吉林市,ji'lin'sheng'ji'lin'shi
吉林市,ji'lin'shi
吉林市的,ji'lin'shi'de
吉林师范,ji'lin'shi'fan
吉林石化,ji'lin'shi'hua
吉林市实验中学,ji'lin'shi'shi'yan'zhong'xue
吉林市天气预报,ji'lin'shi'tian'qi'yu'bao
吉林四中,ji'lin'si'zhong
吉林天,ji'lin'tian
吉林天气,ji'lin'tian'qi
吉林铁道,ji'lin'tie'dao
吉林玩,ji'lin'wan
吉林乌拉,ji'lin'wu'la
吉林五中,ji'lin'wu'zhong
吉林呀,ji'lin'ya
吉林一,ji'lin'yi
吉林移动,ji'lin'yi'dong
吉林医药学院,ji'lin'yi'yao'xue'yuan
吉林一中,ji'lin'yi'zhong
吉林银行,ji'lin'yin'hang
吉林有,ji'lin'you
吉林站,ji'lin'zhan
吉林这边,ji'lin'zhe'bian
机器人瓦力,ji'qi'ren'wa'li
吉视传媒,ji'shi'chuan'mei
吉炭,ji'tan
夹皮沟,jia'pi'gou
嘉业名铸,jia'ye'ming'zhu
煎粉,jian'fen
健身馆,jian'shen'guan
江北的,jiang'bei'de
江北公园,jiang'bei'gong'yuan
江北乡,jiang'bei'xiang
江城广场,jiang'cheng'guang'chang
江城剧场,jiang'cheng'ju'chang
江城中学,jiang'cheng'zhong'xue
江机中学,jiang'ji'zhong'xue
江密峰,jiang'mi'feng
江南公园,jiang'nan'gong'yuan
江南了,jiang'nan'le
江南呢,jiang'nan'ne
江南书城,jiang'nan'shu'cheng
江南乡,jiang'nan'xiang
江南一号,jiang'nan'yi'hao
江湾大桥,jiang'wan'da'qiao
江湾路,jiang'wan'lu
酱油筋,jiang'you'jin
蛟河,jiao'he
蛟河的,jiao'he'de
蛟河市,jiao'he'shi
解放大路,jie'fang'da'lu
锦东花园,jin'dong'hua'yuan
锦华苑,jin'hua'yuan
金家,jin'jia
金筷子,jin'kuai'zi
今晚为爱祝贺,jin'wan'wei'ai'zhu'he
金珠乡,jin'zhu'xiang
就在吉林,jiu'zai'ji'lin
九站,jiu'zhan
卷柜,juan'gui
开江鱼,kai'jiang'yu
看难受了,kan'nan'shou'le
康乃尔,kang'nai'er
烤苞米,kao'bao'mi
考票,kao'piao
烤生蚝,kao'sheng'hao
可闹心,ke'nao'xin
可闹心了,ke'nao'xin'le
口前,kou'qian
口前的,kou'qian'de
口前镇,kou'qian'zhen
快点给哦我发,kuai'dian'gei'o'wo'fa
困蒙了,kun'meng'le
拉法山,la'fa'shan
辣怪鸭,la'guai'ya
拉裤兜子,la'ku'dou'zi
来病了,lai'bing'le
来东北,lai'dong'bei
来吉林,lai'ji'lin
来磐石,lai'pan'shi
兰亭雅苑,lan'ting'ya'yuan
老逗了,lao'dou'le
老多人了,lao'duo'ren'le
老恶心了,lao'e'xin'le
老烦人了,lao'fan'ren'le
老磕碜,lao'ke'chen
老困了,lao'kun'le
老累了,lao'lei'le
老冷了,lao'leng'le
老没意思了,lao'mei'yi'si'le
老难受了,lao'nan'shou'le
老闹心,lao'nao'xin
老闹心了,lao'nao'xin'le
老疼了,lao'teng'le
老吓人了,lao'xia'ren'le
老爷岭,lao'ye'ling
老有意思了,lao'you'yi'si'le
累蒙了,lei'meng'le
理解不上去,li'jie'bu'shang'qu
丽人节,li'ren'jie
亮甲山,liang'jia'shan
两家子,liang'jia'zi
聊骚你,liao'sao'ni
临江门,lin'jiang'men
淋膜,lin'mo
熘肉段,liu'rou'duan
龙城帝景,long'cheng'di'jing
龙嘉,long'jia
龙嘉机场,long'jia'ji'chang
龙潭桥,long'tan'qiao
龙潭区,long'tan'qu
龙潭山,long'tan'shan
龙湾雅苑,long'wan'ya'yuan
龙新家园,long'xin'jia'yuan
鹿场,lu'chang
撸串子,lu'chuan'zi
卢瓦尔,lu'wa'er
乱糟的,luan'zao'de
绿岛小夜曲,lv'dao'xiao'ye'qu
麻辣哈哈,ma'la'ha'ha
麻辣鸭,ma'la'ya
忙了的,mang'le'de
毛岁,mao'sui
美美团,mei'mei'tuan
每日多,mei'ri'duo
没王,mei'wang
没在吉林,mei'zai'ji'lin
密哈站,mi'ha'zhan
名山绿洲,ming'shan'lv'zhou
明太鱼,ming'tai'yu
磨盘山,mo'pan'shan
木子铁,mu'zi'tie
纳迪亚,na'di'ya
那对呗,na'dui'bei
那能咋的,na'neng'za'de
那玩应,na'wan'ying
南岗子,nan'gang'zi
南沟,nan'gou
南京街,nan'jing'jie
南山街,nan'shan'jie
南崴子,nan'wai'zi
闹死心了,nao'si'xin'le
闹挺,nao'ting
闹挺了,nao'ting'le
闹心,nao'xin
闹心那,nao'xin'na
你吉林,ni'ji'lin
你来吉林,ni'lai'ji'lin
你能行不,ni'neng'xing'bu
你是吉林,ni'shi'ji'lin
你在长春,ni'zai'chang'chun
你在吉林,ni'zai'ji'lin
牛马行,niu'ma'xing
农壳,nong'ke
农林街,nong'lin'jie
暖房子,nuan'fang'zi
欧亚商都,ou'ya'shang'du
帕萨迪纳,pa'sa'di'na
排尺,pai'chi
排烟罩,pai'yan'zhao
磐石,pan'shi
磐石的,pan'shi'de
磐石市,pan'shi'shi
炮台山,pao'tai'shan
跑线车,pao'xian'che
泡子沿,pao'zi'yan
沛客,pei'ke
屁针,pi'zhen
漂河,piao'he
萍乡大厨,ping'xiang'da'chu
柒姑娘,qi'gu'niang
七家子,qi'jia'zi
乾安,qian'an
千代田,qian'dai'tian
乾丰园,qian'feng'yuan
青背,qing'bei
青岛街,qing'dao'jie
清源桥,qing'yuan'qiao
去北山,qu'bei'shan
取柴河,qu'chai'he
去长白山,qu'chang'bai'shan
去长春,qu'chang'chun
去长春了,qu'chang'chun'le
去大福源,qu'da'fu'yuan
去丰满,qu'feng'man
去桦甸,qu'hua'dian
去吉林,qu'ji'lin
去吉林了,qu'ji'lin'le
去江边,qu'jiang'bian
去江南,qu'jiang'nan
去蛟河,qu'jiao'he
去磐石,qu'pan'shi
去舒兰,qu'shu'lan
去松江,qu'song'jiang
去延吉,qu'yan'ji
去中东,qu'zhong'dong
荣邦,rong'bang
如一坊,ru'yi'fang
三道沟,san'dao'gou
三家子,san'jia'zi
三角龙湾,san'jiao'long'wan
三驴逼,san'lv'bi
三十一中,san'shi'yi'zhong
三亚路,san'ya'lu
森鼎,sen'ding
砂锅居,sha'guo'ju
傻呵,sha'he
傻呵的,sha'he'de
沙河子,sha'he'zi
晒脸,shai'lian
山菜,shan'cai
上长春,shang'chang'chun
上吉林,shang'ji'lin
上营,shang'ying
摄相机报价,she'xiang'ji'bao'jia
绅苑,shen'yuan
深圳街,shen'zhen'jie
圣德泉,sheng'de'quan
盛世中国,sheng'shi'zhong'guo
圣鑫,sheng'xin
省艺,sheng'yi
实蛋,shi'dan
世纪大饭店,shi'ji'da'fan'dian
世纪广场,shi'ji'guang'chang
是吉林,shi'ji'lin
世纪新村,shi'ji'xin'cun
世贸广场,shi'mao'guang'chang
是我的样品,shi'wo'de'yang'pin
柿子炒鸡蛋,shi'zi'chao'ji'dan
守望都市,shou'wang'du'shi
舒兰,shu'lan
舒兰的,shu'lan'de
舒兰了,shu'lan'le
舒兰市,shu'lan'shi
耍驴,shua'lv
涮肚,shuan'du
双河镇,shuang'he'zhen
双吉,shuang'ji
睡觉了的,shui'jiao'le'de
水门洞,shui'men'dong
水韵名城,shui'yun'ming'cheng
说一嘴,shuo'yi'zui
死出吧,si'chu'ba
四点班,si'dian'ban
四合,si'he
四六五,si'liu'wu
松北二区,song'bei'er'qu
松花湖,song'hua'hu
松花江,song'hua'jiang
松花江中学,song'hua'jiang'zhong'xue
松江河,song'jiang'he
松江绅苑,song'jiang'shen'yuan
松江苑,song'jiang'yuan
搜登站,sou'deng'zhan
梭罗河,suo'luo'he
碳素厂,tan'su'chang
唐家崴子,tang'jia'wai'zi
滔博,tao'bo
陶源,tao'yuan
天北,tian'bei
天德,tian'de
天岗,tian'gang
天津街,tian'jin'jie
天涯八卦,tian'ya'ba'gua
铁东,tie'dong
铁合金,tie'he'jin
通钢,tong'gang
捅咕,tong'gu
通化,tong'hua
通化市,tong'hua'shi
通江街,tong'jiang'jie
统泰,tong'tai
通潭,tong'tan
通潭西区,tong'tan'xi'qu
通榆,tong'yu
通榆县,tong'yu'xian
土城子,tu'cheng'zi
图们,tu'men
图们江,tu'men'jiang
图们市,tu'men'shi
外五县,wai'wu'xian
万昌,wan'chang
完蛋玩应,wan'dan'wan'ying
万利城,wan'li'cheng
网络医院,wang'luo'yi'yuan
旺起镇,wang'qi'zhen
王小国,wang'xiao'guo
望云山景,wang'yun'shan'jing
维北,wei'bei
胃肠感冒,wei'chang'gan'mao
温德桥,wen'de'qiao
我班老师,wo'ban'lao'shi
我到吉林了,wo'dao'ji'lin'le
我给你发让价格,wo'gei'ni'fa'rang'jia'ge
我回吉林,wo'hui'ji'lin
我吉林,wo'ji'lin
我吉林的,wo'ji'lin'de
我吉林市,wo'ji'lin'shi
我没意思了,wo'mei'yi'si'le
我闹心了,wo'nao'xin'le
我去长春,wo'qu'chang'chun
我去吉林,wo'qu'ji'lin
我是吉林,wo'shi'ji'lin
我是吉林的,wo'shi'ji'lin'de
我是他爱染,wo'shi'ta'ai'ran
我要查,wo'yao'cha
我要查流量,wo'yao'cha'liu'liang
我在长春,wo'zai'chang'chun
我在吉林,wo'zai'ji'lin
我在吉林呢,wo'zai'ji'lin'ne
我在吉林市,wo'zai'ji'lin'shi
我在江南,wo'zai'jiang'nan
五虎岛,wu'hu'dao
物华,wu'hua
五家山,wu'jia'shan
乌拉街,wu'la'jie
五里河,wu'li'he
雾凇,wu'song
雾凇岛,wu'song'dao
雾凇路,wu'song'lu
西城首府,xi'cheng'shou'fu
溪河,xi'he
西山香麓,xi'shan'xiang'lu
西阳镇,xi'yang'zhen
洗澡了的,xi'zao'le'de
下老大,xia'lao'da
厦门街,xia'men'jie
夏日里的,xia'ri'li'de
显吧,xian'ba
祥康,xiang'kang
香辣肉丝,xiang'la'rou'si
象园,xiang'yuan
小白山,xiao'bai'shan
小北山,xiao'bei'shan
小南屯,xiao'nan'tun
小嫩草,xiao'nen'cao
消停呢,xiao'ting'ne
谢谢被,xie'xie'bei
新地号,xin'di'hao
新吉林,xin'ji'lin
新站镇,xin'zhan'zhen
星星哨,xing'xing'shao
星座每日运势,xing'zuo'mei'ri'yun'shi
徐州路,xu'zhou'lu
雪地胎,xue'di'tai
雪圈,xue'quan
巡逻兵,xun'luo'bing
延安街,yan'an'jie
延大,yan'da
闫家粥铺,yan'jia'zhou'pu
烟筒山,yan'tong'shan
阳光水岸,yang'guang'shui'an
杨麻子,yang'ma'zi
要库存,yao'ku'cun
摇人,yao'ren
夜巴黎,ye'ba'li
颐景,yi'jing
一拉溪,yi'la'xi
一拉溪镇,yi'la'xi'zhen
伊利花园,yi'li'hua'yuan
依林小镇,yi'lin'xiao'zhen
一品面,yi'pin'mian
一实验,yi'shi'yan
一寻思,yi'xun'si
医药学院,yi'yao'xue'yuan
盈胜,ying'sheng
英图,ying'tu
拥护啥,yong'hu'sha
永吉,yong'ji
永吉县,yong'ji'xian
有都是,you'dou'shi
有患者,you'huan'zhe
于记,yu'ji
毓文,yu'wen
毓文中学,yu'wen'zhong'xue
预置位,yu'zhi'wei
远处的星光,yuan'chu'de'xing'guang
圆灯的,yuan'deng'de
原来那款,yuan'lai'na'kuan
原小成,yuan'xiao'cheng
月科,yue'ke
月亮门,yue'liang'men
越山路,yue'shan'lu
运河里,yun'he'li
咋寻思,za'xun'si
在北山,zai'bei'shan
在长春,zai'chang'chun
在长春呢,zai'chang'chun'ne
在丰满,zai'feng'man
在桦甸,zai'hua'dian
在吉林,zai'ji'lin
在吉林呢,zai'ji'lin'ne
在吉林市,zai'ji'lin'shi
在江北,zai'jiang'bei
在江南,zai'jiang'nan
在蛟河,zai'jiao'he
在口前,zai'kou'qian
在磐石,zai'pan'shi
在舒兰,zai'shu'lan
在水中央,zai'shui'zhong'yang
在中东,zai'zhong'dong
早安小娇妻,zao'an'xiao'jiao'qi
糟害,zao'hai
站庄,zhan'zhuang
张晓霈,zhang'xiao'pei
朝阳山,zhao'yang'shan
赵振铎,zhao'zhen'duo
真闹挺,zhen'nao'ting
真闹心,zhen'nao'xin
真有样,zhen'you'yang
政务大厅,zheng'wu'da'ting
致和,zhi'he
只欢,zhi'huan
众安居,zhong'an'ju
中东,zhong'dong
种完地,zhong'wan'di
中兴街,zhong'xing'jie
朱雀山,zhu'que'shan
筑石,zhu'shi
庄稼院,zhuang'jia'yuan
紫光苑,zi'guang'yuan
紫金江尚,zi'jin'jiang'shang
紫晶城,zi'jing'cheng
总裁只欢不爱,zong'cai'zhi'huan'bu'ai
左家,zuo'jia
左家镇,zuo'jia'zhen
