阿斗当皇帝,a'dou'dang'huang'di
搬菩萨洗澡,ban'pu'sa'xi'zao
半夜做梦娶新娘,ban'ye'zuo'meng'qu'xin'niang
斑鸩打架,ban'zhen'da'jia
扮猪吃老虎,ban'zhu'chi'lao'hu
包输,bao'shu
辈辈苦,bei'bei'ku
背后整人,bei'hou'zheng'ren
悲喜交加,bei'xi'jiao'jia
本领高,ben'ling'gao
本末颠倒,ben'mo'dian'dao
本质太差,ben'zhi'tai'cha
蹦老高,beng'lao'gao
甭想,beng'xiang
彼此彼此,bi'ci'bi'ci
彼此一样丑,bi'ci'yi'yang'chou
必定有缘故,bi'ding'you'yuan'gu
毕恭毕敬,bi'gong'bi'jing
比马大,bi'ma'da
比上不足比下不余,bi'shang'bu'zu'bi'xia'bu'yu
变得真快,bian'de'zhen'kuai
变坏了,bian'huai'le
变他本色,bian'ta'ben'shai
憋出个猴来,bie'chu'ge'hou'lai
别看他小,bie'kan'ta'xiao
瘪了,bie'le
憋气窝火,bie'qi'wo'huo
别人不亲自己亲,bie'ren'bu'qin'zi'ji'qin
不安好心眼,bu'an'hao'xin'yan
不必多言,bu'bi'duo'yan
不变色,bu'bian'se
步步登高,bu'bu'deng'gao
步步高升,bu'bu'gao'sheng
不成,bu'cheng
不出所料,bu'chu'suo'liao
不得不低头,bu'de'bu'di'tou
不得不老实,bu'de'bu'lao'shi
不得己,bu'de'ji
不点不亮,bu'dian'bu'liang
不懂,bu'dong
不对路数,bu'dui'lu'shu
不对头,bu'dui'tou
不分老嫩,bu'fen'lao'nen
不分上下,bu'fen'shang'xia
不分主次,bu'fen'zhu'ci
不干脆,bu'gan'cui
不敢想,bu'gan'xiang
不敢坐上席,bu'gan'zuo'shang'xi
不顾根本,bu'gu'gen'ben
不管驴事,bu'guan'lv'shi
不过瘾,bu'guo'yin
不好提,bu'hao'ti
不合算,bu'he'suan
不合辙,bu'he'zhe
不怀好意,bu'huai'hao'yi
不会套,bu'hui'tao
不计其数,bu'ji'qi'shu
不记前仇俏媳妇戴凤冠,bu'ji'qian'chou'qiao'xi'fu'dai'feng'guan
不简单,bu'jian'dan
不进则退,bu'jin'ze'tui
不可靠,bu'ke'kao
不可能不受沾染,bu'ke'neng'bu'shou'zhan'ran
不烂搞到烂,bu'lan'gao'dao'lan
不领情,bu'ling'qing
不露头,bu'lu'tou
不能不求人,bu'neng'bu'qiu'ren
不能容忍,bu'neng'rong'ren
不怕没人要,bu'pa'mei'ren'yao
不怕压力大,bu'pa'ya'li'da
不怕影儿斜,bu'pa'ying'er'xie
不如鸡,bu'ru'ji
不上算,bu'shang'suan
不是好东西,bu'shi'hao'dong'xi
不是好苗头,bu'shi'hao'miao'tou
不是好人,bu'shi'hao'ren
不是好种,bu'shi'hao'zhong
不是路,bu'shi'lu
不是门,bu'shi'men
不是哪块香料,bu'shi'na'kuai'xiang'liao
不是闹着玩的,bu'shi'nao'zhe'wan'de
不是时候,bu'shi'shi'hou
不识时务,bu'shi'shi'wu
不识抬举,bu'shi'tai'ju
不是偷也是偷,bu'shi'tou'ye'shi'tou
不识相,bu'shi'xiang
不是这块料,bu'shi'zhe'kuai'liao
不是正经材料,bu'shi'zheng'jing'cai'liao
不死也要脱层皮,bu'si'ye'yao'tuo'ceng'pi
不算数,bu'suan'shu
不惜代价,bu'xi'dai'jia
不响,bu'xiang
不想给你吵,bu'xiang'gei'ni'chao
不相上下,bu'xiang'shang'xia
不象样,bu'xiang'yang
不晓得软硬,bu'xiao'de'ruan'ying
不行了,bu'xing'le
不要脸,bu'yao'lian
不腰痛,bu'yao'tong
不着边际,bu'zhao'bian'ji
不知吃力,bu'zhi'chi'li
不知底细,bu'zhi'di'xi
不知几品,bu'zhi'ji'pin
不知轻重,bu'zhi'qing'zhong
不值摔打,bu'zhi'shuai'da
不知死活,bu'zhi'si'huo
不知眼有多高,bu'zhi'yan'you'duo'gao
不阻力,bu'zu'li
彩虹和白云谈情,cai'hong'he'bai'yun'tan'qing
财迷转向,cai'mi'zhuan'xiang
采取主动,cai'qu'zhu'dong
财神爷戴乌纱帽,cai'shen'ye'dai'wu'sha'mao
踩着肩头往头上拉屎,cai'zhe'jian'tou'wang'tou'shang'la'shi
藏头露尾,cang'tou'lu'wei
苍蝇叮菩萨,cang'ying'ding'pu'sa
苍蝇嘴巴狗鼻子,cang'ying'zui'ba'gou'bi'zi
草包,cao'bao
曹操败走华客道,cao'cao'bai'zou'hua'ke'dao
曹操败走华容道,cao'cao'bai'zou'hua'rong'dao
曹操吃鸡肋,cao'cao'chi'ji'lei
曹操遇蒋干,cao'cao'yu'jiang'gan
曹操诸葛亮,cao'cao'zhu'ge'liang
厕所里照镜子,ce'suo'li'zhao'jing'zi
茶壶有嘴难说话,cha'hu'you'zui'nan'shuo'hua
茶铺里不要的伙计,cha'pu'li'bu'yao'de'huo'ji
长城上的砖,chang'cheng'shang'de'zhuan
嫦娥跳舞,chang'e'tiao'wu
唱高调,chang'gao'diao
长颈鹿进马群,chang'jing'lu'jin'ma'qun
长丝瓜当扁担,chang'si'gua'dang'bian'dan
唱戏的穿龙袍,chang'xi'de'chuan'long'pao
唱戏的胡子,chang'xi'de'hu'zi
扯得长,che'de'chang
彻底垮台,che'di'kua'tai
扯裤子补补丁,che'ku'zi'bu'bu'ding
扯着老虎尾巴喊救命,che'zhe'lao'hu'wei'ba'han'jiu'ming
趁机磨刀,chen'ji'mo'dao
成不了皇帝,cheng'bu'liao'huang'di
城隍庙里着了火,cheng'huang'miao'li'zhe'le'huo
城隍娘娘有喜,cheng'huang'niang'niang'you'xi
城楼上亮相,cheng'lou'shang'liang'xiang
成全好事,cheng'quan'hao'shi
成群结队,cheng'qun'jie'dui
逞什么,cheng'shen'me
成双成对,cheng'shuang'cheng'dui
诚心实意,cheng'xin'shi'yi
吃亏的是自己,chi'kui'de'shi'zi'ji
吃了对门谢隔壁,chi'le'dui'men'xie'ge'bi
痴人说梦,chi'ren'shuo'meng
吃软不吃硬,chi'ruan'bu'chi'ying
痴心妄想,chi'xin'wang'xiang
吃鱼不吐骨头,chi'yu'bu'tu'gu'tou
迟早要飞,chi'zao'yao'fei
充人来了,chong'ren'lai'le
臭不要脸,chou'bu'yao'lian
丑对丑,chou'dui'chou
臭美,chou'mei
抽你的筋剥你的皮,chou'ni'de'jin'bo'ni'de'pi
楚霸王自刎乌江,chu'ba'wang'zi'wen'wu'jiang
出不了格,chu'bu'liao'ge
出不了好主意,chu'bu'liao'hao'zhu'yi
出师不利,chu'shi'bu'li
出手不高,chu'shou'bu'gao
喘不上气,chuan'bu'shang'qi
吹不得,chui'bu'de
吹不响,chui'bu'xiang
吹的,chui'de
吹了,chui'le
垂头丧气,chui'tou'sang'qi
此路不通,ci'lu'bu'tong
葱头不开花,cong'tou'bu'kai'hua
从头甜到脚,cong'tou'tian'dao'jiao
粗中有细,cu'zhong'you'xi
催命鬼,cui'ming'gui
存心害人,cun'xin'hai'ren
错了,cuo'le
错路一条,cuo'lu'yi'tiao
大摆布,da'bai'bu
大不了,da'bu'liao
搭不上手,da'bu'shang'shou
大材小用,da'cai'xiao'yong
大车初一打拼伙,da'che'chu'yi'da'pin'huo
大处不算小处算,da'chu'bu'suan'xiao'chu'suan
大吹大擂,da'chui'da'lei
打灯笼走亲戚一明去明来,da'deng'long'zou'qin'qi'yi'ming'qu'ming'lai
大公鸡吃米,da'gong'ji'chi'mi
大姑娘嫁太监,da'gu'niang'jia'tai'jian
大姑娘瞧嫁妆,da'gu'niang'qiao'jia'zhuang
大姑娘肿脸,da'gu'niang'zhong'lian
大海里的一滴水,da'hai'li'de'yi'di'shui
大街上的行人,da'jie'shang'de'xing'ren
打开棺材喊捉贼,da'kai'guan'cai'han'zhuo'zei
打开天窗,da'kai'tian'chuang
大老粗,da'lao'cu
大流子的弟弟,da'liu'zi'de'di'di
打锣卖糖,da'luo'mai'tang
大门日的石狮子,da'men'ri'de'shi'shi'zi
大年三十看黄历,da'nian'san'shi'kan'huang'li
打鸟姿态,da'niao'zi'tai
打破脑袋叫扇子扇,da'po'nao'dai'jiao'shan'zi'shan
大起大落,da'qi'da'luo
搭起戏台卖豆腐,da'qi'xi'tai'mai'dou'fu
搭起戏台卖螃蟹,da'qi'xi'tai'mai'pang'xie
大热天穿皮袄,da're'tian'chuan'pi'ao
打上黑脸照镜,da'shang'hei'lian'zhao'jing
大圣吃毫毛,da'sheng'chi'hao'mao
大声叫喊,da'sheng'jiao'han
大水冲了龙王庙,da'shui'chong'le'long'wang'miao
打死老鼠喂猫,da'si'lao'shu'wei'mao
打乌米的眼睛,da'wu'mi'de'yan'jing
大虾炒鸡爪儿,da'xia'chao'ji'zhua'er
大显神威,da'xian'shen'wei
大象喝水,da'xiang'he'shui
大小各有用场,da'xiao'ge'you'yong'chang
大雁飞行,da'yan'fei'xing
大智若愚,da'zhi'ruo'yu
打肿脸充胖子,da'zhong'lian'chong'pang'zi
打足了气的皮球,da'zu'le'qi'de'pi'qiu
打足气的气球,da'zu'qi'de'qi'qiu
带刺,dai'ci
呆着不动,dai'zhe'bu'dong
戴着面具进棺材,dai'zhe'mian'ju'jin'guan'cai
戴着面具亲嘴,dai'zhe'mian'ju'qin'zui
呆子,dai'zi
担当不起,dan'dang'bu'qi
淡而无味,dan'er'wu'wei
胆小如鼠,dan'xiao'ru'shu
挡凤板做锅盖,dang'feng'ban'zuo'guo'gai
倒挨了一锥子,dao'ai'le'yi'zhui'zi
倒挨一脚,dao'ai'yi'jiao
稻草人救火,dao'cao'ren'jiu'huo
道道多,dao'dao'duo
捣鼓不开,dao'gu'bu'kai
倒了大霉,dao'le'da'mei
盗马贼披袈裟,dao'ma'zei'pi'jia'sha
倒贴,dao'tie
道听途说,dao'ting'tu'shuo
倒着走,dao'zhe'zou
得不偿失,de'bu'chang'shi
得心应手,de'xin'ying'shou
等不到老,deng'bu'dao'lao
等着挨刀,deng'zhe'ai'dao
登着耗子当成牛,deng'zhe'hao'zi'dang'cheng'niu
低声下气,di'sheng'xia'qi
点不起火,dian'bu'qi'huo
点燃的蜡烛一长命不了,dian'ran'de'la'zhu'yi'zhang'ming'bu'liao
点着火的双响,dian'zhe'huo'de'shuang'xiang
吊儿郎当,diao'er'lang'dang
动不得,dong'bu'de
东倒西歪,dong'dao'xi'wai
抖起来了,dou'qi'lai'le
抖什么威风,dou'shen'me'wei'feng
都闲着,dou'xian'zhe
堵不完的窟窿,du'bu'wan'de'ku'long
独具只眼,du'ju'zhi'yan
肚里有货倒不出,du'li'you'huo'dao'bu'chu
独吞,du'tun
断了柄锄头安了把,duan'le'bing'chu'tou'an'le'ba
断了线的梭子,duan'le'xian'de'suo'zi
短命的货,duan'ming'de'huo
对不上号,dui'bu'shang'hao
对天讲话,dui'tian'jiang'hua
多此一举,duo'ci'yi'ju
多一层比少一层好,duo'yi'ceng'bi'shao'yi'ceng'hao
多一股子气,duo'yi'gu'zi'qi
多余,duo'yu
躲雨躲到城隍庙,duo'yu'duo'dao'cheng'huang'miao
多嘴多舌,duo'zui'duo'she
鹅蛋石跌进刺蓬里,e'dan'shi'die'jin'ci'peng'li
恶鬼见钟旭,e'gui'jian'zhong'xu
饿虎进宅,e'hu'jin'zhai
饿狼窜进羊厩,e'lang'cuan'jin'yang'jiu
恶狼对羊笑,e'lang'dui'yang'xiao
恶狼和疯狗作伴,e'lang'he'feng'gou'zuo'ban
饿狼日里夺脆骨,e'lang'ri'li'duo'cui'gu
恶狼生个贼狐狸,e'lang'sheng'ge'zei'hu'li
鹅盆里不准鸭插嘴,e'pen'li'bu'zhun'ya'cha'zui
恶人登门,e'ren'deng'men
恶人雕戴皮帽,e'ren'diao'dai'pi'mao
恶人先告状,e'ren'xian'gao'zhuang
鹅伸脖子,e'shen'bo'zi
额头角上搁扁担,e'tou'jiao'shang'ge'bian'dan
额头上插牡丹,e'tou'shang'cha'mu'dan
额外负担,e'wai'fu'dan
鹅在水中寻食,e'zai'shui'zhong'xun'shi
饿着肚子做梦,e'zhe'du'zi'zuo'meng
饿猪占木槽,e'zhu'zhan'mu'cao
二百加五十,er'bai'jia'wu'shi
二百五,er'bai'wu
二不愣当家,er'bu'leng'dang'jia
二尺长的吹火筒,er'chi'zhang'de'chui'huo'tong
耳朵里塞棉花,er'duo'li'sai'mian'hua
耳朵塞驴毛,er'duo'sai'lv'mao
二郎神的印堂,er'lang'shen'de'yin'tang
二两棉花,er'liang'mian'hua
二流子,er'liu'zi
二流子打鼓,er'liu'zi'da'gu
二踢脚,er'ti'jiao
二万五千里长征,er'wan'wu'qian'li'chang'zheng
尔虞我诈,er'yu'wo'zha
儿子不养娘,er'zi'bu'yang'niang
发啦,fa'la
乏味,fa'wei
翻不过身来,fan'bu'guo'shen'lai
翻江倒海,fan'jiang'dao'hai
犯劲,fan'jin
反了,fan'le
飞不起来,fei'bu'qi'lai
费功夫,fei'gong'fu
非输不可,fei'shu'bu'ke
非灾即祸,fei'zai'ji'huo
扶不直,fu'bu'zhi
父子相认,fu'zi'xiang'ren
旮旯里藏毒蛇,ga'la'li'cang'du'she
嘎小子买烧鸡,ga'xiao'zi'mai'shao'ji
改朝换代,gai'chao'huan'dai
盖房请来箍桶匠,gai'fang'qing'lai'gu'tong'jiang
盖了九床被子做美梦,gai'le'jiu'chuang'bei'zi'zuo'mei'meng
该下台了,gai'xia'tai'le
干瘪,gan'bie
干草点灯,gan'cao'dian'deng
赶场带相亲,gan'chang'dai'xiang'qin
赶场走进死胡同,gan'chang'zou'jin'si'hu'tong
干打雷不下雨,gan'da'lei'bu'xia'yu
干干脆脆,gan'gan'cui'cui
干旱的庄稼,gan'han'de'zhuang'jia
干河沟的鱼,gan'he'gou'de'yu
干河滩里种牡丹,gan'he'tan'li'zhong'mu'dan
干活打瞌睡,gan'huo'da'ke'shui
赶鸡下河,gan'ji'xia'he
赶脚的骑驴,gan'jiao'de'qi'lv
干净不了,gan'jing'bu'liao
橄榄屁股,gan'lan'pi'gu
赶龙王下海,gan'long'wang'xia'hai
干萝卜缨熬汤,gan'luo'bo'ying'ao'tang
擀面杖吹火,gan'mian'zhang'chui'huo
擀面杖分长短,gan'mian'zhang'fen'chang'duan
擀面杖钻石头,gan'mian'zhang'zuan'shi'tou
干轻巧活,gan'qing'qiao'huo
甘蔗拔节,gan'zhe'ba'jie
甘蔗林里种香瓜,gan'zhe'lin'li'zhong'xiang'gua
甘蔗皮编席子,gan'zhe'pi'bian'xi'zi
赶着王母娘娘叫大姑,gan'zhe'wang'mu'niang'niang'jiao'da'gu
刚扯帆就遇顶头风,gang'che'fan'jiu'yu'ding'tou'feng
刚出炉的纯钢,gang'chu'lu'de'chun'gang
刚出山的太阳,gang'chu'shan'de'tai'yang
刚出水的虾子,gang'chu'shui'de'xia'zi
刚出土的黄连,gang'chu'tu'de'huang'lian
刚逮住的鲤鱼,gang'dai'zhu'de'li'yu
高出了头,gao'chu'le'tou
高飞的鸟儿遇老鹰,gao'fei'de'niao'er'yu'lao'ying
高级合金钢,gao'ji'he'jin'gang
高明,gao'ming
高攀,gao'pan
高山头种辣椒,gao'shan'tou'zhong'la'jiao
高兴得发傻,gao'xing'dei'fa'sha
高姿态,gao'zi'tai
疙瘩饼子送闺女,ge'da'bing'zi'song'gui'nv
隔黄河送秋波,ge'huang'he'song'qiu'bo
隔年的臭虫,ge'nian'de'chou'chong
隔年的春联,ge'nian'de'chun'lian
各人享各人福,ge'ren'xiang'ge'ren'fu
隔山打鸟,ge'shan'da'niao
割下鼻子换面吃,ge'xia'bi'zi'huan'mian'chi
各显神通,ge'xian'shen'tong
各有各的打法,ge'you'ge'de'da'fa
各有一技之长,ge'you'yi'ji'zhi'chang
各于一行,ge'yu'yi'hang
胳肢窝里夹耗子,ge'zhi'wo'li'jia'hao'zi
各走各的道,ge'zou'ge'de'dao
各走一端,ge'zou'yi'duan
根底浅,gen'di'qian
根深时茂,gen'shen'shi'mao
根子不正,gen'zi'bu'zheng
够不着,gou'bu'zhao
够喘的了,gou'chuan'de'le
勾勾搭搭,gou'gou'da'da
狗眼看人,gou'yan'kan'ren
够硬,gou'ying
顾前不顾后,gu'qian'bu'gu'hou
鼓足了劲,gu'zu'le'jin
挂个空名,gua'ge'kong'ming
怪事一桩,guai'shi'yi'zhuang
怪物,guai'wu
管不了庙里事,guan'bu'liao'miao'li'shi
管得宽,guan'de'kuan
管的宽,guan'de'kuan
观点模糊,guan'dian'mo'hu
光打光,guang'da'guang
光剩嘴了,guang'sheng'zui'le
光耍嘴,guang'shua'zui
鬼把戏,gui'ba'xi
鬼点子多,gui'dian'zi'duo
鬼相,gui'xiang
鬼样子,gui'yang'zi
过得硬,guo'de'ying
过一天算一天,guo'yi'tian'suan'yi'tian
还不了,hai'bu'le
还是老一套,hai'shi'lao'yi'tao
旱该倒了,han'gai'dao'le
罕见,han'jian
寒酸,han'suan
好大的胆,hao'da'de'dan
好大的口气,hao'da'de'kou'qi
好大的气,hao'da'de'qi
好大的胃口,hao'da'de'wei'kou
好景不长,hao'jing'bu'chang
好看有限,hao'kan'you'xian
好厉害,hao'li'hai
好难请,hao'nan'qing
好捏,hao'nie
好色之徒,hao'se'zhi'tu
好上加好,hao'shang'jia'hao
好伟大,hao'wei'da
合在一起干,he'zai'yi'qi'gan
黑吃黑,hei'chi'hei
黑老鸦下了个白鸡蛋,hei'lao'ya'xia'le'ge'bai'ji'dan
黑李这碰见猛张飞,hei'li'zhe'peng'jian'meng'zhang'fei
黑下脏来,hei'xia'zang'lai
黑瞎子吃石榴,hei'xia'zi'chi'shi'liu
黑瞎子上轿,hei'xia'zi'shang'jiao
黑瞎子耍门扛,hei'xia'zi'shua'men'kang
黑旋风的本名,hei'xuan'feng'de'ben'ming
狠对狠,hen'dui'hen
恨人不死,hen'ren'bu'si
横冲直撞,heng'chong'zhi'zhuang
横闯一个点儿,heng'chuang'yi'ge'dian'er
横杠竹子,heng'gang'zhu'zi
哼哈二将斗法,heng'ha'er'jiang'dou'fa
横说竖说都有理,heng'shuo'shu'shuo'dou'you'li
横行霸道,heng'xing'ba'dao
横行不了,heng'xing'bu'liao
红不过一会儿了,hong'bu'guo'yi'hui'er'le
红不久,hong'bu'jiu
红到顶了,hong'dao'ding'le
红光满面,hong'guang'man'mian
红花女做媒,hong'hua'nv'zuo'mei
烘炉里的王八,hong'lu'li'de'wang'ba
红娘挨打,hong'niang'ai'da
红人,hong'ren
红运将至,hong'yun'jiang'zhi
洪泽湖的鱼鹰,hong'ze'hu'de'yu'ying
后半截,hou'ban'jie
后患无穷,hou'huan'wu'qiong
后悔已晚,hou'hui'yi'wan
后劲大,hou'jin'da
后来居上,hou'lai'ju'shang
喉咙长刺口生疮,hou'long'zhang'ci'kou'sheng'chuang
猴学样,hou'xue'yang
猴子戴凉帽,hou'zi'dai'liang'mao
猴子的屁股,hou'zi'de'pi'gu
猴子扇扇子,hou'zi'shan'shan'zi
互不相干,hu'bu'xiang'gan
护城河的王八,hu'cheng'he'de'wang'ba
糊糊涂涂,hu'hu'tu'tu
胡砍,hu'kan
胡拉乱扯,hu'la'luan'che
狐狸吃不到的葡萄,hu'li'chi'bu'dao'de'pu'tao
狐狸吃刺猬,hu'li'chi'ci'wei
狐狸钻罐子,hu'li'zuan'guan'zi
葫芦掉井里,hu'lu'diao'jing'li
葫芦蜂的窝,hu'lu'feng'de'wo
葫芦里卖药,hu'lu'li'mai'yao
葫芦里装水,hu'lu'li'zhuang'shui
胡萝卜就烧酒,hu'luo'bo'jiu'shao'jiu
胡萝卜刻的小孩儿,hu'luo'bo'ke'de'xiao'hai'er
胡扑打,hu'pu'da
猢狲穿衣裳,hu'sun'chuan'yi'shang
胡屠户的女婿,hu'tu'hu'de'nv'xu
互相照应,hu'xiang'zhao'ying
画笔敲敲,hua'bi'qiao'qiao
华而不实,hua'er'bu'shi
花岗岩下油锅,hua'gang'yan'xia'you'guo
花骨朵碰在屠刀上,hua'gu'duo'peng'zai'tu'dao'shang
花果山上没外姓,hua'guo'shan'shang'mei'wai'xing
花架下养鸡鸭,hua'jia'xia'yang'ji'ya
画匠不给神作揖,hua'jiang'bu'gei'shen'zuo'yi
花轿前的乐队,hua'jiao'qian'de'yue'dui
画面上的酒菜,hua'mian'shang'de'jiu'cai
花瓶里种树,hua'ping'li'zhong'shu
话中带刺,hua'zhong'dai'ci
坏到一块了,huai'dao'yi'kuai'le
怀的鬼胎,huai'de'gui'tai
怀儿婆的口粮,huai'er'po'de'kou'liang
皇帝补皮鞋,huang'di'bu'pi'xie
黄豆煮豆腐,huang'dou'zhu'dou'fu
黄连树上结糖梨,huang'lian'shu'shang'jie'tang'li
黄连树下种苦瓜,huang'lian'shu'xia'zhong'ku'gua
荒凉,huang'liang
黄牛拉磨,huang'niu'la'mo
黄鼠狼抽了筋,huang'shu'lang'chou'le'jin
黄鼠狼的脾气,huang'shu'lang'de'pi'qi
黄鼠狼见了鸡,huang'shu'lang'jian'le'ji
黄鼠狼下息,huang'shu'lang'xia'xi
会唱会跳,hui'chang'hui'tiao
回头见高低,hui'tou'jian'gao'di
回头难,hui'tou'nan
悔之莫及,hui'zhi'mo'ji
会走不会飞,hui'zou'bu'hui'fei
浑蛋,hun'dan
混蛋到底,hun'dan'dao'di
混饭吃,hun'fan'chi
混年号,hun'nian'hao
浑身打哆哆,hun'shen'da'duo'duo
浑身都软了,hun'shen'dou'ruan'le
浑身是气,hun'shen'shi'qi
活蹦乱跳,huo'beng'luan'tiao
豁出来了,huo'chu'lai'le
豁出去了,huo'chu'qu'le
火气太大,huo'qi'tai'da
货色不多架势不大,huo'se'bu'duo'jia'shi'bu'da
祸在眼前,huo'zai'yan'qian
豁子吵嘴,huo'zi'chao'zui
豁子喝米汤,huo'zi'he'mi'tang
鸡肠舌刮油,ji'chang'she'gua'you
记吃不记打,ji'chi'bu'ji'da
机关枪瞄大炮,ji'guan'qiang'miao'da'pao
唧唧喳喳,ji'ji'zha'zha
脊梁骨上长茄子,ji'liang'gu'shang'chang'qie'zi
积木搭墙,ji'mu'da'qiang
急人之所急,ji'ren'zhi'suo'ji
藉丝炒黄豆芽,ji'si'chao'huang'dou'ya
畸形人做衣服,ji'xing'ren'zuo'yi'fu
贾宝玉出家,jia'bao'yu'chu'jia
贾宝玉的通灵玉,jia'bao'yu'de'tong'ling'yu
贾宝玉看西厢记,jia'bao'yu'kan'xi'xiang'ji
假充鹰,jia'chong'ying
假的,jia'de
贾府门前的狮子,jia'fu'men'qian'de'shi'zi
嫁祸于人,jia'huo'yu'ren
贾家姑娘嫁贾家,jia'jia'gu'niang'jia'jia'jia
假门假事,jia'men'jia'shi
家人不认识一家人,jia'ren'bu'ren'shi'yi'jia'ren
见不得人,jian'bu'de'ren
奸臣当道,jian'chen'dang'dao
煎过三遍的药渣,jian'guo'san'bian'de'yao'zha
贱货,jian'huo
见窟窿就钻,jian'ku'long'jiu'zuan
见面就崩,jian'mian'jiu'beng
见死不救,jian'si'bu'jiu
肩头上放花炮,jian'tou'shang'fang'hua'pao
见异思迁,jian'yi'si'qian
见者有份,jian'zhe'you'fen
讲风凉话,jiang'feng'liang'hua
蒋干盗书,jiang'gan'dao'shu
酱缸腌时子,jiang'gang'yan'shi'zi
酱坛里装个鳖,jiang'tan'li'zhuang'ge'bie
脚踩两只船,jiao'cai'liang'zhi'chuan
脚踩西瓜皮手里抓把泥,jiao'cai'xi'gua'pi'shou'li'zhua'ba'ni
脚蹬鼻子,jiao'deng'bi'zi
脚底下踩棒槌,jiao'di'xia'cai'bang'chui
跤龙头上搔痒,jiao'long'tou'shang'sao'yang
脚盆里撑船,jiao'pen'li'cheng'chuan
教菩萨认字,jiao'pu'sa'ren'zi
叫人眼饱肚饥,jiao'ren'yan'bao'du'ji
脚踏实地,jiao'ta'shi'di
狡兔撞鹰,jiao'tu'zhuang'ying
结果不好,jie'guo'bu'hao
街上卖笛,jie'shang'mai'di
借题发挥,jie'ti'fa'hui
街头的狗,jie'tou'de'gou
街头上耍把戏,jie'tou'shang'shua'ba'xi
进不得城,jin'bu'de'cheng
