暗电流,an'dian'liu
神经磁图描记术,shen'jing'ci'tu'miao'ji'shu
神经网络,shen'jing'wang'luo
神经行为学,shen'jing'xing'wei'xue
生电钠泵,sheng'dian'na'beng
声通讯,sheng'tong'xun
生物传感器,sheng'wu'chuan'gan'qi
生物磁效应,sheng'wu'ci'xiao'ying
生物磁学,sheng'wu'ci'xue
生物发光,sheng'wu'fa'guang
生物发光探剂,sheng'wu'fa'guang'tan'ji
生物反馈,sheng'wu'fan'kui
生物光子,sheng'wu'guang'zi
生物计算机,sheng'wu'ji'suan'ji
生物控制论,sheng'wu'kong'zhi'lun
生物力学,sheng'wu'li'xue
生物量热法,sheng'wu'liang're'fa
生物流变学,sheng'wu'liu'bian'xue
生物能学,sheng'wu'neng'xue
生物粘弹性,sheng'wu'nian'tan'xing
生物全息术,sheng'wu'quan'xi'shu
生物声呐,sheng'wu'sheng'na
生物物理化学,sheng'wu'wu'li'hua'xue
生物物理学,sheng'wu'wu'li'xue
生物芯片,sheng'wu'xin'pian
生物信息论,sheng'wu'xin'xi'lun
生物遥测扫描器,sheng'wu'yao'ce'sao'miao'qi
生物遥测术,sheng'wu'yao'ce'shu
生物钟,sheng'wu'zhong
生物钟学,sheng'wu'zhong'xue
声象,sheng'xiang
视动反应,shi'dong'fan'ying
时间反向,shi'jian'fan'xiang
时觉,shi'jue
视网膜磁图,shi'wang'mo'ci'tu
时值凶兆,shi'zhi'xiong'zhao
受激子,shou'ji'zi
授时因子,shou'shi'yin'zi
手性,shou'xing
双分子脂膜,shuang'fen'zi'zhi'mo
双螺旋,shuang'luo'xuan
水结构,shui'jie'gou
四级结构,si'ji'jie'gou
随机效应,sui'ji'xiao'ying
弹性响应,tan'xing'xiang'ying
特征检测器,te'zheng'jian'ce'qi
体内稳态,ti'nei'wen'tai
天体生物物理学,tian'ti'sheng'wu'wu'li'xue
调制传递函数,tiao'zhi'chuan'di'han'shu
听凹,ting'ao
听觉掩蔽,ting'jue'yan'bi
同步辐射,tong'bu'fu'she
同步激发光谱学,tong'bu'ji'fa'guang'pu'xue
突变论,tu'bian'lun
图象荧光计,tu'xiang'ying'guang'ji
图象增强显微术,tu'xiang'zeng'qiang'xian'wei'shu
脱氢萤光素,tuo'qing'ying'guang'su
网膜外光感受,wang'mo'wai'guang'gan'shou
微剂量学,wei'ji'liang'xue
微粒辐射,wei'li'fu'she
微量电泳,wei'liang'dian'yong
微量离子电泳,wei'liang'li'zi'dian'yong
微团,wei'tuan
纹理,wen'li
细胞磁测量术,xi'bao'ci'ce'liang'shu
细胞电泳,xi'bao'dian'yong
细胞过滤,xi'bao'guo'lv
细胞间电耦合,xi'bao'jian'dian'ou'he
细胞流变学,xi'bao'liu'bian'xue
细胞生物物理学,xi'bao'sheng'wu'wu'li'xue
系间跨越,xi'jian'kua'yue
吸收剂量,xi'shou'ji'liang
系统分析,xi'tong'fen'xi
系统论,xi'tong'lun
线性能量转移,xian'xing'neng'liang'zhuan'yi
向磁性,xiang'ci'xing
向地性,xiang'di'xing
相干反斯托克斯,xiang'gan'fan'si'tuo'ke'si
向光性,xiang'guang'xing
向化性,xiang'hua'xing
镶嵌结构,xiang'qian'jie'gou
镶嵌现象,xiang'qian'xian'xiang
向日性,xiang'ri'xing
向湿性,xiang'shi'xing
向水性,xiang'shui'xing
象素,xiang'su
相位荧光测定法,xiang'wei'ying'guang'ce'ding'fa
向压性,xiang'ya'xing
向氧性,xiang'yang'xing
向轴迁移,xiang'zhou'qian'yi
小窝器,xiao'wo'qi
协同学,xie'tong'xue
心磁图描记术,xin'ci'tu'miao'ji'shu
形式神经元,xing'shi'shen'jing'yuan
序参数,xu'can'shu
血管力学,xue'guan'li'xue
血管流变学,xue'guan'liu'bian'xue
血管蠕变,xue'guan'ru'bian
血流速度描记术,xue'liu'su'du'miao'ji'shu
血液,xue'ye
血液层流,xue'ye'ceng'liu
血液触变性,xue'ye'chu'bian'xing
血液低粘综合征,xue'ye'di'zhan'zong'he'zheng
血液高粘综合征,xue'ye'gao'zhan'zong'he'zheng
血液流变学,xue'ye'liu'bian'xue
寻靶作用,xun'ba'zuo'yong
亚致死损伤,ya'zhi'si'sun'shang
延迟发光,yan'chi'fa'guang
眼动控制,yan'dong'kong'zhi
延伸,yan'shen
眼优势组,yan'you'shi'zu
氧化萤光素,yang'hua'ying'guang'su
氧受体,yang'shou'ti
一级结构,yi'ji'jie'gou
役使原理,yi'shi'yuan'li
音码器,yin'ma'qi
荧光标记,ying'guang'biao'ji
荧光分光光度法,ying'guang'fen'guang'guang'du'fa
荧光检测圆二色性,ying'guang'jian'ce'yuan'er'se'xing
荧光偏振,ying'guang'pian'zhen
荧光漂白恢复,ying'guang'piao'bai'hui'fu
荧光寿命,ying'guang'shou'ming
萤光素,ying'guang'su
萤光素酶,ying'guang'su'mei
荧光探剂,ying'guang'tan'ji
荧光团,ying'guang'tuan
诱导发光,you'dao'fa'guang
有丝分裂辐射,you'si'fen'lie'fu'she
语图,yu'tu
语言识别机,yu'yan'shi'bie'ji
宇宙生物学,yu'zhou'sheng'wu'xue
远场电位,yuan'chang'dian'wei
圆偏振差散射,yuan'pian'zhen'cha'san'she
原位电泳,yuan'wei'dian'yong
噪声诱发的,zao'sheng'you'fa'de
择时检验,ze'shi'jian'yan
照射,zhao'she
振动触觉信息,zhen'dong'chu'jue'xin'xi
振动感受器,zhen'dong'gan'shou'qi
振动觉,zhen'dong'jue
正电子成象术,zheng'dian'zi'cheng'xiang'shu
脂蛋白体,zhi'dan'bai'ti
脂单层,zhi'dan'ceng
脂多型性,zhi'duo'xing'xing
滞后,zhi'hou
致化学发光化合物,zhi'hua'xue'fa'guang'hua'he'wu
脂囊泡,zhi'nang'pao
脂双层,zhi'shuang'ceng
致死损伤,zhi'si'sun'shang
脂微囊,zhi'wei'nang
脂质体,zhi'zhi'ti
重力感受器,zhong'li'gan'shou'qi
主要是阳光,zhu'yao'shi'yang'guang
柱状组织,zhu'zhuang'zu'zhi
锥内摆动模型,zhui'nei'bai'dong'mo'xing
追逐行为,zhui'zhu'xing'wei
自持的,zi'chi'de
自繁殖系统,zi'fan'zhi'xi'tong
自上而下分析,zi'shang'er'xia'fen'xi
自下而上分析,zi'xia'er'shang'fen'xi
自旋标记,zi'xuan'biao'ji
自旋捕获,zi'xuan'bu'huo
自由基,zi'you'ji
自组织系统,zi'zu'zhi'xi'tong
作用光谱,zuo'yong'guang'pu
