安定面,an'ding'mian
无线电定向设备,wu'xian'dian'ding'xiang'she'bei
下滑坡度,xia'hua'po'du
线路图解,xian'lu'tu'jie
协和,xie'he
信号产生器,xin'hao'chan'sheng'qi
行李舱,xing'li'cang
修护控制显示面板,xiu'hu'kong'zhi'xian'shi'mian'ban
修护手册,xiu'hu'shou'ce
选择器,xuan'ze'qi
询答机,xun'da'ji
依柳辛,yi'liu'xin
音频选择面板,yin'pin'xuan'ze'mian'ban
引擎舱,yin'qing'cang
引擎电控,yin'qing'dian'kong
引擎放气控制,yin'qing'fang'qi'kong'zhi
引擎液压泵,yin'qing'ye'ya'beng
引擎状况警告指示,yin'qing'zhuang'kuang'jing'gao'zhi'shi
永磁发电机,yong'ci'fa'dian'ji
油箱,you'xiang
右翼,you'yi
再循环,zai'xun'huan
整合资料系统,zheng'he'zi'liao'xi'tong
直升机,zhi'sheng'ji
主油箱,zhu'you'xiang
自动方位寻找器,zi'dong'fang'wei'xun'zhao'qi
自动驾驶,zi'dong'jia'shi
自动驾驶仪,zi'dong'jia'shi'yi
自动落地,zi'dong'luo'di
自动落地状况通告器,zi'dong'luo'di'zhuang'kuang'tong'gao'qi
自动油门,zi'dong'you'men
姿态,zi'tai
姿态指示器,zi'tai'zhi'shi'qi
阻力板,zu'li'ban
阻尼器,zu'ni'qi
最小判断高度,zui'xiao'pan'duan'gao'du
左翼,zuo'yi
