阿尔法狗,a'er'fa'gou
尖峰时刻,jian'feng'shi'ke
建国大业,jian'guo'da'ye
降头,jiang'tou
结婚快乐,jie'hun'kuai'le
结婚证书,jie'hun'zheng'shu
结集号,jie'ji'hao
姐姐来了,jie'jie'lai'le
劫杀枕边人,jie'sha'zhen'bian'ren
街舞少年,jie'wu'shao'nian
金猪贺岁,jin'zhu'he'sui
惊变,jing'bian
惊变二十八周,jing'bian'er'shi'ba'zhou
决战生死线,jue'zhan'sheng'si'xian
咖啡王子一号店,ka'fei'wang'zi'yi'hao'dian
恐怖杀人医院,kong'bu'sha'ren'yi'yuan
空投柏林,kong'tou'bo'lin
快行道,kuai'xing'dao
狂野时速,kuang'ye'shi'su
老港正传,lao'gang'zheng'zhuan
老婆是巨无霸,lao'po'shi'ju'wu'ba
老婆我爱你,lao'po'wo'ai'ni
历史系男生,li'shi'xi'nan'sheng
连环大盗,lian'huan'da'dao
连环局,lian'huan'ju
料理鼠王,liao'li'shu'wang
灵数二三,ling'shu'er'san
陆小凤传奇,lu'xiao'feng'chuan'qi
乱战,luan'zhan
落叶归根,luo'ye'gui'gen
马江饭店,ma'jiang'fan'dian
麻雀爱上凤凰,ma'que'ai'shang'feng'huang
迈阿密疯云,mai'a'mi'feng'yun
毛骨悚然,mao'gu'song'ran
冒牌天神,mao'pai'tian'shen
每当变幻时,mei'dang'bian'huan'shi
美国派,mei'guo'pai
美女绑匪,mei'nv'bang'fei
美女食神,mei'nv'shi'shen
美味关系,mei'wei'guan'xi
梦里花落知多少,meng'li'hua'luo'zhi'duo'shao
蒙面达虎,meng'mian'da'hu
梦想人间,meng'xiang'ren'jian
密阳,mi'yang
明明,ming'ming
命中注定,ming'zhong'zhu'ding
魔鬼搭车人,mo'gui'da'che'ren
魔鬼天使,mo'gui'tian'shi
魔力玩具盒,mo'li'wan'ju'he
那个傻瓜爱过你,na'ge'sha'gua'ai'guo'ni
纳妾,na'qie
奶牛美女,nai'niu'mei'nv
男才女貌,nan'cai'nv'mao
难缠女友,nan'chan'nv'you
男儿本色,nan'er'ben'se
扭计师爷陈梦吉,niu'ji'shi'ye'chen'meng'ji
怒战,nu'zhan
女人本色,nv'ren'ben'shai
女生惊魂记,nv'sheng'jing'hun'ji
女招待,nv'zhao'dai
泡不到的女人,pao'bu'dao'de'nv'ren
霹雳游侠,pi'li'you'xia
骗局,pian'ju
千年狐,qian'nian'hu
乔治亚法则,qiao'zhi'ya'fa'ze
青苹果,qing'ping'guo
情欲克林顿,qing'yu'ke'lin'dun
雀神,que'shen
热血教师,re'xue'jiao'shi
人魔线索,ren'mo'xian'suo
人皮客栈,ren'pi'ke'zhan
人兽战,ren'shou'zhan
人要出名猪要壮,ren'yao'chu'ming'zhu'yao'zhuang
人在江湖,ren'zai'jiang'hu
忍者神龟,ren'zhe'shen'gui
三脚猫部队,san'jiao'mao'bu'dui
森冤,sen'yuan
上班一条虫,shang'ban'yi'tiao'chong
少数派报告,shao'shu'pai'bao'gao
蛇王波后,she'wang'bo'hou
深海狂鲨,shen'hai'kuang'sha
神奇四侠,shen'qi'si'xia
生化危机,sheng'hua'wei'ji
生日快乐,sheng'ri'kuai'le
生死狙击,sheng'si'ju'ji
十二宫,shi'er'gong
十分爱,shi'fen'ai
失恋大不同,shi'lian'da'bu'tong
十三罗汉,shi'san'luo'han
史上最不幸的大老三郎,shi'shang'zui'bu'xing'de'da'lao'san'lang
史诗电影,shi'shi'dian'ying
时效警察归来,shi'xiao'jing'cha'gui'lai
鼠辈横行,shu'bei'heng'xing
双子神偷,shuang'zi'shen'tou
谁是孩子他爹,shui'shi'hai'zi'ta'die
水银人,shui'yin'ren
斯巴达三百勇士,si'ba'da'san'bai'yong'shi
四大金钗,si'da'jin'chai
死掉的女儿,si'diao'de'nv'er
死神,si'shen
死亡彼端,si'wang'bi'duan
死亡航班,si'wang'hang'ban
死亡信件,si'wang'xin'jian
岁月风月,sui'yue'feng'yue
太阳浩劫,tai'yang'hao'jie
天台,tian'tai
天堂口,tian'tang'kou
天贼,tian'zei
铁三角,tie'san'jiao
偷窥女老师,tou'kui'nv'lao'shi
图雅的婚事,tu'ya'de'hun'shi
外星女魔,wai'xing'nv'mo
外遇的好日子,wai'yu'de'hao'ri'zi
亡灵召唤,wang'ling'zhao'huan
亡灵咒怨,wang'ling'zhou'yuan
王者之心,wang'zhe'zhi'xin
伟大的族谱,wei'da'de'zu'pu
危险人物,wei'xian'ren'wu
我的传奇,wo'de'chuan'qi
卧虎藏龙,wo'hu'cang'long
我可以哭吗,wo'ke'yi'ku'ma
我女朋友的男朋友,wo'nv'peng'you'de'nan'peng'you
我在政府部门的日子,wo'zai'zheng'fu'bu'men'de'ri'zi
无国界行动,wu'guo'jie'xing'dong
五路追杀令,wu'lu'zhui'sha'ling
戏变幻王,xi'bian'huan'wang
香港姐妹,xiang'gang'jie'mei
小鬼上路,xiao'gui'shang'lu
小女妙探南茜,xiao'nv'miao'tan'nan'qian
辛普森一家,xin'pu'sen'yi'jia
信箱,xin'xiang
心想事成,xin'xiang'shi'cheng
新扎师妹,xin'zha'shi'mei
新忠烈图,xin'zhong'lie'tu
心中有鬼,xin'zhong'you'gui
星辰情缘,xing'chen'qing'yuan
刑房,xing'fang
性感尤物,xing'gan'you'wu
醒狮,xing'shi
血防线,xue'fang'xian
学门徒,xue'men'tu
血有多浓,xue'you'duo'nong
寻找梦奇地,xun'zhao'meng'qi'di
夜空,ye'kong
夜幕,ye'mu
夜上海,ye'shang'hai
一番街的奇迹,yi'fan'jie'de'qi'ji
一公升的眼泪,yi'gong'sheng'de'yan'lei
一楼一鬼,yi'lou'yi'gui
一球成名,yi'qiu'cheng'ming
一石二鸟,yi'shi'er'niao
一夜大肚,yi'ye'da'du
因祸得福,yin'huo'de'fu
樱桃汁,ying'tao'zhi
佣兵传奇,yong'bing'chuan'qi
预见未来,yu'jian'wei'lai
缘来自有机,yuan'lai'zi'you'ji
原凶毕露,yuan'xiong'bi'lu
跃动青春,yue'dong'qing'chun
战神再现,zhan'shen'zai'xian
真假毒贩闯狱门,zhen'jia'du'fan'chuang'yu'men
征服者,zheng'fu'zhe
正义前锋,zheng'yi'qian'feng
致命报应,zhi'ming'bao'ying
蜘蛛侠,zhi'zhu'xia
中国近卫军,zhong'guo'jin'wei'jun
终极保镖,zhong'ji'bao'biao
终棘警探,zhong'ji'jing'tan
终极杀阵,zhong'ji'sha'zhen
中天,zhong'tian
追爱总动员,zhui'ai'zong'dong'yuan
追捕,zhui'bu
捉放爱,zhuo'fang'ai
最后的兵团,zui'hou'de'bing'tuan
最近有点烦,zui'jin'you'dian'fan
最强罗曼史,zui'qiang'luo'man'shi
