按揭,an'jie
国内税收,guo'nei'shui'shou
国内税收法规,guo'nei'shui'shou'fa'gui
国有土地使用权,guo'you'tu'di'shi'yong'quan
行业,hang'ye
合并,he'bing
合并财务报表,he'bing'cai'wu'bao'biao
合伙,he'huo
合营企业,he'ying'qi'ye
合资企业,he'zi'qi'ye
后进先出,hou'jin'xian'chu
后进先出法清算,hou'jin'xian'chu'fa'qing'suan
后进先出法一致性规则,hou'jin'xian'chu'fa'yi'zhi'xing'gui'ze
后进先出法准备,hou'jin'xian'chu'fa'zhun'bei
后台部门,hou'tai'bu'men
护盘,hu'pan
坏账,huai'zhang
坏账准备,huai'zhang'zhun'bei
换手率,huan'shou'lv
回报,hui'bao
回报率,hui'bao'lv
回档,hui'dang
回购,hui'gou
回购协议,hui'gou'xie'yi
汇率,hui'lv
混合证券,hun'he'zheng'quan
获利能力,huo'li'neng'li
获利能力比率,huo'li'neng'li'bi'lv
或有负债,huo'you'fu'zhai
或有事项,huo'you'shi'xiang
或有收益,huo'you'shou'yi
或有损失,huo'you'sun'shi
基本按金要求,ji'ben'an'jin'yao'qiu
基本每股盈利,ji'ben'mei'gu'ying'li
基点,ji'dian
即定供款养老金方案,ji'ding'gong'kuan'yang'lao'jin'fang'an
即定收益养老金方案,ji'ding'shou'yi'yang'lao'jin'fang'an
机构投资者,ji'gou'tou'zi'zhe
计价基础,ji'jia'ji'chu
即将到期的长期负债,ji'jiang'dao'qi'de'chang'qi'fu'zhai
计量理论,ji'liang'li'lun
即日买卖,ji'ri'mai'mai
即日鲜,ji'ri'xian
技术陈旧,ji'shu'chen'jiu
技术性违约,ji'shu'xing'wei'yue
寄销品,ji'xiao'pin
价格收益比,jia'ge'shou'yi'bi
价内,jia'nei
加速成本回收法修正系统,jia'su'cheng'ben'hui'shou'fa'xiu'zheng'xi'tong
加速折旧法,jia'su'zhe'jiu'fa
建仓,jian'cang
减低标价,jian'di'biao'jia
间接法,jian'jie'fa
建筑业,jian'zhu'ye
交割,jiao'ge
交通运输业,jiao'tong'yun'shu'ye
交投量,jiao'tou'liang
交易成本,jiao'yi'cheng'ben
交易范围,jiao'yi'fan'wei
交易员,jiao'yi'yuan
交易证券,jiao'yi'zheng'quan
教育费附加,jiao'yu'fei'fu'jia
结算日期,jie'suan'ri'qi
金融保险业,jin'rong'bao'xian'ye
金融工具,jin'rong'gong'ju
金融期货,jin'rong'qi'huo
经常性交易,jing'chang'xing'jiao'yi
经济个体假定,jing'ji'ge'ti'jia'ding
经济价值增加,jing'ji'jia'zhi'zeng'jia
经纪人,jing'ji'ren
经纪商,jing'ji'shang
净赊销值,jing'she'xiao'zhi
净收益,jing'shou'yi
精算,jing'suan
精算师,jing'suan'shi
经营产生的现金流量,jing'ying'chan'sheng'de'xian'jin'liu'liang
经营活动,jing'ying'huo'dong
经营业绩,jing'ying'ye'ji
净营业收入,jing'ying'ye'shou'ru
经营租赁,jing'ying'zu'lin
净账面价值,jing'zhang'mian'jia'zhi
净资产,jing'zi'chan
净资产收益率,jing'zi'chan'shou'yi'lv
均价,jun'jia
开放指令,kai'fang'zhi'ling
开盘,kai'pan
开盘价,kai'pan'jia
客户指令,ke'hu'zhi'ling
可实现净值,ke'shi'xian'jing'zhi
可转换债券,ke'zhuan'huan'zhai'quan
空仓,kong'cang
空翻多,kong'fan'duo
控股公司,kong'gu'gong'si
控股权益,kong'gu'quan'yi
空头陷阱,kong'tou'xian'jing
库存股票,ku'cun'gu'piao
库存品,ku'cun'pin
跨国公司,kua'guo'gong'si
跨期税款分摊,kua'qi'shui'kuan'fen'tan
会计等式,kuai'ji'deng'shi
会计年度,kuai'ji'nian'du
会计期假设,kuai'ji'qi'jia'she
会计期间,kuai'ji'qi'jian
亏损,kui'sun
蓝筹公司,lan'chou'gong'si
劳务成本,lao'wu'cheng'ben
累积优先股,lei'ji'you'xian'gu
累计折旧,lei'ji'zhe'jiu
累积折旧,lei'ji'zhe'jiu
离岸货价,li'an'huo'jia
利多,li'duo
利空,li'kong
利率下限,li'lv'xia'xian
利润,li'run
利润分配,li'run'fen'pei
历史成本,li'shi'cheng'ben
利息,li'xi
利息保障倍数,li'xi'bao'zhang'bei'shu
利息保障比率,li'xi'bao'zhang'bi'lv
联名户口,lian'ming'hu'kou
连续性,lian'xu'xing
量比,liang'bi
零售公司,ling'shou'gong'si
留存收益,liu'cun'shou'yi
留存收益表,liu'cun'shou'yi'biao
留存收益分配,liu'cun'shou'yi'fen'pei
流动比率,liu'dong'bi'lv
流动负债,liu'dong'fu'zhai
流动性,liu'dong'xing
流动资产,liu'dong'zi'chan
买空,mai'kong
卖空,mai'kong
买卖差价,mai'mai'cha'jia
买盘,mai'pan
卖盘,mai'pan
买压,mai'ya
卖压,mai'ya
毛利,mao'li
每股利润,mei'gu'li'run
每股收益,mei'gu'shou'yi
每股盈利,mei'gu'ying'li
美式期权,mei'shi'qi'quan
秘密准备,mi'mi'zhun'bei
面值,mian'zhi
母公司,mu'gong'si
纳税,na'shui
内部筹资,nei'bu'chou'zi
内部控制系统,nei'bu'kong'zhi'xi'tong
内幕消息,nei'mu'xiao'xi
内盘,nei'pan
年报,nian'bao
年金,nian'jin
年金期间,nian'jin'qi'jian
年数总和法,nian'shu'zong'he'fa
牛市,niu'shi
欧式期权,ou'shi'qi'quan
派息,pai'xi
盘档,pan'dang
盘整,pan'zheng
配比原则,pei'bi'yuan'ze
配股,pei'gu
骗线,pian'xian
票面利率,piao'mian'li'lv
平仓,ping'cang
平价,ping'jia
平开,ping'kai
普通股,pu'tong'gu
普通股股利,pu'tong'gu'gu'li
普通交易,pu'tong'jiao'yi
普通收入杠杆,pu'tong'shou'ru'gang'gan
期货,qi'huo
期货合同,qi'huo'he'tong
期权,qi'quan
契税,qi'shui
其他货币资金,qi'ta'huo'bi'zi'jin
其它收益和亏损,qi'ta'shou'yi'he'kui'sun
其他业务收入,qi'ta'ye'wu'shou'ru
其他业务支出,qi'ta'ye'wu'zhi'chu
其他应付款,qi'ta'ying'fu'kuan
其他应交款,qi'ta'ying'jiao'kuan
其他应收款,qi'ta'ying'shou'kuan
企业合并,qi'ye'he'bing
企业兼并,qi'ye'jian'bing
企业内部责任,qi'ye'nei'bu'ze'ren
企业所得税,qi'ye'suo'de'shui
起运点交货,qi'yun'dian'jiao'huo
前期调整数,qian'qi'tiao'zheng'shu
牵头包销商,qian'tou'bao'xiao'shang
抢帽子,qiang'mao'zi
清算,qing'suan
权益比率,quan'yi'bi'lv
权益法,quan'yi'fa
权益投资,quan'yi'tou'zi
权责发生制会计,quan'ze'fa'sheng'zhi'kuai'ji
确认收益或损失,que'ren'shou'yi'huo'sun'shi
热门股,re'men'gu
热钱,re'qian
认购期权,ren'gou'qi'quan
认股权证,ren'gu'quan'zheng
认股证,ren'gu'zheng
人力资源,ren'li'zi'yuan
融资杠杆净资产收益率,rong'zi'gang'gan'jing'zi'chan'shou'yi'lv
融资活动,rong'zi'huo'dong
融资能力,rong'zi'neng'li
散户,san'hu
商号,shang'hao
商品进销差价,shang'pin'jin'xiao'cha'jia
商品盘存,shang'pin'pan'cun
上市公司,shang'shi'gong'si
上市股票,shang'shi'gu'piao
商业票据,shang'ye'piao'ju
商誉,shang'yu
折耗,she'hao
赊销百分比法,she'xiao'bai'fen'bi'fa
审计,shen'ji
审计报告,shen'ji'bao'gao
审计委员会,shen'ji'wei'yuan'hui
审计意见,shen'ji'yi'jian
生产成本,sheng'chan'cheng'ben
生产能力,sheng'chan'neng'li
生产效率,sheng'chan'xiao'lv
市场份额,shi'chang'fen'e
市场价格,shi'chang'jia'ge
实多,shi'duo
实际利率,shi'ji'li'lv
实际利息法,shi'ji'li'xi'fa
市价,shi'jia
市价盘,shi'jia'pan
市价与账面值比率,shi'jia'yu'zhang'mian'zhi'bi'lv
实缴资本,shi'jiao'zi'ben
实收资本,shi'shou'zi'ben
实物陈旧,shi'wu'chen'jiu
市盈率,shi'ying'lv
使用年限,shi'yong'nian'xian
市值,shi'zhi
首次公开招股,shou'ci'gong'kai'zhao'gu
收购,shou'gou
收购后费用,shou'gou'hou'fei'yong
收盘,shou'pan
收盘价,shou'pan'jia
授权股本,shou'quan'gu'ben
收入确认,shou'ru'que'ren
受托代销商品,shou'tuo'dai'xiao'shang'pin
收益,shou'yi
收益质量,shou'yi'zhi'liang
输出市场,shu'chu'shi'chang
赎回,shu'hui
双倍余额递减法,shuang'bei'yu'e'di'jian'fa
双重征税,shuang'chong'zheng'shui
税后净额,shui'hou'jing'e
税款抵扣,shui'kuan'di'kou
税率,shui'lv
税票,shui'piao
税务会计,shui'wu'kuai'ji
税务申报,shui'wu'shen'bao
税种,shui'zhong
死多头,si'duo'tou
死空头,si'kong'tou
私人公司,si'ren'gong'si
送红股,song'hong'gu
速动比率,su'dong'bi'lv
碎股,sui'gu
损益表,sun'yi'biao
所得税,suo'de'shui
所得税期内分摊,suo'de'shui'qi'nei'fen'tan
所有者权益,suo'you'zhe'quan'yi
踏空,ta'kong
抬轿,tai'jiao
摊薄,tan'bao
摊薄后每股盈利,tan'bao'hou'mei'gu'ying'li
摊薄证券,tan'bao'zheng'quan
摊销,tan'xiao
套戥,tao'deng
套戥者,tao'deng'zhe
套牢,tao'lao
套期保值,tao'qi'bao'zhi
提前赎回条款,ti'qian'shu'hui'tiao'kuan
填权,tian'quan
跳空,tiao'kong
跳水,tiao'shui
贴权,tie'quan
贴现率,tie'xian'lv
停板,ting'ban
通货膨胀,tong'huo'peng'zhang
投机者,tou'ji'zhe
投入市场,tou'ru'shi'chang
投资产生的现金流量,tou'zi'chan'sheng'de'xian'jin'liu'liang
投资回报率,tou'zi'hui'bao'lv
投资活动,tou'zi'huo'dong
投资收益,tou'zi'shou'yi
投资银行,tou'zi'yin'hang
投资组合,tou'zi'zu'he
土地增值税,tu'di'zeng'zhi'shui
退股,tui'gu
退休后成本,tui'xiu'hou'cheng'ben
托管人,tuo'guan'ren
外部融资,wai'bu'rong'zi
外盘,wai'pan
委比,wei'bi
维持按金,wei'chi'an'jin
未获收入,wei'huo'shou'ru
未平仓合约,wei'ping'cang'he'yue
未清账户,wei'qing'zhang'hu
未确认融资费用,wei'que'ren'rong'zi'fei'yong
未实现收入或损失,wei'shi'xian'shou'ru'huo'sun'shi
委托贷款,wei'tuo'dai'kuan
委托代销商品,wei'tuo'dai'xiao'shang'pin
委托加工物资,wei'tuo'jia'gong'wu'zi
未完成指令,wei'wan'cheng'zhi'ling
维修费用,wei'xiu'fei'yong
违约,wei'yue
文化体育业,wen'hua'ti'yu'ye
稳健,wen'jian
无保留意见,wu'bao'liu'yi'jian
无担保票据,wu'dan'bao'piao'ju
无风险回报,wu'feng'xian'hui'bao
物料盘存,wu'liao'pan'cun
无形资产,wu'xing'zi'chan
无形资产减值准备,wu'xing'zi'chan'jian'zhi'zhun'bei
物资采购,wu'zi'cai'gou
洗盘,xi'pan
先导指标,xian'dao'zhi'biao
现货市场,xian'huo'shi'chang
现金,xian'jin
现金等价物,xian'jin'deng'jia'wu
现金管理,xian'jin'guan'li
现金流,xian'jin'liu
现金流量表,xian'jin'liu'liang'biao
现金流量法,xian'jin'liu'liang'fa
先进先出法,xian'jin'xian'chu'fa
现金项目,xian'jin'xiang'mu
现金折扣,xian'jin'zhe'kou
现手,xian'shou
现行成本,xian'xing'cheng'ben
现值,xian'zhi
消费税,xiao'fei'shui
小规模纳税人,xiao'gui'mo'na'shui'ren
销货成本,xiao'huo'cheng'ben
销售不动产,xiao'shou'bu'dong'chan
销售净额,xiao'shou'jing'e
销售利润率,xiao'shou'li'run'lv
销售退回,xiao'shou'tui'hui
销售增长,xiao'shou'zeng'zhang
信用程度,xin'yong'cheng'du
信用评级,xin'yong'ping'ji
信用条件,xin'yong'tiao'jian
信用限额,xin'yong'xian'e
行使价,xing'shi'jia
行政花费,xing'zheng'hua'fei
熊市,xiong'shi
养老金,yang'lao'jin
一般会计原则,yi'ban'kuai'ji'yuan'ze
一般纳税人,yi'ban'na'shui'ren
已归还投资,yi'gui'huan'tou'zi
溢价发行,yi'jia'fa'xing
以旧换新,yi'jiu'huan'xin
以前年度损益调整,yi'qian'nian'du'sun'yi'tiao'zheng
已实现收益或损失,yi'shi'xian'shou'yi'huo'sun'shi
一手,yi'shou
阴跌,yin'die
银行存款,yin'hang'cun'kuan
银行对账单,yin'hang'dui'zhang'dan
印花税,yin'hua'shui
应付抵押款,ying'fu'di'ya'kuan
应付福利费,ying'fu'fu'li'fei
应付工资,ying'fu'gong'zi
应付股利,ying'fu'gu'li
应付款项,ying'fu'kuan'xiang
应付票据,ying'fu'piao'ju
应付税金,ying'fu'shui'jin
应付债券,ying'fu'zhai'quan
应付债券溢价,ying'fu'zhai'quan'yi'jia
应付债券折价,ying'fu'zhai'quan'zhe'jia
应付账款,ying'fu'zhang'kuan
应付账款周转,ying'fu'zhang'kuan'zhou'zhuan
应计项目,ying'ji'xiang'mu
盈利,ying'li
盈利能力,ying'li'neng'li
应收补贴款,ying'shou'bu'tie'kuan
应收股利,ying'shou'gu'li
应收利息,ying'shou'li'xi
应收票据,ying'shou'piao'ju
应收账款,ying'shou'zhang'kuan
应收账款周转,ying'shou'zhang'kuan'zhou'zhuan
应税收入,ying'shui'shou'ru
营业费用,ying'ye'fei'yong
营业毛利,ying'ye'mao'li
营业日,ying'ye'ri
营业收入,ying'ye'shou'ru
营业收益,ying'ye'shou'yi
营业税,ying'ye'shui
营业外收入,ying'ye'wai'shou'ru
营业外项目,ying'ye'wai'xiang'mu
营业外支出,ying'ye'wai'zhi'chu
营业周期,ying'ye'zhou'qi
盈余公积,ying'yu'gong'ji
营运资金,ying'yun'zi'jin
佣金,yong'jin
永续法,yong'xu'fa
有担保票据,you'dan'bao'piao'ju
诱多,you'duo
优惠利率,you'hui'li'lv
有价证券,you'jia'zheng'quan
诱空,you'kong
优先股,you'xian'gu
优先股权,you'xian'gu'quan
邮政通信业,you'zheng'tong'xin'ye
预付款,yu'fu'kuan
预付账款,yu'fu'zhang'kuan
预计负债,yu'ji'fu'zhai
预收账款,yu'shou'zhang'kuan
预提费用,yu'ti'fei'yong
原材料,yuan'cai'liao
原始成本,yuan'shi'cheng'ben
约束性规定,yue'shu'xing'gui'ding
运费已付,yun'fei'yi'fu
再筹资,zai'chou'zi
在建工程,zai'jian'gong'cheng
在建工程减值准备,zai'jian'gong'cheng'jian'zhi'zhun'bei
在途商品,zai'tu'shang'pin
在途运输,zai'tu'yun'shu
增值税,zeng'zhi'shui
债券,zhai'quan
债券契约,zhai'quan'qi'yue
债权人,zhai'quan'ren
债权性投资,zhai'quan'xing'tou'zi
债务,zhai'wu
债务契约,zhai'wu'qi'yue
债务清偿,zhai'wu'qing'chang
斩仓,zhan'cang
账龄分析表,zhang'ling'fen'xi'biao
账面价值,zhang'mian'jia'zhi
账面利润,zhang'mian'li'run
账面收益,zhang'mian'shou'yi
账面损失,zhang'mian'sun'shi
涨停,zhang'ting
招股说明书,zhao'gu'shuo'ming'shu
折旧,zhe'jiu
折旧费用,zhe'jiu'fei'yong
折旧系数,zhe'jiu'xi'shu
折扣率,zhe'kou'lv
政府会计,zheng'fu'kuai'ji
证券,zheng'quan
证券及期货,zheng'quan'ji'qi'huo
直接注销法,zhi'jie'zhu'xiao'fa
止蚀,zhi'shi
止蚀盘,zhi'shi'pan
直线法,zhi'xian'fa
制造费用,zhi'zao'fei'yong
制造公司,zhi'zao'gong'si
止赚,zhi'zhuan
止赚盘,zhi'zhuan'pan
中期国库券,zhong'qi'guo'ku'quan
重要性,zhong'yao'xing
周转资金,zhou'zhuan'zi'jin
注册股份,zhu'ce'gu'fen
注册会计师,zhu'ce'kuai'ji'shi
主要经办人,zhu'yao'jing'ban'ren
主营业务成本,zhu'ying'ye'wu'cheng'ben
主营业务收入,zhu'ying'ye'wu'shou'ru
主营业务税金及附加,zhu'ying'ye'wu'shui'jin'ji'fu'jia
专利,zhuan'li
转配股,zhuan'pei'gu
转让无形资产,zhuan'rang'wu'xing'zi'chan
专项应付款,zhuan'xiang'ying'fu'kuan
转增股,zhuan'zeng'gu
追补按金,zhui'bu'an'jin
准备成本,zhun'bei'cheng'ben
准备业务部门,zhun'bei'ye'wu'bu'men
资本比率,zi'ben'bi'lv
资本负债,zi'ben'fu'zhai
资本公积,zi'ben'gong'ji
资本化,zi'ben'hua
资本结构,zi'ben'jie'gou
资本结构杠杆,zi'ben'jie'gou'gang'gan
资本净值,zi'ben'jing'zhi
资本市值,zi'ben'shi'zhi
资本租赁,zi'ben'zu'lin
资产,zi'chan
资产报酬率,zi'chan'bao'chou'lv
资产报废,zi'chan'bao'fei
资产负债表,zi'chan'fu'zhai'biao
资产负债表外融资,zi'chan'fu'zhai'biao'wai'rong'zi
资产净值,zi'chan'jing'zhi
资产清理,zi'chan'qing'li
资产折旧范围,zi'chan'zhe'jiu'fan'wei
资产周转率,zi'chan'zhou'zhuan'lv
子公司,zi'gong'si
资金成本,zi'jin'cheng'ben
自然资源成本,zi'ran'zi'yuan'cheng'ben
自制半成品,zi'zhi'ban'cheng'pin
组织形式,zu'zhi'xing'shi
最后交易日,zui'hou'jiao'yi'ri
坐轿,zuo'jiao
作业比率,zuo'ye'bi'lv
作业方法,zuo'ye'fang'fa
