白虎猖狂,bai'hu'chang'kuang
小蛇化龙,xiao'she'hua'long
辛丑,xin'chou
辛亥,xin'hai
辛卯,xin'mao
辛已,xin'yi
辛酉,xin'you
刑格返名,xing'ge'fan'ming
星门入墓,xing'men'ru'mu
星奇入太阴,xing'qi'ru'tai'yin
星奇朱雀,xing'qi'zhu'que
星随月转,xing'sui'yue'zhuan
凶格,xiong'ge
凶蛇人狱,xiong'she'ren'yu
休门,xiu'men
戌土,xu'tu
玄武,xuan'wu
巽宫,xun'gong
巽四宫,xun'si'gong
乙亥,yi'hai
乙卯,yi'mao
乙奇,yi'qi
乙未,yi'wei
乙已,yi'yi
乙酉,yi'you
淫荡之合,yin'dang'zhi'he
阴害阳门,yin'hai'yang'men
寅木,yin'mu
应期,ying'qi
荧入太白,ying'ru'tai'bai
游魂入墓,you'hun'ru'mu
酉金,you'jin
幼女奸淫,you'nv'jian'yin
玉女守门,yu'nv'shou'men
狱神得奇,yu'shen'de'qi
远信必至,yuan'xin'bi'zhi
月奇悖师,yue'qi'bei'shi
云遁,yun'dun
战格,zhan'ge
震宫,zhen'gong
震三宫,zhen'san'gong
值符,zhi'fu
值符飞宫,zhi'fu'fei'gong
置闰,zhi'run
朱雀入墓,zhu'que'ru'mu
朱雀入狱,zhu'que'ru'yu
朱雀投江,zhu'que'tou'jiang
子水,zi'shui
