暗刻,an'ke
刘建平,liu'jian'ping
刘松年,liu'song'nian
刘希任,liu'xi'ren
刘雨岑,liu'yu'cen
刘仲卿,liu'zhong'qing
龙泉窑,long'quan'yao
陆机,lu'ji
炉钧,lu'jun
陆奇南,lu'qi'nan
露胎,lu'tai
陆探微,lu'tan'wei
陆云山,lu'yun'shan
萝卜尊,luo'bo'zun
裸烧,luo'shao
绿度母,lv'du'mu
吕纪,lv'ji
率题,lv'ti
吕尧臣,lv'yao'chen
绿釉,lv'you
马麟,ma'lin
马蹄尊,ma'ti'zun
马远,ma'yuan
漫笔,man'bi
曼生壶,man'sheng'hu
漫涂,man'tu
芒口瓷,mang'kou'ci
毛边,mao'bian
毛国强,mao'guo'qiang
毛口,mao'kou
没骨画,mei'gu'hua
梅壑散人,mei'he'san'ren
米芾,mi'fu
米黻,mi'fu
秘色釉瓷,mi'se'you'ci
米友仁,mi'you'ren
描金,miao'jin
妙品,miao'pin
命纸,ming'zhi
磨底,mo'di
抹红釉,mo'hong'you
磨口,mo'kou
磨款,mo'kuan
摩崖,mo'ya
南村,nan'cun
南田,nan'tian
内绘,nei'hui
能品,neng'pin
倪元镇,ni'yuan'zhen
倪瓒,ni'zan
宁波窑,ning'bo'yao
牛头尊,niu'tou'zun
欧阳询,ou'yang'xun
瓯窑,ou'yao
潘持平,pan'chi'ping
盘口壶,pan'kou'hu
潘陶宇,pan'tao'yu
潘庸秉,pan'yong'bing
配盖,pei'gai
裴石民,pei'shi'min
配腿,pei'tui
片法纹,pian'fa'wen
片纹,pian'wen
缥色釉,piao'se'you
撇口大瓶,pie'kou'da'ping
平等青,ping'deng'qing
苹果尊,ping'guo'zun
破云樵者,po'yun'qiao'zhe
铺耳,pu'er
浦江窑,pu'jiang'yao
漆彩画,qi'cai'hua
漆画,qi'hua
契文,qi'wen
器型,qi'xing
浅腹,qian'fu
浅降彩,qian'jiang'cai
钱选,qian'xuan
茄皮紫釉,qie'pi'zi'you
秦篆,qin'zhuan
青白釉,qing'bai'you
青花料,qing'hua'liao
清览,qing'lan
清品,qing'pin
清属,qing'shu
青釉,qing'you
清正,qing'zheng
仇英,qiu'ying
曲流,qu'liu
曲圈,qu'quan
曲足炉,qu'zu'lu
圈口,quan'kou
缺碴,que'cha
燃料,ran'liao
让局,rang'ju
任淦庭,ren'gan'ting
任熊,ren'xiong
任薰,ren'xun
任预,ren'yu
洒蓝施,sa'lan'shi
三品,san'pin
僧帽壶,seng'mao'hu
砂胎,sha'tai
砂足器,sha'zu'qi
珊瑚红釉,shan'hu'hong'you
鳝鱼黄釉,shan'yu'huang'you
伤釉,shang'you
上虞窑,shang'yu'yao
烧成,shao'cheng
烧成温度,shao'cheng'wen'du
邵大亨,shao'da'heng
绍兴窑,shao'xing'yao
邵毓芬,shao'yu'fen
沈汉生,shen'han'sheng
沈巨华,shen'ju'hua
神品,shen'pin
渗碳,shen'tan
沈周,shen'zhou
生蜡,sheng'la
时大彬,shi'da'bin
石道人,shi'dao'ren
时幻影,shi'huan'ying
失亮,shi'liang
石榴尊,shi'liu'zun
石师道人,shi'shi'dao'ren
诗堂,shi'tang
石涛,shi'tao
施小马,shi'xiao'ma
石英,shi'ying
石宇初,shi'yu'chu
石子青,shi'zi'qing
手笔,shou'bi
瘦金体,shou'jin'ti
手拉胚,shou'la'pei
寿州窑,shou'zhou'yao
属粲,shu'can
书丹,shu'dan
束旦生,shu'dan'sheng
束凤英,shu'feng'ying
束颈,shu'jing
双圈足,shuang'quan'zu
水碱,shui'jian
水锈,shui'xiu
思白,si'bai
四号井,si'hao'jing
四系罐,si'xi'guan
松石绿釉,song'shi'lv'you
松雪道人,song'xue'dao'ren
苏东坡,su'dong'po
苏汉臣,su'han'chen
苏麻离青,su'ma'li'qing
苏泥勃青,su'ni'bo'qing
素烧,su'shao
苏轼,su'shi
宿州窑,su'zhou'yao
蒜头瓶,suan'tou'ping
随笔,sui'bi
岁寒三友图,sui'han'san'you'tu
孙克弘,sun'ke'hong
孙逸,sun'yi
索靖,suo'jing
缩釉,suo'you
拓片,ta'pian
太白尊,tai'bai'zun
钛黄,tai'huang
泰顺窑,tai'shun'yao
谭泉海,tan'quan'hai
唐伯虎,tang'bo'hu
唐寅,tang'yin
套烧,tao'shao
特赠,te'zeng
题跋,ti'ba
题记,ti'ji
题句,ti'ju
提梁壶,ti'liang'hu
题识,ti'shi
题赞,ti'zan
甜白釉,tian'bai'you
田鹤仙,tian'he'xian
天蓝釉,tian'lan'you
天门四杰,tian'men'si'jie
天青釉,tian'qing'you
天球瓶,tian'qiu'ping
天字罐,tian'zi'guan
铁足,tie'zu
兔毫釉,tu'hao'you
吐黑,tu'hei
涂菊亭,tu'ju'ting
土蚀,tu'shi
唾壶,tuo'hu
拖尾,tuo'wei
脱釉,tuo'you
挖足,wa'zu
碗心,wan'xin
万云岩,wan'yun'yan
王步,wang'bu
汪大沧,wang'da'cang
王大凡,wang'da'fan
王绂,wang'fu
王桂芬,wang'gui'fen
王翚,wang'hui
王鉴,wang'jian
王蒙,wang'meng
王琦,wang'qi
王僧虔,wang'seng'qian
汪少平,wang'shao'ping
王石耕,wang'shi'geng
王石谷,wang'shi'gu
王时敏,wang'shi'min
王叔明,wang'shu'ming
王微,wang'wei
王维,wang'wei
王希孟,wang'xi'meng
王羲之,wang'xi'zhi
王献之,wang'xian'zhi
汪晓棠,wang'xiao'tang
汪小亭,wang'xiao'ting
王珣,wang'xun
汪野亭,wang'ye'ting
王寅春,wang'yin'chun
汪寅仙,wang'yin'xian
王原祁,wang'yuan'qi
王云泉,wang'yun'quan
汪之端,wang'zhi'duan
微侈,wei'chi
韦诞,wei'dan
卫恒,wei'heng
卫铄,wei'shuo
卫协,wei'xie
魏志云,wei'zhi'yun
文壁,wen'bi
文衡山,wen'heng'shan
文进,wen'jin
文彭,wen'peng
文同,wen'tong
文征明,wen'zheng'ming
倭角,wo'jiao
卧足,wo'zu
卧足碗,wo'zu'wan
吴霭生,wu'ai'sheng
吴大澂,wu'da'cheng
吴大澄,wu'da'cheng
无档尊,wu'dang'zun
吴道子,wu'dao'zi
吴宏,wu'hong
芜湖东门渡窑,wu'hu'dong'men'du'yao
焐灰,wu'hui
吴历,wu'li
屋漏痕,wu'lou'hen
吴门画派,wu'men'hua'pai
吴鸣,wu'ming
吴群祥,wu'qun'xiang
吾师,wu'shi
吴伟,wu'wei
吴小仙,wu'xiao'xian
吴亚平,wu'ya'ping
武义窑,wu'yi'yao
吴云根,wu'yun'gen
吴镇,wu'zhen
吴震,wu'zhen
吴仲圭,wu'zhong'gui
洗口瓶,xi'kou'ping
西庐老人,xi'lu'lao'ren
细密画,xi'mi'hua
戏墨,xi'mo
戏书,xi'shu
戏题,xi'ti
匣钵单烧,xia'bo'dan'shao
夏圭,xia'gui
贤契,xian'qi
弦纹,xian'wen
咸仲英,xian'zhong'ying
湘碧,xiang'bi
香光居士,xiang'guang'ju'shi
镶金属口,xiang'jin'shu'kou
镶身筒,xiang'shen'tong
象生瓷,xiang'sheng'ci
象腿瓶,xiang'tui'ping
象牙白釉,xiang'ya'bai'you
镶嘴流,xiang'zui'liu
笑存,xiao'cun
笑鉴,xiao'jian
小口折肩罐,xiao'kou'zhe'jian'guan
萧山窑,xiao'shan'yao
萧县窑,xiao'xian'yao
笑笑,xiao'xiao
萧绎,xiao'yi
写奉,xie'feng
谢赫,xie'he
谢曼伦,xie'man'lun
谢荪,xie'sun
写祝,xie'zhu
新仿,xin'fang
新罗山人,xin'luo'shan'ren
行乐图,xing'le'tu
熊梦麟,xiong'meng'lin
休宁岩前窑,xiu'ning'yan'qian'yao
修足,xiu'zu
许成权,xu'cheng'quan
徐达明,xu'da'ming
徐汉棠,xu'han'tang
徐顺元,xu'shun'yuan
许四海,xu'si'hai
徐天梅,xu'tian'mei
徐渭,xu'wei
徐维明,xu'wei'ming
徐文清,xu'wen'qing
徐新妹,xu'xin'mei
徐秀棠,xu'xiu'tang
许艳春,xu'yan'chun
徐仲南,xu'zhong'nan
玄宰,xuan'zai
雪个,xue'ge
薛稷,xue'ji
熏炉,xun'lu
逊之,xun'zhi
雅存,ya'cun
轧道,ya'dao
雅鉴,ya'jian
雅教,ya'jiao
轧口,ya'kou
雅赏,ya'shang
压手杯,ya'shou'bei
雅属,ya'shu
雅正,ya'zheng
燕带,yan'dai
烟客,yan'ke
阎立本,yan'li'ben
燕文贵,yan'wen'gui
烟熏,yan'xun
颜真卿,yan'zhen'qing
胭脂红,yan'zhi'hong
胭脂水釉,yan'zhi'shui'you
杨凤年,yang'feng'nian
杨海生,yang'hai'sheng
氧化气氛,yang'hua'qi'fen
杨彭年,yang'peng'nian
羊欣,yang'xin
扬州八怪,yang'zhou'ba'guai
杨子华,yang'zi'hua
窑变釉,yao'bian'you
窑封,yao'feng
窑汗,yao'han
窑裂,yao'lie
窑伤,yao'shang
窑粘,yao'zhan
姚志源,yao'zhi'yuan
叶欣,ye'xin
叶震嘉,ye'zhen'jia
一粲,yi'can
意存笔先,yi'cun'bi'xian
宜钧,yi'jun
逸少,yi'shao
因是僧,yin'shi'seng
鄞县窑,yin'xian'yao
瘿瓢子,ying'piao'zi
影青,ying'qing
婴戏纹,ying'xi'wen
永康窑,yong'kang'yao
油滴釉,you'di'you
釉果,you'guo
釉灰,you'hui
釉泡,you'pao
釉色,you'se
釉上,you'shang
釉烧,you'shao
釉石,you'shi
釉下,you'xia
余翰青,yu'han'qing
余杭窑,yu'hang'yao
玉壶春瓶,yu'hu'chun'ping
渔家乐图,yu'jia'le'tu
鱼龙变化,yu'long'bian'hua
鱼篓尊,yu'lou'zun
虞山派,yu'shan'pai
虞世南,yu'shi'nan
御题诗,yu'ti'shi
余文襄,yu'wen'xiang
余姚窑,yu'yao'yao
鱼藻纹,yu'zao'wen
玉著篆,yu'zhu'zhuan
袁江,yuan'jiang
院体画,yuan'ti'hua
元照,yuan'zhao
乐清窑,yue'qing'yao
越窑,yue'yao
云和窑,yun'he'yao
恽寿平,yun'shou'ping
恽益萍,yun'yi'ping
扎带,za'dai
炸底,zha'di
渣斗,zha'dou
粘沙,zhan'sha
粘伤,zhan'shang
展子虔,zhan'zi'qian
张红华,zhang'hong'hua
章嘉若必多吉,zhang'jia'ruo'bi'duo'ji
章鉴,zhang'jian
张沛轩,zhang'pei'xuan
张庆成,zhang'qing'cheng
张僧繇,zhang'seng'yao
章仕保,zhang'shi'bao
张萱,zhang'xuan
掌眼,zhang'yan
张择端,zhang'ze'duan
张芝,zhang'zhi
张志强,zhang'zhi'qiang
张志汤,zhang'zhi'tang
赵伯驹,zhao'bo'ju
赵佶,zhao'ji
赵孟頫,zhao'meng'fu
照摹,zhao'mo
赵子昂,zhao'zi'ang
鹧鸪斑釉,zhe'gu'ban'you
折肩,zhe'jian
浙料,zhe'liao
折沿,zhe'yan
折沿盘,zhe'yan'pan
折腰碗,zhe'yao'wan
珍存,zhen'cun
郑板桥,zheng'ban'qiao
郑思肖,zheng'si'xiao
郑燮,zheng'xie
支钉,zhi'ding
执壶,zhi'hu
直颈六棱瓶,zhi'jing'liu'leng'ping
治印,zhi'yin
钟鼎文,zhong'ding'wen
重皮,zhong'pi
中秋帖,zhong'qiu'tie
钟繇,zhong'yao
周臣,zhou'chen
周定华,zhou'ding'hua
周昉,zhou'fang
粥罐,zhou'guan
周桂珍,zhou'gui'zhen
轴头,zhou'tou
籀文,zhou'wen
周文矩,zhou'wen'ju
周小松,zhou'xiao'song
周尊严,zhou'zun'yan
朱耷,zhu'da
祝京兆,zhu'jing'zhao
朱可心,zhu'ke'xin
珠明料,zhu'ming'liao
助熔剂,zhu'rong'ji
朱砂胎,zhu'sha'tai
朱石梅,zhu'shi'mei
嘱书,zhu'shu
祝允明,zhu'yun'ming
篆额,zhuan'e
壮罐,zhuang'guan
着色剂,zhuo'se'ji
自嘲,zi'chao
子冈,zi'gang
紫酱釉,zi'jiang'you
自赞,zi'zan
子瞻,zi'zhan
宗炳,zong'bing
宗喀巴,zong'ka'ba
棕眼,zong'yan
鬃眼,zong'yan
邹甫仁,zou'fu'ren
邹文侯,zou'wen'hou
邹玉芳,zou'yu'fang
邹喆,zou'zhe
足磕,zu'ke
醉笔,zui'bi
醉书,zui'shu
尊鉴,zun'jian
尊胜佛母,zun'sheng'fo'mu
做旧,zuo'jiu
佐书,zuo'shu
