阿康烧烤,a'kang'shao'kao
韩哥哥,han'ge'ge
汉堂,han'tang
汉唐餐厅,han'tang'can'ting
韩泽广,han'ze'guang
好吃佬石烧屋,hao'chi'lao'shi'shao'wu
好第坊,hao'di'fang
浩然高科技大厦,hao'ran'gao'ke'ji'da'sha
豪之味寿司店,hao'zhi'wei'shou'si'dian
和福小菜,he'fu'xiao'cai
贺林,he'lin
鹤庆路,he'qing'lu
何嗣焜,he'si'kun
何友声,he'you'sheng
洪嘉振,hong'jia'zhen
虹梅南路,hong'mei'nan'lu
后勤大楼,hou'qin'da'lou
厚珍房,hou'zhen'fang
胡钧,hu'jun
沪闵路,hu'min'lu
胡伟,hu'wei
胡卫生,hu'wei'sheng
华联生活服务中心,hua'lian'sheng'huo'fu'wu'zhong'xin
华宁路,hua'ning'lu
华坪路,hua'ping'lu
化学化工学院,hua'xue'hua'gong'xue'yuan
化学楼,hua'xue'lou
化院,hua'yuan
环境科学与工程学院,huan'jing'ke'xue'yu'gong'cheng'xue'yuan
环境楼,huan'jing'lou
环三桥,huan'san'qiao
环四桥,huan'si'qiao
环一桥,huan'yi'qiao
黄炳茹,huang'bing'ru
黄倩,huang'qian
黄震,huang'zhen
汇丰楼,hui'feng'lou
慧谷科技楼,hui'gu'ke'ji'lou
回味餐厅,hui'wei'can'ting
机动,ji'dong
吉姆利德,ji'mu'li'de
技术学院,ji'shu'xue'yuan
机械动力大楼,ji'xie'dong'li'da'lou
机械与动力工程学院,ji'xie'yu'dong'li'gong'cheng'xue'yuan
加餐券,jia'can'quan
剑川路,jian'chuan'lu
江川东路,jiang'chuan'dong'lu
江川路,jiang'chuan'lu
江川三路,jiang'chuan'san'lu
江绍基,jiang'shao'ji
江晓东,jiang'xiao'dong
交大加油站,jiao'da'jia'you'zhan
交大新村,jiao'da'xin'cun
教二楼,jiao'er'lou
教三楼,jiao'san'lou
教师活动中心,jiao'shi'huo'dong'zhong'xin
教一楼,jiao'yi'lou
交友饭店,jiao'you'fan'dian
饺子王,jiao'zi'wang
洁丰干洗,jie'feng'gan'xi
金榜六期,jin'bang'liu'qi
金榜世家,jin'bang'shi'jia
金皖饭店,jin'wan'fan'dian
景谷路,jing'gu'lu
菁菁广场,jing'jing'guang'chang
菁菁堂,jing'jing'tang
精勤路,jing'qin'lu
敬忠良,jing'zhong'liang
久久丫,jiu'jiu'ya
九洲拉面,jiu'zhou'la'mian
空天科学技术研究院,kong'tian'ke'xue'ji'shu'yan'jiu'yuan
空天科学技术研究中心,kong'tian'ke'xue'ji'shu'yan'jiu'zhong'xin
空天院,kong'tian'yuan
孔向阳,kong'xiang'yang
蓝鸟,lan'niao
兰坪路,lan'ping'lu
劳乃宣,lao'nai'xuan
老图书馆,lao'tu'shu'guan
乐是书店,le'shi'shu'dian
雷啸霖,lei'xiao'lin
里程碑广场,li'cheng'bei'guang'chang
李范一,li'fan'yi
李红泽,li'hong'ze
李家明,li'jia'ming
李建国,li'jian'guo
李建华,li'jian'hua
李杰,li'jie
李培南,li'pei'nan
力学楼,li'xue'lou
理学院,li'xue'yuan
黎照寰,li'zhao'huan
莲花南路,lian'hua'nan'lu
连琏,lian'lian
联兴楼,lian'xing'lou
廖世俊,liao'shi'jun
猎狼人,lie'lang'ren
林忠钦,lin'zhong'qin
林宗利,lin'zong'li
凌鸿勋,ling'hong'xun
刘树屏,liu'shu'ping
刘述周,liu'shu'zhou
刘廷析,liu'ting'xi
浏阳土菜馆,liu'yang'tu'cai'guan
刘亦路,liu'yi'lu
刘永坦,liu'yong'tan
留园,liu'yuan
刘允才,liu'yun'cai
龙坡路,long'po'lu
龙邵线,long'shao'xian
龙邵专线,long'shao'zhuan'xian
楼森岳,lou'sen'yue
卢炳田,lu'bing'tian
卢柯,lu'ke
陆梦熊,lu'meng'xiong
陆平,lu'ping
路庆华,lu'qing'hua
马德秀,ma'de'xiu
马红孺,ma'hong'ru
马利庄,ma'li'zhuang
马宁,ma'ning
马紫峰,ma'zi'feng
麦乡村,mai'xiang'cun
毛军发,mao'jun'fa
毛毛小菜,mao'mao'xiao'cai
毛湘土菜馆,mao'xiang'tu'cai'guan
媒设,mei'she
媒设楼,mei'she'lou
媒体与设计学院,mei'ti'yu'she'ji'xue'yuan
美蔚园,mei'wei'yuan
孟德餐厅,meng'de'can'ting
孟光,meng'guang
庙门,miao'men
闵红线,min'hong'xian
闵吴线,min'wu'xian
闵莘线,min'xin'xian
闽粤阁,min'yue'ge
牡丹园,mu'dan'yuan
南大门,nan'da'men
南嘉线,nan'jia'xian
南闵线,nan'min'xian
南闵专线,nan'min'zhuan'xian
南苏园,nan'su'yuan
南洋北路,nan'yang'bei'lu
南洋博仕欣居,nan'yang'bo'shi'xin'ju
南洋大楼,nan'yang'da'lou
南洋东路,nan'yang'dong'lu
南洋南路,nan'yang'nan'lu
南洋西路,nan'yang'xi'lu
能源楼,neng'yuan'lou
能源研究院,neng'yuan'yan'jiu'yuan
倪军,ni'jun
倪明选,ni'ming'xuan
宁光,ning'guang
农生院,nong'sheng'yuan
农业与生物学院,nong'ye'yu'sheng'wu'xue'yuan
欧琳芙丝,ou'lin'fu'si
潘国礼,pan'guo'li
潘健生,pan'jian'sheng
潘敏,pan'min
彭康,peng'kang
彭颖红,peng'ying'hong
彭志海,peng'zhi'hai
平山路,ping'shan'lu
葡澳餐厅,pu'ao'can'ting
齐鲁酒家,qi'lu'jiu'jia
七期桥,qi'qi'qiao
旗星,qi'xing
黔香阁,qian'xiang'ge
清华书店,qing'hua'shu'dian
清真餐厅,qing'zhen'can'ting
青志队,qing'zhi'dui
求实路,qiu'shi'lu
邱蔚六,qiu'wei'liu
饶芳权,rao'fang'quan
任秋实,ren'qiu'shi
人文楼,ren'wen'lou
人文桥,ren'wen'qiao
人文外语楼,ren'wen'wai'yu'lou
人文学院,ren'wen'xue'yuan
容闳堂,rong'hong'tang
如家便当,ru'jia'bian'dang
软件大楼,ruan'jian'da'lou
软件学院,ruan'jian'xue'yuan
阮雪榆,ruan'xue'yu
瑞丽路,rui'li'lu
三号门,san'hao'men
三湘缘湘沪,san'xiang'yuan'xiang'hu
沙县小吃,sha'xian'xiao'chi
上沧线,shang'cang'xian
上官文峰,shang'guan'wen'feng
商业街,shang'ye'jie
上院,shang'yuan
沈曾植,shen'ceng'zhi
沈浩,shen'hao
沈洁,shen'jie
申闵线,shen'min'xian
申闵专线,shen'min'zhuan'xian
沈天慧,shen'tian'hui
申通大楼,shen'tong'da'lou
申通广场,shen'tong'guang'chang
沈文忠,shen'wen'zhong
沈晓明,shen'xiao'ming
盛慧珍,sheng'hui'zhen
生科,sheng'ke
生命科学技术学院,sheng'ming'ke'xue'ji'shu'xue'yuan
生物药学楼,sheng'wu'yao'xue'lou
盛宣怀,sheng'xuan'huai
盛祖杭,sheng'zu'hang
市盲,shi'mang
石屏路,shi'ping'lu
十一郎日式料理,shi'yi'lang'ri'shi'liao'li
时钟,shi'zhong
叔同路,shu'tong'lu
蜀王,shu'wang
蜀香村,shu'xiang'cun
蜀乡渔庄,shu'xiang'yu'zhuang
数学楼,shu'xue'lou
数学系,shu'xue'xi
水泊梁山,shui'po'liang'shan
思春湖,si'chun'hu
思源北路,si'yuan'bei'lu
思源东路,si'yuan'dong'lu
思源湖,si'yuan'hu
思源卡社,si'yuan'ka'she
思源门,si'yuan'men
思源南路,si'yuan'nan'lu
思源西路,si'yuan'xi'lu
思源致远,si'yuan'zhi'yuan
宋怀东,song'huai'dong
松闵线,song'min'xian
苏明,su'ming
塑性成形工程系,su'xing'cheng'xing'gong'cheng'xi
苏育才,su'yu'cai
孙宝德,sun'bao'de
孙科,sun'ke
唐克轩,tang'ke'xuan
唐文治,tang'wen'zhi
桃李苑,tao'li'yuan
体育馆桥,ti'yu'guan'qiao
体育系,ti'yu'xi
天贝,tian'bei
湉宇阁,tian'yu'ge
铁生馆,tie'sheng'guan
同荣美味馆,tong'rong'mei'wei'guan
土建楼,tu'jian'lou
团改金,tuan'gai'jin
拖鞋门,tuo'xie'men
外国语学院,wai'guo'yu'xue'yuan
外院,wai'yuan
王伯群,wang'bo'qun
王德禹,wang'de'yu
汪凤藻,wang'feng'zao
王浩伟,wang'hao'wei
旺晖火锅城,wang'hui'huo'guo'cheng
王健农,wang'jian'nong
网络教育学院,wang'luo'jiao'yu'xue'yuan
王清穆,wang'qing'mu
王如竹,wang'ru'zhu
汪小帆,wang'xiao'fan
王亚光,wang'ya'guang
王振义,wang'zhen'yi
王之卓,wang'zhi'zhuo
王铸钢,wang'zhu'gang
微电子学院,wei'dian'zi'xue'yuan
微电子学院大楼,wei'dian'zi'xue'yuan'da'lou
威米龙,wei'mi'long
微纳科学技术研究院,wei'na'ke'xue'ji'shu'yan'jiu'yuan
微纳院,wei'na'yuan
危岩,wei'yan
文俊路,wen'jun'lu
文选医学大楼,wen'xuan'yi'xue'da'lou
文选医学楼,wen'xuan'yi'xue'lou
文治大道,wen'zhi'da'dao
文治堂,wen'zhi'tang
翁史烈,weng'shi'lie
吴保丰,wu'bao'feng
吴冲锋,wu'chong'feng
物理楼,wu'li'lou
物理系,wu'li'xi
五期东桥,wu'qi'dong'qiao
五期西桥,wu'qi'xi'qiao
吴有训,wu'you'xun
物资楼,wu'zi'lou
西大楼,xi'da'lou
系盲,xi'mang
西区食堂,xi'qu'shi'tang
西食,xi'shi
席裕庚,xi'yu'geng
下院,xia'yuan
湘见恨晚,xiang'jian'hen'wan
项坤三,xiang'kun'san
香辣蟹,xiang'la'xie
湘里人家,xiang'li'ren'jia
湘味居,xiang'wei'ju
湘西土菜馆,xiang'xi'tu'cai'guan
小乳羊火锅城,xiao'ru'yang'huo'guo'cheng
小王饭店,xiao'wang'fan'dian
小王家常菜,xiao'wang'jia'chang'cai
小尾羊,xiao'wei'yang
小湘阁,xiao'xiang'ge
小香舍,xiao'xiang'she
萧湘雨,xiao'xiang'yu
小叶子当家,xiao'ye'zi'dang'jia
小雨点大陷饺子馆,xiao'yu'dian'da'xian'jiao'zi'guan
谢邦治,xie'bang'zhi
谢绳武,xie'sheng'wu
谢友柏,xie'you'bai
信安,xin'an
莘奉金高速,xin'feng'jin'gao'su
莘海线,xin'hai'xian
莘海专线,xin'hai'zhuan'xian
新建楼,xin'jian'lou
新疆饭店,xin'jiang'fan'dian
新蒋家港,xin'jiang'jia'gang
新疆人特色菜,xin'jiang'ren'te'se'cai
信控楼,xin'kong'lou
新闵路,xin'min'lu
莘南线,xin'nan'xian
莘南专线,xin'nan'zhuan'xian
新上院,xin'shang'yuan
新图,xin'tu
信息安全工程学院,xin'xi'an'quan'gong'cheng'xue'yuan
新中院,xin'zhong'yuan
星光左岸,xing'guang'zuo'an
行政楼,xing'zheng'lou
徐闵线,xu'min'xian
徐闵夜宵线,xu'min'ye'xiao'xian
徐闵专线,xu'min'zhuan'xian
徐名材,xu'ming'cai
徐僖,xu'xi
许晓鸣,xu'xiao'ming
徐学敏,xu'xue'min
许迅,xu'xun
徐祖耀,xu'zu'yao
宣怀大道,xuan'huai'da'dao
学人书店,xue'ren'shu'dian
学森路,xue'sen'lu
学生服务中心,xue'sheng'fu'wu'zhong'xin
学术活动中心,xue'shu'huo'dong'zhong'xin
学指委,xue'zhi'wei
寻常人家,xun'chang'ren'jia
颜德岳,yan'de'yue
严晋跃,yan'jin'yue
杨槱,yang'chao
杨驰,yang'chi
杨洪全,yang'hong'quan
杨杰,yang'jie
杨胜利,yang'sheng'li
杨士琦,yang'shi'qi
仰思坪,yang'si'ping
杨彤,yang'tong
杨宇航,yang'yu'hang
姚忻,yao'xin
药学院,yao'xue'yuan
叶恭绰,ye'gong'chuo
叶取源,ye'qu'yuan
逸夫科技楼,yi'fu'ke'ji'lou
逸夫楼,yi'fu'lou
逸夫桥,yi'fu'qiao
一号门,yi'hao'men
逸林书店,yi'lin'shu'dian
医学院,yi'xue'yuan
彝族山寨云南菜馆,yi'zu'shan'zhai'yun'nan'cai'guan
印杰,yin'jie
樱花园,ying'hua'yuan
影酷数码,ying'ku'shu'ma
永平路,yong'ping'lu
尤云祥,you'yun'xiang
玉缘小厨,yu'yuan'xiao'chu
院盲,yuan'mang
元培路,yuan'pei'lu
鸳鸯楼,yuan'yang'lou
张大兵,zhang'da'bing
张荻,zhang'di
张涤生,zhang'di'sheng
张国良,zhang'guo'liang
张鹤龄,zhang'he'ling
张杰,zhang'jie
张美翊,zhang'mei'yi
张平,zhang'ping
章璞,zhang'pu
张世民,zhang'shi'min
张廷金,zhang'ting'jin
张文军,zhang'wen'jun
张煦,zhang'xu
张亚非,zhang'ya'fei
张元济,zhang'yuan'ji
张钟俊,zhang'zhong'jun
张铸,zhang'zhu
赵佩琪,zhao'pei'qi
蓁蓁楼,zhen'zhen'lou
郑成良,zheng'cheng'liang
郑杭,zheng'hang
蒸好,zheng'hao
蒸好菜坊,zheng'hao'cai'fang
郑平,zheng'ping
蒸善美,zheng'shan'mei
郑树棠,zheng'shu'tang
执信西斋,zhi'xin'xi'zhai
致远湖,zhi'yuan'hu
中心桥,zhong'xin'qiao
中院,zhong'yuan
周林,zhou'lin
周青,zhou'qing
周秀芬,zhou'xiu'fen
周尧和,zhou'yao'he
周志宏,zhou'zhi'hong
铸锻楼,zhu'duan'lou
朱军,zhu'jun
朱卡的,zhu'ka'de
朱物华,zhu'wu'hua
朱向阳,zhu'xiang'yang
朱新坚,zhu'xin'jian
朱正纲,zhu'zheng'gang
紫日路,zi'ri'lu
紫星路,zi'xing'lu
紫燕百味鸡,zi'yan'bai'wei'ji
紫月路,zi'yue'lu
总办公厅,zong'ban'gong'ting
综合实验楼,zong'he'shi'yan'lou
总务楼,zong'wu'lou
