阿贝比长仪,a'bei'bi'chang'yi
初轨,chu'gui
初亏,chu'kui
出凌,chu'ling
船帆,chuan'fan
垂直圈,chui'zhi'quan
春分点,chun'fen'dian
纯特洛伊群,chun'te'luo'yi'qun
磁胞,ci'bao
磁对消,ci'dui'xiao
磁盖,ci'gai
磁钩,ci'gou
磁环,ci'huan
磁蓬,ci'peng
磁轫致辐射,ci'ren'zhi'fu'she
磁图,ci'tu
磁拓扑,ci'tuo'pu
磁象仪,ci'xiang'yi
次星,ci'xing
磁星,ci'xing
磁元,ci'yuan
磁重联,ci'zhong'lian
磁阻尼,ci'zu'ni
存在时间仅约,cun'zai'shi'jian'jin'yue
大暗斑,da'an'ban
大白斑,da'bai'ban
大爆炸宇宙论,da'bao'zha'yu'zhou'lun
大冲,da'chong
大红斑,da'hong'ban
大距,da'ju
大陵型变星,da'ling'xing'bian'xing
大陵型双星,da'ling'xing'shuang'xing
大气视宁度,da'qi'shi'ning'du
大气透明度,da'qi'tou'ming'du
大气吸收,da'qi'xi'shou
大气折射,da'qi'zhe'she
大数假说,da'shu'jia'shuo
大小不超过,da'xiao'bu'chao'guo
大行星,da'xing'xing
大熊,da'xiong
大质量星,da'zhi'liang'xing
戴林格效应,dai'lin'ge'xiao'ying
带内行星,dai'nei'xing'xing
带外行星,dai'wai'xing'xing
单极黑子,dan'ji'hei'zi
丹麦天文学家第谷于,dan'mai'tian'wen'xue'jia'di'gu'yu
单谱分光双星,dan'pu'fen'guang'shuang'xing
单位体积内质量在,dan'wei'ti'ji'nei'zhi'liang'zai
氮序,dan'xu
氘丰度,dao'feng'du
导星,dao'xing
导星镜,dao'xing'jing
导星装置,dao'xing'zhuang'zhi
的多层重叠的掠射式,de'duo'ceng'chong'die'de'lue'she'shi
德国康德于,de'guo'kang'de'yu
德国式装置,de'guo'shi'zhuang'zhi
的矩形的,de'ju'xing'de
的口径,de'kou'jing
的流量比最强的稳定,de'liu'liang'bi'zui'qiang'de'wen'ding
的四颗,de'si'ke
德西特宇宙模型,de'xi'te'yu'zhou'mo'xing
等边三角形点,deng'bian'san'jiao'xing'dian
等的,deng'de
等高仪,deng'gao'yi
等光度测量,deng'guang'du'ce'liang
等级式宇宙论,deng'ji'shi'yu'zhou'lun
等离子体天体物理学,deng'li'zi'ti'tian'ti'wu'li'xue
等龄线,deng'ling'xian
等效温度,deng'xiao'wen'du
等于恒星周年视差为,deng'yu'heng'xing'zhou'nian'shi'cha'wei
等值焦距,deng'zhi'jiao'ju
等值宽度,deng'zhi'kuan'du
低电离星系核,di'dian'li'xing'xi'he
第二宇宙速度,di'er'yu'zhou'su'du
地方时,di'fang'shi
第谷超新星,di'gu'chao'xin'xing
第谷体系,di'gu'ti'xi
地固坐标系,di'gu'zuo'biao'xi
地极,di'ji
地基观测,di'ji'guan'ce
地面天文学,di'mian'tian'wen'xue
底片比例尺,di'pian'bi'li'chi
底片常数,di'pian'chang'shu
底片雾,di'pian'wu
地平经度,di'ping'jing'du
地平经圈,di'ping'jing'quan
地平经纬仪,di'ping'jing'wei'yi
地平经仪,di'ping'jing'yi
地平圈,di'ping'quan
地平视差,di'ping'shi'cha
地平纬度,di'ping'wei'du
地平纬圈,di'ping'wei'quan
地平装置,di'ping'zhuang'zhi
地平坐标系,di'ping'zuo'biao'xi
地球,di'qiu
地球定向参数,di'qiu'ding'xiang'can'shu
地球时,di'qiu'shi
地球自转参数,di'qiu'zi'zhuan'can'shu
地球坐标系,di'qiu'zuo'biao'xi
第三宇宙速度,di'san'yu'zhou'su'du
地外生命搜寻,di'wai'sheng'ming'sou'xun
地外生物学,di'wai'sheng'wu'xue
地外文明,di'wai'wen'ming
地外智慧生物,di'wai'zhi'hui'sheng'wu
地心历表,di'xin'li'biao
地心体系,di'xin'ti'xi
地心坐标,di'xin'zuo'biao
地心坐标时,di'xin'zuo'biao'shi
第一宇宙速度,di'yi'yu'zhou'su'du
地月系统,di'yue'xi'tong
地月质量比,di'yue'zhi'liang'bi
地支,di'zhi
电荷耦合器件,dian'he'ou'he'qi'jian
电离层突扰,dian'li'ceng'tu'rao
电离氢区,dian'li'qing'qu
电离氢星系,dian'li'qing'xing'xi
电离温度,dian'li'wen'du
电流片,dian'liu'pian
电视导星镜,dian'shi'dao'xing'jing
典型光子能量约,dian'xing'guang'zi'neng'liang'yue
电子照相机,dian'zi'zhao'xiang'ji
定标,ding'biao
定标星,ding'biao'xing
定标源,ding'biao'yuan
定轨,ding'gui
定日镜,ding'ri'jing
定天镜,ding'tian'jing
定向光栅,ding'xiang'guang'shan
定星镜,ding'xing'jing
东大距,dong'da'ju
东方照,dong'fang'zhao
动力学参考系,dong'li'xue'can'kao'xi
动力学年龄,dong'li'xue'nian'ling
动力学宇宙学,dong'li'xue'yu'zhou'xue
动力学质量,dong'li'xue'zhi'liang
动能均分,dong'neng'jun'fen
冬至点,dong'zhi'dian
陡谱,dou'pu
陡谱源,dou'pu'yuan
独立日数,du'li'ri'shu
独特变星,du'te'bian'xing
独眼神计划,du'yan'shen'ji'hua
短波突衰,duan'bo'tu'shuai
短缺质量,duan'que'zhi'liang
端向天体,duan'xiang'tian'ti
短周期彗星,duan'zhou'qi'hui'xing
短周期摄动,duan'zhou'qi'she'dong
对流层,dui'liu'ceng
对流过冲,dui'liu'guo'chong
对流元,dui'liu'yuan
对日照,dui'ri'zhao
多波段天文学,duo'bo'duan'tian'wen'xue
多重红移,duo'chong'hong'yi
多重星系,duo'chong'xing'xi
多方球,duo'fang'qiu
多镜面望远镜,duo'jing'mian'wang'yuan'jing
多普勒频移,duo'pu'le'pin'yi
多普勒图,duo'pu'le'tu
多色测光,duo'se'ce'guang
多体问题,duo'ti'wen'ti
多天体摄谱仪,duo'tian'ti'she'pu'yi
轭式装置,e'shi'zhuang'zhi
恩克环缝,en'ke'huan'feng
恩克彗星,en'ke'hui'xing
二分差,er'fen'cha
二分点,er'fen'dian
二分圈,er'fen'quan
二均差,er'jun'cha
二十八宿,er'shi'ba'xiu
二十四节气,er'shi'si'jie'qi
二体碰撞,er'ti'peng'zhuang
二体问题,er'ti'wen'ti
二维测光,er'wei'ce'guang
二星流假说,er'xing'liu'jia'shuo
二至点,er'zhi'dian
二至圈,er'zhi'quan
法定时,fa'ding'shi
发射线星,fa'she'xian'xing
发射线星系,fa'she'xian'xing'xi
发射星云,fa'she'xing'yun
范艾仑辐射带,fan'ai'lun'fu'she'dai
反射镜,fan'she'jing
反射望远镜,fan'she'wang'yuan'jing
反射星云,fan'she'xing'yun
反物质宇宙论,fan'wu'zhi'yu'zhou'lun
反银心方向,fan'yin'xin'fang'xiang
反映在,fan'ying'zai
反照率,fan'zhao'lv
纺锤状星系,fang'chui'zhuang'xing'xi
仿视星等,fang'shi'xing'deng
方位角,fang'wei'jiao
方位天文学,fang'wei'tian'wen'xue
方照,fang'zhao
非灰大气,fei'hui'da'qi
非径向,fei'jing'xiang
非径向脉动,fei'jing'xiang'mai'dong
非局部热动平衡,fei'ju'bu're'dong'ping'heng
非热电子,fei're'dian'zi
非热辐射,fei're'fu'she
非势,fei'shi
分光光度标准星,fen'guang'guang'du'biao'zhun'xing
分光光度温度,fen'guang'guang'du'wen'du
分光解,fen'guang'jie
分光距离,fen'guang'ju'li
分光视差,fen'guang'shi'cha
分光双星,fen'guang'shuang'xing
分立孔径,fen'li'kong'jing
分至月,fen'zhi'yue
分钟振荡,fen'zhong'zhen'dang
分子带偏弱的,fen'zi'dai'pian'ruo'de
分子的,fen'zi'de
分子云,fen'zi'yun
分子钟,fen'zi'zhong
浮动天顶仪,fu'dong'tian'ding'yi
富度指数,fu'du'zhi'shu
覆盖效应,fu'gai'xiao'ying
富氦核,fu'hai'he
富氦星,fu'hai'xing
复合期,fu'he'qi
富金属星团,fu'jin'shu'xing'tuan
副镜,fu'jing
弗里德曼宇宙模型,fu'li'de'man'yu'zhou'mo'xing
复谱双星,fu'pu'shuang'xing
负氢离子,fu'qing'li'zi
辐射带,fu'she'dai
辐射点,fu'she'dian
辐射占优期,fu'she'zhan'you'qi
辐射转移,fu'she'zhuan'yi
辐射转移方程,fu'she'zhuan'yi'fang'cheng
复圆,fu'yuan
盖天说,gai'tian'shuo
改正,gai'zheng
改正镜,gai'zheng'jing
改正面积,gai'zheng'mian'ji
干涉偏振滤光器,gan'she'pian'zhen'lv'guang'qi
干涉双星,gan'she'shuang'xing
感应跃迁,gan'ying'yue'qian
高红移类星体光谱中,gao'hong'yi'lei'xing'ti'guang'pu'zhong
高径向阶,gao'jing'xiang'jie
高能天体物理学,gao'neng'tian'ti'wu'li'xue
高偏振星,gao'pian'zhen'xing
高斯引力常数,gao'si'yin'li'chang'shu
高速测光,gao'su'ce'guang
高速星,gao'su'xing
高新,gao'xin
哥白尼卫星,ge'bai'ni'wei'xing
格里历,ge'li'li
格里年,ge'li'nian
格林尼治恒星日期,ge'lin'ni'zhi'heng'xing'ri'qi
格林尼治平恒星时,ge'lin'ni'zhi'ping'heng'xing'shi
格林尼治子午线,ge'lin'ni'zhi'zi'wu'xian
个太阳中微子为,ge'tai'yang'zhong'wei'zi'wei
各向异性宇宙论,ge'xiang'yi'xing'yu'zhou'lun
个星等历时不足,ge'xing'deng'li'shi'bu'zu
个星等历时超过,ge'xing'deng'li'shi'chao'guo
个阴历年中安置,ge'yin'li'nian'zhong'an'zhi
个宇宙,ge'yu'zhou
个字,ge'zi
共包层演化,gong'bao'ceng'yan'hua
拱点,gong'dian
拱极星,gong'ji'xing
共生双星,gong'sheng'shuang'xing
共生新星,gong'sheng'xin'xing
共生星,gong'sheng'xing
拱线,gong'xian
共线点,gong'xian'dian
公元,gong'yuan
公转,gong'zhuan
公转周期最短,gong'zhuan'zhou'qi'zui'duan
拱状暗条系统,gong'zhuang'an'tiao'xi'tong
古德带,gu'de'dai
估距关系,gu'ju'guan'xi
孤立积分,gu'li'ji'fen
观测,guan'ce
观测到,guan'ce'dao
观测天文学,guan'ce'tian'wen'xue
观测宇宙学,guan'ce'yu'zhou'xue
观测站,guan'ce'zhan
观象台,guan'xiang'tai
光斑,guang'ban
光薄介质,guang'bao'jie'zhi
光变曲线,guang'bian'qu'xian
光变周期,guang'bian'zhou'qi
光电测光,guang'dian'ce'guang
光电成象,guang'dian'cheng'xiang
光电等高仪,guang'dian'deng'gao'yi
光电中星仪,guang'dian'zhong'xing'yi
光度,guang'du
光度标准星,guang'du'biao'zhun'xing
光度函数,guang'du'han'shu
光度级,guang'du'ji
光度视差,guang'du'shi'cha
光度演化,guang'du'yan'hua
光度质量,guang'du'zhi'liang
光干涉测量,guang'gan'she'ce'liang
光厚介质,guang'hou'jie'zhi
光剧变类星体,guang'ju'bian'lei'xing'ti
光阑孔径,guang'lan'kong'jing
光年,guang'nian
光谱变星,guang'pu'bian'xing
光谱分类,guang'pu'fen'lei
光谱型,guang'pu'xing
光谱型为,guang'pu'xing'wei
光谱中,guang'pu'zhong
光谱中出现,guang'pu'zhong'chu'xian
光球,guang'qiu
光球活动,guang'qiu'huo'dong
光深,guang'shen
光瞳光度计,guang'tong'guang'du'ji
光污染,guang'wu'ran
光纤摄谱仪,guang'xian'she'pu'yi
光行差,guang'xing'cha
光行时,guang'xing'shi
光行时差,guang'xing'shi'cha
光学臂,guang'xue'bi
光学窗口,guang'xue'chuang'kou
光学对应体,guang'xue'dui'ying'ti
光学脉冲星,guang'xue'mai'chong'xing
光学太阳,guang'xue'tai'yang
光学天平动,guang'xue'tian'ping'dong
光学天体,guang'xue'tian'ti
光学天文学,guang'xue'tian'wen'xue
光学望远镜,guang'xue'wang'yuan'jing
光学证认,guang'xue'zheng'ren
广义,guang'yi
广义主序,guang'yi'zhu'xu
光子计数,guang'zi'ji'shu
圭表,gui'biao
轨道半长径约在,gui'dao'ban'chang'jing'yue'zai
轨道改进,gui'dao'gai'jin
轨道根数,gui'dao'gen'shu
轨道共振,gui'dao'gong'zhen
轨道偏心率,gui'dao'pian'xin'lv
轨道倾角,gui'dao'qing'jiao
轨道上的相对位置,gui'dao'shang'de'xiang'dui'wei'zhi
轨道太阳观测站,gui'dao'tai'yang'guan'ce'zhan
轨道天文台,gui'dao'tian'wen'tai
鬼象,gui'xiang
国际地球自转服务,guo'ji'di'qiu'zi'zhuan'fu'wu
国际极移服务,guo'ji'ji'yi'fu'wu
国际时间局,guo'ji'shi'jian'ju
国际天文学联合会,guo'ji'tian'wen'xue'lian'he'hui
国际纬度服务,guo'ji'wei'du'fu'wu
国际协议原点,guo'ji'xie'yi'yuan'dian
国际原子时,guo'ji'yuan'zi'shi
国际紫外探测器,guo'ji'zi'wai'tan'ce'qi
哈勃半径,ha'bo'ban'jing
哈勃常数,ha'bo'chang'shu
哈勃关系,ha'bo'guan'xi
哈勃距离,ha'bo'ju'li
哈勃空间望远镜,ha'bo'kong'jian'wang'yuan'jing
哈勃时间,ha'bo'shi'jian
哈勃图,ha'bo'tu
哈勃序列,ha'bo'xu'lie
哈佛大学天文台于,ha'fo'da'xue'tian'wen'tai'yu
哈佛分类,ha'fo'fen'lei
哈佛选区,ha'fo'xuan'qu
哈雷彗星,ha'lei'hui'xing
哈特曼检验,ha'te'man'jian'yan
海尔望远镜,hai'er'wang'yuan'jing
氦丰度,hai'feng'du
海利斯模型,hai'li'si'mo'xing
氦燃烧,hai'ran'shao
氦闪,hai'shan
海外行星,hai'wai'xing'xing
海王星,hai'wang'xing
海王星环,hai'wang'xing'huan
航海天文历,hang'hai'tian'wen'li
航海天文学,hang'hai'tian'wen'xue
航天动力学,hang'tian'dong'li'xue
毫米波天文学,hao'mi'bo'tian'wen'xue
毫秒脉冲星,hao'miao'mai'chong'xing
赫比格,he'bi'ge
核合成,he'he'cheng
赫罗图,he'luo'tu
赫罗图上从左上,he'luo'tu'shang'cong'zuo'shang
核球,he'qiu
赫氏空隙,he'shi'kong'xi
河外天文学,he'wai'tian'wen'xue
赫歇尔望远镜,he'xie'er'wang'yuan'jing
和智利,he'zhi'li
黑矮星,hei'ai'xing
黑洞,hei'dong
黑子,hei'zi
黑子半影,hei'zi'ban'ying
黑子本影,hei'zi'ben'ying
黑子相对数,hei'zi'xiang'dui'shu
恒星,heng'xing
恒星包层,heng'xing'bao'ceng
恒星参考系,heng'xing'can'kao'xi
恒星动力学,heng'xing'dong'li'xue
恒星复合体,heng'xing'fu'he'ti
恒星干涉仪,heng'xing'gan'she'yi
恒星光行差,heng'xing'guang'xing'cha
恒星活动,heng'xing'huo'dong
恒星结构,heng'xing'jie'gou
恒星年,heng'xing'nian
恒星日,heng'xing'ri
恒星视向速度仪,heng'xing'shi'xiang'su'du'yi
恒星天文学,heng'xing'tian'wen'xue
恒星物理学,heng'xing'wu'li'xue
恒星形成,heng'xing'xing'cheng
恒星演化,heng'xing'yan'hua
恒星月,heng'xing'yue
恒星云,heng'xing'yun
恒星钟,heng'xing'zhong
红矮星,hong'ai'xing
宏观图象,hong'guan'tu'xiang
红化,hong'hua
红巨星,hong'ju'xing
红巨星支,hong'ju'xing'zhi
红外超,hong'wai'chao
红外超天体,hong'wai'chao'tian'ti
红外窗口,hong'wai'chuang'kou
红外对应体,hong'wai'dui'ying'ti
红外分光,hong'wai'fen'guang
红外空间天文台,hong'wai'kong'jian'tian'wen'tai
红外天文卫星,hong'wai'tian'wen'wei'xing
红外天文学,hong'wai'tian'wen'xue
红外望远镜,hong'wai'wang'yuan'jing
红外星等,hong'wai'xing'deng
红外星系,hong'wai'xing'xi
红外源,hong'wai'yuan
红移,hong'yi
后方,hou'fang
厚盘,hou'pan
厚盘族,hou'pan'zu
后随黑子,hou'sui'hei'zi
蝴蝶图,hu'die'tu
互作用双星,hu'zuo'yong'shuang'xing
互作用星系,hu'zuo'yong'xing'xi
环绕速度,huan'rao'su'du
环绕沃尔夫,huan'rao'wo'er'fu
环食带,huan'shi'dai
环形山,huan'xing'shan
环与,huan'yu
环状星系,huan'zhuang'xing'xi
黄赤交角,huang'chi'jiao'jiao
黄道,huang'dao
黄道带,huang'dao'dai
黄道光,huang'dao'guang
黄道经纬仪,huang'dao'jing'wei'yi
黄道上与二分点相距,huang'dao'shang'yu'er'fen'dian'xiang'ju
黄道十二宫,huang'dao'shi'er'gong
黄道坐标系,huang'dao'zuo'biao'xi
黄极,huang'ji
皇家天文学家,huang'jia'tian'wen'xue'jia
黄经,huang'jing
黄经圈,huang'jing'quan
黄经岁差,huang'jing'sui'cha
黄经章动,huang'jing'zhang'dong
黄纬,huang'wei
黄纬圈,huang'wei'quan
灰大气,hui'da'qi
彗顶,hui'ding
灰洞,hui'dong
彗发,hui'fa
回归年,hui'gui'nian
回归月,hui'gui'yue
彗核,hui'he
彗头,hui'tou
彗尾,hui'wei
彗星,hui'xing
彗形球状体,hui'xing'qiu'zhuang'ti
回旋加速辐射,hui'xuan'jia'su'fu'she
彗晕,hui'yun
彗状星云,hui'zhuang'xing'yun
混合长理论,hun'he'chang'li'lun
浑天说,hun'tian'shuo
浑象,hun'xiang
浑仪,hun'yi
或曾出现,huo'ceng'chu'xian
或地平装置的方位轴,huo'di'ping'zhuang'zhi'de'fang'wei'zhou
活动,huo'dong
活动经度,huo'dong'jing'du
活动日珥,huo'dong'ri'er
活动太阳,huo'dong'tai'yang
活动星系,huo'dong'xing'xi
活动星系核,huo'dong'xing'xi'he
活动穴,huo'dong'xue
或发射,huo'fa'she
或费米分布,huo'fei'mi'fen'bu
或离子,huo'li'zi
火流星,huo'liu'xing
火鸟,huo'niao
火星,huo'xing
活跃彗星,huo'yue'hui'xing
基本天体测量学,ji'ben'tian'ti'ce'liang'xue
基本星表,ji'ben'xing'biao
激变前双星,ji'bian'qian'shuang'xing
激变双星,ji'bian'shuang'xing
激变星系,ji'bian'xing'xi
激发温度,ji'fa'wen'du
激发星,ji'fa'xing
极光,ji'guang
激光测月,ji'guang'ce'yue
即轨道天文台,ji'gui'dao'tian'wen'tai
几何变星,ji'he'bian'xing
几何天平动,ji'he'tian'ping'dong
玑衡抚辰仪,ji'heng'fu'chen'yi
极距,ji'ju
积日,ji'ri
计时,ji'shi
记时仪,ji'shi'yi
极限曝光时间,ji'xian'bao'guang'shi'jian
极限分辨率,ji'xian'fen'bian'lv
极限星等,ji'xian'xing'deng
纪限仪,ji'xian'yi
极向恒星,ji'xiang'heng'xing
极向天体,ji'xiang'tian'ti
极移,ji'yi
即依数,ji'yi'shu
极羽,ji'yu
纪元,ji'yuan
极早期宇宙,ji'zao'qi'yu'zhou
寄主星系,ji'zhu'xing'xi
极紫外探测器,ji'zi'wai'tan'ce'qi
即最大惯量主轴,ji'zui'da'guan'liang'zhu'zhou
记作,ji'zuo
架口径均为,jia'kou'jing'jun'wei
伽利略,jia'li'lue
伽利略望远镜,jia'li'lue'wang'yuan'jing
伽利略卫星,jia'li'lue'wei'xing
架直径,jia'zhi'jing
简并气体,jian'bing'qi'ti
简并星,jian'bing'xing
尖峰爆发,jian'feng'bao'fa
简化儒略日期,jian'hua'ru'lue'ri'qi
渐近巨星支,jian'jin'ju'xing'zhi
剪切,jian'qie
减速因子,jian'su'yin'zi
简仪,jian'yi
降交点,jiang'jiao'dian
将卡氏焦点用,jiang'ka'shi'jiao'dian'yong
将原子,jiang'yuan'zi
焦比衰退,jiao'bi'shuai'tui
较差测光,jiao'cha'ce'guang
较差观测,jiao'cha'guan'ce
较差弯沉,jiao'cha'wan'chen
较差星表,jiao'cha'xing'biao
较差自转,jiao'cha'zi'zhuan
交点,jiao'dian
交点年,jiao'dian'nian
交点退行,jiao'dian'tui'xing
交点线,jiao'dian'xian
交点月,jiao'dian'yue
角动量极,jiao'dong'liang'ji
交角章动,jiao'jiao'zhang'dong
角径远小于,jiao'jing'yuan'xiao'yu
角秒,jiao'miao
交食概况,jiao'shi'gai'kuang
交食要素,jiao'shi'yao'su
截断因子,jie'duan'yin'zi
界面,jie'mian
截面法,jie'mian'fa
节气,jie'qi
界线,jie'xian
近地点,jin'di'dian
近地小行星,jin'di'xiao'xing'xing
近点,jin'dian
近点幅角,jin'dian'fu'jiao
近点角,jin'dian'jiao
近点年,jin'dian'nian
近点月,jin'dian'yue
近拱点,jin'gong'dian
禁戒跃迁,jin'jie'yue'qian
近邻星系,jin'lin'xing'xi
金牛,jin'niu
近日点,jin'ri'dian
近日点进动,jin'ri'dian'jin'dong
金属度,jin'shu'du
金属丰度,jin'shu'feng'du
金属线星,jin'shu'xian'xing
金斯,jin'si
金斯波长,jin'si'bo'chang
金斯质量,jin'si'zhi'liang
禁线,jin'xian
近相接双星,jin'xiang'jie'shuang'xing
近心点,jin'xin'dian
金星,jin'xing
近星点,jin'xing'dian
近银心点,jin'yin'xin'dian
经典积分,jing'dian'ji'fen
经典造父变星,jing'dian'zao'fu'bian'xing
景符,jing'fu
镜室,jing'shi
经天平动,jing'tian'ping'dong
径向脉动,jing'xiang'mai'dong
鲸鱼,jing'yu
巨壁,ju'bi
局部热动平衡,ju'bu're'dong'ping'heng
巨洞,ju'dong
巨分子云,ju'fen'zi'yun
巨极大,ju'ji'da
巨极小,ju'ji'xiao
居间星系,ju'jian'xing'xi
距角,ju'jiao
距离尺度,ju'li'chi'du
距离模数,ju'li'mo'shu
巨米粒,ju'mi'li
巨米粒组织,ju'mi'li'zu'zhi
