柏灵筠,bai'ling'jun
魏文帝,wei'wen'di
魏文帝御史中丞,wei'wen'di'yu'shi'zhong'cheng
魏武帝,wei'wu'di
魏武卫将军,wei'wu'wei'jiang'jun
唯有杜康,wei'you'du'kang
卫羽,wei'yu
魏镇东将军,wei'zhen'dong'jiang'jun
文德皇后,wen'de'huang'hou
文烈,wen'lie
文若,wen'ruo
文先,wen'xian
文远,wen'yuan
文昭皇后,wen'zhao'huang'hou
我有嘉宾,wo'you'jia'bin
吴国皇帝,wu'guo'huang'di
吴国名将,wu'guo'ming'jiang
吴侯孙策女婿,wu'hou'sun'ce'nv'xu
五禽戏,wu'qin'xi
乌鹊南飞,wu'que'nan'fei
吴秀波,wu'xiu'bo
武宣皇后,wu'xuan'huang'hou
吴雨珏,wu'yu'jue
五丈原,wu'zhang'yuan
吴质,wu'zhi
夏侯惇,xia'hou'dun
夏侯徽,xia'hou'hui
夏侯楙,xia'hou'mao
夏侯尚,xia'hou'shang
夏侯玄,xia'hou'xuan
小公主,xiao'gong'zhu
校事府校事,xiao'shi'fu'xiao'shi
肖顺尧,xiao'shun'yao
小司马师,xiao'si'ma'shi
小司马昭,xiao'si'ma'zhao
小沅,xiao'yuan
小周,xiao'zhou
心念旧恩,xin'nian'jiu'en
秀士,xiu'shi
许褚,xu'chu
许都,xu'dou
许还山,xu'huan'shan
徐晃,xu'huang
徐敏,xu'min
徐庶,xu'shu
玄德,xuan'de
学子,xue'zi
荀攸,xun'you
荀彧,xun'yu
杨彪,yang'biao
杨涵斌,yang'han'bin
杨猛,yang'meng
杨修,yang'xiu
杨修之父,yang'xiu'zhi'fu
杨主薄,yang'zhu'bo
姚欣言,yao'xin'yan
抑制宗室,yi'zhi'zong'shi
尹国华,yin'guo'hua
鹰视狼顾,ying'shi'lang'gu
忧从中来,you'cong'zhong'lai
幼平,you'ping
忧思难忘,you'si'nan'wang
呦呦鹿鸣,you'you'lu'ming
悠悠我心,you'you'wo'xin
于和伟,yu'he'wei
虞书欣,yu'shu'xin
豫州刺史,yu'zhou'ci'shi
元常,yuan'chang
元化,yuan'hua
元让,yuan'rang
媛容,yuan'rong
元直,yuan'zhi
月旦评,yue'dan'ping
月明星稀,yue'ming'xing'xi
越陌度阡,yue'mo'du'qian
张春华,zhang'chun'hua
张逗逗,zhang'dou'dou
张郃,zhang'he
章贺,zhang'he
张军,zhang'jun
张辽,zhang'liao
张兴哲,zhang'xing'zhe
张音,zhang'yin
张永新,zhang'yong'xin
张昭,zhang'zhao
张芷溪,zhang'zhi'xi
张志忠,zhang'zhi'zhong
赵昕,zhao'xin
赵彦民,zhao'yan'min
赵蕴卓,zhao'yun'zhuo
甄宓,zhen'fu
正礼,zheng'li
仲达,zhong'da
仲德,zhong'de
钟会,zhong'hui
仲康,zhong'kang
仲谋,zhong'mou
钟繇,zhong'yao
周公吐哺,zhou'gong'tu'bu
周泰,zhou'tai
朱虎,zhu'hu
子布,zi'bu
子丹,zi'dan
子桓,zi'huan
子建,zi'jian
子廉,zi'lian
子林,zi'lin
子上,zi'shang
子文,zi'wen
子孝,zi'xiao
子夜,zi'ye
子元,zi'yuan
