阿贝比长仪,a'bei'bi'chang'yi
笔形波束天线,bi'xing'bo'shu'tian'xian
比载,bi'zai
比载死区,bi'zai'si'qu
变比,bian'bi
边带,bian'dai
变电间,bian'dian'jian
变电所,bian'dian'suo
变电站,bian'dian'zhan
变二,bian'er
变化量,bian'hua'liang
变换器,bian'huan'qi
变极调速,bian'ji'tiao'su
变距阵,bian'ju'zhen
扁口钳,bian'kou'qian
变量,bian'liang
变量译码器,bian'liang'yi'ma'qi
编码,bian'ma
编码器,bian'ma'qi
变配电,bian'pei'dian
变频,bian'pin
变频器,bian'pin'qi
变频调速,bian'pin'tiao'su
扁平封装,bian'ping'feng'zhuang
变容,bian'rong
变容二极管,bian'rong'er'ji'guan
变压器,bian'ya'qi
变压器耦合放大器,bian'ya'qi'ou'he'fang'da'qi
边缘效应,bian'yuan'xiao'ying
变转差率调速,bian'zhuan'cha'lv'tiao'su
鞭状天线,bian'zhuang'tian'xian
变阻器,bian'zu'qi
表笔,biao'bi
表层温度表,biao'ceng'wen'du'biao
表观温度,biao'guan'wen'du
表面波,biao'mian'bo
表面波天线,biao'mian'bo'tian'xian
表面反应控制,biao'mian'fan'ying'kong'zhi
表面浓度,biao'mian'nong'du
标志条,biao'zhi'tiao
标准单元,biao'zhun'dan'yuan
标准单元法,biao'zhun'dan'yuan'fa
标准量,biao'zhun'liang
标准阻止截面,biao'zhun'zu'zhi'jie'mian
丙类放大器,bing'lei'fang'da'qi
并励式,bing'li'shi
并联,bing'lian
并联电路,bing'lian'dian'lu
并联电容,bing'lian'dian'rong
并联电容器,bing'lian'dian'rong'qi
并联反馈,bing'lian'fan'kui
并联负反馈,bing'lian'fu'fan'kui
并联谐振,bing'lian'xie'zhen
并联型稳压电路,bing'lian'xing'wen'ya'dian'lu
并列的,bing'lie'de
并列运行,bing'lie'yun'xing
并网,bing'wang
波瓣,bo'ban
波参数,bo'can'shu
波长,bo'chang
波长精确度,bo'chang'jing'que'du
波导,bo'dao
波导波长,bo'dao'bo'chang
波导窗,bo'dao'chuang
波导法兰盘,bo'dao'fa'lan'pan
波导开关,bo'dao'kai'guan
波导膜片,bo'dao'mo'pian
波导调配器,bo'dao'tiao'pei'qi
博德图,bo'de'tu
波登管,bo'deng'guan
拨动开关,bo'dong'kai'guan
波段开关,bo'duan'kai'guan
波峰,bo'feng
伯格定律,bo'ge'ding'lv
玻璃封装,bo'li'feng'zhuang
剥离技术,bo'li'ji'shu
薄膜淀积,bo'mo'dian'ji
薄膜电阻器,bo'mo'dian'zu'qi
薄膜晶体管,bo'mo'jing'ti'guan
薄膜开关,bo'mo'kai'guan
波前,bo'qian
薄栅氧化层,bo'shan'yang'hua'ceng
波束波导,bo'shu'bo'dao
波束角,bo'shu'jiao
波束宽度,bo'shu'kuan'du
波束立体角,bo'shu'li'ti'jiao
波束天线,bo'shu'tian'xian
波束调向,bo'shu'tiao'xiang
波束形状因数,bo'shu'xing'zhuang'yin'shu
波数字滤波器,bo'shu'zi'lv'bo'qi
波特,bo'te
玻特喇叭,bo'te'la'ba
波特图,bo'te'tu
波特沃斯滤波器,bo'te'wo'si'lv'bo'qi
波纹板,bo'wen'ban
波纹管,bo'wen'guan
波纹管压力表,bo'wen'guan'ya'li'biao
波纹喇叭,bo'wen'la'ba
剥线钳,bo'xian'qian
波形,bo'xing
波形发生电路,bo'xing'fa'sheng'dian'lu
波形松弛法,bo'xing'song'chi'fa
波形图,bo'xing'tu
玻印亭矢量,bo'yin'ting'shi'liang
波阻抗,bo'zu'kang
补偿,bu'chang
补偿电路,bu'chang'dian'lu
补偿电容,bu'chang'dian'rong
补偿定理,bu'chang'ding'li
补偿度,bu'chang'du
补偿声波测井仪,bu'chang'sheng'bo'ce'jing'yi
补偿型,bu'chang'xing
补偿装置,bu'chang'zhuang'zhi
补充修正,bu'chong'xiu'zheng
不等臂误差,bu'deng'bi'wu'cha
布尔代数,bu'er'dai'shu
步进电机,bu'jin'dian'ji
步进阻抗变换器,bu'jin'zu'kang'bian'huan'qi
不经常负荷,bu'jing'chang'fu'he
不可视区,bu'ke'shi'qu
布拉格方程,bu'la'ge'fang'cheng
布拉格衍射声成像,bu'la'ge'yan'she'sheng'cheng'xiang
不良品,bu'liang'pin
不平衡量,bu'ping'heng'liang
不平衡量指示器,bu'ping'heng'liang'zhi'shi'qi
补氢,bu'qing
补氢气,bu'qing'qi
布氏硬度计,bu'shi'ying'du'ji
布氏硬度压头,bu'shi'ying'du'ya'tou
布氏硬度值,bu'shi'ying'du'zhi
补水泵,bu'shui'beng
不同步,bu'tong'bu
布图规则检查,bu'tu'gui'ze'jian'cha
不锈钢,bu'xiu'gang
捕捉,bu'zhuo
捕捉带,bu'zhuo'dai
采集系统,cai'ji'xi'tong
采样保持电路,cai'yang'bao'chi'dian'lu
采样阶段,cai'yang'jie'duan
采样频率,cai'yang'pin'lv
采样周期,cai'yang'zhou'qi
参考电位,can'kao'dian'wei
参考方向,can'kao'fang'xiang
参考值,can'kao'zhi
参量放大器,can'liang'fang'da'qi
参量混频器,can'liang'hun'pin'qi
残留边带,can'liu'bian'dai
参数值,can'shu'zhi
草坪灯,cao'ping'deng
操作,cao'zuo
操作泵,cao'zuo'beng
操作过电压,cao'zuo'guo'dian'ya
操作权,cao'zuo'quan
测摆度,ce'bai'du
测风杆,ce'feng'gan
测风塔,ce'feng'ta
测高仪,ce'gao'yi
测间隙,ce'jian'xi
测绝缘,ce'jue'yuan
测力扳手,ce'li'ban'shou
测量精确度,ce'liang'jing'que'du
测量信号,ce'liang'xin'hao
测量准确度,ce'liang'zhun'que'du
测试试验,ce'shi'shi'yan
测温电桥,ce'wen'dian'qiao
测振仪,ce'zhen'yi
差波束,cha'bo'shu
差波束分离角,cha'bo'shu'fen'li'jiao
差波束零深,cha'bo'shu'ling'shen
插补,cha'bu
差动,cha'dong
差动保护,cha'dong'bao'hu
差动电路,cha'dong'dian'lu
差动阀,cha'dong'fa
差动放大电路,cha'dong'fang'da'dian'lu
差动放大器,cha'dong'fang'da'qi
差动绕组,cha'dong'rao'zu
差分放大器,cha'fen'fang'da'qi
差接变量器,cha'jie'bian'liang'qi
插孔,cha'kong
差模放大倍数,cha'mo'fang'da'bei'shu
差模输入,cha'mo'shu'ru
差模信号,cha'mo'xin'hao
差拍测量法,cha'pai'ce'liang'fa
差拍法,cha'pai'fa
差频,cha'pin
差热分析,cha're'fen'xi
插入损耗,cha'ru'sun'hao
插头,cha'tou
差压阀,cha'ya'fa
插装,cha'zhuang
插装电阻器,cha'zhuang'dian'zu'qi
插座,cha'zuo
拆焊器,chai'han'qi
拆卸器,chai'xie'qi
柴油发电机组,chai'you'fa'dian'ji'zu
掺杂,chan'za
掺杂半导体,chan'za'ban'dao'ti
掺杂多晶硅扩散,chan'za'duo'jing'gui'kuo'san
掺杂剂,chan'za'ji
掺杂氧化物扩散,chan'za'yang'hua'wu'kuo'san
常闭,chang'bi
常闭触点,chang'bi'chu'dian
常闭触头,chang'bi'chu'tou
常开触点,chang'kai'chu'dian
长期工作电流,chang'qi'gong'zuo'dian'liu
厂沙线,chang'sha'xian
长线,chang'xian
长线天线,chang'xian'tian'xian
场效应管,chang'xiao'ying'guan
场效应晶体管,chang'xiao'ying'jing'ti'guan
场氧化层,chang'yang'hua'ceng
厂用电,chang'yong'dian
厂用电率,chang'yong'dian'lv
场致发射显微镜学,chang'zhi'fa'she'xian'wei'jing'xue
场致离子质谱学,chang'zhi'li'zi'zhi'pu'xue
场助扩散,chang'zhu'kuo'san
超纯水,chao'chun'shui
超大规模集成电路,chao'da'gui'mo'ji'cheng'dian'lu
超高速集成电路,chao'gao'su'ji'cheng'dian'lu
超高压输电线,chao'gao'ya'shu'dian'xian
超过滤,chao'guo'lv
超前,chao'qian
超声电视测井仪,chao'sheng'dian'shi'ce'jing'yi
超声键合,chao'sheng'jian'he
超速故障停机,chao'su'gu'zhang'ting'ji
超外差接收机,chao'wai'cha'jie'shou'ji
超微粒干版,chao'wei'li'gan'ban
超再生接收机,chao'zai'sheng'jie'shou'ji
衬底,chen'di
衬底馈电逻辑,chen'di'kui'dian'luo'ji
衬底偏置,chen'di'pian'zhi
沉降,chen'jiang
沉降分析法,chen'jiang'fen'xi'fa
成核,cheng'he
乘积检波器,cheng'ji'jian'bo'qi
成勘院,cheng'kan'yuan
成批处理,cheng'pi'chu'li
成品率,cheng'pin'lv
成束导线,cheng'shu'dao'xian
成套电器,cheng'tao'dian'qi
城网调度,cheng'wang'diao'du
成型,cheng'xing
成形电路,cheng'xing'dian'lu
迟滞比较器,chi'zhi'bi'jiao'qi
尺子,chi'zi
充电,chong'dian
充电电池,chong'dian'dian'chi
充电机,chong'dian'ji
充电器,chong'dian'qi
重复阻抗,chong'fu'zu'kang
重合闸,chong'he'zha
冲击电流,chong'ji'dian'liu
冲击栓流计,chong'ji'shuan'liu'ji
冲激响应,chong'ji'xiang'ying
冲击钻,chong'ji'zuan
冲角,chong'jiao
充气柜,chong'qi'gui
冲沙孔,chong'sha'kong
冲沙闸,chong'sha'zha
充油,chong'you
充油量,chong'you'liang
重组,chong'zu
抽屉式开关,chou'ti'shi'kai'guan
抽象系统,chou'xiang'xi'tong
触点,chu'dian
触电,chu'dian
触电事故,chu'dian'shi'gu
触电者,chu'dian'zhe
触发脉冲,chu'fa'mai'chong
触发器,chu'fa'qi
触杆,chu'gan
除灰,chu'hui
初级辐射器,chu'ji'fu'she'qi
触控产品,chu'kong'chan'pin
出口闸板,chu'kou'zha'ban
出力,chu'li
触片,chu'pian
初缩,chu'suo
初探,chu'tan
触头,chu'tou
触头断开,chu'tou'duan'kai
出现电势谱学,chu'xian'dian'shi'pu'xue
出现电位,chu'xian'dian'wei
初相,chu'xiang
初相角,chu'xiang'jiao
初相位,chu'xiang'wei
传播,chuan'bo
传播常数,chuan'bo'chang'shu
传播速度,chuan'bo'su'du
传导电流,chuan'dao'dian'liu
传递,chuan'di
传递函数,chuan'di'han'shu
传递信号,chuan'di'xin'hao
传感器,chuan'gan'qi
串励式,chuan'li'shi
串联,chuan'lian
串联电路,chuan'lian'dian'lu
串联反馈,chuan'lian'fan'kui
串联负反馈,chuan'lian'fu'fan'kui
串联谐振,chuan'lian'xie'zhen
串联型稳压电路,chuan'lian'xing'wen'ya'dian'lu
串联型稳压电源,chuan'lian'xing'wen'ya'dian'yuan
传输,chuan'shu
传输线,chuan'shu'xian
穿芯电容器,chuan'xin'dian'rong'qi
穿心电容器,chuan'xin'dian'rong'qi
船型开关,chuan'xing'kai'guan
窗机,chuang'ji
吹气管,chui'qi'guan
垂直极化,chui'zhi'ji'hua
垂直距离,chui'zhi'ju'li
垂直注入逻辑,chui'zhi'zhu'ru'luo'ji
锤子,chui'zi
磁饱和性,ci'bao'he'xing
磁场,ci'chang
磁场强度,ci'chang'qiang'du
磁吹避雷器,ci'chui'bi'lei'qi
磁导率,ci'dao'lv
磁电式,ci'dian'shi
磁电式电流表,ci'dian'shi'dian'liu'biao
磁电式电压表,ci'dian'shi'dian'ya'biao
磁电式流比计,ci'dian'shi'liu'bi'ji
磁电式万用表,ci'dian'shi'wan'yong'biao
磁电式仪表,ci'dian'shi'yi'biao
磁动势,ci'dong'shi
磁感应,ci'gan'ying
磁感应强度,ci'gan'ying'qiang'du
磁化,ci'hua
磁化曲线,ci'hua'qu'xian
磁极,ci'ji
次级辐射器,ci'ji'fu'she'qi
磁极数,ci'ji'shu
瓷介电容器,ci'jie'dian'rong'qi
磁控溅射,ci'kong'jian'she
磁链,ci'lian
磁路,ci'lu
磁路与变压器,ci'lu'yu'bian'ya'qi
磁敏电位器,ci'min'dian'wei'qi
磁偶极子,ci'ou'ji'zi
瓷瓶,ci'ping
次平面,ci'ping'mian
磁铁,ci'tie
磁通,ci'tong
磁通势,ci'tong'shi
磁性材料,ci'xing'cai'liao
磁学量,ci'xue'liang
磁滞,ci'zhi
磁滞回线,ci'zhi'hui'xian
磁滞损耗,ci'zhi'sun'hao
磁滞性,ci'zhi'xing
磁珠,ci'zhu
磁阻,ci'zu
存储电容,cun'chu'dian'rong
存储器,cun'chu'qi
存储器地址寄存器,cun'chu'qi'di'zhi'ji'cun'qi
存取,cun'qu
存取时间,cun'qu'shi'jian
大电流,da'dian'liu
搭叠量相,da'die'liang'xiang
大功率,da'gong'lv
大规模集成电路,da'gui'mo'ji'cheng'dian'lu
大火表,da'huo'biao
达林顿功率管,da'lin'dun'gong'lv'guan
大流量,da'liu'liang
打磨,da'mo
大气电,da'qi'dian
大气压电离,da'qi'ya'dian'li
呆扳手,dai'ban'shou
带电体,dai'dian'ti
带电作业,dai'dian'zuo'ye
待决定,dai'jue'ding
带宽,dai'kuan
代码,dai'ma
带式自动键合,dai'shi'zi'dong'jian'he
带式自动键合封装,dai'shi'zi'dong'jian'he'feng'zhuang
带通,dai'tong
带通滤波器,dai'tong'lv'bo'qi
戴维南定律,dai'wei'nan'ding'lv
戴维宁定理,dai'wei'ning'ding'li
带状线,dai'zhuang'xian
带阻,dai'zu
带阻滤波器,dai'zu'lv'bo'qi
单边带调制,dan'bian'dai'tiao'zhi
弹道晶体管,dan'dao'jing'ti'guan
单独读出,dan'du'du'chu
单管单元存储器,dan'guan'dan'yuan'cun'chu'qi
单管放大电路,dan'guan'fang'da'dian'lu
单极,dan'ji
单极晶体管,dan'ji'jing'ti'guan
单极子,dan'ji'zi
单结晶体管,dan'jie'jing'ti'guan
单开关,dan'kai'guan
单片集成电路,dan'pian'ji'cheng'dian'lu
单片计算机,dan'pian'ji'suan'ji
单片微波集成放大器,dan'pian'wei'bo'ji'cheng'fang'da'qi
单投,dan'tou
弹头托盘,dan'tou'tuo'pan
单位冲激函数,dan'wei'chong'ji'han'shu
单位阶跃函数,dan'wei'jie'yue'han'shu
单位增益带宽,dan'wei'zeng'yi'dai'kuan
单稳触发电路,dan'wen'chu'fa'dian'lu
单稳态触发器,dan'wen'tai'chu'fa'qi
单向,dan'xiang
单相,dan'xiang
单相半波整流电路,dan'xiang'ban'bo'zheng'liu'dian'lu
单相变压器,dan'xiang'bian'ya'qi
单相重合闸,dan'xiang'chong'he'zha
单相触电,dan'xiang'chu'dian
单相电度表,dan'xiang'dian'du'biao
单相电压,dan'xiang'dian'ya
单相桥式整流电路,dan'xiang'qiao'shi'zheng'liu'dian'lu
单相双向,dan'xiang'shuang'xiang
单向性,dan'xiang'xing
单相异步电动机,dan'xiang'yi'bu'dian'dong'ji
单相整流电路,dan'xiang'zheng'liu'dian'lu
单向自锁运行控制,dan'xiang'zi'suo'yun'xing'kong'zhi
氮氧化硅,dan'yang'hua'gui
单元尺寸,dan'yuan'chi'cun
档位,dang'wei
挡油圈,dang'you'quan
导波,dao'bo
刀承,dao'cheng
导出型滤波器,dao'chu'xing'lv'bo'qi
导电材料,dao'dian'cai'liao
导电回路,dao'dian'hui'lu
导电性能,dao'dian'xing'neng
刀开关,dao'kai'guan
导抗,dao'kang
导纳,dao'na
导纳圆图,dao'na'yuan'tu
刀片数,dao'pian'shu
导热硅胶,dao're'gui'jiao
倒顺开关,dao'shun'kai'guan
导体,dao'ti
导通,dao'tong
导通角,dao'tong'jiao
导线,dao'xian
倒相,dao'xiang
倒向天线,dao'xiang'tian'xian
刀形天线,dao'xing'tian'xian
倒闸,dao'zha
刀闸,dao'zha
刀闸隔离开关,dao'zha'ge'li'kai'guan
导轴瓦,dao'zhou'wa
灯杯,deng'bei
等波纹逼近,deng'bo'wen'bi'jin
等幅面,deng'fu'mian
等离子体溅射,deng'li'zi'ti'jian'she
等离子体刻蚀,deng'li'zi'ti'ke'shi
等离子体耦合器件,deng'li'zi'ti'ou'he'qi'jian
等离子体去胶,deng'li'zi'ti'qu'jiao
等离子体氧化,deng'li'zi'ti'yang'hua
灯泡,deng'pao
等平面隔离,deng'ping'mian'ge'li
等平面工艺,deng'ping'mian'gong'yi
等平面集成注入逻辑,deng'ping'mian'ji'cheng'zhu'ru'luo'ji
等温退火,deng'wen'tui'huo
等相面,deng'xiang'mian
等效变换,deng'xiao'bian'huan
等效电感,deng'xiao'dian'gan
等效电路,deng'xiao'dian'lu
等效电容,deng'xiao'dian'rong
等效电源定理,deng'xiao'dian'yuan'ding'li
等效电阻,deng'xiao'dian'zu
等效感抗,deng'xiao'gan'kang
等效网络,deng'xiao'wang'luo
等效于,deng'xiao'yu
灯罩,deng'zhao
等值波阻抗,deng'zhi'bo'zu'kang
地波,di'bo
低电平,di'dian'ping
低电压,di'dian'ya
低功耗,di'gong'hao
低功耗型,di'gong'hao'xing
涤纶电容器,di'lun'dian'rong'qi
底面,di'mian
底面反射波,di'mian'fan'she'bo
低能电子衍射,di'neng'dian'zi'yan'she
低能离子散射,di'neng'li'zi'san'she
低频,di'pin
低频段,di'pin'duan
低频放大器,di'pin'fang'da'qi
低频信号,di'pin'xin'hao
低频信号发生器,di'pin'xin'hao'fa'sheng'qi
低通,di'tong
低通滤波器,di'tong'lv'bo'qi
低压,di'ya
低压侧,di'ya'ce
低压等离子体淀积,di'ya'deng'li'zi'ti'dian'ji
低压电路,di'ya'dian'lu
低压电器,di'ya'dian'qi
低压电网,di'ya'dian'wang
低压断路器,di'ya'duan'lu'qi
低压接触器,di'ya'jie'chu'qi
低压开关,di'ya'kai'guan
低压开关柜,di'ya'kai'guan'gui
低压控制器,di'ya'kong'zhi'qi
低压器系统,di'ya'qi'xi'tong
低压绕组,di'ya'rao'zu
低压熔断器,di'ya'rong'duan'qi
低压验电器,di'ya'yan'dian'qi
低油压故障停机,di'you'ya'gu'zhang'ting'ji
低噪声,di'zao'sheng
低噪声放大器,di'zao'sheng'fang'da'qi
低噪声晶体振荡器,di'zao'sheng'jing'ti'zhen'dang'qi
地址存取时间,di'zhi'cun'qu'shi'jian
电刨,dian'bao
电泵,dian'beng
电笔,dian'bi
电表,dian'biao
电参量,dian'can'liang
电厂,dian'chang
电场,dian'chang
电场强度,dian'chang'qiang'du
电池,dian'chi
电池充电器,dian'chi'chong'dian'qi
电池组配件,dian'chi'zu'pei'jian
电锤,dian'chui
电磁,dian'ci
电磁波,dian'ci'bo
电磁场,dian'ci'chang
电磁感应,dian'ci'gan'ying
电磁力,dian'ci'li
电磁离合器,dian'ci'li'he'qi
电磁谱,dian'ci'pu
电磁式,dian'ci'shi
电磁式电流表,dian'ci'shi'dian'liu'biao
电磁式电压表,dian'ci'shi'dian'ya'biao
电磁式仪表,dian'ci'shi'yi'biao
电磁铁,dian'ci'tie
电磁透镜,dian'ci'tou'jing
电磁线,dian'ci'xian
电磁转矩,dian'ci'zhuan'ju
电导,dian'dao
电导率,dian'dao'lv
电导系数,dian'dao'xi'shu
电动扳手,dian'dong'ban'shou
电动车充电器,dian'dong'che'chong'dian'qi
电动车用电动机,dian'dong'che'yong'dian'dong'ji
电动雕刻机,dian'dong'diao'ke'ji
电动工具,dian'dong'gong'ju
电动工具开关,dian'dong'gong'ju'kai'guan
电动工具用电动机,dian'dong'gong'ju'yong'dian'dong'ji
电动机,dian'dong'ji
电动机保护器,dian'dong'ji'bao'hu'qi
点动控制,dian'dong'kong'zhi
电动螺丝刀,dian'dong'luo'si'dao
电动坡口机,dian'dong'po'kou'ji
电动砂轮机,dian'dong'sha'lun'ji
电动势,dian'dong'shi
电动式,dian'dong'shi
电动式仪表,dian'dong'shi'yi'biao
电动套丝机,dian'dong'tao'si'ji
电镀,dian'du
电度表,dian'du'biao
电费,dian'fei
电风扇,dian'feng'shan
电感,dian'gan
电杆,dian'gan
电杆电容,dian'gan'dian'rong
电感量,dian'gan'liang
电感滤波,dian'gan'lv'bo
电感滤波电路,dian'gan'lv'bo'dian'lu
电感滤波器,dian'gan'lv'bo'qi
电感器,dian'gan'qi
电感效应,dian'gan'xiao'ying
电感性,dian'gan'xing
电感性电路,dian'gan'xing'dian'lu
电感元件,dian'gan'yuan'jian
电工,dian'gong
电工测量,dian'gong'ce'liang
电工刀,dian'gong'dao
电工胶带,dian'gong'jiao'dai
电功率,dian'gong'lv
电工设备,dian'gong'she'bei
电工仪表,dian'gong'yi'biao
电工仪器仪表,dian'gong'yi'qi'yi'biao
电管站,dian'guan'zhan
点焊,dian'han
电焊,dian'han
电焊机,dian'han'ji
电焊钳,dian'han'qian
电荷,dian'he
电荷泵,dian'he'beng
电荷存储二极管,dian'he'cun'chu'er'ji'guan
电荷耦合成象器件,dian'he'ou'he'cheng'xiang'qi'jian
电荷耦合器件,dian'he'ou'he'qi'jian
电荷耦合器件存储器,dian'he'ou'he'qi'jian'cun'chu'qi
电荷耦合器件延迟线,dian'he'ou'he'qi'jian'yan'chi'xian
电荷引发器件,dian'he'yin'fa'qi'jian
电荷注入器件,dian'he'zhu'ru'qi'jian
电荷转移器件,dian'he'zhuan'yi'qi'jian
电弧,dian'hu
电弧焊,dian'hu'han
电弧联变,dian'hu'lian'bian
电火花,dian'huo'hua
点火源,dian'huo'yuan
电机,dian'ji
电极电流,dian'ji'dian'liu
淀积率,dian'ji'lv
电机修理,dian'ji'xiu'li
电价,dian'jia
电剪刀,dian'jian'dao
电角度,dian'jiao'du
点接触二极管,dian'jie'chu'er'ji'guan
电解电容器,dian'jie'dian'rong'qi
电锯,dian'ju
电抗,dian'kang
电抗定理,dian'kang'ding'li
电抗器,dian'kang'qi
电抗网络,dian'kang'wang'luo
电抗线圈,dian'kang'xian'quan
电可擦编程只读存储器,dian'ke'ca'bian'cheng'zhi'du'cun'chu'qi
电缆,dian'lan
电缆分接箱,dian'lan'fen'jie'xiang
电缆分支箱,dian'lan'fen'zhi'xiang
电缆连接器,dian'lan'lian'jie'qi
电缆式电流互感器,dian'lan'shi'dian'liu'hu'gan'qi
电缆线路,dian'lan'xian'lu
电缆芯,dian'lan'xin
电缆噪声,dian'lan'zao'sheng
电缆张力传感器,dian'lan'zhang'li'chuan'gan'qi
电老虎,dian'lao'hu
电烙铁,dian'lao'tie
电力,dian'li
电力安全规程,dian'li'an'quan'gui'cheng
电离层传播,dian'li'ceng'chuan'bo
电力电缆,dian'li'dian'lan
电力设备,dian'li'she'bei
电力市场,dian'li'shi'chang
电力系统,dian'li'xi'tong
电力系统自动化,dian'li'xi'tong'zi'dong'hua
电力线路,dian'li'xian'lu
电量,dian'liang
电量报送,dian'liang'bao'song
电铃,dian'ling
电流,dian'liu
电流表,dian'liu'biao
电流并联,dian'liu'bing'lian
电流测量仪表,dian'liu'ce'liang'yi'biao
电流串联,dian'liu'chuan'lian
电流反馈,dian'liu'fan'kui
电流放大器,dian'liu'fang'da'qi
电流放大系数,dian'liu'fang'da'xi'shu
电流关系,dian'liu'guan'xi
电流互感器,dian'liu'hu'gan'qi
电流回路,dian'liu'hui'lu
电流继电器,dian'liu'ji'dian'qi
电流开关型逻辑,dian'liu'kai'guan'xing'luo'ji
电流控制,dian'liu'kong'zhi
电流密度,dian'liu'mi'du
电流强度,dian'liu'qiang'du
电流线圈,dian'liu'xian'quan
电流源,dian'liu'yuan
电路,dian'lu
电炉,dian'lu
电路仿真,dian'lu'fang'zhen
电路分析,dian'lu'fen'xi
电路模型,dian'lu'mo'xing
电路提取,dian'lu'ti'qu
电路拓扑学,dian'lu'tuo'pu'xue
电路元件,dian'lu'yuan'jian
电磨,dian'mo
电纳,dian'na
电脑连接器,dian'nao'lian'jie'qi
电脑整合制造,dian'nao'zheng'he'zhi'zao
电能,dian'neng
电能表,dian'neng'biao
电能量,dian'neng'liang
电能消耗,dian'neng'xiao'hao
电能仪表,dian'neng'yi'biao
电能用户,dian'neng'yong'hu
电能质量,dian'neng'zhi'liang
电偶极子,dian'ou'ji'zi
电抛光,dian'pao'guang
电平,dian'ping
电瓶电压表,dian'ping'dian'ya'biao
