暗根子,an'gen'zi
车八退七,che'ba'tui'qi
车八退三,che'ba'tui'san
车八退四,che'ba'tui'si
车八退五,che'ba'tui'wu
车八退一,che'ba'tui'yi
车二进,che'er'jin
车二进八,che'er'jin'ba
车二进二,che'er'jin'er
车二进九,che'er'jin'jiu
车二进六,che'er'jin'liu
车二进七,che'er'jin'qi
车二进三,che'er'jin'san
车二进四,che'er'jin'si
车二进五,che'er'jin'wu
车二进一,che'er'jin'yi
车二平,che'er'ping
车二平八,che'er'ping'ba
车二平九,che'er'ping'jiu
车二平六,che'er'ping'liu
车二平七,che'er'ping'qi
车二平三,che'er'ping'san
车二平四,che'er'ping'si
车二平五,che'er'ping'wu
车二平一,che'er'ping'yi
车二退,che'er'tui
车二退八,che'er'tui'ba
车二退二,che'er'tui'er
车二退九,che'er'tui'jiu
车二退六,che'er'tui'liu
车二退七,che'er'tui'qi
车二退三,che'er'tui'san
车二退四,che'er'tui'si
车二退五,che'er'tui'wu
车二退一,che'er'tui'yi
车九进,che'jiu'jin
车九进八,che'jiu'jin'ba
车九进二,che'jiu'jin'er
车九进九,che'jiu'jin'jiu
车九进六,che'jiu'jin'liu
车九进七,che'jiu'jin'qi
车九进三,che'jiu'jin'san
车九进四,che'jiu'jin'si
车九进五,che'jiu'jin'wu
车九进一,che'jiu'jin'yi
车九平,che'jiu'ping
车九平八,che'jiu'ping'ba
车九平二,che'jiu'ping'er
车九平六,che'jiu'ping'liu
车九平七,che'jiu'ping'qi
车九平三,che'jiu'ping'san
车九平四,che'jiu'ping'si
车九平五,che'jiu'ping'wu
车九平一,che'jiu'ping'yi
车九退,che'jiu'tui
车九退八,che'jiu'tui'ba
车九退二,che'jiu'tui'er
车九退九,che'jiu'tui'jiu
车九退六,che'jiu'tui'liu
车九退七,che'jiu'tui'qi
车九退三,che'jiu'tui'san
车九退四,che'jiu'tui'si
车九退五,che'jiu'tui'wu
车九退一,che'jiu'tui'yi
车控,che'kong
车六进,che'liu'jin
车六进八,che'liu'jin'ba
车六进二,che'liu'jin'er
车六进九,che'liu'jin'jiu
车六进六,che'liu'jin'liu
车六进七,che'liu'jin'qi
车六进三,che'liu'jin'san
车六进四,che'liu'jin'si
车六进五,che'liu'jin'wu
车六进一,che'liu'jin'yi
车六平,che'liu'ping
车六平八,che'liu'ping'ba
车六平二,che'liu'ping'er
车六平九,che'liu'ping'jiu
车六平七,che'liu'ping'qi
车六平三,che'liu'ping'san
车六平四,che'liu'ping'si
车六平五,che'liu'ping'wu
车六平一,che'liu'ping'yi
车六退,che'liu'tui
车六退八,che'liu'tui'ba
车六退二,che'liu'tui'er
车六退九,che'liu'tui'jiu
车六退六,che'liu'tui'liu
车六退七,che'liu'tui'qi
车六退三,che'liu'tui'san
车六退四,che'liu'tui'si
车六退五,che'liu'tui'wu
车六退一,che'liu'tui'yi
车每一着,che'mei'yi'zhe
撤炮,che'pao
车炮抽杀,che'pao'chou'sha
车七进,che'qi'jin
车七进八,che'qi'jin'ba
车七进二,che'qi'jin'er
车七进九,che'qi'jin'jiu
车七进六,che'qi'jin'liu
车七进七,che'qi'jin'qi
车七进三,che'qi'jin'san
车七进四,che'qi'jin'si
车七进五,che'qi'jin'wu
车七进一,che'qi'jin'yi
车七平,che'qi'ping
车七平八,che'qi'ping'ba
车七平二,che'qi'ping'er
车七平九,che'qi'ping'jiu
车七平六,che'qi'ping'liu
车七平三,che'qi'ping'san
车七平四,che'qi'ping'si
车七平五,che'qi'ping'wu
车七平一,che'qi'ping'yi
车七退,che'qi'tui
车七退八,che'qi'tui'ba
车七退二,che'qi'tui'er
车七退九,che'qi'tui'jiu
车七退六,che'qi'tui'liu
车七退七,che'qi'tui'qi
车七退三,che'qi'tui'san
车七退四,che'qi'tui'si
车七退五,che'qi'tui'wu
车七退一,che'qi'tui'yi
车前马后须相应,che'qian'ma'hou'xu'xiang'ying
车入花心,che'ru'hua'xin
车三进,che'san'jin
车三进八,che'san'jin'ba
车三进二,che'san'jin'er
车三进九,che'san'jin'jiu
车三进六,che'san'jin'liu
车三进七,che'san'jin'qi
车三进三,che'san'jin'san
车三进四,che'san'jin'si
车三进五,che'san'jin'wu
车三进一,che'san'jin'yi
车三平,che'san'ping
车三平八,che'san'ping'ba
车三平二,che'san'ping'er
车三平九,che'san'ping'jiu
车三平六,che'san'ping'liu
车三平七,che'san'ping'qi
车三平四,che'san'ping'si
车三平五,che'san'ping'wu
车三平一,che'san'ping'yi
车三退,che'san'tui
车三退八,che'san'tui'ba
车三退二,che'san'tui'er
车三退九,che'san'tui'jiu
车三退六,che'san'tui'liu
车三退七,che'san'tui'qi
车三退三,che'san'tui'san
车三退四,che'san'tui'si
车三退五,che'san'tui'wu
车三退一,che'san'tui'yi
车四进,che'si'jin
车四进八,che'si'jin'ba
车四进二,che'si'jin'er
车四进九,che'si'jin'jiu
车四进六,che'si'jin'liu
车四进七,che'si'jin'qi
车四进三,che'si'jin'san
车四进四,che'si'jin'si
车四进五,che'si'jin'wu
车四进一,che'si'jin'yi
车四平,che'si'ping
车四平八,che'si'ping'ba
车四平二,che'si'ping'er
车四平九,che'si'ping'jiu
车四平六,che'si'ping'liu
车四平七,che'si'ping'qi
车四平三,che'si'ping'san
车四平五,che'si'ping'wu
车四平一,che'si'ping'yi
车四退,che'si'tui
车四退八,che'si'tui'ba
车四退二,che'si'tui'er
车四退九,che'si'tui'jiu
车四退六,che'si'tui'liu
车四退七,che'si'tui'qi
车四退三,che'si'tui'san
车四退四,che'si'tui'si
车四退五,che'si'tui'wu
车四退一,che'si'tui'yi
车五进,che'wu'jin
车五进八,che'wu'jin'ba
车五进二,che'wu'jin'er
车五进九,che'wu'jin'jiu
车五进六,che'wu'jin'liu
车五进七,che'wu'jin'qi
车五进三,che'wu'jin'san
车五进四,che'wu'jin'si
车五进五,che'wu'jin'wu
车五进一,che'wu'jin'yi
车五平,che'wu'ping
车五平八,che'wu'ping'ba
车五平二,che'wu'ping'er
车五平九,che'wu'ping'jiu
车五平六,che'wu'ping'liu
车五平七,che'wu'ping'qi
车五平三,che'wu'ping'san
车五平四,che'wu'ping'si
车五平一,che'wu'ping'yi
车五退,che'wu'tui
车五退八,che'wu'tui'ba
车五退二,che'wu'tui'er
车五退九,che'wu'tui'jiu
车五退六,che'wu'tui'liu
车五退七,che'wu'tui'qi
车五退三,che'wu'tui'san
车五退四,che'wu'tui'si
车五退五,che'wu'tui'wu
车五退一,che'wu'tui'yi
车心马角,che'xin'ma'jiao
车一进,che'yi'jin
车一进八,che'yi'jin'ba
车一进二,che'yi'jin'er
车一进九,che'yi'jin'jiu
车一进六,che'yi'jin'liu
车一进七,che'yi'jin'qi
车一进三,che'yi'jin'san
车一进四,che'yi'jin'si
车一进五,che'yi'jin'wu
车一进一,che'yi'jin'yi
车一平,che'yi'ping
车一平八,che'yi'ping'ba
车一平二,che'yi'ping'er
车一平九,che'yi'ping'jiu
车一平六,che'yi'ping'liu
车一平七,che'yi'ping'qi
车一平三,che'yi'ping'san
车一平四,che'yi'ping'si
车一平五,che'yi'ping'wu
车一退,che'yi'tui
车一退八,che'yi'tui'ba
车一退二,che'yi'tui'er
车一退九,che'yi'tui'jiu
车一退六,che'yi'tui'liu
车一退七,che'yi'tui'qi
车一退三,che'yi'tui'san
车一退四,che'yi'tui'si
车一退五,che'yi'tui'wu
车一退一,che'yi'tui'yi
沉底炮,chen'di'pao
沉底月,chen'di'yue
陈富杰,chen'fu'jie
陈海华,chen'hai'hua
陈寒峰,chen'han'feng
陈罗平,chen'luo'ping
程吉俊,cheng'ji'jun
程鸣,cheng'ming
成名局,cheng'ming'ju
称为铁门栓妙杀,cheng'wei'tie'men'shuan'miao'sha
吃底象,chi'di'xiang
吃马,chi'ma
吃子,chi'zi
冲卒,chong'zu
抽将,chou'jiang
楚汉六凤,chu'han'liu'feng
出将,chu'jiang
出帅,chu'shuai
除帅,chu'shuai
出现循环反复,chu'xian'xun'huan'fan'fu
此局由于,ci'ju'you'yu
此象,ci'xiang
此着,ci'zhe
从没捉到捉,cong'mei'zhuo'dao'zhuo
从左路,cong'zuo'lu
错着百例,cuo'zhe'bai'li
大胆穿心,da'dan'chuan'xin
大刀剜心,da'dao'wan'xin
打死黑卒,da'si'hei'zu
打死红仕,da'si'hong'shi
打相,da'xiang
打象,da'xiang
待过河兵,dai'guo'he'bing
待判局面,dai'pan'ju'mian
单兵擒王,dan'bing'qin'wang
担竿炮,dan'gan'pao
但黑方也有,dan'hei'fang'ye'you
但黑有,dan'hei'you
单缺仕,dan'que'shi
单缺士,dan'que'shi
单缺相,dan'que'xiang
单缺象,dan'que'xiang
单缺相胜,dan'que'xiang'sheng
单提马,dan'ti'ma
担子炮,dan'zi'pao
党斐,dang'fei
当田字中心,dang'tian'zi'zhong'xin
到另一个空着的交叉点,dao'ling'yi'ge'kong'zhe'de'jiao'cha'dian
的规定时,de'gui'ding'shi
德国中国象棋联盟,de'guo'zhong'guo'xiang'qi'lian'meng
得仕,de'shi
的一方,de'yi'fang
得子得势,de'zi'de'shi
得子得先各得子,de'zi'dei'xian'ge'de'zi
得子失势,de'zi'shi'shi
得子失先却是输,de'zi'shi'xian'que'shi'shu
等着困敌,deng'zhe'kun'di
低兵,di'bing
底兵,di'bing
底炮,di'pao
底士,di'shi
底线防守,di'xian'fang'shou
调动子力,diao'dong'zi'li
钓鱼马,diao'yu'ma
叠叠炮,die'die'pao
叠炮,die'pao
东北三虎,dong'bei'san'hu
董旭彬,dong'xu'bin
都没有提和,dou'mei'you'ti'he
斗炮局,dou'pao'ju
对兵,dui'bing
对兵局,dui'bing'ju
兑车,dui'che
对方得胜,dui'fang'de'sheng
对黑方,dui'hei'fang
对局时,dui'ju'shi
兑马,dui'ma
对面笑,dui'mian'xiao
兑炮,dui'pao
对屏风马,dui'ping'feng'ma
兑其主力,dui'qi'zhu'li
对头兵,dui'tou'bing
兑子夺先,dui'zi'duo'xian
兑子夺子,dui'zi'duo'zi
兑子解困,dui'zi'jie'kun
对子棋,dui'zi'qi
兑子取胜,dui'zi'qu'sheng
兑子取势,dui'zi'qu'shi
兑子战术,dui'zi'zhan'shu
多打对多打,duo'da'dui'duo'da
扼控肋道,e'kong'lei'dao
鄂象,e'xiang
遏制黑,e'zhi'hei
二车,er'che
二打对二闲,er'da'dui'er'xian
二打二还打,er'da'er'hai'da
二打一还打,er'da'yi'hai'da
二鬼拍门,er'gui'pai'men
二将,er'jiang
二将对二闲,er'jiang'dui'er'xian
二将二还将,er'jiang'er'hai'jiang
而径走,er'jing'zou
二退,er'tui
二闲对一打一闲,er'xian'dui'yi'da'yi'xian
而占领叉点,er'zhan'ling'cha'dian
二捉,er'zhuo
二字车,er'zi'che
二卒,er'zu
反宫马,fan'gong'ma
反宫马专集,fan'gong'ma'zhuan'ji
范思远,fan'si'yuan
反先,fan'xian
方车,fang'che
方的攻势,fang'de'gong'shi
方多,fang'duo
方可按动,fang'ke'an'dong
方欠行认负,fang'qian'xing'ren'fu
方认负,fang'ren'fu
方胜定,fang'sheng'ding
方实现了,fang'shi'xian'le
方士象残缺,fang'shi'xiang'can'que
方无直,fang'wu'zhi
方终以,fang'zhong'yi
飞错了马,fei'cuo'le'ma
飞高象,fei'gao'xiang
非经对方提和一次,fei'jing'dui'fang'ti'he'yi'ci
飞相,fei'xiang
飞相对金钩炮,fei'xiang'dui'jin'gou'pao
飞相对起马,fei'xiang'dui'qi'ma
飞相对挺卒,fei'xiang'dui'ting'zu
飞相局,fei'xiang'ju
飞相局对右过宫炮,fei'xiang'ju'dui'you'guo'gong'pao
飞相局对左士角炮,fei'xiang'ju'dui'zuo'shi'jiao'pao
飞相局对左中炮,fei'xiang'ju'dui'zuo'zhong'pao
飞左象,fei'zuo'xiang
分为红,fen'wei'hong
封将门,feng'jiang'men
封棋着法有误,feng'qi'zhao'fa'you'wu
封死将门,feng'si'jiang'men
封锁敌路,feng'suo'di'lu
封锁战术,feng'suo'zhan'shu
否则红有,fou'ze'hong'you
伏沉,fu'chen
伏马,fu'ma
伏杀,fu'sha
傅信仁,fu'xin'ren
改走将,gai'zou'jiang
高钓马,gao'diao'ma
高头兵,gao'tou'bing
隔步成杀,ge'bu'cheng'sha
各分七种,ge'fen'qi'zhong
格拉拉,ge'la'la
葛维浦,ge'wei'pu
葛维蒲,ge'wei'pu
隔一步杀,ge'yi'bu'sha
宫顶线,gong'ding'xian
攻窝心马,gong'wo'xin'ma
共有九十个交叉点,gong'you'jiu'shi'ge'jiao'cha'dian
固己乱敌,gu'ji'luan'di
挂角马,gua'jiao'ma
挂盘讲解,gua'pan'jiang'jie
寡士怯双车,gua'shi'qie'shuang'che
拐角马,guai'jiao'ma
观秤,guan'cheng
官和,guan'he
广东惠州华轩象棋队,guang'dong'hui'zhou'hua'xuan'xiang'qi'dui
广东吕钦,guang'dong'lv'qin
广东小将,guang'dong'xiao'jiang
龟背炮,gui'bei'pao
归心马,gui'xin'ma
归心炮,gui'xin'pao
过宫敛炮,guo'gong'lian'pao
过宫马,guo'gong'ma
过宫炮,guo'gong'pao
过宫炮对还中炮,guo'gong'pao'dui'hai'zhong'pao
过河车,guo'he'che
过肋,guo'lei
郭丽萍,guo'li'ping
还中炮,hai'zhong'pao
合击战术,he'ji'zhan'shu
河界,he'jie
河界线,he'jie'xian
和势,he'shi
和十道横线,he'shi'dao'heng'xian
河头兵,he'tou'bing
河头车,he'tou'che
河头马,he'tou'ma
黑必胜,hei'bi'sheng
黑冲卒无奈,hei'chong'zu'wu'nai
黑出将,hei'chu'jiang
黑方必须,hei'fang'bi'xu
黑方变着,hei'fang'bian'zhe
黑方只有,hei'fang'zhi'you
黑负,hei'fu
黑高右横车,hei'gao'you'heng'che
黑进路卒转中炮对屏风马,hei'jin'lu'zu'zhuan'zhong'pao'dui'ping'feng'ma
黑进炮压马,hei'jin'pao'ya'ma
黑进卒,hei'jin'zu
黑进卒右炮巡河,hei'jin'zu'you'pao'xun'he
黑进卒右炮压马,hei'jin'zu'you'pao'ya'ma
黑进卒左炮封车,hei'jin'zu'zuo'pao'feng'che
黑径冲卒,hei'jing'chong'zu
黑两组,hei'liang'zu
黑马紧贴红马而行,hei'ma'jin'tie'hong'ma'er'xing
黑炮,hei'pao
黑平右炮亮车,hei'ping'you'pao'liang'che
黑弃路卒,hei'qi'lu'zu
黑如,hei'ru
黑如改走,hei'ru'gai'zou
黑若,hei'ruo
黑上右士,hei'shang'you'shi
黑上右象,hei'shang'you'xiang
黑上左象,hei'shang'zuo'xiang
黑胜,hei'sheng
黑胜定,hei'sheng'ding
黑双横车,hei'shuang'heng'che
黑也,hei'ye
黑亦,hei'yi
黑右车巡河,hei'you'che'xun'he
黑右士角炮,hei'you'shi'jiao'pao
黑右中炮,hei'you'zhong'pao
黑左车巡河,hei'zuo'che'xun'he
黑左过宫炮,hei'zuo'guo'gong'pao
横车,heng'che
横走,heng'zou
横走都可以,heng'zou'dou'ke'yi
红败局已定,hong'bai'ju'yi'ding
红兵,hong'bing
红兵底炮,hong'bing'di'pao
红此着,hong'ci'zhe
红兑三路兵,hong'dui'san'lu'bing
红方变着,hong'fang'bian'zhe
红负,hong'fu
红高左横车,hong'gao'zuo'heng'che
红横车占左肋,hong'heng'che'zhan'zuo'lei
红急进中兵,hong'ji'jin'zhong'bing
红进七兵,hong'jin'qi'bing
红进七兵边马,hong'jin'qi'bing'bian'ma
红进左炮捉马,hong'jin'zuo'pao'zhuo'ma
红两头蛇,hong'liang'tou'she
红两头蛇左车过河,hong'liang'tou'she'zuo'che'guo'he
红两头蛇左相飞边,hong'liang'tou'she'zuo'xiang'fei'bian
红炮,hong'pao
红平六路炮,hong'ping'liu'lu'pao
红平炮压马,hong'ping'pao'ya'ma
红平七路炮,hong'ping'qi'lu'pao
红棋,hong'qi
红七路马盘河,hong'qi'lu'ma'pan'he
红棋子,hong'qi'zi
红如,hong'ru
红上右正马,hong'shang'you'zheng'ma
红胜,hong'sheng
红双横车正马,hong'shuang'heng'che'zheng'ma
红双弃兵,hong'shuang'qi'bing
红五九炮,hong'wu'jiu'pao
红卸中炮,hong'xie'zhong'pao
红邀兑三路兵,hong'yao'dui'san'lu'bing
红右车过河,hong'you'che'guo'he
红右中炮,hong'you'zhong'pao
红正马,hong'zheng'ma
洪智,hong'zhi
红直车正马,hong'zhi'che'zheng'ma
红直横车,hong'zhi'heng'che
轰卒照将,hong'zu'zhao'jiang
红左马屯边,hong'zuo'ma'tun'bian
红左炮过河,hong'zuo'pao'guo'he
后兵,hou'bing
后兵进一,hou'bing'jin'yi
后兵平,hou'bing'ping
后兵平六,hou'bing'ping'liu
后兵平五,hou'bing'ping'wu
后马,hou'ma
后马进,hou'ma'jin
后马进四,hou'ma'jin'si
后马进五,hou'ma'jin'wu
后马退,hou'ma'tui
后中先,hou'zhong'xian
后卒进一,hou'zu'jin'yi
后卒平,hou'zu'ping
后卒平四,hou'zu'ping'si
湖北队主帅,hu'bei'dui'zhu'shuai
湖北宏宇队,hu'bei'hong'yu'dui
湖北柳大华,hu'bei'liu'da'hua
互进拐角马,hu'jin'guai'jiao'ma
互进三兵,hu'jin'san'bing
胡荣华,hu'rong'hua
护双卒,hu'shuang'zu
虎坐中堂,hu'zuo'zhong'tang
花士象,hua'shi'xiang
华夏七鹰,hua'xia'qi'ying
花心车,hua'xin'che
花心卒,hua'xin'zu
华轩杯全国象棋甲级联赛,hua'xuan'bei'quan'guo'xiang'qi'jia'ji'lian'sai
划有交叉线,hua'you'jiao'cha'xian
缓开车,huan'kai'che
缓手,huan'shou
换双卒,huan'shuang'zu
回合的残局形势,hui'he'de'can'ju'xing'shi
回合时,hui'he'shi
回合时的,hui'he'shi'de
惠州华轩杯,hui'zhou'hua'xuan'bei
或一横,huo'yi'heng
或主动送吃,huo'zhu'dong'song'chi
或走成和棋为止,huo'zou'cheng'he'qi'wei'zhi
及结局图棋局,ji'jie'ju'tu'qi'ju
计时方案,ji'shi'fang'an
即使黑马,ji'shi'hei'ma
计时钟,ji'shi'zhong
吉翔,ji'xiang
夹车炮,jia'che'pao
江湖残局,jiang'hu'can'ju
江南四燕,jiang'nan'si'yan
将帅捕杀,jiang'shuai'bu'sha
将死,jiang'si
将一个,jiang'yi'ge
交叉组成,jiao'cha'zu'cheng
交流棋艺,jiao'liu'qi'yi
借车使炮,jie'che'shi'pao
借炮使马,jie'pao'shi'ma
进八,jin'ba
进车,jin'che
紧凑老练,jin'cou'lao'lian
进二,jin'er
金钩炮,jin'gou'pao
金钩炮对起马,jin'gou'pao'dui'qi'ma
金海英,jin'hai'ying
进九,jin'jiu
紧靠一直,jin'kao'yi'zhi
进六,jin'liu
进炮应须要辅车,jin'pao'ying'xu'yao'fu'che
进七,jin'qi
进七兵,jin'qi'bing
进三,jin'san
进三兵,jin'san'bing
进四,jin'si
金松,jin'song
进五,jin'wu
紧要之着,jin'yao'zhi'zhe
进一,jin'yi
进一马,jin'yi'ma
禁止着法,jin'zhi'zhao'fa
精警异常,jing'jing'yi'chang
精选着法,jing'xuan'zhao'fa
九道直线,jiu'dao'zhi'xian
九炮,jiu'pao
就算和棋,jiu'suan'he'qi
就算输棋,jiu'suan'shu'qi
九尾龟,jiu'wei'gui
局面属实,ju'mian'shu'shi
具体对阵为,ju'ti'dui'zhen'wei
卷下,juan'xia
均为拒绝,jun'wei'ju'jue
均在马蹄之下,jun'zai'ma'ti'zhi'xia
开局,kai'ju
开通子力,kai'tong'zi'li
可打死红兵,ke'da'si'hong'bing
客队身份,ke'dui'shen'fen
可见黑第,ke'jian'hei'di
可进可退,ke'jin'ke'tui
可以直进,ke'yi'zhi'jin
控局,kong'ju
控局得胜,kong'ju'de'sheng
控局制胜,kong'ju'zhi'sheng
空头炮,kong'tou'pao
空心炮,kong'xin'pao
控制局势,kong'zhi'ju'shi
困毙,kun'bi
困法,kun'fa
拦炮,lan'pao
老兵建功,lao'bing'jian'gong
勒车马,le'che'ma
肋车,lei'che
肋道,lei'dao
冷巷炮,leng'xiang'pao
李鸿嘉,li'hong'jia
李来群,li'lai'qun
立马车,li'ma'che
李群,li'qun
李少庚,li'shao'geng
李雪松,li'xue'song
李智屏,li'zhi'ping
连环炮,lian'huan'pao
连将杀,lian'jiang'sha
敛炮,lian'pao
连战两轮,lian'zhan'liang'lun
联子配合,lian'zi'pei'he
两鬼拍门,liang'gui'pai'men
两款属于提和,liang'kuan'shu'yu'ti'he
两头蛇,liang'tou'she
列炮,lie'pao
列手炮,lie'shou'pao
林宏敏,lin'hong'min
岭南双龙,ling'nan'shuang'long
另一方必须回避,ling'yi'fang'bi'xu'hui'bi
另一方已,ling'yi'fang'yi
柳大华,liu'da'hua
刘殿中,liu'dian'zhong
六士,liu'shi
六十回合规则,liu'shi'hui'he'gui'ze
路边卒,lu'bian'zu
路车,lu'che
路河头,lu'he'tou
路炮,lu'pao
掠黑,lue'hei
掠仕获胜,lue'shi'huo'sheng
掠相,lue'xiang
轮到走棋的一方,lun'dao'zou'qi'de'yi'fang
轮走的,lun'zou'de
落家老练之着,luo'jia'lao'lian'zhi'zhe
吕钦,lv'qin
马八,ma'ba
马八进九,ma'ba'jin'jiu
马八进六,ma'ba'jin'liu
马八进七,ma'ba'jin'qi
马八进七车,ma'ba'jin'qi'che
马八退九,ma'ba'tui'jiu
马八退六,ma'ba'tui'liu
马八退七,ma'ba'tui'qi
马长捉兵,ma'chang'zhuo'bing
马出路,ma'chu'lu
马二进三,ma'er'jin'san
马二进四,ma'er'jin'si
马二进一,ma'er'jin'yi
马二退三,ma'er'tui'san
马二退四,ma'er'tui'si
马后炮,ma'hou'pao
马后炮杀,ma'hou'pao'sha
马九,ma'jiu
马九进八,ma'jiu'jin'ba
马九进七,ma'jiu'jin'qi
马九进七车,ma'jiu'jin'qi'che
马九退八,ma'jiu'tui'ba
马九退七,ma'jiu'tui'qi
马六进八,ma'liu'jin'ba
马六进七,ma'liu'jin'qi
马六进四,ma'liu'jin'si
马六进五,ma'liu'jin'wu
马六进五车,ma'liu'jin'wu'che
马六退八,ma'liu'tui'ba
马六退七,ma'liu'tui'qi
马六退四,ma'liu'tui'si
马六退五,ma'liu'tui'wu
马每着走,ma'mei'zhe'zou
马炮,ma'pao
马炮兵,ma'pao'bing
马炮仕相全,ma'pao'shi'xiang'quan
马炮双兵,ma'pao'shuang'bing
马炮双卒士象,ma'pao'shuang'zu'shi'xiang
马七,ma'qi
马七进八,ma'qi'jin'ba
马七进九,ma'qi'jin'jiu
马七进六,ma'qi'jin'liu
马七进五,ma'qi'jin'wu
马七进五车,ma'qi'jin'wu'che
马七退八,ma'qi'tui'ba
马七退九,ma'qi'tui'jiu
马七退六,ma'qi'tui'liu
马七退五,ma'qi'tui'wu
马前卒,ma'qian'zu
马三进二,ma'san'jin'er
马三进四,ma'san'jin'si
马三进五,ma'san'jin'wu
马三进五车,ma'san'jin'wu'che
马三进一,ma'san'jin'yi
马三退二,ma'san'tui'er
马三退四,ma'san'tui'si
马三退五,ma'san'tui'wu
马三退一,ma'san'tui'yi
马士象全,ma'shi'xiang'quan
马四进二,ma'si'jin'er
马四进六,ma'si'jin'liu
马四进三,ma'si'jin'san
马四进五,ma'si'jin'wu
马四进五车,ma'si'jin'wu'che
马四退二,ma'si'tui'er
马四退六,ma'si'tui'liu
马四退三,ma'si'tui'san
马四退五,ma'si'tui'wu
马头炮,ma'tou'pao
马五,ma'wu
马五进六,ma'wu'jin'liu
马五进六车,ma'wu'jin'liu'che
马五进七,ma'wu'jin'qi
马五进三,ma'wu'jin'san
马五进四,ma'wu'jin'si
马五退六,ma'wu'tui'liu
马五退七,ma'wu'tui'qi
马五退三,ma'wu'tui'san
马五退四,ma'wu'tui'si
