阿方索三世,a'fang'suo'san'shi
大规模杀伤性武器,da'gui'mo'sha'shang'xing'wu'qi
大陆交通,da'lu'jiao'tong
大清朝廷,da'qing'chao'ting
大清洗,da'qing'xi
大西洋共同体,da'xi'yang'gong'tong'ti
大宪章,da'xian'zhang
大萧条,da'xiao'tiao
大选获胜,da'xuan'huo'sheng
大英博物馆,da'ying'bo'wu'guan
大英帝国,da'ying'di'guo
大英帝国殖民体系,da'ying'di'guo'zhi'min'ti'xi
戴高乐,dai'gao'le
代号为,dai'hao'wei
丹麦海盗帝国,dan'mai'hai'dao'di'guo
丹麦人,dan'mai'ren
担任首脑,dan'ren'shou'nao
当今世界,dang'jin'shi'jie
当选为,dang'xuan'wei
当选总统,dang'xuan'zong'tong
党章中,dang'zhang'zhong
到达北京,dao'da'bei'jing
到卡,dao'ka
的版图,de'ban'tu
的部落,de'bu'luo
的承认,de'cheng'ren
德川幕府,de'chuan'mu'fu
的顶点,de'ding'dian
德国各地,de'guo'ge'di
的国家,de'guo'jia
的皇帝,de'huang'di
的建立,de'jian'li
的军队,de'jun'dui
的口号,de'kou'hao
的利益,de'li'yi
的领主,de'ling'zhu
的入侵,de'ru'qin
的首都,de'shou'du
的统治,de'tong'zhi
的邀请,de'yao'qing
的一半,de'yi'ban
德意志邦联,de'yi'zhi'bang'lian
德意志帝国,de'yi'zhi'di'guo
德意志联邦共和国,de'yi'zhi'lian'bang'gong'he'guo
德意志民主共和国,de'yi'zhi'min'zhu'gong'he'guo
的语言,de'yu'yan
的战争,de'zhan'zheng
的政权,de'zheng'quan
登基,deng'ji
第二次世界大战,di'er'ci'shi'jie'da'zhan
第二次世界大战中,di'er'ci'shi'jie'da'zhan'zhong
第二共和国,di'er'gong'he'guo
第二经济大国,di'er'jing'ji'da'guo
第二王朝,di'er'wang'chao
缔结条约,di'jie'tiao'yue
地理单元,di'li'dan'yuan
地面攻势,di'mian'gong'shi
第三共和国,di'san'gong'he'guo
第三王朝,di'san'wang'chao
第四共和国,di'si'gong'he'guo
第四条款,di'si'tiao'kuan
第五共和国,di'wu'gong'he'guo
迪亚兹,di'ya'zi
第一部宪法,di'yi'bu'xian'fa
第一次世界大战,di'yi'ci'shi'jie'da'zhan
第一次世界大战后,di'yi'ci'shi'jie'da'zhan'hou
第一大党,di'yi'da'dang
第一共和国,di'yi'gong'he'guo
第一届,di'yi'jie
第一王朝,di'yi'wang'chao
第一位国王,di'yi'wei'guo'wang
第一执政,di'yi'zhi'zheng
地中海的,di'zhong'hai'de
地中海西部,di'zhong'hai'xi'bu
地中海沿岸,di'zhong'hai'yan'an
典型的,dian'xing'de
东部的,dong'bu'de
东德,dong'de
东印度公司,dong'yin'du'gong'si
独裁统治,du'cai'tong'zhi
渡槽,du'cao
都铎王朝,du'duo'wang'chao
渡海征服,du'hai'zheng'fu
独立的,du'li'de
独立国家,du'li'guo'jia
独立国家联合体,du'li'guo'jia'lian'he'ti
独立国家联合体协议,du'li'guo'jia'lian'he'ti'xie'yi
独立国家联合体协议议定书,du'li'guo'jia'lian'he'ti'xie'yi'yi'ding'shu
独立外交政策,du'li'wai'jiao'zheng'ce
独立为,du'li'wei
独立宣言,du'li'xuan'yan
独立战争,du'li'zhan'zheng
独立自主,du'li'zi'zhu
对外贸易,dui'wai'mao'yi
对外主张,dui'wai'zhu'zhang
多边自主,duo'bian'zi'zhu
多国部队,duo'guo'bu'dui
多国联盟,duo'guo'lian'meng
多利亚人,duo'li'ya'ren
夺取政权,duo'qu'zheng'quan
厄尔图格鲁尔,e'er'tu'ge'lu'er
俄罗斯帝国,e'luo'si'di'guo
俄罗斯独立,e'luo'si'du'li
俄罗斯联邦,e'luo'si'lian'bang
恩里克,en'li'ke
法德友好条约,fa'de'you'hao'tiao'yue
发动了,fa'dong'le
发动叛乱,fa'dong'pan'luan
法国,fa'guo
法国巴黎高等军事学校,fa'guo'ba'li'gao'deng'jun'shi'xue'xiao
法国凯旋门,fa'guo'kai'xuan'men
法国资产阶级革命,fa'guo'zi'chan'jie'ji'ge'ming
法兰西第一帝国,fa'lan'xi'di'yi'di'guo
法兰西第一共和国,fa'lan'xi'di'yi'gong'he'guo
法兰西共和国,fa'lan'xi'gong'he'guo
法兰西民族,fa'lan'xi'min'zu
法西斯,fa'xi'si
反对党,fan'dui'dang
反英大起义,fan'ying'da'qi'yi
访问日本,fang'wen'ri'ben
废除农奴制,fei'chu'nong'nu'zhi
废藩置县,fei'fan'zhi'xian
腓尼基语,fei'ni'ji'yu
腓尼基字母,fei'ni'ji'zi'mu
非洲北海岸,fei'zhou'bei'hai'an
分裂为,fen'lie'wei
分支机构,fen'zhi'ji'gou
封建割据,feng'jian'ge'ju
封建国家,feng'jian'guo'jia
封建政权,feng'jian'zheng'quan
封建制度,feng'jian'zhi'du
佛朗哥,fo'lang'ge
富国强兵,fu'guo'jiang'bing
弗拉基米尔,fu'la'ji'mi'er
福利制度,fu'li'zhi'du
富裕阶层,fu'yu'jie'ceng
该国的,gai'guo'de
改国号为,gai'guo'hao'wei
改年号为,gai'nian'hao'wei
盖尤斯,gai'you'si
高技术条件,gao'ji'shu'tiao'jian
高卢,gao'lu
高速增长,gao'su'zeng'zhang
高支持率,gao'zhi'chi'lv
隔海相望,ge'hai'xiang'wang
格隆,ge'long
哥伦布,ge'lun'bu
革命军,ge'ming'jun
各省总督,ge'sheng'zong'du
哥特人,ge'te'ren
共产国际,gong'chan'guo'ji
工党,gong'dang
工党领袖,gong'dang'ling'xiu
公共开支,gong'gong'kai'zhi
公共浴室,gong'gong'yu'shi
共和国大议长,gong'he'guo'da'yi'zhang
共同发表,gong'tong'fa'biao
工业发展,gong'ye'fa'zhan
共有六,gong'you'liu
共有五,gong'you'wu
共主联邦模式,gong'zhu'lian'bang'mo'shi
古埃及是,gu'ai'ji'shi
古城名,gu'cheng'ming
古罗马帝国,gu'luo'ma'di'guo
古罗马人,gu'luo'ma'ren
古王国,gu'wang'guo
古希腊文明,gu'xi'la'wen'ming
古意大利,gu'yi'da'li
光复领土,guang'fu'ling'tu
光荣革命,guang'rong'ge'ming
过渡政府,guo'du'zheng'fu
国际合作,guo'ji'he'zuo
国际新秩序,guo'ji'xin'zhi'xu
国家考古公园,guo'jia'kao'gu'gong'yuan
国家名称,guo'jia'ming'cheng
国家主权宣言,guo'jia'zhu'quan'xuan'yan
国教,guo'jiao
国民经济,guo'min'jing'ji
国民生产总值,guo'min'sheng'chan'zong'zhi
国民运动,guo'min'yun'dong
国王任命,guo'wang'ren'ming
哈得逊河,ha'de'xun'he
哈里斯河,ha'li'si'he
海盗帝国,hai'dao'di'guo
海上霸权,hai'shang'ba'quan
海上贸易,hai'shang'mao'yi
海上强国,hai'shang'qiang'guo
海湾战争,hai'wan'zhan'zheng
海湾战争爆发,hai'wan'zhan'zheng'bao'fa
汉帝国,han'di'guo
好望角,hao'wang'jiao
和北非,he'bei'fei
荷兰的,he'lan'de
荷兰东印度公司,he'lan'dong'yin'du'gong'si
荷兰联合东印度公司,he'lan'lian'he'dong'yin'du'gong'si
荷兰联省共和国,he'lan'lian'sheng'gong'he'guo
荷兰人,he'lan'ren
荷兰人的,he'lan'ren'de
荷兰三色旗,he'lan'san'se'qi
荷兰士兵,he'lan'shi'bing
荷兰使团,he'lan'shi'tuan
荷马时代,he'ma'shi'dai
荷马时代末期,he'ma'shi'dai'mo'qi
荷马史诗,he'ma'shi'shi
和平条约,he'ping'tiao'yue
和平友好条约,he'ping'you'hao'tiao'yue
赫梯,he'ti
赫梯国家,he'ti'guo'jia
赫梯人,he'ti'ren
赫梯王国,he'ti'wang'guo
赫梯语,he'ti'yu
赫梯族,he'ti'zu
和雅典,he'ya'dian
黑暗时代,hei'an'shi'dai
胡安,hu'an
呼罗珊地区,hu'luo'shan'di'qu
胡尼,hu'ni
华盛顿,hua'sheng'dun
皇家炮兵少尉,huang'jia'pao'bing'shao'wei
黄金时期,huang'jin'shi'qi
皇太子,huang'tai'zi
恢复君主制,hui'fu'jun'zhu'zhi
毁灭了,hui'mie'le
货币供应量,huo'bi'gong'ying'liang
获得通过,huo'de'tong'guo
霍特普司克摩伊,huo'te'pu'si'ke'mo'yi
击败西班牙,ji'bai'xi'ban'ya
积极参与,ji'ji'can'yu
积极态度,ji'ji'tai'du
基齐尔,ji'qi'er
吉塞,ji'sai
加玛,jia'ma
加盟共和国,jia'meng'gong'he'guo
加入欧盟,jia'ru'ou'meng
加入欧元,jia'ru'ou'yuan
加入协约国,jia'ru'xie'yue'guo
迦太基,jia'tai'ji
迦太基人,jia'tai'ji'ren
迦太基遗址,jia'tai'ji'yi'zhi
迦太基战争,jia'tai'ji'zhan'zheng
将领结盟,jiang'ling'jie'meng
焦瑟,jiao'se
结束时间,jie'shu'shi'jian
阶梯金字塔建筑群,jie'ti'jin'zi'ta'jian'zhu'qun
近东文明,jin'dong'wen'ming
进攻性行动,jin'gong'xing'xing'dong
觐见皇帝,jin'jian'huang'di
金属冶炼,jin'shu'ye'lian
今天的,jin'tian'de
今土耳其,jin'tu'er'qi
今突尼斯,jin'tu'ni'si
经济实力,jing'ji'shi'li
经济中,jing'ji'zhong
经济组织,jing'ji'zu'zhi
局部战争,ju'bu'zhan'zheng
举行了,ju'xing'le
绝对主权,jue'dui'zhu'quan
军队建设,jun'dui'jian'she
军官资格,jun'guan'zi'ge
军国主义,jun'guo'zhu'yi
均权政治学说,jun'quan'zheng'zhi'xue'shuo
军事打击,jun'shi'da'ji
军事调遣,jun'shi'diao'qian
军事封建帝国主义国家,jun'shi'feng'jian'di'guo'zhu'yi'guo'jia
军事工业,jun'shi'gong'ye
君士坦丁堡,jun'shi'tan'ding'bao
君士坦丁大帝,jun'shi'tan'ding'da'di
军事同盟,jun'shi'tong'meng
军事战略,jun'shi'zhan'lue
君主国,jun'zhu'guo
君主立宪,jun'zhu'li'xian
君主立宪制,jun'zhu'li'xian'zhi
君主制国家,jun'zhu'zhi'guo'jia
卡布奥,ka'bu'ao
卡洛斯,ka'luo'si
卡洛斯一世,ka'luo'si'yi'shi
卡尼什,ka'ni'shen
卡帕多细亚,ka'pa'duo'xi'ya
卡斯蒂利亚王国,ka'si'di'li'ya'wang'guo
卡斯克摩,ka'si'ke'mo
凯尔特人,kai'er'te'ren
凯撒,kai'sa
恺撒,kai'sa
开始衰败,kai'shi'shuai'bai
开始衰落,kai'shi'shuai'luo
开始向,kai'shi'xiang
开始形成,kai'shi'xing'cheng
克拉苏,ke'la'su
克里特文明,ke'li'te'wen'ming
克娄巴特拉,ke'lou'ba'te'la
克伦威尔,ke'lun'wei'er
科西嘉岛,ke'xi'jia'dao
科西嘉族,ke'xi'jia'zu
空前膨胀,kong'qian'peng'zhang
孔雀帝国,kong'que'di'guo
孔雀王朝,kong'que'wang'chao
控制地位,kong'zhi'di'wei
劳工代表委员会,lao'gong'dai'biao'wei'yuan'hui
雷穆斯,lei'mu'si
冷战后,leng'zhan'hou
冷战结束,leng'zhan'jie'shu
立法形式,li'fa'xing'shi
联邦德国,lian'bang'de'guo
联邦会议,lian'bang'hui'yi
联邦欧洲,lian'bang'ou'zhou
联合国安理会,lian'he'guo'an'li'hui
联合国安全理事会,lian'he'guo'an'quan'li'shi'hui
联合王国,lian'he'wang'guo
联合政府,lian'he'zheng'fu
联姻合并,lian'yin'he'bing
两国关系,liang'guo'guan'xi
两河流域,liang'he'liu'yu
两万名,liang'wan'ming
列宁,lie'ning
临时政府,lin'shi'zheng'fu
领土完整,ling'tu'wan'zheng
另一支,ling'yi'zhi
六国外长会议,liu'guo'wai'zhang'hui'yi
罗马帝国,luo'ma'di'guo
罗马教皇,luo'ma'jiao'huang
罗马人,luo'ma'ren
罗慕路斯,luo'mu'lu'si
罗姆苏丹,luo'mu'su'dan
罗姆苏丹国,luo'mu'su'dan'guo
迈锡尼文明,mai'xi'ni'wen'ming
贸易额,mao'yi'e
美国的,mei'guo'de
美国军队,mei'guo'jun'dui
美国人民,mei'guo'ren'min
美尼斯,mei'ni'si
美西战争,mei'xi'zhan'zheng
孟德斯鸠,meng'de'si'jiu
孟斐斯,meng'fei'si
孟斐斯帝国,meng'fei'si'di'guo
盟国管制委员会,meng'guo'guan'zhi'wei'yuan'hui
秘书长,mi'shu'zhang
灭亡埃及,mie'wang'ai'ji
民族国家,min'zu'guo'jia
民族自决,min'zu'zi'jue
明仁,ming'ren
明仁即位,ming'ren'ji'wei
明治维新,ming'zhi'wei'xin
明治政府,ming'zhi'zheng'fu
末代国王,mo'dai'guo'wang
莫斯科大公国,mo'si'ke'da'gong'guo
莫卧儿帝国,mo'wo'er'di'guo
穆斯林军团,mu'si'lin'jun'tuan
穆斯林民族,mu'si'lin'min'zu
纳特里克特,na'te'li'ke'te
南北战争,nan'bei'zhan'zheng
南亚次大陆,nan'ya'ci'da'lu
内阁制,nei'ge'zhi
尼罗河下游地区,ni'luo'he'xia'you'de'qu
年波斯,nian'bo'si
年成立,nian'cheng'li
年召开,nian'zhao'kai
年之久,nian'zhi'jiu
涅西特人,nie'xi'te'ren
涅西特语,nie'xi'te'yu
农民问题,nong'min'wen'ti
农奴制度,nong'nu'zhi'du
农业基本法,nong'ye'ji'ben'fa
农业集体化政策,nong'ye'ji'ti'hua'zheng'ce
农业税,nong'ye'shui
奴隶起义,nu'li'qi'yi
奴隶制国家,nu'li'zhi'guo'jia
诺曼底公爵,nuo'man'di'gong'jue
欧洲北部,ou'zhou'bei'bu
欧洲大陆,ou'zhou'da'lu
欧洲共同体,ou'zhou'gong'tong'ti
欧洲国家,ou'zhou'guo'jia
欧洲一体化,ou'zhou'yi'ti'hua
派遣使团,pai'qian'shi'tuan
庞培,pang'pei
炮兵学,pao'bing'xue
佩卓,pei'zhuo
平成,ping'cheng
平成元年,ping'cheng'yuan'nian
平等合作,ping'deng'he'zuo
普法战争,pu'fa'zhan'zheng
普鲁士,pu'lu'shi
葡萄牙帝国,pu'tao'ya'di'guo
七个王国,qi'ge'wang'guo
七十年代,qi'shi'nian'dai
七星期战争,qi'xing'qi'zhan'zheng
企业界,qi'ye'jie
签订了,qian'ding'le
前去保护,qian'qu'bao'hu
潜在威胁,qian'zai'wei'xie
秦帝国,qin'di'guo
侵苏战争,qin'su'zhan'zheng
青年武士,qing'nian'wu'shi
清洗了,qing'xi'le
趋于正常化,qu'yu'zheng'chang'hua
全国性政府,quan'guo'xing'zheng'fu
全国义务兵制,quan'guo'yi'wu'bing'zhi
全民公决,quan'min'gong'jue
全民投票,quan'min'tou'piao
全球第一,quan'qiu'di'yi
全球商业霸权,quan'qiu'shang'ye'ba'quan
热那亚共和国,re'na'ya'gong'he'guo
日本的,ri'ben'de
日本经济,ri'ben'jing'ji
日本首相,ri'ben'shou'xiang
日本政府,ri'ben'zheng'fu
日不落帝国,ri'bu'luo'di'guo
日耳曼人,ri'er'man'ren
日军投降,ri'jun'tou'xiang
入主中原,ru'zhu'zhong'yuan
萨克逊人,sa'ke'xun'ren
撒克逊时代,sa'ke'xun'shi'dai
塞尔维亚王国,sai'er'wei'ya'wang'guo
塞尔柱土耳其人,sai'er'zhu'tu'er'qi'ren
三拜九叩,san'bai'jiu'kou
三大洲,san'da'zhou
三国同盟,san'guo'tong'meng
三年内战,san'nian'nei'zhan
沙俄帝国,sha'e'di'guo
沙皇,sha'huang
沙卡拉,sha'ka'la
沙漠风暴,sha'mo'feng'bao
沙漠军刀,sha'mo'jun'dao
上帝之鞭,shang'di'zhi'bian
上台执政,shang'tai'zhi'zheng
商王国,shang'wang'guo
商业繁荣,shang'ye'fan'rong
商业公社,shang'ye'gong'she
商业殖民地,shang'ye'zhi'min'di
社会党,she'hui'dang
社会问题,she'hui'wen'ti
社会主义革命,she'hui'zhu'yi'ge'ming
社会主义国家政权,she'hui'zhu'yi'guo'jia'zheng'quan
市场买卖,shi'chang'mai'mai
世纪初,shi'ji'chu
世纪末,shi'ji'mo
世纪中期,shi'ji'zhong'qi
世纪中叶,shi'ji'zhong'ye
世纪左右,shi'ji'zuo'you
世界各国,shi'jie'ge'guo
世界格局,shi'jie'ge'ju
世界历史上,shi'jie'li'shi'shang
世界民族大迁徙,shi'jie'min'zu'da'qian'xi
世界强国,shi'jie'qiang'guo
世界上第一个,shi'jie'shang'di'yi'ge
世界石油主产区,shi'jie'shi'you'zhu'chan'qu
世界文化与自然遗产,shi'jie'wen'hua'yu'zi'ran'yi'chan
十九世纪,shi'jiu'shi'ji
势力最大的,shi'li'zui'da'de
是斯巴达,shi'si'ba'da
石头建筑,shi'tou'jian'zhu
实现了,shi'xian'le
是英国,shi'ying'guo
石油问题,shi'you'wen'ti
十月革命,shi'yue'ge'ming
十月社会主义革命,shi'yue'she'hui'zhu'yi'ge'ming
首次正式,shou'ci'zheng'shi
授权下,shou'quan'xia
水力帝国,shui'li'di'guo
斯巴达克斯,si'ba'da'ke'si
斯大林,si'da'lin
四十年代,si'shi'nian'dai
死亡人数,si'wang'ren'shu
肃反,su'fan
苏格兰国王,su'ge'lan'guo'wang
苏拉,su'la
苏联的,su'lian'de
苏联共产党,su'lian'gong'chan'dang
苏联国务委员会,su'lian'guo'wu'wei'yuan'hui
苏联解体,su'lian'jie'ti
苏联最高苏维埃共和国院,su'lian'zui'gao'su'wei'ai'gong'he'guo'yuan
苏维埃社会主义共和国联盟,su'wei'ai'she'hui'zhu'yi'gong'he'guo'lian'meng
苏维埃政府,su'wei'ai'zheng'fu
苏维埃政权,su'wei'ai'zheng'quan
苏亚雷斯,su'ya'lei'si
苏占区,su'zhan'qu
随团出访,sui'tuan'chu'fang
索古德地区,suo'gu'de'di'qu
特隆,te'long
特殊关系,te'shu'guan'xi
天朝规矩,tian'chao'gui'ju
田中访华,tian'zhong'fang'hua
田中角荣,tian'zhong'jiao'rong
调整商业,tiao'zheng'shang'ye
停止存在,ting'zhi'cun'zai
通过决议,tong'guo'jue'yi
通过宪法,tong'guo'xian'fa
同美国,tong'mei'guo
同盟国,tong'meng'guo
统一的,tong'yi'de
统一了,tong'yi'le
统治全国,tong'zhi'quan'guo
统治时期,tong'zhi'shi'qi
统治者们,tong'zhi'zhe'men
投降德国,tou'xiang'de'guo
土耳其帝国,tu'er'qi'di'guo
突尼斯城,tu'ni'si'cheng
突尼斯政府,tu'ni'si'zheng'fu
退出北约,tui'chu'bei'yue
推翻了,tui'fan'le
托利党,tuo'li'dang
托洛茨基,tuo'luo'ci'ji
瓦思库,wa'si'ku
外高加索联邦,wai'gao'jia'suo'lian'bang
外交上,wai'jiao'shang
外交使团,wai'jiao'shi'tuan
外交斡旋,wai'jiao'wo'xuan
完全独立,wan'quan'du'li
万亿美元,wan'yi'mei'yuan
王朝复辟,wang'chao'fu'bi
汪达尔人,wang'da'er'ren
王权,wang'quan
威而士,wei'er'shi
威尔士与,wei'er'shi'yu
位法老,wei'fa'lao
围攻战,wei'gong'zhan
位国王,wei'guo'wang
为恢复,wei'hui'fu
为口号,wei'kou'hao
威廉三世,wei'lian'san'shi
魏玛共和国,wei'ma'gong'he'guo
维萨里奥诺维奇,wei'sa'li'ao'nuo'wei'qi
威塞克斯,wei'sai'ke'si
威塞克斯国王,wei'sai'ke'si'guo'wang
为首的,wei'shou'de
为首相,wei'shou'xiang
威斯敏斯特法案,wei'si'min'si'te'fa'an
维也纳会议,wei'ye'na'hui'yi
唯一的,wei'yi'de
唯一继承国,wei'yi'ji'cheng'guo
屋大维,wu'da'wei
无敌舰队,wu'di'jian'dui
乌克兰,wu'ke'lan
西部占领区,xi'bu'zhan'ling'qu
西德,xi'de
西方大国,xi'fang'da'guo
西方国家,xi'fang'guo'jia
西方议会民主政治,xi'fang'yi'hui'min'zhu'zheng'zhi
希腊城邦,xi'la'cheng'bang
希腊军队,xi'la'jun'dui
希腊历史,xi'la'li'shi
西台,xi'tai
喜太,xi'tai
希泰,xi'tai
西泰特,xi'tai'te
希特勒,xi'te'le
西突厥人,xi'tu'jue'ren
西西里,xi'xi'li
西西里岛,xi'xi'li'dao
西亚中部,xi'ya'zhong'bu
西印度群岛,xi'yin'du'qun'dao
先后来到,xian'hou'lai'dao
先胜后败,xian'sheng'hou'bai
现有党员,xian'you'dang'yuan
相继入侵,xiang'ji'ru'qin
香料贸易,xiang'liao'mao'yi
向外殖民,xiang'wai'zhi'min
象征胜利的,xiang'zheng'sheng'li'de
效法西方,xiao'fa'xi'fang
小亚细亚,xiao'ya'xi'ya
楔形文字,xie'xing'wen'zi
协约国,xie'yue'guo
新阿姆斯特丹城,xin'a'mu'si'te'dan'cheng
新巴比伦王国,xin'ba'bi'lun'wang'guo
新的城市,xin'de'cheng'shi
新工党,xin'gong'dang
新航线,xin'hang'xian
新经济政策,xin'jing'ji'zheng'ce
新罗马共和国,xin'luo'ma'gong'he'guo
新宪法,xin'xian'fa
新英国,xin'ying'guo
新中国,xin'zhong'guo
形成部落,xing'cheng'bu'luo
兴盛时期,xing'sheng'shi'qi
匈奴人,xiong'nu'ren
叙拉古,xu'la'gu
宣布成立,xuan'bu'cheng'li
宣布断绝,xuan'bu'duan'jue
宣布接受,xuan'bu'jie'shou
宣布苏联,xuan'bu'su'lian
宣布组成,xuan'bu'zu'cheng
宣告破裂,xuan'gao'po'lie
雅尔塔协定,ya'er'ta'xie'ding
亚非欧,ya'fei'ou
雅利安人,ya'li'an'ren
雅利安语系,ya'li'an'yu'xi
亚历山大帝国,ya'li'shan'da'di'guo
亚历山大二世,ya'li'shan'da'er'shi
亚述帝国,ya'shu'di'guo
亚述人,ya'shu'ren
亚太的,ya'tai'de
亚洲古国,ya'zhou'gu'guo
亚洲强国,ya'zhou'qiang'guo
严格控制,yan'ge'kong'zhi
叶卡捷琳娜二世,ye'ka'jie'lin'na'er'shi
伊比利亚人,yi'bi'li'ya'ren
意大利南部,yi'da'li'nan'bu
意大利王国,yi'da'li'wang'guo
伊尔马克河,yi'er'ma'ke'he
伊凡雷帝,yi'fan'lei'di
伊凡四世,yi'fan'si'shi
议会选举,yi'hui'xuan'ju
伊拉克部队,yi'la'ke'bu'dui
伊拉克军队,yi'la'ke'jun'dui
伊朗东部,yi'lang'dong'bu
伊朗高原,yi'lang'gao'yuan
伊里奇,yi'li'qi
伊里莎白一世,yi'li'sha'bai'yi'shi
以美国为首的,yi'mei'guo'wei'shou'de
亿美元,yi'mei'yuan
伊姆荷泰普,yi'mu'he'tai'pu
伊莎贝拉二世,yi'sha'bei'la'er'shi
伊特拉斯坎人,yi'te'la'si'kan'ren
伊特鲁里亚,yi'te'lu'li'ya
伊特鲁里亚城,yi'te'lu'li'ya'cheng
一译,yi'yi
伊战后,yi'zhan'hou
印巴分治,yin'ba'fen'zhi
印度次大陆,yin'du'ci'da'lu
印度独立,yin'du'du'li
印度共和国,yin'du'gong'he'guo
印度河文明,yin'du'he'wen'ming
印度教,yin'du'jiao
印欧语,yin'ou'yu
印欧语系,yin'ou'yu'xi
英法,ying'fa
英国国会,ying'guo'guo'hui
英国国民,ying'guo'guo'min
英国统治,ying'guo'tong'zhi
英国外交大臣,ying'guo'wai'jiao'da'chen
英国议会,ying'guo'yi'hui
英国政府,ying'guo'zheng'fu
英国主权,ying'guo'zhu'quan
英联邦,ying'lian'bang
英属北美殖民地,ying'shu'bei'mei'zhi'min'di
英苏关系,ying'su'guan'xi
英苏贸易协定,ying'su'mao'yi'xie'ding
英王,ying'wang
有关决议,you'guan'jue'yi
尤利乌斯,you'li'wu'si
与德国,yu'de'guo
余粮无偿征集,yu'liang'wu'chang'zheng'ji
与罗马,yu'luo'ma
与希腊,yu'xi'la
圆形阅览室,yuan'xing'yue'lan'shi
远征舰队,yuan'zheng'jian'dui
月大选,yue'da'xuan
约翰王,yue'han'wang
约瑟夫,yue'se'fu
月通过,yue'tong'guo
在日本,zai'ri'ben
早期封建国家,zao'qi'feng'jian'guo'jia
遭抑制,zao'yi'zhi
战败投降,zhan'bai'tou'xiang
占领区,zhan'ling'qu
占领全境,zhan'ling'quan'jing
占领日本,zhan'ling'ri'ben
战略地位,zhan'lue'di'wei
詹姆士,zhan'mu'shi
战胜法西斯,zhan'sheng'fa'xi'si
战役战术,zhan'yi'zhan'shu
战争双方,zhan'zheng'shuang'fang
张伯伦,zhang'bo'lun
昭和,zhao'he
昭和天皇,zhao'he'tian'huang
真主安拉,zhen'zhu'an'la
