案内役妖怪,an'nei'yi'yao'guai
丰月神,feng'yue'shen
浮春之乡,fu'chun'zhi'xiang
甘菜,gan'cai
冈部凉音,gang'bu'liang'yin
冈村明美,gang'cun'ming'mei
髙坂笃志,gao'ban'du'zhi
高濑右光,gao'lai'you'guang
高垣彩阳,gao'yuan'cai'yang
供奉神明,gong'feng'shen'ming
谷育子,gu'yu'zi
瓜姬,gua'ji
广桥凉,guang'qiao'liang
诡异的除妖人,gui'yi'de'chu'yao'ren
鬼猿面妖怪,gui'yuan'mian'yao'guai
河本邦宏,he'ben'bang'hong
河本邦弘,he'ben'bang'hong
鹤冈聪丙,he'gang'cong'bing
河童,he'tong
黑鎌的妖怪,hei'lian'de'yao'guai
黑田崇矢,hei'tian'chong'shi
红峰,hong'feng
护吾之人显其名,hu'wu'zhi'ren'xian'qi'ming
花子,hua'zi
回归的场所,hui'gui'de'chang'suo
回忆会永留于心,hui'yi'hui'yong'liu'yu'xin
吉野裕行,ji'ye'yu'xing
记忆之门,ji'yi'zhi'men
矶月之鼠,ji'yue'zhi'shu
加藤精三,jia'teng'jing'san
加藤奈奈绘,jia'teng'nai'nai'hui
菅沼久义,jian'zhao'jiu'yi
教师,jiao'shi
借纸,jie'zhi
井上和彦,jing'shang'he'yan
就一定不会孤单,jiu'yi'ding'bu'hui'gu'dan
就在尘埃落定前,jiu'zai'chen'ai'luo'ding'qian
卷毛,juan'mao
堀江一真,ku'jiang'yi'zhen
狸追,li'zhui
菱垣,ling'yuan
玲子,ling'zi
六花,liu'hua
柳原哲也,liu'yuan'zhe'ye
露神,lu'shen
露神的祠堂,lu'shen'de'ci'tang
绿川光,lv'chuan'guang
绿川幸,lv'chuan'xing
漫漫回家路,man'man'hui'jia'lu
猫咪老师,mao'mi'lao'shi
猫咪徒然帐,mao'mi'tu'ran'zhang
猫与友人帐,mao'yu'you'ren'zhang
迷惑之际,mi'huo'zhi'ji
民子,min'zi
名取,ming'qu
名取周一,ming'qu'zhou'yi
木村良平,mu'cun'liang'ping
木内秀信,mu'nei'xiu'xin
木之上妖怪,mu'zhi'shang'yao'guai
能登麻美子猿猴,neng'deng'ma'mei'zi'yuan'hou
牛头青鬼,niu'tou'qing'gui
平井善之,ping'jing'shan'zhi
破碎的镜子,po'sui'de'jing'zi
七濑,qi'lai
七濑女士,qi'lai'nv'shi
齐藤桂美子,qi'teng'gui'mei'zi
浅葱,qian'cong
浅葱之琴,qian'cong'zhi'qin
千和竜策,qian'he'long'ce
千津,qian'jin
青野武,qing'ye'wu
秋之夜宴,qiu'zhi'ye'yan
去看秀丽的溪谷,qu'kan'xiu'li'de'xi'gu
去看绚丽的山岗,qu'kan'xuan'li'de'shan'gang
犬颜,quan'yan
人与妖,ren'yu'yao
融化于暖春,rong'hua'yu'nuan'chun
如果结果,ru'guo'jie'guo
如果能实现,ru'guo'neng'shi'xian
塞神,sai'shen
三菱,san'ling
三筱,san'xiao
三篠,san'xiao
三眼妖怪,san'yan'yao'guai
桑岛法子,sang'dao'fa'zi
杉本,shan'ben
山本兼平,shan'ben'jian'ping
山斗,shan'dou
山神,shan'shen
杉野章史,shan'ye'zhang'shi
赏金首妖怪,shang'jin'shou'yao'guai
少女的阵法,shao'nv'de'zhen'fa
神谷浩史,shen'gu'hao'shi
生天目仁美,sheng'tian'mu'ren'mei
食虫,shi'chong
矢岛晶子,shi'dao'jing'zi
石田彰,shi'tian'zhang
石尾海,shi'wei'hai
时雨,shi'yu
时雨与少女,shi'yu'yu'shao'nv
守护吾者现身吾前,shou'hu'wu'zhe'xian'shen'wu'qian
瘦男妖怪,shou'nan'yao'guai
术师的聚会,shu'shi'de'ju'hui
水底之燕,shui'di'zhi'yan
巳弥,si'mi
寺崎裕香,si'qi'yu'xiang
松风雅也,song'feng'ya'ye
随意的过来,sui'yi'de'guo'lai
随意的离去,sui'yi'de'li'qu
铊持妖怪,ta'chi'yao'guai
塔子,ta'zi
太田哲治,tai'tian'zhe'zhi
藤堂真衣,teng'tang'zhen'yi
藤原夫妇,teng'yuan'fu'fu
藤原塔子,teng'yuan'ta'zi
藤原滋,teng'yuan'zi
笹后,ti'hou
笹田,ti'tian
笹田纯,ti'tian'chun
屉舟,ti'zhou
笹舟,ti'zhou
田沼,tian'zhao
田沼要,tian'zhao'yao
桐本琢也,tong'ben'zhuo'ye
土井美加,tu'jing'mei'jia
土田大,tu'tian'da
温柔的你,wen'rou'de'ni
我想带你,wo'xiang'dai'ni
五日印,wu'ri'yin
雾叶,wu'ye
西村,xi'cun
西村悟,xi'cun'wu
西松和彦,xi'song'he'yan
蜥蜴形的痣,xi'yi'xing'de'zhi
夏目,xia'mu
夏目贵志,xia'mu'gui'zhi
夏目玲子,xia'mu'ling'zi
夏目游戏帐,xia'mu'you'xi'zhang
夏目组犬之会,xia'mu'zu'quan'zhi'hui
下崎纮史,xia'qi'hong'shi
小白猪,xiao'bai'zhu
小蛋,xiao'dan
小东西,xiao'dong'xi
小狐狸,xiao'hu'li
小狐狸的帽子,xiao'hu'li'de'mao'zi
小狐狸的手表,xiao'hu'li'de'shou'biao
小胡子,xiao'hu'zi
小林沙苗,xiao'lin'sha'miao
小猫咪,xiao'mao'mi
小玉,xiao'yu
心色的车票,xin'se'de'che'piao
绪方由里子,xu'fang'you'li'zi
虚幻之光,xu'huan'zhi'guang
虚伪的朋友,xu'wei'de'peng'you
雪野五月,xue'ye'wu'yue
阎魔头,yan'mo'tou
妖怪联络簿,yao'guai'lian'luo'bu
妖怪契约书,yao'guai'qi'yue'shu
妖怪退治温泉行,yao'guai'tui'zhi'wen'quan'xing
妖怪与人之间,yao'guai'yu'ren'zhi'jian
妖怪之名,yao'guai'zhi'ming
野岛健儿,ye'dao'jian'er
伊藤美纪,yi'teng'mei'ji
伊藤荣次,yi'teng'rong'ci
一条和矢,yi'tiao'he'shi
伊丸冈笃,yi'wan'gang'du
一张照片,yi'zhang'zhao'pian
一直以来的寻找,yi'zhi'yi'lai'de'xun'zhao
樱树树林里的他,ying'shu'shu'lin'li'de'ta
映照之物,ying'zhao'zhi'wu
迎著秋风,ying'zhu'qiu'feng
柚木凉香,you'mu'liang'xiang
幼年时光,you'nian'shi'guang
友人帐,you'ren'zhang
御影,yu'ying
约定之树,yue'ding'zhi'shu
月分祭,yue'fen'ji
暂居的家,zan'ju'de'jia
泽城美雪,ze'cheng'mei'xue
招福的神明,zhao'fu'de'shen'ming
折笠爱,zhe'li'ai
折笠富美子,zhe'li'fu'mei'zi
这种心情,zhe'zhong'xin'qing
阵形图,zhen'xing'tu
致过往的你,zhi'guo'wang'de'ni
只是为了消失,zhi'shi'wei'le'xiao'shi
知桐京子,zhi'tong'jing'zi
中村浩太郎,zhong'cun'hao'tai'lang
中野健治,zhong'ye'jian'zhi
中野裕斗,zhong'ye'yu'dou
皱颜,zhou'yan
竹内顺子,zhu'nei'shun'zi
主仆契约,zhu'pu'qi'yue
专业除妖人,zhuan'ye'chu'yao'ren
子狐,zi'hu
诹访部顺一,zou'fang'bu'shun'yi
佐藤利奈,zuo'teng'li'nai
佐佐木健,zuo'zuo'mu'jian
