阿,a
陈玄风,chen'xuan'feng
陈友谅,chen'you'liang
陈禹,chen'yu
陈圆圆,chen'yuan'yuan
陈正德,chen'zheng'de
成不忧,cheng'bu'you
成高道人,cheng'gao'dao'ren
澄观,cheng'guan
澄光,cheng'guang
成璜,cheng'huang
成昆,cheng'kun
成亮,cheng'liang
程灵素,cheng'ling'su
程青霜,cheng'qing'shuang
程青竹,cheng'qing'zhu
澄识,cheng'shi
程坛主,cheng'tan'zhu
澄通,cheng'tong
程维藩,cheng'wei'fan
澄心,cheng'xin
程遥迦,cheng'yao'jia
程瑶迦,cheng'yao'jia
程瑛,cheng'ying
成自学,cheng'zi'xue
迟百诚,chi'bai'cheng
赤老温,chi'lao'wen
迟玄,chi'xuan
冲虚,chong'xu
冲虚道长,chong'xu'dao'zhang
丑脸汉子,chou'lian'han'zi
仇松年,chou'song'nian
出尘子,chu'chen'zi
传功长老,chuan'gong'zhang'lao
丛,cong
丛不弃,cong'bu'qi
崔百泉,cui'bai'quan
崔百胜,cui'bai'sheng
崔镖头,cui'biao'tou
崔绿华,cui'lv'hua
催命鬼,cui'ming'gui
崔秋山,cui'qiu'shan
崔希敏,cui'xi'min
崔瞎子,cui'xia'zi
崔志方,cui'zhi'fang
大悲老人,da'bei'lao'ren
大痴,da'chi
大癫,da'dian
达尔巴,da'er'ba
大汉,da'han
大苦,da'ku
大头鬼,da'tou'gui
大智禅师,da'zhi'chan'shi
戴永明,dai'yong'ming
单伯山,dan'bo'shan
单季山,dan'ji'shan
丹青生,dan'qing'sheng
单叔山,dan'shu'shan
单铁生,dan'tie'sheng
单小山,dan'xiao'shan
单正,dan'zheng
刀白凤,dao'bai'feng
德布,de'bu
德成,de'cheng
德鄂,de'e
邓八公,deng'ba'gong
邓百川,deng'bai'chuan
邓炳春,deng'bing'chun
邓愈,deng'yu
狄镖头,di'biao'tou
狄修,di'xiu
狄云,di'yun
店伴,dian'ban
点苍渔隐,dian'cang'yu'yin
吊死鬼,diao'si'gui
丁不三,ding'bu'san
丁不四,ding'bu'si
丁春秋,ding'chun'qiu
丁大全,ding'da'quan
丁珰,ding'dang
丁典,ding'dian
丁坚,ding'jian
定静师太,ding'jing'shi'tai
丁勉,ding'mian
丁敏尹,ding'min'yin
丁同,ding'tong
定逸,ding'yi
丁游,ding'you
董开山,dong'kai'shan
洞玄,dong'xuan
都大锦,dou'da'jin
都史,dou'shi
杜百当,du'bai'dang
渡厄,du'e
渡劫,du'jie
杜立德,du'li'de
渡难,du'nan
杜希孟,du'xi'meng
杜长老,du'zhang'lao
端木元,duan'mu'yuan
段天德,duan'tian'de
段延庆,duan'yan'qing
段誉,duan'yu
段正淳,duan'zheng'chun
段正明,duan'zheng'ming
对喀纳,dui'ka'na
多尔衮,duo'er'gun
多隆,duo'long
鄂尔多,e'er'duo
范百龄,fan'bai'ling
范帮主,fan'bang'zhu
樊纲,fan'gang
范骅,fan'hua
范文程,fan'wen'cheng
范遥,fan'yao
范一飞,fan'yi'fei
樊一翁,fan'yi'weng
范禹,fan'yu
范中恩,fan'zhong'en
方大洪,fang'da'hong
方东白,fang'dong'bai
方人智,fang'ren'zhi
方生,fang'sheng
方天劳,fang'tian'lao
方怡,fang'yi
方有德,fang'you'de
方证,fang'zheng
费彬,fei'bin
费要多罗,fei'yao'duo'luo
冯阿三,feng'a'san
风波恶,feng'bo'e
冯不摧,feng'bu'cui
封不平,feng'bu'ping
冯不破,feng'bu'po
冯衡,feng'heng
冯辉,feng'hui
风际中,feng'ji'zhong
风良,feng'liang
冯默风,feng'mo'feng
冯难敌,feng'nan'di
凤南天,feng'nan'tian
凤七,feng'qi
风清扬,feng'qing'yang
冯坦,feng'tan
封坛主,feng'tan'zhu
冯同知,feng'tong'zhi
封万里,feng'wan'li
冯锡范,feng'xi'fan
凤一鸣,feng'yi'ming
冯振武,feng'zhen'wu
富春,fu'chun
福康安,fu'kang'an
符敏仪,fu'min'yi
傅思归,fu'si'gui
盖一鸣,gai'yi'ming
盖运聪,gai'yun'cong
甘宝宝,gan'bao'bao
刚相,gang'xiang
高管家,gao'guan'jia
高老者,gao'lao'zhe
高明根,gao'ming'gen
高三娘子,gao'san'niang'zi
高升泰,gao'sheng'tai
高师弟,gao'shi'di
高颜超,gao'yan'chao
高则成,gao'ze'cheng
葛尔丹,ge'er'dan
葛光佩,ge'guang'pei
葛通,ge'tong
葛长老,ge'zhang'lao
耿天霜,geng'tian'shuang
耿万钟,geng'wan'zhong
龚光杰,gong'guang'jie
宫九佳,gong'jiu'jia
公孙绿萼,gong'sun'lv'e
公孙止,gong'sun'zhi
公冶乾,gong'ye'qian
苟读,gou'du
狗头陀,gou'tou'tuo
古笃诚,gu'du'cheng
顾金标,gu'jin'biao
贾人达,gu'ren'da
古若般,gu'ruo'ban
顾炎武,gu'yan'wu
关安基,guan'an'ji
关明梅,guan'ming'mei
归二娘,gui'er'niang
归辛树,gui'xin'shu
归钟,gui'zhong
郭芙,guo'fu
郭靖,guo'jing
郭破虏,guo'po'lu
过三拳,guo'san'quan
郭襄,guo'xiang
郭啸天,guo'xiao'tian
过彦之,guo'yan'zhi
郭玉堂,guo'yu'tang
哈赤大师,ha'chi'da'shi
哈大霸,ha'da'ba
哈合台,ha'he'tai
哈总管,ha'zong'guan
海大富,hai'da'fu
海兰弼,hai'lan'bi
韩宝驹,han'bao'ju
韩春霖,han'chun'lin
韩老丐,han'lao'gai
韩林儿,han'lin'er
韩千叶,han'qian'ye
罕贴摩,han'tie'mo
韩文冲,han'wen'chong
韩无垢,han'wu'gou
韩小莹,han'xiao'ying
汉子,han'zi
郝大通,hao'da'tong
郝密,hao'mi
郝太监,hao'tai'jian
鹤笔翁,he'bi'weng
赫大通,he'da'tong
和尔大,he'er'da
何红药,he'hong'yao
贺老三,he'lao'san
和里布,he'li'bu
赫连铁树,he'lian'tie'shu
何三七,he'san'qi
和珅,he'shen
何思豪,he'si'hao
何太冲,he'tai'chong
何惕守,he'ti'shou
何铁手,he'tie'shou
何望海,he'wang'hai
何足道,he'zu'dao
黑白子,hei'bai'zi
黑熊,hei'xiong
洪安通,hong'an'tong
洪朝,hong'chao
洪第,hong'di
洪凌波,hong'ling'bo
红娘子,hong'niang'zi
洪七公,hong'qi'gong
洪人雄,hong'ren'xiong
洪胜海,hong'sheng'hai
侯飞文,hou'fei'wen
侯人英,hou'ren'ying
侯通海,hou'tong'hai
忽,hu
呼巴音,hu'ba'yin
忽必烈,hu'bi'lie
胡大哥,hu'da'ge
忽都虎,hu'dou'hu
胡斐,hu'fei
胡夫人,hu'fu'ren
胡桂南,hu'gui'nan
胡老三,hu'lao'san
胡老爷,hu'lao'ye
忽伦大虎,hu'lun'da'hu
忽伦二虎,hu'lun'er'hu
忽伦三虎,hu'lun'san'hu
忽伦四虎,hu'lun'si'hu
胡青牛,hu'qing'niu
胡青羊,hu'qing'yang
呼延万善,hu'yan'wan'shan
胡一刀,hu'yi'dao
胡逸之,hu'yi'zhi
呼音克,hu'yin'ke
华赫艮,hua'he'gen
花剑影,hua'jian'ying
花铁干,hua'tie'gan
花万紫,hua'wan'zi
华元基,hua'yuan'ji
花云,hua'yun
华筝,hua'zheng
黄伯流,huang'bo'liu
黄二毛子,huang'er'mao'zi
黄甫,huang'fu
皇甫阁,huang'fu'ge
黄国柏,huang'guo'bai
黄金魁,huang'jin'kui
黄眉和尚,huang'mei'he'shang
黄面道人,huang'mian'dao'ren
黄蓉,huang'rong
皇太后,huang'tai'hou
皇太极,huang'tai'ji
黄希节,huang'xi'jie
黄须人,huang'xu'ren
黄药师,huang'yao'shi
黄真,huang'zhen
黄钟公,huang'zhong'gong
黄宗羲,huang'zong'xi
晦聪禅师,hui'cong'chan'shi
慧方,hui'fang
慧观,hui'guan
慧净,hui'jing
辉月使,hui'yue'shi
慧真,hui'zhen
霍阿伊,huo'a'yi
霍都,huo'du
霍青桐,huo'qing'tong
霍元龙,huo'yuan'long
季镖头,ji'biao'tou
季诺,ji'nuo
姬清玄,ji'qing'xuan
吉人通,ji'ren'tong
计无施,ji'wu'shi
纪晓芙,ji'xiao'fu
季长老,ji'zhang'lao
贾布,jia'bu
假公,jia'gong
贾老六,jia'lao'liu
贾老者,jia'lao'zhe
建除,jian'chu
简管家,jian'guan'jia
简捷,jian'jie
建宁公主,jian'ning'gong'zhu
简长老,jian'zhang'lao
江百胜,jiang'bai'sheng
蒋士铨,jiang'shi'quan
姜师叔,jiang'shi'shu
蒋四根,jiang'si'gen
蒋涛,jiang'tao
蒋天寿,jiang'tian'shou
蒋调侯,jiang'tiao'hou
姜铁山,jiang'tie'shan
姜文,jiang'wen
姜小铁,jiang'xiao'tie
脚夫,jiao'fu
焦公礼,jiao'gong'li
焦木和尚,jiao'mu'he'shang
教士,jiao'shi
教书先生,jiao'shu'xian'sheng
焦宛儿,jiao'wan'er
焦文期,jiao'wen'qi
教长,jiao'zhang
解风,jie'feng
杰书,jie'shu
解文豹,jie'wen'bao
金花婆婆,jin'hua'po'po
金轮法王,jin'lun'fa'wang
静慧,jing'hui
净济,jing'ji
静迦,jing'jia
静空,jing'kong
净清,jing'qing
静虚师太,jing'xu'shi'tai
静玄师太,jing'xuan'shi'tai
静照,jing'zhao
静智大师,jing'zhi'da'shi
鸠摩智,jiu'mo'zhi
九难,jiu'nan
九死生,jiu'si'sheng
菊芳,ju'fang
菊剑,ju'jian
俱明宝树王,ju'ming'bao'shu'wang
菊友,ju'you
觉远,jue'yuan
觉远大师,jue'yuan'da'shi
觉月,jue'yue
喀丝丽,ka'si'li
凯别兴,kai'bie'xing
康广陵,kang'guang'ling
柯万钧,ke'wan'jun
柯镇恶,ke'zhen'e
空见,kong'jian
空闻,kong'wen
空心菜,kong'xin'cai
空性,kong'xing
空智,kong'zhi
枯木,ku'mu
枯荣长老,ku'rong'zhang'lao
邝宝官,kuang'bao'guan
邝天雄,kuang'tian'xiong
来福儿,lai'fu'er
蓝凤凰,lan'feng'huang
兰剑,lan'jian
蓝秦,lan'qin
蓝天和,lan'tian'he
郎布青,lang'bu'qing
郎师傅,lang'shi'fu
老不死,lao'bu'si
老李,lao'li
劳太监,lao'tai'jian
老头子,lao'tou'zi
老王,lao'wang
老吴,lao'wu
乐厚,le'hou
雷猛,lei'meng
雷一啸,lei'yi'xiao
冷谦,leng'qian
李春来,li'chun'lai
李大元,li'da'yuan
黎夫人,li'fu'ren
黎刚,li'gang
李可秀,li'ke'xiu
李傀儡,li'kui'lei
李力世,li'li'shi
李莫愁,li'mo'chou
李萍,li'ping
李秋水,li'qiu'shui
李三,li'san
黎生,li'sheng
李式开,li'shi'kai
李四,li'si
李四摧,li'si'cui
李天恒,li'tian'heng
李廷豹,li'ting'bao
李万山,li'wan'shan
李西华,li'xi'hua
李岩,li'yan
李沅芷,li'yuan'zhi
李志常,li'zhi'chang
李自成,li'zi'cheng
连诚诀,lian'cheng'jue
梁发,liang'fa
梁长老,liang'zhang'lao
梁自进,liang'zi'jin
梁子翁,liang'zi'weng
廖自砺,liao'zi'li
林朝英,lin'chao'ying
林平之,lin'ping'zhi
林兴珠,lin'xing'zhu
林永超,lin'yong'chao
林玉龙,lin'yu'long
林远图,lin'yuan'tu
林震南,lin'zhen'nan
令狐冲,ling'hu'chong
凌霜华,ling'shuang'hua
凌退思,ling'tui'si
灵虚,ling'xu
灵智上人,ling'zhi'shang'ren
刘敖,liu'ao
刘乘风,liu'cheng'feng
刘处玄,liu'chu'xuan
柳大洪,liu'da'hong
刘芳亮,liu'fang'liang
刘鹤真,liu'he'zhen
刘菁,liu'jing
刘培生,liu'pei'sheng
刘芹,liu'qin
刘玄处,liu'xuan'chu
柳燕,liu'yan
刘一舟,liu'yi'zhou
刘瑛姑,liu'ying'gu
刘於义,liu'yu'yi
刘元鹤,liu'yuan'he
流云使,liu'yun'shi
刘正风,liu'zheng'feng
刘之余,liu'zhi'yu
刘竹庄,liu'zhu'zhuang
刘宗敏,liu'zong'min
龙岛主,long'dao'zhu
龙德邻,long'de'lin
龙骏,long'jun
聋哑婆婆,long'ya'po'po
陆伯,lu'bo
陆乘风,lu'cheng'feng
陆大有,lu'da'you
鹿鼎记,lu'ding'ji
陆鼎立,lu'ding'li
陆二娘,lu'er'niang
陆菲青,lu'fei'qing
路副将,lu'fu'jiang
陆高轩,lu'gao'xuan
陆冠英,lu'guan'ying
鲁坤,lu'kun
鲁连荣,lu'lian'rong
鹿清笃,lu'qing'du
陆天抒,lu'tian'shu
陆无双,lu'wu'shuang
卢一峰,lu'yi'feng
鲁有脚,lu'you'jiao
鹿杖客,lu'zhang'ke
骆冰,luo'bing
罗大千,luo'da'qian
罗立如,luo'li'ru
罗人杰,luo'ren'jie
罗信,luo'xin
吕葆中,lv'bao'zhong
吕留良,lv'liu'liang
吕七,lv'qi
吕文德,lv'wen'de
吕小妹,lv'xiao'mei
吕毅中,lv'yi'zhong
吕正平,lv'zheng'ping
绿竹翁,lv'zhu'weng
马宝,ma'bao
马博仁,ma'bo'ren
马超兴,ma'chao'xing
马春花,ma'chun'hua
马大鸣,ma'da'ming
马大挺,ma'da'ting
马法通,ma'fa'tong
马夫人,ma'fu'ren
马公子,ma'gong'zi
马光佐,ma'guang'zuo
马家骏,ma'jia'jun
马敬侠,ma'jing'xia
马喇,ma'la
玛米尔,ma'mi'er
马齐,ma'qi
马青雄,ma'qing'xiong
马五德,ma'wu'de
马行空,ma'xing'kong
麻衣汉子,ma'yi'han'zi
马佑,ma'you
马钰,ma'yu
马真,ma'zhen
麦鲸,mai'jing
麦少帮主,mai'shao'bang'zhu
茅十八,mao'shi'ba
毛文珠,mao'wen'zhu
梅超风,mei'chao'feng
梅芳姑,mei'fang'gu
梅剑,mei'jian
梅剑和,mei'jian'he
梅良鸣,mei'liang'ming
梅念笙,mei'nian'sheng
梅文馨,mei'wen'xin
孟伯飞,meng'bo'fei
蒙哥,meng'ge
梦姑,meng'gu
孟健雄,meng'jian'xiong
孟师叔,meng'shi'shu
孟铮,meng'zheng
孟正鸿,meng'zheng'hong
孟铸,meng'zhu
米横野,mi'heng'ye
米思翰,mi'si'han
米为义,mi'wei'yi
妙风使,miao'feng'shi
苗人凤,miao'ren'feng
苗若兰,miao'ruo'lan
灭绝师太,mie'jue'shi'tai
闵柔,min'rou
闵子华,min'zi'hua
明月,ming'yue
明珠,ming'zhu
莫大,mo'da
摩诃巴思,mo'he'ba'si
莫声谷,mo'sheng'gu
木岛主,mu'dao'zhu
木高峰,mu'gao'feng
穆贵妃,mu'gui'fei
木华黎,mu'hua'li
沐剑屏,mu'jian'ping
沐剑声,mu'jian'sheng
穆念慈,mu'nian'ci
穆人清,mu'ren'qing
慕容博,mu'rong'bo
慕容复,mu'rong'fu
慕容景岳,mu'rong'jing'yue
木桑道长,mu'sang'dao'zhang
慕天颜,mu'tian'yan
木婉清,mu'wan'qing
木文察,mu'wen'cha
木卓伦,mu'zhuo'lun
南怀仁,nan'huai'ren
南兰,nan'lan
南仁通,nan'ren'tong
南希仁,nan'xi'ren
倪不大,ni'bu'da
倪不小,ni'bu'xiao
倪浩,ni'hao
尼摩星,ni'mo'xing
聂钺,nie'yue
宁强盗,ning'qiang'dao
宁完我,ning'wan'wo
宁中则,ning'zhong'ze
农夫,nong'fu
农妇,nong'fu
努儿海,nu'er'hai
欧阳公政,ou'yang'gong'zheng
欧阳克,ou'yang'ke
欧阳牧之,ou'yang'mu'zhi
潘天耕,pan'tian'geng
潘先生,pan'xian'sheng
潘秀达,pan'xiu'da
胖妇人,pang'fu'ren
胖丐,pang'gai
胖商人,pang'shang'ren
胖头陀,pang'tou'tuo
胖子,pang'zi
彭参将,peng'can'jiang
彭连虎,peng'lian'hu
彭三春,peng'san'chun
彭莹玉,peng'ying'yu
彭长老,peng'zhang'lao
皮清云,pi'qing'yun
平阿四,ping'a'si
平等宝树王,ping'deng'bao'shu'wang
平夫人,ping'fu'ren
平工头,ping'gong'tou
平婆婆,ping'po'po
平四,ping'si
平旺先,ping'wang'xian
平威,ping'wei
平一指,ping'yi'zhi
朴者和尚,pu'zhe'he'shang
齐伯涛,qi'bo'tao
戚长发,qi'chang'fa
戚芳,qi'fang
祁六三,qi'liu'san
齐洛诺夫,qi'luo'nuo'fu
祁清彪,qi'qing'biao
齐堂主,qi'tang'zhu
祁天彪,qi'tian'biao
齐心宝树王,qi'xin'bao'shu'wang
齐元凯,qi'yuan'kai
齐云,qi'yun
祁志诚,qi'zhi'cheng
齐自勉,qi'zi'mian
钱二败,qian'er'bai
钱老本,qian'lao'ben
乾隆皇帝,qian'long'huang'di
钱青健,qian'qing'jian
钱通四,qian'tong'si
钱正伦,qian'zheng'lun
乔峰,qiao'feng
乔福,qiao'fu
俏鬼,qiao'gui
乔寨主,qiao'zhai'zhu
樵子,qiao'zi
秦栋,qin'dong
琴儿,qin'er
秦峰,qin'feng
秦红棉,qin'hong'mian
秦娟,qin'juan
秦老五,qin'lao'wu
秦耐之,qin'nai'zhi
覃天丞,qin'tian'cheng
秦伟帮,qin'wei'bang
清风,qing'feng
晴画,qing'hua
青灵子,qing'ling'zi
清虚道人,qing'xu'dao'ren
丘处机,qiu'chu'ji
裘千尺,qiu'qian'chi
裘千仞,qiu'qian'ren
裘千丈,qiu'qian'zhang
邱山风,qiu'shan'feng
曲非烟,qu'fei'yan
曲三,qu'san
曲傻姑,qu'sha'gu
曲洋,qu'yang
全冠清,quan'guan'qing
泉建男,quan'jian'nan
全金发,quan'jin'fa
全强盗,quan'qiang'dao
人厨子,ren'chu'zi
任飞燕,ren'fei'yan
任通武,ren'tong'wu
任我行,ren'wo'xing
任盈盈,ren'ying'ying
荣彩,rong'cai
容子矩,rong'zi'ju
柔儿,rou'er
阮士忠,ruan'shi'zhong
阮星竹,ruan'xing'zhu
蕊初,rui'chu
瑞大林,rui'da'lin
瑞栋,rui'dong
瑞芳,rui'fang
瑞婆婆,rui'po'po
若克琳,ruo'ke'lin
萨多,sa'duo
赛总管,sai'zong'guan
桑飞虹,sang'fei'hong
桑结,sang'jie
桑昆,sang'kun
桑拉巴,sang'la'ba
丧门鬼,sang'men'gui
桑三娘,sang'san'niang
桑土公,sang'tu'gong
沙广天,sha'guang'tian
沙老大,sha'lao'da
煞神鬼,sha'shen'gui
沙天江,sha'tian'jiang
沙通天,sha'tong'tian
商宝震,shang'bao'zhen
上官,shang'guan
上官虹,shang'guan'hong
上官铁生,shang'guan'tie'sheng
上官秀,shang'guan'xiu
上官毅山,shang'guan'yi'shan
上官云,shang'guan'yun
商老太,shang'lao'tai
少妇,shao'fu
邵鹤,shao'he
少林老僧,shao'lin'lao'seng
邵燕,shao'yan
射雕英雄传,she'diao'ying'xiong'zhuan
蛇皮张,she'pi'zhang
沈城,shen'cheng
沈德潜,shen'de'qian
神雕侠侣,shen'diao'xia'lv
沈青刚,shen'qing'gang
申人俊,shen'ren'jun
神山上人,shen'shan'shang'ren
神音,shen'yin
神照上人,shen'zhao'shang'ren
申志凡,shen'zhi'fan
圣因师太,sheng'yin'shi'tai
狮鼻子,shi'bi'zi
史镖头,shi'biao'tou
史秉光,shi'bing'guang
史秉文,shi'bing'wen
史伯威,shi'bo'wei
施戴子,shi'dai'zi
史登达,shi'deng'da
史红石,shi'hong'shi
史火龙,shi'huo'long
史季强,shi'ji'qiang
侍剑,shi'jian
石骏,shi'jun
施琅,shi'lang
室里,shi'li
施令威,shi'ling'wei
史孟龙,shi'meng'long
石破天,shi'po'tian
石清,shi'qing
石清露,shi'qing'lu
石嫂,shi'sao
史叔刚,shi'shu'gang
石双英,shi'shuang'ying
史松,shi'song
石万嗔,shi'wan'chen
史小翠,shi'xiao'cui
史仲俊,shi'zhong'jun
史仲猛,shi'zhong'meng
石中玉,shi'zhong'yu
守备,shou'bei
瘦丐,shou'gai
寿南山,shou'nan'shan
瘦商人,shou'shang'ren
瘦头陀,shou'tou'tuo
术赤,shu'chi
舒化龙,shu'hua'long
书记,shu'ji
书剑恩仇录,shu'jian'en'chou'lu
舒奇,shu'qi
书生,shu'sheng
书僮,shu'tong
双儿,shuang'er
水岱,shui'dai
水福,shui'fu
水鉴,shui'jian
水笙,shui'sheng
水云道人,shui'yun'dao'ren
说不得,shuo'bu'de
司空玄,si'kong'xuan
司马大,si'ma'da
司马林,si'ma'lin
司徒伯雷,si'tu'bo'lei
司徒鹤,si'tu'he
司徒横,si'tu'heng
司徒雷,si'tu'lei
司徒千钟,si'tu'qian'zhong
宋德方,song'de'fang
宋青书,song'qing'shu
宋善朋,song'shan'peng
宋天保,song'tian'bao
宋五,song'wu
宋献策,song'xian'ce
宋远桥,song'yuan'qiao
宋长老,song'zhang'lao
苏菲亚,su'fei'ya
苏冈,su'gang
苏鲁克,su'lu'ke
苏梦清,su'meng'qing
苏普,su'pu
苏荃,su'quan
苏习之,su'xi'zhi
苏星河,su'xing'he
苏辙,su'zhe
酸儒文人,suan'ru'wen'ren
孙不二,sun'bu'er
孙大善,sun'da'shan
孙伏虎,sun'fu'hu
孙刚峰,sun'gang'feng
孙均,sun'jun
孙克通,sun'ke'tong
孙老三,sun'lao'san
孙婆婆,sun'po'po
孙三毁,sun'san'hui
孙思克,sun'si'ke
孙万年,sun'wan'nian
孙仲寿,sun'zhong'shou
孙仲尹,sun'zhong'yin
索额图,suo'e'tu
太皇太后,tai'huang'tai'hou
太虚子,tai'xu'zi
谭处端,tan'chu'duan
谭迪人,tan'di'ren
谭公,tan'gong
谭婆,tan'po
谭青,tan'qing
谭文理,tan'wen'li
汤,tang
唐光雄,tang'guang'xiong
汤和,tang'he
唐六爷,tang'liu'ye
汤沛,tang'pei
汤若望,tang'ruo'wang
唐洋,tang'yang
汤祖德,tang'zu'de
陶百岁,tao'bai'sui
桃干仙,tao'gan'xian
桃根仙,tao'gen'xian
桃红,tao'hong
陶红英,tao'hong'ying
桃花仙,tao'hua'xian
陶津,tao'jin
陶钧,tao'jun
陶师傅,tao'shi'fu
桃实仙,tao'shi'xian
桃叶仙,tao'ye'xian
讨债鬼,tao'zhai'gui
桃枝仙,tao'zhi'xian
陶子安,tao'zi'an
腾一雷,teng'yi'lei
田伯光,tian'bo'guang
田归农,tian'gui'nong
天虹禅师,tian'hong'chan'shi
田见秀,tian'jian'xiu
天镜,tian'jing
天狼子,tian'lang'zi
天龙八部,tian'long'ba'bu
天门道人,tian'men'dao'ren
天鸣方丈,tian'ming'fang'zhang
田青文,tian'qing'wen
天山童姥,tian'shan'tong'lao
天松道人,tian'song'dao'ren
天虚,tian'xu
天乙道人,tian'yi'dao'ren
天竺僧,tian'zhu'seng
天竺僧人,tian'zhu'seng'ren
铁匠,tie'jiang
铁木真,tie'mu'zhen
童百熊,tong'bai'xiong
童大海,tong'da'hai
佟国纲,tong'guo'gang
童怀道,tong'huai'dao
童兆和,tong'zhao'he
同桌后生,tong'zhuo'hou'sheng
童子,tong'zi
秃笔翁,tu'bi'weng
图海道,tu'hai'dao
拖雷,tuo'lei
瓦尔拉齐,wa'er'la'qi
万大平,wan'da'ping
万圭,wan'gui
万里风,wan'li'feng
万庆澜,wan'qing'lan
完颜阿古打,wan'yan'a'gu'da
完颜洪烈,wan'yan'hong'lie
完颜洪熙,wan'yan'hong'xi
完颜萍,wan'yan'ping
万震山,wan'zhen'shan
王,wang
王八衰,wang'ba'shuai
王保保,wang'bao'bao
王伯奋,wang'bo'fen
王诚,wang'cheng
王处一,wang'chu'yi
王道,wang'dao
王二叔,wang'er'shu
王夫人,wang'fu'ren
王罕,wang'han
汪浩天,wang'hao'tian
王家驹,wang'jia'ju
王家骏,wang'jia'jun
王剑杰,wang'jian'jie
王剑英,wang'jian'ying
王进宝,wang'jin'bao
王老六,wang'lao'liu
王难姑,wang'nan'gu
王十三,wang'shi'san
王师兄,wang'shi'xiong
王潭,wang'tan
汪铁鹗,wang'tie'e
王万仞,wang'wan'ren
汪万翼,wang'wan'yi
王维扬,wang'wei'yang
王惟忠,wang'wei'zhong
王武通,wang'wu'tong
汪啸风,wang'xiao'feng
王语嫣,wang'yu'yan
王元霸,wang'yuan'ba
王掌柜,wang'zhang'gui
王志坦,wang'zhi'tan
王仲萍,wang'zhong'ping
王仲强,wang'zhong'qiang
卫璧,wei'bi
韦春花,wei'chun'hua
卫春华,wei'chun'hua
卫均,wei'jun
卫四娘,wei'si'niang
卫天望,wei'tian'wang
韦小宝,wei'xiao'bao
韦一笑,wei'yi'xiao
卫周祚,wei'zhou'zuo
闻苍松,wen'cang'song
温方,wen'fang
温方山,wen'fang'shan
温方施,wen'fang'shi
温方悟,wen'fang'wu
温方义,wen'fang'yi
温南扬,wen'nan'yang
温青,wen'qing
温仁厚,wen'ren'hou
文泰来,wen'tai'lai
闻万夫,wen'wan'fu
闻先生,wen'xian'sheng
温仪,wen'yi
温有道,wen'you'dao
