阿贝比长原理,a'bei'bi'chang'yuan'li
凹形斜面,ao'xing'xie'mian
靶场,ba'chang
靶道工程测量,ba'dao'gong'cheng'ce'liang
八服,ba'fu
八卦大枪,ba'gua'da'qiang
八卦刀,ba'gua'dao
八卦钺,ba'gua'yue
靶机,ba'ji
巴克,ba'ke
巴克夜鹰,ba'ke'ye'ying
靶雷,ba'lei
巴列夫防线,ba'lie'fu'fang'xian
八路军,ba'lu'jun
八路军进行曲,ba'lu'jun'jin'xing'qu
八年抗战,ba'nian'kang'zhan
八旗,ba'qi
八旗兵,ba'qi'bing
拔人之城而非攻也,ba'ren'zhi'cheng'er'fei'gong'ye
八一,ba'yi
八一厂,ba'yi'chang
八一电影制片厂,ba'yi'dian'ying'zhi'pian'chang
八一建军节,ba'yi'jian'jun'jie
八一奖章,ba'yi'jiang'zhang
八一军旗,ba'yi'jun'qi
八一帽徽,ba'yi'mao'hui
八一南昌起义,ba'yi'nan'chang'qi'yi
八一体工队,ba'yi'ti'gong'dui
八一体育工作队,ba'yi'ti'yu'gong'zuo'dui
八一勋章,ba'yi'xun'zhang
坝址勘查,ba'zhi'kan'cha
拔桩机,ba'zhuang'ji
靶子,ba'zi
白崇禧,bai'chong'xi
白根,bai'gen
白令海峡,bai'ling'hai'xia
百年战争,bai'nian'zhan'zheng
白袍衣,bai'pao'yi
白刃格斗,bai'ren'ge'dou
白色猛犸象牙猎刀,bai'se'meng'ma'xiang'ya'lie'dao
百色起义,bai'se'qi'yi
白水牛角风格剑,bai'shui'niu'jiao'feng'ge'jian
百团大战,bai'tuan'da'zhan
百万雄师,bai'wan'xiong'shi
百万雄师过大江,bai'wan'xiong'shi'guo'da'jiang
百万雄师下江南,bai'wan'xiong'shi'xia'jiang'nan
百姓之费,bai'xing'zhi'fei
白烟,bai'yan
败战,bai'zhan
百战,bai'zhan
百战奇法,bai'zhan'qi'fa
百战奇略,bai'zhan'qi'lue
半岛,ban'dao
半导体激光器,ban'dao'ti'ji'guang'qi
半渡击,ban'du'ji
绊发,ban'fa
班副,ban'fu
半公斤,ban'gong'jin
扳机,ban'ji
扳机力,ban'ji'li
半距等高线,ban'ju'deng'gao'xian
半潜,ban'qian
半潜状态,ban'qian'zhuang'tai
半日潮港,ban'ri'chao'gang
半色调,ban'se'diao
半伤害剂量,ban'shang'hai'ji'liang
半伤害浓度,ban'shang'hai'nong'du
班哨,ban'shao
半衰期,ban'shuai'qi
半衰期时间,ban'shuai'qi'shi'jian
半衰弱层,ban'shuai'ruo'ceng
伴随修理,ban'sui'xiu'li
半弹缎面半齿刃,ban'tan'duan'mian'ban'chi'ren
半弹黑色半齿折刀,ban'tan'hei'se'ban'chi'zhe'dao
绊线,ban'xian
绊线轴,ban'xian'zhou
班用,ban'yong
班用冲锋舟,ban'yong'chong'feng'zhou
半圆形落地拱,ban'yuan'xing'luo'di'gong
班长,ban'zhang
半遮蔽阵地,ban'zhe'bi'zhen'di
半直接,ban'zhi'jie
半直接瞄准射击,ban'zhi'jie'miao'zhun'she'ji
半致死剂量,ban'zhi'si'ji'liang
半致死染毒浓度,ban'zhi'si'ran'du'nong'du
半舟,ban'zhou
半主动雷达,ban'zhu'dong'lei'da
半主动寻的制导,ban'zhu'dong'xun'de'zhi'dao
绊桩,ban'zhuang
半自动步枪,ban'zi'dong'bu'qiang
半自动寻的制导,ban'zi'dong'xun'de'zhi'dao
保持空域位置,bao'chi'kong'yu'wei'zhi
报仇,bao'chou
报废装备,bao'fei'zhuang'bei
报告,bao'gao
爆高,bao'gao
报告文书,bao'gao'wen'shu
曝光,bao'guang
饱和度,bao'he'du
爆后,bao'hou
保护迷彩,bao'hu'mi'cai
保家卫国,bao'jia'wei'guo
包括专题要素,bao'kuo'zhuan'ti'yao'su
暴露人员,bao'lu'ren'yuan
暴露翼侧,bao'lu'yi'ce
暴露阵地,bao'lu'zhen'di
暴露征候,bao'lu'zheng'hou
保密,bao'mi
保密电话,bao'mi'dian'hua
保密话网,bao'mi'hua'wang
保密机,bao'mi'ji
保密纪律,bao'mi'ji'lv
保密手段,bao'mi'shou'duan
保密通信,bao'mi'tong'xin
保密性,bao'mi'xing
保密制度,bao'mi'zhi'du
爆破,bao'po
爆破器材,bao'po'qi'cai
爆破任务,bao'po'ren'wu
爆破弹,bao'po'tan
爆破筒,bao'po'tong
爆破组,bao'po'zu
爆破作业,bao'po'zuo'ye
爆前,bao'qian
爆区,bao'qu
爆深,bao'shen
保守地方,bao'shou'di'fang
爆速,bao'su
包围,bao'wei
保卫目标,bao'wei'mu'biao
保卫区域,bao'wei'qu'yu
保卫战,bao'wei'zhan
报务员,bao'wu'yuan
保险道,bao'xian'dao
保险杆,bao'xian'gan
保险销,bao'xian'xiao
爆心,bao'xin
爆心投影点,bao'xin'tou'ying'dian
保养间,bao'yang'jian
爆炸,bao'zha
爆炸部,bao'zha'bu
爆炸带,bao'zha'dai
爆炸方式,bao'zha'fang'shi
爆炸高度,bao'zha'gao'du
爆炸荷载,bao'zha'he'zai
爆炸日,bao'zha'ri
爆炸闪光,bao'zha'shan'guang
爆炸深度,bao'zha'shen'du
爆炸性核武器,bao'zha'xing'he'wu'qi
爆炸性能,bao'zha'xing'neng
爆炸性障碍物,bao'zha'xing'zhang'ai'wu
爆炸中心,bao'zha'zhong'xin
饱战,bao'zhan
保障部队,bao'zhang'bu'dui
保障队,bao'zhang'dui
保障机械,bao'zhang'ji'xie
保障类车辆,bao'zhang'lei'che'liang
保障群,bao'zhang'qun
保障引导,bao'zhang'yin'dao
爆震波,bao'zhen'bo
爆震风,bao'zhen'feng
报知通信,bao'zhi'tong'xin
报知通信网,bao'zhi'tong'xin'wang
背包,bei'bao
背齿刃战术直刀,bei'chi'ren'zhan'shu'zhi'dao
被动,bei'dong
被动段,bei'dong'duan
被动红外侦察,bei'dong'hong'wai'zhen'cha
被动式,bei'dong'shi
被动式声纳,bei'dong'shi'sheng'na
被动式遥感,bei'dong'shi'yao'gan
北斗,bei'dou
北斗星,bei'dou'xing
卑而骄之,bei'er'jiao'zhi
北伐战争,bei'fa'zhan'zheng
北方工业,bei'fang'gong'ye
被防护,bei'fang'hu
被防护对象,bei'fang'hu'dui'xiang
北方战争,bei'fang'zhan'zheng
被覆,bei'fu
被俘,bei'fu
被服,bei'fu
被覆线,bei'fu'xian
被覆线路,bei'fu'xian'lu
北极星,bei'ji'xing
北极星任意时角法,bei'ji'xing'ren'yi'shi'jiao'fa
备件,bei'jian
备件库,bei'jian'ku
备降,bei'jiang
备降场,bei'jiang'chang
备降机场,bei'jiang'ji'chang
背景辨别,bei'jing'bian'bie
北京军区,bei'jing'jun'qu
北京时间,bei'jing'shi'jian
北京坐标系,bei'jing'zuo'biao'xi
被具,bei'ju
备考文书,bei'kao'wen'shu
备课,bei'ke
贝雷桥,bei'lei'qiao
北欧斗士,bei'ou'dou'shi
北欧猎刀,bei'ou'lie'dao
被迫跳伞,bei'po'tiao'san
贝塞尔,bei'sai'er
贝塞尔椭球,bei'sai'er'tuo'qiu
杯士,bei'shi
背水攻击,bei'shui'gong'ji
背水击,bei'shui'ji
背水作战,bei'shui'zuo'zhan
背锁,bei'suo
备弹,bei'tan
贝叶斯分类,bei'ye'si'fen'lei
备用频率,bei'yong'pin'lv
北约标准弹,bei'yue'biao'zhun'tan
北约口径,bei'yue'kou'jing
倍则分之,bei'ze'fen'zhi
备战,bei'zhan
被装,bei'zhuang
本初子午线,ben'chu'zi'wu'xian
本队,ben'dui
本级战术,ben'ji'zhan'shu
本科,ben'ke
苯氯乙酮,ben'lv'yi'tong
奔袭,ben'xi
本在于政,ben'zai'yu'zheng
崩龙袖锤,beng'long'xiu'chui
崩崖,beng'ya
比当量,bi'dang'liang
笔刀,bi'dao
比高,bi'gao
闭合差,bi'he'cha
闭合导线,bi'he'dao'xian
闭合水准路线,bi'he'shui'zhun'lu'xian
笔架叉,bi'jia'cha
比较地图学,bi'jiao'de'tu'xue
比较难学,bi'jiao'nan'xue
逼近,bi'jin
避开射击,bi'kai'she'ji
比例爆高,bi'li'bao'gao
比例尺,bi'li'chi
比例量表,bi'li'liang'biao
比例误差,bi'li'wu'cha
闭塞门桥,bi'se'men'qiao
避实击虚,bi'shi'ji'xu
匕首,bi'shou
闭锁机构,bi'suo'ji'gou
避弹所,bi'tan'suo
臂腕之力,bi'wan'zhi'li
比威力,bi'wei'li
比武,bi'wu
比学赶帮超,bi'xue'gan'bang'chao
毕业考试,bi'ye'kao'shi
必以全争于天下,bi'yi'quan'zheng'yu'tian'xia
避战,bi'zhan
必战,bi'zhan
臂章,bi'zhang
比值变换,bi'zhi'bian'huan
比值增强,bi'zhi'zeng'qiang
比兹,bi'zi
变比例投影,bian'bi'li'tou'ying
边长中误差,bian'chang'zhong'wu'cha
编成,bian'cheng
边打边插,bian'da'bian'cha
边打边组织,bian'da'bian'zu'zhi
编队,bian'dui
编队防御,bian'dui'fang'yu
编队攻击,bian'dui'gong'ji
编队航行,bian'dui'hang'xing
编队内部通信,bian'dui'nei'bu'tong'xin
编队训练,bian'dui'xun'lian
编队运动,bian'dui'yun'dong
编队运动规则,bian'dui'yun'dong'gui'ze
编队主力,bian'dui'zhu'li
边防,bian'fang
边防部队,bian'fang'bu'dui
边防部署,bian'fang'bu'shu
边防斗争,bian'fang'dou'zheng
边防观察,bian'fang'guan'cha
边防会哨,bian'fang'hui'shao
边防会谈,bian'fang'hui'tan
边防会晤,bian'fang'hui'wu
边防建设,bian'fang'jian'she
边防潜伏,bian'fang'qian'fu
边防勤务,bian'fang'qin'wu
边防哨所,bian'fang'shao'suo
边防巡逻,bian'fang'xun'luo
边防一线,bian'fang'yi'xian
边防站,bian'fang'zhan
边防政策,bian'fang'zheng'ce
鞭杆,bian'gan
变更部署,bian'geng'bu'shu
变轨,bian'gui
变后掠翼,bian'hou'lue'yi
变后掠翼飞机,bian'hou'lue'yi'fei'ji
变换光束测图,bian'huan'guang'shu'ce'tu
变幻莫测,bian'huan'mo'ce
变换战术,bian'huan'zhan'shu
编绘,bian'hui
编绘原图,bian'hui'yuan'tu
编辑大纲,bian'ji'da'gang
边集合,bian'ji'he
边角测量,bian'jiao'ce'liang
边交会法,bian'jiao'hui'fa
边角交会法,bian'jiao'jiao'hui'fa
边角网,bian'jiao'wang
边界,bian'jie
边界冲突,bian'jie'chong'tu
边界河流,bian'jie'he'liu
边界联合检查,bian'jie'lian'he'jian'cha
边界事件,bian'jie'shi'jian
边界守卫,bian'jie'shou'wei
边界踏查,bian'jie'ta'cha
边界线,bian'jie'xian
边界现状,bian'jie'xian'zhuang
边境,bian'jing
边境地区,bian'jing'di'qu
边境观察,bian'jing'guan'cha
边境管理,bian'jing'guan'li
边境禁区,bian'jing'jin'qu
边境勘测,bian'jing'kan'ce
边境潜伏,bian'jing'qian'fu
边境涉外事务,bian'jing'she'wai'shi'wu
边境市,bian'jing'shi
边境县,bian'jing'xian
边掘进边被覆,bian'jue'jin'bian'bei'fu
编码,bian'ma
编码通信,bian'ma'tong'xin
编码学,bian'ma'xue
编内,bian'nei
编内职工,bian'nei'zhi'gong
编配比例,bian'pei'bi'li
边坡稳定性观测,bian'po'wen'ding'xing'guan'ce
边前进,bian'qian'jin
编入预备役,bian'ru'yu'bei'yi
变色海水,bian'se'hai'shui
编外,bian'wai
编外定编,bian'wai'ding'bian
编外职工,bian'wai'zhi'gong
变线仪,bian'xian'yi
便携式,bian'xie'shi
变形地,bian'xing'di
变形观测,bian'xing'guan'ce
变形观测控制网,bian'xing'guan'ce'kong'zhi'wang
变形迷彩,bian'xing'mi'cai
变形迷彩图册,bian'xing'mi'cai'tu'ce
变形椭圆,bian'xing'tuo'yuan
变形遮障,bian'xing'zhe'zhang
便于携行,bian'yu'xie'xing
边缘发火,bian'yuan'fa'huo
边缘检测,bian'yuan'jian'ce
边缘增强,bian'yuan'zeng'qiang
变战,bian'zhan
编制,bian'zhi
编制表,bian'zhi'biao
编制标准,bian'zhi'biao'zhun
编制方案,bian'zhi'fang'an
编制军衔,bian'zhi'jun'xian
编制密码,bian'zhi'mi'ma
编制系统,bian'zhi'xi'tong
编制员额,bian'zhi'yuan'e
编制职务,bian'zhi'zhi'wu
边舟,bian'zhou
边走边联络,bian'zou'bian'lian'luo
编组,bian'zu
编组练习,bian'zu'lian'xi
边组织战斗,bian'zu'zhi'zhan'dou
编组作业,bian'zu'zuo'ye
标称精度,biao'cheng'jing'du
表尺,biao'chi
标尺,biao'chi
表尺距离,biao'chi'ju'li
标尺手,biao'chi'shou
表尺危险界,biao'chi'wei'xian'jie
标定,biao'ding
标定地图,biao'ding'di'tu
标定射击,biao'ding'she'ji
标高,biao'gao
标高差改正,biao'gao'cha'gai'zheng
标界测量,biao'jie'ce'liang
标孔,biao'kong
表面沾染,biao'mian'zhan'ran
表面阵地,biao'mian'zhen'di
表示扰动位,biao'shi'rao'dong'wei
表示三角,biao'shi'san'jiao
标示绳,biao'shi'sheng
标示通路,biao'shi'tong'lu
标图,biao'tu
标志,biao'zhi
标志灯,biao'zhi'deng
标志灯塔,biao'zhi'deng'ta
标志弹,biao'zhi'tan
标准,biao'zhun
标准差,biao'zhun'cha
标准导轨,biao'zhun'dao'gui
标准的,biao'zhun'de
标准接口,biao'zhun'jie'kou
标准排水量,biao'zhun'pai'shui'liang
标准配置点,biao'zhun'pei'zhi'dian
标准射击条件,biao'zhun'she'ji'tiao'jian
标准时,biao'zhun'shi
标准纬线,biao'zhun'wei'xian
标准型,biao'zhun'xing
滨海,bin'hai
濒海,bin'hai
滨海港口,bin'hai'gang'kou
濒海翼侧,bin'hai'yi'ce
宾客之用,bin'ke'zhi'yong
濒陆,bin'lu
濒陆海区,bin'lu'hai'qu
冰雹,bing'bao
兵不厌诈,bing'bu'yan'zha
并参与了,bing'can'yu'le
兵法,bing'fa
兵非益多,bing'fei'yi'duo
兵诡必疑,bing'gui'bi'yi
兵贵神速,bing'gui'shen'su
冰后回弹,bing'hou'hui'tan
并记录时刻,bing'ji'lu'shi'ke
并肩突击,bing'jian'tu'ji
兵教兵,bing'jiao'bing
兵教官,bing'jiao'guan
兵力,bing'li
兵力编组,bing'li'bian'zu
兵力对比,bing'li'dui'bi
兵力机动,bing'li'ji'dong
兵力区分,bing'li'qu'fen
冰凌,bing'ling
兵民乃胜利之本,bing'min'nai'sheng'li'zhi'ben
兵民是胜利之本,bing'min'shi'sheng'li'zhi'ben
并能涉,bing'neng'she
并炮,bing'pao
柄片,bing'pian
兵棋,bing'qi
兵器车,bing'qi'che
兵器系统,bing'qi'xi'tong
兵棋作业,bing'qi'zuo'ye
兵权贵一,bing'quan'gui'yi
冰上,bing'shang
冰上渡场,bing'shang'du'chang
冰上渡河,bing'shang'du'he
丙射线,bing'she'xian
丙射线照射量,bing'she'xian'zhao'she'liang
兵团,bing'tuan
并无,bing'wu
兵无常势,bing'wu'chang'shi
柄芯,bing'xin
冰雪,bing'xue
冰雪障碍物,bing'xue'zhang'ai'wu
并要,bing'yao
兵要地志,bing'yao'di'zhi
兵役,bing'yi
并以,bing'yi
兵役法,bing'yi'fa
兵以静胜,bing'yi'jing'sheng
兵役局,bing'yi'ju
兵役委员会,bing'yi'wei'yuan'hui
兵役制度,bing'yi'zhi'du
并用,bing'yong
兵员,bing'yuan
兵员补退,bing'yuan'bu'tui
兵员动员计划,bing'yuan'dong'yuan'ji'hua
兵站,bing'zhan
兵站运输网,bing'zhan'yun'shu'wang
兵仗局,bing'zhang'ju
兵之胜败,bing'zhi'sheng'bai
兵种,bing'zhong
兵众孰强,bing'zhong'shu'qiang
兵种战术,bing'zhong'zhan'shu
兵种战术训练,bing'zhong'zhan'shu'xun'lian
并舟具,bing'zhou'ju
波瓣间,bo'ban'jian
波瓣间盲区,bo'ban'jian'mang'qu
波次,bo'ci
波茨坦重力系统,bo'ci'tan'zhong'li'xi'tong
波带板,bo'dai'ban
拨等,bo'deng
波段,bo'duan
波段静止卫星体制,bo'duan'jing'zhi'wei'xing'ti'zhi
博克,bo'ke
博克阿普尔盖特费尔贝恩战斗者刀,bo'ke'a'pu'er'gai'te'fei'er'bei'en'zhan'dou'zhe'dao
博克高档陶瓷刀,bo'ke'gao'dang'tao'ci'dao
博克琥珀柄口袋刀,bo'ke'hu'po'bing'kou'dai'dao
博克战斗刀,bo'ke'zhan'dou'dao
波兰语,bo'lan'yu
波浪补偿,bo'lang'bu'chang
波浪补偿器,bo'lang'bu'chang'qi
波浪纹大马水牛角,bo'lang'wen'da'ma'shui'niu'jiao
柏林战役,bo'lin'zhan'yi
波罗,bo'luo
波面制导,bo'mian'zhi'dao
波谱测定仪,bo'pu'ce'ding'yi
波谱集群,bo'pu'ji'qun
波谱特征空间,bo'pu'te'zheng'kong'jian
波谱特征曲线,bo'pu'te'zheng'qu'xian
波谱响应曲线,bo'pu'xiang'ying'qu'xian
波束角,bo'shu'jiao
波束制导,bo'shu'zhi'dao
泊位,bo'wei
波状斜面,bo'zhuang'xie'mian
布板,bu'ban
布板信号,bu'ban'xin'hao
步兵,bu'bing
步兵搭载,bu'bing'da'zai
步兵的,bu'bing'de
步兵浮桥,bu'bing'fu'qiao
步兵三脚架,bu'bing'san'jiao'jia
步兵武器,bu'bing'wu'qi
步兵战车,bu'bing'zhan'che
步兵战斗教程,bu'bing'zhan'dou'jiao'cheng
步步为营,bu'bu'wei'ying
步测,bu'ce
补偿器,bu'chang'qi
补偿器补偿误差,bu'chang'qi'bu'chang'wu'cha
补充情况,bu'chong'qing'kuang
补充任务,bu'chong'ren'wu
补充想定,bu'chong'xiang'ding
不打人骂人,bu'da'ren'ma'ren
不得其考矣,bu'de'qi'kao'yi
不短于,bu'duan'yu
部队,bu'dui
部队编制,bu'dui'bian'zhi
部队测绘勤务,bu'dui'ce'hui'qin'wu
部队代号,bu'dui'dai'hao
部队番号,bu'dui'fan'hao
部队平均油料基数里程,bu'dui'ping'jun'you'liao'ji'shu'li'cheng
部队试验,bu'dui'shi'yan
部队试用,bu'dui'shi'yong
部队行动,bu'dui'xing'dong
部队训练工作条例,bu'dui'xun'lian'gong'zuo'tiao'li
部队长,bu'dui'zhang
部队驻地,bu'dui'zhu'di
部队装备,bu'dui'zhuang'bei
步法,bu'fa
部分动员,bu'fen'dong'yuan
部分轨道武器,bu'fen'gui'dao'wu'qi
部分护卫舰,bu'fen'hu'wei'jian
部分指战员,bu'fen'zhi'zhan'yuan
布告,bu'gao
布格改正,bu'ge'gai'zheng
布格异常,bu'ge'yi'chang
不管其读音或含意,bu'guan'qi'du'yin'huo'han'yi
不贵久,bu'gui'jiu
不过借,bu'guo'jie
步话机,bu'hua'ji
补给,bu'ji
补给淡水,bu'ji'dan'shui
补给点,bu'ji'dian
补给运输线,bu'ji'yun'shu'xian
不进入阵地,bu'jin'ru'zhen'di
不尽相同,bu'jin'xiang'tong
不久便,bu'jiu'bian
不可不察也,bu'ke'bu'cha'ye
不可先传也,bu'ke'xian'chuan'ye
布莱恩泰,bu'lai'en'tai
布雷,bu'lei
布雷车,bu'lei'che
布雷计时点,bu'lei'ji'shi'dian
布雷舰,bu'lei'jian
布雷密度,bu'lei'mi'du
布雷器,bu'lei'qi
布雷弹,bu'lei'tan
不良天候,bu'liang'tian'hou
布隆斯公式,bu'long'si'gong'shi
不论男女,bu'lun'nan'nv
不拿群众一针一线,bu'na'qun'zhong'yi'zhen'yi'xian
不难看出,bu'nan'kan'chu
不能军者,bu'neng'jun'zhe
布匿战争,bu'ni'zhan'zheng
不虐待俘虏,bu'nue'dai'fu'lu
不怕枪弹,bu'pa'qiang'dan
步炮协同,bu'pao'xie'tong
步炮协同通信,bu'pao'xie'tong'tong'xin
步枪,bu'qiang
步枪从,bu'qiang'cong
步枪是,bu'qiang'shi
步枪性能,bu'qiang'xing'neng
不若则能避之,bu'ruo'ze'neng'bi'zhi
步哨,bu'shao
不少击发枪,bu'shao'ji'fa'qiang
布氏杆菌,bu'shi'gan'jun
部属,bu'shu
部署,bu'shu
不损坏庄家,bu'sun'huai'zhuang'jia
钚弹,bu'tan
步谈机,bu'tan'ji
步坦协同,bu'tan'xie'tong
步坦协同通信,bu'tan'xie'tong'tong'xin
不调戏妇女,bu'tiao'xi'fu'nv
不同类型的,bu'tong'lei'xing'de
不锈钢,bu'xiu'gang
布耶哈马问题,bu'ye'ha'ma'wen'ti
不宜大,bu'yi'da
不易掌握,bu'yi'zhang'wo
不战,bu'zhan
步战,bu'zhan
步战车,bu'zhan'che
不战而屈人之兵,bu'zhan'er'qu'ren'zhi'bing
不知彼不知己,bu'zhi'bi'bu'zhi'ji
不知彼而知己,bu'zhi'bi'er'zhi'ji
不知军之不可以进而谓之进,bu'zhi'jun'zhi'bu'ke'yi'jin'er'wei'zhi'jin
不知军之不可以退而谓之退,bu'zhi'jun'zhi'bu'ke'yi'tui'er'wei'zhi'tui
不知三军之权而同三军之任,bu'zhi'san'jun'zhi'quan'er'tong'san'jun'zhi'ren
不知三军之事而同三军之政,bu'zhi'san'jun'zhi'shi'er'tong'san'jun'zhi'zheng
不知之者不胜,bu'zhi'zhi'zhe'bu'sheng
捕捉狗,bu'zhuo'gou
捕捉战机,bu'zhuo'zhan'ji
采剥工程断面图,cai'bo'gong'cheng'duan'mian'tu
采剥工程综合平面图,cai'bo'gong'cheng'zong'he'ping'mian'tu
采场测量,cai'chang'ce'liang
才彻底把,cai'che'di'ba
财竭则急于丘役,cai'jie'ze'ji'yu'qiu'yi
财经纪律,cai'jing'ji'lv
采掘工程平面图,cai'jue'gong'cheng'ping'mian'tu
才能炼出,cai'neng'lian'chu
采区测量,cai'qu'ce'liang
采区联系测量,cai'qu'lian'xi'ce'liang
采取主动,cai'qu'zhu'dong
彩色变换,cai'se'bian'huan
彩色编码,cai'se'bian'ma
彩色复制,cai'se'fu'zhi
彩色感光材料,cai'se'gan'guang'cai'liao
彩色红外片,cai'se'hong'wai'pian
彩色校样,cai'se'jiao'yang
彩色片,cai'se'pian
彩色摄影,cai'se'she'ying
彩色线划校样,cai'se'xian'hua'jiao'yang
彩色样图,cai'se'yang'tu
彩色增强,cai'se'zeng'qiang
彩色坐标系,cai'se'zuo'biao'xi
才死伤,cai'si'shang
才完成,cai'wan'cheng
财务,cai'wu
财务管理,cai'wu'guan'li
财务管理原则,cai'wu'guan'li'yuan'ze
财务规章制度,cai'wu'gui'zhang'zhi'du
财务检查,cai'wu'jian'cha
采样,cai'yang
采样间隔,cai'yang'jian'ge
采用,cai'yong
采用三,cai'yong'san
采用燧发枪,cai'yong'sui'fa'qiang
残存火力点,can'cun'huo'li'dian
残敌,can'di
残废军人,can'fei'jun'ren
参观教学,can'guan'jiao'xue
参军,can'jun
参军参干,can'jun'can'gan
参考椭球,can'kao'tuo'qiu
参考椭球定位,can'kao'tuo'qiu'ding'wei
参谋,can'mou
参谋六会,can'mou'liu'hui
参谋人员,can'mou'ren'yuan
参谋业务,can'mou'ye'wu
参谋长,can'mou'zhang
蚕食,can'shi
参数,can'shu
参数平差,can'shu'ping'cha
参战,can'zhan
参照数据,can'zhao'shu'ju
参照效应,can'zhao'xiao'ying
仓促防御,cang'cu'fang'yu
仓猝防御,cang'cu'fang'yu
仓库,cang'ku
舱门,cang'men
舱室,cang'shi
曹操,cao'cao
槽车,cao'che
漕渡,cao'du
漕渡门桥,cao'du'men'qiao
曹刿,cao'gui
草原,cao'yuan
操舟,cao'zhou
操舟机,cao'zhou'ji
操舟机支架,cao'zhou'ji'zhi'jia
操纵部分,cao'zong'bu'fen
操纵地雷,cao'zong'di'lei
操纵机构,cao'zong'ji'gou
操纵手,cao'zong'shou
操纵性,cao'zong'xing
操作反干扰,cao'zuo'fan'gan'rao
操作训练弹,cao'zuo'xun'lian'tan
操作原理,cao'zuo'yuan'li
操作者,cao'zuo'zhe
侧保险道,ce'bao'xian'dao
侧壁式,ce'bi'shi
侧壁式气垫船,ce'bi'shi'qi'dian'chuan
测标,ce'biao
测地,ce'di
侧敌前进,ce'di'qian'jin
测地勤务,ce'di'qin'wu
测地卫星,ce'di'wei'xing
测定方位,ce'ding'fang'wei
侧方尖兵,ce'fang'jian'bing
侧方交会,ce'fang'jiao'hui
侧方交会法,ce'fang'jiao'hui'fa
侧方警戒,ce'fang'jing'jie
侧方阵地,ce'fang'zhen'di
测杆,ce'gan
测高仪,ce'gao'yi
侧后,ce'hou
策划,ce'hua
测回,ce'hui
测绘,ce'hui
测绘保障,ce'hui'bao'zhang
测绘标准,ce'hui'biao'zhun
测绘部队,ce'hui'bu'dui
测绘勤务保障,ce'hui'qin'wu'bao'zhang
测绘任务,ce'hui'ren'wu
测绘学,ce'hui'xue
测绘仪器,ce'hui'yi'qi
侧击,ce'ji
