哀溺文,ai'ni'wen
好猎者,hao'lie'zhe
和氏之璧,he'shi'zhi'bi
河豚鱼说,he'tun'yu'shuo
涸泽之蛇,he'ze'zhi'she
涸辙之鲋,he'zhe'zhi'fu
狐假虎威,hu'jia'hu'wei
瓠里子择舟,hu'li'zi'ze'zhou
鹘说,hu'shuo
狐友幻形,hu'you'huan'xing
虎与刺猬,hu'yu'ci'wei
画鬼最易,hua'gui'zui'yi
画荚者,hua'jia'zhe
画皮,hua'pi
画蛇添足,hua'she'tian'zu
淮北蜂与江南蟹,huai'bei'feng'yu'jiang'nan'xie
痪驰,huan'chi
皇帝衣帽,huang'di'yi'mao
黄公二女,huang'gong'er'nv
恍惚,huang'hu
虺,hui
贿亡,hui'wang
毁钟掩耳,hui'zhong'yan'er
惠子家穷,hui'zi'jia'qiong
火石,huo'shi
火与虎,huo'yu'hu
觙,ji
棘,ji
急不乘马,ji'bu'cheng'ma
纪昌学射,ji'chang'xue'she
记鸽,ji'ge
纪侯好狙,ji'hou'hao'ju
棘尖刻猴,ji'jian'ke'hou
击邻家之子,ji'lin'jia'zhi'zi
鸡卵,ji'luan
即且与蛞蝓,ji'qie'yu'kuo'yu
疾犬与狡兔,ji'quan'yu'jiao'tu
记蝎,ji'xie
鸡与鸿鹄,ji'yu'hong'hu
假人,jia'ren
加盐,jia'yan
剪矢医伤,jian'shi'yi'shang
鉴药,jian'yao
简子放生,jian'zi'fang'sheng
姜赌,jiang'du
江南岑生,jiang'nan'cen'sheng
江上处女,jiang'shang'chu'nv
匠石运斤成风,jiang'shi'yun'jin'cheng'feng
疆与,jiang'yu
较贪,jiao'tan
脚痛委邻,jiao'tong'wei'lin
角象龙鸣,jiao'xiang'long'ming
胶柱鼓瑟,jiao'zhu'gu'se
竭池求珠,jie'chi'qiu'zhu
介虫,jie'chong
截竿入城,jie'gan'ru'cheng
截冠雄鸡志,jie'guan'xiong'ji'zhi
金壶丹书,jin'hu'dan'shu
晋灵公好狗,jin'ling'gong'hao'gou
晋人好利,jin'ren'hao'li
禁蚊子,jin'wen'zi
惊弓之鸟,jing'gong'zhi'niao
荆人畏鬼,jing'ren'wei'gui
荆人遗弓,jing'ren'yi'gong
井蛙,jing'wa
儆舟,jing'zhou
救沉志,jiu'chen'zhi
九方皋相马,jiu'fang'gao'xiang'ma
九头争食,jiu'tou'zheng'shi
九尾之狐,jiu'wei'zhi'hu
狙公,ju'gong
狙公养狙,ju'gong'yang'ju
痀偻者承蜩,ju'lou'zhe'cheng'tiao
桔逾淮为枳,ju'yu'huai'wei'zhi
枸橼,ju'yuan
句章野人,ju'zhang'ye'ren
涓蜀梁,juan'shu'liang
攫金者,jue'jin'zhe
蹶叔三悔,jue'shu'san'hui
康回触山,kang'hui'chu'shan
客泛彭蠡,ke'fan'peng'li
客击秦斯,ke'ji'qin'si
苛政猛于虎,ke'zheng'meng'yu'hu
刻舟求剑,ke'zhou'qiu'jian
孔子困陈蔡,kong'zi'kun'chen'cai
孔子马逸,kong'zi'ma'yi
口鼻眼眉争辩,kou'bi'yan'mei'zheng'bian
寇不韦斧根,kou'bu'wei'fu'gen
口脚争,kou'jiao'zheng
扣盘扪烛,kou'pan'men'zhu
刳马肝,ku'ma'gan
枯梧树,ku'wu'shu
夸父,kua'fu
狂泉,kuang'quan
夔蚿蛇与风,kui'xian'she'yu'feng
夔一足,kui'yi'zu
鲲鹏与斥鴳,kun'peng'yu'chi'yan
锟铻剑与火浣布,kun'wu'jian'yu'huo'huan'bu
烂盘盒,lan'pan'he
滥竽充数,lan'yu'chong'shu
兰子,lan'zi
狼三则,lang'san'ze
狼子野心,lang'zi'ye'xin
老虎求生,lao'hu'qiu'sheng
劳山道士,lao'shan'dao'shi
老妪与虎,lao'yu'yu'hu
黎丘丈人,li'qiu'zhang'ren
吏人立誓,li'ren'li'shi
狸狌,li'sheng
两瞽,liang'gu
两虎相斗,liang'hu'xiang'dou
两小儿辩日,liang'xiao'er'bian'ri
良医,liang'yi
辽东豕,liao'dong'shi
猎犬毙鹰,lie'quan'bi'ying
列御寇为伯昏无人射,lie'yu'kou'wei'bo'hun'wu'ren'she
猎者得麋,lie'zhe'de'mi
列子射中,lie'zi'she'zhong
列宗子泓,lie'zong'zi'hong
林回弃璧,lin'hui'qi'bi
临江之麋,lin'jiang'zhi'mi
邻女说,lin'nv'shuo
邻之富叟疾,lin'zhi'fu'sou'ji
灵公好妇人而丈夫饰者,ling'gong'hao'fu'ren'er'zhang'fu'shi'zhe
灵丘丈人,ling'qiu'zhang'ren
六翮与毛毳,liu'he'yu'mao'cui
龙王逢蛙,long'wang'feng'wa
鲁侯养鸟,lu'hou'yang'niao
鲁监门之女婴,lu'jian'men'zhi'nv'ying
鲁人报仇,lu'ren'bao'chou
鲁人好钓,lu'ren'hao'diao
鲁人取糟,lu'ren'qu'zao
鲁人徙越,lu'ren'xi'yue
鲁少儒,lu'shao'ru
轮扁,lun'bian
论蛆,lun'qu
轮人与匠人,lun'ren'yu'jiang'ren
罗刹,luo'cha
洛阳布衣,luo'yang'bu'yi
马嘉,ma'jia
麻雀请宴,ma'que'qing'yan
骂尸虫文,ma'shi'chong'wen
马说,ma'shuo
骂鸭,ma'ya
买椟还珠,mai'du'huan'zhu
卖柑者言,mai'gan'zhe'yan
埋两头蛇,mai'liang'tou'she
买璞,mai'pu
卖豚,mai'tun
卖油翁,mai'you'weng
卖宅避悍,mai'zhai'bi'han
盲者说,mang'zhe'shuo
盲子坠桥,mang'zi'zhui'qiao
猫吃素,mao'chi'su
猫号,mao'hao
猫虎说,mao'hu'shuo
猫说,mao'shuo
毛颖传,mao'ying'chuan
门者捐水,men'zhe'juan'shui
猛狗,meng'gou
蒙鸠,meng'jiu
蒙人遇虎,meng'ren'yu'hu
孟孙猎得麑,meng'sun'lie'de'ni
梦灶,meng'zao
觅登脚,mi'deng'jiao
迷罔之疾,mi'wang'zhi'ji
弥子瑕,mi'zi'xia
苗与雨,miao'yu'yu
闽姝,min'shu
莫砍虎皮,mo'kan'hu'pi
墨子为木鸢,mo'zi'wei'mu'yuan
墨子与巫马子,mo'zi'yu'wu'ma'zi
目不见睫,mu'bu'jian'jie
牧竖,mu'shu
穆天子养马,mu'tian'zi'yang'ma
南方人至京师,nan'fang'ren'zhi'jing'shi
南柯太守传,nan'ke'tai'shou'chuan
南文子狂易,nan'wen'zi'kuang'yi
南辕北辙,nan'yuan'bei'zhe
囊萤映雪,nang'ying'ying'xue
猱说,nao'shuo
茑,niao
鸟戒,niao'jie
鸟说,niao'shuo
牛联宗,niu'lian'zong
牛缺遇盗,niu'que'yu'dao
牛尾狸,niu'wei'li
怒蛙说,nu'wa'shuo
沤鸟,ou'niao
庖丁解牛,pao'ding'jie'niu
鹏与焦冥,peng'yu'jiao'ming
罴说,pi'shuo
偏枯之药,pian'ku'zhi'yao
齐攻宋,qi'gong'song
齐桓公好服紫,qi'huan'gong'hao'fu'zi
齐桓公让工师翰,qi'huan'gong'rang'gong'shi'han
齐桓公设庭燎,qi'huan'gong'she'ting'liao
齐景公惩奢,qi'jing'gong'cheng'she
齐景公出猎,qi'jing'gong'chu'lie
乞柳,qi'liu
歧路亡羊,qi'lu'wang'yang
乞猫,qi'mao
欹器,qi'qi
杞人忧天,qi'ren'you'tian
齐王见河伯,qi'wang'jian'he'bo
葺屋遇霁,qi'wu'yu'ji
齐庄公出猎,qi'zhuang'gong'chu'lie
遣妇,qian'fu
乾鹊与鸲鹆,qian'que'yu'qu'yu
钱神问对,qian'shen'wen'dui
黔之驴,qian'zhi'lv
黔中好贿,qian'zhong'hao'hui
秦伯嫁女,qin'bo'jia'nv
秦士好古,qin'shi'hao'gu
琴谕,qin'yu
请舶得苇筏,qing'bo'de'wei'fa
穷鬼传,qiong'gui'chuan
求病所忌,qiu'bing'suo'ji
求生得死,qiu'sheng'de'si
祛盗,qu'dao
曲突徙薪,qu'tu'xi'xin
驱蚊喻,qu'wen'yu
鸲鹆与蝉,qu'yu'yu'chan
犬,quan
鹊巢扶枝,que'chao'fu'zhi
群虱,qun'shi
群蚊,qun'wen
染丝,ran'si
攘鸡者,rang'ji'zhe
让鼠蜂,rang'shu'feng
任公子钓鱼,ren'gong'zi'diao'yu
人虎说,ren'hu'shuo
人参汤,ren'shen'tang
戎夷,rong'yi
肉食者智,rou'shi'zhe'zhi
儒以诗礼发冢,ru'yi'shi'li'fa'zhong
芮伯献马,rui'bo'xian'ma
若石,ruo'shi
塞翁失马,sai'weng'shi'ma
三人成虎,san'ren'cheng'hu
三人行贾,san'ren'xing'jia
三豕过河,san'shi'guo'he
三虱食彘,san'shi'shi'zhi
三石之弓,san'shi'zhi'gong
桑中李,sang'zhong'li
山东公子,shan'dong'gong'zi
善呼者,shan'hu'zhe
善计者,shan'ji'zhe
山木与雁,shan'mu'yu'yan
山雉与凤凰,shan'zhi'yu'feng'huang
上帝杀龙,shang'di'sha'long
商陵君豢龙,shang'ling'jun'huan'long
商太宰,shang'tai'zai
射稽之讴,she'ji'zhi'ou
社鼠,she'shu
蛇雾,she'wu
设渔者对智伯,she'yu'zhe'dui'zhi'bo
深文,shen'wen
释车下走,shi'che'xia'zou
室坏不修,shi'huai'bu'xiu
十家之邻,shi'jia'zhi'lin
师旷劝学,shi'kuang'quan'xue
拾樵,shi'qiao
施氏与孟氏,shi'shi'yu'meng'shi
狮王和豺狼,shi'wang'he'chai'lang
石邑深涧,shi'yi'shen'jian
市中弹琴,shi'zhong'tan'qin
守株待兔,shou'zhu'dai'tu
述病,shu'bing
书斗鱼,shu'dou'yu
倏忽与浑沌,shu'hu'yu'hun'dun
蜀鸡,shu'ji
树桑,shu'sang
蜀市三贾,shu'shi'san'jia
树叶隐身,shu'ye'yin'shen
暑拥夹被,shu'yong'jia'bei
束蕴请火,shu'yun'qing'huo
说骥,shuo'ji
说天鸡,shuo'tian'ji
司原猎豕,si'yuan'lie'shi
松,song
宋笺,song'jian
宋人富贾,song'ren'fu'gu
宋人名母,song'ren'ming'mu
宋人献璞,song'ren'xian'pu
宋人学盗,song'ren'xue'dao
宋人御马,song'ren'yu'ma
宋元君与神龟,song'yuan'jun'yu'shen'gui
宋之愚人,song'zhi'yu'ren
叹牛,tan'niu
螳螂捕蝉,tang'lang'bu'chan
螳螂捕蛇,tang'lang'bu'she
唐蒙与薜荔,tang'meng'yu'bi'li
桃符与艾人,tao'fu'yu'ai'ren
桃花源记,tao'hua'yuan'ji
腾猿,teng'yuan
田巴居于稷下,tian'ba'ju'yu'ji'xia
田父得玉,tian'fu'de'yu
田仲,tian'zhong
听见铃声,ting'jian'ling'sheng
屠龙术,tu'long'shu
屠牛吐,tu'niu'tu
土偶对,tu'ou'dui
土偶人与桃梗,tu'ou'ren'yu'tao'geng
鼍与虾蟆,tuo'yu'ha'ma
外人好看,wai'ren'hao'kan
剜股藏珠,wan'gu'cang'zhu
挽纤折半,wan'xian'zhe'ban
万字,wan'zi
亡财疑邻,wang'cai'yi'lin
亡戟得矛,wang'ji'de'mao
罔两问景,wang'liang'wen'jing
罔两问影,wang'liang'wen'ying
亡铁,wang'tie
王鲔,wang'wei
妄心,wang'xin
亡羊,wang'yang
望洋兴叹,wang'yang'xing'tan
罔与勿,wang'yu'wu
为甲以组,wei'jia'yi'zu
畏馒头,wei'man'tou
卫人教女,wei'ren'jiao'nv
卫人迎新妇,wei'ren'ying'xin'fu
魏文侯改过,wei'wen'hou'gai'guo
纬萧者得珠,wei'xiao'zhe'de'zhu
为学,wei'xue
为义,wei'yi
畏影恶迹,wei'ying'e'ji
蚊对,wen'dui
问日字,wen'ri'zi
瓮帽,weng'mao
蜗角之战,wo'jiao'zhi'zhan
五丁之怒,wu'ding'zhi'nu
蜈蚣与蚓,wu'gong'yu'yin
乌戒,wu'jie
吴人善渔,wu'ren'shan'yu
五十步笑百步,wu'shi'bu'xiao'bai'bu
吴王射狙,wu'wang'she'ju
吴五百,wu'wu'bai
乌贼鱼说,wu'zei'yu'shuo
无支祈与河伯,wu'zhi'qi'yu'he'bo
西郭子侨堕溷,xi'guo'zi'qiao'duo'hun
西邻五子,xi'lin'wu'zi
螇螰堕于河,xi'lu'duo'yu'he
西闾过东渡河,xi'lv'guo'dong'du'he
徙衽从阴,xi'ren'cong'yin
西施病心,xi'shi'bing'xin
西王须,xi'wang'xu
西域贾售宝,xi'yu'jia'shou'bao
黠鼠,xia'shu
瞎子吃鱼,xia'zi'chi'yu
相狗,xiang'gou
相剑者,xiang'jian'zhe
相马,xiang'ma
乡人看靴形,xiang'ren'kan'xue'xing
相濡以沫,xiang'ru'yi'mo
枭东徙,xiao'dong'xi
小儿不畏虎,xiao'er'bu'wei'hu
校人烹鱼,xiao'ren'peng'yu
械虎,xie'hu
猩猩,xing'xing
薛谭学讴,xue'tan'xue'ou
学奕,xue'yi
循表涉澭,xun'biao'she'yong
揠苗助长,ya'miao'zhu'zhang
鸦与乾鹊,ya'yu'qian'que
哑子说话,ya'zi'shuo'hua
腌蛋,yan'dan
烟气难餐,yan'qi'nan'can
燕雀处室,yan'que'chu'shi
燕雀处屋,yan'que'chu'wu
燕人返国,yan'ren'fan'guo
燕王好乌,yan'wang'hao'wu
腌鱼,yan'yu
晏子辞高缭,yan'zi'ci'gao'liao
阳都之熊,yang'dou'zhi'xiong
养兰说,yang'lan'shuo
养狸述,yang'li'shu
羊裘在念,yang'qiu'zai'nian
养由基善射,yang'you'ji'shan'she
养由基射神白猿,yang'you'ji'she'shen'bai'yuan
阳昼赠言,yang'zhou'zeng'yan
杨子过宋,yang'zi'guo'song
妖术,yao'shu
摇树取菱,yao'shu'qu'ling
叶公好龙,ye'gong'hao'long
羿操弓,yi'cao'gong
以凫为鹘,yi'fu'wei'hu
刈兰,yi'lan
易梁,yi'liang
一目之罗,yi'mu'zhi'luo
异鹊,yi'que
揖让救火,yi'rang'jiu'huo
以豕代耕,yi'shi'dai'geng
医驼,yi'tuo
一蟹不如一蟹,yi'xie'bu'ru'yi'xie
尹儒学御,yin'ru'xue'yu
引婴投江,yin'ying'tou'jiang
营丘士折难,ying'qiu'shi'zhe'nan
郢人割瘿,ying'ren'ge'ying
鹦鹉灭火,ying'wu'mie'huo
蝇钻,ying'zuan
永某氏之鼠,yong'mou'shi'zhi'shu
宥蝮蛇文,you'fu'she'wen
忧木,you'mu
鹬蚌相争,yu'bang'xiang'zheng
虞孚,yu'fu
愚公移山,yu'gong'yi'shan
庾公之斯,yu'gong'zhi'si
与狐谋皮,yu'hu'mou'pi
预哭,yu'ku
芋老人传,yu'lao'ren'chuan
郁离子居山,yu'li'zi'ju'shan
郁离子哭坏宅,yu'li'zi'ku'huai'zhai
虞庆为屋,yu'qing'wei'wu
鬻犬,yu'quan
愚人失袋,yu'ren'shi'dai
虞氏,yu'shi
浴矢,yu'shi
鱼叹,yu'tan
玉为楮叶,yu'wei'chu'ye
愚溪对,yu'xi'dui
玉戭生与三乌丛臣,yu'yan'sheng'yu'san'wu'cong'chen
鱼之乐,yu'zhi'le
鹓鶵与鸱,yuan'chu'yu'chi
愿换手指,yuan'huan'shou'zhi
爰旌目之死,yuan'jing'mu'zhi'si
远水不救近火,yuan'shui'bu'jiu'jin'huo
越车,yue'che
粤工操舟,yue'gong'cao'zhou
越人阱鼠,yue'ren'jing'shu
越人遇狗,yue'ren'yu'gou
越王好勇,yue'wang'hao'yong
越巫,yue'wu
粤有善农者,yue'you'shan'nong'zhe
云梦田,yun'meng'tian
宰臣上炙,zai'chen'shang'zhi
造父学御,zao'fu'xue'yu
凿钟,zao'zhong
曾参杀人,zeng'shen'sha'ren
憎王孙文,zeng'wang'sun'wen
曾子杀彘,zeng'zi'sha'zhi
詹何,zhan'he
詹何钓鱼,zhan'he'diao'yu
赵襄王学御,zhao'xiang'wang'xue'yu
招野龙对,zhao'ye'long'dui
昭支昷,zhao'zhi'wen
谪龙说,zhe'long'shuo
鸩说,zhen'shuo
枕中记,zhen'zhong'ji
郑人爱鱼,zheng'ren'ai'yu
郑人买履,zheng'ren'mai'lv
郑人争年,zheng'ren'zheng'nian
郑师文学鼓琴,zheng'shi'wen'xue'gu'qin
争雁,zheng'yan
致鬼,zhi'gui
执马经以求马,zhi'ma'jing'yi'qiu'ma
蜘蛛与蛇,zhi'zhu'yu'she
种稻,zhong'dao
种梨,zhong'li
中山狼传,zhong'shan'lang'chuan
种树郭橐驼传,zhong'shu'guo'tuo'tuo'chuan
中天台,zhong'tian'tai
钟莛说,zhong'ting'shuo
种杨树,zhong'yang'shu
周人不遇,zhou'ren'bu'yu
纣为象箸,zhou'wei'xiang'zhu
逐臭,zhu'chou
蛛与蚕,zhu'yu'can
煮箦,zhu'ze
烛邹亡鸟,zhu'zou'wang'niao
庄里丈人,zhuang'li'zhang'ren
庄子钓于濮水,zhuang'zi'diao'yu'pu'shui
庄子妻死,zhuang'zi'qi'si
庄子与饿人,zhuang'zi'yu'e'ren
追女失妻,zhui'nv'shi'qi
子产晨出,zi'chan'chen'chu
子翏慎妃耦,zi'liu'shen'fei'ou
子旗献珉,zi'qi'xian'min
梓庆削木为鐻,zi'qing'xue'mu'wei'ju
子夏见曾子,zi'xia'jian'zeng'zi
自相矛盾,zi'xiang'mao'dun
梓与棘,zi'yu'ji
子圉进谗,zi'yu'jin'chan
邹忌窥镜,zou'ji'kui'jing
醉猴,zui'hou
醉乡记,zui'xiang'ji
琢冰,zuo'bing
