矮瓜,ai'gua
静鸡鸡,jing'ji'ji
颈渴,jing'ke
净喺,jing'xi
经已,jing'yi
静英英,jing'ying'ying
舅父,jiu'fu
就嚟,jiu'li
就手,jiu'shou
焗饭,ju'fan
开片,kai'pian
揩油,kai'you
看更,kan'geng
冚家铲,kan'jia'chan
扻旗,kan'qi
疴嘘嘘,ke'xu'xu
空姐,kong'jie
苦瓜咁嘅面,ku'gua'gan'ge'mian
快活,kuai'huo
快趣,kuai'qu
阔落,kuo'luo
楋手唔成势,la'shou'wu'cheng'shi
烂溶溶,lan'rong'rong
浪口,lang'kou
捞边行,lao'bian'xing
老姑婆,lao'gu'po
老千,lao'qian
老细,lao'xi
老嘢,lao'ye
老友记,lao'you'ji
了哥,le'ge
叻女,le'nv
叻仔,le'zai
栗米,li'mi
连气,lian'qi
摙死,lian'si
摙住,lian'zhu
莲子蓉面口,lian'zi'rong'mian'kou
靓女,liang'nv
靓仔,liang'zai
撩鼻屎,liao'bi'shi
撩是斗非,liao'shi'dou'fei
啉死人啦,lin'si'ren'la
啉下我,lin'xia'wo
拎住,lin'zhu
零零丁丁,ling'ling'ding'ding
领太,ling'tai
轮更,lun'geng
攞啲嘢,luo'di'ye
攞来,luo'lai
攞嚟衰,luo'li'shuai
落雨,luo'yu
攞住,luo'zhu
马蹄,ma'ti
摱车边,man'che'bian
冇几何,mao'ji'he
冇尾飞铊,mao'wei'fei'ta
冇相干,mao'xiang'gan
冇嘢讲,mao'ye'jiang
门口狗,men'kou'gou
焖熷,men'zeng
掹佢出嚟,meng'qu'chu'li
秘捞,mi'lao
眯埋眼,mi'mai'yan
咪住,mi'zhu
咪阻住啊,mi'zu'zhu'a
渺嘴,miao'zui
乜都识,mie'dou'shi
乜都有,mie'dou'you
搣开,mie'kai
咩嚟嘎,mie'li'ga
咩事,mie'shi
乜嘢,mie'ye
咩嘢,mie'ye
摸门钉,mo'men'ding
你哋,ni'di
你嘅,ni'ge
你喺边啊,ni'xi'bian'a
嬲爆爆,niao'bao'bao
拧头,ning'tou
拗痕,niu'hen
扭拧,niu'ning
抛浪头,pao'lang'tou
炮仗颈,pao'zhang'jing
皮箧,pi'qie
频扑,pin'pu
扑街,pu'jie
契弟,qi'di
迉低,qi'di
七国咁乱,qi'guo'gan'luan
齐缉缉,qi'ji'ji
企理,qi'li
嘁起条筋,qi'qi'tiao'jin
憇佢开心,qi'qu'kai'xin
乞人憎,qi'ren'zeng
起身,qi'shen
闙头,qi'tou
起屋,qi'wu
契爷,qi'ye
盵嘢,qi'ye
契仔,qi'zi
欠抦啊,qian'bing'a
慳返,qian'fan
千祈,qian'qi
悭钱,qian'qian
悭散子,qian'san'zi
青悲悲,qing'bei'bei
倾偈,qing'ji
情愿,qing'yuan
佢哋,qu'di
屈质,qu'zhi
雀仔,que'zi
然之后,ran'zhi'hou
人工,ren'gong
人客,ren'ke
认叻,ren'le
人怕危迷怕筛,ren'pa'wei'mi'pa'shai
肉赤,rou'chi
软熟,ruan'shu
嗮料啦,sai'liao'la
三姑六婆,san'gu'liu'po
三口六面,san'kou'liu'mian
臊虾,sao'xia
扫帚,sao'zhou
閪狗,se'gou
稍为,shao'wei
身水身汗,shen'shui'shen'han
谂住,shen'zhu
生安白造,sheng'an'bai'zao
生埗,sheng'bu
生勾勾,sheng'gou'gou
生果,sheng'guo
生人唔生胆,sheng'ren'wu'sheng'dan
是必,shi'bi
十分之,shi'fen'zhi
事关,shi'guan
十划都未有一撇,shi'hua'dou'wei'you'yi'pie
失魂,shi'hun
失魂鱼,shi'hun'yu
湿水鸡,shi'shui'ji
食死猫,shi'si'mao
事头婆,shi'tou'po
食碗面反碗底,shi'wan'mian'fan'wan'di
十问九唔应,shi'wen'jiu'wu'ying
食晏,shi'yan
食烟,shi'yan
食咗人只车咩,shi'zuo'ren'zhi'che'mie
手板眼见工夫,shou'ban'yan'jian'gong'fu
手多多,shou'duo'duo
收工,shou'gong
手瓜硬,shou'gua'ying
瘦蜢蜢,shou'meng'meng
手信,shou'xin
手指拗出唔拗入,shou'zhi'niu'chu'wu'niu'ru
数还数路还路,shu'hai'shu'lu'hai'lu
梳化,shu'hua
熟手,shu'shou
熟行,shu'xing
衰到贴地,shuai'dao'tie'di
闩门,shuan'men
爽手,shuang'shou
水喉,shui'hou
水静河飞,shui'jing'he'fei
死蛇烂鳝,si'she'lan'shan
四正,si'zheng
餸菜,song'cai
蒜头,suan'tou
索气,suo'qi
缩头乌龟,suo'tou'wu'gui
索油,suo'you
他条,ta'tiao
探访,tan'fang
特登,te'deng
踢晒脚,ti'shai'jiao
田鸡,tian'ji
同埋,tong'mai
偷呃拐骗,tou'e'guai'pian
偷鸡唔到蚀揸米,tou'ji'wu'dao'shi'zha'mi
偷笑,tou'xiao
秃驴,tu'lv
托大脚,tuo'da'jiao
万寿果,wan'shou'guo
为咗,wei'zuo
蚊螆,wen'ci
揾工,wen'gong
揾人,wen'ren
我哋,wo'di
我嘅,wo'ge
唔单只,wu'dan'zhi
乌灯黑火,wu'deng'hei'huo
无端白事,wu'duan'bai'shi
唔忿气,wu'fen'qi
唔关我事,wu'guan'wo'shi
唔好乱喐,wu'hao'luan'xu
唔话得,wu'hua'de
唔觉意,wu'jue'yi
唔使,wu'shi
唔系啩,wu'xi'gua
乌蝇,wu'ying
污糟,wu'zao
乌卒卒,wu'zu'zu
係啵,xi'bo
熄灯,xi'deng
系啩,xi'gua
细路,xi'lu
係啰,xi'luo
洗面,xi'mian
係咩嚟嘎,xi'mie'li'ga
喺呢度,xi'ne'du
细蚊仔,xi'wen'zai
喺我前边,xi'wo'qian'bian
係唔係,xi'wu'xi
咥住晒,xi'zhu'shai
呷醋,xia'cu
虾毛,xia'mao
先至,xian'zhi
相当之,xiang'dang'zhi
想话,xiang'hua
香枧,xiang'jian
笑到嘎嘎声,xiao'dao'ga'ga'sheng
笑口噬噬,xiao'kou'shi'shi
笑口吟吟,xiao'kou'yin'yin
笑骑骑,xiao'qi'qi
小心驶得晚年船,xiao'xin'shi'de'wan'nian'chuan
霄夜,xiao'ye
心抱,xin'bao
心淡,xin'dan
心多多,xin'duo'duo
心甘,xin'gan
心挂挂,xin'gua'gua
新净,xin'jing
心水,xin'shui
心思思,xin'si'si
心息,xin'xi
心喐喐,xin'xu'xu
心罨,xin'yan
羞家,xiu'jia
喐来喐去,xu'lai'xu'qu
喐手,xu'shou
雪柜,xue'gui
牙烟,ya'yan
潝住,ya'zhu
眼崛崛,yan'jue'jue
啱嗮,yan'sai
盐蛇,yan'she
啱先,yan'xian
啱啱,yan'yan
椰菜,ye'cai
一把火,yi'ba'huo
一部通书睇到老,yi'bu'tong'shu'di'dao'lao
一啖,yi'dan
一担担,yi'dan'dan
一蠹尿,yi'du'niao
抑或,yi'huo
一镬泡,yi'huo'pao
一镬熟,yi'huo'shu
一脚踢,yi'jiao'ti
一吤吤,yi'jie'jie
翳闷,yi'men
一淠屎,yi'pi'shi
一仆一碌,yi'pu'yi'lu
一身蚁,yi'shen'yi
熠熟狗头,yi'shu'gou'tou
一天都光晒,yi'tian'dou'guang'shai
一氽水,yi'tun'shui
一喺,yi'xi
一于,yi'yu
饮胜,yin'sheng
因住,yin'zhu
有风驶尽利,you'feng'shi'jin'li
游离浪荡,you'li'lang'dang
有冇搞错,you'mao'gao'cuo
又试,you'shi
有头威冇尾阵,you'tou'wei'mao'wei'zhen
有碗话碗有碟话碟,you'wan'hua'wan'you'die'hua'die
有纹有路,you'wen'you'lu
幼细,you'xi
忧心,you'xin
于是乎,yu'shi'hu
葾崩烂臭,yuan'beng'lan'chou
岳高头,yue'gao'tou
曱甴,yue'you
匀巡,yun'xun
早晨,zao'chen
早唞,zao'dou
啫啫鸡,ze'ze'ji
揸车,zha'che
诈娇,zha'jiao
揸住,zha'zhu
折堕,zhe'duo
遮住晒,zhe'zhu'shai
掟煲,zheng'bao
正话,zheng'hua
掟死你,zheng'si'ni
掟咗,zheng'zuo
之不过,zhi'bu'guo
之嘛,zhi'ma
直情,zhi'qing
枳入去,zhi'ru'qu
执死鸡,zhi'si'ji
直头,zhi'tou
执头执尾,zhi'tou'zhi'wei
重重沓沓,zhong'chong'ta'ta
钟点工,zhong'dian'gong
终归,zhong'gui
重好,zhong'hao
终须,zhong'xu
中意,zhong'yi
重有,zhong'you
猪仔,zhu'zai
猪仔得食墟墟冚,zhu'zai'de'shi'xu'xu'kan
专登,zhuan'deng
撞板,zhuang'ban
滋油,zi'you
走夹唔唞,zou'jia'wu'dou
走人,zou'ren
卒之,zu'zhi
咗啦,zuo'la
做嘢,zuo'ye
