阿贝尔,a'bei'er
二元一次不等式,er'yuan'yi'ci'bu'deng'shi
二元一次方程,er'yuan'yi'ci'fang'cheng
二元一次方程组,er'yuan'yi'ci'fang'cheng'zu
法平面,fa'ping'mian
法向量,fa'xiang'liang
法则,fa'ze
反比,fan'bi
反比例函数,fan'bi'li'han'shu
繁分数,fan'fen'shu
反函数,fan'han'shu
反三角函数,fan'san'jiao'han'shu
反向,fan'xiang
反向延长,fan'xiang'yan'chang
反向延长线,fan'xiang'yan'chang'xian
反演,fan'yan
反余切函数,fan'yu'qie'han'shu
反余弦函数,fan'yu'xian'han'shu
反证法,fan'zheng'fa
反正切,fan'zheng'qie
反正切函数,fan'zheng'qie'han'shu
反正弦,fan'zheng'xian
方差,fang'cha
方差分析,fang'cha'fen'xi
方程,fang'cheng
方程的曲线,fang'cheng'de'qu'xian
方程组,fang'cheng'zu
方法数,fang'fa'shu
放回,fang'hui
方位角,fang'wei'jiao
方向向量,fang'xiang'xiang'liang
斐波那契,fei'bo'na'qi
斐波那契数列,fei'bo'na'qi'shu'lie
非负数,fei'fu'shu
非负整数,fei'fu'zheng'shu
非空集,fei'kong'ji
非零向量,fei'ling'xiang'liang
费马,fei'ma
费马大定理,fei'ma'da'ding'li
非欧几何,fei'ou'ji'he
非奇非偶,fei'qi'fei'ou
非奇非偶函数,fei'qi'fei'ou'han'shu
分布,fen'bu
分步乘法计数原理,fen'bu'cheng'fa'ji'shu'yuan'li
分布密度曲线,fen'bu'mi'du'qu'xian
分层抽样,fen'ceng'chou'yang
分段函数,fen'duan'han'shu
分割,fen'ge
分解,fen'jie
分解因式,fen'jie'yin'shi
分类,fen'lei
分类加法计数原理,fen'lei'jia'fa'ji'shu'yuan'li
分类统计,fen'lei'tong'ji
分离,fen'li
分量,fen'liang
分母,fen'mu
分母有理化,fen'mu'you'li'hua
分配,fen'pei
分配律,fen'pei'lv
分式,fen'shi
分数,fen'shu
分数部分,fen'shu'bu'fen
分数指数,fen'shu'zhi'shu
分析,fen'xi
分形,fen'xing
分支,fen'zhi
分子,fen'zi
分子有理化,fen'zi'you'li'hua
分组抽样,fen'zu'chou'yang
风险决策,feng'xian'jue'ce
否定,fou'ding
否定命题,fou'ding'ming'ti
否命题,fou'ming'ti
负倒数,fu'dao'shu
浮点,fu'dian
负方向,fu'fang'xiang
负分数,fu'fen'shu
复根,fu'gen
负号,fu'hao
符号,fu'hao
符号化,fu'hao'hua
符号语言,fu'hao'yu'yan
复合函数,fu'he'han'shu
附加条件,fu'jia'tiao'jian
负角,fu'jiao
辐角,fu'jiao
俯角,fu'jiao
傅立叶,fu'li'ye
复平面,fu'ping'mian
俯视图,fu'shi'tu
负数,fu'shu
复数的代数形式,fu'shu'de'dai'shu'xing'shi
复数域,fu'shu'yu
负无穷大,fu'wu'qiong'da
负相关,fu'xiang'guan
负因数,fu'yin'shu
负整数,fu'zheng'shu
赋值,fu'zhi
辅助变量,fu'zhu'bian'liang
辅助函数,fu'zhu'han'shu
辅助线,fu'zhu'xian
辅助圆,fu'zhu'yuan
伽罗瓦,ga'luo'wa
概率,gai'lv
概率论,gai'lv'lun
概率密度函数,gai'lv'mi'du'han'shu
概率曲线,gai'lv'qu'xian
概念,gai'nian
高次项,gao'ci'xiang
高等代数,gao'deng'dai'shu
高等数学,gao'deng'shu'xue
高斯,gao'si
高斯消元法,gao'si'xiao'yuan'fa
隔板法,ge'ban'fa
割补术,ge'bu'shu
哥德巴赫猜想,ge'de'ba'he'cai'xiang
哥德尔,ge'de'er
割线,ge'xian
根号,gen'hao
根式,gen'shi
根指数,gen'zhi'shu
公倍数,gong'bei'shu
公比,gong'bi
公差,gong'cha
公垂线,gong'chui'xian
公垂线段,gong'chui'xian'duan
共点,gong'dian
共轭,gong'e
共轭复数,gong'e'fu'shu
共轭根,gong'e'gen
公分母,gong'fen'mu
公共点,gong'gong'dian
公共因子,gong'gong'yin'zi
公斤,gong'jin
公开密钥,gong'kai'mi'yue
公理,gong'li
公理法,gong'li'fa
公理方法,gong'li'fang'fa
公理化,gong'li'hua
公理化集合论,gong'li'hua'ji'he'lun
公理化理论,gong'li'hua'li'lun
公理集合论,gong'li'ji'he'lun
公理系统,gong'li'xi'tong
共面,gong'mian
共面向量,gong'mian'xiang'liang
共面直线,gong'mian'zhi'xian
公设,gong'she
公式,gong'shi
公式化,gong'shi'hua
共线,gong'xian
共线向量,gong'xian'xiang'liang
弓形,gong'xing
公因式,gong'yin'shi
公因数,gong'yin'shu
公约数,gong'yue'shu
勾股定理,gou'gu'ding'li
古典概率,gu'dian'gai'lv
古典概率模型,gu'dian'gai'lv'mo'xing
估计量,gu'ji'liang
估计值,gu'ji'zhi
卦限,gua'xian
拐点,guai'dian
观测误差,guan'ce'wu'cha
关系,guan'xi
关于原点对称,guan'yu'yuan'dian'dui'chen
光滑曲线,guang'hua'qu'xian
规范正交基,gui'fan'zheng'jiao'ji
轨迹,gui'ji
轨迹方程,gui'ji'fang'cheng
归纳,gui'na
归纳法,gui'na'fa
归纳假设,gui'na'jia'she
归纳推理,gui'na'tui'li
过程与方法,guo'cheng'yu'fang'fa
过剩近似值,guo'sheng'jin'si'zhi
哈代,ha'dai
哈密顿,ha'mi'dun
海伦公式,hai'lun'gong'shi
函数,han'shu
函数逼近论,han'shu'bi'jin'lun
函数表示,han'shu'biao'shi
函数的单调性,han'shu'de'dan'diao'xing
函数的奇偶性,han'shu'de'ji'ou'xing
函数符号,han'shu'fu'hao
函数关系,han'shu'guan'xi
函数模型,han'shu'mo'xing
函数值,han'shu'zhi
含于,han'yu
行列式,hang'lie'shi
毫米,hao'mi
合比,he'bi
合情推理,he'qing'tui'li
合数,he'shu
和向量,he'xiang'liang
恒成立,heng'cheng'li
恒成立问题,heng'cheng'li'wen'ti
恒等变换,heng'deng'bian'huan
恒等式,heng'deng'shi
横截面,heng'jie'mian
横轴,heng'zhou
横坐标,heng'zuo'biao
后项,hou'xiang
互补,hu'bu
弧长,hu'chang
弧长公式,hu'chang'gong'shi
互斥事件,hu'chi'shi'jian
弧度,hu'du
弧度角,hu'du'jiao
互否命题,hu'fou'ming'ti
互逆命题,hu'ni'ming'ti
互素,hu'su
互为补角,hu'wei'bu'jiao
互为邻补角,hu'wei'lin'bu'jiao
互为逆否命题,hu'wei'ni'fou'ming'ti
互为余角,hu'wei'yu'jiao
互异性,hu'yi'xing
画法几何,hua'fa'ji'he
化圆为方,hua'yuan'wei'fang
换元法,huan'yuan'fa
黄金分割,huang'jin'fen'ge
回归,hui'gui
回归方程,hui'gui'fang'cheng
回归分析,hui'gui'fen'xi
回归系数,hui'gui'xi'shu
基本不变式,ji'ben'bu'bian'shi
基本初等函数,ji'ben'chu'deng'han'shu
基本思想,ji'ben'si'xiang
既不充分也不必要,ji'bu'chong'fen'ye'bu'bi'yao
极差,ji'cha
极大似然估计,ji'da'si'ran'gu'ji
极大值,ji'da'zhi
极大值点,ji'da'zhi'dian
极大值问题,ji'da'zhi'wen'ti
积分,ji'fen
积分变量,ji'fen'bian'liang
积分符号,ji'fen'fu'hao
积分上限,ji'fen'shang'xian
积分下限,ji'fen'xia'xian
积分学,ji'fen'xue
奇函数,ji'han'shu
集合,ji'he
几何,ji'he
几何表示,ji'he'biao'shi
几何画板,ji'he'hua'ban
几何基础,ji'he'ji'chu
几何级数,ji'he'ji'shu
集合论,ji'he'lun
几何平均数,ji'he'ping'jun'shu
几何特征,ji'he'te'zheng
几何意义,ji'he'yi'yi
几何原本,ji'he'yuan'ben
几何证明,ji'he'zheng'ming
积化和差,ji'hua'he'cha
机会均等,ji'hui'jun'deng
极角,ji'jiao
极径,ji'jing
奇偶性,ji'ou'xing
箕舌线,ji'she'xian
计数,ji'shu
基数,ji'shu
奇数,ji'shu
级数,ji'shu
记数法,ji'shu'fa
计数问题,ji'shu'wen'ti
计数原理,ji'shu'yuan'li
计算,ji'suan
计算方法,ji'suan'fang'fa
计算公式,ji'suan'gong'shi
计算机,ji'suan'ji
计算器,ji'suan'qi
极限,ji'xian
极限位置,ji'xian'wei'zhi
极限值,ji'xian'zhi
基向量,ji'xiang'liang
极小,ji'xiao
极小化,ji'xiao'hua
极小值,ji'xiao'zhi
极小值点,ji'xiao'zhi'dian
机械抽样,ji'xie'chou'yang
基圆,ji'yuan
既约分数,ji'yue'fen'shu
己知,ji'zhi
极值,ji'zhi
极值点,ji'zhi'dian
极值问题,ji'zhi'wen'ti
极轴,ji'zhou
极坐标,ji'zuo'biao
极坐标系,ji'zuo'biao'xi
加法,jia'fa
加法交换律,jia'fa'jiao'huan'lv
加法结合律,jia'fa'jie'he'lv
加法原理,jia'fa'yuan'li
假分数,jia'fen'shu
加号,jia'hao
夹角,jia'jiao
加权,jia'quan
加权平均,jia'quan'ping'jun
加权平均值,jia'quan'ping'jun'zhi
假设,jia'she
假设检验,jia'she'jian'yan
加数,jia'shu
加速度,jia'su'du
假值,jia'zhi
简单抽样,jian'dan'chou'yang
简单随机样本,jian'dan'sui'ji'yang'ben
间断点,jian'duan'dian
减法,jian'fa
简分数,jian'fen'shu
减函数,jian'han'shu
减号,jian'hao
简化,jian'hua
简化方程,jian'hua'fang'cheng
间接证明,jian'jie'zheng'ming
渐近线,jian'jin'xian
渐开线,jian'kai'xian
减数,jian'shu
简图,jian'tu
简谐运动,jian'xie'yun'dong
降幂公式,jiang'mi'gong'shi
降幂排列,jiang'mi'pai'lie
焦半径,jiao'ban'jing
交比,jiao'bi
角边角,jiao'bian'jiao
焦点,jiao'dian
焦点坐标,jiao'dian'zuo'biao
角度制,jiao'du'zhi
交规法,jiao'gui'fa
焦距,jiao'ju
角平分线,jiao'ping'fen'xian
角速度,jiao'su'du
教学流程,jiao'xue'liu'cheng
教学难点,jiao'xue'nan'dian
教学重点,jiao'xue'zhong'dian
交运算,jiao'yun'suan
阶乘,jie'cheng
解法,jie'fa
结构特征,jie'gou'te'zheng
结合律,jie'he'lv
解集,jie'ji
截距,jie'ju
截距式,jie'ju'shi
结论,jie'lun
截面,jie'mian
解析法,jie'xi'fa
解析性,jie'xi'xing
近世代数,jin'shi'dai'shu
近似表示,jin'si'biao'shi
近似等于,jin'si'deng'yu
近似解,jin'si'jie
近似值,jin'si'zhi
进位,jin'wei
精度,jing'du
经度,jing'du
精确度,jing'que'du
精确解,jing'que'jie
精确值,jing'que'zhi
静态角,jing'tai'jiao
九点圆,jiu'dian'yuan
九九表,jiu'jiu'biao
局部性质,ju'bu'xing'zhi
距离,ju'li
距离公式,ju'li'gong'shi
矩形,ju'xing
矩阵,ju'zhen
决策论,jue'ce'lun
绝对误差,jue'dui'wu'cha
绝对值,jue'dui'zhi
绝对值不等式,jue'dui'zhi'bu'deng'shi
均值,jun'zhi
均值公式,jun'zhi'gong'shi
卡方分布,ka'fang'fen'bu
开方,kai'fang
开口方向,kai'kou'fang'xiang
开口向上,kai'kou'xiang'shang
开口向下,kai'kou'xiang'xia
开立方,kai'li'fang
开平方,kai'ping'fang
开区间,kai'qu'jian
康托尔,kang'tuo'er
可靠性,ke'kao'xing
可能性,ke'neng'xing
可逆,ke'ni
可数集,ke'shu'ji
柯西,ke'xi
柯西不等式,ke'xi'bu'deng'shi
可行解,ke'xing'jie
可行域,ke'xing'yu
空集,kong'ji
空间,kong'jian
空间点,kong'jian'dian
空间几何体,kong'jian'ji'he'ti
空间向量,kong'jian'xiang'liang
空间坐标,kong'jian'zuo'biao
框图,kuang'tu
捆绑法,kun'bang'fa
括号,kuo'hao
拉东变换,la'dong'bian'huan
拉格朗日,la'ge'lang'ri
类比,lei'bi
类比推理,lei'bi'tui'li
理发师悖论,li'fa'shi'bei'lun
立方,li'fang
立方差,li'fang'cha
立方差公式,li'fang'cha'gong'shi
立方根,li'fang'gen
立方和,li'fang'he
立方和公式,li'fang'he'gong'shi
立方体,li'fang'ti
理论,li'lun
利率,li'lv
厘米,li'mi
离散,li'san
离散变量,li'san'bian'liang
离散数学,li'san'shu'xue
离散型随机变量,li'san'xing'sui'ji'bian'liang
立体,li'ti
立体几何,li'ti'ji'he
离心率,li'xin'lv
连乘积,lian'cheng'ji
连分数,lian'fen'shu
连结,lian'jie
联立不等式,lian'li'bu'deng'shi
联立方程,lian'li'fang'cheng
连通,lian'tong
连续,lian'xu
连续型随机变量,lian'xu'xing'sui'ji'bian'liang
两点分布,liang'dian'fen'bu
两点间距,liang'dian'jian'ju
两点间距离,liang'dian'jian'ju'li
两点距离公式,liang'dian'ju'li'gong'shi
两点式,liang'dian'shi
两角差公式,liang'jiao'cha'gong'shi
两角和公式,liang'jiao'he'gong'shi
量角器,liang'jiao'qi
两两垂直,liang'liang'chui'zhi
两两独立,liang'liang'du'li
两两相交,liang'liang'xiang'jiao
列表法,lie'biao'fa
劣弧,lie'hu
列举法,lie'ju'fa
列式,lie'shi
列向量,lie'xiang'liang
邻边,lin'bian
临界,lin'jie
临界条件,lin'jie'tiao'jian
临界值,lin'jie'zhi
临界值表,lin'jie'zhi'biao
邻域,lin'yu
零点,ling'dian
零向量,ling'xiang'liang
菱形,ling'xing
六边形,liu'bian'xing
流程图,liu'cheng'tu
六十进制,liu'shi'jin'zhi
流形,liu'xing
孪生素数,luan'sheng'su'shu
卵形线,luan'xing'xian
论证,lun'zheng
逻辑符号,luo'ji'fu'hao
逻辑联结词,luo'ji'lian'jie'ci
逻辑推理,luo'ji'tui'li
逻辑学,luo'ji'xue
螺线,luo'xian
满射,man'she
蔓叶线,man'ye'xian
矛盾,mao'dun
枚举法,mei'ju'fa
梅森数,mei'sen'shu
蒙日几何,meng'ri'ji'he
密度函数,mi'du'han'shu
幂函数,mi'han'shu
密码学,mi'ma'xue
幂指数,mi'zhi'shu
面积,mian'ji
面积单位,mian'ji'dan'wei
面面垂直,mian'mian'chui'zhi
面面平行,mian'mian'ping'xing
描述法,miao'shu'fa
命题,ming'ti
命题成立,ming'ti'cheng'li
命题的否定,ming'ti'de'fou'ding
命题推演,ming'ti'tui'yan
命题演算,ming'ti'yan'suan
默比乌斯带,mo'bi'wu'si'dai
目标函数,mu'biao'han'shu
母函数,mu'han'shu
母线,mu'xian
母圆,mu'yuan
内摆线,nei'bai'xian
内部,nei'bu
内含,nei'han
内积,nei'ji
内角平分线,nei'jiao'ping'fen'xian
内接,nei'jie
内接多边形,nei'jie'duo'bian'xing
内接三角形,nei'jie'san'jiao'xing
内接四边形,nei'jie'si'bian'xing
内接五边形,nei'jie'wu'bian'xing
内切,nei'qie
内切圆,nei'qie'yuan
内心,nei'xin
逆定理,ni'ding'li
逆否命题,ni'fou'ming'ti
拟合,ni'he
逆时针,ni'shi'zhen
逆时针旋转,ni'shi'zhen'xuan'zhuan
逆元,ni'yuan
逆运算,ni'yun'suan
牛顿,niu'dun
牛顿莱布尼茨公式,niu'dun'lai'bu'ni'ci'gong'shi
女生问题,nv'sheng'wen'ti
偶函数,ou'han'shu
欧几里得,ou'ji'li'de
欧几里得几何,ou'ji'li'de'ji'he
欧几里得空间,ou'ji'li'de'kong'jian
欧几里得平面,ou'ji'li'de'ping'mian
欧几里得平行公设,ou'ji'li'de'ping'xing'gong'she
欧几里得算法,ou'ji'li'de'suan'fa
欧拉常数,ou'la'chang'shu
欧拉定理,ou'la'ding'li
欧拉多面体定理,ou'la'duo'mian'ti'ding'li
偶然性,ou'ran'xing
欧氏几何,ou'shi'ji'he
欧氏空间,ou'shi'kong'jian
偶数,ou'shu
帕斯卡三角形,pa'si'ka'san'jiao'xing
排队问题,pai'dui'wen'ti
排列,pai'lie
排中律,pai'zhong'lv
判别式,pan'bie'shi
判定,pan'ding
判定定理,pan'ding'ding'li
判断,pan'duan
庞加莱,pang'jia'lai
旁切,pang'qie
旁切圆,pang'qie'yuan
旁心,pang'xin
抛物线,pao'wu'xian
配方,pei'fang
配方法,pei'fang'fa
频率,pin'lv
频率分布,pin'lv'fen'bu
频率分布表,pin'lv'fen'bu'biao
频率分布直方图,pin'lv'fen'bu'zhi'fang'tu
频数,pin'shuo
平凡,ping'fan
平凡解,ping'fan'jie
平方,ping'fang
平方根,ping'fang'gen
平方和,ping'fang'he
平分,ping'fen
平分线,ping'fen'xian
平角,ping'jiao
平均,ping'jun
平均时间,ping'jun'shi'jian
平均寿命,ping'jun'shou'ming
平均数,ping'jun'shu
平均速度,ping'jun'su'du
平均误差,ping'jun'wu'cha
平均值,ping'jun'zhi
平面,ping'mian
平面角,ping'mian'jiao
平面区域,ping'mian'qu'yu
