岸礁,an'jiao
刺激扩散,ci'ji'kuo'san
从属景观,cong'shu'jing'guan
大都市圈,da'du'shi'quan
大都市市区,da'du'shi'shi'qu
大骨节病,da'gu'jie'bing
大陆,da'lu
大陆度,da'lu'du
大陆架,da'lu'jia
大陆坡,da'lu'po
大陆性冰川,da'lu'xing'bing'chuan
大陆性气候,da'lu'xing'qi'hou
大气窗,da'qi'chuang
大气迁移,da'qi'qian'yi
大气圈,da'qi'quan
大气污染,da'qi'wu'ran
大田制度,da'tian'zhi'du
带,dai
单面山,dan'mian'shan
淡水湖,dan'shui'hu
丹霞地貌,dan'xia'di'mao
单元景观,dan'yuan'jing'guan
刀耕火种,dao'geng'huo'zhong
岛山,dao'shan
岛屿,dao'yu
倒置地貌,dao'zhi'di'mao
等级扩散,deng'ji'kuo'san
等积投影,deng'ji'tou'ying
等角投影,deng'jiao'tou'ying
等距投影,deng'ju'tou'ying
等距原则,deng'ju'yuan'ze
等值线软件,deng'zhi'xian'ruan'jian
等值线图,deng'zhi'xian'tu
地带,di'dai
地带性,di'dai'xing
低地,di'di
第二产业,di'er'chan'ye
地方病,di'fang'bing
地方气候,di'fang'qi'hou
地方性,di'fang'xing
地理大发现,di'li'da'fa'xian
地理单元,di'li'dan'yuan
地理底图,di'li'di'tu
地理泛系分析,di'li'fan'xi'fen'xi
地理分布,di'li'fen'bu
地理分析,di'li'fen'xi
地理过程,di'li'guo'cheng
地理环境,di'li'huan'jing
地理计量学,di'li'ji'liang'xue
地理界线,di'li'jie'xian
地理精度,di'li'jing'du
地理经度,di'li'jing'du
地理考察,di'li'kao'cha
地理剖面,di'li'pou'mian
地理圈,di'li'quan
地理数据采编,di'li'shu'ju'cai'bian
地理数据库,di'li'shu'ju'ku
地理通名,di'li'tong'ming
地理纬度,di'li'wei'du
地理系统,di'li'xi'tong
地理相关法,di'li'xiang'guan'fa
地理信息系统,di'li'xin'xi'xi'tong
地理学,di'li'xue
地理学史,di'li'xue'shi
地理学思想史,di'li'xue'si'xiang'shi
地理学体系,di'li'xue'ti'xi
地理遥感,di'li'yao'gan
地理因子,di'li'yin'zi
地理制图,di'li'zhi'tu
地理专名,di'li'zhuan'ming
地理专业词汇,di'li'zhuan'ye'ci'hui
地理综合,di'li'zong'he
地理阻障,di'li'zu'zhang
地理坐标,di'li'zuo'biao
地理坐标参考系,di'li'zuo'biao'can'kao'xi
地理坐标网,di'li'zuo'biao'wang
地貌,di'mao
地貌成因,di'mao'cheng'yin
地貌倒置,di'mao'dao'zhi
地貌过程,di'mao'guo'cheng
地貌量计学,di'mao'liang'ji'xue
地貌年代学,di'mao'nian'dai'xue
地貌世代,di'mao'shi'dai
地貌形成作用,di'mao'xing'cheng'zuo'yong
地貌序列,di'mao'xu'lie
地貌学,di'mao'xue
地貌组合,di'mao'zu'he
地面沉降,di'mian'chen'jiang
地面分辨率,di'mian'fen'bian'lv
地面实况,di'mian'shi'kuang
地名,di'ming
地名标准化,di'ming'biao'zhun'hua
地名罗马化,di'ming'luo'ma'hua
地名数据库,di'ming'shu'ju'ku
地名学,di'ming'xue
地名正名,di'ming'zheng'ming
地壳均衡,di'qiao'jun'heng
地球,di'qiu
地球表层,di'qiu'biao'ceng
地球表面,di'qiu'biao'mian
地球化学景观,di'qiu'hua'xue'jing'guan
地球体,di'qiu'ti
地球资源卫星,di'qiu'zi'yuan'wei'xing
地区,di'qu
地圈,di'quan
第三产业,di'san'chan'ye
地生态学,di'sheng'tai'xue
地势曲线,di'shi'qu'xian
第四产业,di'si'chan'ye
地图,di'tu
地图编绘,di'tu'bian'hui
地图编辑,di'tu'bian'ji
地图编辑系统,di'tu'bian'ji'xi'tong
地图表示方法,di'tu'biao'shi'fang'fa
地图传输论,di'tu'chuan'shu'lun
地图分幅,di'tu'fen'fu
地图分类,di'tu'fen'lei
地图分析,di'tu'fen'xi
地图符号,di'tu'fu'hao
地图符号学,di'tu'fu'hao'xue
地图概括,di'tu'gai'kuo
地图感受论,di'tu'gan'shou'lun
地图更新,di'tu'geng'xin
地图功能,di'tu'gong'neng
地图规范,di'tu'gui'fan
地图归纳法,di'tu'gui'na'fa
地图集,di'tu'ji
地图量算,di'tu'liang'suan
地图模式论,di'tu'mo'shi'lun
地图判读,di'tu'pan'du
地图评价,di'tu'ping'jia
地图设计,di'tu'she'ji
地图数据结构,di'tu'shu'ju'jie'gou
地图数学模型,di'tu'shu'xue'mo'xing
地图数字化,di'tu'shu'zi'hua
地图特征码,di'tu'te'zheng'ma
地图投影,di'tu'tou'ying
地图图型,di'tu'tu'xing
地图信息,di'tu'xin'xi
地图信息论,di'tu'xin'xi'lun
地图信息系统,di'tu'xin'xi'xi'tong
地图学,di'tu'xue
地图学史,di'tu'xue'shi
地图演绎法,di'tu'yan'yi'fa
地图语言,di'tu'yu'yan
地图坐标网,di'tu'zuo'biao'wang
低位沼泽,di'wei'zhao'ze
地文学,di'wen'xue
地峡,di'xia
地下冰,di'xia'bing
地下河,di'xia'he
地下水库,di'xia'shui'ku
地下水位,di'xia'shui'wei
地下水文学,di'xia'shui'wen'xue
地形分析程序,di'xing'fen'xi'cheng'xu
地形基面,di'xing'ji'mian
地形模型,di'xing'mo'xing
地形匹配,di'xing'pi'pei
地形气候学,di'xing'qi'hou'xue
地形图,di'xing'tu
第一产业,di'yi'chan'ye
地域类型,di'yu'lei'xing
地域生产综合体,di'yu'sheng'chan'zong'he'ti
地域系统,di'yu'xi'tong
地域专业化,di'yu'zhuan'ye'hua
地域自然综合体,di'yu'zi'ran'zong'he'ti
地缘政治学,di'yuan'zheng'zhi'xue
地志学,di'zhi'xue
地中海气候,di'zhong'hai'qi'hou
点值图,dian'zhi'tu
叠加定律,die'jia'ding'lv
顶极群落,ding'ji'qun'luo
顶极土壤,ding'ji'tu'rang
冻害,dong'hai
冻结层中水,dong'jie'ceng'zhong'shui
冻结指数,dong'jie'zhi'shu
动力地貌学,dong'li'di'mao'xue
冻融循环,dong'rong'xun'huan
动态地图,dong'tai'di'tu
冻土,dong'tu
冻土动力学,dong'tu'dong'li'xue
冻土进化,dong'tu'jin'hua
冻土退化,dong'tu'tui'hua
冻土相分析,dong'tu'xiang'fen'xi
冻土学,dong'tu'xue
动物传布,dong'wu'chuan'bu
动物地理学,dong'wu'di'li'xue
动物区系,dong'wu'qu'xi
动物群落,dong'wu'qun'luo
动线地图,dong'xian'di'tu
洞穴堆积,dong'xue'dui'ji
洞穴学,dong'xue'xue
东洋界,dong'yang'jie
冻胀,dong'zhang
冻胀力,dong'zhang'li
度假村,du'jia'cun
杜能环,du'neng'huan
杜能模式,du'neng'mo'shi
都市集聚,du'shi'ji'ju
都市水文学,du'shi'shui'wen'xue
断层谷,duan'ceng'gu
断层三角面,duan'ceng'san'jiao'mian
断层线崖,duan'ceng'xian'ya
断层崖,duan'ceng'ya
断块山,duan'kuai'shan
断裂点,duan'lie'dian
短期聚落,duan'qi'ju'luo
堆积物,dui'ji'wu
堆积作用,dui'ji'zuo'yong
多边形地图,duo'bian'xing'di'tu
多波段扫描器,duo'bo'duan'sao'miao'qi
多波段遥感,duo'bo'duan'yao'gan
多核心论,duo'he'xin'lun
多年冻土,duo'nian'dong'tu
多维分析,duo'wei'fen'xi
多要素地图,duo'yao'su'di'tu
发达国家,fa'da'guo'jia
发展地理学,fa'zhan'di'li'xue
发展区,fa'zhan'qu
发展中国家,fa'zhan'zhong'guo'jia
泛北极,fan'bei'ji
反差调整,fan'cha'tiao'zheng
翻浆,fan'jiang
范围图,fan'wei'tu
反照率,fan'zhao'lv
犯罪地理,fan'zui'di'li
方山,fang'shan
方位投影,fang'wei'tou'ying
方志,fang'zhi
非地带性,fei'di'dai'xing
非基础行业,fei'ji'chu'hang'ye
非可再生资源,fei'ke'zai'sheng'zi'yuan
非生源景观,fei'sheng'yuan'jing'guan
分布区,fen'bu'qu
分布区间断,fen'bu'qu'jian'duan
分布区型,fen'bu'qu'xing
分布区中心,fen'bu'qu'zhong'xin
分层设色法,fen'ceng'she'se'fa
分岔系数,fen'cha'xi'shu
焚风,fen'feng
分界线,fen'jie'xian
分散城市,fen'san'cheng'shi
分水岭,fen'shui'ling
峰,feng
风化层,feng'hua'ceng
风化壳,feng'hua'qiao
风化作用,feng'hua'zuo'yong
风口,feng'kou
风棱石,feng'leng'shi
峰林,feng'lin
风蚀,feng'shi
风蚀脊,feng'shi'ji
风蚀坑,feng'shi'keng
风蚀洼地,feng'shi'wa'di
风速,feng'su
蜂窝状沙丘,feng'wo'zhuang'sha'qiu
风向,feng'xiang
风灾,feng'zai
富冰冻土,fu'bing'dong'tu
腹地,fu'di
负地貌,fu'di'mao
复合土地利用,fu'he'tu'di'li'yong
福利地理,fu'li'di'li
富营养沼泽,fu'ying'yang'zhao'ze
复种指数,fu'zhong'zhi'shu
干谷,gan'gu
干涸湖,gan'he'hu
干热风,gan're'feng
干盐湖,gan'yan'hu
感应地理学,gan'ying'di'li'xue
干燥度,gan'zao'du
干燥气候,gan'zao'qi'hou
高草草原,gao'cao'cao'yuan
高地,gao'di
高山,gao'shan
高山矮曲林,gao'shan'ai'qu'lin
高山病,gao'shan'bing
高山草场轮牧,gao'shan'cao'chang'lun'mu
高山冻土,gao'shan'dong'tu
高山湖,gao'shan'hu
高山季节移牧,gao'shan'ji'jie'yi'mu
高山土壤,gao'shan'tu'rang
高位沼泽,gao'wei'zhao'ze
高原,gao'yuan
高原气候,gao'yuan'qi'hou
高原沼泽,gao'yuan'zhao'ze
戈壁,ge'bi
隔坨区,ge'tuo'qu
格网数据库,ge'wang'shu'ju'ku
耕作制度,geng'zuo'zhi'du
工厂化农业,gong'chang'hua'nong'ye
公害,gong'hai
公害病,gong'hai'bing
工矿区,gong'kuang'qu
供水,gong'shui
工业布局,gong'ye'bu'ju
工业城市,gong'ye'cheng'shi
工业地带,gong'ye'di'dai
工业地理学,gong'ye'di'li'xue
工业地域类型,gong'ye'di'yu'lei'xing
工业分散,gong'ye'fen'san
工业基地,gong'ye'ji'di
工业集聚,gong'ye'ji'ju
工业集中,gong'ye'ji'zhong
工业扩散,gong'ye'kuo'san
工业区,gong'ye'qu
工业区位,gong'ye'qu'wei
工业区位论,gong'ye'qu'wei'lun
工业区位政策,gong'ye'qu'wei'zheng'ce
工业体系,gong'ye'ti'xi
工业中心,gong'ye'zhong'xin
工业综合体,gong'ye'zong'he'ti
沟谷,gou'gu
构造地貌学,gou'zao'di'mao'xue
构造高原,gou'zao'gao'yuan
构造湖,gou'zao'hu
构造阶地,gou'zao'jie'di
谷,gu
古北界,gu'bei'jie
古地理学,gu'di'li'xue
古地图,gu'di'tu
固定沙丘,gu'ding'sha'qiu
古气候,gu'qi'hou
鼓丘,gu'qiu
古水文学,gu'shui'wen'xue
古土壤,gu'tu'rang
惯用名,guan'yong'ming
光学图象处理,guang'xue'tu'xiang'chu'li
规划地图,gui'hua'di'tu
硅铝粘土型风化壳,gui'lv'nian'tu'xing'feng'hua'qiao
硅铝碳酸盐型风化壳,gui'lv'tan'suan'yan'xing'feng'hua'qiao
规模经济,gui'mo'jing'ji
过程线,guo'cheng'xian
国家地图集,guo'jia'di'tu'ji
国家公园,guo'jia'gong'yuan
国土规划,guo'tu'gui'hua
国土开发,guo'tu'kai'fa
国土整治,guo'tu'zheng'zhi
国土资源卫星,guo'tu'zi'yuan'wei'xing
海,hai
海岸,hai'an
海岸地貌学,hai'an'di'mao'xue
海岸阶地,hai'an'jie'di
海拔,hai'ba
海滨沼泽,hai'bin'zhao'ze
海沟,hai'gou
海岭,hai'ling
海隆,hai'long
海陆风,hai'lu'feng
海蚀洞,hai'shi'dong
海蚀龛,hai'shi'kan
海蚀台,hai'shi'tai
海蚀崖,hai'shi'ya
海蚀柱,hai'shi'zhu
海蚀作用,hai'shi'zuo'yong
海滩,hai'tan
海峡,hai'xia
海洋环境,hai'yang'huan'jing
海洋卫星,hai'yang'wei'xing
海洋污染,hai'yang'wu'ran
海洋性冰川,hai'yang'xing'bing'chuan
海洋性气候,hai'yang'xing'qi'hou
海渊,hai'yuan
含冰量,han'bing'liang
寒潮,han'chao
寒带,han'dai
寒冻风化,han'dong'feng'hua
旱农,han'nong
旱生植物,han'sheng'zhi'wu
含水层,han'shui'ceng
旱灾,han'zai
航空摄影,hang'kong'she'ying
航空摄影测量,hang'kong'she'ying'ce'liang
航空遥感,hang'kong'yao'gan
航天遥感,hang'tian'yao'gan
合成地图,he'cheng'di'tu
河床,he'chuang
河床变形,he'chuang'bian'xing
河道等级,he'dao'deng'ji
河道坡降,he'dao'po'jiang
河口湾,he'kou'wan
河流补给,he'liu'bu'ji
河流错位,he'liu'cuo'wei
河流阶地,he'liu'jie'di
河流偏移,he'liu'pian'yi
河流数目定律,he'liu'shu'mu'ding'lv
河流袭夺,he'liu'xi'duo
河流学,he'liu'xue
河漫滩,he'man'tan
褐土,he'tu
河网密度,he'wang'mi'du
核心区,he'xin'qu
河源,he'yuan
黑钙土,hei'gai'tu
横谷,heng'gu
横向沙丘,heng'xiang'sha'qiu
洪峰流量,hong'feng'liu'liang
洪积层,hong'ji'ceng
洪积扇,hong'ji'shan
洪积物,hong'ji'wu
红壤,hong'rang
红树林,hong'shu'lin
红树林沼泽,hong'shu'lin'zhao'ze
洪水,hong'shui
洪水位,hong'shui'wei
湖,hu
互补色立体显示,hu'bu'se'li'ti'xian'shi
湖流,hu'liu
湖盆,hu'pen
湖泊富营养化,hu'po'fu'ying'yang'hua
湖泊水文学,hu'po'shui'wen'xue
湖泊蓄水量,hu'po'xu'shui'liang
湖水环流,hu'shui'huan'liu
湖沼学,hu'zhao'xue
华莱士线,hua'lai'shi'xian
滑坡,hua'po
滑塌,hua'ta
化学剥蚀,hua'xue'bo'shi
化学地理学,hua'xue'di'li'xue
化学风化作用,hua'xue'feng'hua'zuo'yong
化学迁移,hua'xue'qian'yi
缓冲国,huan'chong'guo
环礁,huan'jiao
环境保护,huan'jing'bao'hu
环境背景值,huan'jing'bei'jing'zhi
环境标准,huan'jing'biao'zhun
环境地理学,huan'jing'di'li'xue
环境地球化学,huan'jing'di'qiu'hua'xue
环境管理,huan'jing'guan'li
环境规划,huan'jing'gui'hua
环境结构,huan'jing'jie'gou
环境经济,huan'jing'jing'ji
环境决定论,huan'jing'jue'ding'lun
环境区划,huan'jing'qu'hua
环境容量,huan'jing'rong'liang
环境设计,huan'jing'she'ji
环境退化,huan'jing'tui'hua
环境卫星系列,huan'jing'wei'xing'xi'lie
环境污染,huan'jing'wu'ran
环境系统,huan'jing'xi'tong
环境效应,huan'jing'xiao'ying
环境信息系统,huan'jing'xin'xi'xi'tong
环境演化,huan'jing'yan'hua
环境遥感,huan'jing'yao'gan
环境要素,huan'jing'yao'su
环境异常,huan'jing'yi'chang
环境影响评价,huan'jing'ying'xiang'ping'jia
环境质量,huan'jing'zhi'liang
环境质量参数,huan'jing'zhi'liang'can'shu
环境质量评价,huan'jing'zhi'liang'ping'jia
环境质量指数,huan'jing'zhi'liang'zhi'shu
环境质量综合评价,huan'jing'zhi'liang'zong'he'ping'jia
环境自净,huan'jing'zi'jing
荒漠,huang'mo
荒漠化,huang'mo'hua
荒漠气候,huang'mo'qi'hou
荒漠土壤,huang'mo'tu'rang
黄壤,huang'rang
黄土,huang'tu
黄土地貌,huang'tu'di'mao
黄土梁,huang'tu'liang
黄土峁,huang'tu'mao
黄土塬,huang'tu'yuan
回春作用,hui'chun'zuo'yong
灰化土,hui'hua'tu
汇流,hui'liu
灰漠土,hui'mo'tu
汇水区,hui'shui'qu
绘图程序库,hui'tu'cheng'xu'ku
混合农业,hun'he'nong'ye
活动空间,huo'dong'kong'jian
货流,huo'liu
货流地理,huo'liu'di'li
火山,huo'shan
火山湖,huo'shan'hu
火山作用,huo'shan'zuo'yong
基础工业,ji'chu'gong'ye
基础行业,ji'chu'hang'ye
极地冰川,ji'di'bing'chuan
极地气候,ji'di'qi'hou
季风,ji'feng
季风雨林,ji'feng'yu'lin
激光遥感,ji'guang'yao'gan
极化过程,ji'hua'guo'cheng
季节冻土,ji'jie'dong'tu
季节性湖泊,ji'jie'xing'hu'po
激进地理学,ji'jin'di'li'xue
积累区,ji'lei'qu
基流,ji'liu
极圈,ji'quan
集市,ji'shi
技术地理学,ji'shu'di'li'xue
技术经济评价,ji'shu'jing'ji'ping'jia
技术密集工业,ji'shu'mi'ji'gong'ye
技术圈,ji'shu'quan
计算机辅助制图,ji'suan'ji'fu'zhu'zhi'tu
积温,ji'wen
机械风化作用,ji'xie'feng'hua'zuo'yong
机械迁移,ji'xie'qian'yi
积雪,ji'xue
积雪水文学,ji'xue'shui'wen'xue
基岩,ji'yan
基岩扇,ji'yan'shan
极夜,ji'ye
集约农业,ji'yue'nong'ye
极昼,ji'zhou
假彩色合成,jia'cai'se'he'cheng
加积作用,jia'ji'zuo'yong
岬角,jia'jiao
假喀斯特,jia'ka'si'te
加色合成,jia'se'he'cheng
间冰期,jian'bing'qi
建成区,jian'cheng'qu
建设地理学,jian'she'di'li'xue
碱土,jian'tu
尖形坝,jian'xing'ba
尖形滩,jian'xing'tan
兼营农业,jian'ying'nong'ye
降水,jiang'shui
角峰,jiao'feng
郊区,jiao'qu
郊区化,jiao'qu'hua
郊区农业,jiao'qu'nong'ye
交通地理学,jiao'tong'di'li'xue
交通堵塞,jiao'tong'du'se
阶地,jie'di
阶地沼泽,jie'di'zhao'ze
街坊,jie'fang
结壳作用,jie'ke'zuo'yong
进展因素,jin'zhan'yin'su
景观,jing'guan
景观地球化学,jing'guan'di'qiu'hua'xue
景观圈,jing'guan'quan
景观生态学,jing'guan'sheng'tai'xue
景观损害,jing'guan'sun'hai
景观学,jing'guan'xue
经济地理条件,jing'ji'di'li'tiao'jian
经济地理位置,jing'ji'di'li'wei'zhi
经济地理学,jing'ji'di'li'xue
经济发展战略,jing'ji'fa'zhan'zhan'lue
经济技术开发区,jing'ji'ji'shu'kai'fa'qu
经济评价,jing'ji'ping'jia
经济区,jing'ji'qu
经济区划,jing'ji'qu'hua
经济特区,jing'ji'te'qu
经济效益,jing'ji'xiao'yi
经济协作区,jing'ji'xie'zuo'qu
警戒水位,jing'jie'shui'wei
径流,jing'liu
径流变率,jing'liu'bian'lv
径流模数,jing'liu'mo'shu
径流系数,jing'liu'xi'shu
经纬网格,jing'wei'wang'ge
旧热带界,jiu're'dai'jie
就业结构,jiu'ye'jie'gou
局部侵蚀基准面,ju'bu'qin'shi'ji'zhun'mian
距离衰减原则,ju'li'shuai'jian'yuan'ze
聚落,ju'luo
聚落地理学,ju'luo'di'li'xue
聚落类型,ju'luo'lei'xing
军事地理,jun'shi'di'li
喀斯特,ka'si'te
喀斯特地貌,ka'si'te'di'mao
喀斯特地貌学,ka'si'te'di'mao'xue
喀斯特化,ka'si'te'hua
喀斯特平原,ka'si'te'ping'yuan
可达性,ke'da'xing
客流,ke'liu
客流地理,ke'liu'di'li
刻面联合体,ke'mian'lian'he'ti
克山病,ke'shan'bing
刻蚀,ke'shi
刻蚀地貌,ke'shi'di'mao
科学工业园,ke'xue'gong'ye'yuan
可再生资源,ke'zai'sheng'zi'yuan
垦殖指数,ken'zhi'zhi'shu
空间差距,kong'jian'cha'ju
空间结构,kong'jian'jie'gou
空间经济,kong'jian'jing'ji
空间数据库管理系统,kong'jian'shu'ju'ku'guan'li'xi'tong
空间体系,kong'jian'ti'xi
空间相互作用,kong'jian'xiang'hu'zuo'yong
空间主权,kong'jian'zhu'quan
空间组织,kong'jian'zu'zhi
空中走廊,kong'zhong'zou'lang
块状崩落,kuai'zhuang'beng'luo
块状图,kuai'zhuang'tu
矿泉,kuang'quan
矿业聚落,kuang'ye'ju'luo
扩散中心,kuo'san'zhong'xin
扩展扩散,kuo'zhan'kuo'san
涝,lao
劳动地域分工,lao'dong'di'yu'fen'gong
劳动力,lao'dong'li
劳动市场,lao'dong'shi'chang
劳力密集工业,lao'li'mi'ji'gong'ye
雷达遥感,lei'da'yao'gan
类喀斯特,lei'ka'si'te
类型图,lei'xing'tu
冷害,leng'hai
冷圈,leng'quan
冷圈学,leng'quan'xue
离堆山,li'dui'shan
栗钙土,li'gai'tu
理论地理学,li'lun'di'li'xue
砾漠,li'mo
历史地理学,li'shi'di'li'xue
历史地图集,li'shi'di'tu'ji
历史气候,li'shi'qi'hou
历史人文地理,li'shi'ren'wen'di'li
历史自然地理,li'shi'zi'ran'di'li
立体地图,li'ti'di'tu
立体观察,li'ti'guan'cha
立体象对,li'ti'xiang'dui
粒雪,li'xue
粒雪化作用,li'xue'hua'zuo'yong
粒雪盆,li'xue'pen
连岛坝,lian'dao'ba
粮食生产基地,liang'shi'sheng'chan'ji'di
劣地,lie'de
裂点,lie'dian
裂隙水,lie'xi'shui
林地沼泽,lin'di'zhao'ze
邻里,lin'li
林粮间作,lin'liang'jian'zuo
林区,lin'qu
岭,ling
零点幕,ling'dian'mu
领海,ling'hai
领空,ling'kong
领土,ling'tu
流动人口,liu'dong'ren'kou
流动沙丘,liu'dong'sha'qiu
流量,liu'liang
流量过程线分割,liu'liang'guo'cheng'xian'fen'ge
流水地貌,liu'shui'di'mao
流水地貌学,liu'shui'di'mao'xue
流水过程,liu'shui'guo'cheng
流通网络系统,liu'tong'wang'luo'xi'tong
流域,liu'yu
流域分水线,liu'yu'fen'shui'xian
流域规划,liu'yu'gui'hua
流域形态,liu'yu'xing'tai
陆冰,lu'bing
陆地卫星,lu'di'wei'xing
陆连岛,lu'lian'dao
陆面蒸发,lu'mian'zheng'fa
芦苇沼泽,lu'wei'zhao'ze
落水洞,luo'shui'dong
落叶林,luo'ye'lin
绿带城市,lv'dai'cheng'shi
绿色革命,lv'se'ge'ming
旅游地理,lv'you'di'li
旅游点,lv'you'dian
旅游客量,lv'you'ke'liang
旅游业,lv'you'ye
旅游资源,lv'you'zi'yuan
绿洲,lv'zhou
绿洲耕作,lv'zhou'geng'zuo
梅雨,mei'yu
密度测定,mi'du'ce'ding
密度分割,mi'du'fen'ge
民族地理学,min'zu'di'li'xue
民族志,min'zu'zhi
漠盖层,mo'gai'ceng
墨卡托投影,mo'ka'tuo'tou'ying
漠漆,mo'qi
模式识别,mo'shi'shi'bie
木材生产基地,mu'cai'sheng'chan'ji'di
母城,mu'cheng
目视判读,mu'shi'pan'du
牧业区,mu'ye'qu
南半球,nan'ban'qiu
南回归线,nan'hui'gui'xian
南极,nan'ji
内部发展理论,nei'bu'fa'zhan'li'lun
内地工业,nei'di'gong'ye
内陆,nei'lu
能源地理学,neng'yuan'di'li'xue
逆城市化,ni'cheng'shi'hua
泥流,ni'liu
泥漠,ni'mo
泥沙运动,ni'sha'yun'dong
泥石流,ni'shi'liu
泥炭,ni'tan
年龄性别金字塔,nian'ling'xing'bie'jin'zi'ta
年轮气候学,nian'lun'qi'hou'xue
年正常径流量,nian'zheng'chang'jing'liu'liang
鸟瞰图,niao'kan'tu
牛轭湖,niu'e'hu
农牧结合,nong'mu'jie'he
农业布局,nong'ye'bu'ju
农业村镇,nong'ye'cun'zhen
农业地带,nong'ye'di'dai
农业地理学,nong'ye'di'li'xue
农业地域类型,nong'ye'di'yu'lei'xing
农业区,nong'ye'qu
农业区划,nong'ye'qu'hua
农业区位论,nong'ye'qu'wei'lun
派生地图,pai'sheng'di'tu
判读,pan'du
