岸蔡,an'cai
毛山下,mao'shan'xia
茅陶,mao'tao
毛头,mao'tou
毛洋,mao'yang
茅洋,mao'yang
毛竹下,mao'zhu'xia
梅安,mei'an
梅岭,mei'ling
梅溪,mei'xi
庙南河,miao'nan'he
民生,min'sheng
民益,min'yi
民主,min'zhu
牧东,mu'dong
木耳,mu'er
姆坑,mu'keng
姆坑山头,mu'keng'shan'tou
牧南,mu'nan
牧西,mu'xi
牧屿,mu'yu
牧屿街,mu'yu'jie
乃崦,nai'yan
南岙,nan'ao
南边,nan'bian
南城,nan'cheng
南港,nan'gang
南鉴,nan'jian
南街,nan'jie
南坑,nan'keng
南门,nan'men
南屏,nan'ping
南泉,nan'quan
南山,nan'shan
南栅,nan'shan
南山闸,nan'shan'zha
南塘,nan'tang
南塘二,nan'tang'er
南塘三,nan'tang'san
南塘四,nan'tang'si
南塘五,nan'tang'wu
南塘一,nan'tang'yi
南湾,nan'wan
南下陈,nan'xia'chen
南咸田,nan'xian'tian
南洋,nan'yang
南洋岙,nan'yang'ao
南洋王,nan'yang'wang
泥城,ni'cheng
泥桥,ni'qiao
泥涂,ni'tu
泥屋,ni'wu
念母洋,nian'mu'yang
宁海,ning'hai
牛桥,niu'qiao
潘岙,pan'ao
潘郎,pan'lang
盘马,pan'ma
盘山,pan'shan
彭家,peng'jia
彭林,peng'lin
彭下,peng'xia
平安,ping'an
平山,ping'shan
屏上,ping'shang
屏下,ping'xia
浦岙,pu'ao
浦北,pu'bei
蒲洞,pu'dong
浦头,pu'tou
七份岸,qi'fen'an
旗杆,qi'gan
前岸,qian'an
前岙,qian'ao
前蔡,qian'cai
前陈,qian'chen
前红,qian'hong
前黄,qian'huang
前江,qian'jiang
前街,qian'jie
前进,qian'jin
前九份,qian'jiu'fen
前林,qian'lin
前炉,qian'lu
前瓦屿,qian'wa'yu
前王,qian'wang
前溪,qian'xi
前洋,qian'yang
前洋里,qian'yang'li
前洋下,qian'yang'xia
桥里,qiao'li
桥林,qiao'lin
桥浦,qiao'pu
桥外,qiao'wai
桥伍,qiao'wu
桥下,qiao'xia
桥下郑,qiao'xia'zheng
庆恩王,qing'en'wang
庆丰,qing'feng
青石桥,qing'shi'qiao
青屿,qing'yu
邱家岸,qiu'jia'an
荣华,rong'hua
阮岙,ruan'ao
箬横,ruo'heng
三岙,san'ao
三池窟,san'chi'ku
三顶桥,san'ding'qiao
三房,san'fang
三甲,san'jia
三邵,san'shao
三蒜,san'suan
三透里,san'tou'li
三王,san'wang
三星,san'xing
三星桥,san'xing'qiao
三衙桥,san'ya'qiao
三宅,san'zhai
沙岸,sha'an
沙岙,sha'ao
沙港,sha'gang
沙镬,sha'huo
沙角,sha'jiao
沙山,sha'shan
沙头,sha'tou
沙头门,sha'tou'men
山岙,shan'ao
山北,shan'bei
山东,shan'dong
山河,shan'he
山后,shan'hou
山后鲍,shan'hou'bao
山凰,shan'huang
山坑,shan'keng
山里皇,shan'li'huang
山马,shan'ma
山南,shan'nan
山南前,shan'nan'qian
山前,shan'qian
山市,shan'shi
山头,shan'tou
山头赵,shan'tou'zhao
山西,shan'xi
山下,shan'xia
山下陈,shan'xia'chen
山下金,shan'xia'jin
山园,shan'yuan
上岙,shang'ao
上保,shang'bao
商城,shang'cheng
上洞桥,shang'dong'qiao
上墩,shang'dun
上方,shang'fang
上孚李,shang'fu'li
上珙,shang'gong
上河岙,shang'he'ao
上河头,shang'he'tou
上汇头,shang'hui'tou
上街,shang'jie
上林,shang'lin
上毛坦,shang'mao'tan
上莫,shang'mo
上桥,shang'qiao
上桥头,shang'qiao'tou
上山,shang'shan
尚书坊,shang'shu'fang
上坦头,shang'tan'tou
上塘,shang'tang
上绾山,shang'wan'shan
上王,shang'wang
上新建,shang'xin'jian
上轩,shang'xuan
上洋,shang'yang
上洋岙,shang'yang'ao
上洋林,shang'yang'lin
上叶,shang'ye
上应,shang'ying
上庄,shang'zhuang
沈岙,shen'ao
沈桥,shen'qiao
神童门,shen'tong'men
胜北,sheng'bei
胜海,sheng'hai
胜利,sheng'li
胜南,sheng'nan
胜盐,sheng'yan
石板殿,shi'ban'dian
石仓下,shi'cang'xia
石刺头,shi'ci'tou
石埭,shi'dai
石牌桥,shi'pai'qiao
石桥街,shi'qiao'jie
石粘,shi'zhan
竖石,shu'shi
双峰,shuang'feng
双凌,shuang'ling
双桥,shuang'qiao
双透,shuang'tou
水岸,shui'an
水仓,shui'cang
水仓头,shui'cang'tou
水澄,shui'cheng
水次洋,shui'ci'yang
水门后,shui'men'hou
水浦,shui'pu
水坦,shui'tan
水桶坤,shui'tong'kun
水仙岙,shui'xian'ao
水渚,shui'zhu
四岙,si'ao
司城,si'cheng
四份,si'fen
寺基,si'ji
四甲,si'jia
寺前桥,si'qian'qiao
四塘,si'tang
四湾,si'wan
松北,song'bei
松东,song'dong
松建,song'jian
松椒,song'jiao
松南,song'nan
松西,song'xi
松寨,song'zhai
岁坊,sui'fang
孙家,sun'jia
塔岙,ta'ao
塔龙,ta'long
塔下,ta'xia
太平,tai'ping
台头,tai'tou
泰星,tai'xing
坦头,tan'tou
坦头桥,tan'tou'qiao
塘家洋,tang'jia'yang
塘礁,tang'jiao
塘岭,tang'ling
堂前,tang'qian
塘山,tang'shan
塘头,tang'tou
塘下,tang'xia
陶家埠,tao'jia'bu
桃夏河头,tao'xia'he'tou
腾蛟,teng'jiao
田茶,tian'cha
田东,tian'dong
田后,tian'hou
天皇,tian'huang
田基,tian'ji
田塘,tian'tang
田洋,tian'yang
田洋季,tian'yang'ji
田洋里,tian'yang'li
铁场,tie'chang
铁下,tie'xia
铜门,tong'men
桐山,tong'shan
土坦头,tu'tan'tou
团结,tuan'jie
团塘,tuan'tang
屯田,tun'tian
瓦林,wa'lin
瓦窑头,wa'yao'tou
外球,wai'qiu
万堂,wan'tang
湾塘,wan'tang
碗头山,wan'tou'shan
湾下,wan'xia
湾张,wan'zhang
王府基,wang'fu'ji
汪家,wang'jia
王家,wang'jia
王小田,wang'xiao'tian
渭川,wei'chuan
渭渚,wei'zhu
翁岙,weng'ao
五岙,wu'ao
吴岙,wu'ao
五百屿,wu'bai'yu
五房,wu'fang
五份头,wu'fen'tou
五峰,wu'feng
五甲,wu'jia
乌坑,wu'keng
五里泾,wu'li'jing
乌龙岙,wu'long'ao
坞沙门,wu'sha'men
吴山,wu'shan
乌岩,wu'yan
西岸,xi'an
西岸郑,xi'an'zheng
西岙,xi'ao
西岙咀,xi'ao'ju
西陈,xi'chen
西城,xi'cheng
西墩,xi'dun
西合,xi'he
西汇头,xi'hui'tou
西江,xi'jiang
西郊,xi'jiao
西焦湾,xi'jiao'wan
西街,xi'jie
西坑,xi'keng
西里,xi'li
西楼,xi'lou
西门,xi'men
西浦,xi'pu
西沙,xi'sha
西沙头,xi'sha'tou
西山,xi'shan
西山金,xi'shan'jin
西山下,xi'shan'xia
西塘,xi'tang
西桐,xi'tong
西湾,xi'wan
希洋,xi'yang
西洋,xi'yang
西洋潘,xi'yang'pan
西园,xi'yuan
西庄,xi'zhuang
下岸渚,xia'an'zhu
下岙,xia'ao
下岙严,xia'ao'yan
下保,xia'bao
下保渭渚,xia'bao'wei'zhu
下保宅前,xia'bao'zhai'qian
下蔡,xia'cai
下陈,xia'chen
下呈,xia'cheng
夏程,xia'cheng
下村,xia'cun
下店,xia'dian
下洞桥,xia'dong'qiao
下墩,xia'dun
下河,xia'he
下河岙,xia'he'ao
下黄,xia'huang
下汇头,xia'hui'tou
下蒋,xia'jiang
下街,xia'jie
下金,xia'jin
下金前,xia'jin'qian
下郎桥,xia'lang'qiao
下李,xia'li
下林,xia'lin
下楼,xia'lou
下罗,xia'luo
下毛坦,xia'mao'tan
下莫,xia'mo
下山后,xia'shan'hou
下山头,xia'shan'tou
下盛,xia'sheng
下绾山,xia'wan'shan
下王,xia'wang
下谢,xia'xie
下新建,xia'xin'jian
下许,xia'xu
下轩,xia'xuan
下洋岙,xia'yang'ao
下洋林,xia'yang'lin
下洋陶,xia'yang'tao
下洋应,xia'yang'ying
下洋张,xia'yang'zhang
下叶,xia'ye
下员山,xia'yuan'shan
下闸,xia'zha
下宅金,xia'zhai'jin
下宅吴,xia'zhai'wu
下张,xia'zhang
下章,xia'zhang
下樟桥,xia'zhang'qiao
下郑,xia'zheng
下周,xia'zhou
下朱,xia'zhu
下庄,xia'zhuang
现范桥,xian'fan'qiao
咸田,xian'tian
咸田湖,xian'tian'hu
咸田王,xian'tian'wang
相公渭,xiang'gong'wei
向西莫,xiang'xi'mo
小东岙,xiao'dong'ao
小河头,xiao'he'tou
小黄泥,xiao'huang'ni
肖家桥,xiao'jia'qiao
小江绾,xiao'jiang'wan
小江下,xiao'jiang'xia
小交陈,xiao'jiao'chen
小岭下,xiao'ling'xia
小南门,xiao'nan'men
小前陈,xiao'qian'chen
肖泉,xiao'quan
小箬,xiao'ruo
小沙头,xiao'sha'tou
小石桥,xiao'shi'qiao
小塘,xiao'tang
小坞根,xiao'wu'gen
小溪,xiao'xi
肖溪,xiao'xi
小溪岭头,xiao'xi'ling'tou
谢家,xie'jia
斜路,xie'lu
新岙里,xin'ao'li
新北,xin'bei
新滨,xin'bin
新村,xin'cun
新东,xin'dong
新方,xin'fang
新丰,xin'feng
新峰,xin'feng
新横径,xin'heng'jing
新红,xin'hong
新华,xin'hua
新基,xin'ji
新建,xin'jian
新街,xin'jie
新进,xin'jin
新联,xin'lian
新民,xin'min
新南,xin'nan
新南岙,xin'nan'ao
新农,xin'nong
新桥头,xin'qiao'tou
新秋,xin'qiu
新胜,xin'sheng
新坦,xin'tan
莘塘,xin'tang
新田,xin'tian
新湾,xin'wan
新屋,xin'wu
新西,xin'xi
新远景,xin'yuan'jing
新中,xin'zhong
幸福,xing'fu
星光,xing'guang
兴建,xing'jian
秀岭,xiu'ling
徐家,xu'jia
许家,xu'jia
许家渭,xu'jia'wei
许宅,xu'zhai
亚湖,ya'hu
雅雀,ya'que
盐北,yan'bei
严家,yan'jia
颜家,yan'jia
沿江,yan'jiang
沿坑,yan'keng
盐南,yan'nan
岩头山,yan'tou'shan
岩下,yan'xia
洋呈,yang'cheng
洋肚,yang'du
杨公岙,yang'gong'ao
洋河,yang'he
杨家,yang'jia
杨家浦,yang'jia'pu
杨家渭,yang'jia'wei
洋江,yang'jiang
杨柳,yang'liu
杨柳新,yang'liu'xin
阳山,yang'shan
秧田,yang'tian
姚施,yao'shi
腰塘,yao'tang
叶家,ye'jia
义民,yi'min
宜桥,yi'qiao
银河,yin'he
迎辉,ying'hui
应钱,ying'qian
营田,ying'tian
永安,yong'an
永定,yong'ding
永丰,yong'feng
永革,yong'ge
永红,yong'hong
永进,yong'jin
永胜,yong'sheng
油屿,you'yu
屿后,yu'hou
屿罗,yu'luo
雨荣,yu'rong
雨伞,yu'san
屿孙,yu'sun
屿头,yu'tou
屿詹,yu'zhan
袁家,yuan'jia
远景,yuan'jing
月河,yue'he
泽南,ze'nan
闸南,zha'nan
闸头,zha'tou
摘梅坑,zhai'mei'keng
寨门,zhai'men
长大,zhang'da
樟皇,zhang'huang
张家,zhang'jia
张老桥,zhang'lao'qiao
章袁,zhang'yuan
兆岙,zhao'ao
照谷,zhao'gu
赵家,zhao'jia
赵桥,zhao'qiao
朝阳,zhao'yang
照洋,zhao'yang
镇海,zhen'hai
镇靖,zhen'jing
镇中,zhen'zhong
郑家,zheng'jia
芝岙,zhi'ao
芷胜庄,zhi'sheng'zhuang
中岙张,zhong'ao'zhang
中保,zhong'bao
中城,zhong'cheng
中海,zhong'hai
中街,zhong'jie
中库,zhong'ku
中南,zhong'nan
中山,zhong'shan
中扇,zhong'shan
中厢,zhong'xiang
中心,zhong'xin
中兴,zhong'xing
中央段,zhong'yang'duan
中闸,zhong'zha
中柱,zhong'zhu
珠村,zhu'cun
祝家洋,zhu'jia'yang
竹坑,zhu'keng
渚里,zhu'li
珠山,zhu'shan
株松,zhu'song
祝洋,zhu'yang
庄联,zhuang'lian
桩头,zhuang'tou
紫皋,zi'gao
紫皋陆,zi'gao'lu
宗文,zong'wen
